Staten Island,Error,Wagner,2681
7:37,2681,Foul on Blake Francis.,17,30
7:37,2681,Official TV Timeout,17,30
7:37,-1,Khaleeq Baum made Free Throw.,18,30
7:18,2681,Corey Henson missed Three Point Jumper.,18,30
7:18,2681,Michael Carey Offensive Rebound.,18,30
7:15,2681,Michael Carey missed Jumper.,18,30
7:15,-1,Edin Bracic Defensive Rebound.,18,30
7:06,2681,Foul on Connor Ferrell.,18,30
7:06,-1,Frank Schettino missed Free Throw.,18,30
7:06,2681,Michael Carey Defensive Rebound.,18,30
6:51,2681,Connor Ferrell made Three Point Jumper. Assisted by Mike Aaman.,18,33
6:35,-1,Kevon Murphy missed Jumper.,18,33
6:35,2681,Connor Ferrell Defensive Rebound.,18,33
6:28,2681,Mike Aaman made Layup. Assisted by Blake Francis.,18,35
6:16,-1,Kevon Murphy made Jumper. Assisted by Edin Bracic.,20,35
5:49,2681,Blake Francis missed Three Point Jumper.,20,35
5:49,-1,Frank Schettino Defensive Rebound.,20,35
5:41,-1,Khaleeq Baum Turnover.,20,35
5:41,-1,Foul on Khaleeq Baum.,20,35
5:30,-1,Foul on Kevon Murphy.,20,35
5:23,2681,Mike Aaman missed Layup.,20,35
5:23,-1,Edin Bracic Defensive Rebound.,20,35
5:06,-1,Edin Bracic missed Three Point Jumper.,20,35
5:06,2681,Mike Aaman Defensive Rebound.,20,35
5:04,-1,Foul on Kevon Murphy.,20,35
5:04,2681,Mike Aaman missed Free Throw.,20,35
5:04,-1,Frank Schettino Defensive Rebound.,20,35
4:58,-1,Khaleeq Baum missed Layup.,20,35
4:58,2681,Devin Liggeons Block.,20,35
4:56,-1,Jade Spencer Offensive Rebound.,20,35
4:54,-1,Jade Spencer missed Jumper.,20,35
4:54,-1,Khaleeq Baum Offensive Rebound.,20,35
4:52,-1,Khaleeq Baum missed Layup.,20,35
4:52,-1,Christian Taylor Offensive Rebound.,20,35
4:50,-1,Christian Taylor missed Jumper.,20,35
4:50,2681,Connor Ferrell Defensive Rebound.,20,35
4:27,2681,Devin Liggeons made Three Point Jumper. Assisted by Corey Henson.,20,38
4:03,-1,Christian Taylor made Three Point Jumper. Assisted by Edin Bracic.,23,38
3:50,2681,Mike Aaman missed Layup.,23,38
3:50,2681,Devin Liggeons Offensive Rebound.,23,38
3:48,-1,Foul on Jade Spencer.,23,38
3:48,2681,Official TV Timeout,23,38
3:48,2681,Devin Liggeons missed Free Throw.,23,38
3:48,2681,Wagner Deadball Team Rebound.,23,38
3:48,2681,Devin Liggeons made Free Throw.,23,39
3:22,-1,Khaleeq Baum missed Jumper.,23,39
3:22,2681,Greg Senat Block.,23,39
3:20,2681,Devin Liggeons Defensive Rebound.,23,39
3:15,2681,Blake Francis missed Layup.,23,39
3:15,-1,Robert Rossiter Defensive Rebound.,23,39
2:59,-1,Edin Bracic missed Jumper.,23,39
2:59,-1,Khaleeq Baum Offensive Rebound.,23,39
2:55,2681,Foul on Elijah Davis.,23,39
2:55,-1,Khaleeq Baum made Free Throw.,24,39
2:55,-1,Khaleeq Baum missed Free Throw.,24,39
2:55,2681,Devin Liggeons Defensive Rebound.,24,39
2:53,-1,Foul on Robert Rossiter.,24,39
2:52,2681,Devin Liggeons made Free Throw.,24,40
2:52,2681,Devin Liggeons made Free Throw.,24,41
2:42,-1,Frank Schettino missed Layup.,24,41
2:42,2681,Greg Senat Defensive Rebound.,24,41
2:19,2681,Michael Carey missed Jumper.,24,41
2:19,2681,Greg Senat Offensive Rebound.,24,41
2:16,2681,Greg Senat made Layup.,24,43
1:59,-1,Edin Bracic made Three Point Jumper. Assisted by Frank Schettino.,27,43
1:40,2681,Corey Henson made Layup. Assisted by Blake Francis.,27,45
1:24,-1,Edin Bracic missed Three Point Jumper.,27,45
1:24,2681,Michael Carey Defensive Rebound.,27,45
1:19,2681,Michael Carey Turnover.,27,45
1:00,2681,Foul on Blake Francis.,27,45
1:00,-1,Frank Schettino missed Free Throw.,27,45
1:00,-1,College Of Staten Island Deadball Team Rebound.,27,45
1:00,-1,Frank Schettino made Free Throw.,28,45
0:41,2681,Corey Henson missed Three Point Jumper.,28,45
0:41,-1,Khaleeq Baum Defensive Rebound.,28,45
0:18,-1,Khaleeq Baum Turnover.,28,45
0:18,2681,Wagner  Timeout,28,45
0:02,-1,Foul on Robert Rossiter.,28,45
0:02,2681,Devin Liggeons made Free Throw.,28,46
0:02,2681,Devin Liggeons made Free Throw.,28,47
0:00,2681,End of 1st half,28,47
19:47,-1,Kevon Murphy missed Jumper.,28,47
19:47,2681,AJ Sumbry Block.,28,47
19:45,2681,Michael Carey Defensive Rebound.,28,47
19:39,2681,Connor Ferrell made Three Point Jumper. Assisted by Elijah Davis.,28,50
19:17,-1,Frank Schettino missed Layup.,28,50
19:17,2681,Elijah Davis Defensive Rebound.,28,50
19:11,-1,Foul on Edin Bracic.,28,50
19:11,2681,Elijah Davis made Free Throw.,28,51
19:11,2681,Elijah Davis made Free Throw.,28,52
19:02,-1,Edin Bracic missed Three Point Jumper.,28,52
19:02,2681,AJ Sumbry Defensive Rebound.,28,52
18:53,2681,Connor Ferrell missed Layup.,28,52
18:53,2681,AJ Sumbry Offensive Rebound.,28,52
18:50,2681,AJ Sumbry made Dunk.,28,54
18:45,2681,Foul on Corey Henson.,28,54
18:19,-1,Khaleeq Baum missed Layup.,28,54
18:19,-1,Khaleeq Baum Offensive Rebound.,28,54
18:18,-1,Khaleeq Baum Turnover.,28,54
17:56,2681,Connor Ferrell missed Three Point Jumper.,28,54
17:56,2681,AJ Sumbry Offensive Rebound.,28,54
17:52,2681,AJ Sumbry Turnover.,28,54
17:21,-1,Khaleeq Baum made Layup. Assisted by Frank Schettino.,30,54
17:01,2681,Elijah Davis missed Three Point Jumper.,30,54
17:01,2681,Mike Aaman Offensive Rebound.,30,54
16:58,2681,Mike Aaman made Layup.,30,56
16:38,-1,Kevon Murphy missed Jumper.,30,56
16:38,2681,Connor Ferrell Defensive Rebound.,30,56
16:32,-1,Foul on Edin Bracic.,30,56
16:25,2681,Shack Scott Turnover.,30,56
16:24,-1,Edin Bracic Steal.,30,56
16:15,-1,Robert Rossiter missed Three Point Jumper.,30,56
16:15,2681,Corey Henson Defensive Rebound.,30,56
16:06,2681,JoJo Cooper missed Jumper.,30,56
16:06,2681,Corey Henson Offensive Rebound.,30,56
16:03,2681,Shack Scott made Jumper. Assisted by Corey Henson.,30,58
15:50,2681,Foul on JoJo Cooper.,30,58
15:50,2681,Official TV Timeout,30,58
15:30,-1,Frank Schettino Turnover.,30,58
15:30,2681,Connor Ferrell Steal.,30,58
15:21,2681,Michael Carey Turnover.,30,58
15:12,-1,Frank Schettino missed Layup.,30,58
15:12,2681,Shack Scott Defensive Rebound.,30,58
15:02,-1,Foul on Frank Schettino.,30,58
15:02,2681,Michael Carey made Free Throw.,30,59
15:02,2681,Michael Carey made Free Throw.,30,60
14:48,-1,Edin Bracic missed Three Point Jumper.,30,60
14:48,2681,Mike Aaman Defensive Rebound.,30,60
14:34,2681,Shack Scott missed Layup.,30,60
14:34,-1,Khaleeq Baum Defensive Rebound.,30,60
14:05,-1,Robert Rossiter missed Jumper.,30,60
14:05,2681,Devin Liggeons Defensive Rebound.,30,60
13:56,2681,Devin Liggeons made Layup. Assisted by Michael Carey.,30,62
13:56,-1,Foul on Jasin Cobovic.,30,62
13:56,2681,Devin Liggeons made Free Throw.,30,63
13:29,-1,Christian Taylor Turnover.,30,63
13:28,2681,Devin Liggeons Steal.,30,63
13:26,2681,Greg Senat made Dunk.,30,65
13:03,2681,Foul on Devin Liggeons.,30,65
13:03,-1,Stephen Flagg made Free Throw.,31,65
13:03,-1,Stephen Flagg missed Free Throw.,31,65
13:03,2681,JoJo Cooper Defensive Rebound.,31,65
12:49,2681,JoJo Cooper Turnover.,31,65
12:48,-1,Stephen Flagg Turnover.,31,65
12:43,2681,Blake Francis made Jumper. Assisted by JoJo Cooper.,31,67
12:25,-1,Stephen Flagg made Layup.,33,67
11:59,2681,JoJo Cooper missed Three Point Jumper.,33,67
11:59,-1,Jade Spencer Defensive Rebound.,33,67
11:45,-1,Robert Rossiter Turnover.,33,67
11:45,2681,Elijah Davis Steal.,33,67
11:45,-1,Foul on Christian Taylor.,33,67
11:45,2681,Official TV Timeout,33,67
11:31,2681,Elijah Davis missed Three Point Jumper.,33,67
11:31,2681,Greg Senat Offensive Rebound.,33,67
11:19,2681,Elijah Davis Turnover.,33,67
11:19,2681,Foul on Elijah Davis.,33,67
11:08,2681,Foul on Devin Liggeons.,33,67
10:47,-1,Jade Spencer missed Layup.,33,67
10:47,2681,Greg Senat Defensive Rebound.,33,67
10:42,2681,Elijah Davis made Layup. Assisted by Greg Senat.,33,69
10:25,2681,Foul on Devin Liggeons.,33,69
10:09,-1,Khaleeq Baum missed Jumper.,33,69
10:09,-1,Edin Bracic Offensive Rebound.,33,69
10:03,-1,Raymond Savage missed Three Point Jumper.,33,69
10:03,2681,Devin Liggeons Defensive Rebound.,33,69
10:00,-1,Foul on Frank Schettino.,33,69
9:45,2681,Devin Liggeons made Three Point Jumper. Assisted by Elijah Davis.,33,72
9:28,2681,Foul on Elijah Davis.,33,72
9:28,-1,Khaleeq Baum missed Free Throw.,33,72
9:28,-1,College Of Staten Island Deadball Team Rebound.,33,72
9:28,-1,Khaleeq Baum made Free Throw.,34,72
9:13,2681,Devin Liggeons Turnover.,34,72
8:46,-1,Kevon Murphy made Layup. Assisted by Khaleeq Baum.,36,72
8:19,2681,Connor Ferrell missed Three Point Jumper.,36,72
8:19,2681,AJ Sumbry Offensive Rebound.,36,72
8:15,2681,AJ Sumbry made Layup.,36,74
8:05,-1,Edin Bracic missed Three Point Jumper.,36,74
8:05,2681,Connor Ferrell Defensive Rebound.,36,74
7:57,2681,Blake Francis missed Jumper.,36,74
7:57,2681,Wagner Offensive Rebound.,36,74
7:54,2681,Official TV Timeout,36,74
7:40,2681,AJ Sumbry made Layup. Assisted by Blake Francis.,36,76
7:19,-1,Edin Bracic missed Three Point Jumper.,36,76
7:19,2681,AJ Sumbry Defensive Rebound.,36,76
6:48,2681,Blake Francis missed Layup.,36,76
6:48,-1,College Of Staten Island Deadball Team Rebound.,36,76
6:25,-1,Raymond Savage made Three Point Jumper. Assisted by Christian Taylor.,39,76
5:59,2681,Devin Liggeons made Three Point Jumper. Assisted by Blake Francis.,39,79
5:38,-1,Christian Taylor made Layup.,41,79
5:38,2681,Foul on Shack Scott.,41,79
5:38,-1,Christian Taylor made Free Throw.,42,79
5:13,-1,Foul on Jasin Cobovic.,42,79
5:12,2681,Connor Ferrell missed Free Throw.,42,79
5:12,2681,Wagner Deadball Team Rebound.,42,79
5:12,2681,Connor Ferrell made Free Throw.,42,80
5:12,2681,Connor Ferrell made Free Throw.,42,81
4:51,-1,Zaqan Charles missed Layup.,42,81
4:51,2681,Connor Ferrell Defensive Rebound.,42,81
4:50,-1,Foul on James Delahanty.,42,81
4:50,2681,Connor Ferrell made Free Throw.,42,82
4:50,2681,Connor Ferrell made Free Throw.,42,83
4:39,-1,Jasin Cobovic missed Jumper.,42,83
4:39,-1,Zaqan Charles Offensive Rebound.,42,83
4:32,-1,Raymond Savage missed Three Point Jumper.,42,83
4:32,2681,Shack Scott Defensive Rebound.,42,83
4:29,-1,Foul on James Delahanty.,42,83
4:29,2681,Shack Scott missed Free Throw.,42,83
4:29,-1,Zaqan Charles Defensive Rebound.,42,83
4:02,-1,Vincent Dacunto Turnover.,42,83
4:01,2681,Devin Liggeons Steal.,42,83
3:41,2681,Blake Francis made Jumper.,42,85
3:18,-1,Raymond Savage Turnover.,42,85
2:59,2681,Blake Francis made Jumper.,42,87
2:53,-1,Vincent Dacunto Turnover.,42,87
2:52,2681,Blake Francis Steal.,42,87
2:51,2681,Blake Francis made Layup.,42,89
2:36,-1,James Delahanty missed Layup.,42,89
2:36,2681,Greg Senat Defensive Rebound.,42,89
2:19,2681,Devin Liggeons missed Three Point Jumper.,42,89
2:19,2681,Shack Scott Offensive Rebound.,42,89
2:16,-1,Foul on Zaqan Charles.,42,89
2:16,2681,Shack Scott made Free Throw.,42,90
2:16,2681,Shack Scott missed Free Throw.,42,90
2:16,2681,Shack Scott Offensive Rebound.,42,90
2:14,-1,Foul on Zaqan Charles.,42,90
2:14,2681,Shack Scott made Free Throw.,42,91
2:14,2681,Shack Scott missed Free Throw.,42,91
2:14,-1,James Delahanty Defensive Rebound.,42,91
1:52,-1,Zaqan Charles missed Jumper.,42,91
1:52,2681,Connor Ferrell Defensive Rebound.,42,91
1:32,2681,Connor Ferrell made Three Point Jumper. Assisted by Blake Francis.,42,94
1:14,-1,Vincent Dacunto Turnover.,42,94
1:13,2681,Greg Senat Steal.,42,94
1:09,2681,Connor Ferrell Turnover.,42,94
0:42,-1,Raymond Savage missed Jumper.,42,94
0:42,2681,Wagner Defensive Rebound.,42,94
0:11,2681,Blake Francis Turnover.,42,94
0:01,-1,Jasin Cobovic missed Jumper.,42,94
0:01,2681,Elijah Davis Defensive Rebound.,42,94
0:00,2681,End of Game,42,94
