Houston Baptist,77,Northwestern,2277
8:25,2277,Foul on Asa Cantwell.,23,16
8:22,77,Scottie Lindsey missed Layup.,23,16
8:22,2277,Atif Russell Defensive Rebound.,23,16
8:05,2277,Atif Russell Turnover.,23,16
7:54,77,Scottie Lindsey made Dunk. Assisted by Bryant McIntosh.,23,18
7:33,2277,Atif Russell made Jumper. Assisted by Colter Lasher.,25,18
7:16,77,Isiah Brown made Three Point Jumper. Assisted by Scottie Lindsey.,25,21
6:53,2277,Reveal Chukwujekwu made Jumper. Assisted by Colter Lasher.,27,21
6:32,77,Isiah Brown Turnover.,27,21
6:31,2277,Colter Lasher Steal.,27,21
6:15,2277,Colter Lasher made Jumper.,29,21
6:14,77,Northwestern  Timeout,29,21
6:02,77,Bryant McIntosh Turnover.,29,21
6:00,2277,Atif Russell Steal.,29,21
5:59,2277,Braxton Bonds made Layup. Assisted by Atif Russell.,31,21
5:37,77,Vic Law missed Jumper.,31,21
5:37,77,Gavin Skelly Offensive Rebound.,31,21
5:33,77,Vic Law missed Three Point Jumper.,31,21
5:33,77,Gavin Skelly Offensive Rebound.,31,21
5:29,77,Scottie Lindsey missed Three Point Jumper.,31,21
5:29,2277,Atif Russell Defensive Rebound.,31,21
5:22,77,Foul on Gavin Skelly.,31,21
5:10,2277,Foul on Reveal Chukwujekwu.,31,21
5:10,2277,Reveal Chukwujekwu Turnover.,31,21
4:57,77,Bryant McIntosh missed Three Point Jumper.,31,21
4:57,2277,Colter Lasher Defensive Rebound.,31,21
4:45,2277,Colter Lasher made Layup.,33,21
4:30,77,Bryant McIntosh missed Layup.,33,21
4:30,77,Northwestern Offensive Rebound.,33,21
4:28,2277,Foul on Colter Lasher.,33,21
4:28,77,Sanjay Lumpkin made Free Throw.,33,22
4:28,77,Sanjay Lumpkin made Free Throw.,33,23
4:19,2277,Foul on Colter Lasher.,33,23
4:19,2277,Colter Lasher Turnover.,33,23
4:02,77,Scottie Lindsey missed Three Point Jumper.,33,23
4:02,2277,Atif Russell Defensive Rebound.,33,23
3:59,2277,Braxton Bonds Turnover.,33,23
3:59,77,Official TV Timeout,33,23
3:52,77,Bryant McIntosh missed Layup.,33,23
3:52,2277,Alex Fountain Block.,33,23
3:50,2277,Jalen Weber Defensive Rebound.,33,23
3:46,2277,Atif Russell missed Jumper.,33,23
3:46,77,Vic Law Defensive Rebound.,33,23
3:40,77,Sanjay Lumpkin made Layup.,33,25
3:09,2277,Josh Ibarra missed Jumper.,33,25
3:09,77,Barret Benson Block.,33,25
3:07,77,Bryant McIntosh Defensive Rebound.,33,25
3:03,77,Scottie Lindsey missed Layup.,33,25
3:03,2277,Alex Fountain Block.,33,25
3:01,2277,Atif Russell Defensive Rebound.,33,25
2:58,2277,Atif Russell made Layup.,35,25
2:41,77,Scottie Lindsey missed Layup.,35,25
2:41,77,Sanjay Lumpkin Offensive Rebound.,35,25
2:38,77,Vic Law missed Three Point Jumper.,35,25
2:38,2277,Jalen Weber Defensive Rebound.,35,25
2:15,77,Foul on Barret Benson.,35,25
2:10,2277,Foul on Jalen Weber.,35,25
2:10,2277,Jalen Weber Turnover.,35,25
1:48,77,Vic Law missed Jumper.,35,25
1:48,2277,Alex Fountain Defensive Rebound.,35,25
1:23,2277,Braxton Bonds missed Three Point Jumper.,35,25
1:23,77,Sanjay Lumpkin Defensive Rebound.,35,25
1:15,77,Scottie Lindsey missed Three Point Jumper.,35,25
1:15,2277,Atif Russell Defensive Rebound.,35,25
1:07,2277,Foul on Atif Russell.,35,25
1:07,2277,Atif Russell Turnover.,35,25
1:07,2277,Houston Baptist  Timeout,35,25
0:48,77,Sanjay Lumpkin missed Three Point Jumper.,35,25
0:48,2277,Braxton Bonds Defensive Rebound.,35,25
0:19,2277,Jalen Weber missed Jumper.,35,25
0:19,2277,Braxton Bonds Offensive Rebound.,35,25
0:17,2277,Houston Baptist  Turnover.,35,25
0:02,77,Bryant McIntosh missed Jumper.,35,25
0:02,2277,Alex Fountain Defensive Rebound.,35,25
0:00,77,End of 1st half,35,25
19:47,77,Sanjay Lumpkin made Three Point Jumper. Assisted by Bryant McIntosh.,35,28
19:30,2277,Reveal Chukwujekwu missed Layup.,35,28
19:30,77,Vic Law Defensive Rebound.,35,28
19:24,77,Scottie Lindsey missed Three Point Jumper.,35,28
19:24,2277,Colter Lasher Defensive Rebound.,35,28
19:05,2277,Colter Lasher missed Three Point Jumper.,35,28
19:05,2277,Braxton Bonds Offensive Rebound.,35,28
18:59,2277,Braxton Bonds missed Jumper.,35,28
18:59,77,Vic Law Defensive Rebound.,35,28
18:59,2277,Foul on Josh Ibarra.,35,28
18:47,77,Bryant McIntosh missed Jumper.,35,28
18:47,2277,Josh Ibarra Defensive Rebound.,35,28
18:39,2277,Colter Lasher made Layup.,37,28
18:17,2277,Foul on Asa Cantwell.,37,28
18:01,77,Scottie Lindsey missed Layup.,37,28
18:01,77,Barret Benson Offensive Rebound.,37,28
18:00,2277,Foul on Colter Lasher.,37,28
17:53,77,Vic Law made Layup. Assisted by Barret Benson.,37,30
17:53,2277,Foul on Josh Ibarra.,37,30
17:53,77,Vic Law missed Free Throw.,37,30
17:53,77,Barret Benson Offensive Rebound.,37,30
17:49,77,Bryant McIntosh made Three Point Jumper. Assisted by Barret Benson.,37,33
17:28,77,Foul on Vic Law.,37,33
17:28,2277,Reveal Chukwujekwu made Free Throw.,38,33
17:28,2277,Reveal Chukwujekwu made Free Throw.,39,33
17:07,77,Barret Benson missed Layup.,39,33
17:07,2277,Atif Russell Block.,39,33
17:05,77,Barret Benson Offensive Rebound.,39,33
17:05,77,Scottie Lindsey missed Layup.,39,33
17:05,2277,Josh Ibarra Block.,39,33
17:05,2277,Houston Baptist Defensive Rebound.,39,33
16:52,2277,Foul on Josh Ibarra.,39,33
16:52,2277,Josh Ibarra Turnover.,39,33
16:40,77,Bryant McIntosh made Jumper.,39,35
16:22,77,Foul on Sanjay Lumpkin.,39,35
16:22,2277,Alex Fountain missed Free Throw.,39,35
16:22,2277,Houston Baptist Deadball Team Rebound.,39,35
16:22,2277,Alex Fountain made Free Throw.,40,35
16:05,77,Isiah Brown missed Three Point Jumper.,40,35
16:05,2277,Atif Russell Defensive Rebound.,40,35
15:54,77,Foul on Gavin Skelly.,40,35
15:54,77,Official TV Timeout,40,35
15:54,2277,Alex Fountain missed Free Throw.,40,35
15:54,2277,Houston Baptist Deadball Team Rebound.,40,35
15:54,2277,Alex Fountain made Free Throw.,41,35
15:42,77,Scottie Lindsey made Jumper.,41,37
15:13,2277,Atif Russell missed Three Point Jumper.,41,37
15:13,77,Northwestern Defensive Rebound.,41,37
15:11,2277,Foul on Reveal Chukwujekwu.,41,37
14:55,77,Scottie Lindsey missed Three Point Jumper.,41,37
14:55,2277,Asa Cantwell Defensive Rebound.,41,37
14:39,2277,Colter Lasher Turnover.,41,37
14:37,77,Isiah Brown Steal.,41,37
14:36,77,Isiah Brown made Layup.,41,39
14:28,77,Foul on Bryant McIntosh.,41,39
14:16,77,Foul on Sanjay Lumpkin.,41,39
14:16,2277,Colter Lasher made Free Throw.,42,39
14:16,2277,Colter Lasher missed Free Throw.,42,39
14:16,77,Sanjay Lumpkin Defensive Rebound.,42,39
14:13,2277,Foul on Braxton Bonds.,42,39
14:13,77,Sanjay Lumpkin made Free Throw.,42,40
14:13,77,Sanjay Lumpkin made Free Throw.,42,41
13:49,2277,Braxton Bonds made Layup. Assisted by Atif Russell.,44,41
13:30,77,Isiah Brown missed Layup.,44,41
13:30,2277,Cody Stetler Block.,44,41
13:30,77,Northwestern Offensive Rebound.,44,41
13:17,77,Gavin Skelly made Layup. Assisted by Bryant McIntosh.,44,43
13:01,2277,Cody Stetler missed Jumper.,44,43
13:01,77,Scottie Lindsey Defensive Rebound.,44,43
12:46,77,Bryant McIntosh missed Jumper.,44,43
12:46,77,Sanjay Lumpkin Offensive Rebound.,44,43
12:44,77,Sanjay Lumpkin made Layup.,44,45
12:23,2277,Colter Lasher missed Layup.,44,45
12:23,77,Vic Law Defensive Rebound.,44,45
12:04,77,Bryant McIntosh missed Jumper.,44,45
12:04,2277,Cody Stetler Defensive Rebound.,44,45
12:00,2277,Atif Russell made Dunk. Assisted by Cody Stetler.,46,45
11:46,2277,Foul on Asa Cantwell.,46,45
11:46,77,Official TV Timeout,46,45
11:46,77,Sanjay Lumpkin missed Free Throw.,46,45
11:46,2277,Reveal Chukwujekwu Defensive Rebound.,46,45
11:35,77,Foul on Gavin Skelly.,46,45
11:35,2277,Josh Ibarra missed Layup.,46,45
11:35,2277,Josh Ibarra Offensive Rebound.,46,45
11:35,2277,Josh Ibarra missed Layup.,46,45
11:35,77,Isiah Brown Defensive Rebound.,46,45
11:31,77,Scottie Lindsey missed Layup.,46,45
11:31,77,Sanjay Lumpkin Offensive Rebound.,46,45
11:26,77,Scottie Lindsey made Three Point Jumper. Assisted by Isiah Brown.,46,48
11:08,2277,Colter Lasher missed Jumper.,46,48
11:08,77,Sanjay Lumpkin Defensive Rebound.,46,48
10:41,2277,Foul on Jalen Weber.,46,48
10:41,77,Isiah Brown made Free Throw.,46,49
10:41,77,Isiah Brown made Free Throw.,46,50
10:23,77,Foul on Nathan Taphorn.,46,50
10:23,2277,Atif Russell missed Free Throw.,46,50
10:23,77,Barret Benson Defensive Rebound.,46,50
10:00,2277,Foul on Josh Ibarra.,46,50
10:00,77,Vic Law missed Free Throw.,46,50
10:00,77,Northwestern Deadball Team Rebound.,46,50
10:00,77,Isiah Brown missed Free Throw.,46,50
10:00,77,Northwestern Deadball Team Rebound.,46,50
10:00,77,Isiah Brown missed Free Throw.,46,50
10:00,2277,Josh Ibarra Defensive Rebound.,46,50
9:58,2277,Reveal Chukwujekwu missed Three Point Jumper.,46,50
9:58,77,Northwestern Defensive Rebound.,46,50
9:53,77,Bryant McIntosh missed Three Point Jumper.,46,50
9:53,2277,Colter Lasher Defensive Rebound.,46,50
9:43,2277,Alex Fountain missed Three Point Jumper.,46,50
9:43,2277,Reveal Chukwujekwu Offensive Rebound.,46,50
9:40,2277,Reveal Chukwujekwu missed Two Point Tip Shot.,46,50
9:40,77,Barret Benson Defensive Rebound.,46,50
9:22,77,Vic Law missed Three Point Jumper.,46,50
9:22,77,Isiah Brown Offensive Rebound.,46,50
9:17,77,Isiah Brown made Layup.,46,52
8:35,77,Foul on Isiah Brown.,46,52
8:35,2277,Alex Fountain made Free Throw.,47,52
8:35,2277,Alex Fountain made Free Throw.,48,52
8:21,77,Bryant McIntosh missed Three Point Jumper.,48,52
8:21,2277,Reveal Chukwujekwu Defensive Rebound.,48,52
8:14,2277,Reveal Chukwujekwu missed Jumper.,48,52
8:14,2277,Cody Stetler Offensive Rebound.,48,52
8:10,2277,Cody Stetler missed Jumper.,48,52
8:10,77,Vic Law Defensive Rebound.,48,52
8:04,77,Bryant McIntosh Turnover.,48,52
8:03,2277,Cody Stetler Steal.,48,52
7:59,2277,Reveal Chukwujekwu missed Three Point Jumper.,48,52
7:59,77,Sanjay Lumpkin Defensive Rebound.,48,52
7:30,77,Nathan Taphorn missed Layup.,48,52
7:30,2277,Alex Fountain Block.,48,52
7:30,77,Northwestern Offensive Rebound.,48,52
7:29,77,Official TV Timeout,48,52
7:18,2277,Foul on Cody Stetler.,48,52
7:18,77,Barret Benson missed Free Throw.,48,52
7:18,77,Northwestern Deadball Team Rebound.,48,52
7:18,77,Barret Benson made Free Throw.,48,53
7:08,2277,Asa Cantwell missed Three Point Jumper.,48,53
7:08,77,Northwestern Defensive Rebound.,48,53
6:50,77,Gavin Skelly made Jumper. Assisted by Vic Law.,48,55
6:24,2277,Reveal Chukwujekwu made Layup.,50,55
6:03,77,Bryant McIntosh missed Jumper.,50,55
6:03,77,Vic Law Offensive Rebound.,50,55
6:00,77,Vic Law made Free Throw.,50,56
6:00,2277,Foul on Braxton Bonds.,50,56
6:00,77,Vic Law missed Free Throw.,50,56
5:51,77,Northwestern Deadball Team Rebound.,50,56
5:50,2277,Reveal Chukwujekwu Turnover.,50,56
5:01,77,Scottie Lindsey missed Three Point Jumper.,50,56
5:01,77,Vic Law Offensive Rebound.,50,56
4:56,77,Vic Law made Layup.,50,58
4:35,77,Foul on Gavin Skelly.,50,58
4:35,2277,Alex Fountain missed Free Throw.,50,58
4:35,2277,Houston Baptist Deadball Team Rebound.,50,58
4:35,2277,Alex Fountain made Free Throw.,51,58
4:35,2277,Alex Fountain made Free Throw.,52,58
4:21,77,Scottie Lindsey made Layup. Assisted by Sanjay Lumpkin.,52,60
4:18,2277,Colter Lasher Turnover.,52,60
4:18,77,Vic Law Steal.,52,60
4:10,77,Vic Law missed Three Point Jumper.,52,60
4:10,77,Scottie Lindsey Offensive Rebound.,52,60
4:09,77,Scottie Lindsey missed Dunk.,52,60
4:09,2277,Colter Lasher Defensive Rebound.,52,60
4:03,2277,Alex Fountain missed Three Point Jumper.,52,60
4:03,77,Vic Law Defensive Rebound.,52,60
4:01,77,Vic Law made Layup.,52,62
4:01,2277,Foul on Asa Cantwell.,52,62
4:01,77,Vic Law made Free Throw.,52,63
3:55,2277,Colter Lasher missed Three Point Jumper.,52,63
3:55,77,Nathan Taphorn Block.,52,63
3:55,77,Scottie Lindsey Defensive Rebound.,52,63
3:40,77,Bryant McIntosh missed Layup.,52,63
3:40,2277,Reveal Chukwujekwu Defensive Rebound.,52,63
3:25,2277,Atif Russell made Layup. Assisted by Reveal Chukwujekwu.,54,63
3:25,2277,Houston Baptist  Timeout,54,63
2:54,77,Nathan Taphorn missed Three Point Jumper.,54,63
2:54,77,Bryant McIntosh Offensive Rebound.,54,63
2:33,77,Bryant McIntosh made Jumper.,54,65
2:16,77,Foul on Bryant McIntosh.,54,65
2:16,77,Official TV Timeout,54,65
2:16,2277,Atif Russell made Free Throw.,55,65
2:16,2277,Atif Russell missed Free Throw.,55,65
2:16,2277,Alex Fountain Offensive Rebound.,55,65
2:12,2277,Alex Fountain missed Jumper.,55,65
2:12,77,Nathan Taphorn Defensive Rebound.,55,65
2:01,77,Bryant McIntosh Turnover.,55,65
2:00,2277,Braxton Bonds Steal.,55,65
1:57,2277,Atif Russell made Layup. Assisted by Alex Fountain.,57,65
1:37,2277,Foul on Alex Fountain.,57,65
1:37,77,Bryant McIntosh missed Free Throw.,57,65
1:37,77,Northwestern Deadball Team Rebound.,57,65
1:37,77,Bryant McIntosh made Free Throw.,57,66
1:21,77,Foul on Scottie Lindsey.,57,66
1:21,2277,Atif Russell made Free Throw.,58,66
1:21,2277,Atif Russell made Free Throw.,59,66
1:02,2277,Foul on Jalen Weber.,59,66
1:02,77,Isiah Brown made Free Throw.,59,67
1:02,77,Isiah Brown missed Free Throw.,59,67
1:02,2277,Alex Fountain Defensive Rebound.,59,67
0:47,2277,Alex Fountain made Jumper. Assisted by Colter Lasher.,61,67
0:47,2277,Houston Baptist  Timeout,61,67
0:38,77,Sanjay Lumpkin Turnover.,61,67
0:27,2277,Atif Russell Turnover.,61,67
0:25,77,Scottie Lindsey Steal.,61,67
0:18,77,Scottie Lindsey made Layup.,61,69
0:18,2277,Foul on Reveal Chukwujekwu.,61,69
0:18,77,Scottie Lindsey made Free Throw.,61,70
0:12,2277,Colter Lasher made Layup. Assisted by Alex Fountain.,63,70
0:10,2277,Foul on Alex Fountain.,63,70
0:10,77,Scottie Lindsey made Free Throw.,63,71
0:10,77,Scottie Lindsey made Free Throw.,63,72
0:00,2277,Braxton Bonds missed Three Point Jumper.,63,72
0:00,77,Sanjay Lumpkin Defensive Rebound.,63,72
0:00,77,End of Game,63,72
