Tennessee,2193,East Tennessee State,2633
1:49,2633,Robert Hubbs III made Free Throw.,65,65
1:49,2633,Robert Hubbs III missed Free Throw.,65,65
1:49,2193,A.J. Merriweather Defensive Rebound.,65,65
1:37,2193,Desonta Bradford missed Jumper.,65,65
1:37,2633,Grant Williams Block.,65,65
1:34,2633,Shembari Phillips Defensive Rebound.,65,65
1:11,2193,Foul on A.J. Merriweather.,65,65
1:11,2633,Detrick Mostella made Free Throw.,66,65
1:11,2633,Detrick Mostella made Free Throw.,67,65
0:59,2193,T.J. Cromer missed Jumper.,67,65
0:59,2633,Detrick Mostella Defensive Rebound.,67,65
0:29,2633,Detrick Mostella made Jumper.,69,65
0:22,2193,Desonta Bradford missed Jumper.,69,65
0:22,2633,Grant Williams Defensive Rebound.,69,65
0:20,2193,Foul on Desonta Bradford.,69,65
0:20,2633,Grant Williams made Free Throw.,70,65
0:20,2633,Grant Williams missed Free Throw.,70,65
0:20,2633,Shembari Phillips Offensive Rebound.,70,65
0:13,2193,Foul on Desonta Bradford.,70,65
0:13,2633,Lamonte Turner made Free Throw.,71,65
0:13,2633,Lamonte Turner made Free Throw.,72,65
0:13,2633,Tennessee  Timeout,72,65
0:06,2193,David Burrell made Three Point Jumper. Assisted by Desonta Bradford.,72,68
0:05,2193,East Tennessee St  Timeout,72,68
0:02,2193,Foul on Hanner Mosquera-Perea.,72,68
0:02,2633,Shembari Phillips missed Free Throw.,72,68
0:02,2633,Tennessee Deadball Team Rebound.,72,68
0:02,2633,Shembari Phillips missed Free Throw.,72,68
0:02,2193,Desonta Bradford Defensive Rebound.,72,68
0:00,2193,End of Game,72,68
