Tulsa,2617,Stephen F. Austin,202
2:00,202,Jaleel Wheeler Defensive Rebound.,34,23
1:54,202,Sterling Taplin Turnover.,34,23
1:54,2617,Aaron Augustin Steal.,34,23
1:50,202,Foul on Jaleel Wheeler.,34,23
1:50,2617,Dallas Cameron missed Free Throw.,34,23
1:50,2617,Stephen F. Austin Offensive Rebound.,34,23
1:36,2617,Samuli Nieminen missed Three Point Jumper.,34,23
1:36,202,Joseph Battle Defensive Rebound.,34,23
1:21,202,Will Magnay Turnover.,34,23
1:08,2617,Kevon Harris missed Three Point Jumper.,34,23
1:08,202,Joseph Battle Defensive Rebound.,34,23
0:53,202,Pat Birt made Three Point Jumper. Assisted by Will Magnay.,37,23
0:31,2617,Dallas Cameron missed Three Point Jumper.,37,23
0:31,2617,Samuli Nieminen Offensive Rebound.,37,23
0:31,2617,Samuli Nieminen made Two Point Tip Shot.,37,25
0:18,202,Tulsa  Timeout,37,25
0:04,202,Corey Henderson Jr. made Three Point Jumper.,40,25
0:00,2617,End of 1st half,40,25
20:00,2617,Jump Ball won by Stephen F. Austin,40,25
19:52,202,Foul on Junior Etou.,40,25
19:47,2617,TJ Holyfield made Layup.,40,27
19:35,2617,Foul on Josh Huntley.,40,27
19:35,2617,Foul on Ivan Canete.,40,27
19:25,202,Lawson Korita missed Three Point Jumper.,40,27
19:25,2617,Dallas Cameron Defensive Rebound.,40,27
19:04,2617,Josh Huntley Turnover.,40,27
18:46,202,Will Magnay missed Layup.,40,27
18:46,2617,Josh Huntley Block.,40,27
18:46,2617,Stephen F. Austin Defensive Rebound.,40,27
18:31,2617,TJ Holyfield made Jumper.,40,29
18:31,202,Foul on Pat Birt.,40,29
18:31,2617,TJ Holyfield made Free Throw.,40,30
18:18,202,Sterling Taplin missed Three Point Jumper.,40,30
18:18,2617,Josh Huntley Defensive Rebound.,40,30
17:59,2617,Ivan Canete missed Jumper.,40,30
17:59,2617,Stephen F. Austin Offensive Rebound.,40,30
17:54,2617,TJ Holyfield Turnover.,40,30
17:43,202,Lawson Korita Turnover.,40,30
17:38,202,Foul on Sterling Taplin.,40,30
17:38,2617,Ivan Canete made Free Throw.,40,31
17:38,2617,Ivan Canete made Free Throw.,40,32
17:22,202,Will Magnay missed Layup.,40,32
17:22,202,Sterling Taplin Offensive Rebound.,40,32
17:18,202,Sterling Taplin missed Layup.,40,32
17:18,2617,Dallas Cameron Defensive Rebound.,40,32
17:13,202,Foul on Sterling Taplin.,40,32
17:02,2617,Ivan Canete missed Three Point Jumper.,40,32
17:02,202,Corey Henderson Jr. Defensive Rebound.,40,32
16:52,2617,Foul on TJ Holyfield.,40,32
16:46,202,Joseph Battle made Layup.,42,32
16:46,2617,Foul on Samuli Nieminen.,42,32
16:46,202,Joseph Battle made Free Throw.,43,32
16:35,2617,Samuli Nieminen missed Jumper.,43,32
16:35,202,TK Edogi Block.,43,32
16:35,202,TK Edogi Defensive Rebound.,43,32
16:26,202,Jaleel Wheeler made Dunk. Assisted by Corey Henderson Jr..,45,32
16:18,2617,Stephen F. Austin  Timeout,45,32
15:55,2617,Aaron Augustin Turnover.,45,32
15:55,2617,Official TV Timeout,45,32
15:43,202,Corey Henderson Jr. Turnover.,45,32
15:43,2617,Kevon Harris Steal.,45,32
15:36,2617,Kevon Harris Turnover.,45,32
15:27,2617,Foul on Ivan Canete.,45,32
15:15,202,Joseph Battle missed Layup.,45,32
15:15,2617,Kevon Harris Block.,45,32
15:15,2617,Leon Gilmore III Defensive Rebound.,45,32
14:57,202,Foul on Joseph Battle.,45,32
14:51,2617,Isaiah Traylor missed Three Point Jumper.,45,32
14:51,202,Jaleel Wheeler Defensive Rebound.,45,32
14:33,202,Pat Birt missed Three Point Jumper.,45,32
14:33,2617,TJ Holyfield Defensive Rebound.,45,32
14:20,2617,Leon Gilmore III made Jumper. Assisted by Kevon Harris.,45,34
14:08,202,TK Edogi made Layup.,47,34
13:52,2617,TJ Holyfield missed Three Point Jumper.,47,34
13:52,202,TK Edogi Defensive Rebound.,47,34
13:37,2617,Foul on Aaron Augustin.,47,34
13:34,202,Corey Henderson Jr. Turnover.,47,34
13:19,2617,TJ Holyfield missed Layup.,47,34
13:19,202,TK Edogi Defensive Rebound.,47,34
13:08,202,Pat Birt missed Jumper.,47,34
13:08,202,Pat Birt Offensive Rebound.,47,34
13:02,202,Jaleel Wheeler missed Jumper.,47,34
13:02,2617,Aaron Augustin Defensive Rebound.,47,34
12:44,2617,Leon Gilmore III made Jumper. Assisted by Isaiah Traylor.,47,36
12:18,202,Joseph Battle missed Layup.,47,36
12:18,2617,TJ Holyfield Block.,47,36
12:18,202,Tulsa Offensive Rebound.,47,36
12:15,202,Lawson Korita missed Three Point Jumper.,47,36
12:15,2617,Leon Gilmore III Defensive Rebound.,47,36
12:03,202,Foul on Will Magnay.,47,36
11:54,2617,Kevon Harris missed Jumper.,47,36
11:54,202,Will Magnay Defensive Rebound.,47,36
11:24,202,Pat Birt made Three Point Jumper. Assisted by Sterling Taplin.,50,36
10:53,202,Foul on Will Magnay.,50,36
10:53,2617,Official TV Timeout,50,36
10:53,2617,Dallas Cameron made Free Throw.,50,37
10:53,2617,Dallas Cameron made Free Throw.,50,38
10:52,202,Jaleel Wheeler Turnover.,50,38
10:52,2617,Aaron Augustin Steal.,50,38
10:36,2617,Foul on TJ Holyfield.,50,38
10:36,2617,TJ Holyfield Turnover.,50,38
10:19,202,Martins Igbanu made Layup. Assisted by Jaleel Wheeler.,52,38
10:07,2617,Stephen F. Austin  Timeout,52,38
10:02,2617,Kevon Harris made Dunk. Assisted by Leon Gilmore III.,52,40
9:42,202,Foul on Martins Igbanu.,52,40
9:42,202,Martins Igbanu Turnover.,52,40
9:26,2617,Ivan Canete missed Three Point Jumper.,52,40
9:26,202,Sterling Taplin Defensive Rebound.,52,40
9:01,202,Jaleel Wheeler missed Layup.,52,40
9:01,202,Junior Etou Offensive Rebound.,52,40
9:01,202,Junior Etou made Two Point Tip Shot.,54,40
8:44,202,Foul on Sterling Taplin.,54,40
8:44,2617,Dallas Cameron missed Free Throw.,54,40
8:44,2617,Stephen F. Austin Deadball Team Rebound.,54,40
8:44,2617,Dallas Cameron made Free Throw.,54,41
8:29,202,Jaleel Wheeler made Layup.,56,41
8:05,2617,Dallas Cameron made Layup.,56,43
7:53,202,Junior Etou missed Jumper.,56,43
7:53,202,Lawson Korita Offensive Rebound.,56,43
7:47,202,Pat Birt made Three Point Jumper. Assisted by Lawson Korita.,59,43
7:18,2617,Josh Huntley missed Jumper.,59,43
7:18,202,Junior Etou Defensive Rebound.,59,43
7:07,202,Jaleel Wheeler made Layup.,61,43
7:07,2617,Foul on Aaron Augustin.,61,43
7:07,2617,Official TV Timeout,61,43
7:07,202,Jaleel Wheeler made Free Throw.,62,43
6:53,2617,TJ Holyfield made Jumper.,62,45
6:28,202,Junior Etou Turnover.,62,45
6:13,2617,Dallas Cameron made Jumper.,62,47
5:52,202,Lawson Korita missed Jumper.,62,47
5:52,2617,TJ Holyfield Defensive Rebound.,62,47
5:42,2617,Isaiah Traylor missed Three Point Jumper.,62,47
5:42,202,Lawson Korita Defensive Rebound.,62,47
5:26,202,TK Edogi missed Layup.,62,47
5:26,2617,TJ Holyfield Block.,62,47
5:26,2617,Dallas Cameron Defensive Rebound.,62,47
5:20,202,Foul on Pat Birt.,62,47
5:20,2617,Leon Gilmore III made Free Throw.,62,48
5:20,2617,Leon Gilmore III made Free Throw.,62,49
4:57,202,Joseph Battle missed Layup.,62,49
4:57,2617,TJ Holyfield Block.,62,49
4:57,202,Joseph Battle Offensive Rebound.,62,49
4:51,202,Joseph Battle missed Layup.,62,49
4:51,2617,Ivan Canete Defensive Rebound.,62,49
4:40,2617,Foul on TJ Holyfield.,62,49
4:40,2617,TJ Holyfield Turnover.,62,49
4:21,202,Lawson Korita missed Jumper.,62,49
4:21,202,Will Magnay Offensive Rebound.,62,49
4:16,202,Will Magnay made Jumper.,64,49
4:05,2617,Stephen F. Austin  Timeout,64,49
3:54,2617,Kevon Harris Turnover.,64,49
3:54,202,Sterling Taplin Steal.,64,49
3:23,202,Will Magnay made Layup. Assisted by Sterling Taplin.,66,49
3:06,2617,Samuli Nieminen Turnover.,66,49
2:38,202,Will Magnay made Dunk. Assisted by Sterling Taplin.,68,49
2:18,2617,Josh Huntley missed Jumper.,68,49
2:18,202,Pat Birt Defensive Rebound.,68,49
1:48,202,Lawson Korita missed Three Point Jumper.,68,49
1:48,2617,Ivan Canete Defensive Rebound.,68,49
1:38,202,Foul on Sterling Taplin.,68,49
1:38,2617,Aaron Augustin missed Free Throw.,68,49
1:38,2617,Stephen F. Austin Deadball Team Rebound.,68,49
1:38,2617,Aaron Augustin missed Free Throw.,68,49
1:38,202,Travis Atson Defensive Rebound.,68,49
1:22,202,Corey Haith made Three Point Jumper. Assisted by Corey Henderson Jr..,71,49
0:45,202,Foul on Corey Henderson Jr..,71,49
0:45,2617,Aaron Augustin made Free Throw.,71,50
0:45,2617,Aaron Augustin made Free Throw.,71,51
0:35,202,Travis Atson made Three Point Jumper. Assisted by Corey Haith.,74,51
0:07,2617,Aaron Augustin missed Three Point Jumper.,74,51
0:07,202,Martins Igbanu Defensive Rebound.,74,51
0:06,202,Martins Igbanu Turnover.,74,51
0:06,2617,Josh Huntley Steal.,74,51
0:00,2617,End of Game,74,51
