Stony Brook,2341,LIU Brooklyn,2619
2:53,2619,Jakub Petras missed Jumper.,33,32
2:53,2341,Julian Batts Defensive Rebound.,33,32
2:49,2341,Julius van Sauers Turnover.,33,32
2:35,2341,Foul on Raiquan Clark.,33,32
2:35,2619,UC Iroegbu made Free Throw.,34,32
2:35,2619,UC Iroegbu missed Free Throw.,34,32
2:35,2619,Elijah Olaniyi Offensive Rebound.,34,32
2:27,2619,UC Iroegbu Turnover.,34,32
2:13,2341,Joel Hernandez made Layup.,34,34
1:48,2619,Jakub Petras made Layup. Assisted by Bryan Sekunda.,36,34
1:36,2341,Joel Hernandez missed Jumper.,36,34
1:36,2619,Elijah Olaniyi Defensive Rebound.,36,34
1:27,2341,Foul on Julius van Sauers.,36,34
1:27,2619,Jakub Petras missed Free Throw.,36,34
1:27,2341,Joel Hernandez Defensive Rebound.,36,34
1:09,2341,Jashaun Agosto missed Layup.,36,34
1:09,2619,Jaron Cornish Block.,36,34
1:09,2619,Stony Brook Defensive Rebound.,36,34
0:49,2619,Foul on Tyrell Sturdivant.,36,34
0:49,2619,Tyrell Sturdivant Turnover.,36,34
0:39,2341,Jamall Robinson missed Three Point Jumper.,36,34
0:39,2341,Julius van Sauers Offensive Rebound.,36,34
0:10,2341,Jashaun Agosto Turnover.,36,34
0:08,2619,UC Iroegbu Steal.,36,34
0:07,2619,Anthony Ochefu Turnover.,36,34
0:05,2341,Julius van Sauers Steal.,36,34
0:04,2341,Julius van Sauers Turnover.,36,34
0:04,2619,Stony Brook  Timeout,36,34
0:01,2619,UC Iroegbu made Layup.,38,34
0:00,2341,End of 1st half,38,34
19:49,2341,Joel Hernandez made Three Point Jumper.,38,37
19:27,2619,Akwasi Yeboah made Layup. Assisted by Jordan McKenzie.,40,37
19:08,2619,Foul on Jordan McKenzie.,40,37
18:59,2341,Jashaun Agosto missed Jumper.,40,37
18:59,2619,UC Iroegbu Defensive Rebound.,40,37
18:40,2619,Akwasi Yeboah missed Jumper.,40,37
18:40,2341,Raiquan Clark Defensive Rebound.,40,37
18:30,2341,Zach Coleman Turnover.,40,37
18:28,2619,Jordan McKenzie Steal.,40,37
18:24,2619,Tyrell Sturdivant missed Layup.,40,37
18:24,2341,Raiquan Clark Block.,40,37
18:22,2341,Zach Coleman Defensive Rebound.,40,37
18:12,2341,Joel Hernandez Turnover.,40,37
18:11,2619,UC Iroegbu Steal.,40,37
18:11,2341,Foul on Joel Hernandez.,40,37
17:57,2619,Tyrell Sturdivant missed Layup.,40,37
17:57,2619,Tyrell Sturdivant Offensive Rebound.,40,37
17:51,2619,UC Iroegbu made Layup.,42,37
17:44,2341,Julian Batts made Layup.,42,39
17:25,2619,Jordan McKenzie missed Three Point Jumper.,42,39
17:25,2341,Zach Coleman Defensive Rebound.,42,39
17:22,2619,Foul on Tyrell Sturdivant.,42,39
17:09,2341,Joel Hernandez made Jumper.,42,41
16:53,2619,Junior Saintel Turnover.,42,41
16:52,2341,Raiquan Clark Steal.,42,41
16:48,2619,Foul on Jakub Petras.,42,41
16:35,2341,Joel Hernandez made Layup.,42,43
16:19,2341,Foul on Zach Coleman.,42,43
16:18,2619,Akwasi Yeboah Turnover.,42,43
16:02,2341,Joel Hernandez missed Jumper.,42,43
16:02,2619,Jaron Cornish Defensive Rebound.,42,43
15:56,2619,Jaron Cornish Turnover.,42,43
15:56,2341,Official TV Timeout,42,43
15:43,2341,Raiquan Clark made Jumper.,42,45
15:24,2619,Akwasi Yeboah made Three Point Jumper. Assisted by Jakub Petras.,45,45
14:50,2341,Jashaun Agosto Turnover.,45,45
14:49,2619,Elijah Olaniyi Steal.,45,45
14:43,2619,Elijah Olaniyi Turnover.,45,45
14:42,2341,Raiquan Clark Steal.,45,45
14:42,2619,Foul on Akwasi Yeboah.,45,45
14:26,2341,Julian Batts missed Three Point Jumper.,45,45
14:26,2619,UC Iroegbu Defensive Rebound.,45,45
14:15,2619,UC Iroegbu missed Three Point Jumper.,45,45
14:15,2619,Jakub Petras Offensive Rebound.,45,45
14:12,2341,Foul on Zach Coleman.,45,45
13:56,2619,UC Iroegbu missed Three Point Jumper.,45,45
13:56,2341,Julian Batts Defensive Rebound.,45,45
13:47,2341,Raiquan Clark missed Layup.,45,45
13:47,2619,Bryan Sekunda Defensive Rebound.,45,45
13:41,2619,UC Iroegbu Turnover.,45,45
13:40,2341,Julian Batts Steal.,45,45
13:35,2341,Raiquan Clark made Dunk. Assisted by Joel Hernandez.,45,47
13:04,2619,Jaron Cornish missed Jumper.,45,47
13:04,2341,Julian Batts Defensive Rebound.,45,47
12:56,2341,Jashaun Agosto missed Layup.,45,47
12:56,2619,UC Iroegbu Block.,45,47
12:55,2619,UC Iroegbu Defensive Rebound.,45,47
12:55,2341,Foul on Julian Batts.,45,47
12:52,2341,Foul on Jashaun Agosto.,45,47
12:44,2619,Elijah Olaniyi missed Three Point Jumper.,45,47
12:44,2619,Jakub Petras Offensive Rebound.,45,47
12:42,2619,Jakub Petras made Two Point Tip Shot.,47,47
12:29,2341,Jashaun Agosto made Three Point Jumper. Assisted by Julian Batts.,47,50
12:19,2619,Jaron Cornish Turnover.,47,50
12:19,2619,Foul on Jaron Cornish.,47,50
11:58,2341,Official TV Timeout,47,50
11:48,2341,Jashaun Agosto missed Jumper.,47,50
11:48,2619,Stony Brook Deadball Team Rebound.,47,50
11:41,2619,Elijah Olaniyi missed Layup.,47,50
11:41,2341,Julius van Sauers Block.,47,50
11:40,2619,Stony Brook Offensive Rebound.,47,50
11:37,2619,Bryan Sekunda missed Jumper.,47,50
11:37,2619,Jaron Cornish Offensive Rebound.,47,50
11:34,2619,Jaron Cornish made Two Point Tip Shot.,49,50
11:19,2341,Raiquan Clark missed Layup.,49,50
11:19,2619,Bryan Sekunda Block.,49,50
11:18,2341,LIU Brooklyn Offensive Rebound.,49,50
11:11,2341,Joel Hernandez missed Jumper.,49,50
11:11,2341,Julius van Sauers Offensive Rebound.,49,50
11:08,2341,Julius van Sauers made Layup.,49,52
10:57,2341,Foul on Julius van Sauers.,49,52
10:49,2619,Bryan Sekunda made Three Point Jumper.,52,52
10:29,2341,Joel Hernandez made Jumper.,52,54
10:17,2619,Michael Almonacy missed Layup.,52,54
10:17,2341,Joel Hernandez Defensive Rebound.,52,54
10:08,2341,Julius van Sauers made Three Point Jumper. Assisted by Jashaun Agosto.,52,57
10:06,2619,Stony Brook  Timeout,52,57
10:06,2341,Official TV Timeout,52,57
9:48,2619,Jaron Cornish made Layup.,54,57
9:29,2341,Joel Hernandez made Layup.,54,59
9:22,2341,Foul on Jashaun Agosto.,54,59
9:22,2619,Jaron Cornish made Free Throw.,55,59
9:22,2619,Jaron Cornish made Free Throw.,56,59
9:05,2341,Raiquan Clark missed Layup.,56,59
9:05,2341,Raiquan Clark Offensive Rebound.,56,59
9:03,2341,Raiquan Clark made Layup.,56,61
8:54,2619,Tyrell Sturdivant missed Layup.,56,61
8:54,2619,Stony Brook Offensive Rebound.,56,61
8:47,2619,Tyrell Sturdivant Turnover.,56,61
8:46,2341,Julian Batts Steal.,56,61
8:25,2341,Joel Hernandez Turnover.,56,61
8:23,2619,Tyrell Sturdivant Steal.,56,61
8:08,2619,Akwasi Yeboah Turnover.,56,61
8:07,2341,Julius van Sauers Steal.,56,61
8:04,2341,Joel Hernandez Turnover.,56,61
8:04,2341,Foul on Joel Hernandez.,56,61
7:53,2619,Tyrell Sturdivant made Layup.,58,61
7:31,2619,Foul on Akwasi Yeboah.,58,61
7:31,2341,Official TV Timeout,58,61
7:31,2341,Raiquan Clark made Free Throw.,58,62
7:31,2341,Raiquan Clark made Free Throw.,58,63
7:15,2619,Junior Saintel missed Jumper.,58,63
7:15,2341,Joel Hernandez Block.,58,63
7:14,2619,UC Iroegbu Offensive Rebound.,58,63
7:10,2619,Jaron Cornish missed Three Point Jumper.,58,63
7:10,2341,Joel Hernandez Defensive Rebound.,58,63
7:08,2619,Foul on Tyrell Sturdivant.,58,63
7:08,2341,Joel Hernandez made Free Throw.,58,64
7:08,2341,Joel Hernandez made Free Throw.,58,65
6:52,2619,UC Iroegbu missed Layup.,58,65
6:52,2619,Stony Brook Offensive Rebound.,58,65
6:41,2619,Junior Saintel missed Layup.,58,65
6:41,2619,Junior Saintel Offensive Rebound.,58,65
6:39,2341,Foul on Joel Hernandez.,58,65
6:39,2619,Junior Saintel missed Free Throw.,58,65
6:39,2619,Stony Brook Deadball Team Rebound.,58,65
6:39,2619,Junior Saintel missed Free Throw.,58,65
6:39,2341,Julius van Sauers Defensive Rebound.,58,65
6:08,2341,LIU Brooklyn  Turnover.,58,65
5:53,2619,Bryan Sekunda made Three Point Jumper. Assisted by UC Iroegbu.,61,65
5:34,2341,Julian Batts missed Three Point Jumper.,61,65
5:34,2619,Jakub Petras Defensive Rebound.,61,65
5:24,2619,UC Iroegbu missed Three Point Jumper.,61,65
5:24,2619,Jaron Cornish Offensive Rebound.,61,65
5:21,2619,Jaron Cornish missed Jumper.,61,65
5:21,2341,Julian Batts Defensive Rebound.,61,65
4:51,2341,Raiquan Clark missed Jumper.,61,65
4:51,2341,Julian Batts Offensive Rebound.,61,65
4:23,2341,Raiquan Clark missed Three Point Jumper.,61,65
4:23,2619,Jaron Cornish Defensive Rebound.,61,65
4:17,2619,Jaron Cornish made Layup.,63,65
4:08,2341,LIU Brooklyn  Timeout,63,65
4:08,2341,Official TV Timeout,63,65
3:55,2341,Julian Batts Turnover.,63,65
3:53,2619,UC Iroegbu Steal.,63,65
3:38,2619,Junior Saintel made Dunk. Assisted by Jaron Cornish.,65,65
3:17,2341,Joel Hernandez missed Jumper.,65,65
3:17,2341,Julius van Sauers Offensive Rebound.,65,65
3:14,2619,Foul on Junior Saintel.,65,65
3:14,2341,Julius van Sauers made Free Throw.,65,66
3:14,2341,Julius van Sauers made Free Throw.,65,67
3:06,2619,Bryan Sekunda made Three Point Jumper.,68,67
2:39,2341,Jashaun Agosto missed Three Point Jumper.,68,67
2:39,2341,Joel Hernandez Offensive Rebound.,68,67
2:34,2619,Foul on Bryan Sekunda.,68,67
2:34,2341,Joel Hernandez made Free Throw.,68,68
2:34,2341,Joel Hernandez missed Free Throw.,68,68
2:34,2619,Junior Saintel Defensive Rebound.,68,68
2:06,2619,Jaron Cornish missed Layup.,68,68
2:06,2341,Joel Hernandez Block.,68,68
2:04,2341,Julian Batts Defensive Rebound.,68,68
2:01,2341,Raiquan Clark made Layup.,68,70
1:49,2619,Stony Brook  Timeout,68,70
1:34,2619,Jaron Cornish Turnover.,68,70
1:19,2341,Jashaun Agosto Turnover.,68,70
1:18,2619,UC Iroegbu Steal.,68,70
1:17,2619,UC Iroegbu missed Layup.,68,70
1:17,2341,Raiquan Clark Block.,68,70
1:16,2341,Joel Hernandez Defensive Rebound.,68,70
0:56,2341,Julian Batts missed Three Point Jumper.,68,70
0:56,2341,Raiquan Clark Offensive Rebound.,68,70
0:52,2341,Raiquan Clark missed Two Point Tip Shot.,68,70
0:52,2619,UC Iroegbu Defensive Rebound.,68,70
0:45,2341,Foul on Julius van Sauers.,68,70
0:45,2619,Tyrell Sturdivant made Free Throw.,69,70
0:45,2619,Tyrell Sturdivant missed Free Throw.,69,70
0:45,2341,Raiquan Clark Defensive Rebound.,69,70
0:15,2341,Jashaun Agosto made Three Point Jumper. Assisted by Joel Hernandez.,69,73
0:10,2619,Jaron Cornish made Layup.,71,73
0:10,2619,Stony Brook  Timeout,71,73
0:09,2619,Foul on Jaron Cornish.,71,73
0:09,2341,Jashaun Agosto made Free Throw.,71,74
0:09,2341,Jashaun Agosto missed Free Throw.,71,74
0:09,2619,Tyrell Sturdivant Defensive Rebound.,71,74
0:04,2619,UC Iroegbu Turnover.,71,74
0:03,2619,Foul on Junior Saintel.,71,74
0:03,2341,Joel Hernandez missed Free Throw.,71,74
0:03,2341,LIU Brooklyn Deadball Team Rebound.,71,74
0:03,2341,Joel Hernandez made Free Throw.,71,75
0:01,2619,Bryan Sekunda missed Three Point Jumper.,71,75
0:00,2619,Stony Brook Deadball Team Rebound.,71,75
0:00,2341,End of Game,71,75
