Belmont,288,Lipscomb,2057
4:54,2057,Austin Luke missed Three Point Jumper.,17,18
4:54,288,Eli Pepper Defensive Rebound.,17,18
4:32,288,Rob Marberry made Jumper.,17,20
4:04,2057,Mack Mercer missed Layup.,17,20
4:04,288,Kenny Cooper Defensive Rebound.,17,20
3:58,288,Kenny Cooper missed Jumper.,17,20
3:58,2057,Mack Mercer Block.,17,20
3:57,2057,Amanze Egekeze Defensive Rebound.,17,20
3:47,2057,Austin Luke Turnover.,17,20
3:47,288,Official TV Timeout,17,20
3:35,288,Aaron Korn made Three Point Jumper. Assisted by Rob Marberry.,17,23
3:07,2057,Tyler Hadden Turnover.,17,23
2:54,288,Kenny Cooper missed Layup.,17,23
2:54,2057,Tyler Hadden Defensive Rebound.,17,23
2:41,2057,Dylan Windler made Three Point Jumper. Assisted by Burton Sampson.,20,23
2:09,288,Kenny Cooper made Three Point Jumper. Assisted by Rob Marberry.,20,26
2:00,2057,Foul on Tyler Hadden.,20,26
2:00,2057,Tyler Hadden Turnover.,20,26
1:49,288,Foul on Kenny Cooper.,20,26
1:49,288,Kenny Cooper Turnover.,20,26
1:34,2057,Dylan Windler missed Three Point Jumper.,20,26
1:34,2057,Kevin McClain Offensive Rebound.,20,26
1:20,2057,Seth Adelsperger missed Layup.,20,26
1:20,288,Eli Pepper Block.,20,26
1:20,2057,Belmont Offensive Rebound.,20,26
1:18,2057,Belmont  Turnover.,20,26
1:06,2057,Foul on Seth Adelsperger.,20,26
1:06,288,Eli Pepper missed Free Throw.,20,26
1:06,288,Lipscomb Deadball Team Rebound.,20,26
1:06,288,Eli Pepper missed Free Throw.,20,26
1:06,2057,Amanze Egekeze Defensive Rebound.,20,26
0:48,2057,Amanze Egekeze missed Three Point Jumper.,20,26
0:48,288,Aaron Korn Defensive Rebound.,20,26
0:30,288,Kenny Cooper Turnover.,20,26
0:15,2057,Austin Luke Turnover.,20,26
0:14,288,Michael Buckland Steal.,20,26
0:12,288,Michael Buckland made Layup.,20,28
0:10,288,Lipscomb  Timeout,20,28
0:01,2057,Kevin McClain missed Three Point Jumper.,20,28
0:01,2057,Belmont Deadball Team Rebound.,20,28
0:00,288,End of 1st half,20,28
19:39,288,Garrison Mathews made Layup.,20,30
19:25,2057,Foul on Kevin McClain.,20,30
19:25,2057,Kevin McClain Turnover.,20,30
19:11,288,Garrison Mathews missed Three Point Jumper.,20,30
19:11,2057,Belmont Defensive Rebound.,20,30
18:56,2057,Foul on Seth Adelsperger.,20,30
18:56,2057,Seth Adelsperger Turnover.,20,30
18:44,2057,Foul on Austin Luke.,20,30
18:42,288,Kenny Cooper Turnover.,20,30
18:29,2057,Amanze Egekeze missed Three Point Jumper.,20,30
18:29,288,Rob Marberry Defensive Rebound.,20,30
18:21,288,Garrison Mathews Turnover.,20,30
18:11,2057,Dylan Windler missed Three Point Jumper.,20,30
18:11,2057,Amanze Egekeze Offensive Rebound.,20,30
17:51,2057,Foul on Dylan Windler.,20,30
17:51,2057,Dylan Windler Turnover.,20,30
17:38,288,Kenny Cooper made Layup. Assisted by Rob Marberry.,20,32
17:27,2057,Seth Adelsperger missed Layup.,20,32
17:27,288,Rob Marberry Defensive Rebound.,20,32
17:15,2057,Foul on Dylan Windler.,20,32
17:15,288,Garrison Mathews made Free Throw.,20,33
17:15,288,Garrison Mathews made Free Throw.,20,34
17:01,2057,Dylan Windler missed Jumper.,20,34
17:01,288,George Brammeier Defensive Rebound.,20,34
16:52,288,Garrison Mathews missed Layup.,20,34
16:52,288,Michael Buckland Offensive Rebound.,20,34
16:48,288,Michael Buckland missed Jumper.,20,34
16:48,2057,Seth Adelsperger Defensive Rebound.,20,34
16:34,2057,Austin Luke missed Three Point Jumper.,20,34
16:34,288,George Brammeier Defensive Rebound.,20,34
16:24,288,Garrison Mathews missed Jumper.,20,34
16:24,2057,Amanze Egekeze Defensive Rebound.,20,34
16:12,2057,Kevin McClain Turnover.,20,34
16:11,288,George Brammeier Steal.,20,34
16:09,288,George Brammeier made Dunk.,20,36
15:59,2057,Belmont  Timeout,20,36
15:47,2057,Mack Mercer made Jumper.,22,36
15:17,288,Aaron Korn missed Three Point Jumper.,22,36
15:17,2057,Dylan Windler Block.,22,36
15:16,288,Andrew Fleming Offensive Rebound.,22,36
15:13,288,Lipscomb  Turnover.,22,36
15:13,288,Official TV Timeout,22,36
15:01,2057,Kevin McClain missed Three Point Jumper.,22,36
15:01,2057,Amanze Egekeze Offensive Rebound.,22,36
14:57,288,Foul on Matt Rose.,22,36
14:46,2057,Foul on Mack Mercer.,22,36
14:46,2057,Mack Mercer Turnover.,22,36
14:29,288,Aaron Korn missed Three Point Jumper.,22,36
14:29,2057,Mack Mercer Defensive Rebound.,22,36
14:17,2057,Mack Mercer made Three Point Jumper. Assisted by Austin Luke.,25,36
13:57,288,Rob Marberry Turnover.,25,36
13:46,2057,Austin Luke missed Three Point Jumper.,25,36
13:46,288,Aaron Korn Defensive Rebound.,25,36
13:32,288,Rob Marberry missed Layup.,25,36
13:32,2057,Dylan Windler Defensive Rebound.,25,36
13:20,288,Foul on Matt Rose.,25,36
13:11,2057,Mack Mercer missed Jumper.,25,36
13:11,2057,Belmont Offensive Rebound.,25,36
13:07,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,28,36
12:56,288,Lipscomb  Timeout,28,36
12:39,2057,Foul on Austin Luke.,28,36
12:39,288,Garrison Mathews missed Free Throw.,28,36
12:39,2057,Belmont Deadball Team Rebound.,28,36
12:39,288,Foul on Eli Pepper.,28,36
12:29,2057,Austin Luke Turnover.,28,36
12:28,288,Kenny Cooper Steal.,28,36
12:25,288,Garrison Mathews made Layup.,28,38
12:25,2057,Foul on Amanze Egekeze.,28,38
12:25,288,Garrison Mathews made Free Throw.,28,39
12:13,2057,Dylan Windler missed Layup.,28,39
12:13,288,Rob Marberry Block.,28,39
12:11,288,Rob Marberry Defensive Rebound.,28,39
12:02,288,Garrison Mathews Turnover.,28,39
11:44,2057,Kevin McClain missed Three Point Jumper.,28,39
11:44,288,Rob Marberry Defensive Rebound.,28,39
11:35,288,Garrison Mathews made Three Point Jumper. Assisted by Michael Buckland.,28,42
11:16,2057,Kevin McClain made Layup.,30,42
11:10,288,Kenny Cooper made Jumper.,30,44
10:50,2057,Austin Luke Turnover.,30,44
10:49,288,Kenny Cooper Steal.,30,44
10:45,288,Garrison Mathews made Layup. Assisted by Kenny Cooper.,30,46
10:32,288,Foul on Garrison Mathews.,30,46
10:32,288,Official TV Timeout,30,46
10:32,2057,Dylan Windler made Free Throw.,31,46
10:32,2057,Dylan Windler made Free Throw.,32,46
10:09,288,Aaron Korn made Three Point Jumper. Assisted by Rob Marberry.,32,49
9:55,288,Foul on Aaron Korn.,32,49
9:47,288,Foul on Andrew Fleming.,32,49
9:41,288,Foul on Andrew Fleming.,32,49
9:41,2057,Kevin McClain missed Free Throw.,32,49
9:41,288,Aaron Korn Defensive Rebound.,32,49
9:16,288,Aaron Korn missed Three Point Jumper.,32,49
9:16,2057,Belmont Defensive Rebound.,32,49
9:00,2057,Nick Hopkins missed Three Point Jumper.,32,49
9:00,288,Andrew Fleming Defensive Rebound.,32,49
8:51,2057,Foul on Kevin McClain.,32,49
8:51,288,Andrew Fleming made Free Throw.,32,50
8:51,288,Andrew Fleming missed Free Throw.,32,50
8:51,288,Andrew Fleming Offensive Rebound.,32,50
8:51,288,Andrew Fleming missed Layup.,32,50
8:51,2057,Dylan Windler Block.,32,50
8:51,2057,Kevin McClain Defensive Rebound.,32,50
8:46,288,Foul on Andrew Fleming.,32,50
8:46,2057,Kevin McClain missed Free Throw.,32,50
8:46,2057,Kevin McClain Offensive Rebound.,32,50
8:35,288,Foul on Greg Jones.,32,50
8:35,2057,Dylan Windler missed Free Throw.,32,50
8:35,2057,Nick Hopkins Offensive Rebound.,32,50
8:33,2057,Nick Hopkins made Layup.,34,50
8:21,288,Matt Rose missed Three Point Jumper.,34,50
8:21,2057,Dylan Windler Block.,34,50
8:20,2057,Nick Hopkins Defensive Rebound.,34,50
8:05,288,Foul on George Brammeier.,34,50
8:05,2057,Dylan Windler made Free Throw.,35,50
8:05,2057,Dylan Windler made Free Throw.,36,50
7:41,288,Greg Jones made Three Point Jumper. Assisted by Rob Marberry.,36,53
7:27,2057,Kevin McClain made Layup.,38,53
7:16,288,Official TV Timeout,38,53
7:11,288,Rob Marberry Turnover.,38,53
7:09,2057,Kevin McClain Steal.,38,53
6:54,2057,Mack Mercer made Layup.,40,53
6:54,288,Foul on Garrison Mathews.,40,53
6:54,2057,Mack Mercer made Free Throw.,41,53
6:39,288,Kenny Cooper missed Layup.,41,53
6:39,2057,Amanze Egekeze Defensive Rebound.,41,53
6:28,2057,Nick Hopkins made Jumper.,43,53
6:20,2057,Foul on Nick Hopkins.,43,53
6:20,288,Kenny Cooper made Free Throw.,43,54
6:20,288,Kenny Cooper made Free Throw.,43,55
6:13,288,Foul on Michael Buckland.,43,55
6:13,2057,Kevin McClain made Free Throw.,44,55
6:13,2057,Kevin McClain made Free Throw.,45,55
6:02,288,Eli Pepper Turnover.,45,55
6:01,2057,Amanze Egekeze Steal.,45,55
5:56,2057,Kevin McClain made Layup.,47,55
5:33,288,Rob Marberry missed Layup.,47,55
5:33,2057,Amanze Egekeze Block.,47,55
5:32,288,Rob Marberry Offensive Rebound.,47,55
5:27,288,Rob Marberry made Layup.,47,57
5:17,2057,Kevin McClain missed Three Point Jumper.,47,57
5:17,288,Garrison Mathews Defensive Rebound.,47,57
5:09,288,Garrison Mathews made Jumper.,47,59
5:09,2057,Foul on Austin Luke.,47,59
5:09,288,Garrison Mathews made Free Throw.,47,60
5:00,2057,Amanze Egekeze missed Three Point Jumper.,47,60
5:00,288,Lipscomb Defensive Rebound.,47,60
4:53,288,Garrison Mathews Turnover.,47,60
4:52,2057,Dylan Windler Steal.,47,60
4:50,2057,Kevin McClain Turnover.,47,60
4:29,288,Garrison Mathews made Three Point Jumper. Assisted by Eli Pepper.,47,63
4:09,2057,Nick Hopkins made Three Point Jumper. Assisted by Austin Luke.,50,63
3:35,288,Kenny Cooper made Jumper.,50,65
3:20,2057,Nick Hopkins missed Three Point Jumper.,50,65
3:20,288,Michael Buckland Defensive Rebound.,50,65
2:51,288,Kenny Cooper made Layup.,50,67
2:43,288,Foul on Michael Buckland.,50,67
2:43,288,Official TV Timeout,50,67
2:43,2057,Kevin McClain made Free Throw.,51,67
2:43,2057,Kevin McClain made Free Throw.,52,67
2:15,288,Michael Buckland missed Three Point Jumper.,52,67
2:15,2057,Belmont Defensive Rebound.,52,67
2:05,2057,Mack Mercer missed Three Point Jumper.,52,67
2:05,288,Garrison Mathews Defensive Rebound.,52,67
1:42,2057,Foul on Austin Luke.,52,67
1:42,288,Garrison Mathews made Free Throw.,52,68
1:42,288,Garrison Mathews made Free Throw.,52,69
1:34,2057,Dylan Windler missed Three Point Jumper.,52,69
1:34,288,Rob Marberry Defensive Rebound.,52,69
1:03,288,Kenny Cooper missed Jumper.,52,69
1:03,2057,Kevin McClain Defensive Rebound.,52,69
1:01,288,Foul on Eli Pepper.,52,69
1:01,2057,Kevin McClain made Free Throw.,53,69
1:01,2057,Kevin McClain made Free Throw.,54,69
0:57,288,Kenny Cooper Turnover.,54,69
0:56,2057,Burton Sampson Steal.,54,69
0:54,2057,Burton Sampson missed Three Point Jumper.,54,69
0:54,288,Garrison Mathews Defensive Rebound.,54,69
0:21,288,Garrison Mathews missed Layup.,54,69
0:21,2057,Amanze Egekeze Defensive Rebound.,54,69
0:15,2057,Nick Hopkins missed Layup.,54,69
0:15,288,Eli Pepper Defensive Rebound.,54,69
0:00,288,End of Game,54,69
