Liberty,2247,Georgia State,2335
4:03,2247,D'Marcus Simonds Turnover.,70,68
3:41,2335,Isaiah Williams Turnover.,70,68
3:39,2247,Devin Mitchell Steal.,70,68
3:20,2247,D'Marcus Simonds made Jumper.,70,70
3:20,2335,Foul on Isaiah Williams.,70,70
3:20,2247,D'Marcus Simonds made Free Throw.,70,71
3:02,2247,Foul on Jordan Session.,70,71
3:02,2335,Scottie James made Free Throw.,71,71
3:02,2335,Scottie James missed Free Throw.,71,71
3:02,2247,Jordan Tyson Defensive Rebound.,71,71
2:41,2247,D'Marcus Simonds Turnover.,71,71
2:20,2335,Isaiah Williams missed Dunk.,71,71
2:20,2247,Jordan Tyson Block.,71,71
2:18,2247,Jeff Thomas Defensive Rebound.,71,71
2:07,2247,D'Marcus Simonds made Three Point Jumper.,71,74
1:41,2335,Lovell Cabbil missed Jumper.,71,74
1:41,2247,D'Marcus Simonds Defensive Rebound.,71,74
1:03,2247,Malik Benlevi missed Jumper.,71,74
1:03,2335,Liberty Deadball Team Rebound.,71,74
0:45,2335,Georgie Pacheco-Ortiz made Three Point Jumper.,74,74
0:43,2335,Liberty  Timeout,74,74
0:27,2247,Malik Benlevi missed Three Point Jumper.,74,74
0:27,2335,Liberty Defensive Rebound.,74,74
0:01,2335,Georgie Pacheco-Ortiz made Three Point Jumper.,77,74
0:00,2247,End of Game,77,74
