High Point,232,Charleston,2272
10:36,2272,Brandonn Kamga missed Jumper.,12,14
10:36,2272,Jordan Whitehead Offensive Rebound.,12,14
10:29,2272,Austin White Turnover.,12,14
10:14,232,Evan Bailey Turnover.,12,14
10:13,2272,Ricky Madison Steal.,12,14
9:58,2272,Andre Fox missed Jumper.,12,14
9:58,232,Evan Bailey Defensive Rebound.,12,14
9:45,232,Evan Bailey missed Three Point Jumper.,12,14
9:45,2272,Austin White Defensive Rebound.,12,14
9:24,2272,Ricky Madison made Layup. Assisted by Andre Fox.,14,14
8:58,232,Marquise Pointer missed Layup.,14,14
8:58,232,Marquise Pointer Offensive Rebound.,14,14
8:54,232,Marquise Pointer missed Layup.,14,14
8:54,232,Marquise Pointer Offensive Rebound.,14,14
8:39,232,Cameron Johnson missed Three Point Jumper.,14,14
8:39,232,Evan Bailey Offensive Rebound.,14,14
8:28,232,Joe Chealey made Jumper.,14,16
8:08,2272,Brandonn Kamga missed Three Point Jumper.,14,16
8:08,232,Nick Harris Defensive Rebound.,14,16
7:52,2272,Foul on Justyn Mutts.,14,16
7:52,232,Official TV Timeout,14,16
7:47,232,Cameron Johnson made Layup.,14,18
7:25,2272,Brandonn Kamga missed Jumper.,14,18
7:25,232,Nick Harris Block.,14,18
7:24,2272,High Point Offensive Rebound.,14,18
7:20,2272,Justyn Mutts made Jumper.,16,18
6:50,2272,Foul on Austin White.,16,18
6:50,232,Joe Chealey missed Free Throw.,16,18
6:50,232,Charleston Deadball Team Rebound.,16,18
6:50,232,Joe Chealey made Free Throw.,16,19
6:50,232,Joe Chealey made Free Throw.,16,20
6:37,2272,Andre Fox Turnover.,16,20
6:36,232,Cameron Johnson Steal.,16,20
6:31,232,Joe Chealey missed Layup.,16,20
6:31,2272,Jordan Whitehead Defensive Rebound.,16,20
6:17,2272,Andre Fox made Jumper.,18,20
5:48,232,Foul on Nick Harris.,18,20
5:48,232,Nick Harris Turnover.,18,20
5:31,2272,Andre Fox made Three Point Jumper. Assisted by Denny Slay.,21,20
5:09,2272,Foul on Denny Slay.,21,20
5:03,232,Joe Chealey missed Jumper.,21,20
5:03,2272,Brandonn Kamga Defensive Rebound.,21,20
4:30,2272,High Point  Turnover.,21,20
4:04,232,Nick Harris Turnover.,21,20
3:49,2272,Brandonn Kamga missed Jumper.,21,20
3:49,232,Jaylen McManus Defensive Rebound.,21,20
3:29,232,Osinachi Smart missed Layup.,21,20
3:29,2272,Denny Slay Defensive Rebound.,21,20
3:26,232,Official TV Timeout,21,20
3:02,2272,Andre Fox made Jumper.,23,20
2:36,232,Cameron Johnson missed Three Point Jumper.,23,20
2:36,2272,Brandonn Kamga Defensive Rebound.,23,20
2:30,2272,Luke Vargo made Layup. Assisted by Brandonn Kamga.,25,20
1:57,232,Cameron Johnson made Jumper.,25,22
1:37,2272,Andre Fox missed Layup.,25,22
1:37,2272,Jordan Whitehead Offensive Rebound.,25,22
1:35,2272,Jordan Whitehead made Two Point Tip Shot.,27,22
1:32,232,Charleston  Timeout,27,22
1:11,232,Grant Riller missed Three Point Jumper.,27,22
1:11,232,Osinachi Smart Offensive Rebound.,27,22
0:58,232,Foul on Joe Chealey.,27,22
0:58,232,Joe Chealey Turnover.,27,22
0:58,2272,High Point  Timeout,27,22
0:45,2272,Brandonn Kamga missed Layup.,27,22
0:45,232,Nick Harris Block.,27,22
0:45,2272,High Point Offensive Rebound.,27,22
0:40,232,Foul on Brevin Galloway.,27,22
0:26,2272,Austin White missed Layup.,27,22
0:26,2272,Jordan Whitehead Offensive Rebound.,27,22
0:23,2272,Jordan Whitehead made Two Point Tip Shot.,29,22
0:04,232,Foul on Grant Riller.,29,22
0:04,232,Grant Riller Turnover.,29,22
0:00,2272,Brandonn Kamga missed Three Point Jumper.,29,22
0:00,232,Cameron Johnson Defensive Rebound.,29,22
0:00,232,End of 1st half,29,22
19:38,232,Joe Chealey missed Jumper.,29,22
19:38,232,Joe Chealey Offensive Rebound.,29,22
19:37,232,Joe Chealey made Jumper.,29,24
19:37,2272,Foul on Denny Slay.,29,24
19:37,232,Joe Chealey made Free Throw.,29,25
19:19,2272,Justyn Mutts Turnover.,29,25
18:57,2272,Foul on Andre Fox.,29,25
18:57,232,Jaylen McManus made Free Throw.,29,26
18:57,232,Jaylen McManus made Free Throw.,29,27
18:37,2272,Brandonn Kamga made Jumper.,31,27
18:08,232,Nick Harris made Dunk. Assisted by Grant Riller.,31,29
17:44,2272,Andre Fox missed Layup.,31,29
17:44,2272,High Point Offensive Rebound.,31,29
17:44,232,Foul on Nick Harris.,31,29
17:31,2272,Andre Fox Turnover.,31,29
17:31,232,Grant Riller Steal.,31,29
17:29,232,Grant Riller made Dunk. Assisted by Jaylen McManus.,31,31
17:19,2272,Justyn Mutts missed Layup.,31,31
17:19,232,Nick Harris Defensive Rebound.,31,31
17:14,2272,Foul on Austin White.,31,31
17:14,232,Joe Chealey made Free Throw.,31,32
17:14,232,Joe Chealey made Free Throw.,31,33
16:49,2272,Andre Fox Turnover.,31,33
16:23,232,Joe Chealey made Three Point Jumper.,31,36
15:59,2272,Andre Fox missed Jumper.,31,36
15:59,2272,Jordan Whitehead Offensive Rebound.,31,36
15:55,2272,Andre Fox missed Three Point Jumper.,31,36
15:55,2272,Jordan Whitehead Offensive Rebound.,31,36
15:53,232,Foul on Grant Riller.,31,36
15:53,232,Official TV Timeout,31,36
15:24,2272,Brandonn Kamga made Jumper.,33,36
14:51,232,Jaylen McManus made Three Point Jumper. Assisted by Cameron Johnson.,33,39
14:29,2272,Austin White missed Layup.,33,39
14:29,232,Nick Harris Defensive Rebound.,33,39
14:22,232,Joe Chealey Turnover.,33,39
14:22,2272,Brandonn Kamga Steal.,33,39
14:18,2272,Justyn Mutts made Layup. Assisted by Brandonn Kamga.,35,39
13:54,232,Nick Harris Turnover.,35,39
13:46,2272,Luke Vargo made Three Point Jumper. Assisted by Denny Slay.,38,39
13:16,2272,Foul on Justyn Mutts.,38,39
13:16,232,Nick Harris made Free Throw.,38,40
13:16,232,Nick Harris made Free Throw.,38,41
13:16,2272,High Point  Timeout,38,41
13:16,232,Official TV Timeout,38,41
13:04,2272,Foul on Justyn Mutts.,38,41
13:04,2272,Justyn Mutts Turnover.,38,41
12:47,232,Joe Chealey made Three Point Jumper.,38,44
12:13,2272,Denny Slay missed Jumper.,38,44
12:13,232,Joe Chealey Block.,38,44
12:12,232,Nick Harris Defensive Rebound.,38,44
11:48,232,Joe Chealey missed Three Point Jumper.,38,44
11:48,2272,Jordan Whitehead Defensive Rebound.,38,44
11:37,232,Foul on Marquise Pointer.,38,44
11:37,232,Official TV Timeout,38,44
11:32,2272,Andre Fox made Three Point Jumper. Assisted by Brandonn Kamga.,41,44
10:57,2272,Foul on Brandonn Kamga.,41,44
10:57,232,Cameron Johnson missed Free Throw.,41,44
10:57,232,Charleston Deadball Team Rebound.,41,44
10:57,232,Cameron Johnson made Free Throw.,41,45
10:46,232,Foul on Evan Bailey.,41,45
10:43,2272,Justyn Mutts missed Jumper.,41,45
10:43,232,Nick Harris Block.,41,45
10:41,232,Nick Harris Defensive Rebound.,41,45
10:18,232,Marquise Pointer missed Three Point Jumper.,41,45
10:18,2272,High Point Defensive Rebound.,41,45
9:56,232,Foul on Nick Harris.,41,45
9:56,2272,Justyn Mutts missed Free Throw.,41,45
9:56,2272,High Point Deadball Team Rebound.,41,45
9:56,2272,Justyn Mutts missed Free Throw.,41,45
9:56,232,Osinachi Smart Defensive Rebound.,41,45
9:34,232,Cameron Johnson missed Layup.,41,45
9:34,232,Osinachi Smart Offensive Rebound.,41,45
9:31,232,Osinachi Smart missed Layup.,41,45
9:31,2272,Justyn Mutts Block.,41,45
9:30,2272,Andre Fox Defensive Rebound.,41,45
9:11,2272,Andre Fox missed Jumper.,41,45
9:11,232,Jaylen McManus Defensive Rebound.,41,45
9:05,232,Grant Riller missed Layup.,41,45
9:05,2272,Jordan Whitehead Defensive Rebound.,41,45
8:57,2272,Denny Slay missed Layup.,41,45
8:57,232,Charleston Defensive Rebound.,41,45
8:55,232,Foul on Joe Chealey.,41,45
8:55,232,Joe Chealey Turnover.,41,45
8:52,232,Foul on Osinachi Smart.,41,45
8:52,2272,Jordan Whitehead missed Free Throw.,41,45
8:52,232,Jaylen McManus Defensive Rebound.,41,45
8:37,232,Grant Riller missed Three Point Jumper.,41,45
8:37,2272,Justyn Mutts Defensive Rebound.,41,45
8:10,2272,Denny Slay made Jumper.,43,45
7:58,232,Charleston  Timeout,43,45
7:58,232,Official TV Timeout,43,45
7:49,232,Nick Harris made Dunk. Assisted by Marquise Pointer.,43,47
7:49,2272,Foul on Brandonn Kamga.,43,47
7:49,232,Nick Harris made Free Throw.,43,48
7:23,2272,Brandonn Kamga Turnover.,43,48
6:55,232,Cameron Johnson made Three Point Jumper. Assisted by Marquise Pointer.,43,51
6:47,2272,High Point  Timeout,43,51
6:35,2272,Andre Fox Turnover.,43,51
6:21,232,Cameron Johnson Turnover.,43,51
6:17,2272,Andre Fox missed Layup.,43,51
6:17,232,Nick Harris Block.,43,51
6:17,232,Charleston Defensive Rebound.,43,51
6:00,232,Jaylen McManus made Jumper. Assisted by Cameron Johnson.,43,53
5:40,2272,Andre Fox made Layup.,45,53
5:19,232,Cameron Johnson missed Three Point Jumper.,45,53
5:19,2272,Austin White Defensive Rebound.,45,53
4:58,2272,Brandonn Kamga missed Layup.,45,53
4:58,232,Cameron Johnson Defensive Rebound.,45,53
4:52,232,Cameron Johnson made Layup.,45,55
4:40,2272,Austin White missed Jumper.,45,55
4:40,232,Nick Harris Defensive Rebound.,45,55
4:25,232,Joe Chealey Turnover.,45,55
4:04,232,Foul on Joe Chealey.,45,55
4:04,2272,Brandonn Kamga made Free Throw.,46,55
4:04,2272,Brandonn Kamga made Free Throw.,47,55
3:42,232,Marquise Pointer made Three Point Jumper. Assisted by Cameron Johnson.,47,58
3:32,2272,Andre Fox made Three Point Jumper.,50,58
3:29,2272,High Point  Timeout,50,58
3:29,232,Official TV Timeout,50,58
3:21,232,Grant Riller made Layup. Assisted by Jaylen McManus.,50,60
2:50,2272,Andre Fox Turnover.,50,60
2:49,232,Marquise Pointer Steal.,50,60
2:46,2272,Foul on Andre Fox.,50,60
2:46,232,Grant Riller made Free Throw.,50,61
2:46,232,Grant Riller made Free Throw.,50,62
2:27,2272,Brandonn Kamga missed Jumper.,50,62
2:27,232,Nick Harris Defensive Rebound.,50,62
1:57,232,Jaylen McManus made Three Point Jumper. Assisted by Cameron Johnson.,50,65
1:34,2272,Brandonn Kamga missed Three Point Jumper.,50,65
1:34,232,Marquise Pointer Defensive Rebound.,50,65
1:21,2272,Foul on Andre Fox.,50,65
1:21,232,Grant Riller made Free Throw.,50,66
1:21,232,Grant Riller made Free Throw.,50,67
1:13,2272,Jordan Whitehead made Jumper. Assisted by Andre Fox.,52,67
1:07,232,Cameron Johnson Turnover.,52,67
1:06,2272,Andre Fox Steal.,52,67
1:05,2272,Brandonn Kamga made Three Point Jumper. Assisted by Luke Vargo.,55,67
0:31,2272,Foul on Jordan Whitehead.,55,67
0:31,232,Marquise Pointer made Free Throw.,55,68
0:31,232,Marquise Pointer made Free Throw.,55,69
0:13,2272,Andre Fox made Three Point Jumper. Assisted by Denny Slay.,58,69
0:08,2272,Foul on Brandonn Kamga.,58,69
0:08,232,Jaylen McManus made Free Throw.,58,70
0:08,232,Jaylen McManus missed Free Throw.,58,70
0:08,2272,Jordan Whitehead Defensive Rebound.,58,70
0:01,2272,Dexter Gooding missed Three Point Jumper.,58,70
0:01,232,Nick Harris Defensive Rebound.,58,70
0:00,232,End of Game,58,70
