Pacific Lutheran,Error,Seattle,2547
11:46,2547,Aaron Menzies Defensive Rebound.,12,21
11:33,2547,Foul on Scott Ulaneo.,12,21
11:33,2547,Scott Ulaneo Turnover.,12,21
11:33,2547,Official TV Timeout,12,21
11:10,-1,Zac Webb missed Jumper.,12,21
11:10,-1,Pacific Lutheran Offensive Rebound.,12,21
11:06,-1,Pacific Lutheran  Timeout,12,21
11:03,-1,Pacific Lutheran  Turnover.,12,21
10:39,2547,Mattia Da Campo missed Three Point Jumper.,12,21
10:39,-1,Pacific Lutheran Defensive Rebound.,12,21
10:36,2547,Foul on Jake Spurgeon.,12,21
10:29,-1,Shay Curcuruto missed Jumper.,12,21
10:29,2547,Aaron Menzies Defensive Rebound.,12,21
10:10,2547,Aaron Menzies made Dunk. Assisted by Jake Spurgeon.,12,23
9:47,2547,Foul on Jake Spurgeon.,12,23
9:47,-1,Zac Webb missed Free Throw.,12,23
9:47,-1,Pacific Lutheran Deadball Team Rebound.,12,23
9:47,-1,Zac Webb made Free Throw.,13,23
9:32,2547,Aaron Menzies made Layup. Assisted by Scott Ulaneo.,13,25
9:22,-1,Kyle James missed Three Point Jumper.,13,25
9:22,2547,Scott Ulaneo Defensive Rebound.,13,25
9:04,2547,Aaron Menzies made Jumper. Assisted by Scott Ulaneo.,13,27
8:41,-1,Zac Webb made Jumper. Assisted by Dylan Foreman.,15,27
8:15,2547,Jake Spurgeon Turnover.,15,27
7:52,-1,Shay Curcuruto missed Jumper.,15,27
7:52,2547,Scott Ulaneo Defensive Rebound.,15,27
7:47,2547,Morgan Means missed Layup.,15,27
7:47,-1,Pacific Lutheran Defensive Rebound.,15,27
7:46,2547,Foul on Scott Ulaneo.,15,27
7:46,2547,Official TV Timeout,15,27
7:28,-1,Zac Webb made Jumper. Assisted by Shay Curcuruto.,17,27
7:14,2547,Jake Spurgeon missed Three Point Jumper.,17,27
7:14,-1,Joshua Baird Defensive Rebound.,17,27
6:51,-1,Shay Curcuruto missed Jumper.,17,27
6:51,2547,Aaron Menzies Defensive Rebound.,17,27
6:43,2547,Morgan Means made Layup. Assisted by Aaron Nettles.,17,29
6:26,-1,Dylan Foreman Turnover.,17,29
6:13,-1,Foul on Luke Worley.,17,29
6:11,2547,Morgan Means missed Three Point Jumper.,17,29
6:11,-1,Sean McLaughlin Defensive Rebound.,17,29
5:58,2547,Foul on Morgan Means.,17,29
5:58,-1,Luke Worley made Free Throw.,18,29
5:58,-1,Luke Worley made Free Throw.,19,29
5:39,2547,Aaron Nettles missed Three Point Jumper.,19,29
5:39,2547,Aaron Menzies Offensive Rebound.,19,29
5:34,2547,Aaron Menzies missed Jumper.,19,29
5:34,2547,Mattia Da Campo Offensive Rebound.,19,29
5:25,2547,Foul on Jake Spurgeon.,19,29
5:25,2547,Jake Spurgeon Turnover.,19,29
5:03,-1,Sean McLaughlin Turnover.,19,29
5:03,-1,Foul on Sean McLaughlin.,19,29
4:53,2547,Collin Huun made Three Point Jumper. Assisted by Mattia Da Campo.,19,32
4:39,-1,Luke Worley missed Jumper.,19,32
4:39,-1,Pacific Lutheran Offensive Rebound.,19,32
4:33,-1,Sean McLaughlin Turnover.,19,32
4:25,-1,Foul on Kelton Williams.,19,32
4:21,2547,Aaron Menzies missed Jumper.,19,32
4:21,2547,Aaron Menzies Offensive Rebound.,19,32
4:18,2547,Aaron Menzies made Layup.,19,34
3:51,-1,Sean McLaughlin missed Jumper.,19,34
3:51,2547,Aaron Menzies Defensive Rebound.,19,34
3:34,2547,Collin Huun missed Three Point Jumper.,19,34
3:34,-1,Kelton Williams Defensive Rebound.,19,34
3:22,-1,Luke Worley Turnover.,19,34
3:22,2547,Official TV Timeout,19,34
3:14,2547,Mattia Da Campo made Layup. Assisted by Morgan Means.,19,36
2:52,-1,Zachary Goff missed Jumper.,19,36
2:52,2547,Aaron Menzies Block.,19,36
2:52,-1,Pacific Lutheran Offensive Rebound.,19,36
2:45,-1,Jack Adams III missed Three Point Jumper.,19,36
2:45,2547,Aaron Menzies Defensive Rebound.,19,36
2:30,2547,Aaron Nettles made Three Point Jumper. Assisted by Morgan Means.,19,39
2:10,-1,Luke Worley missed Jumper.,19,39
2:10,2547,Aaron Menzies Block.,19,39
2:09,2547,Aaron Nettles Defensive Rebound.,19,39
1:49,2547,Aaron Nettles made Three Point Jumper. Assisted by Morgan Means.,19,42
1:29,2547,Foul on Aaron Nettles.,19,42
1:29,-1,Kelton Williams made Free Throw.,20,42
1:29,-1,Kelton Williams made Free Throw.,21,42
1:05,2547,Aaron Nettles made Jumper.,21,44
0:51,2547,Foul on Aaron Nettles.,21,44
0:51,-1,Kelton Williams made Free Throw.,22,44
0:51,-1,Kelton Williams made Free Throw.,23,44
0:41,2547,Brennan Corrigan missed Three Point Jumper.,23,44
0:41,-1,Pacific Lutheran Defensive Rebound.,23,44
0:39,2547,Foul on Mattia Da Campo.,23,44
0:39,-1,Leighton Kingma missed Free Throw.,23,44
0:39,-1,Pacific Lutheran Deadball Team Rebound.,23,44
0:39,-1,Leighton Kingma made Free Throw.,24,44
0:29,-1,Foul on Leighton Kingma.,24,44
0:21,2547,Brennan Corrigan missed Three Point Jumper.,24,44
0:21,2547,Aaron Menzies Offensive Rebound.,24,44
0:16,2547,Aaron Menzies Turnover.,24,44
0:15,-1,Luke Worley Steal.,24,44
0:01,-1,Kelton Williams missed Three Point Jumper.,24,44
0:01,-1,Pacific Lutheran Deadball Team Rebound.,24,44
0:00,2547,End of 1st half,24,44
19:44,-1,Markus Glenn missed Three Point Jumper.,24,44
19:44,2547,Mattia Da Campo Defensive Rebound.,24,44
19:28,2547,Scott Ulaneo missed Jumper.,24,44
19:28,-1,Pacific Lutheran Defensive Rebound.,24,44
19:08,-1,Sean McLaughlin Turnover.,24,44
19:02,2547,Foul on Mattia Da Campo.,24,44
19:02,2547,Mattia Da Campo Turnover.,24,44
18:41,-1,Dylan DeWalt made Three Point Jumper. Assisted by Markus Glenn.,27,44
18:18,2547,Mattia Da Campo missed Three Point Jumper.,27,44
18:18,2547,Scott Ulaneo Offensive Rebound.,27,44
18:03,2547,Jake Spurgeon missed Three Point Jumper.,27,44
18:03,2547,Scott Ulaneo Offensive Rebound.,27,44
18:00,2547,Scott Ulaneo made Jumper.,27,46
18:00,-1,Foul on Dylan DeWalt.,27,46
18:00,2547,Scott Ulaneo missed Free Throw.,27,46
18:00,2547,Mattia Da Campo Offensive Rebound.,27,46
17:56,2547,Mattia Da Campo made Layup.,27,48
17:42,-1,Sean McLaughlin missed Jumper.,27,48
17:42,2547,Aaron Nettles Defensive Rebound.,27,48
17:23,2547,Morgan Means missed Layup.,27,48
17:23,2547,Jake Spurgeon Offensive Rebound.,27,48
17:19,2547,Jake Spurgeon made Layup.,27,50
17:07,2547,Foul on Scott Ulaneo.,27,50
17:07,-1,Markus Glenn made Free Throw.,28,50
17:07,-1,Markus Glenn made Free Throw.,29,50
16:39,2547,Aaron Menzies made Layup. Assisted by Morgan Means.,29,52
16:23,-1,Zac Webb made Jumper. Assisted by Dylan DeWalt.,31,52
16:08,2547,Morgan Means Turnover.,31,52
16:08,-1,Markus Glenn Steal.,31,52
16:08,2547,Foul on Aaron Nettles.,31,52
15:57,-1,Dylan Foreman made Jumper.,33,52
15:43,2547,Aaron Nettles made Three Point Jumper. Assisted by Morgan Means.,33,55
15:27,-1,Zac Webb made Three Point Jumper. Assisted by Dylan DeWalt.,36,55
15:03,2547,Mattia Da Campo missed Three Point Jumper.,36,55
15:03,-1,Leighton Kingma Defensive Rebound.,36,55
14:38,-1,Dylan DeWalt made Layup.,38,55
14:38,2547,Foul on Aaron Menzies.,38,55
14:38,2547,Official TV Timeout,38,55
14:38,-1,Dylan DeWalt made Free Throw.,39,55
14:25,2547,Aaron Nettles missed Three Point Jumper.,39,55
14:25,-1,Dylan Foreman Defensive Rebound.,39,55
14:12,-1,Dylan DeWalt Turnover.,39,55
14:11,2547,Morgan Means Steal.,39,55
14:08,-1,Foul on Leighton Kingma.,39,55
14:08,2547,Morgan Means made Free Throw.,39,56
14:08,2547,Morgan Means made Free Throw.,39,57
13:52,-1,Markus Glenn made Three Point Jumper. Assisted by Zac Webb.,42,57
13:32,-1,Foul on Zac Webb.,42,57
13:32,2547,Aaron Menzies made Free Throw.,42,58
13:32,2547,Aaron Menzies made Free Throw.,42,59
13:22,2547,Foul on Jake Spurgeon.,42,59
13:22,-1,Dylan Foreman made Free Throw.,43,59
13:22,-1,Dylan Foreman made Free Throw.,44,59
13:01,2547,Aaron Menzies made Jumper.,44,61
12:38,-1,Dylan DeWalt missed Jumper.,44,61
12:38,2547,Aaron Menzies Defensive Rebound.,44,61
12:16,2547,Aaron Menzies made Jumper. Assisted by Aaron Nettles.,44,63
12:16,-1,Foul on Leighton Kingma.,44,63
12:16,2547,Aaron Menzies made Free Throw.,44,64
12:00,-1,Dylan DeWalt missed Three Point Jumper.,44,64
12:00,-1,Dylan Foreman Offensive Rebound.,44,64
11:57,2547,Official TV Timeout,44,64
11:46,-1,Joshua Baird Turnover.,44,64
11:33,2547,Scott Ulaneo made Jumper.,44,66
11:17,-1,Leighton Kingma made Three Point Jumper. Assisted by Zac Webb.,47,66
10:59,2547,Aaron Menzies made Layup. Assisted by Scott Ulaneo.,47,68
10:47,-1,Leighton Kingma missed Three Point Jumper.,47,68
10:47,-1,Joshua Baird Offensive Rebound.,47,68
10:43,2547,Foul on Mattia Da Campo.,47,68
10:32,-1,Leighton Kingma made Three Point Jumper. Assisted by Dylan Foreman.,50,68
10:15,2547,Aaron Nettles missed Three Point Jumper.,50,68
10:15,2547,Aaron Menzies Offensive Rebound.,50,68
9:58,2547,Morgan Means missed Three Point Jumper.,50,68
9:58,2547,Aaron Menzies Offensive Rebound.,50,68
9:45,-1,Foul on Zac Webb.,50,68
9:45,2547,Aaron Menzies made Free Throw.,50,69
9:45,2547,Aaron Menzies missed Free Throw.,50,69
9:45,-1,Zac Webb Defensive Rebound.,50,69
9:33,-1,Leighton Kingma made Jumper.,52,69
9:19,2547,Scott Ulaneo made Jumper.,52,71
9:06,-1,Dylan Foreman missed Jumper.,52,71
9:06,-1,Zac Webb Offensive Rebound.,52,71
9:03,-1,Zac Webb missed Layup.,52,71
9:03,-1,Joshua Baird Offensive Rebound.,52,71
9:03,2547,Foul on Aaron Menzies.,52,71
9:03,-1,Joshua Baird made Free Throw.,53,71
9:03,-1,Joshua Baird made Free Throw.,54,71
8:45,2547,Scott Ulaneo Turnover.,54,71
8:44,-1,Zac Webb Steal.,54,71
8:30,-1,Joshua Baird made Jumper.,56,71
8:14,2547,Morgan Means missed Three Point Jumper.,56,71
8:14,2547,Mattia Da Campo Offensive Rebound.,56,71
8:03,2547,Aaron Nettles made Three Point Jumper. Assisted by Morgan Means.,56,74
7:39,-1,Joshua Baird Turnover.,56,74
7:39,2547,Official TV Timeout,56,74
7:26,2547,Aaron Menzies made Layup. Assisted by Morgan Means.,56,76
7:11,-1,Leighton Kingma Turnover.,56,76
7:08,2547,Mattia Da Campo Steal.,56,76
7:07,2547,Morgan Means made Layup. Assisted by Mattia Da Campo.,56,78
6:47,-1,Zac Webb missed Jumper.,56,78
6:47,2547,Jake Spurgeon Defensive Rebound.,56,78
6:29,2547,Aaron Menzies made Layup. Assisted by Mattia Da Campo.,56,80
6:29,-1,Foul on Luke Worley.,56,80
6:29,2547,Aaron Menzies missed Free Throw.,56,80
6:29,-1,Zac Webb Defensive Rebound.,56,80
6:06,-1,Zac Webb made Layup.,58,80
5:51,2547,Aaron Nettles made Three Point Jumper. Assisted by Morgan Means.,58,83
5:39,2547,Foul on Aaron Nettles.,58,83
5:39,-1,Shay Curcuruto made Free Throw.,59,83
5:39,-1,Shay Curcuruto missed Free Throw.,59,83
5:39,2547,Aaron Menzies Defensive Rebound.,59,83
5:26,2547,Aaron Nettles made Three Point Jumper. Assisted by Mattia Da Campo.,59,86
5:17,-1,Pacific Lutheran  Timeout,59,86
5:10,-1,Jack Adams III made Jumper.,61,86
4:50,2547,Jake Spurgeon made Three Point Jumper. Assisted by Mattia Da Campo.,61,89
4:36,-1,Foul on Shay Curcuruto.,61,89
4:36,-1,Shay Curcuruto Turnover.,61,89
4:24,-1,Foul on Kyle James.,61,89
4:24,2547,Jake Spurgeon missed Free Throw.,61,89
4:24,2547,Seattle Deadball Team Rebound.,61,89
4:24,2547,Jake Spurgeon made Free Throw.,61,90
4:10,-1,Luke Worley Turnover.,61,90
4:08,2547,Morgan Means Steal.,61,90
3:53,2547,Jake Spurgeon Turnover.,61,90
3:52,2547,Official TV Timeout,61,90
3:40,-1,Zachary Goff missed Jumper.,61,90
3:40,-1,Pacific Lutheran Offensive Rebound.,61,90
3:38,2547,Foul on Scott Ulaneo.,61,90
3:38,-1,Bailey Alabanza made Free Throw.,62,90
3:38,-1,Bailey Alabanza missed Free Throw.,62,90
3:38,2547,Morgan Means Defensive Rebound.,62,90
3:21,-1,Foul on Bailey Alabanza.,62,90
3:21,2547,Jake Spurgeon made Free Throw.,62,91
3:21,2547,Jake Spurgeon made Free Throw.,62,92
3:09,-1,Kelton Williams made Layup. Assisted by Grayson Peet.,64,92
2:51,2547,Morgan Means Turnover.,64,92
2:50,-1,Bailey Alabanza Steal.,64,92
2:24,-1,Shon Peterson missed Three Point Jumper.,64,92
2:24,2547,Aaron Nettles Defensive Rebound.,64,92
2:10,2547,Foul on Jake Spurgeon.,64,92
2:10,2547,Jake Spurgeon Turnover.,64,92
2:00,2547,Foul on Mattia Da Campo.,64,92
2:00,-1,Zachary Goff made Free Throw.,65,92
2:00,-1,Zachary Goff made Free Throw.,66,92
1:44,-1,Foul on Shon Peterson.,66,92
1:44,2547,Collin Huun missed Free Throw.,66,92
1:44,2547,Seattle Deadball Team Rebound.,66,92
1:44,2547,Collin Huun missed Free Throw.,66,92
1:44,-1,Zachary Goff Defensive Rebound.,66,92
1:28,-1,Zachary Goff missed Jumper.,66,92
1:28,2547,Mattia Da Campo Defensive Rebound.,66,92
1:14,2547,Collin Huun made Three Point Jumper. Assisted by Morgan Means.,66,95
0:48,-1,Grayson Peet Turnover.,66,95
0:44,2547,Mattia Da Campo Steal.,66,95
0:37,2547,Collin Huun made Three Point Jumper. Assisted by Morgan Means.,66,98
0:10,-1,Bailey Alabanza made Three Point Jumper. Assisted by Grayson Peet.,69,98
0:04,-1,Foul on Zachary Goff.,69,98
0:04,2547,Mattia Da Campo made Free Throw.,69,99
0:04,2547,Mattia Da Campo missed Free Throw.,69,99
0:00,-1,Zachary Goff Defensive Rebound.,69,99
0:00,2547,End of Game,69,98
