Western State Colorado University,Error,Air Force,2005
8:08,2005,Sid Tomes made Three Point Jumper. Assisted by Pervis Louder.,57,62
7:57,2005,Foul on Keaton Van Soelen.,57,62
7:57,2005,Official TV Timeout,57,62
7:37,-1,Ben Beauchamp missed Jumper.,57,62
7:37,-1,Brady Subart Offensive Rebound.,57,62
7:25,-1,Christian West missed Jumper.,57,62
7:25,2005,Ryan Swan Defensive Rebound.,57,62
7:09,2005,Lavelle Scottie made Jumper. Assisted by Ryan Swan.,57,64
6:49,-1,Michael Hill made Jumper. Assisted by Monroe Porter.,59,64
6:25,2005,Trevor Lyons missed Three Point Jumper.,59,64
6:25,-1,Christian West Defensive Rebound.,59,64
6:14,-1,Brady Subart missed Three Point Jumper.,59,64
6:14,2005,Pervis Louder Defensive Rebound.,59,64
5:55,-1,Foul on Michael Hill.,59,64
5:55,2005,Ryan Swan made Free Throw.,59,65
5:55,2005,Ryan Swan missed Free Throw.,59,65
5:55,-1,Collin Smith Defensive Rebound.,59,65
5:40,-1,Michael Hill made Jumper.,61,65
5:27,-1,Foul on Michael Hill.,61,65
5:27,2005,Pervis Louder missed Free Throw.,61,65
5:27,2005,Air Force Deadball Team Rebound.,61,65
5:27,2005,Pervis Louder missed Free Throw.,61,65
5:27,-1,Western State College Colorado Deadball Team Rebound.,61,65
5:26,2005,Foul on Ryan Swan.,61,65
5:26,-1,Michael Hill missed Free Throw.,61,65
5:20,2005,Ryan Swan Defensive Rebound.,61,65
5:03,-1,Foul on Brady Subart.,61,65
5:03,2005,Pervis Louder made Free Throw.,61,66
5:03,2005,Pervis Louder made Free Throw.,61,67
4:40,-1,Brady Subart Turnover.,61,67
4:17,2005,Lavelle Scottie made Jumper.,61,69
3:59,-1,Quincy Harding missed Three Point Jumper.,61,69
3:59,2005,Pervis Louder Defensive Rebound.,61,69
3:36,2005,Sid Tomes made Three Point Jumper. Assisted by Ryan Swan.,61,72
3:16,-1,Collin Smith missed Three Point Jumper.,61,72
3:16,2005,Pervis Louder Defensive Rebound.,61,72
2:46,2005,Ryan Swan missed Layup.,61,72
2:46,-1,Michael Hill Block.,61,72
2:44,-1,Quincy Harding Defensive Rebound.,61,72
2:40,-1,Michael Hill made Layup.,63,72
2:36,2005,Air Force  Timeout,63,72
2:13,2005,Lavelle Scottie made Jumper.,63,74
1:55,-1,Foul on Brady Subart.,63,74
1:55,-1,Brady Subart Turnover.,63,74
1:41,2005,Lavelle Scottie made Dunk. Assisted by Pervis Louder.,63,76
1:30,2005,Foul on Frank Toohey.,63,76
1:30,-1,Jake Wilcox made Free Throw.,64,76
1:30,-1,Jake Wilcox made Free Throw.,65,76
1:12,2005,Lavelle Scottie made Three Point Jumper.,65,79
1:00,-1,Quincy Harding made Layup.,67,79
0:32,2005,Sid Tomes missed Jumper.,67,79
0:32,-1,Zach Madlom Defensive Rebound.,67,79
0:05,-1,Foul on Quincy Harding.,67,79
0:05,-1,Quincy Harding Turnover.,67,79
0:00,2005,End of Game,67,79
