Appalachian State,2717,Western Carolina,2026
3:35,2717,Matt Halvorsen made Free Throw.,25,24
3:35,2717,Matt Halvorsen made Free Throw.,25,25
3:35,2717,Matt Halvorsen made Free Throw.,25,26
3:12,2026,Justin Forrest Turnover.,25,26
3:10,2717,Marc Gosselin Steal.,25,26
3:02,2717,Haboubacar Mutombo missed Layup.,25,26
3:02,2026,Tyrell Johnson Defensive Rebound.,25,26
2:52,2026,Bennett Holley missed Jumper.,25,26
2:52,2026,Tyrell Johnson Offensive Rebound.,25,26
2:49,2026,Tyrell Johnson missed Jumper.,25,26
2:49,2717,Haboubacar Mutombo Defensive Rebound.,25,26
2:24,2717,Haboubacar Mutombo missed Jumper.,25,26
2:24,2026,Tyrell Johnson Defensive Rebound.,25,26
2:09,2026,Justin Forrest missed Jumper.,25,26
2:09,2717,Marc Gosselin Defensive Rebound.,25,26
2:07,2026,Foul on Isaac Johnson.,25,26
2:05,2717,Marc Gosselin made Free Throw.,25,27
2:05,2717,Marc Gosselin missed Free Throw.,25,27
2:05,2026,Griffin Kinney Defensive Rebound.,25,27
1:44,2026,Ronshad Shabazz made Jumper.,27,27
1:14,2026,Foul on Griffin Kinney.,27,27
1:10,2717,Mike Amius made Free Throw.,27,28
1:10,2717,Mike Amius made Free Throw.,27,29
1:01,2026,Tyrell Johnson made Three Point Jumper. Assisted by Ronshad Shabazz.,30,29
0:37,2717,Mike Amius made Dunk. Assisted by Matt Halvorsen.,30,31
0:31,2717,Foul on Marc Gosselin.,30,31
0:31,2026,Ronshad Shabazz missed Free Throw.,30,31
0:31,2026,Appalachian State Deadball Team Rebound.,30,31
0:31,2717,Western Carolina  Timeout,30,31
0:31,2026,Ronshad Shabazz missed Free Throw.,30,31
0:31,2717,Deriece Parks Defensive Rebound.,30,31
0:04,2717,Deriece Parks missed Jumper.,30,31
0:04,2026,Tyrell Johnson Block.,30,31
0:04,2026,Appalachian State Defensive Rebound.,30,31
0:04,2026,Appalachian State  Timeout,30,31
0:00,2026,Tyrell Johnson missed Three Point Jumper.,30,31
0:00,2717,Western Carolina Defensive Rebound.,30,31
0:00,2717,End of 1st half,30,31
19:43,2026,Griffin Kinney made Layup.,32,31
19:43,2717,Foul on Mike Amius.,32,31
19:43,2026,Griffin Kinney missed Free Throw.,32,31
19:43,2717,Mike Amius Defensive Rebound.,32,31
19:28,2717,Mike Amius made Dunk.,32,33
19:17,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Griffin Kinney.,35,33
18:56,2717,Deriece Parks made Layup. Assisted by Mike Amius.,35,35
18:42,2026,Ronshad Shabazz missed Three Point Jumper.,35,35
18:42,2026,Isaac Johnson Offensive Rebound.,35,35
18:24,2026,Isaac Johnson Turnover.,35,35
18:24,2026,Foul on Isaac Johnson.,35,35
17:56,2026,Foul on Tyrell Johnson.,35,35
17:56,2717,Matt Halvorsen made Free Throw.,35,36
17:56,2717,Matt Halvorsen made Free Throw.,35,37
17:56,2717,Matt Halvorsen made Free Throw.,35,38
17:27,2026,Ronshad Shabazz missed Three Point Jumper.,35,38
17:27,2717,Western Carolina Defensive Rebound.,35,38
17:12,2717,Matt Halvorsen missed Layup.,35,38
17:12,2026,Justin Forrest Defensive Rebound.,35,38
17:05,2026,Ronshad Shabazz missed Layup.,35,38
17:05,2717,Mike Amius Defensive Rebound.,35,38
16:53,2717,Marc Gosselin made Layup.,35,40
16:46,2026,Craig Hinton made Three Point Jumper. Assisted by Justin Forrest.,38,40
16:44,2026,Appalachian State  Timeout,38,40
16:19,2717,Mike Amius made Layup.,38,42
16:03,2026,Justin Forrest made Three Point Jumper. Assisted by Craig Hinton.,41,42
15:38,2717,Mike Amius made Layup.,41,44
15:18,2026,Justin Forrest missed Three Point Jumper.,41,44
15:18,2026,Craig Hinton Offensive Rebound.,41,44
15:13,2026,Craig Hinton made Dunk.,43,44
14:53,2717,Haboubacar Mutombo made Layup.,43,46
14:41,2026,Tyrell Johnson made Three Point Jumper.,46,46
14:13,2717,Deriece Parks made Three Point Jumper.,46,49
13:54,2026,Justin Forrest Turnover.,46,49
13:54,2026,Foul on Justin Forrest.,46,49
13:54,2717,Official TV Timeout,46,49
13:20,2717,Mike Amius made Layup.,46,51
13:02,2026,Ronshad Shabazz made Jumper.,48,51
12:46,2717,Marc Gosselin missed Jumper.,48,51
12:46,2026,Jake Wilson Defensive Rebound.,48,51
12:34,2026,Tyrell Johnson made Layup.,50,51
12:19,2717,Marc Gosselin made Jumper. Assisted by Haboubacar Mutombo.,50,53
11:58,2026,Ronshad Shabazz made Layup.,52,53
11:41,2717,Matt Halvorsen made Three Point Jumper. Assisted by Marc Gosselin.,52,56
11:29,2717,Foul on Matt Halvorsen.,52,56
11:29,2717,Official TV Timeout,52,56
11:29,2026,O'Showen Williams missed Free Throw.,52,56
11:29,2026,Appalachian State Deadball Team Rebound.,52,56
11:29,2026,O'Showen Williams made Free Throw.,53,56
11:07,2717,Onno Steger made Jumper.,53,58
10:56,2026,Tyrell Johnson missed Three Point Jumper.,53,58
10:56,2026,O'Showen Williams Offensive Rebound.,53,58
10:44,2026,Tyrell Johnson Turnover.,53,58
10:41,2717,Marc Gosselin Steal.,53,58
10:27,2717,Onno Steger Turnover.,53,58
10:08,2026,Ronshad Shabazz missed Three Point Jumper.,53,58
10:08,2026,Isaac Johnson Offensive Rebound.,53,58
10:06,2717,Foul on Onno Steger.,53,58
9:59,2026,Justin Forrest Turnover.,53,58
9:58,2717,Desmond Johnson Steal.,53,58
9:41,2717,Matt Halvorsen missed Jumper.,53,58
9:41,2026,Isaac Johnson Defensive Rebound.,53,58
9:34,2717,Foul on Desmond Johnson.,53,58
9:25,2026,Griffin Kinney Turnover.,53,58
9:07,2717,Adam Sledd made Jumper.,53,60
8:53,2026,O'Showen Williams missed Jumper.,53,60
8:53,2717,Maurice Smith Defensive Rebound.,53,60
8:23,2717,Maurice Smith made Jumper.,53,62
7:58,2026,Griffin Kinney Turnover.,53,62
7:57,2717,Adam Sledd Steal.,53,62
7:53,2717,Matt Halvorsen missed Layup.,53,62
7:53,2026,Isaac Johnson Defensive Rebound.,53,62
7:47,2026,Justin Forrest made Three Point Jumper. Assisted by Ronshad Shabazz.,56,62
7:41,2026,Appalachian State  Timeout,56,62
7:30,2717,Onno Steger made Jumper.,56,64
7:20,2026,Griffin Kinney made Jumper.,58,64
7:20,2717,Foul on Adam Sledd.,58,64
7:20,2026,Griffin Kinney missed Free Throw.,58,64
7:20,2717,Desmond Johnson Defensive Rebound.,58,64
7:01,2717,Maurice Smith Turnover.,58,64
7:01,2717,Foul on Maurice Smith.,58,64
6:51,2026,Griffin Kinney Turnover.,58,64
6:49,2717,Desmond Johnson Steal.,58,64
6:30,2717,Deriece Parks made Three Point Jumper. Assisted by Haboubacar Mutombo.,58,67
6:15,2026,Griffin Kinney missed Jumper.,58,67
6:15,2717,Marc Gosselin Defensive Rebound.,58,67
5:46,2717,Deriece Parks missed Jumper.,58,67
5:46,2026,Craig Hinton Block.,58,67
5:46,2026,Griffin Kinney Defensive Rebound.,58,67
5:40,2026,Justin Forrest made Three Point Jumper. Assisted by Craig Hinton.,61,67
5:15,2717,Haboubacar Mutombo missed Jumper.,61,67
5:15,2717,Mike Amius Offensive Rebound.,61,67
5:13,2717,Mike Amius missed Jumper.,61,67
5:13,2026,Griffin Kinney Defensive Rebound.,61,67
5:10,2026,Griffin Kinney Turnover.,61,67
5:10,2717,Haboubacar Mutombo Steal.,61,67
5:10,2026,Foul on Griffin Kinney.,61,67
5:04,2717,Haboubacar Mutombo missed Free Throw.,61,67
5:04,2717,Western Carolina Deadball Team Rebound.,61,67
5:04,2717,Haboubacar Mutombo missed Free Throw.,61,67
5:04,2026,Tyrell Johnson Defensive Rebound.,61,67
4:49,2026,Ronshad Shabazz missed Jumper.,61,67
4:49,2717,Western Carolina Defensive Rebound.,61,67
4:24,2026,Foul on Bennett Holley.,61,67
4:22,2717,Mike Amius Turnover.,61,67
4:22,2717,Foul on Mike Amius.,61,67
4:10,2717,Foul on Matt Halvorsen.,61,67
4:10,2026,Justin Forrest made Free Throw.,62,67
4:10,2026,Justin Forrest missed Free Throw.,62,67
4:10,2717,Marc Gosselin Defensive Rebound.,62,67
4:00,2717,Matt Halvorsen made Three Point Jumper. Assisted by Deriece Parks.,62,70
3:50,2026,Ronshad Shabazz made Layup.,64,70
3:33,2717,Matt Halvorsen missed Three Point Jumper.,64,70
3:33,2717,Mike Amius Offensive Rebound.,64,70
3:29,2717,Official TV Timeout,64,70
3:12,2717,Western Carolina  Turnover.,64,70
2:56,2026,Justin Forrest made Three Point Jumper. Assisted by Bennett Holley.,67,70
2:32,2717,Mike Amius Turnover.,67,70
2:12,2026,Craig Hinton missed Three Point Jumper.,67,70
2:12,2026,Ronshad Shabazz Offensive Rebound.,67,70
2:09,2026,Ronshad Shabazz made Jumper.,69,70
1:47,2717,Deriece Parks Turnover.,69,70
1:45,2026,Justin Forrest Steal.,69,70
1:43,2026,Justin Forrest missed Layup.,69,70
1:43,2717,Deriece Parks Block.,69,70
1:43,2026,Craig Hinton Offensive Rebound.,69,70
1:43,2026,Craig Hinton Offensive Rebound.,69,70
1:39,2026,Craig Hinton made Layup.,71,70
1:33,2717,Western Carolina  Timeout,71,70
1:17,2717,Deriece Parks missed Layup.,71,70
1:17,2026,Craig Hinton Block.,71,70
1:17,2026,Isaac Johnson Defensive Rebound.,71,70
0:53,2026,Ronshad Shabazz missed Three Point Jumper.,71,70
0:53,2717,Marc Gosselin Defensive Rebound.,71,70
0:30,2717,Mike Amius missed Jumper.,71,70
0:30,2026,Isaac Johnson Defensive Rebound.,71,70
0:23,2717,Foul on Onno Steger.,71,70
0:23,2026,Ronshad Shabazz missed Free Throw.,71,70
0:23,2717,Marc Gosselin Defensive Rebound.,71,70
0:17,2717,Western Carolina  Timeout,71,70
0:07,2717,Mike Amius made Dunk.,71,72
0:02,2026,Ronshad Shabazz missed Layup.,71,72
0:02,2717,Western Carolina Defensive Rebound.,71,72
0:00,2717,End of 2nd half,71,72
