Sacramento State,2608,Saint Mary's,16
5:41,2608,Jock Landale made Free Throw.,45,57
5:23,16,Bryce Fowler made Layup.,47,57
5:08,16,Foul on Jordan Tolbert.,47,57
5:08,2608,Emmett Naar made Free Throw.,47,58
5:08,2608,Emmett Naar made Free Throw.,47,59
4:51,16,Justin Strings missed Jumper.,47,59
4:51,2608,Emmett Naar Defensive Rebound.,47,59
4:40,2608,Evan Fitzner missed Three Point Jumper.,47,59
4:40,16,Bryce Fowler Defensive Rebound.,47,59
4:31,16,Joshua Patton Turnover.,47,59
4:15,2608,Jordan Hunter Turnover.,47,59
4:08,2608,Foul on Tanner Krebs.,47,59
4:08,16,Justin Strings Turnover.,47,59
4:08,16,Foul on Justin Strings.,47,59
3:54,2608,Calvin Hermanson Turnover.,47,59
3:54,2608,Official TV Timeout,47,59
3:48,2608,Foul on Jock Landale.,47,59
3:48,16,Joshua Patton missed Free Throw.,47,59
3:48,16,Sacramento State Deadball Team Rebound.,47,59
3:48,16,Joshua Patton made Free Throw.,48,59
3:35,2608,Jock Landale made Layup. Assisted by Emmett Naar.,48,61
3:09,16,Joshua Patton made Layup. Assisted by Izayah Mauriohoohoo-Le'Afa.,50,61
2:48,2608,Tanner Krebs missed Three Point Jumper.,50,61
2:48,2608,Jock Landale Offensive Rebound.,50,61
2:46,2608,Jock Landale made Layup.,50,63
2:35,16,Justin Strings missed Jumper.,50,63
2:35,2608,Emmett Naar Defensive Rebound.,50,63
2:07,16,Foul on Kevin Hicks.,50,63
2:07,2608,Jordan Ford made Free Throw.,50,64
2:07,2608,Jordan Ford made Free Throw.,50,65
1:55,16,Izayah Mauriohoohoo-Le'Afa Turnover.,50,65
1:50,2608,Elijah Thomas Steal.,50,65
1:31,2608,Tanner Krebs made Three Point Jumper. Assisted by Elijah Thomas.,50,68
1:28,2608,Saint Mary's  Timeout,50,68
1:10,16,James Herrick made Jumper.,52,68
0:39,2608,Jordan Hunter made Dunk. Assisted by Jordan Ford.,52,70
0:30,16,James Herrick made Jumper. Assisted by Jordan Tolbert.,54,70
0:17,2608,Jock Perry missed Three Point Jumper.,54,70
0:17,16,Bryce Fowler Defensive Rebound.,54,70
0:17,2608,Foul on Elijah Thomas.,54,70
0:17,16,Bryce Fowler missed Free Throw.,54,70
0:17,2608,Elijah Thomas Defensive Rebound.,54,70
0:00,2608,End of 2nd half,54,70
0:00,2608,End of Game,54,70
