Wisconsin,213,Penn State,275
11:01,275,Brevin Pritzl Defensive Rebound.,10,13
10:32,213,Foul on Lamar Stevens.,10,13
10:32,275,Ethan Happ missed Free Throw.,10,13
10:32,275,Wisconsin Deadball Team Rebound.,10,13
10:32,275,Ethan Happ made Free Throw.,11,13
10:16,213,Tony Carr missed Three Point Jumper.,11,13
10:16,275,Nate Reuvers Defensive Rebound.,11,13
9:57,275,Nate Reuvers missed Jumper.,11,13
9:57,213,Mike Watkins Block.,11,13
9:57,213,Josh Reaves Defensive Rebound.,11,13
9:47,213,Josh Reaves missed Layup.,11,13
9:47,275,Ethan Happ Defensive Rebound.,11,13
9:17,275,Aleem Ford Turnover.,11,13
9:17,213,Tony Carr Steal.,11,13
9:12,275,Foul on Aleem Ford.,11,13
9:02,213,Tony Carr missed Jumper.,11,13
9:02,275,Wisconsin Defensive Rebound.,11,13
8:50,275,Brad Davison missed Layup.,11,13
8:50,213,Tony Carr Defensive Rebound.,11,13
8:41,213,Mike Watkins Turnover.,11,13
8:41,275,Ethan Happ Steal.,11,13
8:36,275,D'Mitrik Trice made Layup.,13,13
8:10,275,Foul on D'Mitrik Trice.,13,13
8:10,213,Shep Garner made Free Throw.,13,14
8:10,213,Shep Garner missed Free Throw.,13,14
8:10,275,Khalil Iverson Defensive Rebound.,13,14
7:50,275,Ethan Happ Turnover.,13,14
7:50,213,Shep Garner Steal.,13,14
7:50,213,Foul on Shep Garner.,13,14
7:50,213,Shep Garner Turnover.,13,14
7:50,213,Official TV Timeout,13,14
7:23,213,Foul on Lamar Stevens.,13,14
7:23,275,Khalil Iverson missed Free Throw.,13,14
7:23,275,Wisconsin Deadball Team Rebound.,13,14
7:23,275,Khalil Iverson missed Free Throw.,13,14
7:23,275,Ethan Happ Offensive Rebound.,13,14
7:22,275,Khalil Iverson made Layup. Assisted by Ethan Happ.,15,14
7:04,213,Nazeer Bostick Turnover.,15,14
7:04,275,Brad Davison Steal.,15,14
7:04,275,Foul on Brad Davison.,15,14
7:04,275,Brad Davison Turnover.,15,14
6:46,213,Mike Watkins made Layup. Assisted by Josh Reaves.,15,16
6:30,275,Brevin Pritzl missed Layup.,15,16
6:30,213,Josh Reaves Block.,15,16
6:30,213,Tony Carr Defensive Rebound.,15,16
6:26,213,Tony Carr missed Jumper.,15,16
6:26,275,Ethan Happ Defensive Rebound.,15,16
6:09,275,Brad Davison missed Three Point Jumper.,15,16
6:09,275,Ethan Happ Offensive Rebound.,15,16
5:56,275,Khalil Iverson made Layup.,17,16
5:45,275,Foul on Brad Davison.,17,16
5:45,213,Tony Carr made Free Throw.,17,17
5:45,213,Tony Carr made Free Throw.,17,18
5:30,275,Ethan Happ made Jumper. Assisted by D'Mitrik Trice.,19,18
5:08,213,Nazeer Bostick Turnover.,19,18
5:08,275,Khalil Iverson Steal.,19,18
4:57,213,Foul on Josh Reaves.,19,18
4:57,275,Khalil Iverson made Free Throw.,20,18
4:57,275,Khalil Iverson made Free Throw.,21,18
4:29,213,Jamari Wheeler missed Layup.,21,18
4:29,275,Kobe King Block.,21,18
4:29,275,Wisconsin Defensive Rebound.,21,18
4:12,213,Foul on Shep Garner.,21,18
4:12,275,Brevin Pritzl missed Free Throw.,21,18
4:12,275,Wisconsin Deadball Team Rebound.,21,18
4:12,275,Brevin Pritzl made Free Throw.,22,18
3:53,213,Tony Carr missed Layup.,22,18
3:53,213,Tony Carr Offensive Rebound.,22,18
3:47,213,Josh Reaves made Three Point Jumper. Assisted by Nazeer Bostick.,22,21
3:28,275,Nate Reuvers made Three Point Jumper. Assisted by Kobe King.,25,21
3:20,213,Mike Watkins made Dunk. Assisted by Josh Reaves.,25,23
3:20,275,Foul on Brevin Pritzl.,25,23
3:20,213,Official TV Timeout,25,23
3:20,213,Mike Watkins missed Free Throw.,25,23
3:20,275,Nate Reuvers Defensive Rebound.,25,23
2:58,275,D'Mitrik Trice Turnover.,25,23
2:58,213,Mike Watkins Steal.,25,23
2:46,213,Mike Watkins made Layup. Assisted by Josh Reaves.,25,25
2:21,213,Foul on Nazeer Bostick.,25,25
2:21,275,Brevin Pritzl made Free Throw.,26,25
2:21,275,Brevin Pritzl made Free Throw.,27,25
1:49,213,Tony Carr missed Jumper.,27,25
1:49,275,Ethan Happ Defensive Rebound.,27,25
1:30,275,Khalil Iverson made Layup. Assisted by Brevin Pritzl.,29,25
1:23,213,Penn State  Timeout,29,25
1:19,213,Mike Watkins missed Dunk.,29,25
1:19,275,Khalil Iverson Block.,29,25
1:19,213,Julian Moore Offensive Rebound.,29,25
1:10,213,Julian Moore missed Jumper.,29,25
1:10,275,Brevin Pritzl Defensive Rebound.,29,25
1:04,275,Ethan Happ Turnover.,29,25
0:51,213,Tony Carr missed Jumper.,29,25
0:51,275,Ethan Happ Defensive Rebound.,29,25
0:33,275,Khalil Iverson made Layup.,31,25
0:03,213,Josh Reaves missed Three Point Jumper.,31,25
0:03,213,Mike Watkins Offensive Rebound.,31,25
0:03,213,Mike Watkins missed Two Point Tip Shot.,31,25
0:01,213,Penn State Deadball Team Rebound.,31,25
0:00,213,End of 1st half,31,25
20:00,213,Jump Ball won by Penn State,31,25
19:55,213,Foul on Tony Carr.,31,25
19:55,213,Tony Carr Turnover.,31,25
19:34,275,Aleem Ford made Three Point Jumper. Assisted by Brad Davison.,34,25
19:18,213,Tony Carr missed Jumper.,34,25
19:18,275,Brad Davison Defensive Rebound.,34,25
18:54,275,Ethan Happ missed Jumper.,34,25
18:54,213,Mike Watkins Block.,34,25
18:54,213,Penn State Defensive Rebound.,34,25
18:34,213,Tony Carr made Layup. Assisted by Lamar Stevens.,34,27
18:34,275,Foul on Ethan Happ.,34,27
18:34,213,Tony Carr made Free Throw.,34,28
18:18,275,D'Mitrik Trice made Jumper.,36,28
17:58,275,Foul on Ethan Happ.,36,28
17:49,213,Josh Reaves missed Three Point Jumper.,36,28
17:49,275,Nate Reuvers Defensive Rebound.,36,28
17:18,275,Nate Reuvers made Jumper. Assisted by Khalil Iverson.,38,28
17:00,213,Lamar Stevens missed Jumper.,38,28
17:00,213,Lamar Stevens Offensive Rebound.,38,28
16:53,275,Foul on Nate Reuvers.,38,28
16:53,213,Lamar Stevens made Free Throw.,38,29
16:53,213,Lamar Stevens made Free Throw.,38,30
16:38,275,Nate Reuvers made Jumper. Assisted by D'Mitrik Trice.,40,30
16:17,213,Lamar Stevens missed Layup.,40,30
16:17,275,Khalil Iverson Defensive Rebound.,40,30
15:59,275,Nate Reuvers missed Three Point Jumper.,40,30
15:59,213,Tony Carr Defensive Rebound.,40,30
15:50,213,Shep Garner missed Three Point Jumper.,40,30
15:50,275,Aleem Ford Defensive Rebound.,40,30
15:36,275,Nate Reuvers missed Jumper.,40,30
15:36,213,Tony Carr Defensive Rebound.,40,30
15:23,213,Tony Carr missed Three Point Jumper.,40,30
15:23,275,Khalil Iverson Defensive Rebound.,40,30
15:11,275,D'Mitrik Trice missed Jumper.,40,30
15:11,213,Shep Garner Defensive Rebound.,40,30
14:46,213,Foul on Tony Carr.,40,30
14:46,213,Tony Carr Turnover.,40,30
14:46,213,Official TV Timeout,40,30
14:20,275,Aleem Ford missed Three Point Jumper.,40,30
14:20,213,Tony Carr Defensive Rebound.,40,30
14:11,213,Mike Watkins made Dunk. Assisted by Jamari Wheeler.,40,32
13:48,275,Nate Reuvers made Jumper.,42,32
13:36,213,Lamar Stevens Turnover.,42,32
13:36,275,Brevin Pritzl Steal.,42,32
13:13,275,Nate Reuvers missed Jumper.,42,32
13:13,213,Mike Watkins Block.,42,32
13:13,213,Mike Watkins Defensive Rebound.,42,32
13:04,213,Tony Carr missed Jumper.,42,32
13:04,275,Nate Reuvers Defensive Rebound.,42,32
12:47,275,Wisconsin  Timeout,42,32
12:47,213,Official TV Timeout,42,32
12:36,213,Foul on Jamari Wheeler.,42,32
12:36,275,D'Mitrik Trice made Free Throw.,43,32
12:36,275,D'Mitrik Trice missed Free Throw.,43,32
12:36,213,Mike Watkins Defensive Rebound.,43,32
12:25,213,Mike Watkins missed Jumper.,43,32
12:25,275,Ethan Happ Defensive Rebound.,43,32
12:09,275,Kobe King made Three Point Jumper. Assisted by Brevin Pritzl.,46,32
11:51,213,Tony Carr made Jumper.,46,34
11:29,275,Khalil Iverson Turnover.,46,34
11:29,213,Jamari Wheeler Steal.,46,34
11:29,275,Foul on Khalil Iverson.,46,34
11:29,213,Official TV Timeout,46,34
11:17,213,Tony Carr missed Layup.,46,34
11:17,275,Ethan Happ Block.,46,34
11:17,275,Brevin Pritzl Defensive Rebound.,46,34
11:01,275,Khalil Iverson made Dunk. Assisted by Ethan Happ.,48,34
10:51,213,Lamar Stevens missed Three Point Jumper.,48,34
10:51,275,Brevin Pritzl Defensive Rebound.,48,34
10:26,275,Ethan Happ missed Jumper.,48,34
10:26,213,Jamari Wheeler Defensive Rebound.,48,34
10:12,213,Lamar Stevens missed Jumper.,48,34
10:12,275,Brevin Pritzl Defensive Rebound.,48,34
9:47,275,Brevin Pritzl made Three Point Jumper. Assisted by Ethan Happ.,51,34
9:33,213,Penn State  Timeout,51,34
9:21,213,Tony Carr missed Layup.,51,34
9:21,275,Kobe King Defensive Rebound.,51,34
9:02,275,Khalil Iverson missed Layup.,51,34
9:02,213,Mike Watkins Block.,51,34
9:02,213,Lamar Stevens Defensive Rebound.,51,34
8:54,275,Foul on Khalil Iverson.,51,34
8:48,213,Shep Garner made Jumper.,51,36
8:27,275,Ethan Happ missed Layup.,51,36
8:27,213,Josh Reaves Block.,51,36
8:27,275,Ethan Happ Offensive Rebound.,51,36
8:04,275,Wisconsin  Turnover.,51,36
7:53,213,Shep Garner made Jumper.,51,38
7:53,275,Foul on D'Mitrik Trice.,51,38
7:53,213,Official TV Timeout,51,38
7:53,213,Shep Garner made Free Throw.,51,39
7:43,275,Ethan Happ made Dunk. Assisted by Aleem Ford.,53,39
7:26,213,Mike Watkins made Dunk. Assisted by Josh Reaves.,53,41
6:59,275,Ethan Happ missed Layup.,53,41
6:59,275,Kobe King Offensive Rebound.,53,41
6:33,275,Ethan Happ missed Jumper.,53,41
6:33,213,Mike Watkins Defensive Rebound.,53,41
6:07,213,Mike Watkins missed Three Point Jumper.,53,41
6:07,275,Wisconsin Defensive Rebound.,53,41
5:57,275,Kobe King made Jumper.,55,41
5:20,213,Mike Watkins made Layup. Assisted by Lamar Stevens.,55,43
5:20,275,Foul on Ethan Happ.,55,43
5:20,213,Mike Watkins missed Free Throw.,55,43
5:20,275,Khalil Iverson Defensive Rebound.,55,43
5:20,213,Foul on Josh Reaves.,55,43
4:59,275,Nate Reuvers made Jumper. Assisted by D'Mitrik Trice.,57,43
4:48,213,Shep Garner missed Layup.,57,43
4:48,213,Tony Carr Offensive Rebound.,57,43
4:48,213,Tony Carr missed Two Point Tip Shot.,57,43
4:48,275,Khalil Iverson Block.,57,43
4:48,213,Shep Garner Offensive Rebound.,57,43
4:35,275,Foul on D'Mitrik Trice.,57,43
4:35,213,Shep Garner made Free Throw.,57,44
4:35,213,Shep Garner made Free Throw.,57,45
4:11,275,D'Mitrik Trice missed Three Point Jumper.,57,45
4:11,213,Josh Reaves Block.,57,45
4:11,213,Lamar Stevens Defensive Rebound.,57,45
3:54,213,Shep Garner missed Three Point Jumper.,57,45
3:54,213,Penn State Deadball Team Rebound.,57,45
3:54,275,Foul on Brad Davison.,57,45
3:54,213,Official TV Timeout,57,45
3:54,213,Josh Reaves made Free Throw.,57,46
3:54,213,Josh Reaves made Free Throw.,57,47
3:44,275,D'Mitrik Trice Turnover.,57,47
3:44,213,Shep Garner Steal.,57,47
3:36,275,Foul on Khalil Iverson.,57,47
3:36,213,Mike Watkins made Free Throw.,57,48
3:36,213,Mike Watkins made Free Throw.,57,49
3:13,213,Foul on Jamari Wheeler.,57,49
3:04,275,D'Mitrik Trice missed Layup.,57,49
3:04,213,Josh Reaves Block.,57,49
3:04,213,Penn State Defensive Rebound.,57,49
3:01,213,Tony Carr missed Jumper.,57,49
3:01,213,Josh Reaves Offensive Rebound.,57,49
3:01,213,Josh Reaves made Dunk.,57,51
2:51,275,Kobe King made Three Point Jumper. Assisted by Brad Davison.,60,51
2:27,213,Tony Carr made Jumper.,60,53
2:27,275,Foul on Brad Davison.,60,53
2:27,213,Tony Carr made Free Throw.,60,54
2:08,275,Kobe King missed Jumper.,60,54
2:08,213,Josh Reaves Defensive Rebound.,60,54
2:00,213,Tony Carr missed Jumper.,60,54
2:00,213,Lamar Stevens Offensive Rebound.,60,54
1:48,213,Shep Garner made Three Point Jumper. Assisted by Lamar Stevens.,60,57
1:44,275,Wisconsin  Timeout,60,57
1:41,275,Ethan Happ missed Jumper.,60,57
1:41,275,Kobe King Offensive Rebound.,60,57
1:18,275,D'Mitrik Trice missed Jumper.,60,57
1:18,213,Mike Watkins Block.,60,57
1:18,213,Mike Watkins Defensive Rebound.,60,57
1:11,213,Lamar Stevens Turnover.,60,57
1:11,275,Khalil Iverson Steal.,60,57
1:05,213,Foul on Josh Reaves.,60,57
0:43,275,Brad Davison Turnover.,60,57
0:43,213,Tony Carr Steal.,60,57
0:43,275,Foul on Brad Davison.,60,57
0:43,213,Shep Garner made Free Throw.,60,58
0:43,213,Shep Garner made Free Throw.,60,59
0:34,213,Foul on Tony Carr.,60,59
0:34,275,D'Mitrik Trice made Free Throw.,61,59
0:34,275,D'Mitrik Trice made Free Throw.,62,59
0:25,213,Tony Carr made Layup.,62,61
0:25,213,Penn State  Timeout,62,61
0:24,213,Foul on Shep Garner.,62,61
0:24,275,D'Mitrik Trice made Free Throw.,63,61
0:24,275,D'Mitrik Trice made Free Throw.,64,61
0:14,275,Foul on Ethan Happ.,64,61
0:14,213,Tony Carr made Free Throw.,64,62
0:14,213,Tony Carr made Free Throw.,64,63
0:14,275,Wisconsin  Timeout,64,63
0:13,213,Foul on Josh Reaves.,64,63
0:13,275,Aleem Ford missed Free Throw.,64,63
0:13,213,Tony Carr Defensive Rebound.,64,63
0:01,213,Tony Carr missed Three Point Jumper.,64,63
0:01,275,Aleem Ford Defensive Rebound.,64,63
0:00,213,End of Game,64,63
