Quinnipiac,171,Columbia,2514
17:12,2514,Chaise Daniels made Layup. Assisted by Rich Kelly.,53,52
16:49,171,Patrick Tape made Dunk. Assisted by Lukas Meisner.,53,54
16:17,2514,Chaise Daniels made Jumper.,55,54
16:00,171,Mike Smith made Three Point Jumper. Assisted by Patrick Tape.,55,57
15:42,2514,Isaiah Washington made Three Point Jumper. Assisted by Rich Kelly.,58,57
15:21,171,Nate Hickman made Layup.,58,59
15:06,2514,Cameron Young missed Three Point Jumper.,58,59
15:06,2514,Cameron Young Offensive Rebound.,58,59
15:02,2514,Cameron Young missed Jumper.,58,59
15:02,171,Quinton Adlesh Defensive Rebound.,58,59
14:56,171,Mike Smith missed Three Point Jumper.,58,59
14:56,2514,Andrew Robinson Defensive Rebound.,58,59
14:37,2514,Chaise Daniels made Dunk. Assisted by Cameron Young.,60,59
14:25,171,Nate Hickman missed Three Point Jumper.,60,59
14:25,2514,Quinnipiac Defensive Rebound.,60,59
14:22,171,Official TV Timeout,60,59
14:03,2514,Isaiah Washington missed Three Point Jumper.,60,59
14:03,171,Lukas Meisner Defensive Rebound.,60,59
13:50,171,Jaron Faulds made Jumper.,60,61
13:30,2514,Isaiah Washington missed Three Point Jumper.,60,61
13:30,171,Lukas Meisner Defensive Rebound.,60,61
13:13,171,Jaron Faulds made Layup. Assisted by Lukas Meisner.,60,63
12:51,171,Foul on Lukas Meisner.,60,63
12:51,2514,Andrew Robinson made Free Throw.,61,63
12:51,2514,Andrew Robinson made Free Throw.,62,63
12:51,2514,Andrew Robinson missed Free Throw.,62,63
12:51,171,Gabe Stefanini Defensive Rebound.,62,63
12:44,171,Quinton Adlesh missed Three Point Jumper.,62,63
12:44,2514,Abdulai Bundu Defensive Rebound.,62,63
12:29,171,Foul on Quinton Adlesh.,62,63
12:22,2514,Jacob Rigoni missed Three Point Jumper.,62,63
12:22,171,Mike Smith Defensive Rebound.,62,63
12:14,171,Jaron Faulds made Dunk. Assisted by Quinton Adlesh.,62,65
11:55,171,Foul on Gabe Stefanini.,62,65
11:55,171,Official TV Timeout,62,65
11:50,2514,Rich Kelly made Three Point Jumper.,65,65
11:36,171,Lukas Meisner made Three Point Jumper. Assisted by Quinton Adlesh.,65,68
11:06,2514,Cameron Young Turnover.,65,68
