Georgia State,2393,Middle Tennessee,2247
13:07,2247,Foul on Willie Clayton.,17,10
13:00,2393,Antwain Johnson made Dunk. Assisted by Tyrik Dixon.,17,12
12:39,2247,Jeff Thomas Turnover.,17,12
12:38,2393,Edward Simpson Steal.,17,12
12:33,2247,Foul on D'Marcus Simonds.,17,12
12:29,2393,Antwain Johnson made Free Throw.,17,13
12:29,2393,Antwain Johnson made Free Throw.,17,14
12:05,2247,D'Marcus Simonds Turnover.,17,14
12:04,2393,Tyrik Dixon Steal.,17,14
12:00,2393,Edward Simpson missed Three Point Jumper.,17,14
12:00,2247,Willie Clayton Defensive Rebound.,17,14
11:53,2247,Isaiah Williams missed Layup.,17,14
11:53,2393,Edward Simpson Defensive Rebound.,17,14
11:34,2247,Foul on Willie Clayton.,17,14
11:34,2393,Official TV Timeout,17,14
11:06,2393,JaCorey Williams made Jumper.,17,16
10:35,2247,Malik Benlevi made Jumper.,19,16
10:25,2247,Foul on Justin Seymour.,19,16
10:06,2393,Brandon Walters Turnover.,19,16
10:05,2247,D'Marcus Simonds Steal.,19,16
10:02,2247,D'Marcus Simonds missed Layup.,19,16
10:02,2393,Antwain Johnson Block.,19,16
10:02,2247,Georgia St Offensive Rebound.,19,16
9:52,2247,Jeremy Hollowell missed Jumper.,19,16
9:52,2247,D'Marcus Simonds Offensive Rebound.,19,16
9:48,2247,D'Marcus Simonds missed Layup.,19,16
9:48,2393,JaCorey Williams Defensive Rebound.,19,16
9:42,2393,Giddy Potts Turnover.,19,16
9:41,2247,Isaiah Dennis Steal.,19,16
9:30,2247,Jeremy Hollowell missed Three Point Jumper.,19,16
9:30,2393,JaCorey Williams Defensive Rebound.,19,16
9:12,2393,Antwain Johnson missed Layup.,19,16
9:12,2247,Malik Benlevi Defensive Rebound.,19,16
8:45,2247,Jeremy Hollowell missed Jumper.,19,16
8:45,2393,Tyrik Dixon Defensive Rebound.,19,16
8:38,2393,Brandon Walters missed Layup.,19,16
8:38,2247,D'Marcus Simonds Block.,19,16
8:36,2393,Brandon Walters Offensive Rebound.,19,16
8:34,2393,Antwain Johnson made Three Point Jumper. Assisted by Brandon Walters.,19,19
8:31,2247,Georgia St  Timeout,19,19
8:18,2247,Jeremy Hollowell Turnover.,19,19
8:08,2393,Quavius Copeland Turnover.,19,19
8:07,2247,Jeremy Hollowell Steal.,19,19
7:48,2247,Foul on D'Marcus Simonds.,19,19
7:48,2247,D'Marcus Simonds Turnover.,19,19
7:48,2393,Official TV Timeout,19,19
7:34,2393,Reggie Upshaw made Three Point Jumper. Assisted by JaCorey Williams.,19,22
7:16,2247,Jordan Session missed Jumper.,19,22
7:16,2247,Malik Benlevi Offensive Rebound.,19,22
7:11,2247,Malik Benlevi missed Layup.,19,22
7:11,2393,Giddy Potts Block.,19,22
7:07,2393,Giddy Potts Defensive Rebound.,19,22
6:59,2393,Giddy Potts missed Three Point Jumper.,19,22
6:59,2247,Jordan Session Defensive Rebound.,19,22
6:40,2247,Jeff Thomas made Three Point Jumper. Assisted by Justin Seymour.,22,22
6:10,2393,Giddy Potts missed Jumper.,22,22
6:10,2393,Reggie Upshaw Offensive Rebound.,22,22
5:56,2393,Reggie Upshaw missed Jumper.,22,22
5:56,2247,Malik Benlevi Defensive Rebound.,22,22
5:33,2247,Jeff Thomas made Three Point Jumper. Assisted by Justin Seymour.,25,22
5:06,2247,Foul on Austin Donaldson.,25,22
5:06,2393,JaCorey Williams missed Free Throw.,25,22
5:06,2393,Middle Tennessee Deadball Team Rebound.,25,22
5:06,2393,JaCorey Williams made Free Throw.,25,23
4:41,2247,Austin Donaldson missed Jumper.,25,23
4:41,2393,Tyrik Dixon Defensive Rebound.,25,23
4:36,2247,Foul on Justin Seymour.,25,23
4:36,2393,Aldonis Foote missed Free Throw.,25,23
4:36,2247,Willie Clayton Defensive Rebound.,25,23
4:26,2247,Jeremy Hollowell Turnover.,25,23
4:25,2393,Antwain Johnson Steal.,25,23
4:01,2393,Giddy Potts missed Three Point Jumper.,25,23
4:01,2247,Willie Clayton Defensive Rebound.,25,23
3:40,2247,Jeremy Hollowell missed Jumper.,25,23
3:40,2393,Reggie Upshaw Defensive Rebound.,25,23
3:31,2393,Giddy Potts made Layup. Assisted by Tyrik Dixon.,25,25
3:09,2393,Foul on Antwain Johnson.,25,25
3:06,2393,Official TV Timeout,25,25
2:53,2247,Jeremy Hollowell Turnover.,25,25
2:52,2393,Giddy Potts Steal.,25,25
2:50,2247,Foul on Isaiah Dennis.,25,25
2:50,2393,Giddy Potts missed Free Throw.,25,25
2:50,2393,Middle Tennessee Deadball Team Rebound.,25,25
2:50,2393,Giddy Potts missed Free Throw.,25,25
2:50,2247,Jeremy Hollowell Defensive Rebound.,25,25
2:38,2247,Jeremy Hollowell made Jumper.,27,25
2:20,2393,Giddy Potts Turnover.,27,25
2:19,2247,Jeremy Hollowell Steal.,27,25
2:09,2247,Isaiah Williams missed Jumper.,27,25
2:09,2393,Middle Tennessee Defensive Rebound.,27,25
1:45,2393,Antwain Johnson missed Three Point Jumper.,27,25
1:45,2247,Jeremy Hollowell Defensive Rebound.,27,25
1:20,2247,Devin Mitchell made Three Point Jumper. Assisted by Isaiah Williams.,30,25
0:57,2393,Edward Simpson missed Three Point Jumper.,30,25
0:57,2247,Jeff Thomas Defensive Rebound.,30,25
0:43,2393,Foul on Antwain Johnson.,30,25
0:32,2247,Jeremy Hollowell missed Jumper.,30,25
0:32,2393,Reggie Upshaw Defensive Rebound.,30,25
0:03,2393,JaCorey Williams Turnover.,30,25
0:02,2247,Devin Mitchell Steal.,30,25
0:00,2247,Jeff Thomas made Three Point Jumper. Assisted by Isaiah Williams.,33,25
0:00,2393,End of 1st half,33,25
19:40,2247,Justin Seymour missed Three Point Jumper.,33,25
19:40,2393,Giddy Potts Defensive Rebound.,33,25
19:13,2393,JaCorey Williams missed Jumper.,33,25
19:13,2247,Malik Benlevi Block.,33,25
19:11,2247,Georgia St Defensive Rebound.,33,25
18:52,2247,Jeremy Hollowell Turnover.,33,25
18:38,2393,Tyrik Dixon missed Jumper.,33,25
18:38,2247,Jeremy Hollowell Defensive Rebound.,33,25
18:30,2247,Justin Seymour Turnover.,33,25
18:29,2393,Edward Simpson Steal.,33,25
18:26,2393,Giddy Potts made Dunk. Assisted by Tyrik Dixon.,33,27
18:11,2247,Isaiah Dennis made Layup.,35,27
18:05,2393,Reggie Upshaw Turnover.,35,27
17:41,2393,Foul on Tyrik Dixon.,35,27
17:41,2247,Jeremy Hollowell missed Free Throw.,35,27
17:41,2247,Georgia St Deadball Team Rebound.,35,27
17:41,2247,Jeremy Hollowell made Free Throw.,36,27
17:24,2393,Reggie Upshaw Turnover.,36,27
17:23,2247,D'Marcus Simonds Steal.,36,27
17:22,2393,Foul on Reggie Upshaw.,36,27
17:22,2247,D'Marcus Simonds made Free Throw.,37,27
17:22,2247,D'Marcus Simonds missed Free Throw.,37,27
17:22,2393,Karl Gamble Defensive Rebound.,37,27
17:00,2393,JaCorey Williams missed Jumper.,37,27
17:00,2247,Malik Benlevi Defensive Rebound.,37,27
16:38,2393,Foul on Giddy Potts.,37,27
16:28,2247,Jeremy Hollowell Turnover.,37,27
16:27,2393,Giddy Potts Steal.,37,27
16:12,2393,Giddy Potts made Jumper.,37,29
15:43,2393,Foul on JaCorey Williams.,37,29
15:43,2393,Official TV Timeout,37,29
15:43,2247,Malik Benlevi made Free Throw.,38,29
15:43,2247,Malik Benlevi missed Free Throw.,38,29
15:43,2393,Giddy Potts Defensive Rebound.,38,29
15:24,2393,JaCorey Williams missed Jumper.,38,29
15:24,2247,Malik Benlevi Defensive Rebound.,38,29
14:53,2247,Austin Donaldson missed Three Point Jumper.,38,29
14:53,2393,JaCorey Williams Defensive Rebound.,38,29
14:36,2393,Giddy Potts missed Layup.,38,29
14:36,2247,Jordan Session Block.,38,29
14:36,2393,Middle Tennessee Offensive Rebound.,38,29
14:35,2393,Tyrik Dixon Turnover.,38,29
14:34,2247,Austin Donaldson Steal.,38,29
14:21,2247,Jeff Thomas Turnover.,38,29
14:05,2393,Tyrik Dixon missed Three Point Jumper.,38,29
14:05,2247,D'Marcus Simonds Block.,38,29
14:03,2247,Georgia St Defensive Rebound.,38,29
13:45,2247,Willie Clayton missed Jumper.,38,29
13:45,2393,Reggie Upshaw Defensive Rebound.,38,29
13:40,2247,Foul on Austin Donaldson.,38,29
13:16,2247,Foul on Jeremy Hollowell.,38,29
13:16,2393,Reggie Upshaw made Free Throw.,38,30
13:16,2393,Reggie Upshaw made Free Throw.,38,31
12:59,2247,Willie Clayton made Jumper.,40,31
12:34,2393,Quavius Copeland made Three Point Jumper. Assisted by JaCorey Williams.,40,34
12:07,2247,Jeremy Hollowell made Layup.,42,34
11:47,2393,Giddy Potts missed Three Point Jumper.,42,34
11:47,2247,Willie Clayton Defensive Rebound.,42,34
11:28,2247,Justin Seymour Turnover.,42,34
11:27,2393,Giddy Potts Steal.,42,34
11:24,2393,Giddy Potts made Layup.,42,36
10:58,2247,Jeremy Hollowell made Three Point Jumper. Assisted by Isaiah Dennis.,45,36
10:36,2247,Foul on Jeremy Hollowell.,45,36
10:36,2393,Official TV Timeout,45,36
10:35,2247,Foul on Isaiah Dennis.,45,36
10:34,2393,Giddy Potts missed Three Point Jumper.,45,36
10:34,2247,Willie Clayton Defensive Rebound.,45,36
10:07,2247,Foul on Isaiah Dennis.,45,36
10:07,2247,Isaiah Dennis Turnover.,45,36
9:45,2393,Edward Simpson missed Layup.,45,36
9:45,2247,Malik Benlevi Defensive Rebound.,45,36
9:18,2247,Jeremy Hollowell missed Jumper.,45,36
9:18,2247,Willie Clayton Offensive Rebound.,45,36
9:13,2247,Willie Clayton missed Layup.,45,36
9:13,2247,Devin Mitchell Offensive Rebound.,45,36
8:41,2247,Jeremy Hollowell missed Three Point Jumper.,45,36
8:41,2247,Malik Benlevi Offensive Rebound.,45,36
8:24,2247,Jeremy Hollowell Turnover.,45,36
8:23,2393,Giddy Potts Steal.,45,36
8:20,2393,Giddy Potts made Layup.,45,38
8:20,2247,Foul on Austin Donaldson.,45,38
8:20,2393,Giddy Potts made Free Throw.,45,39
8:06,2247,Jeff Thomas made Three Point Jumper. Assisted by D'Marcus Simonds.,48,39
7:48,2393,Aldonis Foote missed Jumper.,48,39
7:48,2247,Jeff Thomas Block.,48,39
7:48,2393,Middle Tennessee Offensive Rebound.,48,39
7:47,2393,Official TV Timeout,48,39
7:35,2393,Giddy Potts missed Three Point Jumper.,48,39
7:35,2393,Aldonis Foote Offensive Rebound.,48,39
7:29,2393,Aldonis Foote made Layup.,48,41
7:05,2247,Austin Donaldson made Layup.,50,41
6:52,2393,JaCorey Williams made Jumper.,50,43
6:36,2247,Jordan Session made Dunk. Assisted by Jeff Thomas.,52,43
6:17,2393,Middle Tennessee  Timeout,52,43
6:07,2393,Antwain Johnson missed Three Point Jumper.,52,43
6:07,2393,Aldonis Foote Offensive Rebound.,52,43
5:58,2393,Giddy Potts missed Three Point Jumper.,52,43
5:58,2247,Willie Clayton Defensive Rebound.,52,43
5:55,2393,Foul on Reggie Upshaw.,52,43
5:52,2247,Georgia St  Timeout,52,43
5:26,2247,Jeremy Hollowell missed Three Point Jumper.,52,43
5:26,2393,Middle Tennessee Defensive Rebound.,52,43
5:12,2393,Giddy Potts Turnover.,52,43
5:11,2247,Jeff Thomas Steal.,52,43
5:01,2247,D'Marcus Simonds made Layup. Assisted by Willie Clayton.,54,43
4:36,2393,Reggie Upshaw missed Layup.,54,43
4:36,2247,Jeremy Hollowell Defensive Rebound.,54,43
4:04,2247,Willie Clayton made Layup. Assisted by Austin Donaldson.,56,43
3:59,2393,Middle Tennessee  Timeout,56,43
3:45,2247,Foul on Jeremy Hollowell.,56,43
3:45,2393,JaCorey Williams made Free Throw.,56,44
3:45,2393,JaCorey Williams made Free Throw.,56,45
3:26,2247,Jeff Thomas made Three Point Jumper. Assisted by D'Marcus Simonds.,59,45
3:02,2393,Giddy Potts made Three Point Jumper. Assisted by JaCorey Williams.,59,48
2:33,2247,Austin Donaldson made Layup.,61,48
2:26,2247,Foul on Jeremy Hollowell.,61,48
2:26,2393,Antwain Johnson made Free Throw.,61,49
2:26,2393,Antwain Johnson made Free Throw.,61,50
1:58,2247,Jeremy Hollowell missed Three Point Jumper.,61,50
1:58,2247,Malik Benlevi Offensive Rebound.,61,50
1:45,2393,Foul on Edward Simpson.,61,50
1:37,2247,Jeremy Hollowell Turnover.,61,50
1:23,2393,Giddy Potts missed Three Point Jumper.,61,50
1:23,2393,Middle Tennessee Offensive Rebound.,61,50
1:19,2247,Foul on D'Marcus Simonds.,61,50
1:19,2393,Edward Simpson made Free Throw.,61,51
1:19,2393,Edward Simpson made Free Throw.,61,52
1:15,2393,Foul on Edward Simpson.,61,52
1:15,2247,Jeremy Hollowell made Free Throw.,62,52
1:15,2247,Jeremy Hollowell made Free Throw.,63,52
1:09,2393,Giddy Potts Turnover.,63,52
1:08,2247,Malik Benlevi Steal.,63,52
1:05,2247,Willie Clayton Turnover.,63,52
1:04,2393,Giddy Potts Steal.,63,52
1:01,2393,JaCorey Williams missed Three Point Jumper.,63,52
1:01,2393,Edward Simpson Offensive Rebound.,63,52
0:57,2393,Edward Simpson made Three Point Jumper.,63,55
0:55,2247,Georgia St  Timeout,63,55
0:50,2247,Jeremy Hollowell Turnover.,63,55
0:43,2393,Edward Simpson missed Three Point Jumper.,63,55
0:43,2247,Malik Benlevi Defensive Rebound.,63,55
0:38,2393,Foul on Edward Simpson.,63,55
0:38,2247,Malik Benlevi missed Free Throw.,63,55
0:38,2393,Giddy Potts Defensive Rebound.,63,55
0:32,2393,JaCorey Williams missed Three Point Jumper.,63,55
0:32,2247,Willie Clayton Defensive Rebound.,63,55
0:27,2393,Foul on Giddy Potts.,63,55
0:26,2247,Willie Clayton missed Free Throw.,63,55
0:26,2393,JaCorey Williams Defensive Rebound.,63,55
0:19,2247,Foul on Jeremy Hollowell.,63,55
0:19,2393,Edward Simpson made Free Throw.,63,56
0:19,2393,Edward Simpson missed Free Throw.,63,56
0:19,2247,Georgia St Defensive Rebound.,63,56
0:16,2393,Foul on Giddy Potts.,63,56
0:16,2247,Justin Seymour made Free Throw.,64,56
0:16,2247,Justin Seymour missed Free Throw.,64,56
0:16,2393,JaCorey Williams Defensive Rebound.,64,56
0:10,2393,JaCorey Williams missed Three Point Jumper.,64,56
0:10,2393,Edward Simpson Offensive Rebound.,64,56
0:05,2393,Giddy Potts missed Three Point Jumper.,64,56
0:05,2247,Willie Clayton Defensive Rebound.,64,56
0:00,2393,End of Game,64,56
