Little Rock,57,Florida,2031
13:08,2031,Andre Jones Offensive Rebound.,40,74
13:07,2031,Andre Jones made Layup.,42,74
13:01,2031,Foul on Lis Shoshi.,42,74
12:59,57,Canyon Barry made Three Point Jumper. Assisted by Kasey Hill.,42,77
12:34,57,Foul on Keith Stone.,42,77
12:21,2031,Andre Jones missed Three Point Jumper.,42,77
12:21,2031,Maurius Hill Offensive Rebound.,42,77
12:14,2031,Maurius Hill made Layup.,44,77
12:06,57,Canyon Barry missed Three Point Jumper.,44,77
12:06,2031,Jalen Jackson Defensive Rebound.,44,77
11:51,2031,Oliver Black made Jumper.,46,77
11:32,2031,Foul on Andre Jones.,46,77
11:32,57,Official TV Timeout,46,77
11:32,57,Canyon Barry made Free Throw.,46,78
11:32,57,Canyon Barry made Free Throw.,46,79
11:27,2031,Maurius Hill made Layup.,48,79
11:07,57,Canyon Barry missed Jumper.,48,79
11:07,2031,Ben Marcus Block.,48,79
11:07,2031,Marcus Johnson Jr. Defensive Rebound.,48,79
10:53,57,Foul on Eric Hester.,48,79
10:53,2031,Marcus Johnson Jr. made Free Throw.,49,79
10:53,2031,Marcus Johnson Jr. made Free Throw.,50,79
10:43,57,Eric Hester made Three Point Jumper.,50,82
10:24,2031,Andre Jones Turnover.,50,82
9:56,57,KeVaughn Allen missed Jumper.,50,82
9:56,2031,Ben Marcus Defensive Rebound.,50,82
9:40,2031,Deondre Burns missed Jumper.,50,82
9:40,57,Devin Robinson Defensive Rebound.,50,82
9:39,57,Devin Robinson Turnover.,50,82
9:33,2031,Oliver Black made Jumper. Assisted by Lis Shoshi.,52,82
9:08,57,Justin Leon missed Jumper.,52,82
9:08,2031,Oliver Black Defensive Rebound.,52,82
8:55,57,Jump Ball won by Florida,52,82
8:55,2031,Deondre Burns Turnover.,52,82
8:49,57,Devin Robinson missed Three Point Jumper.,52,82
8:49,2031,Jalen Jackson Defensive Rebound.,52,82
8:27,2031,Jalen Jackson missed Three Point Jumper.,52,82
8:27,57,Kevarrius Hayes Defensive Rebound.,52,82
8:23,57,Kasey Hill Turnover.,52,82
8:23,57,Foul on Devin Robinson.,52,82
8:16,2031,Oliver Black made Dunk. Assisted by Jalen Jackson.,54,82
7:57,57,Devin Robinson missed Jumper.,54,82
7:57,2031,Lis Shoshi Defensive Rebound.,54,82
7:39,2031,Oliver Black made Jumper.,56,82
7:33,2031,Foul on Ryan Pippins.,56,82
7:33,57,Official TV Timeout,56,82
7:33,57,Kasey Hill missed Free Throw.,56,82
7:33,2031,Jalen Jackson Defensive Rebound.,56,82
7:17,2031,Kemy Osse missed Three Point Jumper.,56,82
7:17,57,KeVaughn Allen Defensive Rebound.,56,82
7:16,57,Justin Leon missed Three Point Jumper.,56,82
7:15,57,Devin Robinson Offensive Rebound.,56,82
6:56,57,Devin Robinson made Dunk.,56,84
6:42,2031,Jalen Jackson Turnover.,56,84
6:42,57,Kevarrius Hayes Steal.,56,84
6:36,57,Justin Leon Turnover.,56,84
6:36,2031,Ben Marcus missed Layup.,56,84
6:36,57,KeVaughn Allen Defensive Rebound.,56,84
6:09,2031,Foul on Jalen Jackson.,56,84
6:09,57,Devin Robinson made Free Throw.,56,85
6:09,57,Devin Robinson missed Free Throw.,56,85
6:09,2031,Little Rock Defensive Rebound.,56,85
6:09,2031,Deondre Burns missed Layup.,56,85
6:09,57,Florida Defensive Rebound.,56,85
5:25,2031,Foul on Lis Shoshi.,56,85
5:25,57,Kevarrius Hayes missed Free Throw.,56,85
5:25,2031,Little Rock Defensive Rebound.,56,85
5:25,57,Foul on Justin Leon.,56,85
5:12,2031,Ryan Pippins Turnover.,56,85
5:12,57,Kasey Hill Steal.,56,85
5:09,57,Kasey Hill Turnover.,56,85
4:59,2031,Ryan Pippins missed Three Point Jumper.,56,85
4:59,57,Florida Defensive Rebound.,56,85
4:55,57,Foul on Chris Chiozza.,56,85
4:55,2031,Oliver Black made Free Throw.,57,85
4:55,2031,Oliver Black made Free Throw.,58,85
4:32,57,Chris Chiozza missed Three Point Jumper.,58,85
4:32,2031,Little Rock Defensive Rebound.,58,85
4:22,2031,Andre Jones made Three Point Jumper. Assisted by Lis Shoshi.,61,85
4:09,57,Canyon Barry made Three Point Jumper. Assisted by Chris Chiozza.,61,88
3:48,2031,Andre Jones made Jumper.,63,88
3:33,57,Canyon Barry missed Three Point Jumper.,63,88
3:33,2031,Andre Jones Defensive Rebound.,63,88
3:23,2031,Lis Shoshi missed Three Point Jumper.,63,88
3:23,57,Canyon Barry Defensive Rebound.,63,88
3:13,57,Chris Chiozza missed Three Point Jumper.,63,88
3:13,2031,Andre Jones Defensive Rebound.,63,88
2:51,2031,Andre Jones made Dunk. Assisted by Lis Shoshi.,65,88
2:34,57,Florida  Timeout,65,88
2:24,57,Canyon Barry made Layup.,65,90
2:11,2031,Andre Jones missed Jumper.,65,90
2:11,57,Canyon Barry Block.,65,90
2:11,57,Eric Hester Defensive Rebound.,65,90
2:03,57,Gorjok Gak made Dunk.,65,92
1:40,2031,Deondre Burns made Layup.,67,92
1:24,2031,Foul on Deondre Burns.,67,92
1:24,57,Official TV Timeout,67,92
1:24,57,Canyon Barry made Free Throw.,67,93
1:24,57,Canyon Barry made Free Throw.,67,94
1:10,57,Foul on Chris Chiozza.,67,94
1:10,2031,Oliver Black made Free Throw.,68,94
1:10,2031,Oliver Black missed Free Throw.,68,94
1:10,57,Keith Stone Defensive Rebound.,68,94
0:54,57,Chris Chiozza Turnover.,68,94
0:33,2031,Andre Jones made Three Point Jumper. Assisted by Ryan Pippins.,71,94
0:00,57,End of Game,71,94
