SIU-Edwardsville,269,Marquette,2565
10:38,269,Sam Hauser made Free Throw.,15,16
10:19,2565,Justin Benton Turnover.,15,16
10:18,269,Sam Hauser Steal.,15,16
10:10,269,Sam Hauser missed Three Point Jumper.,15,16
10:10,2565,Keenan Simmons Defensive Rebound.,15,16
9:52,2565,Keenan Simmons missed Jumper.,15,16
9:52,2565,Jalen Henry Offensive Rebound.,15,16
9:43,2565,Burak Eslik missed Jumper.,15,16
9:43,2565,Jalen Henry Offensive Rebound.,15,16
9:41,2565,Jalen Henry made Two Point Tip Shot.,17,16
9:21,269,Luke Fischer made Jumper.,17,18
9:01,2565,Carlos Anderson Turnover.,17,18
8:52,269,Haanif Cheatham made Layup.,17,20
8:38,269,Foul on Andrew Rowsey.,17,20
8:38,2565,Christian Ellis missed Free Throw.,17,20
8:38,2565,SIU-Edwardsville Deadball Team Rebound.,17,20
8:38,2565,Christian Ellis missed Free Throw.,17,20
8:38,269,Jajuan Johnson Defensive Rebound.,17,20
8:21,2565,Foul on Devin Thornton.,17,20
8:10,269,Luke Fischer missed Jumper.,17,20
8:10,2565,Devin Thornton Defensive Rebound.,17,20
7:43,2565,Christian Ellis missed Jumper.,17,20
7:43,2565,Christian Ellis Offensive Rebound.,17,20
7:43,2565,Christian Ellis made Two Point Tip Shot.,19,20
7:43,269,Foul on Jajuan Johnson.,19,20
7:43,269,Official TV Timeout,19,20
7:43,2565,Christian Ellis made Free Throw.,20,20
7:28,269,Duane Wilson made Three Point Jumper. Assisted by Jajuan Johnson.,20,23
6:54,2565,Christian Ellis missed Jumper.,20,23
6:54,269,Matt Heldt Block.,20,23
6:54,2565,SIU-Edwardsville Deadball Team Rebound.,20,23
6:54,2565,SIU-Edwardsville  Turnover.,20,23
6:41,269,Matt Heldt made Jumper. Assisted by Jajuan Johnson.,20,25
6:19,2565,Jalen Henry Turnover.,20,25
6:18,269,Jajuan Johnson Steal.,20,25
6:13,269,Duane Wilson missed Layup.,20,25
6:13,269,Matt Heldt Offensive Rebound.,20,25
6:13,269,Matt Heldt made Two Point Tip Shot.,20,27
6:13,2565,Foul on Jalen Henry.,20,27
6:13,269,Matt Heldt made Free Throw.,20,28
5:50,2565,Justin Benton Turnover.,20,28
5:49,269,Haanif Cheatham Steal.,20,28
5:47,269,Haanif Cheatham made Layup.,20,30
5:46,2565,SIU-Edwardsville  Timeout,20,30
5:32,2565,Carlos Anderson made Jumper.,22,30
5:17,2565,Foul on Brandon Jackson.,22,30
5:17,269,Jajuan Johnson made Free Throw.,22,31
5:17,269,Jajuan Johnson made Free Throw.,22,32
5:04,2565,Burak Eslik Turnover.,22,32
4:42,269,Foul on Matt Heldt.,22,32
4:42,269,Matt Heldt Turnover.,22,32
4:25,2565,Burak Eslik Turnover.,22,32
4:24,269,Duane Wilson Steal.,22,32
4:20,269,Haanif Cheatham made Layup. Assisted by Jajuan Johnson.,22,34
3:51,2565,Carlos Anderson missed Three Point Jumper.,22,34
3:51,269,Marquette Defensive Rebound.,22,34
3:51,269,Official TV Timeout,22,34
3:46,269,Haanif Cheatham made Layup.,22,36
3:10,2565,Carlos Anderson missed Jumper.,22,36
3:10,2565,Keenan Simmons Offensive Rebound.,22,36
3:07,2565,Keenan Simmons made Two Point Tip Shot.,24,36
2:55,269,Haanif Cheatham Turnover.,24,36
2:29,2565,Carlos Anderson missed Jumper.,24,36
2:29,269,Jajuan Johnson Defensive Rebound.,24,36
2:10,269,Duane Wilson made Jumper. Assisted by Andrew Rowsey.,24,38
1:54,2565,Christian Ellis Turnover.,24,38
1:53,269,Duane Wilson Steal.,24,38
1:45,2565,Foul on Jalen Henry.,24,38
1:45,269,Matt Heldt made Free Throw.,24,39
1:45,269,Matt Heldt missed Free Throw.,24,39
1:45,2565,Keenan Simmons Defensive Rebound.,24,39
1:18,269,Foul on Matt Heldt.,24,39
1:18,2565,Keenan Simmons missed Free Throw.,24,39
1:18,2565,SIU-Edwardsville Deadball Team Rebound.,24,39
1:18,2565,Keenan Simmons made Free Throw.,25,39
1:10,2565,Foul on Carlos Anderson.,25,39
1:10,269,Haanif Cheatham made Free Throw.,25,40
1:10,269,Haanif Cheatham missed Free Throw.,25,40
1:10,2565,Keenan Simmons Defensive Rebound.,25,40
0:51,2565,Carlos Anderson Turnover.,25,40
0:43,269,Jajuan Johnson missed Layup.,25,40
0:43,269,Luke Fischer Offensive Rebound.,25,40
0:40,269,Luke Fischer made Two Point Tip Shot.,25,42
0:14,2565,Carlos Anderson made Jumper.,27,42
0:12,269,Marquette  Timeout,27,42
0:03,269,Sam Hauser missed Three Point Jumper.,27,42
0:03,269,Luke Fischer Offensive Rebound.,27,42
0:02,269,Luke Fischer missed Two Point Tip Shot.,27,42
0:02,2565,Glen Pierre Jr. Block.,27,42
0:02,269,Luke Fischer Offensive Rebound.,27,42
0:01,269,Luke Fischer made Two Point Tip Shot.,27,44
0:01,2565,Foul on Glen Pierre Jr..,27,44
0:01,269,Luke Fischer made Free Throw.,27,45
0:00,269,End of 1st half,27,45
19:49,2565,Keenan Simmons made Jumper. Assisted by Christian Ellis.,29,45
19:49,269,Foul on Luke Fischer.,29,45
19:49,2565,Keenan Simmons made Free Throw.,30,45
19:29,269,Sam Hauser missed Jumper.,30,45
19:29,2565,Jalen Henry Defensive Rebound.,30,45
19:18,269,Foul on Luke Fischer.,30,45
19:18,2565,Christian Ellis missed Free Throw.,30,45
19:18,2565,SIU-Edwardsville Deadball Team Rebound.,30,45
19:18,2565,Christian Ellis made Free Throw.,31,45
18:53,269,Luke Fischer missed Jumper.,31,45
18:53,2565,Jalen Henry Defensive Rebound.,31,45
18:39,2565,Keenan Simmons missed Jumper.,31,45
18:39,269,Sam Hauser Defensive Rebound.,31,45
18:16,269,Andrew Rowsey Turnover.,31,45
18:15,2565,Carlos Anderson Steal.,31,45
18:09,2565,Carlos Anderson missed Jumper.,31,45
18:09,269,Sam Hauser Defensive Rebound.,31,45
17:58,269,Luke Fischer made Dunk. Assisted by Haanif Cheatham.,31,47
17:35,2565,Jalen Henry made Jumper. Assisted by Carlos Anderson.,33,47
17:17,269,Andrew Rowsey missed Jumper.,33,47
17:17,2565,Keenan Simmons Defensive Rebound.,33,47
17:04,2565,Burak Eslik missed Three Point Jumper.,33,47
17:04,269,Sam Hauser Defensive Rebound.,33,47
16:58,269,Jajuan Johnson made Layup. Assisted by Andrew Rowsey.,33,49
16:33,2565,Keenan Simmons made Jumper. Assisted by Burak Eslik.,35,49
16:16,2565,Foul on Keenan Simmons.,35,49
16:16,269,Sam Hauser made Free Throw.,35,50
16:16,269,Sam Hauser made Free Throw.,35,51
16:04,269,Foul on Matt Heldt.,35,51
16:02,2565,Burak Eslik missed Three Point Jumper.,35,51
16:02,2565,Christian Ellis Offensive Rebound.,35,51
15:48,2565,Christian Ellis missed Jumper.,35,51
15:48,269,Markus Howard Defensive Rebound.,35,51
15:48,2565,Foul on Christian Ellis.,35,51
15:48,269,Official TV Timeout,35,51
15:39,269,Jajuan Johnson missed Jumper.,35,51
15:39,2565,Carlos Anderson Defensive Rebound.,35,51
15:15,2565,Carlos Anderson missed Three Point Jumper.,35,51
15:15,2565,Keenan Simmons Offensive Rebound.,35,51
15:09,269,Foul on Duane Wilson.,35,51
15:03,2565,Christian Ellis Turnover.,35,51
15:02,269,Markus Howard Steal.,35,51
15:00,269,Duane Wilson missed Layup.,35,51
15:00,2565,Keenan Simmons Defensive Rebound.,35,51
14:45,2565,Christian Ellis missed Jumper.,35,51
14:45,2565,Brandon Jackson Offensive Rebound.,35,51
14:45,2565,Brandon Jackson made Two Point Tip Shot.,37,51
14:45,269,Foul on Matt Heldt.,37,51
14:45,2565,Brandon Jackson made Free Throw.,38,51
14:32,269,Luke Fischer made Dunk. Assisted by Jajuan Johnson.,38,53
14:03,2565,Brandon Jackson missed Jumper.,38,53
14:03,269,Markus Howard Defensive Rebound.,38,53
13:54,269,Luke Fischer made Dunk. Assisted by Markus Howard.,38,55
13:38,2565,Keenan Simmons Turnover.,38,55
13:35,269,Jajuan Johnson Steal.,38,55
13:34,269,Jajuan Johnson made Dunk.,38,57
13:11,2565,Jalen Henry made Jumper. Assisted by Christian Ellis.,40,57
12:57,2565,Foul on Glen Pierre Jr..,40,57
12:54,269,Luke Fischer made Jumper. Assisted by Markus Howard.,40,59
12:29,2565,Carlos Anderson Turnover.,40,59
12:28,269,Markus Howard Steal.,40,59
12:23,269,Duane Wilson missed Three Point Jumper.,40,59
12:23,269,Haanif Cheatham Offensive Rebound.,40,59
12:21,269,Haanif Cheatham made Two Point Tip Shot.,40,61
12:21,2565,Foul on Justin Benton.,40,61
12:21,269,Haanif Cheatham made Free Throw.,40,62
11:58,2565,Glen Pierre Jr. missed Jumper.,40,62
11:58,269,Haanif Cheatham Defensive Rebound.,40,62
11:50,2565,Foul on Glen Pierre Jr..,40,62
11:50,269,Official TV Timeout,40,62
11:39,269,Luke Fischer missed Jumper.,40,62
11:39,2565,Burak Eslik Defensive Rebound.,40,62
11:23,2565,Jalen Henry missed Jumper.,40,62
11:23,269,Sam Hauser Block.,40,62
11:20,269,Duane Wilson Defensive Rebound.,40,62
11:14,2565,Foul on Jalen Henry.,40,62
11:14,269,Duane Wilson made Free Throw.,40,63
11:14,269,Duane Wilson made Free Throw.,40,64
10:47,2565,Justin Benton missed Jumper.,40,64
10:46,2565,Glen Pierre Jr. Offensive Rebound.,40,64
10:45,269,Foul on Luke Fischer.,40,64
10:45,2565,Glen Pierre Jr. made Free Throw.,41,64
10:45,2565,Glen Pierre Jr. made Free Throw.,42,64
10:30,2565,Foul on Devin Thornton.,42,64
10:30,269,Jajuan Johnson missed Free Throw.,42,64
10:30,269,Marquette Deadball Team Rebound.,42,64
10:30,269,Jajuan Johnson made Free Throw.,42,65
10:21,269,Foul on Sam Hauser.,42,65
10:21,2565,Burak Eslik missed Free Throw.,42,65
10:21,2565,SIU-Edwardsville Deadball Team Rebound.,42,65
10:21,2565,Burak Eslik made Free Throw.,43,65
10:05,269,Sam Hauser missed Three Point Jumper.,43,65
10:05,2565,Justin Benton Defensive Rebound.,43,65
10:01,2565,Burak Eslik Turnover.,43,65
9:49,269,Haanif Cheatham made Layup.,43,67
9:20,2565,Justin Benton missed Three Point Jumper.,43,67
9:20,269,Sam Hauser Defensive Rebound.,43,67
9:19,2565,Foul on Keenan Simmons.,43,67
9:19,269,Markus Howard made Free Throw.,43,68
9:19,269,Markus Howard made Free Throw.,43,69
8:56,2565,Carlos Anderson missed Jumper.,43,69
8:56,269,Matt Heldt Defensive Rebound.,43,69
8:34,269,Andrew Rowsey made Jumper. Assisted by Sam Hauser.,43,71
8:18,2565,Glen Pierre Jr. made Jumper. Assisted by Christian Ellis.,45,71
8:04,269,Jajuan Johnson made Three Point Jumper.,45,74
7:44,2565,Carlos Anderson missed Jumper.,45,74
7:43,269,Haanif Cheatham Defensive Rebound.,45,74
7:42,269,Haanif Cheatham Turnover.,45,74
7:41,269,Official TV Timeout,45,74
7:36,2565,Justin Benton Turnover.,45,74
7:35,269,Duane Wilson Steal.,45,74
7:10,269,Andrew Rowsey missed Three Point Jumper.,45,74
7:09,269,Matt Heldt Offensive Rebound.,45,74
7:07,269,Haanif Cheatham made Three Point Jumper. Assisted by Matt Heldt.,45,77
6:38,2565,Christian Ellis Turnover.,45,77
6:37,269,Haanif Cheatham Steal.,45,77
6:28,269,Sam Hauser made Three Point Jumper. Assisted by Duane Wilson.,45,80
6:25,2565,SIU-Edwardsville  Timeout,45,80
6:10,2565,Keenan Simmons Turnover.,45,80
5:53,269,Markus Howard Turnover.,45,80
5:36,2565,Carlos Anderson missed Jumper.,45,80
5:36,2565,Keenan Simmons Offensive Rebound.,45,80
5:36,2565,Jalen Henry made Jumper. Assisted by Keenan Simmons.,47,80
5:21,2565,Foul on Christian Ellis.,47,80
5:21,269,Andrew Rowsey made Free Throw.,47,81
5:21,269,Andrew Rowsey made Free Throw.,47,82
5:08,2565,Keenan Simmons missed Jumper.,47,82
5:08,269,Matt Heldt Defensive Rebound.,47,82
4:57,269,Markus Howard missed Jumper.,47,82
4:57,2565,Keenan Simmons Block.,47,82
4:55,269,Matt Heldt Offensive Rebound.,47,82
4:51,269,Matt Heldt missed Two Point Tip Shot.,47,82
4:51,2565,Christian Ellis Defensive Rebound.,47,82
4:44,269,Foul on Andrew Rowsey.,47,82
4:44,2565,Jalen Henry missed Free Throw.,47,82
4:44,269,Sam Hauser Defensive Rebound.,47,82
4:34,269,Sam Hauser missed Three Point Jumper.,47,82
4:34,2565,Burak Eslik Defensive Rebound.,47,82
4:21,2565,Jalen Henry made Jumper. Assisted by Christian Ellis.,49,82
4:21,269,Foul on Matt Heldt.,49,82
4:21,2565,Jalen Henry made Free Throw.,50,82
4:07,2565,Foul on Burak Eslik.,50,82
4:07,269,Duane Wilson made Free Throw.,50,83
4:07,269,Duane Wilson made Free Throw.,50,84
3:55,2565,Glen Pierre Jr. missed Jumper.,50,84
3:55,269,Sam Hauser Defensive Rebound.,50,84
3:47,269,Andrew Rowsey missed Three Point Jumper.,50,84
3:47,2565,Justin Benton Defensive Rebound.,50,84
3:31,2565,Carlos Anderson Turnover.,50,84
3:31,269,Official TV Timeout,50,84
3:09,269,Deon Franklin missed Jumper.,50,84
3:09,2565,Christian Ellis Defensive Rebound.,50,84
3:02,269,Foul on Cam Marotta.,50,84
3:02,2565,Christian Ellis missed Free Throw.,50,84
3:02,2565,SIU-Edwardsville Deadball Team Rebound.,50,84
3:02,2565,Christian Ellis made Free Throw.,51,84
2:37,269,Cam Marotta missed Three Point Jumper.,51,84
2:37,2565,Devin Thornton Defensive Rebound.,51,84
2:32,2565,Devin Thornton Turnover.,51,84
2:31,269,Andrew Rowsey Steal.,51,84
2:29,269,Andrew Rowsey made Layup.,51,86
2:07,269,Foul on Deon Franklin.,51,86
2:07,2565,Glen Pierre Jr. made Free Throw.,52,86
2:07,2565,Glen Pierre Jr. made Free Throw.,53,86
1:52,269,Duane Wilson missed Three Point Jumper.,53,86
1:52,2565,Brandon Jackson Defensive Rebound.,53,86
1:39,269,Foul on Duane Wilson.,53,86
1:39,2565,Devin Thornton missed Free Throw.,53,86
1:39,2565,SIU-Edwardsville Deadball Team Rebound.,53,86
1:39,2565,Devin Thornton made Free Throw.,54,86
1:24,269,Cam Marotta made Three Point Jumper. Assisted by Markus Howard.,54,89
1:10,2565,Brandon Jackson Turnover.,54,89
1:10,269,Duane Wilson Steal.,54,89
0:42,269,Cam Marotta Turnover.,54,89
0:41,2565,Devin Thornton Steal.,54,89
0:36,2565,Devin Thornton made Layup.,56,89
0:06,269,Marquette  Turnover.,56,89
0:00,269,End of Game,56,89
