Central Connecticut,2230,Fordham,2115
12:41,2230,Foul on Javontae Hawkins.,9,17
12:28,2115,Tidell Pierre made Layup. Assisted by Kevin Seymour.,11,17
12:28,2230,Foul on Christian Sengfelder.,11,17
12:28,2115,Tidell Pierre made Free Throw.,12,17
12:09,2230,Christian Sengfelder made Layup. Assisted by Antwoine Anderson.,12,19
11:48,2115,Kevin Seymour Turnover.,12,19
11:48,2230,Official TV Timeout,12,19
11:32,2230,Prokop Slanina Turnover.,12,19
11:30,2115,Eric Bowles Steal.,12,19
11:28,2115,Tyson Batiste Turnover.,12,19
11:22,2230,Javontae Hawkins Turnover.,12,19
11:21,2115,Eric Bowles Steal.,12,19
10:59,2115,Tafari Whittingham Turnover.,12,19
10:59,2230,Javontae Hawkins Steal.,12,19
10:59,2115,Foul on Eric Bowles.,12,19
10:43,2230,Javontae Hawkins missed Jumper.,12,19
10:43,2115,Tyson Batiste Defensive Rebound.,12,19
10:27,2115,Mustafa Jones made Layup. Assisted by Tidell Pierre.,14,19
10:13,2230,Javontae Hawkins made Dunk. Assisted by Antwoine Anderson.,14,21
9:59,2230,Foul on Javontae Hawkins.,14,21
9:37,2115,Austin Nehls made Three Point Jumper. Assisted by Tyson Batiste.,17,21
9:14,2115,Foul on Tyson Batiste.,17,21
9:14,2230,David Pekarek made Free Throw.,17,22
9:14,2230,David Pekarek missed Free Throw.,17,22
9:14,2115,Mustafa Jones Defensive Rebound.,17,22
8:59,2115,Mustafa Jones missed Jumper.,17,22
8:59,2230,David Pekarek Defensive Rebound.,17,22
8:51,2230,Antwoine Anderson missed Three Point Jumper.,17,22
8:51,2115,Tyson Batiste Defensive Rebound.,17,22
8:26,2115,Khalen Cumberlander missed Jumper.,17,22
8:26,2115,Tidell Pierre Offensive Rebound.,17,22
8:23,2115,Tidell Pierre made Layup.,19,22
8:01,2230,Joseph Chartouny made Three Point Jumper. Assisted by Antwoine Anderson.,19,25
7:46,2115,Khalen Cumberlander Turnover.,19,25
7:46,2230,Official TV Timeout,19,25
7:34,2230,Prokop Slanina made Three Point Jumper. Assisted by David Pekarek.,19,28
7:09,2115,Austin Nehls missed Jumper.,19,28
7:09,2230,Joseph Chartouny Defensive Rebound.,19,28
7:04,2115,Foul on Mustafa Jones.,19,28
7:04,2230,Joseph Chartouny made Free Throw.,19,29
7:04,2230,Joseph Chartouny made Free Throw.,19,30
6:52,2115,Tyson Batiste Turnover.,19,30
6:21,2230,Antwoine Anderson missed Jumper.,19,30
6:21,2115,Khalen Cumberlander Defensive Rebound.,19,30
6:16,2230,Foul on Chuba Ohams.,19,30
6:16,2115,Austin Nehls made Free Throw.,20,30
6:16,2115,Austin Nehls made Free Throw.,21,30
5:51,2230,Christian Sengfelder made Three Point Jumper. Assisted by Antwoine Anderson.,21,33
5:44,2115,Tyson Batiste Turnover.,21,33
5:43,2230,David Pekarek Steal.,21,33
5:30,2230,Joseph Chartouny missed Three Point Jumper.,21,33
5:30,2115,Khalen Cumberlander Defensive Rebound.,21,33
5:23,2115,Austin Nehls Turnover.,21,33
5:01,2230,David Pekarek missed Three Point Jumper.,21,33
5:01,2115,Khalen Cumberlander Defensive Rebound.,21,33
4:45,2115,Tyson Batiste Turnover.,21,33
4:45,2115,Foul on Tyson Batiste.,21,33
4:31,2230,David Pekarek Turnover.,21,33
4:15,2230,Foul on David Pekarek.,21,33
4:15,2115,Tidell Pierre missed Free Throw.,21,33
4:15,2115,Central Connecticut St Deadball Team Rebound.,21,33
4:15,2115,Tidell Pierre missed Free Throw.,21,33
4:15,2115,Khalen Cumberlander Offensive Rebound.,21,33
4:03,2115,Tidell Pierre missed Jumper.,21,33
4:03,2230,Prokop Slanina Block.,21,33
4:02,2230,Christian Sengfelder Defensive Rebound.,21,33
3:57,2115,Foul on Khalen Cumberlander.,21,33
3:57,2230,Official TV Timeout,21,33
3:57,2230,Antwoine Anderson made Free Throw.,21,34
3:57,2230,Antwoine Anderson made Free Throw.,21,35
3:51,2115,Tyson Batiste missed Three Point Jumper.,21,35
3:51,2230,Sinan Saglam Defensive Rebound.,21,35
3:37,2230,Joseph Chartouny made Three Point Jumper. Assisted by Sinan Saglam.,21,38
3:21,2115,Eric Bowles Turnover.,21,38
3:19,2230,Joseph Chartouny Steal.,21,38
2:58,2230,Chuba Ohams Turnover.,21,38
2:57,2115,Tafari Whittingham Steal.,21,38
2:42,2230,Foul on Joseph Chartouny.,21,38
2:42,2115,Tidell Pierre missed Free Throw.,21,38
2:42,2230,Prokop Slanina Defensive Rebound.,21,38
2:28,2230,Joseph Chartouny made Three Point Jumper. Assisted by Antwoine Anderson.,21,41
2:25,2230,Fordham  Timeout,21,41
2:06,2115,Tafari Whittingham made Jumper. Assisted by Tyson Batiste.,23,41
1:44,2230,David Pekarek made Three Point Jumper. Assisted by Antwoine Anderson.,23,44
1:22,2115,Foul on Austin Nehls.,23,44
1:22,2115,Austin Nehls Turnover.,23,44
0:57,2230,Jesse Bunting missed Jumper.,23,44
0:57,2230,Chuba Ohams Offensive Rebound.,23,44
0:55,2230,Chuba Ohams made Dunk.,23,46
0:31,2115,Austin Nehls missed Three Point Jumper.,23,46
0:31,2230,Antwoine Anderson Defensive Rebound.,23,46
0:25,2230,Antwoine Anderson Turnover.,23,46
0:24,2115,Tafari Whittingham Steal.,23,46
0:17,2115,Tyson Batiste Turnover.,23,46
0:17,2230,Jesse Bunting Steal.,23,46
0:00,2230,Chuba Ohams missed Jumper.,23,46
0:00,2115,Central Connecticut St Defensive Rebound.,23,46
0:00,2230,End of 1st half,23,46
19:48,2230,Foul on Joseph Chartouny.,23,46
19:48,2115,Tidell Pierre missed Free Throw.,23,46
19:48,2115,Central Connecticut St Deadball Team Rebound.,23,46
19:48,2115,Tidell Pierre missed Free Throw.,23,46
19:48,2230,Joseph Chartouny Defensive Rebound.,23,46
19:26,2115,Foul on Tidell Pierre.,23,46
19:19,2230,Joseph Chartouny Turnover.,23,46
19:07,2115,Khalen Cumberlander missed Three Point Jumper.,23,46
19:07,2230,Prokop Slanina Defensive Rebound.,23,46
18:49,2230,Prokop Slanina made Layup. Assisted by Joseph Chartouny.,23,48
18:27,2115,Austin Nehls made Three Point Jumper. Assisted by Khalen Cumberlander.,26,48
18:13,2230,Joseph Chartouny Turnover.,26,48
18:00,2115,Mustafa Jones made Jumper.,28,48
17:44,2230,Antwoine Anderson Turnover.,28,48
17:34,2230,Foul on Joseph Chartouny.,28,48
17:34,2115,Tidell Pierre missed Free Throw.,28,48
17:34,2115,Central Connecticut St Deadball Team Rebound.,28,48
17:34,2115,Tidell Pierre made Free Throw.,29,48
17:22,2230,Javontae Hawkins made Three Point Jumper.,29,51
17:08,2115,Austin Nehls missed Three Point Jumper.,29,51
17:08,2230,Jesse Bunting Defensive Rebound.,29,51
17:03,2115,Foul on Tidell Pierre.,29,51
17:00,2230,Antwoine Anderson made Jumper. Assisted by Joseph Chartouny.,29,53
17:00,2230,Fordham  Timeout,29,53
17:00,2230,Official TV Timeout,29,53
16:42,2115,Khalen Cumberlander made Three Point Jumper. Assisted by Mustafa Jones.,32,53
16:15,2230,Antwoine Anderson missed Jumper.,32,53
16:15,2230,Fordham Offensive Rebound.,32,53
16:03,2230,Christian Sengfelder made Three Point Jumper. Assisted by Joseph Chartouny.,32,56
15:45,2230,Foul on Jesse Bunting.,32,56
15:45,2230,Official TV Timeout,32,56
15:21,2115,Khalen Cumberlander missed Dunk.,32,56
15:21,2230,Antwoine Anderson Defensive Rebound.,32,56
15:18,2230,Antwoine Anderson made Layup.,32,58
15:02,2115,Mustafa Jones missed Jumper.,32,58
15:02,2115,Central Connecticut St Offensive Rebound.,32,58
14:57,2115,Austin Nehls missed Three Point Jumper.,32,58
14:57,2230,Chuba Ohams Defensive Rebound.,32,58
14:54,2230,Chuba Ohams Turnover.,32,58
14:53,2230,Foul on Sinan Saglam.,32,58
14:44,2115,Mustafa Jones missed Jumper.,32,58
14:44,2230,Christian Sengfelder Defensive Rebound.,32,58
14:28,2230,Javontae Hawkins made Jumper.,32,60
14:15,2115,Austin Nehls made Three Point Jumper. Assisted by Mustafa Jones.,35,60
13:49,2230,Sinan Saglam made Layup.,35,62
13:49,2115,Foul on Tafari Whittingham.,35,62
13:49,2230,Sinan Saglam made Free Throw.,35,63
13:41,2115,Tafari Whittingham made Layup. Assisted by Eric Bowles.,37,63
13:17,2230,Jesse Bunting made Layup. Assisted by David Pekarek.,37,65
13:11,2115,Khalen Cumberlander Turnover.,37,65
13:10,2230,David Pekarek Steal.,37,65
12:44,2230,Jesse Bunting missed Layup.,37,65
12:44,2115,Tidell Pierre Defensive Rebound.,37,65
12:38,2115,Austin Nehls made Layup.,39,65
12:23,2230,Sinan Saglam missed Three Point Jumper.,39,65
12:23,2230,Chuba Ohams Offensive Rebound.,39,65
12:21,2115,Foul on Tidell Pierre.,39,65
12:11,2230,Foul on Chuba Ohams.,39,65
12:11,2230,Chuba Ohams Turnover.,39,65
12:00,2115,Tafari Whittingham missed Layup.,39,65
12:00,2230,David Pekarek Block.,39,65
12:00,2115,Central Connecticut St Offensive Rebound.,39,65
11:50,2115,Eric Bowles made Three Point Jumper. Assisted by Austin Nehls.,42,65
11:32,2230,David Pekarek Turnover.,42,65
11:31,2115,Austin Nehls Steal.,42,65
11:27,2115,Mustafa Jones made Dunk. Assisted by Austin Nehls.,44,65
11:11,2230,David Pekarek missed Three Point Jumper.,44,65
11:11,2115,Mustafa Jones Defensive Rebound.,44,65
11:05,2115,Austin Nehls made Layup. Assisted by Mustafa Jones.,46,65
10:42,2230,David Pekarek Turnover.,46,65
10:42,2230,Official TV Timeout,46,65
10:19,2115,Tafari Whittingham missed Jumper.,46,65
10:19,2115,Central Connecticut St Offensive Rebound.,46,65
10:10,2115,Mustafa Jones missed Jumper.,46,65
10:10,2230,Javontae Hawkins Defensive Rebound.,46,65
10:01,2230,Javontae Hawkins made Layup.,46,67
9:42,2115,Eric Bowles Turnover.,46,67
9:24,2230,Javontae Hawkins missed Three Point Jumper.,46,67
9:24,2230,Prokop Slanina Offensive Rebound.,46,67
9:21,2115,Foul on Mustafa Jones.,46,67
9:16,2230,Joseph Chartouny Turnover.,46,67
9:15,2115,Mustafa Jones Steal.,46,67
8:52,2115,Chris Williams missed Jumper.,46,67
8:52,2230,Christian Sengfelder Defensive Rebound.,46,67
8:44,2115,Foul on Chris Williams.,46,67
8:42,2230,Prokop Slanina made Jumper. Assisted by Joseph Chartouny.,46,69
8:24,2115,Austin Nehls made Three Point Jumper. Assisted by Khalen Cumberlander.,49,69
8:04,2230,Christian Sengfelder made Three Point Jumper. Assisted by Antwoine Anderson.,49,72
7:47,2230,Foul on Antwoine Anderson.,49,72
7:47,2230,Official TV Timeout,49,72
7:40,2115,Khalen Cumberlander missed Layup.,49,72
7:40,2230,Prokop Slanina Defensive Rebound.,49,72
7:36,2230,Antwoine Anderson made Layup. Assisted by Joseph Chartouny.,49,74
7:17,2115,Chris Williams missed Jumper.,49,74
7:17,2230,Christian Sengfelder Defensive Rebound.,49,74
7:10,2230,Christian Sengfelder missed Three Point Jumper.,49,74
7:10,2115,Mustafa Jones Defensive Rebound.,49,74
6:49,2115,Chris Williams Turnover.,49,74
6:48,2230,Antwoine Anderson Steal.,49,74
6:36,2230,David Pekarek missed Three Point Jumper.,49,74
6:36,2115,Khalen Cumberlander Defensive Rebound.,49,74
6:22,2115,Foul on Khalen Cumberlander.,49,74
6:22,2115,Khalen Cumberlander Turnover.,49,74
6:06,2230,Antwoine Anderson made Jumper.,49,76
5:45,2230,Foul on Antwoine Anderson.,49,76
5:45,2115,Austin Nehls made Free Throw.,50,76
5:45,2115,Austin Nehls made Free Throw.,51,76
5:45,2115,Austin Nehls made Free Throw.,52,76
5:37,2230,Christian Sengfelder missed Three Point Jumper.,52,76
5:37,2230,Javontae Hawkins Offensive Rebound.,52,76
5:32,2115,Foul on Tafari Whittingham.,52,76
5:32,2230,Javontae Hawkins made Free Throw.,52,77
5:32,2230,Javontae Hawkins made Free Throw.,52,78
5:21,2115,Austin Nehls missed Three Point Jumper.,52,78
5:21,2115,Tafari Whittingham Offensive Rebound.,52,78
5:15,2115,Austin Nehls made Layup. Assisted by Tafari Whittingham.,54,78
4:54,2230,Antwoine Anderson Turnover.,54,78
4:45,2115,Kevin Seymour missed Three Point Jumper.,54,78
4:45,2230,David Pekarek Defensive Rebound.,54,78
4:34,2230,David Pekarek Turnover.,54,78
4:33,2115,Austin Nehls Steal.,54,78
4:26,2230,Foul on David Pekarek.,54,78
4:26,2115,Eric Bowles made Free Throw.,55,78
4:26,2115,Eric Bowles made Free Throw.,56,78
4:06,2230,Antwoine Anderson made Three Point Jumper. Assisted by Joseph Chartouny.,56,81
3:45,2115,Eric Bowles missed Jumper.,56,81
3:45,2230,Javontae Hawkins Defensive Rebound.,56,81
3:39,2230,Javontae Hawkins missed Jumper.,56,81
3:39,2115,Tidell Pierre Defensive Rebound.,56,81
3:15,2230,Foul on Antwoine Anderson.,56,81
3:15,2230,Official TV Timeout,56,81
3:15,2115,Tidell Pierre made Free Throw.,57,81
3:15,2115,Tidell Pierre made Free Throw.,58,81
2:49,2230,Antwoine Anderson made Jumper.,58,83
2:19,2115,Tafari Whittingham missed Jumper.,58,83
2:19,2115,Eric Bowles Offensive Rebound.,58,83
2:02,2115,Eric Bowles Turnover.,58,83
2:01,2230,Antwoine Anderson Steal.,58,83
1:33,2230,Sinan Saglam missed Three Point Jumper.,58,83
1:33,2115,Central Connecticut St Defensive Rebound.,58,83
1:32,2115,Central Connecticut St  Turnover.,58,83
1:16,2230,Sinan Saglam missed Three Point Jumper.,58,83
1:16,2115,Shakaris Laney Defensive Rebound.,58,83
1:04,2230,Foul on Cavit Havsa.,58,83
1:04,2230,Cavit Havsa Turnover.,58,83
0:45,2115,Antwann Anderson Turnover.,58,83
0:34,2230,Chuba Ohams Turnover.,58,83
0:19,2115,Donyell Marshall Jr. made Layup. Assisted by Khalen Cumberlander.,60,83
0:00,2230,End of Game,60,83
