Virginia,25,California,258
14:13,258,Isaiah Wilkins Offensive Rebound.,9,5
14:06,258,Isaiah Wilkins missed Jumper.,9,5
14:06,25,Kingsley Okoroh Defensive Rebound.,9,5
13:55,25,Sam Singer missed Layup.,9,5
13:55,25,Ivan Rabb Offensive Rebound.,9,5
13:50,25,Sam Singer made Layup. Assisted by Ivan Rabb.,9,7
13:33,258,Isaiah Wilkins missed Layup.,9,7
13:33,25,Ivan Rabb Defensive Rebound.,9,7
13:14,25,Roger Moute A Bidias made Jumper.,9,9
12:59,25,Foul on Sam Singer.,9,9
12:54,258,Mamadi Diakite missed Layup.,9,9
12:54,25,Ivan Rabb Defensive Rebound.,9,9
12:50,258,Foul on Mamadi Diakite.,9,9
12:38,25,Roger Moute A Bidias Turnover.,9,9
12:25,258,Jarred Reuter missed Jumper.,9,9
12:25,25,Grant Mullins Defensive Rebound.,9,9
12:11,25,Roger Moute A Bidias missed Three Point Jumper.,9,9
12:11,258,Kyle Guy Defensive Rebound.,9,9
11:54,258,London Perrantes missed Jumper.,9,9
11:54,25,Grant Mullins Defensive Rebound.,9,9
11:45,25,Grant Mullins missed Layup.,9,9
11:45,258,Marial Shayok Defensive Rebound.,9,9
11:23,258,Kyle Guy made Layup. Assisted by Jarred Reuter.,11,9
11:06,25,Stephen Domingo missed Three Point Jumper.,11,9
11:06,258,Kyle Guy Defensive Rebound.,11,9
10:49,258,Mamadi Diakite made Layup. Assisted by Marial Shayok.,13,9
10:32,25,Stephen Domingo missed Three Point Jumper.,13,9
10:32,258,Mamadi Diakite Defensive Rebound.,13,9
10:12,258,Marial Shayok missed Jumper.,13,9
10:12,25,Ivan Rabb Defensive Rebound.,13,9
10:03,25,Charlie Moore missed Layup.,13,9
10:03,258,Mamadi Diakite Block.,13,9
10:03,25,California Offensive Rebound.,13,9
10:03,25,Official TV Timeout,13,9
9:58,25,Jabari Bird made Three Point Jumper. Assisted by Kingsley Okoroh.,13,12
9:28,258,Kyle Guy missed Jumper.,13,12
9:28,25,Sam Singer Defensive Rebound.,13,12
9:15,25,Charlie Moore missed Jumper.,13,12
9:15,258,Mamadi Diakite Defensive Rebound.,13,12
8:48,258,Jarred Reuter missed Jumper.,13,12
8:48,25,Charlie Moore Defensive Rebound.,13,12
8:22,258,Foul on Marial Shayok.,13,12
8:17,25,Charlie Moore Turnover.,13,12
8:17,258,Kyle Guy Steal.,13,12
8:01,258,Marial Shayok missed Jumper.,13,12
8:01,25,Ivan Rabb Defensive Rebound.,13,12
7:57,258,Foul on Isaiah Wilkins.,13,12
7:57,25,Official TV Timeout,13,12
7:30,25,Jabari Bird missed Jumper.,13,12
7:30,258,Jack Salt Defensive Rebound.,13,12
7:07,258,Jack Salt made Layup. Assisted by Isaiah Wilkins.,15,12
6:46,25,Jabari Bird made Jumper.,15,14
6:46,258,Foul on Jack Salt.,15,14
6:46,25,Jabari Bird made Free Throw.,15,15
6:25,258,Isaiah Wilkins missed Jumper.,15,15
6:25,25,Grant Mullins Defensive Rebound.,15,15
6:05,258,Foul on Mamadi Diakite.,15,15
6:05,25,Ivan Rabb made Free Throw.,15,16
6:05,25,Ivan Rabb made Free Throw.,15,17
5:51,25,Foul on Charlie Moore.,15,17
5:42,258,Darius Thompson missed Jumper.,15,17
5:42,25,California Defensive Rebound.,15,17
5:18,25,Ivan Rabb Turnover.,15,17
4:54,258,Jarred Reuter made Jumper. Assisted by London Perrantes.,17,17
4:26,25,Jabari Bird missed Jumper.,17,17
4:26,258,Isaiah Wilkins Defensive Rebound.,17,17
3:58,258,London Perrantes missed Three Point Jumper.,17,17
3:58,25,Ivan Rabb Defensive Rebound.,17,17
3:42,25,Foul on Jabari Bird.,17,17
3:42,25,Jabari Bird Turnover.,17,17
3:42,25,Official TV Timeout,17,17
3:31,258,Isaiah Wilkins missed Jumper.,17,17
3:31,25,Sam Singer Defensive Rebound.,17,17
3:14,25,Ivan Rabb missed Three Point Jumper.,17,17
3:14,258,London Perrantes Defensive Rebound.,17,17
2:48,258,Marial Shayok Turnover.,17,17
2:27,258,Foul on Isaiah Wilkins.,17,17
2:27,25,Ivan Rabb made Free Throw.,17,18
2:27,25,Ivan Rabb made Free Throw.,17,19
2:21,258,Jack Salt made Layup. Assisted by London Perrantes.,19,19
2:03,25,Stephen Domingo made Layup. Assisted by Ivan Rabb.,19,21
1:46,258,Marial Shayok missed Jumper.,19,21
1:46,25,Grant Mullins Defensive Rebound.,19,21
1:33,25,Jabari Bird missed Three Point Jumper.,19,21
1:33,258,Marial Shayok Defensive Rebound.,19,21
1:23,258,Virginia  Timeout,19,21
1:11,258,Devon Hall made Layup.,21,21
0:43,258,Foul on Ty Jerome.,21,21
0:43,25,Ivan Rabb made Free Throw.,21,22
0:43,25,Ivan Rabb missed Free Throw.,21,22
0:43,258,Virginia Defensive Rebound.,21,22
0:33,25,Foul on Jabari Bird.,21,22
0:33,258,Kyle Guy made Free Throw.,22,22
0:33,258,Kyle Guy missed Free Throw.,22,22
0:33,258,Jack Salt Offensive Rebound.,22,22
0:06,258,Kyle Guy missed Three Point Jumper.,22,22
0:06,258,Ty Jerome Offensive Rebound.,22,22
0:06,258,Ty Jerome missed Jumper.,22,22
0:06,25,Roger Moute A Bidias Defensive Rebound.,22,22
0:00,25,End of 1st half,22,22
20:00,25,Jump Ball won by California,22,22
19:41,25,Charlie Moore made Three Point Jumper. Assisted by Sam Singer.,22,25
19:17,258,London Perrantes missed Jumper.,22,25
19:17,25,Ivan Rabb Defensive Rebound.,22,25
19:06,258,Foul on Devon Hall.,22,25
19:01,25,Charlie Moore made Jumper.,22,27
18:43,25,Foul on Ivan Rabb.,22,27
18:43,258,Jack Salt missed Free Throw.,22,27
18:43,258,Virginia Deadball Team Rebound.,22,27
18:43,258,Jack Salt made Free Throw.,23,27
18:25,25,Sam Singer made Jumper.,23,29
18:03,258,Devon Hall missed Layup.,23,29
18:03,25,California Defensive Rebound.,23,29
17:51,25,Charlie Moore Turnover.,23,29
17:40,258,Kyle Guy made Three Point Jumper. Assisted by London Perrantes.,26,29
17:23,258,Foul on Devon Hall.,26,29
17:13,25,Sam Singer Turnover.,26,29
17:06,258,Devon Hall made Layup. Assisted by Kyle Guy.,28,29
16:34,25,Charlie Moore missed Jumper.,28,29
16:34,25,California Deadball Team Rebound.,28,29
16:34,258,Foul on Jack Salt.,28,29
16:28,25,Ivan Rabb missed Jumper.,28,29
16:28,258,Devon Hall Defensive Rebound.,28,29
16:15,258,Darius Thompson made Layup.,30,29
15:50,25,Charlie Moore Turnover.,30,29
15:50,25,Official TV Timeout,30,29
15:44,25,Foul on Jabari Bird.,30,29
15:44,258,Isaiah Wilkins made Free Throw.,31,29
15:44,258,Isaiah Wilkins made Free Throw.,32,29
15:25,25,Ivan Rabb made Dunk. Assisted by Charlie Moore.,32,31
15:10,25,Foul on Stephen Domingo.,32,31
14:50,258,Devon Hall made Three Point Jumper. Assisted by Darius Thompson.,35,31
14:27,25,Charlie Moore missed Jumper.,35,31
14:27,258,Devon Hall Defensive Rebound.,35,31
14:22,258,Darius Thompson Turnover.,35,31
13:53,25,Stephen Domingo missed Three Point Jumper.,35,31
13:53,25,Ivan Rabb Offensive Rebound.,35,31
13:45,25,Ivan Rabb missed Jumper.,35,31
13:45,258,London Perrantes Defensive Rebound.,35,31
13:38,258,Isaiah Wilkins missed Layup.,35,31
13:38,25,Roger Moute A Bidias Block.,35,31
13:38,258,Virginia Offensive Rebound.,35,31
13:33,258,Kyle Guy made Jumper. Assisted by Darius Thompson.,37,31
13:15,25,Grant Mullins Turnover.,37,31
13:05,258,London Perrantes Turnover.,37,31
13:05,25,Sam Singer Steal.,37,31
12:57,258,Foul on Isaiah Wilkins.,37,31
12:57,25,Stephen Domingo missed Free Throw.,37,31
12:57,25,California Deadball Team Rebound.,37,31
12:57,25,Stephen Domingo missed Free Throw.,37,31
12:57,258,Jack Salt Defensive Rebound.,37,31
12:40,258,Marial Shayok missed Three Point Jumper.,37,31
12:40,258,Virginia Offensive Rebound.,37,31
12:31,258,London Perrantes made Three Point Jumper.,40,31
12:21,25,California  Timeout,40,31
12:09,258,Foul on Ty Jerome.,40,31
12:09,258,Foul on Marial Shayok.,40,31
12:09,25,Jabari Bird missed Three Point Jumper.,40,31
12:09,258,Darius Thompson Defensive Rebound.,40,31
11:43,258,London Perrantes missed Three Point Jumper.,40,31
11:43,25,Jabari Bird Defensive Rebound.,40,31
11:32,25,Charlie Moore missed Three Point Jumper.,40,31
11:32,25,California Deadball Team Rebound.,40,31
11:30,258,Foul on Jack Salt.,40,31
11:30,25,Official TV Timeout,40,31
11:28,25,Kingsley Okoroh made Free Throw.,40,32
11:28,25,Kingsley Okoroh missed Free Throw.,40,32
11:28,25,Kingsley Okoroh Offensive Rebound.,40,32
11:08,25,Kingsley Okoroh made Layup. Assisted by Sam Singer.,40,34
10:56,258,Darius Thompson missed Layup.,40,34
10:56,25,Kingsley Okoroh Block.,40,34
10:56,25,Sam Singer Defensive Rebound.,40,34
10:47,25,Sam Singer made Layup.,40,36
10:41,258,Virginia  Timeout,40,36
10:29,258,Marial Shayok missed Three Point Jumper.,40,36
10:29,25,Jabari Bird Defensive Rebound.,40,36
10:18,25,Jabari Bird made Three Point Jumper. Assisted by Charlie Moore.,40,39
10:01,258,Marial Shayok Turnover.,40,39
9:46,258,Foul on Devon Hall.,40,39
9:46,25,Ivan Rabb made Free Throw.,40,40
9:46,25,Ivan Rabb made Free Throw.,40,41
9:29,258,Kyle Guy missed Three Point Jumper.,40,41
9:29,25,Grant Mullins Defensive Rebound.,40,41
9:00,25,Charlie Moore Turnover.,40,41
8:44,258,London Perrantes Turnover.,40,41
8:44,25,Sam Singer Steal.,40,41
8:37,25,Jabari Bird missed Three Point Jumper.,40,41
8:37,25,California Offensive Rebound.,40,41
8:08,25,Stephen Domingo missed Three Point Jumper.,40,41
8:08,258,Kyle Guy Defensive Rebound.,40,41
7:42,258,London Perrantes missed Jumper.,40,41
7:42,25,Ivan Rabb Defensive Rebound.,40,41
7:22,25,Jabari Bird Turnover.,40,41
7:22,25,Official TV Timeout,40,41
7:05,258,Devon Hall missed Jumper.,40,41
7:05,25,Sam Singer Defensive Rebound.,40,41
6:48,25,Charlie Moore missed Layup.,40,41
6:48,258,Mamadi Diakite Block.,40,41
6:48,25,California Offensive Rebound.,40,41
6:35,25,Charlie Moore missed Three Point Jumper.,40,41
6:35,258,Devon Hall Defensive Rebound.,40,41
6:15,25,Foul on Charlie Moore.,40,41
6:13,258,Kyle Guy made Jumper. Assisted by Devon Hall.,42,41
5:54,25,Jabari Bird made Three Point Jumper. Assisted by Sam Singer.,42,44
5:24,258,Kyle Guy made Jumper.,44,44
5:06,25,Jabari Bird missed Three Point Jumper.,44,44
5:06,258,Isaiah Wilkins Defensive Rebound.,44,44
4:37,258,Kyle Guy made Three Point Jumper. Assisted by Darius Thompson.,47,44
4:20,25,Jabari Bird missed Three Point Jumper.,47,44
4:20,258,Kyle Guy Defensive Rebound.,47,44
4:15,258,Kyle Guy Turnover.,47,44
4:15,25,Kingsley Okoroh Steal.,47,44
4:07,25,Kingsley Okoroh made Layup. Assisted by Charlie Moore.,47,46
3:28,258,Mamadi Diakite missed Three Point Jumper.,47,46
3:28,25,Kingsley Okoroh Defensive Rebound.,47,46
2:59,25,Official TV Timeout,47,46
2:58,25,California  Turnover.,47,46
2:41,25,Foul on Sam Singer.,47,46
2:24,258,Kyle Guy missed Layup.,47,46
2:24,258,Mamadi Diakite Offensive Rebound.,47,46
2:24,258,Mamadi Diakite missed Two Point Tip Shot.,47,46
2:24,258,London Perrantes Offensive Rebound.,47,46
1:56,258,London Perrantes made Jumper.,49,46
1:38,25,Sam Singer made Layup.,49,48
1:38,258,Foul on Kyle Guy.,49,48
1:38,25,Sam Singer made Free Throw.,49,49
1:17,258,London Perrantes missed Three Point Jumper.,49,49
1:17,258,Virginia Offensive Rebound.,49,49
1:04,258,Isaiah Wilkins made Layup. Assisted by Kyle Guy.,51,49
1:04,25,Foul on Kingsley Okoroh.,51,49
1:04,258,Isaiah Wilkins made Free Throw.,52,49
1:02,258,Virginia  Timeout,52,49
0:57,25,Charlie Moore missed Three Point Jumper.,52,49
0:57,258,Devon Hall Defensive Rebound.,52,49
0:27,258,Mamadi Diakite made Jumper. Assisted by Darius Thompson.,54,49
0:20,25,Jabari Bird made Three Point Jumper. Assisted by Charlie Moore.,54,52
0:18,25,California  Timeout,54,52
0:16,25,Foul on Ivan Rabb.,54,52
0:16,258,Kyle Guy made Free Throw.,55,52
0:16,258,Kyle Guy made Free Throw.,56,52
0:11,25,Charlie Moore missed Layup.,56,52
0:11,258,Isaiah Wilkins Block.,56,52
0:11,25,California Offensive Rebound.,56,52
0:04,25,Jabari Bird missed Three Point Jumper.,56,52
0:04,25,Charlie Moore Offensive Rebound.,56,52
0:02,25,Charlie Moore missed Three Point Jumper.,56,52
0:02,25,Jabari Bird Offensive Rebound.,56,52
0:00,25,End of Game,56,52
