Webber Int.,Error,Florida Atlantic,2226
13:29,2226,Adonis Filer missed Layup.,13,14
13:29,2226,William Pfister Offensive Rebound.,13,14
13:28,2226,William Pfister missed Layup.,13,14
13:28,2226,- Team Offensive Rebound.,13,14
13:09,2226,Jeantal Cylla missed Layup.,13,14
13:09,2226,William Pfister Offensive Rebound.,13,14
13:05,2226,William Pfister missed Layup.,13,14
13:05,-1,Jovany Deceus Defensive Rebound.,13,14
13:02,-1,Joseph Serrano made Layup.,15,14
12:36,2226,Adonis Filer made Three Point Jumper. Assisted by Nick Rutherford.,15,17
12:11,-1,Daniel Coffey Turnover.,15,17
11:56,2226,Gerdarius Troutman made Layup. Assisted by Ronald Delph.,15,19
11:37,2226,Foul on Ronald Delph.,15,19
11:37,2226,Official TV Timeout,15,19
11:37,-1,Daniel Coffey missed Free Throw.,15,19
11:37,-1,Webber Deadball Team Rebound.,15,19
11:37,-1,Daniel Coffey missed Free Throw.,15,19
11:37,2226,Adonis Filer Defensive Rebound.,15,19
11:15,2226,Marcus Neely Turnover.,15,19
11:14,-1,Joseph Serrano Steal.,15,19
11:11,2226,Foul on Adonis Filer.,15,19
11:11,-1,Joseph Serrano made Free Throw.,16,19
11:11,-1,Joseph Serrano made Free Throw.,17,19
10:54,2226,Marcus Neely missed Jumper.,17,19
10:54,-1,Stefano Magnoni Defensive Rebound.,17,19
10:36,-1,Mcdonald Jean-Louis missed Three Point Jumper.,17,19
10:36,2226,Marcus Neely Defensive Rebound.,17,19
10:28,2226,Gerdarius Troutman missed Three Point Jumper.,17,19
10:28,-1,Mcdonald Jean-Louis Defensive Rebound.,17,19
10:21,-1,Mcdonald Jean-Louis Turnover.,17,19
10:19,2226,Justin Massey Steal.,17,19
10:15,2226,Justin Massey missed Jumper.,17,19
10:15,-1,Mcdonald Jean-Louis Defensive Rebound.,17,19
10:06,-1,Daniel Coffey made Layup.,19,19
9:46,2226,Ronald Delph made Jumper. Assisted by Gerdarius Troutman.,19,21
9:14,-1,Sheldon Durant missed Jumper.,19,21
9:14,2226,Gerdarius Troutman Block.,19,21
9:11,2226,Florida Atlantic Defensive Rebound.,19,21
8:51,2226,Ronald Delph Turnover.,19,21
8:38,-1,Daniel Coffey missed Layup.,19,21
8:38,2226,Marcus Neely Defensive Rebound.,19,21
8:31,2226,Gerdarius Troutman missed Three Point Jumper.,19,21
8:31,-1,Jovany Deceus Defensive Rebound.,19,21
8:13,-1,Jovany Deceus missed Jumper.,19,21
8:13,2226,Ronald Delph Defensive Rebound.,19,21
8:06,-1,Foul on Sheldon Durant.,19,21
8:04,2226,Gerdarius Troutman missed Three Point Jumper.,19,21
8:04,2226,William Pfister Offensive Rebound.,19,21
7:49,2226,Official TV Timeout,19,21
7:36,2226,Justin Massey missed Three Point Jumper.,19,21
7:36,-1,Daniel Coffey Defensive Rebound.,19,21
7:23,-1,Daniel Coffey missed Three Point Jumper.,19,21
7:23,2226,William Pfister Defensive Rebound.,19,21
7:20,-1,Foul on Stefano Magnoni.,19,21
7:08,2226,Adonis Filer made Three Point Jumper. Assisted by Gerdarius Troutman.,19,24
6:56,-1,Jovany Deceus Turnover.,19,24
6:55,2226,Adonis Filer Steal.,19,24
6:51,2226,Justin Massey made Three Point Jumper. Assisted by Adonis Filer.,19,27
6:22,-1,Daniel Coffey Turnover.,19,27
6:21,2226,Adonis Filer Steal.,19,27
6:15,2226,William Pfister made Layup. Assisted by Adonis Filer.,19,29
5:56,-1,Stefano Magnoni made Jumper.,21,29
5:56,2226,Foul on Adonis Filer.,21,29
5:55,-1,Stefano Magnoni made Free Throw.,22,29
5:34,-1,Foul on Johnathan Childs.,22,29
5:34,2226,William Pfister made Free Throw.,22,30
5:34,2226,William Pfister made Free Throw.,22,31
5:21,2226,Foul on Jailyn Ingram.,22,31
5:19,-1,Joseph Serrano missed Layup.,22,31
5:19,-1,Webber Offensive Rebound.,22,31
5:00,2226,Foul on William Pfister.,22,31
5:00,-1,Jovany Deceus made Free Throw.,23,31
5:00,-1,Jovany Deceus made Free Throw.,24,31
4:46,2226,Foul on William Pfister.,24,31
4:29,-1,Joelle Bigham missed Three Point Jumper.,24,31
4:29,2226,Marcus Neely Defensive Rebound.,24,31
4:20,-1,Foul on Jovany Deceus.,24,31
4:20,2226,Marcus Neely made Free Throw.,24,32
4:20,2226,Marcus Neely missed Free Throw.,24,32
4:20,-1,Jovany Deceus Defensive Rebound.,24,32
3:56,-1,Jovany Deceus missed Three Point Jumper.,24,32
3:56,-1,Cody Carden Offensive Rebound.,24,32
3:31,2226,Foul on Frank Booker.,24,32
3:31,2226,Official TV Timeout,24,32
3:31,-1,Joseph Serrano made Free Throw.,25,32
3:31,-1,Joseph Serrano made Free Throw.,26,32
3:16,2226,Marcus Neely missed Jumper.,26,32
3:16,-1,Joseph Serrano Defensive Rebound.,26,32
2:54,2226,Foul on Frank Booker.,26,32
2:54,-1,Joseph Serrano made Free Throw.,27,32
2:54,-1,Joseph Serrano made Free Throw.,28,32
2:43,2226,Marcus Neely missed Layup.,28,32
2:43,2226,Jeantal Cylla Offensive Rebound.,28,32
2:40,2226,Jeantal Cylla missed Layup.,28,32
2:40,-1,Joseph Serrano Defensive Rebound.,28,32
2:18,-1,Joelle Bigham missed Jumper.,28,32
2:18,2226,Jeantal Cylla Defensive Rebound.,28,32
2:08,-1,Foul on Jovany Deceus.,28,32
2:08,2226,Nick Rutherford made Free Throw.,28,33
2:08,2226,Nick Rutherford made Free Throw.,28,34
1:42,-1,Joelle Bigham missed Three Point Jumper.,28,34
1:42,2226,Florida Atlantic Defensive Rebound.,28,34
1:19,2226,Adonis Filer missed Three Point Jumper.,28,34
1:19,2226,Nick Rutherford Offensive Rebound.,28,34
1:15,2226,Nick Rutherford made Layup.,28,36
1:07,-1,Cody Carden Turnover.,28,36
1:05,2226,Nick Rutherford Steal.,28,36
1:03,2226,Jeantal Cylla made Dunk. Assisted by Adonis Filer.,28,38
0:49,-1,Cody Carden Turnover.,28,38
0:49,2226,Jeantal Cylla Steal.,28,38
0:21,2226,Adonis Filer missed Jumper.,28,38
0:21,-1,Joseph Serrano Defensive Rebound.,28,38
0:12,-1,Joseph Serrano made Layup.,30,38
0:04,2226,Nick Rutherford Turnover.,30,38
0:02,-1,Joseph Serrano Steal.,30,38
0:00,2226,End of 1st half,30,38
19:44,-1,Johnathan Childs missed Jumper.,30,36
19:44,2226,Nick Rutherford Defensive Rebound.,30,36
19:38,2226,Foul on Nick Rutherford.,30,36
19:38,2226,Nick Rutherford Turnover.,30,36
19:28,-1,Daniel Coffey made Layup.,32,36
19:09,2226,Ronald Delph made Jumper. Assisted by Jeantal Cylla.,32,38
18:47,-1,Daniel Coffey missed Layup.,32,38
18:47,2226,Jeantal Cylla Defensive Rebound.,32,38
18:21,2226,Marcus Neely made Jumper.,32,40
18:06,2226,Foul on Ronald Delph.,32,40
17:56,-1,Jovany Deceus missed Three Point Jumper.,32,40
17:56,2226,Jeantal Cylla Defensive Rebound.,32,40
17:43,2226,Nick Rutherford Turnover.,32,40
17:36,-1,Joelle Bigham Turnover.,32,40
17:34,2226,Jeantal Cylla Steal.,32,40
17:25,2226,Jailyn Ingram missed Jumper.,32,40
17:25,-1,Joelle Bigham Defensive Rebound.,32,40
17:02,-1,Daniel Coffey missed Three Point Jumper.,32,40
17:02,2226,Nick Rutherford Defensive Rebound.,32,40
16:55,2226,Foul on Jeantal Cylla.,32,40
16:55,2226,Jeantal Cylla Turnover.,32,40
16:36,-1,Cody Carden made Layup.,34,40
16:19,2226,Marcus Neely missed Jumper.,34,40
16:19,2226,Ronald Delph Offensive Rebound.,34,40
16:14,2226,Ronald Delph missed Layup.,34,40
16:14,2226,Jeantal Cylla Offensive Rebound.,34,40
15:57,2226,Ronald Delph missed Jumper.,34,40
15:57,-1,Daniel Coffey Defensive Rebound.,34,40
15:48,-1,Cody Carden made Layup.,36,40
15:48,2226,Official TV Timeout,36,40
15:34,2226,Jeantal Cylla missed Three Point Jumper.,36,40
15:34,-1,Johnathan Childs Defensive Rebound.,36,40
15:22,-1,Jovany Deceus made Dunk. Assisted by Albert Coderch-Porras.,38,40
15:01,2226,Marcus Neely missed Jumper.,38,40
15:01,-1,Daniel Coffey Defensive Rebound.,38,40
14:46,-1,Johnathan Childs made Dunk. Assisted by Albert Coderch-Porras.,40,40
14:23,2226,Jailyn Ingram missed Layup.,40,40
14:23,-1,Johnathan Childs Block.,40,40
14:22,2226,Jailyn Ingram Offensive Rebound.,40,40
14:20,2226,Jailyn Ingram made Jumper.,40,42
14:04,-1,Jovany Deceus missed Jumper.,40,42
14:04,2226,Jeantal Cylla Defensive Rebound.,40,42
13:53,-1,Foul on Johnathan Childs.,40,42
13:53,2226,Jailyn Ingram missed Free Throw.,40,42
13:53,2226,Jailyn Ingram made Free Throw.,40,43
13:34,-1,Foul on Albert Coderch-Porras.,40,43
13:34,-1,Albert Coderch-Porras Turnover.,40,43
13:29,2226,Foul on Nick Rutherford.,40,43
13:29,2226,Nick Rutherford Turnover.,40,43
13:01,-1,Jovany Deceus missed Jumper.,40,43
13:01,2226,Jailyn Ingram Defensive Rebound.,40,43
12:54,2226,Frank Booker made Three Point Jumper. Assisted by Jailyn Ingram.,40,46
12:21,-1,Daniel Coffey Turnover.,40,46
12:07,-1,Foul on Albert Coderch-Porras.,40,46
12:05,2226,Frank Booker missed Three Point Jumper.,40,46
12:05,-1,Stefano Magnoni Defensive Rebound.,40,46
11:56,-1,Foul on Joseph Serrano.,40,46
11:56,-1,Joseph Serrano Turnover.,40,46
11:56,2226,Official TV Timeout,40,46
11:36,2226,Ronald Delph made Jumper. Assisted by Jailyn Ingram.,40,48
11:12,-1,Daniel Coffey made Layup.,42,48
11:00,2226,Justin Massey made Three Point Jumper. Assisted by Adonis Filer.,42,51
10:39,-1,Stefano Magnoni missed Layup.,42,51
10:39,-1,Joelle Bigham Offensive Rebound.,42,51
10:37,2226,Foul on Justin Massey.,42,51
10:37,-1,Joelle Bigham missed Free Throw.,42,51
10:37,-1,Webber Deadball Team Rebound.,42,51
10:37,-1,Joelle Bigham made Free Throw.,43,51
10:30,2226,Adonis Filer Turnover.,43,51
10:29,-1,Joelle Bigham Steal.,43,51
10:27,2226,Foul on Adonis Filer.,43,51
10:27,-1,Joelle Bigham made Free Throw.,44,51
10:27,-1,Joelle Bigham made Free Throw.,45,51
10:11,-1,Foul on Mcdonald Jean-Louis.,45,51
10:11,2226,Justin Massey made Free Throw.,45,52
10:11,2226,Justin Massey made Free Throw.,45,53
9:53,-1,Sheldon Durant missed Layup.,45,53
9:53,2226,Jeantal Cylla Defensive Rebound.,45,53
9:48,2226,Justin Massey missed Jumper.,45,53
9:45,2226,Ronald Delph Offensive Rebound.,45,53
9:44,2226,Ronald Delph missed Layup.,45,53
9:44,2226,Adonis Filer Offensive Rebound.,45,53
9:40,2226,Adonis Filer made Layup.,45,55
9:27,-1,Jacob Ward Turnover.,45,55
9:07,2226,Adonis Filer missed Jumper.,45,55
9:07,2226,Jeantal Cylla Offensive Rebound.,45,55
8:59,2226,Adonis Filer missed Three Point Jumper.,45,55
8:59,-1,Sheldon Durant Defensive Rebound.,45,55
8:51,2226,Foul on Frank Booker.,45,55
8:51,-1,Mcdonald Jean-Louis missed Free Throw.,45,55
8:51,-1,Webber Deadball Team Rebound.,45,55
8:51,-1,Mcdonald Jean-Louis missed Free Throw.,45,55
8:51,2226,Marcus Neely Defensive Rebound.,45,55
8:22,-1,Foul on Jacob Ward.,45,55
8:22,2226,Adonis Filer missed Free Throw.,45,55
8:22,2226,Adonis Filer missed Free Throw.,45,55
8:22,-1,Jovany Deceus Defensive Rebound.,45,55
7:56,-1,Johnathan Childs missed Jumper.,45,55
7:56,-1,Sheldon Durant Offensive Rebound.,45,55
7:50,-1,Sheldon Durant made Three Point Jumper.,48,55
7:36,2226,Justin Massey missed Three Point Jumper.,48,55
7:36,-1,Jacob Ward Defensive Rebound.,48,55
7:20,-1,Joelle Bigham Turnover.,48,55
7:18,2226,Adonis Filer Steal.,48,55
7:17,2226,Adonis Filer made Layup.,48,57
7:17,-1,Foul on Sheldon Durant.,48,57
7:17,2226,Official TV Timeout,48,57
7:17,2226,Adonis Filer made Free Throw.,48,58
6:46,-1,Webber  Turnover.,48,58
6:20,2226,Ronald Delph made Dunk. Assisted by Adonis Filer.,48,60
6:10,-1,Jovany Deceus missed Three Point Jumper.,48,60
6:10,2226,Jeantal Cylla Defensive Rebound.,48,60
6:02,2226,Justin Massey made Layup.,48,62
5:40,-1,Daniel Coffey made Layup.,50,62
5:40,2226,Foul on Marcus Neely.,50,62
5:40,-1,Daniel Coffey made Free Throw.,51,62
5:20,2226,Justin Massey made Three Point Jumper. Assisted by Marcus Neely.,51,65
4:52,-1,Cody Carden made Three Point Jumper. Assisted by Jovany Deceus.,54,65
4:27,2226,Adonis Filer missed Three Point Jumper.,54,65
4:27,-1,Cody Carden Defensive Rebound.,54,65
4:11,-1,Cody Carden missed Three Point Jumper.,54,65
4:11,2226,Jeantal Cylla Defensive Rebound.,54,65
3:52,2226,Jeantal Cylla missed Three Point Jumper.,54,65
3:52,-1,Johnathan Childs Defensive Rebound.,54,65
3:33,-1,Johnathan Childs missed Jumper.,54,65
3:33,2226,Ronald Delph Defensive Rebound.,54,65
3:25,2226,Florida Atlantic  Timeout,54,65
3:18,2226,Adonis Filer missed Dunk.,54,65
3:18,-1,Daniel Coffey Defensive Rebound.,54,65
3:11,-1,Daniel Coffey missed Layup.,54,65
3:11,2226,Ronald Delph Block.,54,65
3:10,-1,Webber Offensive Rebound.,54,65
3:10,2226,Official TV Timeout,54,65
3:06,-1,Jovany Deceus missed Jumper.,54,65
3:06,2226,Marcus Neely Defensive Rebound.,54,65
2:42,2226,Adonis Filer missed Dunk.,54,65
2:42,-1,Joseph Serrano Defensive Rebound.,54,65
2:37,-1,Joseph Serrano Turnover.,54,65
2:35,2226,Justin Massey Steal.,54,65
2:32,2226,Justin Massey made Layup. Assisted by Adonis Filer.,54,67
2:15,-1,Joseph Serrano missed Layup.,54,67
2:15,2226,Ronald Delph Defensive Rebound.,54,67
2:00,2226,Jeantal Cylla made Three Point Jumper. Assisted by Justin Massey.,54,70
1:50,-1,Cody Carden made Three Point Jumper.,57,70
1:37,2226,Jeantal Cylla missed Three Point Jumper.,57,70
1:37,2226,Ronald Delph Offensive Rebound.,57,70
1:13,2226,Jeantal Cylla made Three Point Jumper. Assisted by Justin Massey.,57,73
0:54,-1,Mcdonald Jean-Louis missed Three Point Jumper.,57,73
0:54,2226,Ronald Delph Defensive Rebound.,57,73
0:27,2226,Ronald Delph made Dunk. Assisted by Adonis Filer.,57,75
0:16,-1,Mcdonald Jean-Louis Turnover.,57,75
0:14,2226,Jeantal Cylla Steal.,57,75
0:01,2226,Technical Foul on Nick Rutherford.,57,75
0:01,-1,Sheldon Durant missed Free Throw.,57,75
0:01,-1,Webber Deadball Team Rebound.,57,75
0:00,2226,End of Game,57,77
