Bradley,2628,TCU,71
11:34,71,Nate Kennell Defensive Rebound.,5,16
11:18,71,Donte Thomas missed Three Point Jumper.,5,16
11:17,2628,Karviar Shepherd Defensive Rebound.,5,16
11:17,71,Foul on JoJo McGlaston.,5,16
11:17,2628,Official TV Timeout,5,16
11:03,2628,Desmond Bane missed Layup.,5,16
11:03,2628,Desmond Bane Offensive Rebound.,5,16
10:50,2628,Desmond Bane missed Three Point Jumper.,5,16
10:50,71,Nate Kennell Defensive Rebound.,5,16
10:40,2628,Foul on Karviar Shepherd.,5,16
10:40,71,Antoine Pittman made Free Throw.,6,16
10:40,71,Antoine Pittman made Free Throw.,7,16
10:12,2628,JD Miller missed Jumper.,7,16
10:12,2628,Karviar Shepherd Offensive Rebound.,7,16
9:56,71,Foul on Alex Foster.,7,16
9:56,2628,Karviar Shepherd made Free Throw.,7,17
9:56,2628,Karviar Shepherd missed Free Throw.,7,17
9:56,71,Alex Foster Defensive Rebound.,7,17
9:44,71,Bradley  Turnover.,7,17
9:28,71,Foul on Darrell Brown.,7,17
9:28,2628,Alex Robinson made Free Throw.,7,18
9:28,2628,Alex Robinson made Free Throw.,7,19
9:28,2628,Alex Robinson made Free Throw.,7,20
9:04,71,Darrell Brown Turnover.,7,20
8:53,2628,Jaylen Fisher Turnover.,7,20
8:53,71,Luuk van Bree Steal.,7,20
8:51,71,Darrell Brown made Three Point Jumper. Assisted by Luuk van Bree.,10,20
8:31,2628,Kenrich Williams missed Jumper.,10,20
8:31,71,Antoine Pittman Defensive Rebound.,10,20
8:24,71,Antoine Pittman made Layup.,12,20
8:23,2628,TCU  Timeout,12,20
8:23,2628,Official TV Timeout,12,20
8:06,2628,Kenrich Williams missed Jumper.,12,20
8:06,71,Koch Bar Block.,12,20
8:05,71,JoJo McGlaston Defensive Rebound.,12,20
7:52,71,JoJo McGlaston made Jumper. Assisted by Darrell Brown.,14,20
7:35,71,Foul on JoJo McGlaston.,14,20
7:35,2628,Alex Robinson missed Free Throw.,14,20
7:35,2628,Vladimir Brodziansky Offensive Rebound.,14,20
7:33,2628,Vladimir Brodziansky missed Jumper.,14,20
7:33,71,Luuk van Bree Defensive Rebound.,14,20
7:17,71,Darrell Brown missed Three Point Jumper.,14,20
7:17,71,Luuk van Bree Offensive Rebound.,14,20
6:58,71,Luuk van Bree missed Three Point Jumper.,14,20
6:58,2628,Alex Robinson Defensive Rebound.,14,20
6:46,71,Foul on Jayden Hodgson.,14,20
6:46,2628,Desmond Bane made Free Throw.,14,21
6:46,2628,Desmond Bane made Free Throw.,14,22
6:27,71,Luuk van Bree Turnover.,14,22
6:16,71,Foul on Luuk van Bree.,14,22
6:16,2628,Karviar Shepherd made Free Throw.,14,23
6:16,2628,Karviar Shepherd made Free Throw.,14,24
6:03,71,Jayden Hodgson missed Three Point Jumper.,14,24
6:03,2628,Alex Robinson Defensive Rebound.,14,24
5:47,2628,Karviar Shepherd missed Layup.,14,24
5:47,71,Darrell Brown Block.,14,24
5:46,2628,Alex Robinson Offensive Rebound.,14,24
5:32,2628,Alex Robinson Turnover.,14,24
5:22,71,Antoine Pittman missed Layup.,14,24
5:22,71,Bradley Offensive Rebound.,14,24
5:05,71,Alex Foster missed Layup.,14,24
5:05,2628,Karviar Shepherd Block.,14,24
5:04,2628,Karviar Shepherd Defensive Rebound.,14,24
4:58,2628,Jaylen Fisher missed Three Point Jumper.,14,24
4:58,2628,Karviar Shepherd Offensive Rebound.,14,24
4:32,2628,Karviar Shepherd made Dunk. Assisted by Jaylen Fisher.,14,26
4:11,71,Jayden Hodgson Turnover.,14,26
4:10,2628,JD Miller Steal.,14,26
4:05,2628,JD Miller made Layup. Assisted by Kenrich Williams.,14,28
4:02,71,Bradley  Timeout,14,28
4:02,2628,Official TV Timeout,14,28
3:35,71,Luuk van Bree missed Jumper.,14,28
3:35,2628,Kenrich Williams Block.,14,28
3:35,71,Bradley Deadball Team Rebound.,14,28
3:35,71,Bradley  Turnover.,14,28
3:19,2628,Jaylen Fisher Turnover.,14,28
3:18,71,Donte Thomas Steal.,14,28
3:01,71,Donte Thomas made Dunk. Assisted by Darrell Brown.,16,28
2:43,2628,Desmond Bane missed Three Point Jumper.,16,28
2:43,2628,Kenrich Williams Offensive Rebound.,16,28
2:39,2628,Kenrich Williams made Layup.,16,30
2:39,71,Foul on Callum Barker.,16,30
2:39,2628,Kenrich Williams made Free Throw.,16,31
2:29,71,Darrell Brown missed Three Point Jumper.,16,31
2:29,2628,Kenrich Williams Defensive Rebound.,16,31
2:16,2628,Chris Washburn missed Layup.,16,31
2:16,71,Koch Bar Defensive Rebound.,16,31
2:08,2628,Foul on JD Miller.,16,31
2:06,2628,Foul on Chris Washburn.,16,31
1:54,71,Koch Bar Turnover.,16,31
1:53,2628,Alex Robinson Steal.,16,31
1:49,2628,Kenrich Williams made Layup. Assisted by Alex Robinson.,16,33
1:49,71,Foul on Nate Kennell.,16,33
1:49,2628,Kenrich Williams made Free Throw.,16,34
1:38,71,Donte Thomas made Layup. Assisted by Nate Kennell.,18,34
1:15,2628,Alex Robinson made Layup.,18,36
1:02,2628,Foul on Chris Washburn.,18,36
0:57,71,Nate Kennell missed Layup.,18,36
0:57,2628,Vladimir Brodziansky Block.,18,36
0:56,71,Nate Kennell Offensive Rebound.,18,36
0:39,71,Koch Bar made Jumper. Assisted by Darrell Brown.,20,36
0:12,2628,Brandon Parrish missed Jumper.,20,36
0:12,2628,Desmond Bane Offensive Rebound.,20,36
0:06,2628,Desmond Bane made Jumper.,20,38
0:00,2628,End of 1st half,20,38
19:44,71,Antoine Pittman made Layup.,22,38
19:36,2628,Vladimir Brodziansky missed Jumper.,22,38
19:36,71,Donte Thomas Defensive Rebound.,22,38
19:34,2628,Foul on JD Miller.,22,38
19:20,71,Koch Bar missed Layup.,22,38
19:20,71,Koch Bar Offensive Rebound.,22,38
19:19,71,Koch Bar missed Layup.,22,38
19:19,2628,Vladimir Brodziansky Defensive Rebound.,22,38
18:46,2628,Jaylen Fisher missed Three Point Jumper.,22,38
18:46,71,Donte Thomas Defensive Rebound.,22,38
18:37,71,Antoine Pittman made Layup. Assisted by Darrell Brown.,24,38
18:35,2628,TCU  Timeout,24,38
18:35,2628,Official TV Timeout,24,38
18:26,2628,Vladimir Brodziansky Turnover.,24,38
18:26,2628,Foul on Vladimir Brodziansky.,24,38
18:10,71,Koch Bar made Dunk. Assisted by JoJo McGlaston.,26,38
17:50,2628,JD Miller missed Three Point Jumper.,26,38
17:50,2628,Kenrich Williams Offensive Rebound.,26,38
17:40,71,Foul on Koch Bar.,26,38
17:40,2628,JD Miller made Free Throw.,26,39
17:40,2628,JD Miller made Free Throw.,26,40
17:25,2628,Foul on Jaylen Fisher.,26,40
17:15,2628,Foul on Brandon Parrish.,26,40
16:51,71,Antoine Pittman missed Jumper.,26,40
16:51,2628,JD Miller Defensive Rebound.,26,40
16:37,2628,JD Miller missed Jumper.,26,40
16:37,71,Donte Thomas Defensive Rebound.,26,40
16:12,71,JoJo McGlaston missed Jumper.,26,40
16:12,2628,Jaylen Fisher Defensive Rebound.,26,40
16:04,2628,Alex Robinson missed Layup.,26,40
16:04,71,Koch Bar Block.,26,40
16:04,71,Antoine Pittman Defensive Rebound.,26,40
15:57,71,Darrell Brown missed Layup.,26,40
15:57,71,Donte Thomas Offensive Rebound.,26,40
15:55,71,Donte Thomas made Two Point Tip Shot.,28,40
15:39,2628,Jaylen Fisher missed Layup.,28,40
15:39,71,Koch Bar Block.,28,40
15:38,2628,Karviar Shepherd Offensive Rebound.,28,40
15:36,2628,Karviar Shepherd made Layup.,28,42
15:09,71,Donte Thomas missed Jumper.,28,42
15:09,2628,Jaylen Fisher Defensive Rebound.,28,42
15:05,71,Foul on Darrell Brown.,28,42
15:05,2628,Official TV Timeout,28,42
14:48,2628,Kenrich Williams made Three Point Jumper. Assisted by Jaylen Fisher.,28,45
14:33,71,JoJo McGlaston Turnover.,28,45
14:32,2628,Kenrich Williams Steal.,28,45
14:28,2628,JD Miller missed Three Point Jumper.,28,45
14:28,2628,Desmond Bane Offensive Rebound.,28,45
14:20,2628,Karviar Shepherd made Jumper. Assisted by Jaylen Fisher.,28,47
13:58,71,Callum Barker Turnover.,28,47
13:58,2628,Karviar Shepherd Steal.,28,47
13:36,71,Foul on Darrell Brown.,28,47
13:29,2628,JD Miller missed Jumper.,28,47
13:29,71,Luuk van Bree Defensive Rebound.,28,47
13:22,2628,Foul on Karviar Shepherd.,28,47
13:22,71,Dwayne Lautier-Ogunleye made Free Throw.,29,47
13:22,71,Dwayne Lautier-Ogunleye made Free Throw.,30,47
12:52,2628,Jaylen Fisher missed Three Point Jumper.,30,47
12:52,2628,Karviar Shepherd Offensive Rebound.,30,47
12:48,2628,Karviar Shepherd missed Two Point Tip Shot.,30,47
12:48,71,Koch Bar Defensive Rebound.,30,47
12:30,71,Luuk van Bree missed Three Point Jumper.,30,47
12:30,71,Koch Bar Offensive Rebound.,30,47
12:27,71,Koch Bar made Two Point Tip Shot.,32,47
12:00,2628,Jaylen Fisher missed Three Point Jumper.,32,47
12:00,71,Koch Bar Defensive Rebound.,32,47
11:57,2628,Official TV Timeout,32,47
11:43,71,Koch Bar missed Jumper.,32,47
11:43,2628,Desmond Bane Defensive Rebound.,32,47
11:15,2628,Desmond Bane made Three Point Jumper. Assisted by Alex Robinson.,32,50
10:29,71,Koch Bar made Layup.,34,50
9:58,2628,Desmond Bane missed Layup.,34,50
9:58,2628,Karviar Shepherd Offensive Rebound.,34,50
9:58,71,Foul on Luuk van Bree.,34,50
9:49,2628,Desmond Bane made Three Point Jumper. Assisted by Alex Robinson.,34,53
9:34,71,Darrell Brown missed Jumper.,34,53
9:34,71,Koch Bar Offensive Rebound.,34,53
9:33,2628,Foul on Desmond Bane.,34,53
9:27,71,Luuk van Bree missed Three Point Jumper.,34,53
9:27,2628,Alex Robinson Defensive Rebound.,34,53
9:16,2628,Desmond Bane made Three Point Jumper. Assisted by Alex Robinson.,34,56
8:57,71,JoJo McGlaston Turnover.,34,56
8:57,71,Foul on JoJo McGlaston.,34,56
8:38,2628,Chris Washburn made Layup. Assisted by Brandon Parrish.,34,58
8:26,2628,Foul on Malique Trent.,34,58
8:26,71,Dwayne Lautier-Ogunleye made Free Throw.,35,58
8:26,71,Dwayne Lautier-Ogunleye missed Free Throw.,35,58
8:26,2628,Desmond Bane Defensive Rebound.,35,58
8:12,2628,Desmond Bane missed Three Point Jumper.,35,58
8:12,71,Koch Bar Defensive Rebound.,35,58
7:56,71,Donte Thomas Turnover.,35,58
7:55,2628,Chris Washburn Steal.,35,58
7:52,2628,Malique Trent made Layup. Assisted by Desmond Bane.,35,60
7:32,71,JoJo McGlaston missed Three Point Jumper.,35,60
7:32,2628,Brandon Parrish Defensive Rebound.,35,60
7:21,2628,Brandon Parrish Turnover.,35,60
7:21,2628,Official TV Timeout,35,60
7:00,71,JoJo McGlaston missed Jumper.,35,60
7:00,2628,Desmond Bane Defensive Rebound.,35,60
7:00,71,Foul on Donte Thomas.,35,60
6:41,2628,Michael Williams missed Three Point Jumper.,35,60
6:41,71,Donte Thomas Defensive Rebound.,35,60
6:23,71,Donte Thomas made Jumper. Assisted by JoJo McGlaston.,37,60
6:05,2628,Brandon Parrish missed Three Point Jumper.,37,60
6:05,71,JoJo McGlaston Defensive Rebound.,37,60
6:01,71,JoJo McGlaston Turnover.,37,60
6:00,2628,Desmond Bane Steal.,37,60
6:00,2628,Desmond Bane missed Layup.,37,60
6:00,71,Koch Bar Defensive Rebound.,37,60
5:46,71,JoJo McGlaston missed Jumper.,37,60
5:46,2628,Brandon Parrish Defensive Rebound.,37,60
5:16,2628,Jaylen Fisher Turnover.,37,60
5:16,71,Koch Bar Steal.,37,60
5:09,71,Darrell Brown Turnover.,37,60
5:03,2628,Alex Robinson missed Layup.,37,60
5:03,71,Koch Bar Defensive Rebound.,37,60
4:51,71,Donte Thomas missed Layup.,37,60
4:51,2628,Alex Robinson Block.,37,60
4:50,2628,Desmond Bane Defensive Rebound.,37,60
4:49,71,Foul on JoJo McGlaston.,37,60
4:49,2628,Desmond Bane made Free Throw.,37,61
4:49,2628,Desmond Bane missed Free Throw.,37,61
4:49,2628,Vladimir Brodziansky Offensive Rebound.,37,61
4:43,2628,JD Miller made Three Point Jumper. Assisted by Desmond Bane.,37,64
4:42,71,Foul on JoJo McGlaston.,37,64
4:42,2628,Vladimir Brodziansky missed Free Throw.,37,64
4:42,71,Donte Thomas Defensive Rebound.,37,64
4:20,71,Koch Bar missed Jumper.,37,64
4:20,2628,Alex Robinson Defensive Rebound.,37,64
4:12,2628,Desmond Bane made Layup. Assisted by Michael Williams.,37,66
4:06,71,Bradley  Timeout,37,66
4:06,2628,Official TV Timeout,37,66
3:48,71,Antoine Pittman missed Three Point Jumper.,37,66
3:48,2628,JD Miller Defensive Rebound.,37,66
3:33,2628,Michael Williams made Three Point Jumper. Assisted by JD Miller.,37,69
3:23,2628,Foul on Michael Williams.,37,69
3:23,71,Antoine Pittman missed Free Throw.,37,69
3:23,2628,Chris Washburn Defensive Rebound.,37,69
3:05,2628,Michael Williams made Three Point Jumper. Assisted by Dalton Dry.,37,72
2:57,71,Nate Kennell missed Three Point Jumper.,37,72
2:57,2628,Chris Washburn Defensive Rebound.,37,72
2:42,2628,Josh Parrish made Dunk. Assisted by Chris Washburn.,37,74
2:23,2628,Foul on Josh Parrish.,37,74
2:23,71,Nate Kennell made Free Throw.,38,74
2:23,71,Nate Kennell missed Free Throw.,38,74
2:23,2628,Austin Sottile Defensive Rebound.,38,74
2:02,2628,Chris Washburn Turnover.,38,74
2:02,2628,Foul on Chris Washburn.,38,74
1:42,71,Nate Kennell missed Jumper.,38,74
1:42,2628,Chris Washburn Defensive Rebound.,38,74
1:35,2628,Michael Williams missed Three Point Jumper.,38,74
1:35,71,Ronnie Suggs Defensive Rebound.,38,74
1:17,71,Luuk van Bree made Layup. Assisted by Dwayne Lautier-Ogunleye.,40,74
0:49,2628,Josh Parrish Turnover.,40,74
0:34,71,Alex Foster made Layup. Assisted by Nate Kennell.,42,74
0:09,2628,Michael Williams missed Layup.,42,74
0:09,71,Luuk van Bree Block.,42,74
0:08,71,Dwayne Lautier-Ogunleye Defensive Rebound.,42,74
0:00,2628,End of Game,42,74
