Oakland,127,Michigan State,2473
0:25,2473,Technical Foul on Oakland.,65,72
0:25,127,Matt McQuaid missed Free Throw.,65,72
0:25,127,Michigan St Deadball Team Rebound.,65,72
0:25,127,Matt McQuaid made Free Throw.,65,73
0:25,2473,Foul on Sherron Dorsey-Walker.,65,73
0:25,127,Eron Harris made Free Throw.,65,74
0:25,127,Eron Harris made Free Throw.,65,75
0:16,2473,Martez Walker missed Layup.,65,75
0:16,127,Alvin Ellis III Defensive Rebound.,65,75
0:10,2473,Foul on Xavier Hill-Mais.,65,75
0:10,127,Eron Harris made Free Throw.,65,76
0:10,127,Eron Harris made Free Throw.,65,77
0:05,2473,Martez Walker missed Three Point Jumper.,65,77
0:05,127,Joshua Langford Defensive Rebound.,65,77
0:00,127,End of Game,65,77
