Northern Iowa,153,North Carolina,2460
9:36,153,Kennedy Meeks Offensive Rebound.,14,17
9:30,153,Kennedy Meeks missed Jumper.,14,17
9:30,2460,Klint Carlson Defensive Rebound.,14,17
9:16,2460,Klint Carlson made Layup. Assisted by Juwan McCloud.,16,17
9:03,153,Kennedy Meeks made Layup. Assisted by Isaiah Hicks.,16,19
8:43,2460,Klint Carlson made Three Point Jumper.,19,19
8:29,153,Seventh Woods missed Jumper.,19,19
8:29,153,Isaiah Hicks Offensive Rebound.,19,19
8:28,153,Isaiah Hicks made Layup.,19,21
8:25,2460,Juwan McCloud missed Layup.,19,21
8:25,153,Justin Jackson Defensive Rebound.,19,21
8:01,153,Nate Britt missed Three Point Jumper.,19,21
8:01,2460,Jeremy Morgan Defensive Rebound.,19,21
7:59,153,Foul on Isaiah Hicks.,19,21
7:59,153,Official TV Timeout,19,21
7:47,2460,Jeremy Morgan missed Jumper.,19,21
7:47,153,Seventh Woods Defensive Rebound.,19,21
7:31,153,Luke Maye made Jumper. Assisted by Justin Jackson.,19,23
7:11,153,Foul on Luke Maye.,19,23
7:11,2460,Klint Carlson missed Free Throw.,19,23
7:11,2460,Northern Iowa Deadball Team Rebound.,19,23
7:11,2460,Klint Carlson missed Free Throw.,19,23
7:11,153,Luke Maye Defensive Rebound.,19,23
6:56,153,Brandon Robinson missed Three Point Jumper.,19,23
6:56,2460,Klint Carlson Defensive Rebound.,19,23
6:35,2460,Isaiah Brown missed Three Point Jumper.,19,23
6:35,153,Luke Maye Defensive Rebound.,19,23
6:22,153,Justin Jackson missed Layup.,19,23
6:22,2460,Northern Iowa Defensive Rebound.,19,23
6:10,153,Foul on Joel Berry II.,19,23
5:52,2460,Foul on Spencer Haldeman.,19,23
5:52,2460,Spencer Haldeman Turnover.,19,23
5:43,153,Foul on Joel Berry II.,19,23
5:43,153,Joel Berry II Turnover.,19,23
5:19,2460,Klint Carlson missed Three Point Jumper.,19,23
5:19,153,Nate Britt Defensive Rebound.,19,23
5:12,153,Luke Maye missed Three Point Jumper.,19,23
5:12,153,North Carolina Deadball Team Rebound.,19,23
5:09,2460,Foul on Spencer Haldeman.,19,23
4:57,153,Justin Jackson missed Jumper.,19,23
4:57,2460,Jeremy Morgan Defensive Rebound.,19,23
4:30,2460,Jeremy Morgan made Three Point Jumper.,22,23
4:11,153,Brandon Robinson made Jumper.,22,25
3:55,2460,Foul on Hunter Rhodes.,22,25
3:55,2460,Hunter Rhodes Turnover.,22,25
3:55,153,Official TV Timeout,22,25
3:45,153,Justin Jackson made Layup. Assisted by Luke Maye.,22,27
3:31,2460,Foul on Jeremy Morgan.,22,27
3:31,2460,Jeremy Morgan Turnover.,22,27
3:31,153,Nate Britt Steal.,22,27
3:31,153,Kenny Williams missed Free Throw.,22,27
3:31,2460,Klint Carlson Defensive Rebound.,22,27
3:06,153,Foul on Kenny Williams.,22,27
3:06,2460,Isaiah Brown missed Free Throw.,22,27
3:06,2460,Northern Iowa Deadball Team Rebound.,22,27
3:06,2460,Isaiah Brown made Free Throw.,23,27
2:51,153,Luke Maye made Layup. Assisted by Justin Jackson.,23,29
2:30,2460,Klint Carlson missed Layup.,23,29
2:30,153,Brandon Robinson Defensive Rebound.,23,29
2:21,153,Kenny Williams missed Three Point Jumper.,23,29
2:21,153,Brandon Robinson Offensive Rebound.,23,29
2:16,2460,Foul on Klint Carlson.,23,29
2:16,153,Brandon Robinson made Free Throw.,23,30
2:16,153,Brandon Robinson made Free Throw.,23,31
2:16,2460,Northern Iowa  Timeout,23,31
1:58,2460,Jeremy Morgan made Three Point Jumper.,26,31
1:36,153,Kenny Williams missed Three Point Jumper.,26,31
1:36,2460,Jeremy Morgan Defensive Rebound.,26,31
1:14,2460,Jeremy Morgan Turnover.,26,31
1:14,153,Justin Jackson Steal.,26,31
1:03,153,Tony Bradley missed Layup.,26,31
1:03,2460,Ted Friedman Block.,26,31
1:03,153,Tony Bradley Offensive Rebound.,26,31
0:55,153,Tony Bradley made Layup.,26,33
0:46,2460,Klint Carlson Turnover.,26,33
0:46,153,Nate Britt Steal.,26,33
0:19,153,Nate Britt missed Jumper.,26,33
0:19,2460,Isaiah Brown Defensive Rebound.,26,33
0:00,153,End of 1st half,26,33
20:00,2460,Jump Ball won by Northern Iowa,26,33
19:36,2460,Bennett Koch made Jumper.,28,33
19:23,153,Joel Berry II missed Three Point Jumper.,28,33
19:23,153,Kennedy Meeks Offensive Rebound.,28,33
19:23,153,Kennedy Meeks missed Two Point Tip Shot.,28,33
19:23,153,Kennedy Meeks Offensive Rebound.,28,33
19:23,153,Kennedy Meeks made Two Point Tip Shot.,28,35
18:57,2460,Bennett Koch made Layup. Assisted by Klint Carlson.,30,35
18:40,153,Justin Jackson made Three Point Jumper. Assisted by Kenny Williams.,30,38
18:14,2460,Jeremy Morgan missed Three Point Jumper.,30,38
18:14,153,Kenny Williams Defensive Rebound.,30,38
18:06,153,Isaiah Hicks missed Free Throw.,30,38
18:05,2460,Foul on Bennett Koch.,30,38
18:05,153,Isaiah Hicks made Free Throw.,30,39
17:48,2460,Bennett Koch missed Dunk.,30,39
17:48,153,Kennedy Meeks Defensive Rebound.,30,39
17:36,2460,Foul on Bennett Koch.,30,39
17:35,153,Isaiah Hicks missed Jumper.,30,39
17:35,153,Kennedy Meeks Offensive Rebound.,30,39
17:35,153,Kennedy Meeks missed Jumper.,30,39
17:35,153,Kenny Williams Offensive Rebound.,30,39
17:13,153,Joel Berry II made Three Point Jumper. Assisted by Kenny Williams.,30,42
17:12,2460,Northern Iowa  Timeout,30,42
16:39,2460,Klint Carlson missed Three Point Jumper.,30,42
16:39,153,Isaiah Hicks Defensive Rebound.,30,42
16:28,153,Joel Berry II made Layup.,30,44
16:07,2460,Klint Carlson made Layup.,32,44
15:52,153,Joel Berry II missed Three Point Jumper.,32,44
15:52,2460,Isaiah Brown Defensive Rebound.,32,44
15:33,2460,Spencer Haldeman missed Three Point Jumper.,32,44
15:33,153,Isaiah Hicks Defensive Rebound.,32,44
15:27,153,Kennedy Meeks made Jumper. Assisted by Joel Berry II.,32,46
14:59,2460,Jeremy Morgan missed Three Point Jumper.,32,46
14:59,153,Justin Jackson Defensive Rebound.,32,46
14:34,2460,Foul on Jeremy Morgan.,32,46
14:34,153,Official TV Timeout,32,46
14:34,153,Kennedy Meeks made Free Throw.,32,47
14:34,153,Kennedy Meeks made Free Throw.,32,48
14:19,2460,Isaiah Brown missed Three Point Jumper.,32,48
14:19,153,Justin Jackson Defensive Rebound.,32,48
13:50,153,Isaiah Hicks missed Jumper.,32,48
13:50,2460,Jeremy Morgan Defensive Rebound.,32,48
13:19,2460,Hunter Rhodes missed Jumper.,32,48
13:19,153,Justin Jackson Defensive Rebound.,32,48
13:07,153,Isaiah Hicks made Dunk. Assisted by Kenny Williams.,32,50
12:41,2460,Isaiah Brown missed Three Point Jumper.,32,50
12:41,2460,Ted Friedman Offensive Rebound.,32,50
12:21,2460,Isaiah Brown missed Three Point Jumper.,32,50
12:21,2460,Isaiah Brown Offensive Rebound.,32,50
12:16,153,Foul on Kenny Williams.,32,50
11:55,2460,Ted Friedman Turnover.,32,50
11:55,153,Nate Britt Steal.,32,50
11:49,153,Official TV Timeout,32,50
11:38,153,Nate Britt missed Jumper.,32,50
11:38,2460,Northern Iowa Defensive Rebound.,32,50
11:19,2460,Isaiah Brown missed Jumper.,32,50
11:19,153,Nate Britt Defensive Rebound.,32,50
10:54,153,Justin Jackson missed Three Point Jumper.,32,50
10:54,2460,Jordan Ashton Defensive Rebound.,32,50
10:42,153,Foul on Brandon Robinson.,32,50
10:38,2460,Bennett Koch Turnover.,32,50
10:17,153,Joel Berry II missed Three Point Jumper.,32,50
10:17,2460,Klint Carlson Defensive Rebound.,32,50
9:54,2460,Jordan Ashton missed Three Point Jumper.,32,50
9:54,153,Joel Berry II Defensive Rebound.,32,50
9:47,153,Nate Britt made Three Point Jumper. Assisted by Joel Berry II.,32,53
9:23,2460,Juwan McCloud missed Three Point Jumper.,32,53
9:23,153,Kennedy Meeks Defensive Rebound.,32,53
9:16,153,Brandon Robinson Turnover.,32,53
9:16,2460,Jordan Ashton Steal.,32,53
9:00,2460,Juwan McCloud made Three Point Jumper. Assisted by Jeremy Morgan.,35,53
8:52,153,Nate Britt missed Three Point Jumper.,35,53
8:52,2460,Klint Carlson Defensive Rebound.,35,53
8:40,2460,Klint Carlson Turnover.,35,53
8:40,153,Nate Britt Steal.,35,53
8:38,2460,Foul on Jeremy Morgan.,35,53
8:24,153,Brandon Robinson made Layup.,35,55
7:57,153,Foul on Brandon Robinson.,35,55
7:57,153,Official TV Timeout,35,55
7:50,153,Foul on Brandon Robinson.,35,55
7:35,2460,Bennett Koch made Jumper.,37,55
7:26,153,Kennedy Meeks made Layup. Assisted by Isaiah Hicks.,37,57
7:26,2460,Foul on Bennett Koch.,37,57
7:26,153,Kennedy Meeks missed Free Throw.,37,57
7:26,2460,Justin Dahl Defensive Rebound.,37,57
7:20,2460,Juwan McCloud missed Layup.,37,57
7:20,2460,Justin Dahl Offensive Rebound.,37,57
7:18,2460,Justin Dahl made Dunk.,39,57
7:02,153,Joel Berry II made Three Point Jumper. Assisted by Kennedy Meeks.,39,60
6:31,2460,Juwan McCloud missed Three Point Jumper.,39,60
6:31,153,Justin Jackson Defensive Rebound.,39,60
6:22,153,Isaiah Hicks made Dunk. Assisted by Kennedy Meeks.,39,62
6:01,2460,Northern Iowa  Timeout,39,62
5:46,2460,Justin Dahl made Layup.,41,62
5:29,153,Kennedy Meeks made Layup. Assisted by Kenny Williams.,41,64
5:14,2460,Klint Carlson missed Three Point Jumper.,41,64
5:14,153,Isaiah Hicks Defensive Rebound.,41,64
5:04,153,Kennedy Meeks missed Jumper.,41,64
5:04,2460,Northern Iowa Defensive Rebound.,41,64
4:57,2460,Jeremy Morgan Turnover.,41,64
4:57,153,Kenny Williams Steal.,41,64
4:30,2460,Foul on Isaiah Brown.,41,64
4:30,153,Justin Jackson missed Free Throw.,41,64
4:30,153,North Carolina Deadball Team Rebound.,41,64
4:30,153,Justin Jackson made Free Throw.,41,65
4:07,2460,Klint Carlson missed Jumper.,41,65
4:07,153,Kennedy Meeks Defensive Rebound.,41,65
3:45,153,Kenny Williams made Layup.,41,67
3:18,153,Foul on Isaiah Hicks.,41,67
3:18,153,Official TV Timeout,41,67
3:18,2460,Justin Dahl made Free Throw.,42,67
3:18,2460,Justin Dahl missed Free Throw.,42,67
3:18,153,Tony Bradley Defensive Rebound.,42,67
3:05,153,Justin Jackson made Jumper.,42,69
2:49,2460,Isaiah Brown missed Three Point Jumper.,42,69
2:49,153,North Carolina Defensive Rebound.,42,69
2:33,153,Luke Maye made Three Point Jumper. Assisted by Nate Britt.,42,72
2:16,2460,Luke McDonnell missed Three Point Jumper.,42,72
2:16,153,Tony Bradley Defensive Rebound.,42,72
1:57,153,Shea Rush made Three Point Jumper. Assisted by Seventh Woods.,42,75
1:42,2460,Luke McDonnell Turnover.,42,75
1:42,153,Shea Rush Steal.,42,75
1:32,153,Tony Bradley made Layup. Assisted by Luke Maye.,42,77
1:17,2460,Northern Iowa  Timeout,42,77
1:00,2460,Justin Dahl missed Jumper.,42,77
1:00,153,Tony Bradley Block.,42,77
1:00,153,Tony Bradley Defensive Rebound.,42,77
0:49,153,Tony Bradley made Layup.,42,79
0:43,153,Foul on Kanler Coker.,42,79
0:42,2460,Lincoln Conrey missed Three Point Jumper.,42,79
0:42,153,Seventh Woods Defensive Rebound.,42,79
0:29,153,Tony Bradley missed Layup.,42,79
0:29,2460,Justin Dahl Block.,42,79
0:29,153,Shea Rush Offensive Rebound.,42,79
0:29,153,Shea Rush missed Two Point Tip Shot.,42,79
0:29,153,Tony Bradley Offensive Rebound.,42,79
0:29,153,Tony Bradley made Two Point Tip Shot.,42,81
0:14,2460,Rafael de Souza Turnover.,42,81
0:14,153,Seventh Woods Steal.,42,81
0:11,153,Seventh Woods made Dunk.,42,83
0:08,2460,Rafael de Souza Turnover.,42,83
0:08,153,Seventh Woods Steal.,42,83
0:08,153,Seventh Woods made Dunk.,42,85
0:00,153,End of Game,42,85
