Wayland Baptist Univ,Error,UT Rio Grande Valley,292
10:56,292,Moe McDonald made Three Point Jumper. Assisted by Lesley Varner Jr..,2,19
10:46,292,Foul on Lesley Varner Jr..,2,19
10:40,-1,Marshall Nelson Turnover.,2,19
10:22,292,Mike Hoffman Turnover.,2,19
10:20,-1,Ruben Lopez Steal.,2,19
10:05,-1,Louis Timms missed Jumper.,2,19
10:05,292,Mike Hoffman Defensive Rebound.,2,19
9:57,292,Lew Stallworth made Layup.,2,21
9:47,-1,Wayland Baptist  Timeout,2,21
9:34,-1,Maurice Redmond Turnover.,2,21
9:33,292,Mike Nwabuzor Steal.,2,21
9:30,292,Walter Jones made Layup. Assisted by Lew Stallworth.,2,23
9:12,-1,Ruben Lopez missed Layup.,2,23
9:12,292,Lew Stallworth Block.,2,23
9:12,-1,Wayland Baptist Offensive Rebound.,2,23
9:11,-1,Ruben Lopez Turnover.,2,23
8:48,292,Walter Jones missed Layup.,2,23
8:48,-1,Tyrone Davis Defensive Rebound.,2,23
8:32,292,Foul on Moe McDonald.,2,23
8:32,-1,Tyrone Davis missed Free Throw.,2,23
8:32,292,Adonis Rwabigwi Defensive Rebound.,2,23
8:17,292,Lew Stallworth made Layup.,2,25
7:49,-1,J.J. Culver Turnover.,2,25
7:47,292,Lew Stallworth Steal.,2,25
7:44,-1,Foul on Maurice Redmond.,2,25
7:44,292,Official TV Timeout,2,25
7:44,292,Moe McDonald made Free Throw.,2,26
7:44,292,Moe McDonald made Free Throw.,2,27
7:31,292,Foul on Adonis Rwabigwi.,2,27
7:31,-1,Maurice Redmond made Free Throw.,3,27
7:31,-1,Maurice Redmond made Free Throw.,4,27
7:27,292,Antonio Green missed Three Point Jumper.,4,27
7:27,-1,Wayland Baptist Defensive Rebound.,4,27
7:11,292,Foul on Mike Nwabuzor.,4,27
7:11,-1,Marshall Nelson made Free Throw.,5,27
7:11,-1,Marshall Nelson made Free Throw.,6,27
6:52,292,Gage Loy Turnover.,6,27
6:37,-1,Marshall Nelson made Jumper. Assisted by Cody Thomas.,8,27
6:23,292,Nick Dixon Turnover.,8,27
5:59,-1,Marshall Nelson Turnover.,8,27
5:58,292,Antonio Green Steal.,8,27
5:57,-1,Foul on Maurice Redmond.,8,27
5:57,292,Nick Dixon missed Free Throw.,8,27
5:57,292,UT Rio Grande Valley Deadball Team Rebound.,8,27
5:57,292,Nick Dixon made Free Throw.,8,28
5:49,-1,Marshall Nelson missed Three Point Jumper.,8,28
5:49,-1,Tyrone Davis Offensive Rebound.,8,28
5:45,-1,Tyrone Davis missed Layup.,8,28
5:42,-1,Wayland Baptist Offensive Rebound.,8,28
5:42,292,Foul on Gage Loy.,8,28
5:42,-1,Cody Thomas made Free Throw.,9,28
5:42,-1,Cody Thomas made Free Throw.,10,28
5:35,292,Dan Kimasa made Layup. Assisted by Lew Stallworth.,10,30
5:16,-1,Tyrone Davis made Layup.,12,30
5:09,292,Antonio Green missed Three Point Jumper.,12,30
5:09,-1,Maurice Redmond Defensive Rebound.,12,30
5:01,-1,Marshall Nelson missed Three Point Jumper.,12,30
5:01,-1,Maurice Redmond Offensive Rebound.,12,30
4:56,-1,Maurice Redmond missed Layup.,12,30
4:56,292,Nick Dixon Defensive Rebound.,12,30
4:49,292,Antonio Green made Three Point Jumper. Assisted by Lew Stallworth.,12,33
4:30,-1,Maurice Redmond missed Layup.,12,33
4:30,-1,Maurice Redmond Offensive Rebound.,12,33
4:27,-1,Maurice Redmond missed Layup.,12,33
4:27,292,Dan Kimasa Block.,12,33
4:25,292,Antonio Green Defensive Rebound.,12,33
4:21,292,Antonio Green Turnover.,12,33
4:04,292,Foul on Mike Hoffman.,12,33
4:04,-1,Austin Mansour missed Free Throw.,12,33
4:04,-1,Wayland Baptist Deadball Team Rebound.,12,33
4:04,-1,Austin Mansour missed Free Throw.,12,33
4:04,292,Dan Kimasa Defensive Rebound.,12,33
3:49,292,Mike Hoffman made Layup. Assisted by Lew Stallworth.,12,35
3:42,-1,Josh Throns Turnover.,12,35
3:40,292,Nick Dixon Steal.,12,35
3:39,292,Nick Dixon missed Three Point Jumper.,12,35
3:39,-1,Marshall Nelson Defensive Rebound.,12,35
3:33,-1,Austin Mansour Turnover.,12,35
3:33,292,Official TV Timeout,12,35
3:21,292,Antonio Green missed Three Point Jumper.,12,35
3:21,292,Mike Hoffman Offensive Rebound.,12,35
2:59,292,Antonio Green made Three Point Jumper. Assisted by Mike Hoffman.,12,38
2:46,-1,Russell Harrison missed Layup.,12,38
2:46,-1,J.J. Culver Offensive Rebound.,12,38
2:42,-1,J.J. Culver missed Layup.,12,38
2:42,-1,Russell Harrison Offensive Rebound.,12,38
2:39,-1,Russell Harrison made Layup.,14,38
2:30,-1,Foul on J.J. Culver.,14,38
2:30,292,Dan Kimasa made Free Throw.,14,39
2:30,292,Dan Kimasa missed Free Throw.,14,39
2:30,-1,Louis Timms Defensive Rebound.,14,39
2:19,-1,Russell Harrison missed Layup.,14,39
2:19,-1,Louis Timms Offensive Rebound.,14,39
2:15,292,Foul on Dan Kimasa.,14,39
2:15,-1,Louis Timms made Free Throw.,15,39
2:15,-1,Louis Timms made Free Throw.,16,39
2:09,292,Lew Stallworth missed Three Point Jumper.,16,39
2:09,292,Lew Stallworth Offensive Rebound.,16,39
1:58,292,Lesley Varner Jr. missed Jumper.,16,39
1:58,-1,J.J. Culver Defensive Rebound.,16,39
1:52,-1,Russell Harrison missed Jumper.,16,39
1:52,292,Dan Kimasa Defensive Rebound.,16,39
1:41,292,Antonio Green missed Three Point Jumper.,16,39
1:41,-1,Russell Harrison Defensive Rebound.,16,39
1:30,-1,Russell Harrison missed Three Point Jumper.,16,39
1:30,-1,Louis Timms Offensive Rebound.,16,39
1:23,-1,Marshall Nelson missed Three Point Jumper.,16,39
1:23,292,Walter Jones Defensive Rebound.,16,39
1:18,292,UT Rio Grande Valley  Timeout,16,39
1:06,292,Moe McDonald Turnover.,16,39
0:55,-1,Russell Harrison missed Jumper.,16,39
0:55,292,Nick Dixon Defensive Rebound.,16,39
0:39,292,Walter Jones missed Jumper.,16,39
0:39,-1,Maurice Redmond Defensive Rebound.,16,39
0:25,-1,Wayland Baptist  Timeout,16,39
0:21,-1,Maurice Redmond missed Three Point Jumper.,16,39
0:21,292,Lew Stallworth Defensive Rebound.,16,39
0:03,292,Lew Stallworth missed Jumper.,16,39
0:03,-1,Louis Timms Defensive Rebound.,16,39
0:01,-1,Ruben Lopez missed Three Point Jumper.,16,39
0:00,292,UT Rio Grande Valley Defensive Rebound.,16,39
0:00,292,End of 1st half,16,39
19:48,292,Lew Stallworth missed Three Point Jumper.,16,39
19:48,292,Nick Dixon Offensive Rebound.,16,39
19:44,292,Nick Dixon missed Layup.,16,39
19:44,292,Nick Dixon Offensive Rebound.,16,39
19:41,292,Nick Dixon made Layup.,16,41
19:31,-1,Louis Timms missed Layup.,16,41
19:31,292,Xavier McDaniel Jr. Defensive Rebound.,16,41
19:16,292,Xavier McDaniel Jr. missed Three Point Jumper.,16,41
19:16,-1,J.J. Culver Defensive Rebound.,16,41
19:05,-1,Maurice Redmond missed Three Point Jumper.,16,41
19:05,292,Xavier McDaniel Jr. Defensive Rebound.,16,41
18:55,292,Mike Hoffman made Jumper. Assisted by Lew Stallworth.,16,43
18:30,-1,Marshall Nelson Turnover.,16,43
18:30,292,Lew Stallworth Steal.,16,43
18:30,292,Official TV Timeout,16,43
18:24,292,Xavier McDaniel Jr. missed Layup.,16,43
18:24,-1,Louis Timms Block.,16,43
18:22,292,Antonio Green Offensive Rebound.,16,43
18:17,-1,Foul on Marshall Nelson.,16,43
18:12,292,Mike Hoffman missed Layup.,16,43
18:12,-1,Cody Thomas Defensive Rebound.,16,43
17:58,292,Foul on Xavier McDaniel Jr..,16,43
17:43,-1,Cody Thomas missed Layup.,16,43
17:43,-1,Wayland Baptist Offensive Rebound.,16,43
17:39,-1,Marshall Nelson Turnover.,16,43
17:34,292,Antonio Green missed Three Point Jumper.,16,43
17:34,292,Nick Dixon Offensive Rebound.,16,43
17:30,292,Nick Dixon Turnover.,16,43
17:20,-1,Ruben Lopez made Three Point Jumper. Assisted by Maurice Redmond.,19,43
17:01,-1,Foul on Tyrone Davis.,19,43
17:01,292,Nick Dixon missed Free Throw.,19,43
17:01,292,UT Rio Grande Valley Deadball Team Rebound.,19,43
17:01,292,Nick Dixon made Free Throw.,19,44
17:01,292,Nick Dixon made Free Throw.,19,45
16:49,-1,Maurice Redmond made Layup. Assisted by Tyrone Davis.,21,45
16:37,292,Xavier McDaniel Jr. missed Three Point Jumper.,21,45
16:37,-1,Wayland Baptist Defensive Rebound.,21,45
16:35,292,Foul on Nick Dixon.,21,45
16:33,-1,Cody Thomas Turnover.,21,45
16:21,292,Xavier McDaniel Jr. made Jumper. Assisted by Lew Stallworth.,21,47
16:07,-1,Ruben Lopez missed Layup.,21,47
16:07,292,Xavier McDaniel Jr. Defensive Rebound.,21,47
16:00,292,Lew Stallworth made Layup.,21,49
15:53,-1,Cody Thomas Turnover.,21,49
15:51,292,Xavier McDaniel Jr. Steal.,21,49
15:49,292,Nick Dixon missed Layup.,21,49
15:49,-1,Wayland Baptist Defensive Rebound.,21,49
15:48,292,Official TV Timeout,21,49
15:24,-1,Ruben Lopez made Three Point Jumper.,24,49
15:06,292,Antonio Green missed Three Point Jumper.,24,49
15:06,-1,Ruben Lopez Defensive Rebound.,24,49
14:54,292,Foul on Dan Kimasa.,24,49
14:54,-1,Tyrone Davis missed Free Throw.,24,49
14:54,-1,Wayland Baptist Deadball Team Rebound.,24,49
14:54,-1,Tyrone Davis missed Free Throw.,24,49
14:54,292,Gage Loy Defensive Rebound.,24,49
14:47,292,Lew Stallworth missed Layup.,24,49
14:47,-1,Tyrone Davis Block.,24,49
14:45,292,Dan Kimasa Offensive Rebound.,24,49
14:44,-1,Foul on Maurice Redmond.,24,49
14:44,-1,Foul on Ruben Lopez.,24,49
14:41,292,Antonio Green made Jumper.,24,51
14:28,-1,Ruben Lopez Turnover.,24,51
14:27,292,Moe McDonald Steal.,24,51
14:24,292,Antonio Green made Layup. Assisted by Moe McDonald.,24,53
14:09,-1,Maurice Redmond made Three Point Jumper. Assisted by Ruben Lopez.,27,53
14:04,-1,Wayland Baptist  Timeout,27,53
13:50,292,Gage Loy missed Jumper.,27,53
13:50,-1,Tyrone Davis Defensive Rebound.,27,53
13:43,292,Foul on Moe McDonald.,27,53
13:43,-1,Maurice Redmond made Free Throw.,28,53
13:43,-1,Maurice Redmond made Free Throw.,29,53
13:21,-1,Foul on Tyrone Davis.,29,53
13:20,292,Antonio Green missed Three Point Jumper.,29,53
13:20,-1,Maurice Redmond Defensive Rebound.,29,53
13:10,-1,Julian Pesava missed Layup.,29,53
13:10,-1,Wayland Baptist Offensive Rebound.,29,53
12:59,-1,Cody Thomas made Layup.,31,53
12:52,292,Antonio Green Turnover.,31,53
12:50,-1,Maurice Redmond Steal.,31,53
12:39,-1,Maurice Redmond Turnover.,31,53
12:38,292,Gage Loy Steal.,31,53
12:33,292,Moe McDonald missed Layup.,31,53
12:33,292,Lew Stallworth Offensive Rebound.,31,53
12:29,292,Lew Stallworth made Layup.,31,55
12:19,-1,Julian Pesava missed Three Point Jumper.,31,55
12:19,292,UT Rio Grande Valley Defensive Rebound.,31,55
12:17,-1,Foul on Cody Thomas.,31,55
12:08,292,Foul on Lew Stallworth.,31,55
12:08,292,Lew Stallworth Turnover.,31,55
12:01,-1,Austin Mansour missed Layup.,31,55
12:01,292,Gage Loy Block.,31,55
12:00,-1,Maurice Redmond Offensive Rebound.,31,55
11:54,-1,Maurice Redmond missed Jumper.,31,55
11:54,292,Lesley Varner Jr. Defensive Rebound.,31,55
11:52,-1,Foul on Tyrone Davis.,31,55
11:52,292,Official TV Timeout,31,55
11:52,292,Moe McDonald made Free Throw.,31,56
11:52,292,Moe McDonald made Free Throw.,31,57
11:40,-1,Ruben Lopez missed Three Point Jumper.,31,57
11:40,292,Lew Stallworth Defensive Rebound.,31,57
11:31,292,Adonis Rwabigwi missed Layup.,31,57
11:31,292,Moe McDonald Offensive Rebound.,31,57
11:25,292,Moe McDonald made Jumper. Assisted by Walter Jones.,31,59
11:14,-1,Julian Pesava Turnover.,31,59
11:12,292,Lew Stallworth Steal.,31,59
11:10,292,Lew Stallworth Turnover.,31,59
11:01,-1,Russell Harrison Turnover.,31,59
10:38,292,Walter Jones missed Three Point Jumper.,31,59
10:38,292,Adonis Rwabigwi Offensive Rebound.,31,59
10:34,-1,Foul on Ruben Lopez.,31,59
10:34,292,Adonis Rwabigwi made Free Throw.,31,60
10:34,292,Adonis Rwabigwi missed Free Throw.,31,60
10:34,-1,Julian Pesava Defensive Rebound.,31,60
10:23,-1,Wayland Baptist  Turnover.,31,60
10:13,292,Walter Jones Turnover.,31,60
10:05,292,Foul on Adonis Rwabigwi.,31,60
10:05,-1,Maurice Redmond made Free Throw.,32,60
10:05,-1,Maurice Redmond missed Free Throw.,32,60
10:05,-1,Wayland Baptist Offensive Rebound.,32,60
10:00,292,Foul on Nick Dixon.,32,60
10:00,-1,Maurice Redmond made Free Throw.,33,60
10:00,-1,Maurice Redmond made Free Throw.,34,60
9:46,292,Walter Jones made Jumper. Assisted by Lesley Varner Jr..,34,62
9:26,-1,Maurice Redmond missed Three Point Jumper.,34,62
9:26,292,Walter Jones Defensive Rebound.,34,62
9:14,292,Nick Dixon made Three Point Jumper. Assisted by Moe McDonald.,34,65
8:55,-1,Maurice Redmond made Layup.,36,65
8:55,292,Foul on Moe McDonald.,36,65
8:55,-1,Maurice Redmond made Free Throw.,37,65
8:30,292,Nick Dixon made Three Point Jumper. Assisted by Lesley Varner Jr..,37,68
8:15,-1,Josh Throns made Three Point Jumper. Assisted by Russell Harrison.,40,68
7:53,292,Adonis Rwabigwi Turnover.,40,68
7:23,-1,Julian Pesava missed Jumper.,40,68
7:23,292,Mike Hoffman Defensive Rebound.,40,68
7:04,292,Mike Hoffman made Jumper.,40,70
6:45,292,Foul on Mike Hoffman.,40,70
6:45,-1,Tyler Viskovich missed Free Throw.,40,70
6:45,292,Mike Hoffman Defensive Rebound.,40,70
6:27,292,Mike Hoffman made Three Point Jumper. Assisted by Antonio Green.,40,73
6:07,-1,Josh Throns made Three Point Jumper. Assisted by Russell Harrison.,43,73
5:55,292,Xavier McDaniel Jr. missed Jumper.,43,73
5:55,292,Lesley Varner Jr. Offensive Rebound.,43,73
5:50,292,Lesley Varner Jr. made Layup.,43,75
5:41,-1,Josh Throns missed Three Point Jumper.,43,75
5:41,-1,Russell Harrison Offensive Rebound.,43,75
5:35,-1,Russell Harrison Turnover.,43,75
5:33,292,Antonio Green Steal.,43,75
5:32,-1,Foul on Russell Harrison.,43,75
5:32,292,Antonio Green missed Free Throw.,43,75
5:32,292,UT Rio Grande Valley Deadball Team Rebound.,43,75
5:32,292,Antonio Green made Free Throw.,43,76
5:14,-1,Tyler Viskovich made Layup. Assisted by Chris Doerue.,45,76
4:53,292,Nick Dixon missed Three Point Jumper.,45,76
4:53,-1,Russell Harrison Defensive Rebound.,45,76
4:41,292,Foul on Xavier McDaniel Jr..,45,76
4:41,-1,Tyler Viskovich made Free Throw.,46,76
4:41,-1,Tyler Viskovich made Free Throw.,47,76
4:17,292,Dan Kimasa missed Layup.,47,76
4:17,-1,Julian Pesava Defensive Rebound.,47,76
4:11,-1,Foul on Russell Harrison.,47,76
4:11,-1,Russell Harrison Turnover.,47,76
3:54,292,Xavier McDaniel Jr. missed Three Point Jumper.,47,76
3:54,-1,Russell Harrison Defensive Rebound.,47,76
3:38,-1,Russell Harrison missed Layup.,47,76
3:38,292,Dan Kimasa Defensive Rebound.,47,76
3:30,-1,Foul on Tyler Viskovich.,47,76
3:30,292,Official TV Timeout,47,76
3:30,292,Mike Nwabuzor made Free Throw.,47,77
3:30,292,Mike Nwabuzor made Free Throw.,47,78
3:11,-1,Josh Throns made Three Point Jumper. Assisted by Chris Doerue.,50,78
2:51,292,Dan Kimasa made Layup. Assisted by Xavier McDaniel Jr..,50,80
2:51,-1,Foul on Julian Pesava.,50,80
2:51,292,Dan Kimasa missed Free Throw.,50,80
2:51,-1,Tyler Viskovich Defensive Rebound.,50,80
2:30,292,Gage Loy missed Layup.,50,80
2:30,-1,Russell Harrison made Jumper. Assisted by Josh Throns.,52,80
2:29,292,Walter Jones Offensive Rebound.,52,80
2:28,292,Walter Jones missed Layup.,52,80
2:27,292,Nick Mora Offensive Rebound.,52,80
1:54,292,Foul on Mike Nwabuzor.,52,80
1:54,292,Mike Nwabuzor Turnover.,52,80
1:23,-1,Russell Harrison missed Three Point Jumper.,52,80
1:23,292,Gage Loy Defensive Rebound.,52,80
1:17,292,Mike Nwabuzor made Layup. Assisted by Gage Loy.,52,82
1:05,292,Foul on Gage Loy.,52,82
1:05,-1,Austin Mansour missed Free Throw.,52,82
1:05,-1,Wayland Baptist Deadball Team Rebound.,52,82
1:05,-1,Austin Mansour made Free Throw.,53,82
0:57,292,Mike Nwabuzor missed Three Point Jumper.,53,82
0:57,292,Gage Loy Offensive Rebound.,53,82
0:53,292,Gage Loy made Layup.,53,84
0:37,-1,Austin Mansour made Jumper. Assisted by Chris Doerue.,55,84
0:09,-1,Foul on Tyrone Davis.,55,84
0:09,292,Onuralp Demirer made Free Throw.,55,85
0:09,292,Onuralp Demirer made Free Throw.,55,86
0:05,-1,Russell Harrison missed Three Point Jumper.,55,86
0:05,292,Nick Mora Defensive Rebound.,55,86
0:00,292,End of Game,55,86
