Buffalo,2523,Robert Morris,2084
12:02,2523,Roberto Mantovani made Free Throw.,10,12
12:02,2523,Roberto Mantovani made Free Throw.,10,13
11:48,2084,Raheem Johnson Turnover.,10,13
11:48,2523,Official TV Timeout,10,13
11:33,2523,Aaron Tate missed Layup.,10,13
11:33,2523,Roberto Mantovani Offensive Rebound.,10,13
11:30,2523,Roberto Mantovani missed Layup.,10,13
11:30,2523,Robert Morris Offensive Rebound.,10,13
11:19,2523,Matty McConnell missed Three Point Jumper.,10,13
11:19,2523,Aaron Tate Offensive Rebound.,10,13
11:15,2523,Aaron Tate missed Layup.,10,13
11:15,2084,Nick Perkins Defensive Rebound.,10,13
11:09,2084,CJ Massinburg missed Three Point Jumper.,10,13
11:09,2084,Buffalo Offensive Rebound.,10,13
10:55,2084,David Kadiri Turnover.,10,13
10:55,2084,Foul on David Kadiri.,10,13
10:43,2523,Matty McConnell missed Three Point Jumper.,10,13
10:43,2084,David Kadiri Defensive Rebound.,10,13
10:41,2523,Foul on Roberto Mantovani.,10,13
10:27,2084,Nick Perkins made Jumper.,12,13
10:04,2523,Roberto Mantovani made Layup. Assisted by Matty McConnell.,12,15
9:48,2084,CJ Massinburg missed Three Point Jumper.,12,15
9:48,2523,Dachon Burke Defensive Rebound.,12,15
9:33,2084,Foul on Willie Conner.,12,15
9:33,2523,Matty McConnell made Free Throw.,12,16
9:33,2523,Matty McConnell made Free Throw.,12,17
9:33,2523,Matty McConnell made Free Throw.,12,18
9:20,2084,Nick Perkins missed Layup.,12,18
9:20,2084,Nick Perkins Offensive Rebound.,12,18
9:17,2084,Nick Perkins made Layup.,14,18
8:48,2523,Kavon Stewart missed Layup.,14,18
8:48,2084,Nick Perkins Defensive Rebound.,14,18
8:43,2084,Davonta Jordan made Layup.,16,18
8:24,2523,Kavon Stewart missed Layup.,16,18
8:24,2523,Kavon Stewart Offensive Rebound.,16,18
8:21,2523,Kavon Stewart made Layup.,16,20
8:10,2084,David Kadiri made Dunk. Assisted by Blake Hamilton.,18,20
7:53,2084,Foul on David Kadiri.,18,20
7:53,2523,Official TV Timeout,18,20
7:53,2523,Aaron Tate made Free Throw.,18,21
7:53,2523,Aaron Tate made Free Throw.,18,22
7:42,2084,Nick Perkins Turnover.,18,22
7:42,2084,Foul on Nick Perkins.,18,22
7:34,2523,Braden Burke Turnover.,18,22
7:34,2523,Foul on Braden Burke.,18,22
7:16,2523,Foul on Lorenzen Wright Jr..,18,22
7:16,2084,Dontay Caruthers missed Free Throw.,18,22
7:16,2084,Buffalo Deadball Team Rebound.,18,22
7:16,2084,Dontay Caruthers made Free Throw.,19,22
7:00,2523,Braden Burke made Layup. Assisted by Kavon Stewart.,19,24
7:00,2084,Foul on Ikenna Smart.,19,24
7:00,2523,Braden Burke missed Free Throw.,19,24
7:00,2084,Nick Perkins Defensive Rebound.,19,24
6:44,2084,Blake Hamilton made Layup. Assisted by Nick Perkins.,21,24
6:26,2523,Clive Allen missed Three Point Jumper.,21,24
6:26,2084,CJ Massinburg Defensive Rebound.,21,24
6:14,2084,Ikenna Smart missed Layup.,21,24
6:14,2084,Ikenna Smart Offensive Rebound.,21,24
6:11,2523,Foul on Braden Burke.,21,24
6:11,2084,Ikenna Smart made Free Throw.,22,24
6:11,2084,Ikenna Smart made Free Throw.,23,24
6:01,2523,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Clive Allen.,23,27
5:53,2084,Blake Hamilton Turnover.,23,27
5:33,2523,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Kavon Stewart.,23,30
5:16,2523,Foul on Billy Giles.,23,30
5:16,2084,Quate McKinzie missed Free Throw.,23,30
5:16,2084,Buffalo Deadball Team Rebound.,23,30
5:16,2084,Quate McKinzie missed Free Throw.,23,30
5:16,2523,Billy Giles Defensive Rebound.,23,30
4:45,2523,Robert Morris  Turnover.,23,30
4:28,2523,Foul on Roberto Mantovani.,23,30
4:28,2084,Nick Perkins missed Free Throw.,23,30
4:28,2523,Dachon Burke Defensive Rebound.,23,30
4:07,2523,Kavon Stewart made Layup.,23,32
3:48,2523,Foul on Billy Giles.,23,32
3:48,2523,Official TV Timeout,23,32
3:48,2084,Blake Hamilton missed Free Throw.,23,32
3:48,2084,Buffalo Deadball Team Rebound.,23,32
3:48,2084,Blake Hamilton made Free Throw.,24,32
3:24,2523,Dachon Burke missed Jumper.,24,32
3:24,2084,Buffalo Defensive Rebound.,24,32
3:23,2523,Foul on Billy Giles.,24,32
3:23,2084,Dontay Caruthers made Free Throw.,25,32
3:23,2084,Dontay Caruthers missed Free Throw.,25,32
3:23,2523,Braden Burke Defensive Rebound.,25,32
3:02,2084,Foul on Quate McKinzie.,25,32
3:02,2523,Clive Allen missed Free Throw.,25,32
3:02,2523,Robert Morris Deadball Team Rebound.,25,32
3:02,2523,Clive Allen made Free Throw.,25,33
2:50,2084,Willie Conner missed Jumper.,25,33
2:50,2523,Braden Burke Defensive Rebound.,25,33
2:43,2523,Kavon Stewart missed Layup.,25,33
2:43,2084,Nick Perkins Defensive Rebound.,25,33
2:37,2084,CJ Massinburg Turnover.,25,33
2:37,2084,Foul on CJ Massinburg.,25,33
2:26,2523,Matty McConnell made Jumper.,25,35
2:08,2084,Willie Conner Turnover.,25,35
2:06,2523,Aaron Tate Steal.,25,35
2:00,2523,Clive Allen missed Three Point Jumper.,25,35
2:00,2084,Dontay Caruthers Defensive Rebound.,25,35
1:49,2084,Raheem Johnson missed Layup.,25,35
1:49,2084,Nick Perkins Offensive Rebound.,25,35
1:44,2084,Dontay Caruthers missed Three Point Jumper.,25,35
1:44,2523,Matty McConnell Defensive Rebound.,25,35
1:18,2523,Braden Burke made Layup.,25,37
1:12,2084,Buffalo  Timeout,25,37
0:53,2523,Foul on Kavon Stewart.,25,37
0:53,2084,Blake Hamilton missed Free Throw.,25,37
0:53,2084,Buffalo Deadball Team Rebound.,25,37
0:53,2523,Robert Morris  Timeout,25,37
0:53,2084,Blake Hamilton made Free Throw.,26,37
0:45,2523,Matty McConnell Turnover.,26,37
0:45,2084,Blake Hamilton Steal.,26,37
0:43,2084,Blake Hamilton made Layup.,28,37
0:16,2523,Kavon Stewart missed Layup.,28,37
0:16,2084,Ikenna Smart Block.,28,37
0:15,2523,Robert Morris Offensive Rebound.,28,37
0:07,2523,Robert Morris  Turnover.,28,37
0:01,2084,Blake Hamilton made Layup.,30,37
0:00,2523,End of 1st half,30,37
19:50,2084,David Kadiri missed Layup.,30,37
19:50,2523,Aaron Tate Defensive Rebound.,30,37
19:35,2523,Roberto Mantovani Turnover.,30,37
19:35,2523,Foul on Roberto Mantovani.,30,37
19:23,2084,Ikenna Smart missed Layup.,30,37
19:23,2523,Matty McConnell Defensive Rebound.,30,37
19:13,2523,Braden Burke missed Layup.,30,37
19:13,2084,Nick Perkins Defensive Rebound.,30,37
19:04,2084,Nick Perkins missed Three Point Jumper.,30,37
19:04,2084,Willie Conner Offensive Rebound.,30,37
18:50,2084,CJ Massinburg made Jumper.,32,37
18:26,2523,Braden Burke missed Jumper.,32,37
18:26,2084,Blake Hamilton Defensive Rebound.,32,37
18:11,2084,Nick Perkins made Jumper.,34,37
17:39,2523,Dachon Burke missed Three Point Jumper.,34,37
17:39,2084,Blake Hamilton Defensive Rebound.,34,37
17:30,2523,Foul on Matty McConnell.,34,37
17:30,2084,Willie Conner missed Free Throw.,34,37
17:30,2084,Buffalo Deadball Team Rebound.,34,37
17:30,2084,Willie Conner missed Free Throw.,34,37
17:30,2084,Buffalo Deadball Team Rebound.,34,37
17:30,2084,Willie Conner made Free Throw.,35,37
17:21,2523,Braden Burke Turnover.,35,37
17:21,2523,Foul on Braden Burke.,35,37
17:11,2084,Blake Hamilton made Jumper.,37,37
16:46,2523,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Kavon Stewart.,37,40
16:36,2084,Blake Hamilton missed Three Point Jumper.,37,40
16:36,2084,Raheem Johnson Offensive Rebound.,37,40
16:25,2084,Blake Hamilton missed Jumper.,37,40
16:25,2084,Raheem Johnson Offensive Rebound.,37,40
16:14,2523,Foul on Billy Giles.,37,40
16:03,2084,CJ Massinburg Turnover.,37,40
16:02,2523,Clive Allen Steal.,37,40
15:46,2523,Lorenzen Wright Jr. missed Three Point Jumper.,37,40
15:46,2084,Raheem Johnson Defensive Rebound.,37,40
15:35,2084,Nick Perkins made Dunk. Assisted by Blake Hamilton.,39,40
15:12,2523,Clive Allen missed Three Point Jumper.,39,40
15:12,2084,Raheem Johnson Defensive Rebound.,39,40
15:04,2523,Foul on Aaron Tate.,39,40
15:04,2523,Official TV Timeout,39,40
15:04,2084,Nick Perkins made Free Throw.,40,40
15:04,2084,Nick Perkins made Free Throw.,41,40
14:35,2523,Clive Allen missed Three Point Jumper.,41,40
14:35,2084,Blake Hamilton Defensive Rebound.,41,40
14:29,2084,Quate McKinzie made Layup. Assisted by Blake Hamilton.,43,40
14:11,2084,Foul on Davonta Jordan.,43,40
14:03,2523,Clive Allen missed Jumper.,43,40
14:03,2523,Roberto Mantovani Offensive Rebound.,43,40
14:01,2084,Foul on Quate McKinzie.,43,40
14:00,2523,Matty McConnell missed Three Point Jumper.,43,40
14:00,2084,Quate McKinzie Defensive Rebound.,43,40
13:47,2084,Ikenna Smart made Layup. Assisted by Blake Hamilton.,45,40
13:31,2084,Foul on Ikenna Smart.,45,40
13:31,2523,Roberto Mantovani missed Free Throw.,45,40
13:31,2523,Robert Morris Deadball Team Rebound.,45,40
13:31,2523,Roberto Mantovani missed Free Throw.,45,40
13:31,2084,Quate McKinzie Defensive Rebound.,45,40
13:10,2084,Willie Conner missed Three Point Jumper.,45,40
13:10,2523,Aaron Tate Defensive Rebound.,45,40
12:59,2523,Clive Allen missed Three Point Jumper.,45,40
12:59,2084,Dontay Caruthers Defensive Rebound.,45,40
12:47,2084,Dontay Caruthers Turnover.,45,40
12:32,2523,Braden Burke made Jumper. Assisted by Kavon Stewart.,45,42
12:22,2084,Dontay Caruthers Turnover.,45,42
12:22,2523,Dachon Burke Steal.,45,42
12:22,2084,Foul on Quate McKinzie.,45,42
11:59,2523,Official TV Timeout,45,42
11:54,2523,Matty McConnell missed Three Point Jumper.,45,42
11:54,2084,Davonta Jordan Defensive Rebound.,45,42
11:43,2523,Foul on Braden Burke.,45,42
11:43,2084,Willie Conner missed Free Throw.,45,42
11:43,2084,Buffalo Deadball Team Rebound.,45,42
11:43,2084,Willie Conner made Free Throw.,46,42
11:30,2523,Matty McConnell missed Jumper.,46,42
11:30,2084,Davonta Jordan Defensive Rebound.,46,42
11:16,2523,Foul on Roberto Mantovani.,46,42
11:16,2084,Willie Conner made Free Throw.,47,42
11:16,2084,Willie Conner made Free Throw.,48,42
11:08,2084,Foul on Davonta Jordan.,48,42
11:06,2523,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Kavon Stewart.,48,45
10:47,2084,CJ Massinburg made Layup.,50,45
10:22,2523,Kavon Stewart made Layup.,50,47
10:14,2084,CJ Massinburg Turnover.,50,47
10:14,2084,Foul on CJ Massinburg.,50,47
10:04,2523,Lorenzen Wright Jr. missed Three Point Jumper.,50,47
10:04,2084,Davonta Jordan Defensive Rebound.,50,47
9:58,2084,Davonta Jordan Turnover.,50,47
9:57,2523,Dachon Burke Steal.,50,47
9:46,2523,Kavon Stewart made Layup.,50,49
9:46,2084,Foul on Nick Perkins.,50,49
9:46,2523,Kavon Stewart missed Free Throw.,50,49
9:46,2084,Blake Hamilton Defensive Rebound.,50,49
9:35,2084,Davonta Jordan missed Layup.,50,49
9:35,2523,Aaron Tate Defensive Rebound.,50,49
9:27,2523,Kavon Stewart Turnover.,50,49
9:26,2084,Davonta Jordan Steal.,50,49
9:23,2084,Blake Hamilton made Layup.,52,49
9:23,2523,Foul on Aaron Tate.,52,49
9:23,2084,Blake Hamilton made Free Throw.,53,49
9:09,2523,Lorenzen Wright Jr. Turnover.,53,49
9:09,2523,Foul on Lorenzen Wright Jr..,53,49
8:58,2523,Foul on Conrad Stephens.,53,49
8:58,2084,Willie Conner made Free Throw.,54,49
8:58,2084,Willie Conner missed Free Throw.,54,49
8:58,2084,Buffalo Deadball Team Rebound.,54,49
8:58,2084,Willie Conner missed Free Throw.,54,49
8:58,2523,Aaron Tate Defensive Rebound.,54,49
8:37,2523,Kavon Stewart made Three Point Jumper. Assisted by Lorenzen Wright Jr..,54,52
8:20,2084,Dontay Caruthers made Layup.,56,52
8:12,2084,Foul on Dontay Caruthers.,56,52
8:12,2523,Kavon Stewart made Free Throw.,56,53
8:12,2523,Kavon Stewart made Free Throw.,56,54
7:52,2084,Nick Perkins missed Jumper.,56,54
7:52,2523,Matty McConnell Defensive Rebound.,56,54
7:35,2523,Kavon Stewart missed Layup.,56,54
7:35,2084,Nick Perkins Defensive Rebound.,56,54
7:25,2084,Nick Perkins missed Layup.,56,54
7:25,2523,Kavon Stewart Defensive Rebound.,56,54
7:24,2084,Foul on James Jones.,56,54
7:24,2523,Official TV Timeout,56,54
7:24,2523,Kavon Stewart missed Free Throw.,56,54
7:24,2084,Nick Perkins Defensive Rebound.,56,54
7:09,2084,Blake Hamilton Turnover.,56,54
7:08,2523,Matty McConnell Steal.,56,54
7:08,2084,Foul on Blake Hamilton.,56,54
7:08,2523,Matty McConnell missed Free Throw.,56,54
7:08,2523,Robert Morris Deadball Team Rebound.,56,54
7:08,2523,Matty McConnell made Free Throw.,56,55
6:55,2084,Willie Conner missed Three Point Jumper.,56,55
6:55,2523,Roberto Mantovani Defensive Rebound.,56,55
6:45,2523,Dachon Burke missed Three Point Jumper.,56,55
6:45,2084,Raheem Johnson Defensive Rebound.,56,55
6:37,2084,Blake Hamilton missed Layup.,56,55
6:37,2523,Dachon Burke Block.,56,55
6:34,2523,Dachon Burke Defensive Rebound.,56,55
6:33,2084,Foul on Raheem Johnson.,56,55
6:33,2523,Dachon Burke made Free Throw.,56,56
6:33,2523,Dachon Burke made Free Throw.,56,57
6:20,2084,CJ Massinburg made Three Point Jumper. Assisted by Willie Conner.,59,57
5:56,2523,Dachon Burke missed Jumper.,59,57
5:56,2084,Nick Perkins Defensive Rebound.,59,57
5:52,2084,Nick Perkins Turnover.,59,57
5:42,2084,Foul on Willie Conner.,59,57
5:42,2523,Aaron Tate missed Free Throw.,59,57
5:42,2523,Robert Morris Deadball Team Rebound.,59,57
5:42,2523,Aaron Tate made Free Throw.,59,58
5:30,2084,Dontay Caruthers Turnover.,59,58
5:30,2523,Dachon Burke Steal.,59,58
5:30,2523,Robert Morris  Timeout,59,58
5:09,2523,Kavon Stewart missed Layup.,59,58
5:09,2084,Nick Perkins Defensive Rebound.,59,58
5:00,2084,Blake Hamilton missed Jumper.,59,58
5:00,2523,Dachon Burke Defensive Rebound.,59,58
4:58,2084,Foul on Raheem Johnson.,59,58
4:58,2523,Dachon Burke made Free Throw.,59,59
4:58,2523,Dachon Burke made Free Throw.,59,60
4:40,2084,CJ Massinburg made Jumper.,61,60
4:39,2523,Foul on Kavon Stewart.,61,60
4:39,2084,CJ Massinburg made Free Throw.,62,60
4:24,2084,Foul on Blake Hamilton.,62,60
4:24,2523,Braden Burke missed Free Throw.,62,60
4:24,2523,Robert Morris Deadball Team Rebound.,62,60
4:24,2523,Braden Burke missed Free Throw.,62,60
4:24,2084,Quate McKinzie Defensive Rebound.,62,60
4:07,2084,CJ Massinburg missed Three Point Jumper.,62,60
4:07,2523,Matty McConnell Defensive Rebound.,62,60
3:57,2523,Matty McConnell missed Three Point Jumper.,62,60
3:57,2084,CJ Massinburg Defensive Rebound.,62,60
3:37,2084,CJ Massinburg Turnover.,62,60
3:37,2523,Official TV Timeout,62,60
3:14,2523,Braden Burke made Jumper. Assisted by Kavon Stewart.,62,62
2:50,2084,Willie Conner missed Three Point Jumper.,62,62
2:50,2084,Blake Hamilton Offensive Rebound.,62,62
2:45,2084,Blake Hamilton missed Layup.,62,62
2:45,2523,Dachon Burke Defensive Rebound.,62,62
2:15,2084,Foul on Quate McKinzie.,62,62
2:15,2523,Aaron Tate made Free Throw.,62,63
2:15,2523,Aaron Tate made Free Throw.,62,64
2:04,2523,Matty McConnell Block.,62,64
2:04,2084,Willie Conner missed Three Point Jumper.,62,64
2:04,2523,Braden Burke Defensive Rebound.,62,64
1:32,2084,Foul on Davonta Jordan.,62,64
1:32,2523,Kavon Stewart made Free Throw.,62,65
1:32,2523,Kavon Stewart made Free Throw.,62,66
1:19,2084,Nick Perkins Turnover.,62,66
1:17,2523,Aaron Tate Steal.,62,66
1:01,2523,Aaron Tate made Dunk. Assisted by Kavon Stewart.,62,68
0:54,2523,Foul on Matty McConnell.,62,68
0:54,2523,Robert Morris  Timeout,62,68
0:54,2084,Blake Hamilton made Free Throw.,63,68
0:54,2084,Blake Hamilton made Free Throw.,64,68
0:54,2084,Foul on CJ Massinburg.,64,68
0:54,2523,Kavon Stewart missed Free Throw.,64,68
0:54,2523,Robert Morris Deadball Team Rebound.,64,68
0:54,2523,Kavon Stewart made Free Throw.,64,69
0:44,2084,Blake Hamilton made Three Point Jumper.,67,69
0:43,2084,Buffalo  Timeout,67,69
0:41,2084,Foul on Blake Hamilton.,67,69
0:41,2523,Braden Burke made Free Throw.,67,70
0:41,2523,Braden Burke missed Free Throw.,67,70
0:41,2084,Blake Hamilton Defensive Rebound.,67,70
0:33,2523,Foul on Dachon Burke.,67,70
0:33,2084,Blake Hamilton made Free Throw.,68,70
0:33,2084,Blake Hamilton made Free Throw.,69,70
0:26,2523,Kavon Stewart Turnover.,69,70
0:25,2084,Dontay Caruthers Steal.,69,70
0:25,2084,Buffalo  Timeout,69,70
0:23,2084,CJ Massinburg missed Layup.,69,70
0:23,2523,Kavon Stewart Defensive Rebound.,69,70
0:19,2084,Foul on Blake Hamilton.,69,70
0:19,2523,Kavon Stewart made Free Throw.,69,71
0:19,2523,Kavon Stewart made Free Throw.,69,72
0:11,2523,Foul on Matty McConnell.,69,72
0:11,2084,Blake Hamilton made Free Throw.,70,72
0:11,2084,Blake Hamilton made Free Throw.,71,72
0:09,2084,Foul on Dontay Caruthers.,71,72
0:09,2523,Clive Allen made Free Throw.,71,73
0:09,2523,Clive Allen made Free Throw.,71,74
0:03,2084,Blake Hamilton missed Three Point Jumper.,71,74
0:03,2523,Aaron Tate Defensive Rebound.,71,74
0:00,2523,End of Game,71,74
