Norfolk State,2509,Purdue,2450
5:53,2509,Purdue Deadball Team Rebound.,37,75
5:53,2509,Caleb Swanigan made Free Throw.,37,76
5:28,2450,Carrington Ward missed Jumper.,37,76
5:28,2509,Caleb Swanigan Defensive Rebound.,37,76
5:21,2509,Vince Edwards made Three Point Jumper.,37,79
4:57,2450,Micah Goss made Jumper.,39,79
4:41,2509,Basil Smotherman made Jumper. Assisted by Ryan Cline.,39,81
4:37,2450,Jonathan Wade made Layup.,41,81
4:37,2450,Norfolk St  Timeout,41,81
4:15,2509,Ryan Cline missed Three Point Jumper.,41,81
4:15,2509,Caleb Swanigan Offensive Rebound.,41,81
4:11,2509,Caleb Swanigan made Layup.,41,83
3:58,2509,Foul on Caleb Swanigan.,41,83
3:58,2509,Official TV Timeout,41,83
3:43,2450,Carrington Ward missed Jumper.,41,83
3:43,2509,Isaac Haas Block.,41,83
3:42,2509,Vince Edwards Defensive Rebound.,41,83
3:36,2509,Grady Eifert made Layup. Assisted by Ryan Cline.,41,85
3:35,2450,Foul on Stavian Allen.,41,85
3:35,2509,Grady Eifert made Free Throw.,41,86
3:26,2509,Foul on Grady Eifert.,41,86
3:26,2450,Micah Goss missed Free Throw.,41,86
3:26,2450,Jonathan Wade Offensive Rebound.,41,86
3:19,2450,Jonathan Wade Turnover.,41,86
3:16,2509,Vince Edwards made Dunk. Assisted by Basil Smotherman.,41,88
2:54,2450,Alex Brown missed Three Point Jumper.,41,88
2:54,2509,Basil Smotherman Defensive Rebound.,41,88
2:44,2509,Grady Eifert missed Jumper.,41,88
2:44,2509,Isaac Haas Offensive Rebound.,41,88
2:41,2509,Isaac Haas made Two Point Tip Shot.,41,90
2:27,2450,Jonathan Wade made Layup.,43,90
1:54,2509,Purdue  Turnover.,43,90
1:30,2450,Alex Brown made Layup. Assisted by Kyle Williams.,45,90
1:14,2509,Tommy Luce Turnover.,45,90
1:13,2450,Kerwin Okoro Steal.,45,90
1:11,2450,Kerwin Okoro missed Layup.,45,90
1:11,2450,Norfolk St Offensive Rebound.,45,90
1:05,2450,Kerwin Okoro missed Jumper.,45,90
1:05,2450,Kerwin Okoro Offensive Rebound.,45,90
1:01,2450,Kerwin Okoro missed Jumper.,45,90
1:01,2450,Norfolk St Offensive Rebound.,45,90
0:50,2450,Alex Brown Turnover.,45,90
0:48,2509,Jon McKeeman Steal.,45,90
0:46,2509,Jon McKeeman missed Jumper.,45,90
0:46,2509,Grady Eifert Offensive Rebound.,45,90
0:44,2450,Foul on Alex Brown.,45,90
0:44,2509,Grady Eifert missed Free Throw.,45,90
0:44,2509,Purdue Deadball Team Rebound.,45,90
0:44,2509,Grady Eifert made Free Throw.,45,91
0:22,2450,Kerwin Okoro missed Jumper.,45,91
0:22,2509,Grady Eifert Defensive Rebound.,45,91
0:00,2509,End of Game,45,91
