Kentucky,97,Louisville,96
1:02,97,Quentin Snider made Jumper.,40,37
0:46,96,De'Aaron Fox missed Jumper.,40,37
0:46,97,Jaylen Johnson Defensive Rebound.,40,37
0:24,97,Quentin Snider made Jumper.,40,39
0:02,96,Derek Willis missed Three Point Jumper.,40,39
0:02,97,Jaylen Johnson Defensive Rebound.,40,39
0:00,97,End of 1st half,40,39
20:00,97,Jump Ball won by Louisville,40,39
19:49,96,Foul on Isaiah Briscoe.,40,39
19:49,97,Donovan Mitchell missed Free Throw.,40,39
19:49,97,Louisville Deadball Team Rebound.,40,39
19:49,97,Donovan Mitchell made Free Throw.,40,40
19:33,96,Malik Monk missed Three Point Jumper.,40,40
19:33,96,Wenyen Gabriel Offensive Rebound.,40,40
19:21,97,Foul on Jaylen Johnson.,40,40
19:14,96,De'Aaron Fox Turnover.,40,40
19:14,97,Quentin Snider Steal.,40,40
18:50,97,Jaylen Johnson missed Jumper.,40,40
18:50,96,Wenyen Gabriel Defensive Rebound.,40,40
18:47,96,Wenyen Gabriel missed Three Point Jumper.,40,40
18:47,96,Edrice Adebayo Offensive Rebound.,40,40
18:43,97,Foul on Donovan Mitchell.,40,40
18:35,96,De'Aaron Fox missed Jumper.,40,40
18:35,97,Mangok Mathiang Defensive Rebound.,40,40
18:15,97,David Levitch missed Layup.,40,40
18:15,97,Jaylen Johnson Offensive Rebound.,40,40
18:15,97,Jaylen Johnson made Two Point Tip Shot.,40,42
17:39,96,Edrice Adebayo Turnover.,40,42
17:24,97,Quentin Snider missed Jumper.,40,42
17:24,96,Edrice Adebayo Block.,40,42
17:24,97,Quentin Snider Offensive Rebound.,40,42
17:18,97,Mangok Mathiang missed Layup.,40,42
17:18,96,Wenyen Gabriel Block.,40,42
17:18,96,Malik Monk Defensive Rebound.,40,42
17:14,96,Malik Monk made Layup.,42,42
17:14,97,Foul on Deng Adel.,42,42
17:14,96,Malik Monk made Free Throw.,43,42
17:00,96,Foul on De'Aaron Fox.,43,42
16:50,97,Jaylen Johnson made Layup.,43,44
16:34,96,De'Aaron Fox Turnover.,43,44
16:25,97,David Levitch missed Jumper.,43,44
16:25,97,David Levitch Offensive Rebound.,43,44
16:20,96,Foul on Isaiah Briscoe.,43,44
16:20,97,David Levitch missed Free Throw.,43,44
16:20,97,Louisville Deadball Team Rebound.,43,44
16:20,97,David Levitch missed Free Throw.,43,44
16:20,96,Isaiah Briscoe Defensive Rebound.,43,44
16:04,96,Derek Willis missed Three Point Jumper.,43,44
16:04,97,Deng Adel Defensive Rebound.,43,44
15:56,97,Quentin Snider made Three Point Jumper. Assisted by Deng Adel.,43,47
15:36,97,Foul on Ray Spalding.,43,47
15:36,97,Official TV Timeout,43,47
15:26,97,Foul on Jaylen Johnson.,43,47
15:26,96,De'Aaron Fox made Free Throw.,44,47
15:26,96,De'Aaron Fox missed Free Throw.,44,47
15:26,96,Derek Willis Offensive Rebound.,44,47
15:24,96,Derek Willis Turnover.,44,47
15:08,97,Quentin Snider made Jumper.,44,49
14:47,96,Malik Monk missed Three Point Jumper.,44,49
14:47,97,Mangok Mathiang Defensive Rebound.,44,49
14:27,96,Foul on De'Aaron Fox.,44,49
14:14,97,Deng Adel missed Jumper.,44,49
14:14,96,De'Aaron Fox Defensive Rebound.,44,49
14:08,96,Isaiah Briscoe made Layup. Assisted by De'Aaron Fox.,46,49
13:45,97,Anas Mahmoud Turnover.,46,49
13:16,96,Isaiah Briscoe missed Jumper.,46,49
13:16,97,Quentin Snider Defensive Rebound.,46,49
12:54,96,Foul on Isaiah Briscoe.,46,49
12:54,97,Deng Adel made Free Throw.,46,50
12:54,97,Deng Adel made Free Throw.,46,51
12:32,96,Edrice Adebayo made Dunk.,48,51
12:15,96,Kentucky  Timeout,48,51
12:03,97,Quentin Snider missed Jumper.,48,51
12:03,96,Edrice Adebayo Block.,48,51
12:03,96,Edrice Adebayo Defensive Rebound.,48,51
11:41,96,Malik Monk missed Jumper.,48,51
11:41,97,Ray Spalding Defensive Rebound.,48,51
11:18,97,Deng Adel missed Jumper.,48,51
11:18,96,Derek Willis Defensive Rebound.,48,51
11:01,96,Mychal Mulder made Three Point Jumper. Assisted by Edrice Adebayo.,51,51
10:39,97,Deng Adel made Layup.,51,53
10:31,96,Edrice Adebayo made Dunk. Assisted by Malik Monk.,53,53
10:13,97,Ray Spalding missed Layup.,53,53
10:13,96,Derek Willis Defensive Rebound.,53,53
10:09,97,Foul on David Levitch.,53,53
10:09,97,Official TV Timeout,53,53
9:59,96,Foul on Malik Monk.,53,53
9:59,96,Malik Monk Turnover.,53,53
9:39,97,Deng Adel missed Jumper.,53,53
9:39,96,Malik Monk Defensive Rebound.,53,53
9:28,96,Malik Monk Turnover.,53,53
9:28,97,Jaylen Johnson Steal.,53,53
9:24,97,Quentin Snider Turnover.,53,53
9:24,96,De'Aaron Fox Steal.,53,53
9:16,96,Malik Monk missed Jumper.,53,53
9:16,97,Jaylen Johnson Block.,53,53
9:16,96,Edrice Adebayo Offensive Rebound.,53,53
8:57,96,Edrice Adebayo missed Jumper.,53,53
8:57,96,Derek Willis Offensive Rebound.,53,53
8:48,96,Kentucky  Turnover.,53,53
8:31,97,Donovan Mitchell Turnover.,53,53
8:17,96,De'Aaron Fox made Layup.,55,53
7:58,97,Quentin Snider missed Jumper.,55,53
7:58,96,Isaiah Briscoe Defensive Rebound.,55,53
7:39,96,Derek Willis missed Three Point Jumper.,55,53
7:39,97,Deng Adel Defensive Rebound.,55,53
7:26,97,Jaylen Johnson Turnover.,55,53
7:26,96,Derek Willis Steal.,55,53
7:18,97,Foul on Mangok Mathiang.,55,53
7:18,97,Official TV Timeout,55,53
7:18,96,Edrice Adebayo missed Free Throw.,55,53
7:18,96,Kentucky Deadball Team Rebound.,55,53
7:18,96,Edrice Adebayo missed Free Throw.,55,53
7:18,97,Jaylen Johnson Defensive Rebound.,55,53
7:01,97,Jaylen Johnson missed Jumper.,55,53
7:01,96,Malik Monk Defensive Rebound.,55,53
6:54,96,Malik Monk made Layup.,57,53
6:37,97,Jaylen Johnson made Jumper. Assisted by Quentin Snider.,57,55
6:36,96,Foul on Wenyen Gabriel.,57,55
6:36,97,Jaylen Johnson missed Free Throw.,57,55
6:36,96,Isaiah Briscoe Defensive Rebound.,57,55
6:27,96,De'Aaron Fox missed Jumper.,57,55
6:27,97,Mangok Mathiang Block.,57,55
6:27,97,Deng Adel Defensive Rebound.,57,55
6:25,96,Foul on Edrice Adebayo.,57,55
6:25,97,Deng Adel made Free Throw.,57,56
6:25,97,Deng Adel made Free Throw.,57,57
6:17,96,Malik Monk missed Jumper.,57,57
6:17,97,Donovan Mitchell Defensive Rebound.,57,57
6:11,97,Donovan Mitchell made Layup.,57,59
6:02,96,Malik Monk missed Three Point Jumper.,57,59
6:02,97,Mangok Mathiang Defensive Rebound.,57,59
5:40,97,Deng Adel made Layup. Assisted by Quentin Snider.,57,61
5:33,96,Kentucky  Timeout,57,61
5:20,96,Malik Monk made Jumper.,59,61
4:58,97,Donovan Mitchell missed Jumper.,59,61
4:58,96,Derek Willis Defensive Rebound.,59,61
4:51,96,Malik Monk Turnover.,59,61
4:51,97,Quentin Snider Steal.,59,61
4:28,96,Foul on Edrice Adebayo.,59,61
4:28,97,Donovan Mitchell made Free Throw.,59,62
4:28,97,Donovan Mitchell made Free Throw.,59,63
4:12,97,Foul on Quentin Snider.,59,63
4:12,96,Isaiah Briscoe made Free Throw.,60,63
4:12,96,Isaiah Briscoe made Free Throw.,61,63
3:47,97,Donovan Mitchell missed Jumper.,61,63
3:47,97,Deng Adel Offensive Rebound.,61,63
3:42,97,Quentin Snider missed Three Point Jumper.,61,63
3:42,97,Anas Mahmoud Offensive Rebound.,61,63
3:37,97,Jaylen Johnson made Dunk. Assisted by Deng Adel.,61,65
3:13,97,Foul on Deng Adel.,61,65
3:13,97,Official TV Timeout,61,65
3:13,96,De'Aaron Fox missed Free Throw.,61,65
3:13,96,Kentucky Deadball Team Rebound.,61,65
3:13,96,De'Aaron Fox made Free Throw.,62,65
2:46,97,Quentin Snider made Jumper.,62,67
2:34,97,Foul on Deng Adel.,62,67
2:34,96,Edrice Adebayo missed Free Throw.,62,67
2:34,96,Kentucky Deadball Team Rebound.,62,67
2:34,96,Edrice Adebayo missed Free Throw.,62,67
2:34,97,Mangok Mathiang Defensive Rebound.,62,67
2:14,97,Donovan Mitchell missed Three Point Jumper.,62,67
2:13,96,Edrice Adebayo Defensive Rebound.,62,67
2:12,97,Foul on Mangok Mathiang.,62,67
2:12,96,Edrice Adebayo missed Free Throw.,62,67
2:12,96,Kentucky Deadball Team Rebound.,62,67
2:12,96,Edrice Adebayo made Free Throw.,63,67
1:46,97,Quentin Snider made Layup.,63,69
1:36,96,Kentucky  Timeout,63,69
1:36,96,Malik Monk missed Three Point Jumper.,63,69
1:36,97,Quentin Snider Defensive Rebound.,63,69
1:05,97,Donovan Mitchell missed Jumper.,63,69
1:05,96,Derek Willis Defensive Rebound.,63,69
0:58,96,De'Aaron Fox made Layup.,65,69
0:58,97,Foul on Quentin Snider.,65,69
0:58,96,De'Aaron Fox made Free Throw.,66,69
0:46,97,Deng Adel Turnover.,66,69
0:46,96,Malik Monk Steal.,66,69
0:42,97,Foul on Mangok Mathiang.,66,69
0:42,96,Derek Willis missed Free Throw.,66,69
0:42,96,Kentucky Deadball Team Rebound.,66,69
0:42,96,Derek Willis made Free Throw.,67,69
0:20,97,Donovan Mitchell missed Jumper.,67,69
0:20,97,Jaylen Johnson Offensive Rebound.,67,69
0:17,97,Jaylen Johnson made Layup.,67,71
0:11,96,Malik Monk made Three Point Jumper. Assisted by Isaiah Briscoe.,70,71
0:11,96,Kentucky  Timeout,70,71
0:09,96,Foul on Malik Monk.,70,71
0:09,97,Donovan Mitchell made Free Throw.,70,72
0:09,97,Donovan Mitchell made Free Throw.,70,73
0:09,97,Louisville  Timeout,70,73
0:04,96,Malik Monk missed Three Point Jumper.,70,73
0:04,97,Deng Adel Defensive Rebound.,70,73
0:00,97,End of Game,70,73
