Clemson,2579,South Carolina,228
14:23,228,Clemson Deadball Team Rebound.,37,35
14:23,228,Gabe DeVoe missed Free Throw.,37,35
14:23,2579,Justin McKie Defensive Rebound.,37,35
13:51,2579,South Carolina  Turnover.,37,35
13:32,228,Marcquise Reed missed Jumper.,37,35
13:32,2579,PJ Dozier Defensive Rebound.,37,35
13:25,2579,Maik Kotsar made Layup. Assisted by PJ Dozier.,37,37
12:57,228,Jaron Blossomgame Turnover.,37,37
12:57,2579,Hassani Gravett Steal.,37,37
12:33,228,Foul on Sidy Djitte.,37,37
12:29,2579,PJ Dozier missed Three Point Jumper.,37,37
12:29,2579,Maik Kotsar Offensive Rebound.,37,37
12:11,2579,Maik Kotsar missed Jumper.,37,37
12:11,2579,South Carolina Deadball Team Rebound.,37,37
12:07,228,Foul on Gabe DeVoe.,37,37
12:07,2579,Chris Silva made Free Throw.,37,38
12:07,2579,Chris Silva made Free Throw.,37,39
11:52,228,Shelton Mitchell missed Jumper.,37,39
11:52,2579,Justin McKie Defensive Rebound.,37,39
11:29,2579,Hassani Gravett missed Jumper.,37,39
11:29,2579,South Carolina Deadball Team Rebound.,37,39
11:25,228,Foul on Shelton Mitchell.,37,39
11:25,2579,Official TV Timeout,37,39
11:25,2579,Khadim Gueye made Free Throw.,37,40
11:25,2579,Khadim Gueye missed Free Throw.,37,40
11:25,228,Elijah Thomas Defensive Rebound.,37,40
11:02,2579,Foul on Maik Kotsar.,37,40
11:02,228,Marcquise Reed made Free Throw.,38,40
11:02,228,Marcquise Reed made Free Throw.,39,40
10:39,2579,PJ Dozier missed Layup.,39,40
10:39,2579,South Carolina Deadball Team Rebound.,39,40
10:38,228,Foul on Elijah Thomas.,39,40
10:38,2579,Chris Silva Turnover.,39,40
10:38,2579,Foul on Chris Silva.,39,40
10:29,228,Gabe DeVoe missed Jumper.,39,40
10:29,228,Marcquise Reed Offensive Rebound.,39,40
10:24,228,Marcquise Reed made Jumper.,41,40
10:12,2579,Maik Kotsar missed Jumper.,41,40
10:12,2579,Chris Silva Offensive Rebound.,41,40
10:12,2579,Chris Silva made Two Point Tip Shot.,41,42
9:48,228,Donte Grantham missed Three Point Jumper.,41,42
9:48,2579,Justin McKie Defensive Rebound.,41,42
9:40,228,Foul on Jaron Blossomgame.,41,42
9:40,2579,Justin McKie made Free Throw.,41,43
9:40,2579,Justin McKie missed Free Throw.,41,43
9:40,2579,Maik Kotsar Offensive Rebound.,41,43
9:12,2579,PJ Dozier missed Layup.,41,43
9:12,228,Sidy Djitte Defensive Rebound.,41,43
9:04,228,Marcquise Reed made Jumper.,43,43
8:39,2579,Chris Silva made Layup. Assisted by PJ Dozier.,43,45
8:39,228,Foul on Sidy Djitte.,43,45
8:39,2579,Chris Silva made Free Throw.,43,46
8:28,228,Marcquise Reed missed Three Point Jumper.,43,46
8:28,228,Gabe DeVoe Offensive Rebound.,43,46
8:20,2579,Foul on Duane Notice.,43,46
8:17,2579,Foul on Khadim Gueye.,43,46
8:17,228,Jaron Blossomgame missed Free Throw.,43,46
8:17,228,Clemson Deadball Team Rebound.,43,46
8:17,228,Jaron Blossomgame made Free Throw.,44,46
7:56,2579,Justin McKie missed Jumper.,44,46
7:56,228,Jaron Blossomgame Defensive Rebound.,44,46
7:40,2579,Foul on Khadim Gueye.,44,46
7:40,2579,Official TV Timeout,44,46
7:40,228,Elijah Thomas missed Free Throw.,44,46
7:40,228,Clemson Deadball Team Rebound.,44,46
7:40,228,Elijah Thomas made Free Throw.,45,46
7:21,2579,Chris Silva missed Jumper.,45,46
7:21,2579,South Carolina Offensive Rebound.,45,46
7:14,2579,Duane Notice missed Three Point Jumper.,45,46
7:14,228,Clemson Deadball Team Rebound.,45,46
7:00,228,Donte Grantham Turnover.,45,46
7:00,2579,PJ Dozier Steal.,45,46
6:41,2579,PJ Dozier missed Jumper.,45,46
6:41,228,Donte Grantham Defensive Rebound.,45,46
6:29,228,Jaron Blossomgame made Dunk.,47,46
6:29,228,Technical Foul on Jaron Blossomgame.,47,46
6:29,2579,PJ Dozier made Free Throw.,47,47
6:09,2579,PJ Dozier Turnover.,47,47
5:54,228,Jaron Blossomgame missed Three Point Jumper.,47,47
5:54,2579,Duane Notice Defensive Rebound.,47,47
5:46,2579,Duane Notice Turnover.,47,47
5:46,228,Marcquise Reed Steal.,47,47
5:41,228,Marcquise Reed made Layup.,49,47
5:33,2579,PJ Dozier made Layup.,49,49
5:22,228,Jaron Blossomgame missed Three Point Jumper.,49,49
5:22,2579,Maik Kotsar Defensive Rebound.,49,49
4:50,228,Foul on Jaron Blossomgame.,49,49
4:50,2579,Chris Silva made Free Throw.,49,50
4:50,2579,Chris Silva made Free Throw.,49,51
4:40,228,Shelton Mitchell Turnover.,49,51
4:27,228,Foul on Elijah Thomas.,49,51
4:27,2579,Chris Silva made Free Throw.,49,52
4:27,2579,Chris Silva missed Free Throw.,49,52
4:27,228,Clemson Deadball Team Rebound.,49,52
4:26,2579,Foul on Chris Silva.,49,52
4:26,228,Jaron Blossomgame made Free Throw.,50,52
4:26,228,Jaron Blossomgame missed Free Throw.,50,52
4:26,2579,Sedee Keita Defensive Rebound.,50,52
4:16,2579,PJ Dozier missed Jumper.,50,52
4:16,2579,PJ Dozier Offensive Rebound.,50,52
4:10,2579,PJ Dozier made Layup.,50,54
4:02,228,Marcquise Reed made Jumper.,52,54
3:32,2579,Hassani Gravett Turnover.,52,54
3:32,228,Elijah Thomas Steal.,52,54
3:32,2579,Foul on Sedee Keita.,52,54
3:32,2579,Official TV Timeout,52,54
3:22,228,Elijah Thomas missed Layup.,52,54
3:22,2579,PJ Dozier Block.,52,54
3:22,2579,South Carolina Defensive Rebound.,52,54
3:08,2579,Maik Kotsar made Jumper. Assisted by PJ Dozier.,52,56
2:53,228,Elijah Thomas made Dunk. Assisted by Shelton Mitchell.,54,56
2:32,2579,PJ Dozier missed Three Point Jumper.,54,56
2:32,228,Clemson Defensive Rebound.,54,56
2:10,228,Jaron Blossomgame missed Layup.,54,56
2:10,228,Jaron Blossomgame Offensive Rebound.,54,56
1:59,2579,Foul on Chris Silva.,54,56
1:59,228,Elijah Thomas missed Free Throw.,54,56
1:59,228,Clemson Deadball Team Rebound.,54,56
1:59,228,Elijah Thomas made Free Throw.,55,56
1:44,2579,PJ Dozier made Layup.,55,58
1:29,228,Shelton Mitchell missed Layup.,55,58
1:29,228,Jaron Blossomgame Offensive Rebound.,55,58
1:29,228,Jaron Blossomgame made Two Point Tip Shot.,57,58
1:14,2579,South Carolina  Timeout,57,58
1:04,2579,PJ Dozier missed Jumper.,57,58
1:04,228,Sidy Djitte Defensive Rebound.,57,58
0:52,2579,Foul on Khadim Gueye.,57,58
0:52,228,Marcquise Reed made Free Throw.,58,58
0:52,228,Marcquise Reed made Free Throw.,59,58
0:38,2579,Justin McKie missed Three Point Jumper.,59,58
0:38,2579,Duane Notice Offensive Rebound.,59,58
0:32,2579,Hassani Gravett missed Three Point Jumper.,59,58
0:32,228,Marcquise Reed Defensive Rebound.,59,58
0:20,2579,Foul on Justin McKie.,59,58
0:20,228,Avry Holmes made Free Throw.,60,58
0:20,228,Avry Holmes made Free Throw.,61,58
0:20,228,Clemson  Timeout,61,58
0:09,228,Foul on Sidy Djitte.,61,58
0:09,2579,PJ Dozier made Free Throw.,61,59
0:09,2579,PJ Dozier made Free Throw.,61,60
0:09,2579,South Carolina  Timeout,61,60
0:09,2579,Foul on Duane Notice.,61,60
0:09,2579,South Carolina  Timeout,61,60
0:09,228,Avry Holmes missed Free Throw.,61,60
0:09,2579,PJ Dozier Defensive Rebound.,61,60
0:09,228,Avry Holmes made Free Throw.,62,60
0:04,2579,PJ Dozier missed Three Point Jumper.,62,60
0:04,228,Donte Grantham Defensive Rebound.,62,60
0:00,2579,End of Game,62,60
