North Florida,2229,Florida Intl,2454
3:10,2454,Dallas Moore missed Three Point Jumper.,19,37
3:10,2229,Eric Nottage Defensive Rebound.,19,37
2:44,2229,Eric Nottage missed Three Point Jumper.,19,37
2:44,2229,Florida International Offensive Rebound.,19,37
2:38,2454,Foul on Chris Davenport.,19,37
2:38,2229,Michael Kessens made Free Throw.,19,38
2:38,2229,Michael Kessens made Free Throw.,19,39
2:34,2229,Foul on Cameron Smith.,19,39
2:33,2454,Aaron Bodager Turnover.,19,39
2:31,2229,Eric Nottage Steal.,19,39
2:30,2229,Eric Nottage made Layup.,19,41
2:18,2454,Aaron Bodager made Three Point Jumper. Assisted by Dallas Moore.,22,41
1:56,2229,Hassan Hussein made Jumper.,22,43
1:29,2454,Chris Davenport Turnover.,22,43
1:29,2454,Foul on Chris Davenport.,22,43
1:11,2229,Hassan Hussein Turnover.,22,43
0:58,2229,Foul on Hassan Hussein.,22,43
0:58,2454,Romelo Banks made Free Throw.,23,43
0:58,2454,Romelo Banks missed Free Throw.,23,43
0:58,2229,Cameron Smith Defensive Rebound.,23,43
0:34,2229,Donte McGill missed Jumper.,23,43
0:34,2454,Dallas Moore Defensive Rebound.,23,43
0:17,2454,Dallas Moore made Jumper.,25,43
0:17,2229,Foul on Hassan Hussein.,25,43
0:17,2454,Dallas Moore made Free Throw.,26,43
0:07,2229,Donte McGill missed Three Point Jumper.,26,43
0:07,2229,Florida International Offensive Rebound.,26,43
0:03,2229,Hassan Hussein missed Three Point Jumper.,26,43
0:03,2454,Aaron Bodager Defensive Rebound.,26,43
0:00,2229,End of 1st half,26,43
19:47,2229,Cameron Smith Turnover.,26,43
19:46,2454,Garrett Sams Steal.,26,43
19:44,2454,Garrett Sams missed Layup.,26,43
19:44,2229,Cameron Smith Block.,26,43
19:42,2229,Donte McGill Defensive Rebound.,26,43
19:38,2229,Donte McGill missed Layup.,26,43
19:38,2454,Romelo Banks Block.,26,43
19:37,2229,Florida International Offensive Rebound.,26,43
19:14,2454,Foul on Romelo Banks.,26,43
19:14,2229,Cameron Smith made Free Throw.,26,44
19:14,2229,Cameron Smith made Free Throw.,26,45
18:59,2454,Dallas Moore made Jumper.,28,45
18:32,2229,Anthony Boswell missed Jumper.,28,45
18:32,2229,Cameron Smith Offensive Rebound.,28,45
18:11,2229,Michael Kessens made Layup. Assisted by Cameron Smith.,28,47
18:00,2454,Wajid Aminu Turnover.,28,47
17:59,2229,Kimar Williams Steal.,28,47
17:56,2229,Donte McGill Turnover.,28,47
17:55,2454,Garrett Sams Steal.,28,47
17:48,2454,Aaron Bodager made Three Point Jumper.,31,47
17:18,2229,Donte McGill missed Jumper.,31,47
17:18,2454,Dallas Moore Defensive Rebound.,31,47
17:11,2454,Garrett Sams missed Three Point Jumper.,31,47
17:11,2229,Michael Kessens Defensive Rebound.,31,47
16:52,2229,Donte McGill missed Layup.,31,47
16:52,2229,Donte McGill Offensive Rebound.,31,47
16:48,2229,Donte McGill made Jumper.,31,49
16:34,2454,Garrett Sams Turnover.,31,49
16:09,2229,Kimar Williams missed Jumper.,31,49
16:09,2454,Romelo Banks Defensive Rebound.,31,49
15:54,2229,Foul on Cameron Smith.,31,49
15:54,2229,Official TV Timeout,31,49
15:41,2454,Aaron Bodager missed Three Point Jumper.,31,49
15:41,2229,Cameron Smith Defensive Rebound.,31,49
15:29,2229,Cameron Smith Turnover.,31,49
15:27,2454,Dallas Moore Steal.,31,49
15:19,2229,Foul on Anthony Boswell.,31,49
15:17,2454,Chris Davenport made Jumper.,33,49
15:01,2229,Elmo Stephen made Jumper. Assisted by Donte McGill.,33,51
14:35,2454,Wajid Aminu missed Layup.,33,51
14:35,2229,Elmo Stephen Defensive Rebound.,33,51
14:16,2229,Elmo Stephen made Layup. Assisted by Michael Kessens.,33,53
14:07,2454,Dallas Moore missed Jumper.,33,53
14:07,2454,Nick Malonga Offensive Rebound.,33,53
14:04,2229,Foul on Anthony Boswell.,33,53
14:04,2454,Nick Malonga made Free Throw.,34,53
14:04,2454,Nick Malonga made Free Throw.,35,53
13:46,2229,Michael Kessens missed Jumper.,35,53
13:46,2454,Chris Davenport Defensive Rebound.,35,53
13:34,2229,Foul on Elmo Stephen.,35,53
13:31,2229,Foul on Kimar Williams.,35,53
13:28,2454,Dallas Moore Turnover.,35,53
13:20,2229,Donte McGill missed Jumper.,35,53
13:20,2454,North Florida Defensive Rebound.,35,53
13:02,2454,Nick Malonga made Layup.,37,53
12:34,2229,Kimar Williams made Layup. Assisted by Michael Kessens.,37,55
12:18,2454,Karlos Odum made Layup. Assisted by Chris Davenport.,39,55
12:18,2229,Foul on Michael Kessens.,39,55
12:18,2454,Karlos Odum made Free Throw.,40,55
12:06,2229,Donte McGill made Three Point Jumper. Assisted by Eric Nottage.,40,58
11:40,2454,Dallas Moore missed Three Point Jumper.,40,58
11:40,2454,North Florida Offensive Rebound.,40,58
11:38,2229,Foul on Michael Kessens.,40,58
11:38,2229,Official TV Timeout,40,58
11:38,2454,Romelo Banks missed Free Throw.,40,58
11:38,2229,Eric Nottage Defensive Rebound.,40,58
11:24,2229,Michael Kessens made Jumper.,40,60
10:58,2454,Garrett Sams missed Three Point Jumper.,40,60
10:58,2229,Eric Nottage Defensive Rebound.,40,60
10:38,2229,Elmo Stephen made Three Point Jumper. Assisted by Eric Lockett.,40,63
10:28,2454,North Florida  Timeout,40,63
10:04,2454,Garrett Sams Turnover.,40,63
10:03,2229,Eric Nottage Steal.,40,63
9:43,2229,Hassan Hussein missed Jumper.,40,63
9:43,2454,Aaron Bodager Defensive Rebound.,40,63
9:31,2229,Foul on Donte McGill.,40,63
9:31,2454,Romelo Banks missed Free Throw.,40,63
9:31,2229,Eric Lockett Defensive Rebound.,40,63
9:13,2229,Elmo Stephen missed Three Point Jumper.,40,63
9:13,2229,Eric Lockett Offensive Rebound.,40,63
9:08,2229,Michael Douglas made Jumper. Assisted by Eric Lockett.,40,65
8:52,2454,Dallas Moore Turnover.,40,65
8:50,2229,Hassan Hussein Steal.,40,65
8:26,2229,Eric Nottage made Layup.,40,67
8:08,2229,Foul on Michael Douglas.,40,67
8:08,2454,Garrett Sams made Free Throw.,41,67
8:08,2454,Garrett Sams made Free Throw.,42,67
7:42,2229,Eric Nottage missed Jumper.,42,67
7:42,2229,Hassan Hussein Offensive Rebound.,42,67
7:37,2229,Hassan Hussein missed Layup.,42,67
7:37,2454,Chris Davenport Block.,42,67
7:35,2454,Aaron Bodager Defensive Rebound.,42,67
7:30,2454,Garrett Sams missed Layup.,42,67
7:30,2229,Elmo Stephen Defensive Rebound.,42,67
7:25,2229,Hassan Hussein made Layup. Assisted by Elmo Stephen.,42,69
7:11,2229,Foul on Eric Lockett.,42,69
7:11,2229,Official TV Timeout,42,69
7:11,2454,Dallas Moore missed Free Throw.,42,69
7:11,2454,North Florida Deadball Team Rebound.,42,69
7:11,2454,Dallas Moore made Free Throw.,43,69
7:02,2229,Eric Lockett Turnover.,43,69
6:39,2454,Dallas Moore missed Layup.,43,69
6:39,2454,North Florida Offensive Rebound.,43,69
6:33,2454,Chris Davenport Turnover.,43,69
6:21,2229,Elmo Stephen made Layup. Assisted by Kimar Williams.,43,71
6:03,2454,Chris Davenport Turnover.,43,71
5:52,2229,Eric Nottage Turnover.,43,71
5:50,2454,Chris Davenport Steal.,43,71
5:47,2454,Aaron Bodager missed Three Point Jumper.,43,71
5:47,2454,Wajid Aminu Offensive Rebound.,43,71
5:43,2454,Wajid Aminu made Jumper.,45,71
5:43,2229,Foul on Michael Douglas.,45,71
5:43,2454,Wajid Aminu missed Free Throw.,45,71
5:43,2229,Michael Douglas Defensive Rebound.,45,71
5:26,2229,Michael Douglas Turnover.,45,71
5:13,2454,Dallas Moore missed Jumper.,45,71
5:13,2454,Wajid Aminu Offensive Rebound.,45,71
5:10,2454,Wajid Aminu missed Layup.,45,71
5:10,2229,Michael Kessens Block.,45,71
5:09,2229,Eric Nottage Defensive Rebound.,45,71
4:57,2229,Eric Nottage Turnover.,45,71
4:54,2454,Dallas Moore made Layup. Assisted by Aaron Horne.,47,71
4:53,2229,Foul on Eric Nottage.,47,71
4:53,2229,Florida International  Timeout,47,71
4:53,2454,Dallas Moore made Free Throw.,48,71
4:38,2454,Foul on Aaron Horne.,48,71
4:35,2454,Foul on Aaron Bodager.,48,71
4:35,2229,Donte McGill missed Free Throw.,48,71
4:35,2229,Florida International Deadball Team Rebound.,48,71
4:35,2229,Donte McGill made Free Throw.,48,72
4:21,2454,Aaron Horne made Three Point Jumper. Assisted by Chris Davenport.,51,72
3:55,2229,Donte McGill missed Three Point Jumper.,51,72
3:55,2454,Chris Davenport Defensive Rebound.,51,72
3:49,2229,Official TV Timeout,51,72
3:30,2454,Dallas Moore missed Jumper.,51,72
3:30,2229,Donte McGill Defensive Rebound.,51,72
3:00,2229,Kimar Williams missed Layup.,51,72
3:00,2454,Wajid Aminu Defensive Rebound.,51,72
2:52,2454,Chris Davenport Turnover.,51,72
2:51,2229,Kimar Williams Steal.,51,72
2:47,2229,Kimar Williams made Layup.,51,74
2:27,2454,Aaron Bodager made Jumper.,53,74
2:04,2229,Michael Kessens missed Jumper.,53,74
2:04,2229,Donte McGill Offensive Rebound.,53,74
2:00,2229,Donte McGill made Layup.,53,76
1:45,2229,Foul on Donte McGill.,53,76
1:45,2454,Karlos Odum made Free Throw.,54,76
1:45,2454,Karlos Odum missed Free Throw.,54,76
1:45,2229,Kimar Williams Defensive Rebound.,54,76
1:20,2229,Michael Kessens made Layup.,54,78
0:55,2454,Karlos Odum missed Layup.,54,78
0:55,2229,Hassan Hussein Defensive Rebound.,54,78
0:39,2229,Eric Nottage missed Three Point Jumper.,54,78
0:39,2454,Aaron Horne Block.,54,78
0:36,2229,Eric Nottage Offensive Rebound.,54,78
0:33,2229,Eric Nottage missed Layup.,54,78
0:33,2229,Eric Lockett Offensive Rebound.,54,78
0:03,2229,Florida International  Turnover.,54,78
0:00,2229,End of Game,54,78
