Bethune-Cookman,2116,UCF,2065
1:38,2116,Nathan Laing missed Three Point Jumper.,39,68
1:38,2065,Ulmer Manzie Defensive Rebound.,39,68
1:24,2065,Danny Harris missed Three Point Jumper.,39,68
1:24,2116,Djordjije Mumin Defensive Rebound.,39,68
0:55,2116,Anthony Catotti made Layup. Assisted by Nathan Laing.,39,70
0:49,2065,Danny Harris Turnover.,39,70
0:49,2065,Foul on Danny Harris.,39,70
0:35,2065,Foul on Jamal Gaines.,39,70
0:35,2116,Djordjije Mumin missed Free Throw.,39,70
0:35,2116,UCF Deadball Team Rebound.,39,70
0:35,2116,Djordjije Mumin made Free Throw.,39,71
0:25,2065,Danny Harris made Layup.,41,71
