Buffalo,Error,Alaska Anchorage,2084
9:14,2084,Willie Conner made Jumper. Assisted by Davonta Jordan.,18,14
8:45,2084,Foul on Nikola Rakicevic.,18,14
8:45,1,Augustus Simmers made Free Throw.,18,15
8:45,1,Augustus Simmers made Free Throw.,18,16
8:45,1,Augustus Simmers made Free Throw.,18,17
8:32,2084,Raheem Johnson made Layup. Assisted by Willie Conner.,20,17
8:07,1,Augustus Simmers made Layup. Assisted by Corey Hammell.,20,19
7:51,2084,Nick Perkins made Layup. Assisted by Willie Conner.,22,19
7:38,1,Sekou Wiggs missed Layup.,22,19
7:38,2084,Davonta Jordan Defensive Rebound.,22,19
7:34,1,Foul on Augustus Simmers.,22,19
7:34,1,Official TV Timeout,22,19
6:51,2084,Buffalo  Turnover.,22,19
6:28,1,Sekou Wiggs missed Layup.,22,19
6:28,2084,Raheem Johnson Block.,22,19
6:25,2084,Dontay Caruthers Defensive Rebound.,22,19
6:20,2084,Blake Hamilton made Layup. Assisted by Willie Conner.,24,19
6:00,2084,Foul on Willie Conner.,24,19
6:00,1,Sekou Wiggs made Free Throw.,24,20
6:00,1,Sekou Wiggs missed Free Throw.,24,20
6:00,2084,Raheem Johnson Defensive Rebound.,24,20
5:40,2084,Raheem Johnson made Layup. Assisted by Blake Hamilton.,26,20
5:31,1,Sekou Wiggs missed Three Point Jumper.,26,20
5:31,1,Connor Devine Offensive Rebound.,26,20
5:25,1,Foul on Diante Mitchell.,26,20
5:25,1,Diante Mitchell Turnover.,26,20
5:16,2084,Willie Conner Turnover.,26,20
4:54,1,Diante Mitchell Turnover.,26,20
4:53,2084,Davonta Jordan Steal.,26,20
4:51,2084,Davonta Jordan made Layup.,28,20
4:27,1,Augustus Simmers made Jumper.,28,22
4:08,2084,Blake Hamilton made Jumper.,30,22
3:52,1,Sekou Wiggs missed Three Point Jumper.,30,22
3:52,2084,Buffalo Deadball Team Rebound.,30,22
3:49,1,Foul on Connor Devine.,30,22
3:49,1,Official TV Timeout,30,22
3:41,2084,Foul on Raheem Johnson.,30,22
3:41,2084,Raheem Johnson Turnover.,30,22
3:11,1,Travis Parrish missed Three Point Jumper.,30,22
3:11,2084,Davonta Jordan Defensive Rebound.,30,22
3:01,2084,Blake Hamilton missed Layup.,30,22
3:01,1,Spencer Svejcar Defensive Rebound.,30,22
2:43,1,Spencer Svejcar made Three Point Jumper. Assisted by Diante Mitchell.,30,25
2:21,1,Foul on Travis Parrish.,30,25
2:17,2084,Willie Conner made Jumper. Assisted by Davonta Jordan.,32,25
2:09,2084,Foul on Ikenna Smart.,32,25
2:09,1,Connor Devine made Free Throw.,32,26
2:09,1,Connor Devine made Free Throw.,32,27
1:52,2084,Davonta Jordan Turnover.,32,27
1:34,1,Spencer Svejcar Turnover.,32,27
1:21,2084,Blake Hamilton made Three Point Jumper.,35,27
1:07,2084,Foul on Dontay Caruthers.,35,27
1:07,1,Diante Mitchell missed Free Throw.,35,27
1:07,1,Corey Hammell Offensive Rebound.,35,27
1:05,2084,Foul on Nick Perkins.,35,27
1:05,1,Corey Hammell made Free Throw.,35,28
1:05,1,Corey Hammell made Free Throw.,35,29
0:52,2084,Foul on Blake Hamilton.,35,29
0:52,2084,Blake Hamilton Turnover.,35,29
0:49,2084,Foul on David Kadiri.,35,29
0:45,1,Connor Devine made Free Throw.,35,30
0:45,1,Connor Devine missed Free Throw.,35,30
0:45,1,Alaska Anchorage Deadball Team Rebound.,35,30
0:43,2084,Foul on Quate McKinzie.,35,30
0:43,1,Corey Hammell missed Free Throw.,35,30
0:43,1,Alaska Anchorage Deadball Team Rebound.,35,30
0:43,1,Corey Hammell made Free Throw.,35,31
0:33,2084,Willie Conner missed Three Point Jumper.,35,31
0:33,1,Connor Devine Defensive Rebound.,35,31
0:25,1,Alaska Anchorage  Timeout,35,31
0:10,1,Connor Devine missed Layup.,35,31
0:10,2084,Raheem Johnson Block.,35,31
0:09,2084,James Jones Defensive Rebound.,35,31
0:04,2084,Buffalo  Timeout,35,31
0:00,2084,Willie Conner Turnover.,35,31
0:00,1,Sekou Wiggs Steal.,35,31
0:00,1,Sekou Wiggs missed Dunk.,35,31
0:00,1,Connor Devine Offensive Rebound.,35,31
0:00,1,Connor Devine missed Layup.,35,31
0:00,1,Connor Devine Offensive Rebound.,35,31
0:00,1,Connor Devine made Layup.,35,33
0:00,1,End of 1st half,35,31
19:27,1,Diante Mitchell missed Layup.,35,33
19:27,1,Spencer Svejcar Offensive Rebound.,35,33
19:21,1,Sekou Wiggs missed Three Point Jumper.,35,33
19:21,2084,Blake Hamilton Defensive Rebound.,35,33
19:13,2084,Blake Hamilton made Layup.,37,33
18:52,1,Connor Devine made Jumper. Assisted by Sekou Wiggs.,37,35
18:33,1,Foul on Corey Hammell.,37,35
18:28,2084,Dontay Caruthers missed Three Point Jumper.,37,35
18:28,2084,Buffalo Offensive Rebound.,37,35
18:26,2084,Willie Conner missed Three Point Jumper.,37,35
18:26,1,Connor Devine Defensive Rebound.,37,35
18:16,1,Spencer Svejcar made Layup. Assisted by Connor Devine.,37,37
17:53,2084,Blake Hamilton made Jumper. Assisted by Willie Conner.,39,37
17:40,1,Diante Mitchell missed Three Point Jumper.,39,37
17:40,2084,Blake Hamilton Defensive Rebound.,39,37
17:32,2084,Blake Hamilton made Layup.,41,37
17:29,2084,Technical Foul on Buffalo.,41,37
17:29,1,Spencer Svejcar missed Free Throw.,41,37
17:29,1,Alaska Anchorage Deadball Team Rebound.,41,37
17:29,1,Spencer Svejcar missed Free Throw.,41,37
17:29,1,Alaska Anchorage Deadball Team Rebound.,41,37
17:12,1,Sekou Wiggs missed Layup.,41,37
17:12,2084,Buffalo Defensive Rebound.,41,37
17:05,2084,Foul on Nick Perkins.,41,37
17:05,2084,Nick Perkins Turnover.,41,37
16:33,1,Diante Mitchell made Layup. Assisted by Sekou Wiggs.,41,39
16:16,2084,Willie Conner missed Three Point Jumper.,41,39
16:16,2084,Quate McKinzie Offensive Rebound.,41,39
16:10,2084,Foul on Willie Conner.,41,39
16:10,2084,Willie Conner Turnover.,41,39
15:51,2084,Foul on Willie Conner.,41,39
15:51,1,Official TV Timeout,41,39
15:48,2084,Foul on Raheem Johnson.,41,39
15:32,1,Sekou Wiggs missed Three Point Jumper.,41,39
15:32,2084,Davonta Jordan Defensive Rebound.,41,39
15:22,2084,Blake Hamilton missed Layup.,41,39
15:22,2084,Raheem Johnson Offensive Rebound.,41,39
15:15,2084,Raheem Johnson missed Two Point Tip Shot.,41,39
15:15,1,Augustus Simmers Defensive Rebound.,41,39
15:06,1,Sekou Wiggs made Three Point Jumper. Assisted by Diante Mitchell.,41,42
14:42,1,Foul on Sekou Wiggs.,41,42
14:39,2084,Davonta Jordan made Layup.,43,42
14:16,1,Diante Mitchell made Three Point Jumper. Assisted by Spencer Svejcar.,43,45
14:14,2084,Foul on Davonta Jordan.,43,45
14:14,1,Diante Mitchell made Free Throw.,43,46
14:02,1,Foul on Augustus Simmers.,43,46
13:52,1,Foul on Connor Devine.,43,46
13:52,2084,David Kadiri made Free Throw.,44,46
13:52,2084,David Kadiri missed Free Throw.,44,46
13:52,1,Connor Devine Defensive Rebound.,44,46
13:32,1,Damien Fulp missed Jumper.,44,46
13:32,2084,Blake Hamilton Defensive Rebound.,44,46
13:24,2084,Blake Hamilton made Three Point Jumper.,47,46
13:15,2084,Foul on James Jones.,47,46
13:15,1,Damien Fulp missed Free Throw.,47,46
13:15,2084,David Kadiri Defensive Rebound.,47,46
13:07,1,Foul on Damien Fulp.,47,46
13:02,1,Foul on Augustus Simmers.,47,46
12:59,2084,Nick Perkins made Layup. Assisted by Dontay Caruthers.,49,46
12:57,1,Foul on Connor Devine.,49,46
12:57,2084,Nick Perkins made Free Throw.,50,46
12:35,1,Spencer Svejcar made Three Point Jumper. Assisted by Corey Hammell.,50,49
12:18,2084,Nick Perkins missed Three Point Jumper.,50,49
12:18,1,Spencer Svejcar Defensive Rebound.,50,49
12:04,1,Spencer Svejcar missed Three Point Jumper.,50,49
12:04,2084,Blake Hamilton Defensive Rebound.,50,49
11:54,2084,Blake Hamilton made Jumper.,52,49
11:33,1,Augustus Simmers missed Three Point Jumper.,52,49
11:33,2084,Nick Perkins Defensive Rebound.,52,49
11:17,2084,Nick Perkins Turnover.,52,49
11:17,1,Official TV Timeout,52,49
10:54,1,Sekou Wiggs missed Jumper.,52,49
10:54,2084,Willie Conner Block.,52,49
10:52,2084,Nick Perkins Defensive Rebound.,52,49
10:36,2084,Davonta Jordan missed Layup.,52,49
10:36,2084,Ikenna Smart Offensive Rebound.,52,49
10:32,2084,Ikenna Smart made Layup.,54,49
10:29,1,Foul on Corey Hammell.,54,49
10:29,1,Corey Hammell Turnover.,54,49
10:24,2084,Willie Conner made Layup. Assisted by Davonta Jordan.,56,49
10:24,1,Foul on Corey Hammell.,56,49
10:24,2084,Willie Conner made Free Throw.,57,49
10:14,1,Corey Hammell made Three Point Jumper. Assisted by Diante Mitchell.,57,52
9:54,2084,Ikenna Smart missed Layup.,57,52
9:54,1,Sjur Berg Defensive Rebound.,57,52
9:51,2084,Foul on Davonta Jordan.,57,52
9:51,1,Diante Mitchell made Free Throw.,57,53
9:51,1,Diante Mitchell made Free Throw.,57,54
9:33,2084,Blake Hamilton made Layup. Assisted by Willie Conner.,59,54
9:24,1,Diante Mitchell made Layup.,59,56
8:58,2084,Willie Conner made Three Point Jumper. Assisted by Ikenna Smart.,62,56
8:37,1,Ashton Pomrehn missed Three Point Jumper.,62,56
8:37,1,Ashton Pomrehn Offensive Rebound.,62,56
8:27,1,Foul on Sjur Berg.,62,56
8:27,1,Sjur Berg Turnover.,62,56
8:13,2084,Nick Perkins missed Layup.,62,56
8:13,1,Corey Hammell Defensive Rebound.,62,56
8:03,1,Sjur Berg missed Layup.,62,56
8:03,1,Sekou Wiggs Offensive Rebound.,62,56
8:00,1,Sekou Wiggs missed Two Point Tip Shot.,62,56
8:00,2084,Quate McKinzie Defensive Rebound.,62,56
7:56,2084,Blake Hamilton missed Three Point Jumper.,62,56
7:56,2084,Nick Perkins Offensive Rebound.,62,56
7:51,2084,Nick Perkins made Layup.,64,56
7:46,1,Foul on Sekou Wiggs.,64,56
7:46,1,Sekou Wiggs Turnover.,64,56
7:46,1,Official TV Timeout,64,56
7:38,2084,Willie Conner missed Three Point Jumper.,64,56
7:38,2084,Raheem Johnson Offensive Rebound.,64,56
7:33,2084,Raheem Johnson missed Two Point Tip Shot.,64,56
7:33,1,Sekou Wiggs Defensive Rebound.,64,56
7:26,2084,Foul on Quate McKinzie.,64,56
7:26,1,Diante Mitchell made Free Throw.,64,57
7:26,1,Diante Mitchell made Free Throw.,64,58
6:57,2084,Blake Hamilton made Jumper.,66,58
6:44,1,Spencer Svejcar missed Three Point Jumper.,66,58
6:44,2084,Raheem Johnson Defensive Rebound.,66,58
6:28,2084,Blake Hamilton made Three Point Jumper. Assisted by Dontay Caruthers.,69,58
6:19,1,Alaska Anchorage  Timeout,69,58
6:02,1,Sekou Wiggs missed Three Point Jumper.,69,58
6:02,2084,Nick Perkins Defensive Rebound.,69,58
5:50,2084,Blake Hamilton Turnover.,69,58
5:50,1,Diante Mitchell Steal.,69,58
5:48,1,Diante Mitchell made Layup.,69,60
5:16,2084,Foul on Willie Conner.,69,60
5:16,2084,Willie Conner Turnover.,69,60
5:05,2084,Foul on Dontay Caruthers.,69,60
5:05,1,Sekou Wiggs made Free Throw.,69,61
5:05,1,Sekou Wiggs made Free Throw.,69,62
4:41,2084,Blake Hamilton missed Three Point Jumper.,69,62
4:41,1,Diante Mitchell Defensive Rebound.,69,62
4:32,1,Diante Mitchell Turnover.,69,62
4:15,2084,Dontay Caruthers made Layup. Assisted by Nick Perkins.,71,62
4:03,2084,Foul on Blake Hamilton.,71,62
4:03,1,Sekou Wiggs made Free Throw.,71,63
4:03,1,Sekou Wiggs made Free Throw.,71,64
3:55,2084,Blake Hamilton missed Three Point Jumper.,71,64
3:55,2084,Blake Hamilton Offensive Rebound.,71,64
3:50,2084,Blake Hamilton made Jumper.,73,64
3:29,2084,Foul on Nick Perkins.,73,64
3:29,1,Official TV Timeout,73,64
3:29,1,Corey Hammell made Free Throw.,73,65
3:29,1,Corey Hammell made Free Throw.,73,66
3:18,2084,Blake Hamilton Turnover.,73,66
3:17,1,Sekou Wiggs Steal.,73,66
3:10,1,Sekou Wiggs missed Layup.,73,66
3:10,1,Augustus Simmers Offensive Rebound.,73,66
2:55,1,Augustus Simmers missed Jumper.,73,66
2:55,1,Alaska Anchorage Offensive Rebound.,73,66
2:53,1,Sekou Wiggs missed Three Point Jumper.,73,66
2:53,2084,Buffalo Deadball Team Rebound.,73,66
2:49,1,Foul on Spencer Svejcar.,73,66
2:49,2084,Nick Perkins made Free Throw.,74,66
2:49,2084,Nick Perkins made Free Throw.,75,66
2:37,1,Corey Hammell missed Layup.,75,66
2:37,2084,Buffalo Defensive Rebound.,75,66
2:23,2084,Blake Hamilton Turnover.,75,66
2:15,1,Sekou Wiggs made Three Point Jumper. Assisted by Diante Mitchell.,75,69
2:02,2084,Blake Hamilton missed Jumper.,75,69
2:02,1,Sekou Wiggs Defensive Rebound.,75,69
1:53,1,Sekou Wiggs missed Layup.,75,69
1:53,2084,Quate McKinzie Block.,75,69
1:49,2084,Blake Hamilton Defensive Rebound.,75,69
1:26,2084,Nick Perkins missed Layup.,75,69
1:26,1,Corey Hammell Defensive Rebound.,75,69
1:20,1,Alaska Anchorage  Timeout,75,69
1:12,1,Diante Mitchell made Jumper.,75,71
1:10,1,Foul on Corey Hammell.,75,71
1:10,2084,Nick Perkins made Free Throw.,76,71
1:10,2084,Nick Perkins missed Free Throw.,76,71
1:10,2084,Nick Perkins Offensive Rebound.,76,71
1:00,2084,Buffalo  Timeout,76,71
0:49,2084,Blake Hamilton Turnover.,76,71
0:49,1,Augustus Simmers Steal.,76,71
0:49,2084,Foul on Quate McKinzie.,76,71
0:49,1,Augustus Simmers made Free Throw.,76,72
0:49,1,Augustus Simmers made Free Throw.,76,73
0:42,1,Foul on Connor Devine.,76,73
0:42,2084,Blake Hamilton missed Dunk.,76,73
0:42,2084,Buffalo Deadball Team Rebound.,76,73
0:42,2084,Blake Hamilton made Free Throw.,77,73
0:35,1,Diante Mitchell Turnover.,77,73
0:31,1,Foul on Sekou Wiggs.,77,73
0:31,2084,Blake Hamilton made Free Throw.,78,73
0:31,2084,Blake Hamilton made Free Throw.,79,73
0:25,1,Spencer Svejcar missed Three Point Jumper.,79,73
0:25,2084,Blake Hamilton Defensive Rebound.,79,73
0:22,1,Foul on Spencer Svejcar.,79,73
0:22,2084,Blake Hamilton made Free Throw.,80,73
0:22,2084,Blake Hamilton made Free Throw.,81,73
0:14,1,Connor Devine made Dunk. Assisted by Diante Mitchell.,81,75
0:14,1,Alaska Anchorage  Timeout,81,75
0:10,1,Foul on Corey Hammell.,81,75
0:10,2084,Blake Hamilton made Free Throw.,82,75
0:10,2084,Blake Hamilton made Free Throw.,83,75
0:07,2084,Foul on Dontay Caruthers.,83,75
0:07,1,Connor Devine made Free Throw.,83,76
0:06,1,Connor Devine missed Free Throw.,83,76
0:06,2084,Blake Hamilton Defensive Rebound.,83,76
0:04,1,Foul on Spencer Svejcar.,83,76
0:04,2084,Blake Hamilton made Free Throw.,84,76
0:04,2084,Blake Hamilton made Free Throw.,85,76
0:01,1,Spencer Svejcar made Three Point Jumper. Assisted by Diante Mitchell.,85,79
0:00,1,End of Game,85,79
