George Mason,71,Bradley,2244
12:40,2244,Jalen Jenkins made Free Throw.,15,4
12:30,71,Alex Foster missed Layup.,15,4
12:28,2244,Justin Kier Defensive Rebound.,15,4
12:10,2244,Justin Kier missed Layup.,15,4
12:08,2244,Justin Kier Offensive Rebound.,15,4
12:00,2244,Ian Boyd missed Three Point Jumper.,15,4
11:58,71,Foul on Alex Foster.,15,4
11:58,2244,Jalen Jenkins Offensive Rebound.,15,4
11:47,2244,Karmari Newman missed Three Point Jumper.,15,4
11:47,71,Bradley Defensive Rebound.,15,4
11:38,2244,Foul on Justin Kier.,15,4
11:27,71,Dwayne Lautier-Ogunleye missed Layup.,15,4
11:27,2244,Marquise Moore Defensive Rebound.,15,4
11:16,2244,Jalen Jenkins missed Jumper.,15,4
11:16,71,JoJo McGlaston Defensive Rebound.,15,4
11:08,71,JoJo McGlaston made Jumper.,15,6
10:50,2244,Ian Boyd missed Three Point Jumper.,15,6
10:50,71,Dwayne Lautier-Ogunleye Defensive Rebound.,15,6
10:47,71,Bradley  Timeout,15,6
10:26,71,Ronnie Suggs missed Three Point Jumper.,15,6
10:26,2244,Jalen Jenkins Defensive Rebound.,15,6
10:08,2244,Justin Kier missed Three Point Jumper.,15,6
10:08,71,Callum Barker Defensive Rebound.,15,6
10:05,2244,Foul on Jalen Jenkins.,15,6
9:53,71,Ronnie Suggs missed Three Point Jumper.,15,6
9:53,2244,Marquise Moore Defensive Rebound.,15,6
9:44,2244,Justin Kier made Layup. Assisted by Marquise Moore.,17,6
9:19,71,Antoine Pittman made Layup. Assisted by Nate Kennell.,17,8
9:01,2244,Justin Kier missed Three Point Jumper.,17,8
9:01,71,Antoine Pittman Defensive Rebound.,17,8
8:40,71,Nate Kennell missed Three Point Jumper.,17,8
8:40,71,Callum Barker Offensive Rebound.,17,8
8:34,71,Darrell Brown missed Three Point Jumper.,17,8
8:34,2244,Marquise Moore Defensive Rebound.,17,8
8:26,71,Foul on Antoine Pittman.,17,8
8:26,2244,Marquise Moore made Free Throw.,18,8
8:26,2244,Marquise Moore missed Free Throw.,18,8
8:26,71,Callum Barker Defensive Rebound.,18,8
8:15,71,Antoine Pittman made Three Point Jumper. Assisted by Luuk van Bree.,18,11
7:59,2244,Otis Livingston II missed Three Point Jumper.,18,11
7:59,2244,Marquise Moore Offensive Rebound.,18,11
7:49,2244,Justin Kier missed Layup.,18,11
7:49,71,Luuk van Bree Defensive Rebound.,18,11
7:38,71,Callum Barker made Layup. Assisted by Nate Kennell.,18,13
7:34,2244,George Mason  Timeout,18,13
7:23,2244,Jaire Grayer missed Layup.,18,13
7:23,71,Antoine Pittman Defensive Rebound.,18,13
7:17,71,Luuk van Bree missed Three Point Jumper.,18,13
7:13,71,Bradley Offensive Rebound.,18,13
7:10,2244,Foul on Jalen Jenkins.,18,13
7:09,71,Antoine Pittman made Layup.,18,15
6:46,2244,Marquise Moore Turnover.,18,15
6:44,71,Jayden Hodgson Steal.,18,15
6:41,71,Luuk van Bree made Three Point Jumper. Assisted by Jayden Hodgson.,18,18
6:25,2244,Otis Livingston II made Jumper.,20,18
6:10,71,Nate Kennell missed Jumper.,20,18
6:10,2244,Otis Livingston II Defensive Rebound.,20,18
6:04,2244,Otis Livingston II missed Jumper.,20,18
6:04,71,Luuk van Bree Defensive Rebound.,20,18
5:53,2244,Foul on Karmari Newman.,20,18
5:53,71,Antoine Pittman missed Free Throw.,20,18
5:53,2244,George Mason Defensive Rebound.,20,18
5:38,2244,Karmari Newman missed Three Point Jumper.,20,18
5:38,71,JoJo McGlaston Defensive Rebound.,20,18
5:22,71,Darrell Brown missed Layup.,20,18
5:22,2244,Marquise Moore Block.,20,18
5:19,2244,Marquise Moore Defensive Rebound.,20,18
5:14,2244,Marquise Moore missed Layup.,20,18
5:14,2244,Daniel Relvao Offensive Rebound.,20,18
5:12,71,Foul on Luuk van Bree.,20,18
5:12,2244,Daniel Relvao made Free Throw.,21,18
5:12,2244,Daniel Relvao made Free Throw.,22,18
5:01,2244,Foul on Otis Livingston II.,22,18
5:01,71,Koch Bar missed Free Throw.,22,18
5:01,2244,Jaire Grayer Defensive Rebound.,22,18
4:50,2244,Otis Livingston II missed Three Point Jumper.,22,18
4:50,71,Donte Thomas Defensive Rebound.,22,18
4:39,71,JoJo McGlaston missed Three Point Jumper.,22,18
4:39,71,Donte Thomas Offensive Rebound.,22,18
4:34,71,Donte Thomas made Layup.,22,20
4:15,2244,Jaire Grayer missed Three Point Jumper.,22,20
4:15,71,Donte Thomas Defensive Rebound.,22,20
3:53,2244,Foul on Daniel Relvao.,22,20
3:53,71,Official TV Timeout,22,20
3:53,71,Dwayne Lautier-Ogunleye missed Free Throw.,22,20
3:53,71,Bradley Deadball Team Rebound.,22,20
3:53,71,Dwayne Lautier-Ogunleye made Free Throw.,22,21
3:40,2244,Jaire Grayer missed Layup.,22,21
3:40,71,Koch Bar Block.,22,21
3:39,2244,George Mason Offensive Rebound.,22,21
3:39,2244,Daniel Relvao Turnover.,22,21
3:39,2244,Foul on Daniel Relvao.,22,21
3:25,71,Donte Thomas Turnover.,22,21
3:08,2244,Otis Livingston II Turnover.,22,21
2:52,2244,Foul on Ian Boyd.,22,21
2:52,71,Koch Bar missed Free Throw.,22,21
2:52,71,Bradley Deadball Team Rebound.,22,21
2:52,71,Koch Bar made Free Throw.,22,22
2:32,71,Foul on Donte Thomas.,22,22
2:32,2244,Ian Boyd missed Free Throw.,22,22
2:32,71,Bradley Defensive Rebound.,22,22
2:32,2244,Foul on Daniel Relvao.,22,22
2:32,71,Koch Bar made Free Throw.,22,23
2:32,71,Koch Bar made Free Throw.,22,24
2:13,2244,Otis Livingston II Turnover.,22,24
2:11,71,Nate Kennell Steal.,22,24
2:10,2244,Foul on Justin Kier.,22,24
2:10,71,Nate Kennell made Free Throw.,22,25
2:10,71,Nate Kennell missed Free Throw.,22,25
2:10,2244,Jaire Grayer Defensive Rebound.,22,25
1:57,2244,Jaire Grayer made Layup.,24,25
1:42,71,Dwayne Lautier-Ogunleye missed Layup.,24,25
1:42,2244,Daniel Relvao Defensive Rebound.,24,25
1:29,71,Foul on Koch Bar.,24,25
1:29,2244,Marquise Moore made Free Throw.,25,25
1:29,2244,Marquise Moore missed Free Throw.,25,25
1:29,71,Callum Barker Defensive Rebound.,25,25
1:09,71,Antoine Pittman missed Layup.,25,25
1:09,2244,Justin Kier Defensive Rebound.,25,25
0:58,2244,Marquise Moore missed Layup.,25,25
0:58,2244,Daniel Relvao Offensive Rebound.,25,25
0:54,2244,Daniel Relvao missed Layup.,25,25
0:54,2244,Marquise Moore Offensive Rebound.,25,25
0:54,71,Foul on Callum Barker.,25,25
0:54,2244,Marquise Moore missed Free Throw.,25,25
0:54,2244,George Mason Deadball Team Rebound.,25,25
0:54,2244,Marquise Moore made Free Throw.,26,25
0:33,71,Jayden Hodgson missed Layup.,26,25
0:33,2244,Justin Kier Defensive Rebound.,26,25
0:09,2244,Marquise Moore missed Jumper.,26,25
0:09,2244,Daniel Relvao Offensive Rebound.,26,25
0:04,2244,Daniel Relvao missed Layup.,26,25
0:04,71,Koch Bar Defensive Rebound.,26,25
0:00,71,End of 1st half,26,25
19:49,71,Koch Bar made Jumper. Assisted by Darrell Brown.,26,27
19:32,71,Foul on Antoine Pittman.,26,27
19:32,2244,Jalen Jenkins missed Free Throw.,26,27
19:32,2244,George Mason Deadball Team Rebound.,26,27
19:32,2244,Jalen Jenkins made Free Throw.,27,27
19:12,71,Antoine Pittman made Layup.,27,29
18:47,2244,Otis Livingston II made Three Point Jumper. Assisted by Jaire Grayer.,30,29
18:32,71,Antoine Pittman missed Three Point Jumper.,30,29
18:32,2244,Jaire Grayer Defensive Rebound.,30,29
18:15,2244,Jaire Grayer missed Three Point Jumper.,30,29
18:15,2244,Justin Kier Offensive Rebound.,30,29
18:09,2244,Justin Kier missed Layup.,30,29
18:09,71,Koch Bar Block.,30,29
18:07,71,Antoine Pittman Defensive Rebound.,30,29
18:01,71,Darrell Brown missed Three Point Jumper.,30,29
18:01,2244,Kameron Murrell Defensive Rebound.,30,29
17:54,71,Foul on JoJo McGlaston.,30,29
17:54,2244,Marquise Moore made Free Throw.,31,29
17:54,2244,Marquise Moore made Free Throw.,32,29
17:40,71,JoJo McGlaston missed Jumper.,32,29
17:40,2244,Justin Kier Defensive Rebound.,32,29
17:23,2244,Otis Livingston II made Three Point Jumper. Assisted by Jalen Jenkins.,35,29
17:00,71,Dwayne Lautier-Ogunleye missed Layup.,35,29
17:00,2244,Jalen Jenkins Defensive Rebound.,35,29
16:56,2244,Jalen Jenkins Turnover.,35,29
16:55,71,Luuk van Bree Steal.,35,29
16:53,71,Dwayne Lautier-Ogunleye missed Layup.,35,29
16:53,2244,Jalen Jenkins Defensive Rebound.,35,29
16:47,2244,Marquise Moore made Layup.,37,29
16:43,71,Bradley  Timeout,37,29
16:27,71,Darrell Brown missed Jumper.,37,29
16:27,2244,Marquise Moore Defensive Rebound.,37,29
16:12,2244,Justin Kier made Jumper.,39,29
15:51,71,Jayden Hodgson missed Three Point Jumper.,39,29
15:51,2244,Jalen Jenkins Defensive Rebound.,39,29
15:37,2244,Marquise Moore missed Layup.,39,29
15:37,71,Luuk van Bree Defensive Rebound.,39,29
15:29,71,Luuk van Bree missed Three Point Jumper.,39,29
15:29,2244,Marquise Moore Defensive Rebound.,39,29
15:13,2244,Justin Kier made Layup. Assisted by Marquise Moore.,41,29
14:54,71,Darrell Brown made Three Point Jumper. Assisted by Luuk van Bree.,41,32
14:34,2244,Marquise Moore missed Jumper.,41,32
14:34,2244,George Mason Offensive Rebound.,41,32
14:27,71,Official TV Timeout,41,32
13:59,2244,Otis Livingston II missed Three Point Jumper.,41,32
13:59,71,Bradley Defensive Rebound.,41,32
13:39,71,Darrell Brown made Layup.,41,34
13:24,2244,Troy Temara made Layup. Assisted by Marquise Moore.,43,34
12:57,71,Callum Barker missed Layup.,43,34
12:57,2244,Marquise Moore Defensive Rebound.,43,34
12:35,2244,Jaire Grayer missed Layup.,43,34
12:35,71,Callum Barker Block.,43,34
12:35,2244,George Mason Offensive Rebound.,43,34
12:31,2244,Marquise Moore made Layup.,45,34
12:02,71,Jayden Hodgson made Jumper. Assisted by Darrell Brown.,45,36
11:32,2244,Jaire Grayer made Three Point Jumper. Assisted by Marquise Moore.,48,36
11:28,2244,George Mason  Timeout,48,36
11:14,71,Darrell Brown made Three Point Jumper. Assisted by Jayden Hodgson.,48,39
10:41,71,Foul on Darrell Brown.,48,39
10:35,2244,Karmari Newman made Three Point Jumper. Assisted by Marquise Moore.,51,39
10:17,2244,Foul on Jaire Grayer.,51,39
10:12,2244,Foul on Marquise Moore.,51,39
10:12,71,Antoine Pittman missed Free Throw.,51,39
10:12,71,Bradley Deadball Team Rebound.,51,39
10:12,71,Darrell Brown made Free Throw.,51,40
9:44,2244,Otis Livingston II made Jumper.,53,40
9:27,71,Antoine Pittman missed Jumper.,53,40
9:27,2244,Jalen Jenkins Defensive Rebound.,53,40
9:10,2244,Marquise Moore made Layup.,55,40
9:07,71,Bradley  Timeout,55,40
8:58,71,Luuk van Bree Turnover.,55,40
8:55,2244,Ian Boyd Steal.,55,40
8:52,2244,Karmari Newman made Layup. Assisted by Otis Livingston II.,57,40
8:35,71,Darrell Brown made Layup.,57,42
8:18,2244,Ian Boyd missed Jumper.,57,42
8:18,71,Bradley Defensive Rebound.,57,42
8:05,71,Darrell Brown missed Jumper.,57,42
8:05,2244,Otis Livingston II Defensive Rebound.,57,42
7:57,2244,Marquise Moore missed Layup.,57,42
7:57,71,JoJo McGlaston Defensive Rebound.,57,42
7:50,71,Nate Kennell made Three Point Jumper. Assisted by Darrell Brown.,57,45
7:39,71,Foul on JoJo McGlaston.,57,45
7:39,71,Official TV Timeout,57,45
7:23,2244,Ian Boyd made Layup.,59,45
7:07,71,Nate Kennell missed Three Point Jumper.,59,45
7:07,71,Koch Bar Offensive Rebound.,59,45
7:06,2244,Foul on Jalen Jenkins.,59,45
7:06,71,Koch Bar Turnover.,59,45
7:06,2244,Jalen Jenkins Steal.,59,45
7:03,71,Foul on Nate Kennell.,59,45
7:03,2244,Otis Livingston II made Free Throw.,60,45
7:03,2244,Otis Livingston II made Free Throw.,61,45
6:45,2244,Foul on Jalen Jenkins.,61,45
6:45,71,JoJo McGlaston made Free Throw.,61,46
6:45,71,JoJo McGlaston missed Free Throw.,61,46
6:45,2244,Marquise Moore Defensive Rebound.,61,46
6:34,2244,Ian Boyd made Layup.,63,46
6:20,71,Jayden Hodgson missed Three Point Jumper.,63,46
6:20,2244,Marquise Moore Defensive Rebound.,63,46
6:11,2244,Otis Livingston II missed Layup.,63,46
6:11,71,Alex Foster Defensive Rebound.,63,46
6:05,71,Alex Foster Turnover.,63,46
6:04,2244,Karmari Newman Steal.,63,46
5:49,2244,Troy Temara made Layup. Assisted by Otis Livingston II.,65,46
5:28,71,Jayden Hodgson made Layup. Assisted by JoJo McGlaston.,65,48
4:57,2244,Otis Livingston II made Jumper.,67,48
4:37,71,Donte Thomas missed Three Point Jumper.,67,48
4:37,71,Bradley Offensive Rebound.,67,48
4:30,2244,Foul on Troy Temara.,67,48
4:30,71,Antoine Pittman missed Free Throw.,67,48
4:30,71,Bradley Deadball Team Rebound.,67,48
4:30,71,Antoine Pittman missed Free Throw.,67,48
4:30,2244,Otis Livingston II Defensive Rebound.,67,48
4:18,2244,Otis Livingston II made Layup.,69,48
4:06,71,Official TV Timeout,69,48
3:57,2244,Marquise Moore Defensive Rebound.,69,48
3:57,71,Antoine Pittman missed Layup.,69,48
3:57,2244,Foul on Karmari Newman.,69,48
3:39,2244,Jaire Grayer Turnover.,69,48
3:37,71,Callum Barker Steal.,69,48
3:34,71,Antoine Pittman made Three Point Jumper. Assisted by Callum Barker.,69,51
3:04,2244,Marquise Moore Turnover.,69,51
3:03,71,Ronnie Suggs Steal.,69,51
3:02,2244,Foul on Karmari Newman.,69,51
3:02,71,Ronnie Suggs missed Free Throw.,69,51
3:02,71,Donte Thomas Offensive Rebound.,69,51
3:00,71,Donte Thomas missed Layup.,69,51
3:00,71,Callum Barker Offensive Rebound.,69,51
2:55,71,Callum Barker made Layup.,69,53
2:51,71,Foul on Ronnie Suggs.,69,53
2:29,71,Foul on Nate Kennell.,69,53
2:29,2244,Marquise Moore missed Free Throw.,69,53
2:29,71,Donte Thomas Defensive Rebound.,69,53
2:20,71,Jayden Hodgson Turnover.,69,53
2:19,2244,Jaire Grayer Steal.,69,53
1:53,2244,Foul on Jaire Grayer.,69,53
1:53,2244,Jaire Grayer Turnover.,69,53
1:44,2244,Foul on Jalen Jenkins.,69,53
1:44,71,Callum Barker made Free Throw.,69,54
1:44,71,Callum Barker made Free Throw.,69,55
1:17,2244,Jaire Grayer Turnover.,69,55
1:16,71,Nate Kennell Steal.,69,55
1:12,71,Nate Kennell made Layup.,69,57
1:07,71,Foul on JoJo McGlaston.,69,57
1:07,2244,Marquise Moore made Free Throw.,70,57
1:07,2244,Marquise Moore made Free Throw.,71,57
1:02,71,Nate Kennell made Three Point Jumper. Assisted by Darrell Brown.,71,60
0:53,71,Foul on Darrell Brown.,71,60
0:53,2244,Otis Livingston II made Free Throw.,72,60
0:53,2244,Otis Livingston II made Free Throw.,73,60
0:47,71,Darrell Brown made Layup.,73,62
0:41,71,Foul on Ronnie Suggs.,73,62
0:41,2244,Jaire Grayer made Free Throw.,74,62
0:41,2244,Jaire Grayer made Free Throw.,75,62
0:37,2244,Foul on Justin Kier.,75,62
0:37,71,Darrell Brown made Free Throw.,75,63
0:37,71,Darrell Brown made Free Throw.,75,64
0:12,71,Foul on Nate Kennell.,75,64
0:12,2244,Justin Kier made Free Throw.,76,64
0:12,2244,Justin Kier made Free Throw.,77,64
0:03,71,JoJo McGlaston made Layup.,77,66
0:00,71,End of Game,77,66
