Detroit Mercy,160,New Hampshire,2174
4:43,160,John Ogwuche missed Three Point Jumper.,26,31
4:43,2174,Chris Jenkins Defensive Rebound.,26,31
4:26,2174,Chris Jenkins missed Jumper.,26,31
4:26,160,Jordan Reed Defensive Rebound.,26,31
4:06,2174,Foul on Chris Jenkins.,26,31
4:06,160,Tanner Leissner made Free Throw.,26,32
4:06,160,Tanner Leissner made Free Throw.,26,33
3:44,2174,Jarod Williams made Jumper.,28,33
3:29,160,Foul on Jordan Reed.,28,33
3:29,160,Jordan Reed Turnover.,28,33
3:29,160,Official TV Timeout,28,33
3:19,2174,DeShawndre Black made Jumper.,30,33
2:56,160,Jordan Reed made Jumper.,30,35
2:32,2174,DeShawndre Black made Three Point Jumper. Assisted by Malik Eichler.,33,35
2:12,160,John Ogwuche made Layup.,33,37
1:59,2174,Cole Long missed Three Point Jumper.,33,37
1:59,160,Jaleen Smith Defensive Rebound.,33,37
1:50,2174,Foul on Cole Long.,33,37
1:50,160,Tanner Leissner made Free Throw.,33,38
1:50,160,Tanner Leissner made Free Throw.,33,39
1:34,2174,Corey Allen missed Jumper.,33,39
1:34,2174,Detroit Mercy Offensive Rebound.,33,39
1:19,2174,DeShawndre Black missed Jumper.,33,39
1:19,160,David Watkins Defensive Rebound.,33,39
1:14,2174,Foul on Jarod Williams.,33,39
1:14,160,Jaleen Smith made Free Throw.,33,40
1:14,160,Jaleen Smith made Free Throw.,33,41
1:01,2174,Malik Eichler made Three Point Jumper. Assisted by DeShawndre Black.,36,41
0:43,160,Tanner Leissner made Three Point Jumper. Assisted by John Ogwuche.,36,44
0:16,2174,Foul on Corey Allen.,36,44
0:16,2174,Corey Allen Turnover.,36,44
0:16,160,New Hampshire  Timeout,36,44
0:03,160,Jordan Reed missed Three Point Jumper.,36,44
0:03,2174,Gerald Blackshear Defensive Rebound.,36,44
0:00,2174,Gerald Blackshear Turnover.,36,44
0:00,160,Jaleen Smith Steal.,36,44
0:00,160,End of 1st half,36,44
19:46,160,Tanner Leissner made Jumper. Assisted by Jaleen Smith.,36,46
19:29,2174,Chris Jenkins missed Jumper.,36,46
19:29,160,Jaleen Smith Defensive Rebound.,36,46
19:15,160,Tanner Leissner made Jumper.,36,48
19:09,2174,Foul on Chris Jenkins.,36,48
18:56,160,Tanner Leissner made Free Throw.,36,49
18:53,160,Foul on Iba Camara.,36,49
18:53,160,Foul on Iba Camara.,36,49
18:53,2174,Jaleel Hogan missed Free Throw.,36,49
18:53,2174,Detroit Mercy Deadball Team Rebound.,36,49
18:53,2174,Jaleel Hogan made Free Throw.,37,49
18:34,160,Jordan Reed Turnover.,37,49
18:18,2174,Jaleel Hogan made Layup. Assisted by Josh McFolley.,39,49
18:02,160,David Watkins missed Three Point Jumper.,39,49
18:02,2174,Josh McFolley Defensive Rebound.,39,49
17:43,160,Foul on Luke Rosinski.,39,49
17:31,2174,Jaleel Hogan missed Jumper.,39,49
17:31,160,Jaleen Smith Defensive Rebound.,39,49
17:17,2174,Foul on Gerald Blackshear.,39,49
17:11,160,Jaleen Smith Turnover.,39,49
17:10,2174,Gerald Blackshear Steal.,39,49
17:07,160,Foul on Jaleen Smith.,39,49
17:07,2174,Gerald Blackshear made Free Throw.,40,49
17:07,2174,Gerald Blackshear missed Free Throw.,40,49
17:07,160,Tanner Leissner Defensive Rebound.,40,49
16:39,160,Jordan Reed missed Three Point Jumper.,40,49
16:39,2174,Jarod Williams Defensive Rebound.,40,49
16:23,160,Foul on Luke Rosinski.,40,49
16:16,2174,Jarod Williams missed Jumper.,40,49
16:16,160,Tanner Leissner Defensive Rebound.,40,49
16:06,2174,Foul on Josh McFolley.,40,49
16:06,160,Luke Rosinski missed Free Throw.,40,49
16:06,160,New Hampshire Deadball Team Rebound.,40,49
16:06,160,Luke Rosinski missed Free Throw.,40,49
16:06,2174,DeShawndre Black Defensive Rebound.,40,49
15:52,2174,Jaleel Hogan made Jumper.,42,49
15:41,160,Jaleen Smith made Three Point Jumper.,42,52
15:24,160,Foul on Luke Rosinski.,42,52
15:24,160,Official TV Timeout,42,52
15:24,2174,Foul on Corey Allen.,42,52
15:24,2174,Corey Allen Turnover.,42,52
15:07,160,Tanner Leissner made Layup.,42,54
14:48,2174,Jaleel Hogan Turnover.,42,54
14:48,2174,Foul on Jaleel Hogan.,42,54
14:38,160,Jaleen Smith made Jumper.,42,56
14:18,160,Foul on Tanner Leissner.,42,56
14:18,2174,Jarod Williams made Free Throw.,43,56
14:18,2174,Jarod Williams missed Free Throw.,43,56
14:18,160,Tanner Leissner Defensive Rebound.,43,56
14:09,2174,Foul on Gerald Blackshear.,43,56
14:08,160,Daniel Dion missed Three Point Jumper.,43,56
14:08,160,David Watkins Offensive Rebound.,43,56
13:49,160,Tanner Leissner made Layup.,43,58
13:46,2174,Detroit Mercy  Timeout,43,58
13:28,2174,Corey Allen missed Jumper.,43,58
13:28,160,Jaleen Smith Defensive Rebound.,43,58
13:19,160,Jaleen Smith missed Layup.,43,58
13:19,2174,Chris Jenkins Defensive Rebound.,43,58
13:11,2174,Chris Jenkins missed Jumper.,43,58
13:11,160,Jaleen Smith Defensive Rebound.,43,58
13:00,160,David Watkins made Jumper.,43,60
12:40,2174,Chris Jenkins missed Jumper.,43,60
12:40,160,Jaleen Smith Defensive Rebound.,43,60
12:33,2174,Foul on DeShawndre Black.,43,60
12:33,160,Jaleen Smith missed Free Throw.,43,60
12:33,2174,Jarod Williams Defensive Rebound.,43,60
12:15,2174,Josh McFolley made Layup.,45,60
11:53,160,Jaleen Smith missed Jumper.,45,60
11:53,2174,Malik Eichler Defensive Rebound.,45,60
11:35,2174,Jarod Williams missed Three Point Jumper.,45,60
11:35,160,Jordan Reed Defensive Rebound.,45,60
11:18,160,Tanner Leissner made Layup.,45,62
11:03,2174,Jarod Williams made Three Point Jumper.,48,62
10:34,160,David Watkins missed Jumper.,48,62
10:34,2174,Jarod Williams Defensive Rebound.,48,62
10:24,2174,DeShawndre Black missed Jumper.,48,62
10:24,2174,DeShawndre Black Offensive Rebound.,48,62
10:22,2174,Cole Long missed Three Point Jumper.,48,62
10:22,160,Daniel Dion Defensive Rebound.,48,62
10:04,160,Jaleen Smith made Jumper.,48,64
9:34,2174,Josh McFolley missed Jumper.,48,64
9:34,2174,Josh McFolley Offensive Rebound.,48,64
9:10,2174,Josh McFolley made Layup.,50,64
8:51,2174,Foul on Cole Long.,50,64
8:51,160,Official TV Timeout,50,64
8:51,160,Tanner Leissner made Free Throw.,50,65
8:51,160,Tanner Leissner missed Free Throw.,50,65
8:51,2174,Corey Allen Defensive Rebound.,50,65
8:37,160,Foul on Iba Camara.,50,65
8:37,2174,DeShawndre Black missed Free Throw.,50,65
8:37,160,Tanner Leissner Defensive Rebound.,50,65
8:24,160,Jordan Reed missed Three Point Jumper.,50,65
8:24,160,Iba Camara Offensive Rebound.,50,65
8:21,2174,Foul on Malik Eichler.,50,65
8:21,160,Iba Camara missed Free Throw.,50,65
8:21,2174,Gerald Blackshear Defensive Rebound.,50,65
8:07,2174,Corey Allen missed Three Point Jumper.,50,65
8:07,160,Jaleen Smith Defensive Rebound.,50,65
7:42,160,John Ogwuche Turnover.,50,65
7:42,160,Official TV Timeout,50,65
7:30,2174,Josh McFolley Turnover.,50,65
7:27,160,Jaleen Smith Steal.,50,65
7:25,160,Jaleen Smith made Layup.,50,67
7:13,2174,DeShawndre Black made Jumper.,52,67
7:04,2174,Foul on DeShawndre Black.,52,67
7:04,160,Jaleen Smith made Free Throw.,52,68
7:04,160,Jaleen Smith missed Free Throw.,52,68
7:04,2174,Gerald Blackshear Defensive Rebound.,52,68
6:56,2174,Josh McFolley made Three Point Jumper. Assisted by DeShawndre Black.,55,68
6:33,160,Tanner Leissner missed Jumper.,55,68
6:33,2174,Josh McFolley Defensive Rebound.,55,68
6:26,2174,Chris Jenkins made Layup. Assisted by Josh McFolley.,57,68
6:09,160,John Ogwuche missed Three Point Jumper.,57,68
6:09,2174,Detroit Mercy Defensive Rebound.,57,68
5:45,2174,Josh McFolley missed Three Point Jumper.,57,68
5:45,160,Daniel Dion Defensive Rebound.,57,68
5:36,2174,Foul on Josh McFolley.,57,68
5:36,160,Daniel Dion made Free Throw.,57,69
5:36,160,Daniel Dion made Free Throw.,57,70
5:21,2174,Chris Jenkins missed Jumper.,57,70
5:21,2174,Jaleel Hogan Offensive Rebound.,57,70
5:19,160,Foul on Tanner Leissner.,57,70
5:19,2174,Jaleel Hogan missed Free Throw.,57,70
5:19,2174,Detroit Mercy Deadball Team Rebound.,57,70
5:19,2174,Jaleel Hogan made Free Throw.,58,70
5:06,160,Iba Camara made Layup. Assisted by Daniel Dion.,58,72
4:59,2174,Corey Allen made Layup. Assisted by DeShawndre Black.,60,72
4:26,160,Tanner Leissner made Layup.,60,74
4:12,2174,Corey Allen missed Three Point Jumper.,60,74
4:12,160,Iba Camara Defensive Rebound.,60,74
3:41,160,Iba Camara made Layup. Assisted by Jordan Reed.,60,76
3:27,2174,Ed Carter III missed Jumper.,60,76
3:27,160,Tanner Leissner Defensive Rebound.,60,76
3:11,160,New Hampshire  Timeout,60,76
3:00,2174,Foul on Ed Carter III.,60,76
3:00,160,Tanner Leissner made Free Throw.,60,77
3:00,160,Tanner Leissner made Free Throw.,60,78
2:49,2174,Jaleel Hogan made Jumper.,62,78
2:49,160,Foul on Iba Camara.,62,78
2:49,2174,Jaleel Hogan made Free Throw.,63,78
2:42,160,Foul on Daniel Dion.,63,78
2:42,160,Jaleen Smith Turnover.,63,78
2:42,2174,DeShawndre Black missed Free Throw.,63,78
2:42,2174,Detroit Mercy Deadball Team Rebound.,63,78
2:42,2174,DeShawndre Black made Free Throw.,64,78
2:32,2174,Foul on Josh McFolley.,64,78
2:32,160,Jaleen Smith missed Free Throw.,64,78
2:32,160,New Hampshire Deadball Team Rebound.,64,78
2:32,160,Jaleen Smith made Free Throw.,64,79
2:25,2174,DeShawndre Black made Jumper.,66,79
1:56,160,David Watkins missed Three Point Jumper.,66,79
1:56,2174,Jaleel Hogan Defensive Rebound.,66,79
1:44,2174,Jaleel Hogan made Layup. Assisted by Josh McFolley.,68,79
1:35,160,New Hampshire  Timeout,68,79
1:29,2174,Foul on DeShawndre Black.,68,79
1:29,160,Jaleen Smith made Free Throw.,68,80
1:29,160,Jaleen Smith made Free Throw.,68,81
1:21,2174,Chris Jenkins missed Three Point Jumper.,68,81
1:21,160,Jaleen Smith Defensive Rebound.,68,81
1:06,2174,Foul on Corey Allen.,68,81
1:06,160,Daniel Dion made Free Throw.,68,82
1:06,160,Daniel Dion made Free Throw.,68,83
0:56,2174,Jaleel Hogan made Layup. Assisted by Josh McFolley.,70,83
0:40,2174,Foul on Jaleel Hogan.,70,83
0:40,160,Tanner Leissner made Free Throw.,70,84
0:40,160,Tanner Leissner made Free Throw.,70,85
0:31,2174,Josh McFolley missed Three Point Jumper.,70,85
0:31,160,Daniel Dion Defensive Rebound.,70,85
0:27,2174,Foul on Chris Jenkins.,70,85
0:27,160,Daniel Dion missed Free Throw.,70,85
0:27,160,New Hampshire Deadball Team Rebound.,70,85
0:27,160,Daniel Dion made Free Throw.,70,86
0:26,2174,DeShawndre Black missed Three Point Jumper.,70,86
0:26,160,Daniel Dion Defensive Rebound.,70,86
0:00,160,End of Game,70,86
