Alabama,139,Saint Louis,333
7:47,333,Foul on Jimmie Taylor.,18,19
7:47,139,Official TV Timeout,18,19
7:47,139,Jalen Johnson missed Free Throw.,18,19
7:47,139,Saint Louis Deadball Team Rebound.,18,19
7:47,139,Jalen Johnson made Free Throw.,18,20
7:28,333,Nick King made Layup. Assisted by Donta Hall.,20,20
6:56,139,Foul on Mike Crawford.,20,20
6:56,139,Mike Crawford Turnover.,20,20
6:35,333,Nick King missed Three Point Jumper.,20,20
6:35,333,Riley Norris Offensive Rebound.,20,20
6:28,139,Foul on Reggie Agbeko.,20,20
6:28,333,Dazon Ingram made Free Throw.,21,20
6:28,333,Dazon Ingram made Free Throw.,22,20
6:09,139,Aaron Hines made Three Point Jumper. Assisted by Reggie Agbeko.,22,23
5:50,333,Donta Hall missed Layup.,22,23
5:50,139,Reggie Agbeko Block.,22,23
5:48,139,Mike Crawford Defensive Rebound.,22,23
5:35,139,Davell Roby made Jumper.,22,25
5:25,139,Foul on Mike Crawford.,22,25
4:58,333,Riley Norris missed Three Point Jumper.,22,25
4:58,139,Davell Roby Defensive Rebound.,22,25
4:56,333,Foul on Donta Hall.,22,25
4:29,333,Foul on Dazon Ingram.,22,25
4:29,139,Davell Roby made Free Throw.,22,26
4:29,139,Davell Roby made Free Throw.,22,27
4:14,333,Corban Collins made Jumper.,24,27
3:49,139,Aaron Hines missed Jumper.,24,27
3:49,333,Donta Hall Defensive Rebound.,24,27
3:35,333,Ar'Mond Davis missed Three Point Jumper.,24,27
3:35,333,Donta Hall Offensive Rebound.,24,27
3:25,333,Ar'Mond Davis made Layup.,26,27
3:04,139,Elliott Welmer missed Jumper.,26,27
3:04,139,Saint Louis Offensive Rebound.,26,27
3:01,139,Official TV Timeout,26,27
2:45,139,Elliott Welmer Turnover.,26,27
2:44,333,Donta Hall Steal.,26,27
2:31,139,Foul on Elliott Welmer.,26,27
2:31,333,Donta Hall made Free Throw.,27,27
2:31,333,Donta Hall missed Free Throw.,27,27
2:31,139,Mike Crawford Defensive Rebound.,27,27
2:03,139,Davell Roby missed Three Point Jumper.,27,27
2:03,333,Ar'Mond Davis Defensive Rebound.,27,27
1:49,333,Braxton Key missed Jumper.,27,27
1:49,333,Donta Hall Offensive Rebound.,27,27
1:40,333,Braxton Key Turnover.,27,27
1:39,139,Davell Roby Steal.,27,27
1:37,139,Davell Roby made Layup.,27,29
1:35,139,Saint Louis  Timeout,27,29
1:14,333,Ar'Mond Davis missed Three Point Jumper.,27,29
1:14,139,Jalen Johnson Defensive Rebound.,27,29
1:12,333,Foul on Riley Norris.,27,29
1:12,139,Jalen Johnson missed Free Throw.,27,29
1:12,333,Nick King Defensive Rebound.,27,29
0:51,139,Foul on Zeke Moore.,27,29
0:51,333,Corban Collins made Free Throw.,28,29
0:51,333,Corban Collins made Free Throw.,29,29
0:32,333,Foul on Riley Norris.,29,29
0:32,139,Aaron Hines missed Free Throw.,29,29
0:32,139,Saint Louis Deadball Team Rebound.,29,29
0:32,139,Aaron Hines made Free Throw.,29,30
0:22,333,Alabama  Timeout,29,30
0:01,333,Alabama  Turnover.,29,30
0:00,139,Official TV Timeout,29,30
0:00,139,End of 1st half,29,30
19:45,139,Reggie Agbeko Turnover.,29,30
19:43,333,Riley Norris Steal.,29,30
19:27,139,Foul on Reggie Agbeko.,29,30
19:27,333,Dazon Ingram made Free Throw.,30,30
19:27,333,Dazon Ingram made Free Throw.,31,30
19:18,139,Mike Crawford made Three Point Jumper. Assisted by Elliott Welmer.,31,33
19:01,333,Corban Collins missed Layup.,31,33
19:01,139,Reggie Agbeko Defensive Rebound.,31,33
18:34,139,Davell Roby Turnover.,31,33
18:17,333,Dazon Ingram missed Three Point Jumper.,31,33
18:17,139,Davell Roby Defensive Rebound.,31,33
18:07,139,Elliott Welmer made Three Point Jumper. Assisted by Jermaine Bishop.,31,36
17:37,333,Dazon Ingram made Dunk. Assisted by Riley Norris.,33,36
17:09,139,Elliott Welmer Turnover.,33,36
17:09,333,Riley Norris Steal.,33,36
17:05,333,Riley Norris missed Layup.,33,36
17:05,139,Reggie Agbeko Defensive Rebound.,33,36
16:57,139,Elliott Welmer missed Three Point Jumper.,33,36
16:57,333,Dazon Ingram Defensive Rebound.,33,36
16:49,139,Foul on Davell Roby.,33,36
16:31,333,Jimmie Taylor Turnover.,33,36
16:30,333,Foul on Dazon Ingram.,33,36
16:05,139,Davell Roby missed Three Point Jumper.,33,36
16:05,333,Dazon Ingram Defensive Rebound.,33,36
15:51,333,Foul on Braxton Key.,33,36
15:51,333,Braxton Key Turnover.,33,36
15:51,139,Official TV Timeout,33,36
15:35,139,Jermaine Bishop Turnover.,33,36
15:20,333,Dazon Ingram Turnover.,33,36
15:19,139,Davell Roby Steal.,33,36
15:17,139,Davell Roby made Layup.,33,38
14:53,333,Riley Norris Turnover.,33,38
14:40,139,Foul on Jermaine Bishop.,33,38
14:40,139,Jermaine Bishop Turnover.,33,38
14:16,333,Donta Hall Turnover.,33,38
14:02,139,Mike Crawford missed Three Point Jumper.,33,38
14:02,333,Alabama Defensive Rebound.,33,38
13:43,333,Dazon Ingram Turnover.,33,38
13:41,139,Davell Roby Steal.,33,38
13:38,139,Elliott Welmer Turnover.,33,38
13:35,333,Corban Collins Steal.,33,38
13:15,333,Ar'Mond Davis missed Jumper.,33,38
13:15,333,Alabama Offensive Rebound.,33,38
12:45,333,Avery Johnson Jr. made Three Point Jumper. Assisted by Ar'Mond Davis.,36,38
12:17,333,Foul on Donta Hall.,36,38
12:17,139,Aaron Hines made Free Throw.,36,39
12:17,139,Aaron Hines missed Free Throw.,36,39
12:17,333,Shannon Hale Defensive Rebound.,36,39
12:00,333,Avery Johnson Jr. missed Three Point Jumper.,36,39
12:00,139,Reggie Agbeko Defensive Rebound.,36,39
11:57,333,Foul on Donta Hall.,36,39
11:57,139,Official TV Timeout,36,39
11:48,139,Aaron Hines Turnover.,36,39
11:45,333,Braxton Key Steal.,36,39
11:44,333,Braxton Key made Dunk.,38,39
11:22,139,Mike Crawford missed Three Point Jumper.,38,39
11:22,333,Donta Hall Defensive Rebound.,38,39
11:19,139,Foul on Elliott Welmer.,38,39
11:06,139,Foul on Elliott Welmer.,38,39
11:06,333,Shannon Hale missed Free Throw.,38,39
11:06,333,Alabama Deadball Team Rebound.,38,39
11:06,333,Shannon Hale made Free Throw.,39,39
10:50,333,Foul on Braxton Key.,39,39
10:42,139,Jalen Johnson missed Layup.,39,39
10:42,333,Shannon Hale Block.,39,39
10:42,139,Saint Louis Offensive Rebound.,39,39
10:28,139,Reggie Agbeko made Layup. Assisted by Davell Roby.,39,41
10:04,333,Ar'Mond Davis missed Layup.,39,41
10:04,139,Reggie Agbeko Defensive Rebound.,39,41
9:55,333,Foul on Avery Johnson Jr..,39,41
9:54,333,Foul on Shannon Hale.,39,41
9:54,139,Jalen Johnson made Free Throw.,39,42
9:54,139,Jalen Johnson made Free Throw.,39,43
9:35,333,Dazon Ingram Turnover.,39,43
9:11,139,Reggie Agbeko made Layup. Assisted by Davell Roby.,39,45
9:05,333,Braxton Key missed Three Point Jumper.,39,45
9:05,139,Davell Roby Defensive Rebound.,39,45
8:58,139,Zeke Moore missed Layup.,39,45
8:58,333,Braxton Key Block.,39,45
8:58,139,Saint Louis Offensive Rebound.,39,45
8:45,139,Reggie Agbeko Turnover.,39,45
8:25,333,Donta Hall made Layup. Assisted by Corban Collins.,41,45
8:06,139,Jermaine Bishop missed Jumper.,41,45
8:06,333,Donta Hall Defensive Rebound.,41,45
7:55,333,Shannon Hale missed Jumper.,41,45
7:55,139,Mike Crawford Defensive Rebound.,41,45
7:36,139,Mike Crawford missed Jumper.,41,45
7:36,333,Corban Collins Defensive Rebound.,41,45
7:33,139,Foul on Reggie Agbeko.,41,45
7:33,139,Official TV Timeout,41,45
7:17,333,Corban Collins made Jumper.,43,45
6:57,139,Mike Crawford made Layup.,43,47
6:57,333,Foul on Riley Norris.,43,47
6:57,139,Mike Crawford made Free Throw.,43,48
6:42,333,Dazon Ingram Turnover.,43,48
6:18,139,Mike Crawford missed Three Point Jumper.,43,48
6:18,333,Braxton Key Defensive Rebound.,43,48
6:13,139,Foul on Mike Crawford.,43,48
6:13,333,Nick King made Free Throw.,44,48
6:13,333,Nick King made Free Throw.,45,48
5:56,139,Jermaine Bishop made Three Point Jumper. Assisted by Jalen Johnson.,45,51
5:42,333,Braxton Key missed Layup.,45,51
5:42,139,Reggie Agbeko Defensive Rebound.,45,51
5:25,139,Jalen Johnson made Three Point Jumper. Assisted by Davell Roby.,45,54
5:14,333,Alabama  Timeout,45,54
5:01,333,Braxton Key Turnover.,45,54
5:00,139,Jermaine Bishop Steal.,45,54
4:44,139,Davell Roby Turnover.,45,54
4:43,333,Nick King Steal.,45,54
4:37,333,Braxton Key made Three Point Jumper. Assisted by Shannon Hale.,48,54
4:07,139,Davell Roby missed Layup.,48,54
4:07,333,Nick King Defensive Rebound.,48,54
3:50,333,Nick King made Three Point Jumper. Assisted by Dazon Ingram.,51,54
3:46,139,Saint Louis  Timeout,51,54
3:46,139,Official TV Timeout,51,54
3:22,333,Foul on Braxton Key.,51,54
3:22,139,Mike Crawford made Free Throw.,51,55
3:22,139,Mike Crawford missed Free Throw.,51,55
3:22,333,Shannon Hale Defensive Rebound.,51,55
3:05,333,Shannon Hale missed Three Point Jumper.,51,55
3:05,139,Reggie Agbeko Defensive Rebound.,51,55
2:56,139,Jermaine Bishop missed Three Point Jumper.,51,55
2:56,139,Reggie Agbeko Offensive Rebound.,51,55
2:51,139,Reggie Agbeko made Layup.,51,57
2:36,139,Foul on Davell Roby.,51,57
2:36,333,Dazon Ingram missed Free Throw.,51,57
2:36,139,Mike Crawford Defensive Rebound.,51,57
2:18,139,Jalen Johnson Turnover.,51,57
2:01,333,Braxton Key made Three Point Jumper. Assisted by Corban Collins.,54,57
1:51,139,Saint Louis  Timeout,54,57
1:47,139,Jalen Johnson Turnover.,54,57
1:42,333,Shannon Hale made Three Point Jumper. Assisted by Dazon Ingram.,57,57
1:19,139,Foul on Davell Roby.,57,57
1:19,139,Davell Roby Turnover.,57,57
1:07,139,Foul on Jermaine Bishop.,57,57
1:07,333,Braxton Key made Free Throw.,58,57
1:07,333,Braxton Key missed Free Throw.,58,57
1:07,139,Reggie Agbeko Defensive Rebound.,58,57
0:53,139,Saint Louis  Timeout,58,57
0:45,139,Jermaine Bishop missed Jumper.,58,57
0:45,333,Donta Hall Defensive Rebound.,58,57
0:36,333,Alabama  Timeout,58,57
0:17,333,Braxton Key missed Layup.,58,57
0:17,139,Elliott Welmer Defensive Rebound.,58,57
0:13,139,Mike Crawford Turnover.,58,57
0:13,333,Alabama  Timeout,58,57
0:11,139,Foul on Reggie Agbeko.,58,57
0:11,333,Corban Collins made Free Throw.,59,57
0:11,333,Corban Collins made Free Throw.,60,57
0:10,139,Elliott Welmer Turnover.,60,57
0:08,333,Dazon Ingram Steal.,60,57
0:08,139,Foul on Davell Roby.,60,57
0:08,333,Dazon Ingram made Free Throw.,61,57
0:08,333,Dazon Ingram made Free Throw.,62,57
0:03,139,Jermaine Bishop missed Layup.,62,57
0:03,333,Dazon Ingram Block.,62,57
0:01,333,Dazon Ingram Defensive Rebound.,62,57
0:00,139,Official TV Timeout,62,57
0:00,139,End of Game,62,57
