Coastal Carolina,154,Wake Forest,324
14:32,324,Elijah Wilson Turnover.,2,7
14:13,154,Brandon Childress made Jumper.,2,9
13:56,324,Joseph Williams-Powell missed Jumper.,2,9
13:56,154,Doral Moore Block.,2,9
13:55,154,Brandon Childress Defensive Rebound.,2,9
13:51,154,Bryant Crawford missed Jumper.,2,9
13:51,324,Amidou Bamba Defensive Rebound.,2,9
13:37,324,Colton Ray-St Cyr made Three Point Jumper. Assisted by Elijah Wilson.,5,9
13:16,154,Brandon Childress made Three Point Jumper. Assisted by Doral Moore.,5,12
12:59,154,Foul on Keyshawn Woods.,5,12
12:46,324,Demario Beck missed Jumper.,5,12
12:46,154,Konstantinos Mitoglou Defensive Rebound.,5,12
12:44,324,Foul on Demario Beck.,5,12
12:33,154,John Collins made Dunk. Assisted by Konstantinos Mitoglou.,5,14
12:05,324,Demario Beck Turnover.,5,14
12:04,154,Brandon Childress Steal.,5,14
12:01,154,Brandon Childress missed Three Point Jumper.,5,14
12:01,324,Demario Beck Defensive Rebound.,5,14
11:40,324,Demario Beck missed Layup.,5,14
11:40,154,John Collins Defensive Rebound.,5,14
11:34,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Brandon Childress.,5,17
11:29,324,Coastal Carolina  Timeout,5,17
11:13,324,Demario Beck Turnover.,5,17
11:12,154,Konstantinos Mitoglou Steal.,5,17
11:03,154,John Collins made Jumper.,5,19
10:46,324,Jaylan Robertson missed Jumper.,5,19
10:46,154,Konstantinos Mitoglou Defensive Rebound.,5,19
10:38,154,Keyshawn Woods made Three Point Jumper. Assisted by Brandon Childress.,5,22
10:23,324,Elijah Wilson missed Jumper.,5,22
10:23,154,John Collins Defensive Rebound.,5,22
10:21,324,Foul on Joseph Williams-Powell.,5,22
10:05,154,Brandon Childress Turnover.,5,22
9:49,324,Jaylan Robertson Turnover.,5,22
9:40,154,Brandon Childress made Three Point Jumper.,5,25
9:10,324,Elijah Wilson missed Three Point Jumper.,5,25
9:10,154,Konstantinos Mitoglou Defensive Rebound.,5,25
8:59,324,Foul on Elijah Wilson.,5,25
8:59,154,Mitchell Wilbekin made Free Throw.,5,26
8:59,154,Mitchell Wilbekin made Free Throw.,5,27
8:59,154,Mitchell Wilbekin made Free Throw.,5,28
8:44,324,Artur Labinowicz Turnover.,5,28
8:35,154,Bryant Crawford made Layup.,5,30
8:21,324,Elijah Wilson missed Layup.,5,30
8:21,154,John Collins Block.,5,30
8:20,154,John Collins Defensive Rebound.,5,30
8:08,324,Foul on Colton Ray-St Cyr.,5,30
8:07,154,Foul on Konstantinos Mitoglou.,5,30
8:07,154,Konstantinos Mitoglou Turnover.,5,30
7:45,324,Joseph Williams-Powell made Three Point Jumper. Assisted by Jaylen Shaw.,8,30
7:37,154,Rich Washington missed Three Point Jumper.,8,30
7:37,324,Colton Ray-St Cyr Defensive Rebound.,8,30
7:23,154,Official TV Timeout,8,30
7:09,324,Joseph Williams-Powell missed Jumper.,8,30
7:09,154,Doral Moore Defensive Rebound.,8,30
6:45,154,Doral Moore made Dunk. Assisted by Rich Washington.,8,32
6:23,324,Amidou Bamba missed Jumper.,8,32
6:23,324,Coastal Carolina Offensive Rebound.,8,32
6:18,324,Jaylen Shaw missed Three Point Jumper.,8,32
6:18,154,Keyshawn Woods Defensive Rebound.,8,32
6:09,154,Doral Moore missed Jumper.,8,32
6:09,324,Joseph Williams-Powell Defensive Rebound.,8,32
5:49,154,Foul on Rich Washington.,8,32
5:34,324,Joseph Williams-Powell Turnover.,8,32
5:34,154,John Collins Steal.,8,32
5:21,154,Bryant Crawford missed Jumper.,8,32
5:21,324,Colton Ray-St Cyr Defensive Rebound.,8,32
5:08,324,Elijah Wilson missed Three Point Jumper.,8,32
5:08,324,Coastal Carolina Offensive Rebound.,8,32
5:03,324,Elijah Wilson made Layup. Assisted by Colton Ray-St Cyr.,10,32
4:49,154,Keyshawn Woods missed Jumper.,10,32
4:49,324,Amidou Bamba Defensive Rebound.,10,32
4:39,324,Demario Beck missed Layup.,10,32
4:39,324,Amidou Bamba Offensive Rebound.,10,32
4:36,324,Amidou Bamba made Layup.,12,32
4:11,154,Austin Arians made Layup. Assisted by Konstantinos Mitoglou.,12,34
3:52,324,Elijah Wilson missed Jumper.,12,34
3:52,154,John Collins Defensive Rebound.,12,34
3:30,154,Konstantinos Mitoglou missed Three Point Jumper.,12,34
3:30,324,Jaylen Shaw Defensive Rebound.,12,34
3:21,324,Elijah Wilson made Three Point Jumper. Assisted by Colton Ray-St Cyr.,15,34
3:16,154,Wake Forest  Timeout,15,34
2:55,154,Austin Arians missed Three Point Jumper.,15,34
2:55,324,Demario Beck Defensive Rebound.,15,34
2:51,324,Demario Beck Turnover.,15,34
2:43,154,Konstantinos Mitoglou missed Three Point Jumper.,15,34
2:43,324,Amidou Bamba Defensive Rebound.,15,34
2:31,154,Foul on Brandon Childress.,15,34
2:25,324,Jaylen Shaw missed Jumper.,15,34
2:25,324,Demario Beck Offensive Rebound.,15,34
2:22,324,Demario Beck made Layup.,17,34
2:05,154,Mitchell Wilbekin missed Three Point Jumper.,17,34
2:05,324,Elijah Wilson Defensive Rebound.,17,34
1:48,324,Colton Ray-St Cyr missed Jumper.,17,34
1:48,154,John Collins Defensive Rebound.,17,34
1:28,154,John Collins made Jumper. Assisted by Bryant Crawford.,17,36
1:28,324,Foul on Jaylan Robertson.,17,36
1:28,154,John Collins made Free Throw.,17,37
1:11,324,Elijah Wilson made Three Point Jumper. Assisted by Colton Ray-St Cyr.,20,37
0:48,154,Keyshawn Woods missed Three Point Jumper.,20,37
0:48,324,Elijah Wilson Defensive Rebound.,20,37
0:36,324,Demario Beck made Three Point Jumper. Assisted by Elijah Wilson.,23,37
0:22,324,Foul on Jaylan Robertson.,23,37
0:22,154,Bryant Crawford missed Free Throw.,23,37
0:22,324,Amidou Bamba Defensive Rebound.,23,37
0:22,154,Foul on Greg McClinton.,23,37
0:08,324,Elijah Wilson missed Three Point Jumper.,23,37
0:08,154,Wake Forest Defensive Rebound.,23,37
0:00,154,End of 1st half,23,37
19:45,154,Foul on Konstantinos Mitoglou.,23,37
19:45,324,Demario Beck missed Free Throw.,23,37
19:45,324,Coastal Carolina Deadball Team Rebound.,23,37
19:45,324,Demario Beck made Free Throw.,24,37
19:32,154,Austin Arians Turnover.,24,37
19:31,324,Demario Beck Steal.,24,37
19:23,324,Demario Beck missed Three Point Jumper.,24,37
19:23,324,Colton Ray-St Cyr Offensive Rebound.,24,37
19:19,324,Colton Ray-St Cyr missed Jumper.,24,37
19:19,154,Bryant Crawford Defensive Rebound.,24,37
19:06,154,John Collins missed Jumper.,24,37
19:06,324,Demario Beck Defensive Rebound.,24,37
18:56,324,Demario Beck made Three Point Jumper. Assisted by Jaylen Shaw.,27,37
18:36,324,Foul on Amidou Bamba.,27,37
18:36,154,Mitchell Wilbekin made Free Throw.,27,38
18:36,154,Mitchell Wilbekin made Free Throw.,27,39
18:24,324,Elijah Wilson missed Three Point Jumper.,27,39
18:24,324,Colton Ray-St Cyr Offensive Rebound.,27,39
18:13,324,Amidou Bamba made Jumper. Assisted by Jaylen Shaw.,29,39
17:53,154,Austin Arians made Three Point Jumper. Assisted by Mitchell Wilbekin.,29,42
17:21,324,Colton Ray-St Cyr made Three Point Jumper. Assisted by Jaylen Shaw.,32,42
17:02,154,Doral Moore made Jumper.,32,44
16:45,324,Jaylen Shaw made Three Point Jumper. Assisted by Colton Ray-St Cyr.,35,44
16:29,154,Brandon Childress missed Three Point Jumper.,35,44
16:29,324,Colton Ray-St Cyr Defensive Rebound.,35,44
16:09,324,Elijah Wilson made Jumper.,37,44
15:52,154,Doral Moore missed Jumper.,37,44
15:52,324,Demario Beck Defensive Rebound.,37,44
15:38,154,Foul on Brandon Childress.,37,44
15:38,154,Official TV Timeout,37,44
15:38,324,Amidou Bamba missed Free Throw.,37,44
15:38,324,Coastal Carolina Deadball Team Rebound.,37,44
15:38,324,Amidou Bamba missed Free Throw.,37,44
15:38,154,Doral Moore Defensive Rebound.,37,44
15:18,154,Doral Moore missed Jumper.,37,44
15:18,324,Colton Ray-St Cyr Defensive Rebound.,37,44
15:05,324,Demario Beck missed Three Point Jumper.,37,44
15:05,324,Jaylen Shaw Offensive Rebound.,37,44
14:56,324,Elijah Wilson made Three Point Jumper. Assisted by Jaylen Shaw.,40,44
14:42,324,Foul on Amidou Bamba.,40,44
14:41,324,Foul on Jaylen Shaw.,40,44
14:30,154,Konstantinos Mitoglou Turnover.,40,44
14:29,324,Demario Beck Steal.,40,44
14:24,324,Demario Beck missed Layup.,40,44
14:24,154,John Collins Defensive Rebound.,40,44
14:12,154,John Collins made Layup. Assisted by Bryant Crawford.,40,46
13:52,324,Demario Beck missed Jumper.,40,46
13:52,154,Konstantinos Mitoglou Block.,40,46
13:50,154,Konstantinos Mitoglou Defensive Rebound.,40,46
13:40,324,Foul on Jaylen Shaw.,40,46
13:40,154,Bryant Crawford made Free Throw.,40,47
13:40,154,Bryant Crawford made Free Throw.,40,48
13:16,324,Elijah Wilson missed Three Point Jumper.,40,48
13:16,154,Keyshawn Woods Defensive Rebound.,40,48
13:07,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Keyshawn Woods.,40,51
12:58,324,Joseph Williams-Powell missed Layup.,40,51
12:58,154,John Collins Block.,40,51
12:56,154,Keyshawn Woods Defensive Rebound.,40,51
12:49,154,Keyshawn Woods Turnover.,40,51
12:49,324,Jaylen Shaw Steal.,40,51
12:35,154,Foul on Mitchell Wilbekin.,40,51
12:35,324,Joseph Williams-Powell made Free Throw.,41,51
12:35,324,Joseph Williams-Powell missed Free Throw.,41,51
12:35,154,Greg McClinton Defensive Rebound.,41,51
12:25,324,Foul on Josh Coleman.,41,51
12:21,154,Bryant Crawford missed Three Point Jumper.,41,51
12:21,324,Colton Ray-St Cyr Defensive Rebound.,41,51
12:12,324,Jaylen Shaw missed Jumper.,41,51
12:12,154,Konstantinos Mitoglou Defensive Rebound.,41,51
12:10,324,Foul on Josh Coleman.,41,51
11:50,154,Official TV Timeout,41,51
11:35,154,Keyshawn Woods made Jumper.,41,53
11:13,324,Josh Coleman made Jumper.,43,53
10:54,154,Brandon Childress made Three Point Jumper. Assisted by Keyshawn Woods.,43,56
10:46,154,Foul on Konstantinos Mitoglou.,43,56
10:44,324,Joseph Williams-Powell made Layup.,45,56
10:43,154,Foul on Doral Moore.,45,56
10:43,324,Joseph Williams-Powell missed Free Throw.,45,56
10:43,154,John Collins Defensive Rebound.,45,56
10:34,324,Foul on Demario Beck.,45,56
10:34,154,Konstantinos Mitoglou made Free Throw.,45,57
10:34,154,Konstantinos Mitoglou made Free Throw.,45,58
10:25,324,Joseph Williams-Powell made Jumper. Assisted by Demario Beck.,47,58
10:09,154,Bryant Crawford missed Three Point Jumper.,47,58
10:09,324,Colton Ray-St Cyr Defensive Rebound.,47,58
10:00,324,Demario Beck missed Three Point Jumper.,47,58
10:00,154,John Collins Defensive Rebound.,47,58
9:48,154,Konstantinos Mitoglou missed Layup.,47,58
9:48,324,Colton Ray-St Cyr Defensive Rebound.,47,58
9:39,324,Jaylen Shaw missed Layup.,47,58
9:39,324,Demario Beck Offensive Rebound.,47,58
9:36,324,Demario Beck made Layup.,49,58
9:22,154,Bryant Crawford missed Layup.,49,58
9:22,154,John Collins Offensive Rebound.,49,58
9:21,154,Brandon Childress Turnover.,49,58
9:19,324,Artur Labinowicz Steal.,49,58
9:16,324,Demario Beck Turnover.,49,58
8:59,324,Foul on Artur Labinowicz.,49,58
8:59,154,Brandon Childress made Free Throw.,49,59
8:59,154,Brandon Childress made Free Throw.,49,60
8:43,324,Elijah Wilson missed Layup.,49,60
8:43,154,Konstantinos Mitoglou Defensive Rebound.,49,60
8:36,154,Foul on Brandon Childress.,49,60
8:36,154,Brandon Childress Turnover.,49,60
8:22,324,Demario Beck missed Jumper.,49,60
8:22,154,Brandon Childress Defensive Rebound.,49,60
8:16,324,Foul on Joseph Williams-Powell.,49,60
8:16,154,Brandon Childress made Free Throw.,49,61
8:16,154,Brandon Childress made Free Throw.,49,62
8:09,154,Foul on Keyshawn Woods.,49,62
8:09,324,Jaylen Shaw made Free Throw.,50,62
8:09,324,Jaylen Shaw made Free Throw.,51,62
7:53,154,Official TV Timeout,51,62
7:41,154,Mitchell Wilbekin missed Three Point Jumper.,51,62
7:41,154,Keyshawn Woods Offensive Rebound.,51,62
7:34,154,John Collins Turnover.,51,62
7:33,324,Colton Ray-St Cyr Steal.,51,62
7:30,324,Elijah Wilson made Layup. Assisted by Colton Ray-St Cyr.,53,62
7:11,154,Austin Arians made Three Point Jumper. Assisted by Bryant Crawford.,53,65
6:53,324,Joseph Williams-Powell made Jumper. Assisted by Jaylen Shaw.,55,65
6:32,154,John Collins made Layup. Assisted by Mitchell Wilbekin.,55,67
6:17,324,Elijah Wilson Turnover.,55,67
6:01,324,Foul on Amidou Bamba.,55,67
6:01,154,Bryant Crawford made Free Throw.,55,68
6:01,154,Bryant Crawford missed Free Throw.,55,68
6:01,324,Joseph Williams-Powell Defensive Rebound.,55,68
5:56,324,Elijah Wilson made Three Point Jumper. Assisted by Jaylen Shaw.,58,68
5:35,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Brandon Childress.,58,71
5:16,154,Foul on Mitchell Wilbekin.,58,71
5:16,324,Colton Ray-St Cyr missed Free Throw.,58,71
5:16,154,John Collins Defensive Rebound.,58,71
4:56,154,Bryant Crawford made Jumper.,58,73
4:44,324,Jaylen Shaw missed Jumper.,58,73
4:44,154,Konstantinos Mitoglou Defensive Rebound.,58,73
4:16,154,Brandon Childress missed Three Point Jumper.,58,73
4:16,324,Elijah Wilson Defensive Rebound.,58,73
4:07,324,Colton Ray-St Cyr made Layup.,60,73
3:50,154,John Collins missed Jumper.,60,73
3:50,324,Elijah Wilson Defensive Rebound.,60,73
3:37,324,Elijah Wilson missed Layup.,60,73
3:37,324,Amidou Bamba Offensive Rebound.,60,73
3:33,324,Colton Ray-St Cyr missed Three Point Jumper.,60,73
3:33,154,John Collins Defensive Rebound.,60,73
3:18,154,Konstantinos Mitoglou Turnover.,60,73
3:18,154,Official TV Timeout,60,73
3:06,324,Colton Ray-St Cyr missed Three Point Jumper.,60,73
3:06,154,Keyshawn Woods Defensive Rebound.,60,73
2:41,324,Foul on Elijah Wilson.,60,73
2:41,154,Konstantinos Mitoglou missed Dunk.,60,73
2:41,154,Wake Forest Deadball Team Rebound.,60,73
2:41,154,Konstantinos Mitoglou made Free Throw.,60,74
2:32,324,Jaylen Shaw missed Three Point Jumper.,60,74
2:32,324,Coastal Carolina Offensive Rebound.,60,74
2:19,324,Joseph Williams-Powell missed Jumper.,60,74
2:19,154,Konstantinos Mitoglou Defensive Rebound.,60,74
2:03,154,Keyshawn Woods made Three Point Jumper. Assisted by Bryant Crawford.,60,77
1:54,324,Elijah Wilson missed Three Point Jumper.,60,77
1:54,324,Colton Ray-St Cyr Offensive Rebound.,60,77
1:51,154,Foul on Keyshawn Woods.,60,77
1:50,324,Colton Ray-St Cyr made Free Throw.,61,77
1:50,324,Colton Ray-St Cyr made Free Throw.,62,77
1:43,154,John Collins made Layup. Assisted by Keyshawn Woods.,62,79
1:32,154,Foul on Keyshawn Woods.,62,79
1:32,324,Elijah Wilson made Free Throw.,63,79
1:32,324,Elijah Wilson made Free Throw.,64,79
1:29,154,Bryant Crawford Turnover.,64,79
1:28,324,Colton Ray-St Cyr Steal.,64,79
1:27,324,Artur Labinowicz made Three Point Jumper. Assisted by Colton Ray-St Cyr.,67,79
1:23,324,Coastal Carolina  Timeout,67,79
1:19,154,Bryant Crawford missed Layup.,67,79
1:19,324,Amidou Bamba Block.,67,79
1:17,324,Elijah Wilson Defensive Rebound.,67,79
1:13,324,Jaylen Shaw made Three Point Jumper. Assisted by Elijah Wilson.,70,79
1:10,324,Coastal Carolina  Timeout,70,79
1:06,324,Foul on Amidou Bamba.,70,79
1:06,154,Bryant Crawford made Free Throw.,70,80
1:06,154,Bryant Crawford made Free Throw.,70,81
1:01,324,Elijah Wilson missed Three Point Jumper.,70,81
1:01,154,John Collins Defensive Rebound.,70,81
0:56,324,Foul on Joseph Williams-Powell.,70,81
0:56,154,John Collins made Free Throw.,70,82
0:56,154,John Collins made Free Throw.,70,83
0:49,324,Jaylen Shaw missed Jumper.,70,83
0:49,154,John Collins Defensive Rebound.,70,83
0:48,324,Foul on Joseph Williams-Powell.,70,83
0:48,154,John Collins made Free Throw.,70,84
0:48,154,John Collins missed Free Throw.,70,84
0:48,324,Elijah Wilson Defensive Rebound.,70,84
0:41,324,Elijah Wilson missed Layup.,70,84
0:41,154,Brandon Childress Defensive Rebound.,70,84
0:29,154,Keyshawn Woods Turnover.,70,84
0:28,324,Jaylen Shaw Steal.,70,84
0:24,324,Jaylen Shaw made Jumper.,72,84
0:20,154,Brandon Childress Turnover.,72,84
0:18,324,Colton Ray-St Cyr Steal.,72,84
0:17,324,Colton Ray-St Cyr made Layup.,74,84
0:10,154,John Collins made Dunk. Assisted by Trent VanHorn.,74,86
0:04,324,Elijah Wilson Turnover.,74,86
