Michigan,2579,South Carolina,130
8:40,130,D.J. Wilson made Jumper.,20,17
8:24,2579,Sindarius Thornwell made Layup.,20,19
8:08,130,Derrick Walton Jr. missed Three Point Jumper.,20,19
8:08,2579,Maik Kotsar Defensive Rebound.,20,19
7:56,2579,Sindarius Thornwell made Three Point Jumper. Assisted by Hassani Gravett.,20,22
7:26,130,Duncan Robinson made Jumper.,22,22
7:13,2579,Sindarius Thornwell missed Jumper.,22,22
7:13,130,Duncan Robinson Defensive Rebound.,22,22
7:05,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,22,22
7:05,2579,Sindarius Thornwell Defensive Rebound.,22,22
7:00,2579,Sindarius Thornwell Turnover.,22,22
6:59,130,Muhammad-Ali Abdur-Rahkman Steal.,22,22
6:52,130,Duncan Robinson missed Three Point Jumper.,22,22
6:52,130,Moritz Wagner Offensive Rebound.,22,22
6:49,2579,Foul on Maik Kotsar.,22,22
6:49,2579,Official TV Timeout,22,22
6:49,130,Moritz Wagner made Free Throw.,23,22
6:49,130,Moritz Wagner missed Free Throw.,23,22
6:49,2579,Sindarius Thornwell Defensive Rebound.,23,22
6:30,2579,Justin McKie made Jumper.,23,24
6:16,130,Muhammad-Ali Abdur-Rahkman Turnover.,23,24
6:08,2579,Justin McKie made Three Point Jumper. Assisted by Hassani Gravett.,23,27
5:46,130,D.J. Wilson missed Three Point Jumper.,23,27
5:46,2579,Hassani Gravett Defensive Rebound.,23,27
5:39,130,Foul on Muhammad-Ali Abdur-Rahkman.,23,27
5:20,2579,Hassani Gravett missed Three Point Jumper.,23,27
5:20,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,23,27
4:45,2579,Foul on Justin McKie.,23,27
4:45,130,Derrick Walton Jr. made Free Throw.,24,27
4:45,130,Derrick Walton Jr. made Free Throw.,25,27
4:28,2579,Sindarius Thornwell made Jumper.,25,29
4:00,130,Zak Irvin Turnover.,25,29
4:00,130,Foul on Zak Irvin.,25,29
3:46,2579,Hassani Gravett missed Jumper.,25,29
3:46,130,Michigan Defensive Rebound.,25,29
3:43,2579,Official TV Timeout,25,29
3:19,130,Zak Irvin made Jumper.,27,29
3:01,2579,Sindarius Thornwell Turnover.,27,29
3:01,130,Muhammad-Ali Abdur-Rahkman Steal.,27,29
3:01,2579,Foul on Justin McKie.,27,29
3:01,130,Muhammad-Ali Abdur-Rahkman missed Free Throw.,27,29
3:01,130,Michigan Deadball Team Rebound.,27,29
3:01,130,Muhammad-Ali Abdur-Rahkman missed Free Throw.,27,29
3:01,2579,Sindarius Thornwell Defensive Rebound.,27,29
2:54,2579,Duane Notice missed Jumper.,27,29
2:54,2579,Hassani Gravett Offensive Rebound.,27,29
2:47,2579,Rakym Felder Turnover.,27,29
2:47,2579,Foul on Rakym Felder.,27,29
2:31,130,Derrick Walton Jr. missed Layup.,27,29
2:31,2579,Duane Notice Defensive Rebound.,27,29
2:27,130,Foul on Muhammad-Ali Abdur-Rahkman.,27,29
2:27,2579,Duane Notice made Free Throw.,27,30
2:16,2579,Duane Notice missed Free Throw.,27,30
2:16,2579,Hassani Gravett Offensive Rebound.,27,30
1:58,130,Foul on Xavier Simpson.,27,30
1:58,2579,Duane Notice missed Free Throw.,27,30
1:58,2579,South Carolina Deadball Team Rebound.,27,30
1:58,2579,Duane Notice made Free Throw.,27,31
1:43,130,Zak Irvin Turnover.,27,31
1:20,2579,Sindarius Thornwell missed Three Point Jumper.,27,31
1:20,2579,Sedee Keita Offensive Rebound.,27,31
1:04,2579,Duane Notice missed Jumper.,27,31
1:04,130,Duncan Robinson Defensive Rebound.,27,31
0:44,130,Zak Irvin missed Three Point Jumper.,27,31
0:44,2579,Duane Notice Defensive Rebound.,27,31
0:36,2579,Duane Notice made Layup.,27,33
0:20,130,Michigan  Timeout,27,33
0:09,130,Zak Irvin missed Jumper.,27,33
0:09,2579,Sindarius Thornwell Defensive Rebound.,27,33
0:01,2579,Rakym Felder missed Jumper.,27,33
0:01,130,Derrick Walton Jr. Defensive Rebound.,27,33
0:00,2579,End of 1st half,27,33
19:48,130,Derrick Walton Jr. missed Three Point Jumper.,27,33
19:48,2579,Sindarius Thornwell Defensive Rebound.,27,33
19:30,2579,PJ Dozier missed Three Point Jumper.,27,33
19:30,2579,Duane Notice Offensive Rebound.,27,33
19:23,2579,Sindarius Thornwell missed Three Point Jumper.,27,33
19:23,2579,Maik Kotsar Offensive Rebound.,27,33
19:18,2579,Maik Kotsar missed Layup.,27,33
19:18,130,Michigan Defensive Rebound.,27,33
18:55,130,Muhammad-Ali Abdur-Rahkman made Jumper.,29,33
18:48,130,Foul on Mark Donnal.,29,33
18:40,130,Foul on D.J. Wilson.,29,33
18:40,2579,Maik Kotsar made Free Throw.,29,34
18:40,2579,Maik Kotsar made Free Throw.,29,35
18:19,130,D.J. Wilson missed Three Point Jumper.,29,35
18:19,130,Michigan Deadball Team Rebound.,29,35
18:18,2579,Foul on Maik Kotsar.,29,35
18:01,130,Zak Irvin missed Jumper.,29,35
18:01,130,D.J. Wilson Offensive Rebound.,29,35
17:55,130,Derrick Walton Jr. missed Three Point Jumper.,29,35
17:55,2579,Chris Silva Defensive Rebound.,29,35
17:41,2579,PJ Dozier Turnover.,29,35
17:21,130,Zak Irvin missed Jumper.,29,35
17:21,130,Michigan Deadball Team Rebound.,29,35
17:19,2579,Foul on Chris Silva.,29,35
17:03,130,Zak Irvin Turnover.,29,35
17:02,2579,Sindarius Thornwell Steal.,29,35
16:58,2579,Duane Notice missed Three Point Jumper.,29,35
16:58,2579,Duane Notice Offensive Rebound.,29,35
16:36,130,Foul on Mark Donnal.,29,35
16:33,2579,PJ Dozier Turnover.,29,35
16:33,2579,Foul on PJ Dozier.,29,35
16:15,130,Moritz Wagner missed Layup.,29,35
16:15,130,Duncan Robinson Offensive Rebound.,29,35
16:13,130,Duncan Robinson Turnover.,29,35
15:47,2579,Hassani Gravett made Jumper.,29,37
15:25,2579,Foul on Rakym Felder.,29,37
15:25,2579,Official TV Timeout,29,37
15:11,130,Zak Irvin Turnover.,29,37
14:48,2579,Duane Notice made Layup.,29,39
14:29,130,Muhammad-Ali Abdur-Rahkman made Layup.,31,39
14:29,2579,Foul on Khadim Gueye.,31,39
14:29,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,32,39
14:18,2579,Sindarius Thornwell made Layup.,32,41
14:04,130,Zak Irvin Turnover.,32,41
14:04,130,Michigan  Timeout,32,41
13:38,2579,Khadim Gueye missed Layup.,32,41
13:38,2579,Khadim Gueye Offensive Rebound.,32,41
13:34,2579,Khadim Gueye missed Jumper.,32,41
13:34,2579,South Carolina Offensive Rebound.,32,41
13:23,2579,Duane Notice missed Three Point Jumper.,32,41
13:23,130,Zak Irvin Defensive Rebound.,32,41
12:55,130,Moritz Wagner missed Layup.,32,41
12:55,2579,Sindarius Thornwell Block.,32,41
12:54,130,Michigan Offensive Rebound.,32,41
12:50,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,32,41
12:50,2579,South Carolina Defensive Rebound.,32,41
12:34,2579,Sedee Keita Turnover.,32,41
12:34,2579,Foul on Sedee Keita.,32,41
12:24,130,Zak Irvin missed Jumper.,32,41
12:24,2579,Khadim Gueye Defensive Rebound.,32,41
12:13,2579,Sedee Keita Turnover.,32,41
12:12,130,Muhammad-Ali Abdur-Rahkman Steal.,32,41
12:04,2579,Foul on PJ Dozier.,32,41
12:04,130,Derrick Walton Jr. made Free Throw.,33,41
12:04,130,Derrick Walton Jr. missed Free Throw.,33,41
12:04,130,Moritz Wagner Offensive Rebound.,33,41
12:02,130,Derrick Walton Jr. missed Three Point Jumper.,33,41
12:02,2579,Justin McKie Defensive Rebound.,33,41
11:53,130,Foul on Zak Irvin.,33,41
11:53,2579,Official TV Timeout,33,41
11:53,2579,Rakym Felder missed Free Throw.,33,41
11:53,2579,South Carolina Deadball Team Rebound.,33,41
11:53,2579,Rakym Felder missed Free Throw.,33,41
11:53,130,Moritz Wagner Defensive Rebound.,33,41
11:24,130,Zak Irvin Turnover.,33,41
11:23,2579,Rakym Felder Steal.,33,41
10:54,2579,Maik Kotsar made Layup.,33,43
10:29,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,33,43
10:29,2579,Justin McKie Defensive Rebound.,33,43
10:18,2579,Hassani Gravett missed Three Point Jumper.,33,43
10:18,2579,South Carolina Offensive Rebound.,33,43
10:12,2579,Hassani Gravett missed Three Point Jumper.,33,43
10:12,2579,Sindarius Thornwell Offensive Rebound.,33,43
10:06,130,Foul on Zak Irvin.,33,43
10:06,2579,Sindarius Thornwell made Free Throw.,33,44
10:06,2579,Sindarius Thornwell made Free Throw.,33,45
9:52,2579,Foul on Duane Notice.,33,45
9:52,130,Derrick Walton Jr. made Free Throw.,34,45
9:52,130,Derrick Walton Jr. made Free Throw.,35,45
9:35,2579,Sindarius Thornwell made Three Point Jumper. Assisted by Hassani Gravett.,35,48
9:17,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,35,48
9:17,130,Michigan Deadball Team Rebound.,35,48
9:14,2579,Foul on Hassani Gravett.,35,48
9:14,130,Mark Donnal made Free Throw.,36,48
9:14,130,Mark Donnal made Free Throw.,37,48
9:03,2579,Maik Kotsar made Layup.,37,50
8:47,130,Derrick Walton Jr. missed Three Point Jumper.,37,50
8:47,2579,Maik Kotsar Defensive Rebound.,37,50
8:38,130,Foul on Derrick Walton Jr..,37,50
8:38,2579,Sindarius Thornwell missed Free Throw.,37,50
8:38,2579,South Carolina Deadball Team Rebound.,37,50
8:38,2579,Sindarius Thornwell made Free Throw.,37,51
8:15,130,Ibi Watson missed Three Point Jumper.,37,51
8:15,2579,Sindarius Thornwell Block.,37,51
8:14,130,Michigan Offensive Rebound.,37,51
8:09,130,Zak Irvin missed Three Point Jumper.,37,51
8:09,130,Mark Donnal Offensive Rebound.,37,51
8:04,130,Mark Donnal Turnover.,37,51
8:03,2579,Duane Notice Steal.,37,51
7:47,2579,Sindarius Thornwell Turnover.,37,51
7:37,130,Zak Irvin Steal.,37,51
7:35,130,Derrick Walton Jr. missed Layup.,37,51
7:35,130,Mark Donnal Offensive Rebound.,37,51
7:34,130,Mark Donnal missed Two Point Tip Shot.,37,51
7:34,130,Mark Donnal Offensive Rebound.,37,51
7:33,2579,Foul on Sedee Keita.,37,51
7:33,130,Mark Donnal made Jumper.,39,51
7:33,2579,Official TV Timeout,39,51
7:33,130,Mark Donnal made Free Throw.,40,51
7:19,2579,Chris Silva made Dunk. Assisted by Hassani Gravett.,40,53
6:49,130,Derrick Walton Jr. missed Jumper.,40,53
6:49,2579,Sindarius Thornwell Defensive Rebound.,40,53
6:25,130,Foul on Zak Irvin.,40,53
6:25,2579,Chris Silva made Free Throw.,40,54
6:25,2579,Chris Silva made Free Throw.,40,55
6:01,130,Zak Irvin missed Three Point Jumper.,40,55
6:01,130,Muhammad-Ali Abdur-Rahkman Offensive Rebound.,40,55
5:40,130,D.J. Wilson missed Jumper.,40,55
5:40,130,Muhammad-Ali Abdur-Rahkman Offensive Rebound.,40,55
5:32,130,Zak Irvin Turnover.,40,55
5:32,130,Foul on Zak Irvin.,40,55
5:17,2579,Chris Silva Turnover.,40,55
5:07,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,40,55
5:07,2579,Maik Kotsar Defensive Rebound.,40,55
4:38,2579,Sindarius Thornwell Turnover.,40,55
4:37,130,Ibi Watson Steal.,40,55
4:35,2579,Foul on Hassani Gravett.,40,55
4:34,130,Ibi Watson missed Free Throw.,40,55
4:34,130,Michigan Deadball Team Rebound.,40,55
4:34,130,Ibi Watson made Free Throw.,41,55
4:34,130,Michigan  Timeout,41,55
4:10,130,Derrick Walton Jr. missed Jumper.,41,55
4:10,2579,South Carolina Deadball Team Rebound.,41,55
4:08,2579,Foul on Chris Silva.,41,55
4:08,130,Mark Donnal made Free Throw.,42,55
4:08,130,Mark Donnal missed Free Throw.,42,55
4:08,2579,Justin McKie Defensive Rebound.,42,55
3:46,2579,Sindarius Thornwell made Layup.,42,57
3:46,130,Foul on Duncan Robinson.,42,57
3:46,2579,Official TV Timeout,42,57
3:46,2579,Sindarius Thornwell missed Free Throw.,42,57
3:46,130,D.J. Wilson Defensive Rebound.,42,57
3:26,2579,Foul on Sindarius Thornwell.,42,57
3:26,130,Moritz Wagner missed Free Throw.,42,57
3:26,130,Michigan Deadball Team Rebound.,42,57
3:26,130,Moritz Wagner made Free Throw.,43,57
3:07,2579,Maik Kotsar made Layup. Assisted by Sindarius Thornwell.,43,59
2:41,130,Derrick Walton Jr. missed Three Point Jumper.,43,59
2:41,2579,Sindarius Thornwell Defensive Rebound.,43,59
2:11,2579,Duane Notice missed Three Point Jumper.,43,59
2:11,130,Xavier Simpson Defensive Rebound.,43,59
1:54,130,Derrick Walton Jr. made Three Point Jumper. Assisted by Xavier Simpson.,46,59
1:52,130,Michigan  Timeout,46,59
1:27,2579,PJ Dozier missed Jumper.,46,59
1:27,130,Jon Teske Defensive Rebound.,46,59
1:18,130,Xavier Simpson Turnover.,46,59
1:16,2579,PJ Dozier Steal.,46,59
1:14,2579,Duane Notice made Layup. Assisted by Sindarius Thornwell.,46,61
0:53,130,Xavier Simpson missed Three Point Jumper.,46,61
0:53,2579,Duane Notice Defensive Rebound.,46,61
0:22,2579,Hassani Gravett missed Jumper.,46,61
0:22,2579,South Carolina Offensive Rebound.,46,61
0:00,2579,End of Game,46,61
