Valparaiso,252,BYU,2674
12:24,252,Jamal Aytes made Free Throw.,9,18
12:11,2674,Alec Peters Turnover.,9,18
11:52,252,Nick Emery made Three Point Jumper.,9,21
11:30,2674,Derrik Smits missed Jumper.,9,21
11:30,2674,Alec Peters Offensive Rebound.,9,21
11:24,2674,Alec Peters made Layup.,11,21
11:24,252,Foul on Kyle Davis.,11,21
11:24,252,Official TV Timeout,11,21
11:24,2674,Alec Peters made Free Throw.,12,21
11:02,252,Elijah Bryant Turnover.,12,21
10:48,2674,Alec Peters made Layup.,14,21
10:40,252,Elijah Bryant made Layup.,14,23
10:19,2674,Shane Hammink made Layup.,16,23
10:19,252,Foul on Kyle Davis.,16,23
10:19,2674,Shane Hammink missed Free Throw.,16,23
10:19,252,BYU Defensive Rebound.,16,23
10:06,252,Jamal Aytes made Jumper. Assisted by Elijah Bryant.,16,25
9:43,2674,Shane Hammink missed Layup.,16,25
9:43,252,Payton Dastrup Defensive Rebound.,16,25
9:36,252,Elijah Bryant missed Three Point Jumper.,16,25
9:36,252,Payton Dastrup Offensive Rebound.,16,25
9:32,252,Payton Dastrup made Layup.,16,27
9:18,2674,Max Joseph Turnover.,16,27
9:04,252,TJ Haws missed Jumper.,16,27
9:04,2674,Tevonn Walker Defensive Rebound.,16,27
8:54,2674,Jubril Adekoya made Layup. Assisted by Tevonn Walker.,18,27
8:45,2674,Foul on Lexus Williams.,18,27
8:45,252,L.J. Rose made Free Throw.,18,28
8:45,252,L.J. Rose made Free Throw.,18,29
8:38,2674,Lexus Williams made Jumper.,20,29
8:23,252,L.J. Rose Turnover.,20,29
8:22,2674,Tevonn Walker Steal.,20,29
8:20,252,Foul on Elijah Bryant.,20,29
8:20,2674,Tevonn Walker made Free Throw.,21,29
8:20,2674,Tevonn Walker made Free Throw.,22,29
8:12,252,Payton Dastrup missed Layup.,22,29
8:12,2674,Jubril Adekoya Defensive Rebound.,22,29
8:03,2674,Tevonn Walker missed Three Point Jumper.,22,29
8:03,2674,Tevonn Walker Offensive Rebound.,22,29
7:53,2674,Lexus Williams made Three Point Jumper. Assisted by Shane Hammink.,25,29
7:28,252,TJ Haws made Layup.,25,31
7:11,2674,Shane Hammink missed Three Point Jumper.,25,31
7:11,252,L.J. Rose Defensive Rebound.,25,31
7:03,2674,Foul on Tevonn Walker.,25,31
7:03,252,Official TV Timeout,25,31
7:03,252,Jamal Aytes made Free Throw.,25,32
7:03,252,Jamal Aytes missed Free Throw.,25,32
7:03,2674,Alec Peters Defensive Rebound.,25,32
6:46,2674,Alec Peters Turnover.,25,32
6:29,252,Nick Emery missed Layup.,25,32
6:29,2674,Alec Peters Defensive Rebound.,25,32
6:05,2674,Jubril Adekoya Turnover.,25,32
6:04,252,Nick Emery Steal.,25,32
6:01,252,Nick Emery made Layup.,25,34
5:44,2674,Alec Peters missed Three Point Jumper.,25,34
5:44,252,TJ Haws Defensive Rebound.,25,34
5:36,252,Nick Emery missed Three Point Jumper.,25,34
5:36,2674,Alec Peters Defensive Rebound.,25,34
5:25,2674,Tevonn Walker made Three Point Jumper. Assisted by Lexus Williams.,28,34
5:05,252,Jamal Aytes missed Jumper.,28,34
5:05,2674,Jubril Adekoya Defensive Rebound.,28,34
4:59,2674,Alec Peters made Layup. Assisted by Lexus Williams.,30,34
4:50,252,Payton Dastrup made Jumper. Assisted by L.J. Rose.,30,36
4:32,2674,Tevonn Walker missed Jumper.,30,36
4:32,2674,Valparaiso Offensive Rebound.,30,36
4:23,2674,Jubril Adekoya missed Layup.,30,36
4:23,252,L.J. Rose Defensive Rebound.,30,36
4:15,252,TJ Haws made Layup.,30,38
3:54,2674,Max Joseph missed Three Point Jumper.,30,38
3:54,252,Nick Emery Defensive Rebound.,30,38
3:48,252,TJ Haws missed Three Point Jumper.,30,38
3:48,252,Jamal Aytes Offensive Rebound.,30,38
3:36,252,Official TV Timeout,30,38
3:35,252,Nick Emery missed Layup.,30,38
3:35,2674,Max Joseph Block.,30,38
3:32,2674,Max Joseph Defensive Rebound.,30,38
3:29,2674,Alec Peters made Layup. Assisted by Max Joseph.,32,38
3:13,252,L.J. Rose missed Jumper.,32,38
3:13,2674,Jubril Adekoya Defensive Rebound.,32,38
3:04,252,Foul on Nick Emery.,32,38
3:04,2674,Alec Peters made Free Throw.,33,38
3:04,2674,Alec Peters made Free Throw.,34,38
2:40,252,L.J. Rose missed Three Point Jumper.,34,38
2:40,2674,Shane Hammink Defensive Rebound.,34,38
2:29,2674,Max Joseph missed Layup.,34,38
2:29,252,Braiden Shaw Defensive Rebound.,34,38
2:23,252,Davin Guinn made Layup. Assisted by L.J. Rose.,34,40
2:02,2674,Jubril Adekoya made Three Point Jumper. Assisted by Max Joseph.,37,40
1:41,252,Kyle Davis made Layup.,37,42
1:25,2674,Shane Hammink made Layup.,39,42
1:12,2674,Foul on Max Joseph.,39,42
1:12,252,Nick Emery made Free Throw.,39,43
1:12,252,Nick Emery made Free Throw.,39,44
0:58,2674,Shane Hammink Turnover.,39,44
0:56,252,Braiden Shaw Steal.,39,44
0:54,252,Nick Emery missed Three Point Jumper.,39,44
0:51,2674,Lexus Williams Defensive Rebound.,39,44
0:51,252,Foul on Payton Dastrup.,39,44
0:51,2674,Lexus Williams made Free Throw.,40,44
0:51,2674,Lexus Williams made Free Throw.,41,44
0:39,252,Nick Emery missed Jumper.,41,44
0:39,252,Payton Dastrup Offensive Rebound.,41,44
0:34,252,Payton Dastrup missed Layup.,41,44
0:34,2674,Jubril Adekoya Defensive Rebound.,41,44
0:25,2674,Lexus Williams made Three Point Jumper. Assisted by Max Joseph.,44,44
0:03,252,L.J. Rose missed Layup.,44,44
0:00,252,Braiden Shaw Offensive Rebound.,44,44
0:00,2674,Foul on Jubril Adekoya.,44,44
0:00,252,Braiden Shaw made Free Throw.,44,45
0:00,252,Braiden Shaw made Free Throw.,44,46
0:00,2674,Alec Peters missed Jumper.,44,46
0:00,252,BYU Defensive Rebound.,44,46
0:00,252,Official TV Timeout,44,46
0:00,252,End of 1st half,44,44
19:47,2674,Tevonn Walker Turnover.,44,46
19:45,252,Nick Emery Steal.,44,46
19:42,252,Eric Mika missed Layup.,44,46
19:42,2674,Alec Peters Defensive Rebound.,44,46
19:24,2674,Alec Peters missed Jumper.,44,46
19:24,252,L.J. Rose Defensive Rebound.,44,46
19:21,2674,Foul on Tevonn Walker.,44,46
19:12,252,Foul on Eric Mika.,44,46
19:12,252,Eric Mika Turnover.,44,46
19:00,252,Foul on Nick Emery.,44,46
18:53,2674,Alec Peters missed Jumper.,44,46
18:53,252,Kyle Davis Defensive Rebound.,44,46
18:45,252,Eric Mika made Dunk. Assisted by Nick Emery.,44,48
18:30,2674,Lexus Williams missed Layup.,44,48
18:30,252,Kyle Davis Block.,44,48
18:27,252,TJ Haws Defensive Rebound.,44,48
18:20,2674,Foul on Jubril Adekoya.,44,48
18:20,252,Nick Emery missed Jumper.,44,48
18:20,2674,Shane Hammink Defensive Rebound.,44,48
18:15,2674,Shane Hammink made Layup.,46,48
17:58,252,Nick Emery Turnover.,46,48
17:24,252,Foul on TJ Haws.,46,48
17:24,2674,Alec Peters made Free Throw.,47,48
17:24,2674,Alec Peters made Free Throw.,48,48
17:24,2674,Alec Peters made Free Throw.,49,48
17:07,252,Eric Mika made Jumper.,49,50
16:50,2674,Shane Hammink missed Layup.,49,50
16:50,2674,Alec Peters Offensive Rebound.,49,50
16:47,2674,Alec Peters missed Layup.,49,50
16:47,252,Eric Mika Block.,49,50
16:44,2674,Lexus Williams Offensive Rebound.,49,50
16:36,2674,Tevonn Walker missed Three Point Jumper.,49,50
16:36,252,Nick Emery Defensive Rebound.,49,50
16:29,252,Nick Emery missed Layup.,49,50
16:29,2674,Alec Peters Defensive Rebound.,49,50
16:28,252,Foul on Eric Mika.,49,50
16:11,2674,Tevonn Walker made Three Point Jumper. Assisted by Max Joseph.,52,50
16:01,252,Foul on TJ Haws.,52,50
16:01,252,TJ Haws Turnover.,52,50
16:01,2674,Alec Peters made Free Throw.,53,50
16:01,2674,Alec Peters made Free Throw.,54,50
16:01,252,Technical Foul on TJ Haws.,52,50
15:50,2674,Alec Peters missed Layup.,54,50
15:50,252,Yoeli Childs Block.,54,50
15:46,2674,Alec Peters Offensive Rebound.,54,50
15:46,2674,Alec Peters Turnover.,54,50
15:46,252,BYU  Timeout,54,50
15:46,252,Foul on TJ Haws.,54,50
15:32,252,Kyle Davis Turnover.,54,50
15:31,2674,Alec Peters Steal.,54,50
15:28,2674,Shane Hammink made Dunk. Assisted by Alec Peters.,56,50
14:56,252,Davin Guinn made Three Point Jumper. Assisted by L.J. Rose.,56,53
14:36,2674,Alec Peters made Jumper.,58,53
14:20,252,L.J. Rose missed Three Point Jumper.,58,53
14:20,252,Davin Guinn Offensive Rebound.,58,53
14:14,252,Davin Guinn made Three Point Jumper. Assisted by Nick Emery.,58,56
13:57,252,Foul on Nick Emery.,58,56
13:57,252,Official TV Timeout,58,56
13:57,2674,Lexus Williams missed Free Throw.,58,56
13:57,252,Davin Guinn Defensive Rebound.,58,56
13:44,2674,Foul on Lexus Williams.,58,56
13:36,252,Kyle Davis made Layup. Assisted by Davin Guinn.,58,58
13:20,2674,Lexus Williams missed Three Point Jumper.,58,58
13:20,2674,Max Joseph Offensive Rebound.,58,58
13:19,252,Foul on Elijah Bryant.,58,58
13:19,2674,Max Joseph made Free Throw.,59,58
13:19,2674,Max Joseph made Free Throw.,60,58
13:05,2674,Foul on Alec Peters.,60,58
13:05,252,Elijah Bryant made Free Throw.,60,59
13:05,252,Elijah Bryant made Free Throw.,60,60
12:39,2674,Shane Hammink made Layup.,62,60
12:22,252,Kyle Davis missed Layup.,62,60
12:22,2674,Alec Peters Defensive Rebound.,62,60
12:13,2674,Shane Hammink made Dunk.,64,60
12:04,2674,Foul on Jaume Sorolla.,64,60
12:04,252,Elijah Bryant made Free Throw.,64,61
12:04,252,Elijah Bryant made Free Throw.,64,62
11:47,2674,Max Joseph Turnover.,64,62
11:47,252,Official TV Timeout,64,62
11:36,2674,Foul on Tevonn Walker.,64,62
11:36,252,Elijah Bryant missed Free Throw.,64,62
11:36,252,BYU Deadball Team Rebound.,64,62
11:36,252,Elijah Bryant made Free Throw.,64,63
11:23,2674,Alec Peters made Three Point Jumper. Assisted by Shane Hammink.,67,63
11:10,252,Kyle Davis Turnover.,67,63
10:54,252,Foul on L.J. Rose.,67,63
10:54,2674,Lexus Williams made Free Throw.,68,63
10:54,2674,Lexus Williams made Free Throw.,69,63
10:32,252,Yoeli Childs made Layup.,69,65
10:03,2674,Max Joseph missed Jumper.,69,65
10:03,252,Elijah Bryant Defensive Rebound.,69,65
9:55,252,Eric Mika missed Layup.,69,65
9:55,2674,Lexus Williams Defensive Rebound.,69,65
9:48,2674,Lexus Williams missed Three Point Jumper.,69,65
9:48,252,Yoeli Childs Defensive Rebound.,69,65
9:37,2674,Foul on Alec Peters.,69,65
9:37,252,Eric Mika made Free Throw.,69,66
9:37,252,Eric Mika made Free Throw.,69,67
9:17,2674,Alec Peters missed Jumper.,69,67
9:17,2674,Max Joseph Offensive Rebound.,69,67
9:10,2674,Max Joseph missed Layup.,69,67
9:10,252,Yoeli Childs Block.,69,67
9:10,2674,Valparaiso Offensive Rebound.,69,67
9:10,2674,Valparaiso  Timeout,69,67
9:05,2674,Shane Hammink missed Three Point Jumper.,69,67
9:05,252,Yoeli Childs Defensive Rebound.,69,67
8:56,252,Nick Emery Turnover.,69,67
8:56,2674,Shane Hammink Steal.,69,67
8:53,2674,Shane Hammink made Dunk.,71,67
8:43,252,L.J. Rose missed Layup.,71,67
8:43,2674,Jubril Adekoya Defensive Rebound.,71,67
8:22,252,Foul on Nick Emery.,71,67
8:22,2674,Alec Peters missed Free Throw.,71,67
8:22,2674,Valparaiso Deadball Team Rebound.,71,67
8:22,2674,Alec Peters made Free Throw.,72,67
8:12,2674,Foul on Max Joseph.,72,67
8:12,252,Yoeli Childs made Free Throw.,72,68
8:12,252,Yoeli Childs missed Free Throw.,72,68
8:12,2674,Alec Peters Defensive Rebound.,72,68
7:52,2674,Lexus Williams missed Three Point Jumper.,72,68
7:52,252,L.J. Rose Defensive Rebound.,72,68
7:44,252,Yoeli Childs missed Layup.,72,68
7:44,252,Eric Mika Offensive Rebound.,72,68
7:41,2674,Foul on Max Joseph.,72,68
7:41,252,Official TV Timeout,72,68
7:41,252,Eric Mika made Free Throw.,72,69
7:41,252,Eric Mika made Free Throw.,72,70
7:32,2674,Shane Hammink Turnover.,72,70
7:31,252,Elijah Bryant Steal.,72,70
7:26,252,TJ Haws made Layup.,72,72
7:09,2674,Max Joseph made Three Point Jumper. Assisted by Lexus Williams.,75,72
7:01,252,Elijah Bryant missed Three Point Jumper.,75,72
7:01,2674,Alec Peters Defensive Rebound.,75,72
6:39,252,Foul on Yoeli Childs.,75,72
6:39,2674,Alec Peters made Free Throw.,76,72
6:39,2674,Alec Peters made Free Throw.,77,72
6:20,2674,Foul on Shane Hammink.,77,72
6:20,252,Kyle Davis made Free Throw.,77,73
6:20,252,Kyle Davis made Free Throw.,77,74
5:55,2674,Jubril Adekoya made Three Point Jumper. Assisted by Max Joseph.,80,74
5:45,252,Foul on Elijah Bryant.,80,74
5:45,252,Elijah Bryant Turnover.,80,74
5:29,252,Foul on L.J. Rose.,80,74
5:29,2674,Shane Hammink made Free Throw.,81,74
5:29,2674,Shane Hammink made Free Throw.,82,74
5:22,2674,Foul on Jubril Adekoya.,82,74
5:22,252,Eric Mika made Free Throw.,82,75
5:22,252,Eric Mika made Free Throw.,82,76
4:56,2674,Foul on Alec Peters.,82,76
4:56,2674,Alec Peters Turnover.,82,76
4:44,252,TJ Haws made Three Point Jumper. Assisted by Nick Emery.,82,79
4:27,2674,Alec Peters missed Three Point Jumper.,82,79
4:27,252,BYU Defensive Rebound.,82,79
4:04,252,Eric Mika missed Layup.,82,79
4:04,252,Nick Emery Offensive Rebound.,82,79
4:00,252,Nick Emery made Three Point Jumper.,82,82
3:42,2674,Alec Peters missed Three Point Jumper.,82,82
3:42,2674,Max Joseph Offensive Rebound.,82,82
3:38,2674,Max Joseph missed Layup.,82,82
3:38,252,Nick Emery Block.,82,82
3:31,252,Kyle Davis Defensive Rebound.,82,82
3:23,252,Nick Emery missed Layup.,82,82
3:23,2674,Max Joseph Block.,82,82
3:20,2674,Jubril Adekoya Defensive Rebound.,82,82
3:11,252,Foul on Davin Guinn.,82,82
3:11,252,Official TV Timeout,82,82
3:11,2674,Shane Hammink missed Free Throw.,82,82
3:11,2674,Valparaiso Deadball Team Rebound.,82,82
3:11,2674,Shane Hammink made Free Throw.,83,82
3:01,252,Davin Guinn made Three Point Jumper. Assisted by Eric Mika.,83,85
2:28,2674,Shane Hammink made Layup.,85,85
2:08,252,TJ Haws missed Layup.,85,85
2:08,2674,Jubril Adekoya Defensive Rebound.,85,85
2:02,2674,Tevonn Walker made Three Point Jumper. Assisted by Jubril Adekoya.,88,85
1:54,2674,Foul on Max Joseph.,88,85
1:54,252,Nick Emery missed Free Throw.,88,85
1:54,252,BYU Deadball Team Rebound.,88,85
1:54,252,Nick Emery made Free Throw.,88,86
1:54,252,Nick Emery made Free Throw.,88,87
1:32,2674,Alec Peters missed Jumper.,88,87
1:32,252,Nick Emery Defensive Rebound.,88,87
1:15,252,Eric Mika Turnover.,88,87
1:14,2674,Alec Peters Steal.,88,87
0:52,252,Foul on Kyle Davis.,88,87
0:52,2674,Shane Hammink made Free Throw.,89,87
0:52,2674,Shane Hammink made Free Throw.,90,87
0:41,252,Eric Mika made Layup. Assisted by L.J. Rose.,90,89
0:13,2674,Alec Peters made Layup.,92,89
0:08,252,Nick Emery missed Three Point Jumper.,92,89
0:08,2674,Max Joseph Defensive Rebound.,92,89
0:05,252,Foul on L.J. Rose.,92,89
0:05,2674,Jason Karys missed Free Throw.,92,89
0:05,2674,Valparaiso Deadball Team Rebound.,92,89
0:05,2674,Valparaiso  Timeout,92,89
0:05,2674,Max Joseph missed Free Throw.,92,89
0:05,252,Eric Mika Defensive Rebound.,92,89
0:04,252,BYU  Timeout,92,89
0:04,2674,Valparaiso  Timeout,92,89
0:02,252,BYU  Timeout,92,89
0:01,252,Eric Mika missed Three Point Jumper.,92,89
0:01,2674,Valparaiso Defensive Rebound.,92,89
0:00,252,Official TV Timeout,92,89
0:00,252,End of Game,92,89
