Georgetown,197,Oklahoma State,46
5:03,46,L.J. Peak missed Three Point Jumper.,23,35
5:03,46,Bradley Hayes Offensive Rebound.,23,35
4:59,46,Rodney Pryor Turnover.,23,35
4:27,197,Lindy Waters III missed Three Point Jumper.,23,35
4:27,197,Cameron McGriff Offensive Rebound.,23,35
4:21,197,Phil Forte III missed Three Point Jumper.,23,35
4:21,197,Jeffrey Carroll Offensive Rebound.,23,35
4:17,197,Jeffrey Carroll made Dunk.,23,37
4:10,46,Jagan Mosely made Jumper.,25,37
4:04,197,Phil Forte III missed Three Point Jumper.,25,37
4:04,197,Lindy Waters III Offensive Rebound.,25,37
4:04,197,Lindy Waters III made Two Point Tip Shot.,25,39
3:57,46,Georgetown  Timeout,25,39
3:44,197,Foul on Cameron McGriff.,25,39
3:44,46,Akoy Agau made Free Throw.,26,39
3:44,46,Akoy Agau made Free Throw.,27,39
3:37,46,Foul on Akoy Agau.,27,39
3:37,197,Jawun Evans made Free Throw.,27,40
3:37,197,Jawun Evans made Free Throw.,27,41
3:26,46,Jonathan Mulmore missed Layup.,27,41
3:26,197,Will Lienhard Defensive Rebound.,27,41
3:15,197,Jawun Evans made Layup.,27,43
2:52,46,Rodney Pryor missed Jumper.,27,43
2:52,46,Akoy Agau Offensive Rebound.,27,43
2:50,197,Foul on Will Lienhard.,27,43
2:50,46,Akoy Agau made Free Throw.,28,43
2:50,46,Akoy Agau made Free Throw.,29,43
2:40,197,Lindy Waters III missed Three Point Jumper.,29,43
2:40,46,Jagan Mosely Defensive Rebound.,29,43
2:32,46,Jagan Mosely made Dunk.,31,43
2:15,197,Jawun Evans made Jumper.,31,45
2:06,46,Rodney Pryor Turnover.,31,45
2:06,197,Lindy Waters III Steal.,31,45
2:02,197,Oklahoma St  Timeout,31,45
1:50,197,Jeffrey Carroll missed Jumper.,31,45
1:50,46,Rodney Pryor Defensive Rebound.,31,45
1:30,46,Foul on Jonathan Mulmore.,31,45
1:30,46,Jonathan Mulmore Turnover.,31,45
1:30,197,Lindy Waters III Steal.,31,45
1:08,197,Jawun Evans Turnover.,31,45
1:08,46,Jagan Mosely Steal.,31,45
1:04,46,Rodney Pryor made Layup.,33,45
0:37,197,Jawun Evans made Layup.,33,47
0:20,46,L.J. Peak Turnover.,33,47
0:20,197,Lindy Waters III Steal.,33,47
0:14,197,Lindy Waters III Turnover.,33,47
0:14,46,Rodney Pryor Steal.,33,47
0:05,197,Foul on Lindy Waters III.,33,47
0:05,46,L.J. Peak made Free Throw.,34,47
0:05,46,L.J. Peak made Free Throw.,35,47
0:01,197,Thomas Dziagwa made Three Point Jumper. Assisted by Jawun Evans.,35,50
0:00,197,End of 1st half,35,50
20:00,197,Jump Ball won by Oklahoma St,35,50
19:43,197,Cameron McGriff Turnover.,35,50
19:43,46,Bradley Hayes Steal.,35,50
19:36,46,Akoy Agau missed Three Point Jumper.,35,50
19:36,46,L.J. Peak Offensive Rebound.,35,50
19:29,46,Rodney Pryor Turnover.,35,50
19:19,197,Jawun Evans missed Jumper.,35,50
19:19,197,Lucas N'Guessan Offensive Rebound.,35,50
19:14,197,Lucas N'Guessan made Layup.,35,52
19:05,46,Jagan Mosely Turnover.,35,52
19:05,197,Phil Forte III Steal.,35,52
19:00,197,Phil Forte III missed Jumper.,35,52
19:00,197,Lucas N'Guessan Offensive Rebound.,35,52
18:54,197,Lucas N'Guessan made Jumper.,35,54
18:44,46,Jagan Mosely Turnover.,35,54
18:44,197,Jawun Evans Steal.,35,54
18:39,197,Phil Forte III made Three Point Jumper. Assisted by Jawun Evans.,35,57
18:35,46,Georgetown  Timeout,35,57
18:31,46,Bradley Hayes made Layup. Assisted by L.J. Peak.,37,57
18:21,197,Jawun Evans missed Jumper.,37,57
18:21,46,Georgetown Defensive Rebound.,37,57
18:02,46,Bradley Hayes missed Jumper.,37,57
18:02,197,Lindy Waters III Defensive Rebound.,37,57
17:46,46,Foul on Akoy Agau.,37,57
17:46,197,Cameron McGriff made Free Throw.,37,58
17:46,197,Cameron McGriff made Free Throw.,37,59
17:33,46,Rodney Pryor missed Layup.,37,59
17:33,46,Georgetown Offensive Rebound.,37,59
17:31,197,Foul on Phil Forte III.,37,59
17:31,46,Bradley Hayes made Free Throw.,38,59
17:31,46,Bradley Hayes missed Free Throw.,38,59
17:31,197,Jeffrey Carroll Defensive Rebound.,38,59
17:14,197,Jeffrey Carroll missed Layup.,38,59
17:14,46,Bradley Hayes Block.,38,59
17:14,197,Oklahoma St Offensive Rebound.,38,59
17:03,197,Phil Forte III missed Three Point Jumper.,38,59
17:03,46,Akoy Agau Defensive Rebound.,38,59
16:56,46,L.J. Peak made Layup. Assisted by Akoy Agau.,40,59
16:44,197,Jawun Evans missed Jumper.,40,59
16:44,46,Rodney Pryor Defensive Rebound.,40,59
16:23,197,Foul on Lucas N'Guessan.,40,59
16:23,46,Rodney Pryor made Free Throw.,41,59
16:23,46,Rodney Pryor made Free Throw.,42,59
16:02,197,Jeffrey Carroll made Jumper. Assisted by Brandon Averette.,42,61
15:44,46,Tre Campbell Turnover.,42,61
15:44,197,Leyton Hammonds Steal.,42,61
15:40,46,Foul on Akoy Agau.,42,61
15:40,197,Official TV Timeout,42,61
15:40,197,Leyton Hammonds made Free Throw.,42,62
15:40,197,Leyton Hammonds made Free Throw.,42,63
15:38,46,Rodney Pryor made Layup.,44,63
15:27,197,Brandon Averette missed Jumper.,44,63
15:27,46,Georgetown Defensive Rebound.,44,63
15:17,46,L.J. Peak Turnover.,44,63
15:17,197,Tavarius Shine Steal.,44,63
15:12,197,Brandon Averette made Layup.,44,65
14:58,46,Bradley Hayes made Jumper.,46,65
14:49,197,Brandon Averette Turnover.,46,65
14:49,46,Jonathan Mulmore Steal.,46,65
14:42,46,Rodney Pryor made Jumper. Assisted by Jonathan Mulmore.,48,65
14:11,197,Jeffrey Carroll missed Three Point Jumper.,48,65
14:11,46,Bradley Hayes Defensive Rebound.,48,65
13:37,46,Georgetown  Turnover.,48,65
13:17,197,Jawun Evans missed Jumper.,48,65
13:17,46,Bradley Hayes Defensive Rebound.,48,65
12:56,197,Foul on Tavarius Shine.,48,65
12:56,46,Bradley Hayes made Free Throw.,49,65
12:56,46,Bradley Hayes missed Free Throw.,49,65
12:56,197,Cameron McGriff Defensive Rebound.,49,65
12:50,197,Leyton Hammonds missed Layup.,49,65
12:50,197,Oklahoma St Offensive Rebound.,49,65
12:31,46,Foul on Bradley Hayes.,49,65
12:31,197,Tavarius Shine missed Free Throw.,49,65
12:31,197,Oklahoma St Deadball Team Rebound.,49,65
12:31,197,Tavarius Shine made Free Throw.,49,66
12:20,46,L.J. Peak made Layup.,51,66
12:20,197,Foul on Leyton Hammonds.,51,66
12:20,46,L.J. Peak made Free Throw.,52,66
11:54,197,Lindy Waters III missed Jumper.,52,66
11:54,46,Rodney Pryor Defensive Rebound.,52,66
11:45,46,Jonathan Mulmore Turnover.,52,66
11:44,197,Official TV Timeout,52,66
11:27,197,Jeffrey Carroll made Jumper.,52,68
11:15,46,Rodney Pryor made Dunk. Assisted by Jagan Mosely.,54,68
10:43,197,Jawun Evans missed Jumper.,54,68
10:43,197,Jeffrey Carroll Offensive Rebound.,54,68
10:24,197,Jeffrey Carroll made Three Point Jumper. Assisted by Jawun Evans.,54,71
10:11,197,Foul on Leyton Hammonds.,54,71
10:11,46,Jagan Mosely Turnover.,54,71
9:51,197,Cameron McGriff Turnover.,54,71
9:42,46,L.J. Peak missed Jumper.,54,71
9:42,197,Cameron McGriff Defensive Rebound.,54,71
9:36,46,Foul on Akoy Agau.,54,71
9:29,197,Lindy Waters III made Jumper. Assisted by Jawun Evans.,54,73
9:10,46,Rodney Pryor made Layup.,56,73
8:55,197,Lindy Waters III missed Jumper.,56,73
8:55,197,Jeffrey Carroll Offensive Rebound.,56,73
8:55,197,Jeffrey Carroll made Layup.,56,75
8:55,46,Foul on L.J. Peak.,56,75
8:55,197,Jeffrey Carroll made Free Throw.,56,76
8:44,46,Jagan Mosely Turnover.,56,76
8:44,197,Brandon Averette Steal.,56,76
8:27,197,Lucas N'Guessan made Dunk. Assisted by Tavarius Shine.,56,78
8:08,46,Kaleb Johnson made Layup.,58,78
7:55,197,Brandon Averette made Layup. Assisted by Jeffrey Carroll.,58,80
7:49,46,Bradley Hayes Turnover.,58,80
7:49,197,Brandon Averette Steal.,58,80
7:39,197,Lucas N'Guessan Turnover.,58,80
7:39,46,Bradley Hayes Steal.,58,80
7:33,46,L.J. Peak missed Jumper.,58,80
7:33,46,Kaleb Johnson Offensive Rebound.,58,80
7:24,197,Foul on Lucas N'Guessan.,58,80
7:24,197,Official TV Timeout,58,80
7:24,46,Rodney Pryor missed Layup.,58,80
7:24,197,Tavarius Shine Block.,58,80
7:24,197,Lindy Waters III Defensive Rebound.,58,80
7:10,197,Jeffrey Carroll made Layup. Assisted by Lindy Waters III.,58,82
6:53,46,Foul on Jonathan Mulmore.,58,82
6:53,46,Jonathan Mulmore Turnover.,58,82
6:37,197,Lucas N'Guessan made Dunk. Assisted by Lindy Waters III.,58,84
6:26,46,L.J. Peak Turnover.,58,84
6:26,197,Lindy Waters III Steal.,58,84
6:10,197,Jawun Evans made Three Point Jumper. Assisted by Brandon Averette.,58,87
5:55,46,Jessie Govan made Layup.,60,87
5:34,197,Brandon Averette made Jumper.,60,89
5:10,197,Foul on Lucas N'Guessan.,60,89
5:10,46,Jonathan Mulmore made Free Throw.,61,89
5:10,46,Jonathan Mulmore missed Free Throw.,61,89
5:10,197,Lindy Waters III Defensive Rebound.,61,89
4:48,197,Tavarius Shine missed Three Point Jumper.,61,89
4:48,46,Tre Campbell Defensive Rebound.,61,89
4:33,46,Tre Campbell Turnover.,61,89
4:33,197,Lindy Waters III Steal.,61,89
4:28,197,Lindy Waters III made Layup. Assisted by Tavarius Shine.,61,91
4:28,46,Foul on Kaleb Johnson.,61,91
4:28,197,Lindy Waters III made Free Throw.,61,92
4:10,46,Kaleb Johnson missed Jumper.,61,92
4:10,46,Bradley Hayes Offensive Rebound.,61,92
4:07,46,Bradley Hayes made Layup.,63,92
3:42,197,Jawun Evans missed Three Point Jumper.,63,92
3:42,46,Kaleb Johnson Defensive Rebound.,63,92
3:35,197,Foul on Cameron McGriff.,63,92
3:35,197,Official TV Timeout,63,92
3:35,46,Kaleb Johnson made Free Throw.,64,92
3:35,46,Kaleb Johnson made Free Throw.,65,92
3:08,197,Phil Forte III missed Jumper.,65,92
3:08,46,Bradley Hayes Defensive Rebound.,65,92
3:02,46,Foul on Jonathan Mulmore.,65,92
3:02,46,Jonathan Mulmore Turnover.,65,92
2:38,197,Cameron McGriff Turnover.,65,92
2:32,46,Rodney Pryor missed Three Point Jumper.,65,92
2:32,197,Thomas Dziagwa Defensive Rebound.,65,92
1:59,197,Brandon Averette missed Jumper.,65,92
1:59,197,Oklahoma St Deadball Team Rebound.,65,92
1:59,197,Oklahoma St  Turnover.,65,92
1:39,46,Bradley Hayes missed Jumper.,65,92
1:39,197,Thomas Dziagwa Defensive Rebound.,65,92
1:20,197,Oklahoma St  Timeout,65,92
1:09,46,Foul on Bradley Hayes.,65,92
1:09,197,Cameron McGriff made Free Throw.,65,93
1:09,197,Cameron McGriff made Free Throw.,65,94
1:04,46,Jonathan Mulmore missed Three Point Jumper.,65,94
1:04,46,Kaleb Johnson Offensive Rebound.,65,94
0:56,197,Foul on Thomas Dziagwa.,65,94
0:56,46,Jonathan Mulmore made Free Throw.,66,94
0:56,46,Jonathan Mulmore made Free Throw.,67,94
0:35,197,Tyler Underwood made Three Point Jumper. Assisted by Will Lienhard.,67,97
0:26,46,Tre Campbell made Three Point Jumper. Assisted by Ra'Mond Hines.,70,97
0:00,197,End of Game,70,97
