UIC,2210,Elon,82
17:08,2210,Dmitri Thompson Steal.,37,50
17:08,82,Foul on Dikembe Dixson.,37,50
17:01,82,Foul on Godwin Boahen.,37,50
16:55,82,Foul on Tarkus Ferguson.,37,50
16:49,2210,Dmitri Thompson missed Three Point Jumper.,37,50
16:49,2210,Tyler Seibring Offensive Rebound.,37,50
16:37,2210,Christian Hairston missed Dunk.,37,50
16:37,82,Tai Odiase Defensive Rebound.,37,50
16:22,82,K.J. Santos missed Layup.,37,50
16:22,2210,Elon Defensive Rebound.,37,50
16:21,82,Foul on Tai Odiase.,37,50
16:12,2210,Luke Eddy missed Layup.,37,50
16:12,2210,Christian Hairston Offensive Rebound.,37,50
16:06,2210,Christian Hairston missed Layup.,37,50
16:06,82,Dikembe Dixson Defensive Rebound.,37,50
16:02,82,Dikembe Dixson made Jumper.,39,50
15:43,2210,Tyler Seibring made Layup.,39,52
15:33,82,Tarkus Ferguson Turnover.,39,52
15:32,2210,Steven Santa Ana Steal.,39,52
15:28,2210,Steven Santa Ana missed Layup.,39,52
15:28,2210,Tyler Seibring Offensive Rebound.,39,52
15:25,2210,Tyler Seibring made Layup.,39,54
15:14,82,Dikembe Dixson Turnover.,39,54
15:07,2210,Dmitri Thompson made Jumper.,39,56
14:57,82,Tarkus Ferguson missed Three Point Jumper.,39,56
14:57,2210,Sheldon Eberhardt Defensive Rebound.,39,56
14:44,2210,Dmitri Thompson made Three Point Jumper. Assisted by Christian Hairston.,39,59
14:29,82,K.J. Santos Turnover.,39,59
14:28,2210,Sheldon Eberhardt Steal.,39,59
14:12,2210,Christian Hairston missed Layup.,39,59
14:12,82,Dikembe Dixson Defensive Rebound.,39,59
14:07,82,Dikembe Dixson made Jumper.,41,59
13:33,2210,Dainan Swoope missed Three Point Jumper.,41,59
13:33,2210,Brian Dawkins Offensive Rebound.,41,59
13:24,2210,Dainan Swoope made Three Point Jumper. Assisted by Sheldon Eberhardt.,41,62
12:51,2210,Foul on Brian Dawkins.,41,62
12:50,2210,Foul on Dmitri Thompson.,41,62
12:50,82,Dikembe Dixson made Free Throw.,42,62
12:50,82,Dikembe Dixson made Free Throw.,43,62
12:35,2210,Dainan Swoope made Jumper.,43,64
12:16,82,Dikembe Dixson missed Jumper.,43,64
12:16,82,Godwin Boahen Offensive Rebound.,43,64
12:06,82,Marcus Ottey missed Layup.,43,64
12:06,82,Marcus Ottey Offensive Rebound.,43,64
12:04,2210,Foul on Sheldon Eberhardt.,43,64
12:04,82,Marcus Ottey missed Free Throw.,43,64
12:04,82,UIC Deadball Team Rebound.,43,64
12:04,82,Marcus Ottey made Free Throw.,44,64
11:38,2210,Dainan Swoope missed Jumper.,44,64
11:38,82,UIC Defensive Rebound.,44,64
11:25,82,Dikembe Dixson made Layup.,46,64
10:59,2210,Dainan Swoope missed Three Point Jumper.,46,64
10:59,82,Clint Robinson Defensive Rebound.,46,64
10:54,82,Clint Robinson Turnover.,46,64
10:43,82,Foul on Clint Robinson.,46,64
10:43,2210,Luke Eddy missed Free Throw.,46,64
10:43,2210,Elon Deadball Team Rebound.,46,64
10:43,2210,Luke Eddy made Free Throw.,46,65
10:25,82,Godwin Boahen missed Three Point Jumper.,46,65
10:25,82,Dikembe Dixson Offensive Rebound.,46,65
10:21,82,Dikembe Dixson missed Layup.,46,65
10:21,2210,Brian Dawkins Defensive Rebound.,46,65
10:04,2210,Dainan Swoope Turnover.,46,65
10:03,82,Dikembe Dixson Steal.,46,65
10:01,82,Michael Kolawole made Dunk. Assisted by Dikembe Dixson.,48,65
9:48,2210,Steven Santa Ana missed Jumper.,48,65
9:48,82,Godwin Boahen Defensive Rebound.,48,65
9:41,2210,Foul on Dainan Swoope.,48,65
9:41,82,Michael Kolawole missed Free Throw.,48,65
9:41,82,UIC Deadball Team Rebound.,48,65
9:41,82,Michael Kolawole made Free Throw.,49,65
9:13,2210,Sheldon Eberhardt Turnover.,49,65
8:58,2210,Foul on Sheldon Eberhardt.,49,65
8:58,82,Marcus Ottey made Free Throw.,50,65
8:58,82,Marcus Ottey made Free Throw.,51,65
8:37,82,Foul on Dikembe Dixson.,51,65
8:37,2210,Dmitri Thompson missed Free Throw.,51,65
8:37,2210,Elon Deadball Team Rebound.,51,65
8:37,2210,Dmitri Thompson made Free Throw.,51,66
8:26,82,Dikembe Dixson made Jumper.,53,66
7:53,2210,Brian Dawkins made Layup.,53,68
7:35,82,Marcus Ottey missed Jumper.,53,68
7:35,2210,Dmitri Thompson Defensive Rebound.,53,68
7:06,2210,Luke Eddy missed Three Point Jumper.,53,68
7:06,2210,Dmitri Thompson Offensive Rebound.,53,68
7:02,2210,Dmitri Thompson made Layup.,53,70
6:41,82,Godwin Boahen made Jumper.,55,70
6:37,82,UIC  Timeout,55,70
6:21,2210,Brian Dawkins made Layup. Assisted by Tyler Seibring.,55,72
6:07,82,Dikembe Dixson made Jumper.,57,72
5:43,2210,Brian Dawkins made Three Point Jumper. Assisted by Tyler Seibring.,57,75
5:28,82,Dikembe Dixson made Layup.,59,75
5:06,2210,Steven Santa Ana missed Three Point Jumper.,59,75
5:06,82,Dikembe Dixson Defensive Rebound.,59,75
4:58,82,Godwin Boahen missed Three Point Jumper.,59,75
4:58,2210,Dmitri Thompson Defensive Rebound.,59,75
4:49,82,Foul on Dikembe Dixson.,59,75
4:49,2210,Official TV Timeout,59,75
4:49,2210,Dmitri Thompson missed Free Throw.,59,75
4:49,82,Tai Odiase Defensive Rebound.,59,75
4:39,82,Tai Odiase made Dunk. Assisted by Tarkus Ferguson.,61,75
4:39,2210,Foul on Christian Hairston.,61,75
4:39,82,Tai Odiase missed Free Throw.,61,75
4:39,2210,Dmitri Thompson Defensive Rebound.,61,75
4:25,82,Foul on Tarkus Ferguson.,61,75
4:25,2210,Dainan Swoope made Free Throw.,61,76
4:25,2210,Dainan Swoope missed Free Throw.,61,76
4:25,82,Tarkus Ferguson Defensive Rebound.,61,76
4:13,82,Dikembe Dixson Turnover.,61,76
4:12,2210,Dmitri Thompson Steal.,61,76
4:11,82,Foul on Godwin Boahen.,61,76
4:11,2210,Steven Santa Ana made Free Throw.,61,77
4:11,2210,Steven Santa Ana made Free Throw.,61,78
4:04,2210,Foul on Steven Santa Ana.,61,78
4:04,82,Tarkus Ferguson made Free Throw.,62,78
4:04,82,Tarkus Ferguson made Free Throw.,63,78
4:01,82,Foul on Godwin Boahen.,63,78
4:01,2210,Dainan Swoope missed Free Throw.,63,78
4:01,2210,Elon Deadball Team Rebound.,63,78
4:01,2210,Dainan Swoope made Free Throw.,63,79
3:54,82,Tai Odiase made Layup. Assisted by Tarkus Ferguson.,65,79
3:54,2210,Foul on Tyler Seibring.,65,79
3:54,2210,Official TV Timeout,65,79
3:54,82,Tai Odiase made Free Throw.,66,79
3:46,2210,Dainan Swoope made Jumper.,66,81
3:25,82,Marcus Ottey made Layup.,68,81
3:14,82,Foul on Marcus Ottey.,68,81
3:14,2210,Dainan Swoope missed Free Throw.,68,81
3:14,2210,Elon Deadball Team Rebound.,68,81
3:14,2210,Dainan Swoope made Free Throw.,68,82
3:02,82,Dikembe Dixson missed Jumper.,68,82
3:02,82,Tai Odiase Offensive Rebound.,68,82
2:56,82,Tarkus Ferguson made Layup.,70,82
2:31,2210,Dainan Swoope made Layup.,70,84
2:22,82,Marcus Ottey made Layup.,72,84
2:10,82,Foul on Tarkus Ferguson.,72,84
2:10,2210,Luke Eddy made Free Throw.,72,85
2:10,2210,Luke Eddy made Free Throw.,72,86
2:01,82,Michael Kolawole missed Layup.,72,86
2:01,2210,Sheldon Eberhardt Defensive Rebound.,72,86
1:52,2210,Sheldon Eberhardt Turnover.,72,86
1:51,82,Dikembe Dixson Steal.,72,86
1:50,82,Dikembe Dixson made Dunk.,74,86
1:48,82,UIC  Timeout,74,86
1:23,2210,Dainan Swoope made Three Point Jumper.,74,89
1:09,82,Tai Odiase made Layup.,76,89
1:09,2210,Foul on Dainan Swoope.,76,89
1:09,82,Tai Odiase missed Free Throw.,76,89
1:09,2210,Brian Dawkins Defensive Rebound.,76,89
0:55,2210,Elon  Timeout,76,89
0:51,2210,Brian Dawkins Turnover.,76,89
0:50,82,Michael Kolawole Steal.,76,89
0:48,82,Michael Kolawole made Layup.,78,89
0:24,2210,Dainan Swoope made Layup.,78,91
0:16,82,Marcus Ottey made Layup. Assisted by Dikembe Dixson.,80,91
0:14,82,UIC  Timeout,80,91
0:00,2210,End of Game,80,91
