Oregon,41,Connecticut,2483
11:13,2483,Jordan Bell Defensive Rebound.,57,43
11:02,2483,Jordan Bell made Layup. Assisted by Dillon Brooks.,59,43
10:41,41,Christian Vital made Layup.,59,45
10:32,2483,Chris Boucher made Three Point Jumper. Assisted by Casey Benson.,62,45
10:20,41,Rodney Purvis made Layup.,62,47
9:57,2483,Tyler Dorsey made Jumper.,64,47
9:39,41,Jalen Adams made Jumper.,64,49
9:09,2483,Foul on Jordan Bell.,64,49
9:09,2483,Jordan Bell Turnover.,64,49
8:49,41,Rodney Purvis missed Jumper.,64,49
8:49,41,Steven Enoch Offensive Rebound.,64,49
8:45,41,Steven Enoch made Dunk.,64,51
8:30,2483,Chris Boucher missed Three Point Jumper.,64,51
8:30,41,Steven Enoch Defensive Rebound.,64,51
8:22,2483,Foul on Payton Pritchard.,64,51
8:08,41,Vance Jackson Turnover.,64,51
7:48,2483,Jordan Bell Turnover.,64,51
7:48,41,Christian Vital Steal.,64,51
7:30,41,Christian Vital made Three Point Jumper. Assisted by Jalen Adams.,64,54
7:22,41,Official TV Timeout,64,54
7:16,41,Foul on Christian Vital.,64,54
6:55,2483,Dillon Brooks missed Jumper.,64,54
6:55,41,Vance Jackson Defensive Rebound.,64,54
6:37,41,Rodney Purvis missed Three Point Jumper.,64,54
6:37,2483,Tyler Dorsey Defensive Rebound.,64,54
6:29,2483,Tyler Dorsey made Three Point Jumper.,67,54
6:17,41,Vance Jackson made Three Point Jumper. Assisted by Jalen Adams.,67,57
5:44,2483,Chris Boucher missed Jumper.,67,57
5:44,41,Rodney Purvis Defensive Rebound.,67,57
5:25,41,Jalen Adams made Layup.,67,59
5:10,2483,Dillon Brooks Turnover.,67,59
5:10,41,Jalen Adams Steal.,67,59
4:59,41,Vance Jackson missed Three Point Jumper.,67,59
4:59,2483,Tyler Dorsey Defensive Rebound.,67,59
4:52,41,Foul on Vance Jackson.,67,59
4:41,2483,Dillon Brooks missed Jumper.,67,59
4:41,41,Jalen Adams Defensive Rebound.,67,59
4:21,2483,Foul on Payton Pritchard.,67,59
4:12,41,Jalen Adams made Layup.,67,61
4:05,2483,Dylan Ennis made Layup.,69,61
3:47,41,Foul on Amida Brimah.,69,61
3:47,41,Amida Brimah Turnover.,69,61
3:47,41,Official TV Timeout,69,61
3:21,2483,Dylan Ennis missed Three Point Jumper.,69,61
3:21,41,Connecticut Defensive Rebound.,69,61
3:09,41,Rodney Purvis missed Three Point Jumper.,69,61
3:09,41,Vance Jackson Offensive Rebound.,69,61
3:02,41,Jalen Adams missed Three Point Jumper.,69,61
3:02,2483,Dylan Ennis Defensive Rebound.,69,61
2:42,2483,Tyler Dorsey missed Three Point Jumper.,69,61
2:42,41,Christian Vital Defensive Rebound.,69,61
2:37,41,Christian Vital Turnover.,69,61
2:37,2483,Jordan Bell Steal.,69,61
2:35,2483,Dylan Ennis made Layup. Assisted by Jordan Bell.,71,61
2:29,41,Jalen Adams Turnover.,71,61
2:29,2483,Jordan Bell Steal.,71,61
2:25,2483,Jordan Bell made Dunk.,73,61
2:12,41,Jalen Adams missed Jumper.,73,61
2:12,41,Connecticut Offensive Rebound.,73,61
2:06,41,Connecticut  Timeout,73,61
2:01,41,Jalen Adams made Jumper.,73,63
1:40,2483,Dylan Ennis made Layup.,75,63
1:34,41,Christian Vital missed Three Point Jumper.,75,63
1:34,2483,Dylan Ennis Defensive Rebound.,75,63
1:29,41,Foul on Vance Jackson.,75,63
1:29,2483,Dylan Ennis made Free Throw.,76,63
1:29,2483,Dylan Ennis made Free Throw.,77,63
1:25,2483,Foul on Jordan Bell.,77,63
1:25,41,Jalen Adams missed Free Throw.,77,64
1:25,41,Jalen Adams made Free Throw.,77,64
1:25,2483,Chris Boucher Defensive Rebound.,77,64
1:15,2483,Casey Benson Turnover.,77,64
1:12,41,Vance Jackson made Three Point Jumper. Assisted by Jalen Adams.,77,67
1:02,41,Foul on Christian Vital.,77,67
1:02,2483,Casey Benson missed Free Throw.,77,67
1:02,41,Connecticut Defensive Rebound.,77,67
0:54,41,Jalen Adams made Jumper.,77,69
0:47,41,Foul on Christian Vital.,77,69
0:47,2483,Tyler Dorsey made Free Throw.,78,69
0:47,2483,Tyler Dorsey made Free Throw.,79,69
0:42,41,Jalen Adams missed Jumper.,79,69
0:38,41,Juwan Durham Offensive Rebound.,79,69
0:37,41,Connecticut  Timeout,79,69
0:36,41,Vance Jackson missed Three Point Jumper.,79,69
0:36,2483,Dillon Brooks Defensive Rebound.,79,69
0:02,2483,Oregon  Turnover.,79,69
0:00,41,End of Game,79,69
