Delaware State,242,Rice,2169
12:39,242,Marcus Evans missed Three Point Jumper.,15,10
12:39,2169,Kobe Gantz Defensive Rebound.,15,10
12:11,2169,DeAndre Haywood missed Jumper.,15,10
12:11,242,Marquez Letcher-Ellis Defensive Rebound.,15,10
12:08,2169,Foul on DeAndre Haywood.,15,10
11:52,2169,Foul on Kobe Gantz.,15,10
11:52,242,Official TV Timeout,15,10
11:52,242,Marcus Evans made Free Throw.,15,11
11:52,242,Marcus Evans made Free Throw.,15,12
11:27,2169,Kavon Waller missed Jumper.,15,12
11:27,242,Chad Lott Defensive Rebound.,15,12
11:16,242,Marcus Evans missed Three Point Jumper.,15,12
11:16,2169,Dana Raysor Defensive Rebound.,15,12
11:12,2169,Dana Raysor Turnover.,15,12
10:59,2169,Foul on Kavon Waller.,15,12
10:35,242,Chad Lott made Dunk. Assisted by Marquez Letcher-Ellis.,15,14
10:22,2169,Dana Raysor missed Three Point Jumper.,15,14
10:22,2169,Artem Tavakalyan Offensive Rebound.,15,14
10:19,242,Foul on Ako Adams.,15,14
9:59,2169,Mrdjan Gasevic missed Jumper.,15,14
9:59,242,Chad Lott Defensive Rebound.,15,14
9:49,242,Ako Adams missed Three Point Jumper.,15,14
9:49,242,Egor Koulechov Offensive Rebound.,15,14
9:42,242,Egor Koulechov missed Three Point Jumper.,15,14
9:42,242,Corey Douglas Offensive Rebound.,15,14
9:36,242,Corey Douglas made Jumper.,15,16
9:13,2169,Artem Tavakalyan made Jumper.,17,16
8:41,242,Chad Lott missed Jumper.,17,16
8:41,2169,Devin Morgan Defensive Rebound.,17,16
8:35,2169,Dana Raysor made Three Point Jumper. Assisted by Devin Morgan.,20,16
8:20,2169,Foul on Kobe Gantz.,20,16
8:20,242,Ako Adams made Free Throw.,20,17
8:20,242,Ako Adams made Free Throw.,20,18
8:04,2169,Devin Morgan missed Three Point Jumper.,20,18
8:04,242,Marcus Jackson Defensive Rebound.,20,18
7:51,242,Corey Douglas Turnover.,20,18
7:50,242,Official TV Timeout,20,18
7:36,2169,Foul on Artem Tavakalyan.,20,18
7:36,2169,Artem Tavakalyan Turnover.,20,18
7:20,242,Marcus Evans made Jumper.,20,20
7:11,2169,Dana Raysor Turnover.,20,20
7:09,242,Marcus Jackson Steal.,20,20
7:07,242,Marcus Jackson made Layup.,20,22
6:42,2169,Foul on Artem Tavakalyan.,20,22
6:42,2169,Artem Tavakalyan Turnover.,20,22
6:34,242,Marcus Jackson made Three Point Jumper. Assisted by Marcus Evans.,20,25
6:15,2169,DeAndre Haywood Turnover.,20,25
5:57,242,Andrew Drone made Layup. Assisted by Marcus Evans.,20,27
5:57,2169,Foul on Mrdjan Gasevic.,20,27
5:57,242,Andrew Drone missed Free Throw.,20,27
5:57,2169,Devin Morgan Defensive Rebound.,20,27
5:25,2169,Dana Raysor missed Jumper.,20,27
5:25,242,Andrew Drone Defensive Rebound.,20,27
5:17,242,Marcus Evans Turnover.,20,27
5:16,2169,Devin Morgan Steal.,20,27
5:13,2169,Devin Morgan made Jumper.,22,27
4:55,242,Connor Cashaw made Three Point Jumper. Assisted by Egor Koulechov.,22,30
4:22,2169,Joseph Lewis Turnover.,22,30
4:07,242,Foul on Egor Koulechov.,22,30
4:07,242,Egor Koulechov Turnover.,22,30
4:07,242,Foul on Robert Martin.,22,30
3:53,2169,Foul on Mrdjan Gasevic.,22,30
3:53,2169,Mrdjan Gasevic Turnover.,22,30
3:53,242,Official TV Timeout,22,30
3:37,242,Marcus Evans missed Three Point Jumper.,22,30
3:37,2169,Mrdjan Gasevic Defensive Rebound.,22,30
3:07,2169,Devin Morgan made Jumper.,24,30
2:53,242,Egor Koulechov missed Three Point Jumper.,24,30
2:53,2169,Joseph Lewis Defensive Rebound.,24,30
2:42,2169,Delaware St  Timeout,24,30
2:21,2169,Joseph Lewis made Jumper.,26,30
2:07,2169,Foul on Dana Raysor.,26,30
2:07,242,Connor Cashaw made Free Throw.,26,31
2:07,242,Connor Cashaw made Free Throw.,26,32
1:46,2169,DeAndre Haywood missed Jumper.,26,32
1:46,242,Marquez Letcher-Ellis Block.,26,32
1:44,2169,Delaware St Offensive Rebound.,26,32
1:42,2169,Devin Morgan missed Three Point Jumper.,26,32
1:42,242,Chad Lott Defensive Rebound.,26,32
1:27,242,Chad Lott made Jumper.,26,34
0:57,2169,Devin Morgan made Jumper.,28,34
0:48,242,Chad Lott made Three Point Jumper. Assisted by Marcus Evans.,28,37
0:18,2169,DeAndre Haywood missed Jumper.,28,37
0:18,242,Egor Koulechov Defensive Rebound.,28,37
0:06,242,Marquez Letcher-Ellis missed Jumper.,28,37
0:06,2169,Dana Raysor Block.,28,37
0:06,242,Rice Offensive Rebound.,28,37
0:06,242,Rice  Timeout,28,37
0:04,242,Marcus Evans made Jumper.,28,39
0:00,242,End of 1st half,28,39
19:30,2169,Foul on DeAndre Haywood.,28,39
19:30,2169,DeAndre Haywood Turnover.,28,39
19:19,242,Egor Koulechov missed Three Point Jumper.,28,39
19:19,242,Connor Cashaw Offensive Rebound.,28,39
19:15,242,Connor Cashaw missed Jumper.,28,39
19:15,2169,Kavon Waller Defensive Rebound.,28,39
19:02,2169,Devin Morgan made Jumper.,30,39
19:01,242,Foul on Marcus Evans.,30,39
19:01,2169,Devin Morgan made Free Throw.,31,39
18:43,242,Connor Cashaw missed Three Point Jumper.,31,39
18:43,242,Egor Koulechov Offensive Rebound.,31,39
18:35,242,Connor Cashaw missed Three Point Jumper.,31,39
18:35,242,Egor Koulechov Offensive Rebound.,31,39
18:33,242,Egor Koulechov made Jumper.,31,41
18:27,2169,Devin Morgan missed Three Point Jumper.,31,41
18:27,242,Marcus Jackson Defensive Rebound.,31,41
18:19,2169,Foul on DeVaughn Mallory.,31,41
18:07,242,Marcus Evans missed Three Point Jumper.,31,41
18:07,2169,Delaware St Defensive Rebound.,31,41
18:03,242,Foul on Corey Douglas.,31,41
17:54,2169,Demola Onifade Turnover.,31,41
17:41,242,Marcus Evans missed Jumper.,31,41
17:41,242,Corey Douglas Offensive Rebound.,31,41
17:25,242,Foul on Corey Douglas.,31,41
17:25,242,Corey Douglas Turnover.,31,41
17:25,2169,Kavon Waller Turnover.,31,41
17:23,242,Egor Koulechov Turnover.,31,41
17:22,2169,DeAndre Haywood Steal.,31,41
17:20,2169,DeAndre Haywood made Dunk.,33,41
16:59,242,Marcus Jackson missed Three Point Jumper.,33,41
16:59,242,Egor Koulechov Offensive Rebound.,33,41
16:55,242,Marcus Evans missed Three Point Jumper.,33,41
16:55,2169,Delaware St Defensive Rebound.,33,41
16:52,242,Foul on Corey Douglas.,33,41
16:41,2169,Demola Onifade made Jumper. Assisted by Kavon Waller.,35,41
16:32,2169,Foul on Demola Onifade.,35,41
16:32,242,Marcus Jackson made Free Throw.,35,42
16:32,242,Marcus Jackson made Free Throw.,35,43
16:09,2169,DeAndre Haywood Turnover.,35,43
16:09,242,Marcus Jackson Steal.,35,43
16:04,242,Marcus Evans Turnover.,35,43
15:56,2169,DeVaughn Mallory missed Jumper.,35,43
15:56,2169,Demola Onifade Offensive Rebound.,35,43
15:46,242,Foul on Marquez Letcher-Ellis.,35,43
15:46,242,Official TV Timeout,35,43
15:46,2169,Kobe Gantz missed Free Throw.,35,43
15:46,2169,Delaware St Deadball Team Rebound.,35,43
15:46,2169,Kobe Gantz made Free Throw.,36,43
15:35,242,Ako Adams Turnover.,36,43
15:34,2169,DeVaughn Mallory Steal.,36,43
15:23,242,Foul on Chad Lott.,36,43
15:22,2169,DeAndre Haywood missed Jumper.,36,43
15:22,242,Chad Lott Block.,36,43
15:20,242,Chad Lott Defensive Rebound.,36,43
15:04,242,Marquez Letcher-Ellis missed Three Point Jumper.,36,43
15:04,2169,DeVaughn Mallory Defensive Rebound.,36,43
14:55,2169,Kavon Waller missed Three Point Jumper.,36,43
14:55,242,Chad Lott Defensive Rebound.,36,43
14:48,2169,Foul on Kobe Gantz.,36,43
14:41,242,Marcus Evans missed Layup.,36,43
14:41,2169,DeAndre Haywood Defensive Rebound.,36,43
14:34,2169,DeAndre Haywood missed Jumper.,36,43
14:34,2169,DeVaughn Mallory made Jumper. Assisted by Kobe Gantz.,38,43
14:34,242,Marquez Letcher-Ellis Block.,38,43
14:33,2169,Delaware St Offensive Rebound.,38,43
13:59,242,Marcus Jackson missed Three Point Jumper.,38,43
13:59,2169,Kobe Gantz Defensive Rebound.,38,43
13:49,2169,Devin Morgan Turnover.,38,43
13:35,242,Marquez Letcher-Ellis Turnover.,38,43
13:17,2169,DeVaughn Mallory made Jumper. Assisted by Devin Morgan.,40,43
13:05,242,Marquez Letcher-Ellis Turnover.,40,43
12:51,2169,Devin Morgan missed Jumper.,40,43
12:51,242,Egor Koulechov Defensive Rebound.,40,43
12:45,242,Egor Koulechov Turnover.,40,43
12:44,2169,DeVaughn Mallory Steal.,40,43
12:30,2169,Foul on Demola Onifade.,40,43
12:30,2169,Demola Onifade Turnover.,40,43
12:10,242,Marcus Jackson made Jumper.,40,45
12:00,242,Foul on Ako Adams.,40,45
12:00,2169,Devin Morgan made Free Throw.,41,45
12:00,2169,Devin Morgan made Free Throw.,42,45
11:48,2169,Foul on DeVaughn Mallory.,42,45
11:48,242,Official TV Timeout,42,45
11:32,242,Marcus Evans missed Jumper.,42,45
11:32,2169,Demola Onifade Block.,42,45
11:29,2169,Kobe Gantz Defensive Rebound.,42,45
11:03,2169,Kobe Gantz missed Jumper.,42,45
11:03,2169,DeVaughn Mallory Offensive Rebound.,42,45
10:56,2169,DeVaughn Mallory missed Jumper.,42,45
10:56,242,Marcus Evans Defensive Rebound.,42,45
10:53,242,Connor Cashaw missed Three Point Jumper.,42,45
10:53,2169,Kobe Gantz Defensive Rebound.,42,45
10:48,2169,Kavon Waller made Layup. Assisted by Kobe Gantz.,44,45
10:35,242,Marcus Evans missed Jumper.,44,45
10:35,2169,Demola Onifade Defensive Rebound.,44,45
10:06,2169,Devin Morgan made Jumper.,46,45
9:52,242,Connor Cashaw missed Three Point Jumper.,46,45
9:52,242,Egor Koulechov Offensive Rebound.,46,45
9:48,242,Egor Koulechov made Jumper.,46,47
9:20,2169,Devin Morgan missed Three Point Jumper.,46,47
9:20,2169,Demola Onifade Offensive Rebound.,46,47
9:15,2169,Demola Onifade Turnover.,46,47
9:05,2169,Foul on Demola Onifade.,46,47
9:05,242,Marcus Evans missed Free Throw.,46,47
9:05,2169,Kavon Waller Defensive Rebound.,46,47
8:38,2169,Joseph Lewis missed Jumper.,46,47
8:38,242,Egor Koulechov Defensive Rebound.,46,47
8:36,2169,Foul on Kavon Waller.,46,47
8:36,242,Egor Koulechov made Free Throw.,46,48
8:36,242,Egor Koulechov made Free Throw.,46,49
8:15,2169,Devin Morgan missed Three Point Jumper.,46,49
8:15,242,Chad Lott Defensive Rebound.,46,49
8:11,2169,Foul on Joseph Lewis.,46,49
8:11,242,Chad Lott made Free Throw.,46,50
8:11,242,Chad Lott made Free Throw.,46,51
7:54,2169,DeAndre Haywood Turnover.,46,51
7:53,242,Marcus Jackson Steal.,46,51
7:26,242,Egor Koulechov made Three Point Jumper. Assisted by Marcus Jackson.,46,54
6:58,2169,Joseph Lewis missed Jumper.,46,54
6:58,242,Egor Koulechov Defensive Rebound.,46,54
6:51,242,Marcus Evans made Dunk. Assisted by Marcus Jackson.,46,56
6:39,2169,Delaware St  Timeout,46,56
6:23,2169,Kavon Waller missed Jumper.,46,56
6:23,242,Chad Lott Defensive Rebound.,46,56
6:12,242,Egor Koulechov made Jumper. Assisted by Marcus Jackson.,46,58
5:49,242,Foul on Egor Koulechov.,46,58
5:49,242,Official TV Timeout,46,58
5:49,2169,DeAndre Haywood missed Free Throw.,46,58
5:49,2169,Delaware St Deadball Team Rebound.,46,58
5:49,2169,DeAndre Haywood made Free Throw.,47,58
5:49,2169,DeAndre Haywood made Free Throw.,48,58
5:25,2169,Foul on Dana Raysor.,48,58
5:25,242,Chad Lott made Free Throw.,48,59
5:25,242,Chad Lott made Free Throw.,48,60
5:13,2169,Devin Morgan missed Jumper.,48,60
5:13,242,Marcus Evans Defensive Rebound.,48,60
4:55,242,Marcus Evans Turnover.,48,60
4:54,2169,Devin Morgan Steal.,48,60
4:51,2169,DeAndre Haywood made Layup. Assisted by Devin Morgan.,50,60
4:24,242,Marcus Evans made Jumper. Assisted by Chad Lott.,50,62
4:10,2169,Kobe Gantz Turnover.,50,62
3:48,242,Egor Koulechov Turnover.,50,62
3:48,242,Official TV Timeout,50,62
3:44,2169,Kavon Waller Turnover.,50,62
3:42,242,Chad Lott Steal.,50,62
3:41,242,Egor Koulechov made Layup. Assisted by Marcus Evans.,50,64
3:35,2169,Devin Morgan missed Jumper.,50,64
3:35,242,Egor Koulechov Defensive Rebound.,50,64
3:05,242,Connor Cashaw made Three Point Jumper. Assisted by Marcus Evans.,50,67
2:51,242,Foul on Marcus Evans.,50,67
2:51,2169,DeAndre Haywood missed Free Throw.,50,67
2:51,2169,Dana Raysor Offensive Rebound.,50,67
2:49,242,Foul on Austin Meyer.,50,67
2:49,2169,Dana Raysor missed Free Throw.,50,67
2:49,2169,Delaware St Deadball Team Rebound.,50,67
2:49,2169,Dana Raysor made Free Throw.,51,67
2:33,242,Connor Cashaw missed Three Point Jumper.,51,67
2:33,242,Egor Koulechov Offensive Rebound.,51,67
2:14,242,Austin Meyer made Layup. Assisted by Marcus Evans.,51,69
2:14,2169,Foul on Kavon Waller.,51,69
2:14,242,Austin Meyer missed Free Throw.,51,69
2:14,2169,Kavon Waller Defensive Rebound.,51,69
2:11,2169,Kavon Waller Turnover.,51,69
2:10,242,Chad Lott Steal.,51,69
2:00,242,Connor Cashaw missed Jumper.,51,69
2:00,242,Austin Meyer Offensive Rebound.,51,69
1:58,242,Austin Meyer made Jumper.,51,71
1:58,242,Rice  Timeout,51,71
1:48,242,Foul on Austin Meyer.,51,71
1:48,2169,Artem Tavakalyan missed Free Throw.,51,71
1:48,2169,Delaware St Deadball Team Rebound.,51,71
1:35,242,Ako Adams made Layup.,51,73
1:30,2169,Artem Tavakalyan made Free Throw.,52,73
1:30,2169,Artem Tavakalyan made Layup.,54,73
1:30,242,Foul on Connor Cashaw.,54,73
1:30,2169,Artem Tavakalyan made Free Throw.,55,73
1:24,242,Austin Meyer made Layup. Assisted by Ako Adams.,55,75
1:06,2169,Delaware St Deadball Team Rebound.,55,75
1:06,2169,Dana Raysor missed Free Throw.,55,75
1:06,242,Tim Harrison Defensive Rebound.,55,75
1:06,2169,Dana Raysor missed Free Throw.,55,75
1:06,242,Foul on Austin Meyer.,55,75
0:59,242,Bishop Mency missed Three Point Jumper.,55,75
0:59,2169,Kavon Waller Defensive Rebound.,55,75
0:55,2169,Kavon Waller Turnover.,55,75
0:55,242,Robert Martin Steal.,55,75
0:52,242,Robert Martin Turnover.,55,75
0:51,2169,Dana Raysor Steal.,55,75
0:45,2169,DeAndre Haywood missed Layup.,55,75
0:45,2169,Delaware St Offensive Rebound.,55,75
0:42,2169,Dana Raysor made Three Point Jumper. Assisted by Kavon Waller.,58,75
0:32,242,Tim Harrison missed Layup.,58,75
0:32,2169,Kavon Waller Block.,58,75
0:29,242,Harrison Brown Offensive Rebound.,58,75
0:25,242,Harrison Brown made Layup.,58,77
0:23,242,Foul on Harrison Brown.,58,77
0:23,2169,Kobe Gantz missed Free Throw.,58,77
0:23,2169,Delaware St Deadball Team Rebound.,58,77
0:23,2169,Kobe Gantz missed Free Throw.,58,77
0:23,242,Tim Harrison Defensive Rebound.,58,77
0:17,242,Addison Owen made Three Point Jumper. Assisted by Ako Adams.,58,80
0:08,2169,Dana Raysor missed Three Point Jumper.,58,80
0:08,2169,DeAndre Haywood Offensive Rebound.,58,80
0:00,242,End of Game,58,80
