Tennessee,Error,Chaminade,2633
12:15,-1,Kiran Shastri made Jumper.,19,18
11:52,2633,Kyle Alexander made Three Point Jumper. Assisted by Lamonte Turner.,22,18
11:30,-1,Tyler Cartaino made Layup.,22,20
11:18,2633,Kyle Alexander made Jumper. Assisted by Detrick Mostella.,24,20
10:58,-1,Nate Pollard Turnover.,24,20
10:58,2633,Kyle Alexander Steal.,24,20
10:51,-1,Austin Pope made Three Point Jumper.,24,23
10:46,-1,Foul on Tyler Cartaino.,24,23
10:29,2633,Kwe Parker made Three Point Jumper. Assisted by John Fulkerson.,27,23
10:02,-1,Kuany Kuany missed Three Point Jumper.,27,23
10:02,2633,Detrick Mostella Defensive Rebound.,27,23
9:49,2633,Detrick Mostella missed Three Point Jumper.,27,23
9:49,2633,Grant Williams Offensive Rebound.,27,23
9:45,2633,Grant Williams made Layup.,29,23
9:28,-1,Rohndell Goodwin missed Three Point Jumper.,29,23
9:28,2633,Shembari Phillips Defensive Rebound.,29,23
9:18,2633,Shembari Phillips missed Layup.,29,23
9:18,2633,Grant Williams Offensive Rebound.,29,23
9:16,2633,Grant Williams made Layup.,31,23
8:50,-1,Sam Daly missed Three Point Jumper.,31,23
8:50,-1,Rohndell Goodwin Offensive Rebound.,31,23
8:46,-1,Austin Pope missed Jumper.,31,23
8:46,2633,Grant Williams Defensive Rebound.,31,23
8:18,-1,Foul on Tyler Cartaino.,31,23
8:18,2633,Shembari Phillips made Free Throw.,32,23
8:18,2633,Shembari Phillips made Free Throw.,33,23
8:03,-1,Rohndell Goodwin made Layup.,33,25
7:57,2633,Shembari Phillips missed Jumper.,33,25
7:57,-1,Kuany Kuany Defensive Rebound.,33,25
7:49,-1,Official TV Timeout,33,25
7:49,2633,Foul on Shembari Phillips.,33,25
7:45,-1,Rohndell Goodwin missed Layup.,33,25
7:45,2633,Grant Williams Block.,33,25
7:43,2633,Jordan Bowden Defensive Rebound.,33,25
7:41,2633,Jordan Bowden Turnover.,33,25
7:21,-1,Kuany Kuany missed Layup.,33,25
7:21,2633,Lamonte Turner Defensive Rebound.,33,25
7:17,-1,Foul on Austin Pope.,33,25
7:08,2633,Grant Williams missed Layup.,33,25
7:08,-1,Rohndell Goodwin Defensive Rebound.,33,25
6:59,-1,Sam Daly made Jumper. Assisted by Dantley Walker.,33,27
6:49,2633,Lamonte Turner missed Jumper.,33,27
6:49,-1,Sam Daly Defensive Rebound.,33,27
6:36,2633,Foul on Grant Williams.,33,27
6:36,-1,Rohndell Goodwin made Free Throw.,33,28
6:36,-1,Rohndell Goodwin made Free Throw.,33,29
6:15,2633,John Fulkerson made Layup.,35,29
5:51,-1,Rohndell Goodwin made Jumper.,35,31
5:39,2633,John Fulkerson made Layup.,37,31
5:22,2633,Foul on Grant Williams.,37,31
5:22,-1,Rohndell Goodwin missed Free Throw.,37,31
5:22,2633,John Fulkerson Defensive Rebound.,37,31
5:11,2633,Kwe Parker missed Layup.,37,31
5:11,2633,John Fulkerson Offensive Rebound.,37,31
5:09,2633,John Fulkerson made Two Point Tip Shot.,39,31
4:54,-1,Kuany Kuany missed Layup.,39,31
4:54,2633,John Fulkerson Block.,39,31
4:52,2633,John Fulkerson Defensive Rebound.,39,31
4:46,2633,Jordan Bowden missed Three Point Jumper.,39,31
4:46,-1,Kuany Kuany Defensive Rebound.,39,31
4:37,-1,Dantley Walker made Three Point Jumper. Assisted by Sam Daly.,39,34
4:18,2633,Jordan Bowden made Layup.,41,34
3:53,-1,Sam Daly missed Jumper.,41,34
3:53,-1,Nate Pollard Offensive Rebound.,41,34
3:52,2633,Foul on Kyle Alexander.,41,34
3:52,-1,Official TV Timeout,41,34
3:52,-1,Nate Pollard made Free Throw.,41,35
3:52,-1,Nate Pollard made Free Throw.,41,36
3:36,2633,Shembari Phillips made Three Point Jumper. Assisted by Robert Hubbs III.,44,36
3:11,-1,Sam Daly made Jumper.,44,38
2:54,2633,Robert Hubbs III missed Dunk.,44,38
2:54,-1,Rohndell Goodwin Block.,44,38
2:52,-1,Chaminade Defensive Rebound.,44,38
2:36,-1,Nate Pollard made Dunk. Assisted by Sam Daly.,44,40
2:25,2633,Kwe Parker Turnover.,44,40
2:24,-1,Sam Daly Steal.,44,40
2:22,-1,Sam Daly missed Layup.,44,40
2:22,2633,Tennessee Defensive Rebound.,44,40
1:56,2633,Kwe Parker Turnover.,44,40
1:47,-1,Dantley Walker missed Three Point Jumper.,44,40
1:47,-1,Austin Pope Offensive Rebound.,44,40
1:43,-1,Austin Pope missed Layup.,44,40
1:43,2633,Kwe Parker Defensive Rebound.,44,40
1:33,-1,Foul on Nate Pollard.,44,40
1:33,2633,Robert Hubbs III made Free Throw.,45,40
1:33,2633,Robert Hubbs III made Free Throw.,46,40
1:23,-1,Kuany Kuany Turnover.,46,40
1:20,2633,Lew Evans Steal.,46,40
1:18,2633,Shembari Phillips made Dunk. Assisted by Lew Evans.,48,40
1:06,-1,Sam Daly Turnover.,48,40
1:04,2633,Robert Hubbs III Steal.,48,40
1:00,2633,Lew Evans missed Three Point Jumper.,48,40
1:00,-1,Sam Daly Defensive Rebound.,48,40
0:51,-1,Sam Daly Turnover.,48,40
0:47,2633,Lamonte Turner missed Layup.,48,40
0:47,-1,Nate Pollard Defensive Rebound.,48,40
0:40,-1,Austin Pope missed Three Point Jumper.,48,40
0:40,2633,Shembari Phillips Defensive Rebound.,48,40
0:32,-1,Foul on Kuany Kuany.,48,40
0:32,2633,Shembari Phillips missed Free Throw.,48,40
0:32,2633,Tennessee Deadball Team Rebound.,48,40
0:32,2633,Shembari Phillips made Free Throw.,49,40
0:32,2633,Tennessee  Timeout,49,40
0:15,2633,Foul on Lamonte Turner.,49,40
0:15,-1,Rohndell Goodwin missed Free Throw.,49,40
0:15,2633,John Fulkerson Defensive Rebound.,49,40
0:01,-1,Foul on Nate Pollard.,49,40
0:01,2633,Lamonte Turner made Free Throw.,50,40
0:01,2633,Lamonte Turner made Free Throw.,51,40
0:00,-1,End of 1st half,51,40
19:51,-1,Foul on Austin Pope.,51,40
19:32,2633,Grant Williams missed Jumper.,51,40
19:32,2633,Robert Hubbs III Offensive Rebound.,51,40
19:12,2633,Robert Hubbs III made Jumper.,53,40
18:49,2633,Foul on Shembari Phillips.,53,40
18:49,-1,Rohndell Goodwin made Free Throw.,53,41
18:49,-1,Rohndell Goodwin made Free Throw.,53,42
18:32,2633,Jordan Bowden missed Three Point Jumper.,53,42
18:32,-1,Rohndell Goodwin Defensive Rebound.,53,42
18:16,-1,Rohndell Goodwin made Layup.,53,44
18:06,2633,Shembari Phillips Turnover.,53,44
18:05,-1,Rohndell Goodwin Steal.,53,44
18:01,-1,Austin Pope missed Layup.,53,44
18:01,2633,Grant Williams Block.,53,44
17:58,-1,Rohndell Goodwin Offensive Rebound.,53,44
17:56,-1,Rohndell Goodwin made Layup.,53,46
17:33,-1,Foul on Rohndell Goodwin.,53,46
17:23,2633,Robert Hubbs III made Layup.,55,46
17:12,-1,Rohndell Goodwin missed Layup.,55,46
17:12,2633,John Fulkerson Defensive Rebound.,55,46
17:02,2633,Detrick Mostella missed Three Point Jumper.,55,46
17:02,2633,Robert Hubbs III Offensive Rebound.,55,46
16:58,2633,Robert Hubbs III missed Two Point Tip Shot.,55,46
16:58,-1,Nate Pollard Defensive Rebound.,55,46
16:53,-1,Sam Daly missed Layup.,55,46
16:53,2633,John Fulkerson Block.,55,46
16:52,-1,Nate Pollard Offensive Rebound.,55,46
16:50,2633,Foul on Lamonte Turner.,55,46
16:50,-1,Nate Pollard missed Free Throw.,55,46
16:50,-1,Chaminade Deadball Team Rebound.,55,46
16:50,-1,Nate Pollard made Free Throw.,55,47
16:28,2633,Robert Hubbs III made Layup.,57,47
16:14,-1,Kiran Shastri made Jumper.,57,49
15:59,2633,Robert Hubbs III missed Jumper.,57,49
15:59,-1,Kuany Kuany Defensive Rebound.,57,49
15:50,-1,Kiran Shastri missed Three Point Jumper.,57,49
15:50,2633,John Fulkerson Defensive Rebound.,57,49
15:33,2633,Robert Hubbs III made Dunk.,59,49
15:33,-1,Foul on Kiran Shastri.,59,49
15:33,-1,Official TV Timeout,59,49
15:33,2633,Robert Hubbs III made Free Throw.,60,49
15:18,-1,Kuany Kuany missed Layup.,60,49
15:18,2633,John Fulkerson Defensive Rebound.,60,49
14:51,2633,Kwe Parker missed Layup.,60,49
14:51,-1,Nate Pollard Defensive Rebound.,60,49
14:42,2633,Foul on Robert Hubbs III.,60,49
14:39,-1,Kiran Shastri made Layup.,60,51
14:21,2633,Kwe Parker Turnover.,60,51
14:19,-1,Kuany Kuany Steal.,60,51
14:18,-1,Kuany Kuany Turnover.,60,51
14:01,2633,Robert Hubbs III made Three Point Jumper. Assisted by Grant Williams.,63,51
13:48,-1,Sam Daly Turnover.,63,51
13:46,2633,Robert Hubbs III Steal.,63,51
13:45,2633,Lamonte Turner Turnover.,63,51
13:25,2633,Foul on Detrick Mostella.,63,51
13:25,-1,Austin Pope made Free Throw.,63,52
13:25,-1,Austin Pope made Free Throw.,63,53
13:07,2633,Robert Hubbs III missed Three Point Jumper.,63,53
13:07,-1,Matt Southard Defensive Rebound.,63,53
13:00,-1,Kiran Shastri missed Three Point Jumper.,63,53
13:00,-1,Kuany Kuany Offensive Rebound.,63,53
12:55,2633,Foul on Robert Hubbs III.,63,53
12:55,-1,Kuany Kuany made Free Throw.,63,54
12:55,-1,Kuany Kuany missed Free Throw.,63,54
12:55,2633,Kyle Alexander Defensive Rebound.,63,54
12:45,2633,Grant Williams made Layup. Assisted by Lamonte Turner.,65,54
12:27,-1,Kuany Kuany missed Layup.,65,54
12:27,-1,Austin Pope Offensive Rebound.,65,54
12:19,-1,Kuany Kuany Turnover.,65,54
12:19,2633,Grant Williams Steal.,65,54
12:19,-1,Foul on Kuany Kuany.,65,54
12:01,-1,Foul on Matt Southard.,65,54
12:01,2633,Robert Hubbs III made Free Throw.,66,54
12:01,2633,Robert Hubbs III made Free Throw.,67,54
11:39,-1,Rohndell Goodwin made Three Point Jumper.,67,57
11:15,-1,Foul on Tyler Cartaino.,67,57
11:15,-1,Official TV Timeout,67,57
11:15,2633,Robert Hubbs III made Free Throw.,68,57
11:15,2633,Robert Hubbs III made Free Throw.,69,57
11:00,-1,Kahanu Pu'ulei-Auld Turnover.,69,57
10:58,2633,Robert Hubbs III Steal.,69,57
10:56,2633,Jordan Bowden made Dunk. Assisted by Robert Hubbs III.,71,57
10:33,-1,Rohndell Goodwin made Three Point Jumper.,71,60
10:18,2633,Detrick Mostella made Layup. Assisted by Lamonte Turner.,73,60
9:54,-1,Tyler Cartaino Turnover.,73,60
9:52,2633,Grant Williams Steal.,73,60
9:48,2633,Robert Hubbs III missed Layup.,73,60
9:48,-1,Tyler Cartaino Defensive Rebound.,73,60
9:41,-1,Kiran Shastri made Three Point Jumper. Assisted by Kahanu Pu'ulei-Auld.,73,63
9:23,2633,Lamonte Turner missed Three Point Jumper.,73,63
9:23,2633,Jordan Bowden Offensive Rebound.,73,63
9:19,2633,Jordan Bowden made Layup.,75,63
8:50,-1,Tyler Cartaino missed Three Point Jumper.,75,63
8:50,-1,Rohndell Goodwin Offensive Rebound.,75,63
8:45,-1,Rohndell Goodwin missed Three Point Jumper.,75,63
8:45,2633,Grant Williams Defensive Rebound.,75,63
8:38,-1,Foul on Kahanu Pu'ulei-Auld.,75,63
8:38,2633,Lamonte Turner missed Free Throw.,75,63
8:38,-1,Nate Pollard Defensive Rebound.,75,63
8:37,2633,Foul on John Fulkerson.,75,63
8:25,-1,Sam Daly made Jumper.,75,65
8:01,2633,Robert Hubbs III made Layup.,77,65
7:48,-1,Kiran Shastri missed Three Point Jumper.,77,65
7:48,2633,John Fulkerson Defensive Rebound.,77,65
7:24,2633,Robert Hubbs III missed Layup.,77,65
7:24,2633,Robert Hubbs III Offensive Rebound.,77,65
7:21,2633,Robert Hubbs III made Two Point Tip Shot.,79,65
7:07,-1,Sam Daly Turnover.,79,65
7:07,2633,John Fulkerson Steal.,79,65
7:07,-1,Official TV Timeout,79,65
6:44,2633,Shembari Phillips missed Jumper.,79,65
6:44,2633,Shembari Phillips Offensive Rebound.,79,65
6:28,2633,John Fulkerson missed Layup.,79,65
6:28,2633,Jordan Bowden Offensive Rebound.,79,65
6:24,2633,Jordan Bowden made Layup.,81,65
6:01,2633,Foul on Lamonte Turner.,81,65
6:01,-1,Kiran Shastri made Free Throw.,81,66
6:01,-1,Kiran Shastri made Free Throw.,81,67
5:50,2633,Robert Hubbs III missed Jumper.,81,67
5:50,-1,Kiran Shastri Defensive Rebound.,81,67
5:48,2633,Foul on John Fulkerson.,81,67
5:48,-1,Kiran Shastri made Free Throw.,81,68
5:48,-1,Kiran Shastri made Free Throw.,81,69
5:40,2633,John Fulkerson Turnover.,81,69
5:40,2633,Foul on John Fulkerson.,81,69
5:35,-1,Sam Daly made Layup.,81,71
5:17,2633,Grant Williams made Jumper. Assisted by Jordan Bowden.,83,71
4:54,-1,Austin Pope made Three Point Jumper. Assisted by Kiran Shastri.,83,74
4:36,2633,Robert Hubbs III made Dunk. Assisted by Grant Williams.,85,74
4:20,2633,Foul on Jordan Bowden.,85,74
4:20,-1,Nate Pollard missed Free Throw.,85,74
4:20,-1,Chaminade Deadball Team Rebound.,85,74
4:20,-1,Nate Pollard made Free Throw.,85,75
4:05,2633,Jordan Bowden missed Jumper.,85,75
4:05,-1,Rohndell Goodwin Defensive Rebound.,85,75
3:56,-1,Sam Daly Turnover.,85,75
3:55,2633,Robert Hubbs III Steal.,85,75
3:39,2633,Robert Hubbs III missed Jumper.,85,75
3:39,2633,Jordan Bowden Offensive Rebound.,85,75
3:34,2633,Jordan Bowden missed Layup.,85,75
3:34,2633,Shembari Phillips Offensive Rebound.,85,75
3:19,2633,Grant Williams missed Three Point Jumper.,85,75
3:19,-1,Rohndell Goodwin Defensive Rebound.,85,75
3:09,-1,Kiran Shastri missed Three Point Jumper.,85,75
3:09,2633,Jordan Bowden Defensive Rebound.,85,75
3:01,2633,Tennessee  Timeout,85,75
2:48,2633,Detrick Mostella made Three Point Jumper. Assisted by Robert Hubbs III.,88,75
2:26,-1,Austin Pope made Jumper.,88,77
1:59,2633,Jordan Bowden made Layup.,90,77
1:59,-1,Foul on Nate Pollard.,90,77
1:59,-1,Official TV Timeout,90,77
1:59,2633,Jordan Bowden made Free Throw.,91,77
1:48,-1,Kiran Shastri missed Three Point Jumper.,91,77
1:48,2633,Robert Hubbs III Block.,91,77
1:48,-1,Chaminade Offensive Rebound.,91,77
1:42,-1,Rohndell Goodwin missed Three Point Jumper.,91,77
1:42,2633,Jordan Bowden Defensive Rebound.,91,77
1:19,-1,Foul on Nate Pollard.,91,77
1:19,2633,Grant Williams made Free Throw.,92,77
1:19,2633,Grant Williams made Free Throw.,93,77
1:08,-1,Sam Daly Turnover.,93,77
1:00,2633,Shembari Phillips Turnover.,93,77
0:59,-1,Austin Pope Steal.,93,77
0:56,-1,Sam Daly made Layup. Assisted by Austin Pope.,93,79
0:32,2633,Detrick Mostella made Layup.,95,79
0:26,-1,Sam Daly missed Layup.,95,79
0:26,-1,Austin Pope Offensive Rebound.,95,79
0:21,-1,Sam Daly made Layup. Assisted by Austin Pope.,95,81
0:20,-1,Chaminade  Timeout,95,81
0:00,-1,End of Game,95,81
