Ave Maria,Error,Florida Intl,2229
13:16,2229,Richard Bivens Defensive Rebound.,13,12
12:43,2229,Florida International  Turnover.,13,12
12:32,-1,Travis Scott missed Layup.,13,12
12:32,2229,Eric Nottage Defensive Rebound.,13,12
12:14,2229,Donte McGill made Layup.,13,14
12:01,-1,TeJai Allen missed Jumper.,13,14
12:01,-1,Travis Scott Offensive Rebound.,13,14
11:53,-1,Foul on TeJai Allen.,13,14
11:53,-1,TeJai Allen Turnover.,13,14
11:53,2229,Official TV Timeout,13,14
11:23,2229,Kimar Williams missed Jumper.,13,14
11:23,2229,Eric Nottage Offensive Rebound.,13,14
11:15,2229,Eric Nottage Turnover.,13,14
10:55,-1,Deonte Dixon missed Three Point Jumper.,13,14
10:55,2229,Eric Nottage Defensive Rebound.,13,14
10:27,2229,Donte McGill missed Layup.,13,14
10:27,-1,TeJai Allen Defensive Rebound.,13,14
10:11,-1,Exor Torres missed Jumper.,13,14
10:11,-1,Ryan Maniaci Offensive Rebound.,13,14
9:49,2229,Foul on Eric Nottage.,13,14
9:49,-1,Malik Mayeaux made Free Throw.,14,14
9:49,-1,Malik Mayeaux made Free Throw.,15,14
9:27,2229,Cameron Smith missed Layup.,15,14
9:27,-1,Malik Mayeaux Defensive Rebound.,15,14
9:18,-1,TeJai Allen missed Three Point Jumper.,15,14
9:18,2229,Cameron Smith Defensive Rebound.,15,14
8:59,2229,Eric Lockett missed Three Point Jumper.,15,14
8:59,2229,Elmo Stephen Offensive Rebound.,15,14
8:52,2229,Elmo Stephen made Jumper.,15,16
8:37,-1,Malik Mayeaux made Layup. Assisted by Romello Bates.,17,16
8:37,2229,Foul on Cameron Smith.,17,16
8:37,-1,Malik Mayeaux made Free Throw.,18,16
8:16,2229,Eric Nottage missed Three Point Jumper.,18,16
8:16,-1,Ryan Maniaci Defensive Rebound.,18,16
8:00,-1,Ryan Maniaci missed Three Point Jumper.,18,16
8:00,-1,Travis Scott Offensive Rebound.,18,16
7:56,-1,Travis Scott missed Layup.,18,16
7:56,2229,Eric Lockett Block.,18,16
7:55,-1,Ave Maria Offensive Rebound.,18,16
7:54,2229,Official TV Timeout,18,16
7:49,-1,Deonte Dixon Turnover.,18,16
7:35,2229,Donte McGill made Jumper.,18,18
7:25,-1,Deonte Dixon made Three Point Jumper. Assisted by Exor Torres.,21,18
6:57,2229,Richard Bivens made Layup. Assisted by Elmo Stephen.,21,20
6:57,-1,Foul on Travis Scott.,21,20
6:57,2229,Richard Bivens made Free Throw.,21,21
6:43,-1,TeJai Allen Turnover.,21,21
6:41,2229,Elmo Stephen Steal.,21,21
6:39,2229,Eric Lockett made Layup.,21,23
6:09,-1,Exor Torres missed Layup.,21,23
6:09,2229,Eric Nottage Defensive Rebound.,21,23
6:03,2229,Donte McGill Turnover.,21,23
5:39,-1,Malik Mayeaux missed Layup.,21,23
5:39,2229,Eric Nottage Defensive Rebound.,21,23
5:31,2229,Eric Nottage Turnover.,21,23
5:30,-1,Romello Bates Steal.,21,23
5:27,-1,TeJai Allen made Layup. Assisted by Romello Bates.,23,23
5:08,2229,Richard Bivens missed Layup.,23,23
5:08,-1,Malik Mayeaux Block.,23,23
5:06,2229,Florida International Offensive Rebound.,23,23
4:51,-1,Foul on Exor Torres.,23,23
4:27,2229,Kimar Williams Turnover.,23,23
4:24,-1,Romello Bates Steal.,23,23
4:22,-1,Romello Bates missed Layup.,23,23
4:22,-1,Malik Mayeaux Offensive Rebound.,23,23
4:17,-1,Malik Mayeaux made Layup.,25,23
3:52,2229,Donte McGill made Three Point Jumper.,25,26
3:31,2229,Official TV Timeout,25,26
3:27,-1,TeJai Allen Turnover.,25,26
3:26,2229,Richard Bivens Steal.,25,26
3:16,2229,Richard Bivens made Three Point Jumper. Assisted by Kimar Williams.,25,29
2:57,-1,Deonte Dixon made Three Point Jumper.,28,29
2:28,2229,Donte McGill Turnover.,28,29
2:26,-1,TeJai Allen Steal.,28,29
2:23,-1,Deonte Dixon missed Three Point Jumper.,28,29
2:23,-1,Romello Bates Offensive Rebound.,28,29
2:18,-1,Romello Bates made Layup.,30,29
1:49,2229,Donte McGill missed Jumper.,30,29
1:49,2229,Donte McGill Offensive Rebound.,30,29
1:46,2229,Donte McGill Turnover.,30,29
1:28,-1,Ryan Maniaci made Layup. Assisted by Deonte Dixon.,32,29
0:53,2229,Kimar Williams missed Layup.,32,29
0:53,-1,Romello Bates Defensive Rebound.,32,29
0:44,-1,Deonte Dixon Turnover.,32,29
0:44,2229,Michael Douglas Steal.,32,29
0:44,-1,Foul on Deonte Dixon.,32,29
0:24,2229,Elmo Stephen made Three Point Jumper. Assisted by Kimar Williams.,32,32
0:05,-1,TeJai Allen missed Three Point Jumper.,32,32
0:05,2229,Richard Bivens Defensive Rebound.,32,32
0:00,2229,End of 1st half,32,32
19:52,2229,Richard Bivens Turnover.,32,32
19:37,-1,TeJai Allen made Layup.,34,32
19:11,2229,Donte McGill made Jumper.,34,34
18:49,-1,Romello Bates made Layup. Assisted by TeJai Allen.,36,34
18:36,2229,Richard Bivens made Layup. Assisted by Kimar Williams.,36,36
18:29,-1,Romello Bates made Jumper.,38,36
18:15,2229,Ronald Whitaker missed Jumper.,38,36
18:15,-1,Exor Torres Defensive Rebound.,38,36
17:58,-1,Romello Bates missed Layup.,38,36
17:58,2229,Anthony Boswell Defensive Rebound.,38,36
17:51,-1,Foul on Malik Mayeaux.,38,36
17:51,2229,Donte McGill made Free Throw.,38,37
17:51,2229,Donte McGill made Free Throw.,38,38
17:38,-1,TeJai Allen missed Layup.,38,38
17:38,2229,Elmo Stephen Defensive Rebound.,38,38
17:27,2229,Anthony Boswell missed Three Point Jumper.,38,38
17:24,2229,Elmo Stephen Offensive Rebound.,38,38
17:24,-1,Foul on Exor Torres.,38,38
17:20,2229,Elmo Stephen made Three Point Jumper. Assisted by Kimar Williams.,38,41
17:04,2229,Foul on Kimar Williams.,38,41
16:56,2229,Foul on Richard Bivens.,38,41
16:56,-1,Romello Bates missed Free Throw.,38,41
16:56,-1,Ave Maria Deadball Team Rebound.,38,41
16:56,-1,Romello Bates made Free Throw.,39,41
16:30,2229,Kimar Williams missed Three Point Jumper.,39,41
16:30,2229,Elmo Stephen Offensive Rebound.,39,41
16:24,2229,Elmo Stephen Turnover.,39,41
16:08,-1,Malik Mayeaux made Jumper. Assisted by Romello Bates.,41,41
15:50,2229,Donte McGill made Layup.,41,43
15:41,2229,Foul on Richard Bivens.,41,43
15:41,2229,Official TV Timeout,41,43
15:41,-1,Deonte Dixon made Free Throw.,42,43
15:41,-1,Deonte Dixon made Free Throw.,43,43
15:26,2229,Elmo Stephen missed Three Point Jumper.,43,43
15:26,2229,Donte McGill Offensive Rebound.,43,43
15:21,2229,Donte McGill made Layup.,43,45
15:10,-1,Ryan Maniaci missed Three Point Jumper.,43,45
15:10,2229,Florida International Defensive Rebound.,43,45
14:38,2229,Kimar Williams Turnover.,43,45
14:36,-1,Malik Mayeaux Steal.,43,45
14:33,-1,TeJai Allen missed Layup.,43,45
14:33,2229,Eric Lockett Defensive Rebound.,43,45
14:28,2229,Eric Lockett made Layup.,43,47
14:28,-1,Foul on Ryan Maniaci.,43,47
14:28,2229,Eric Lockett missed Free Throw.,43,47
14:28,-1,TeJai Allen Defensive Rebound.,43,47
14:10,-1,Deonte Dixon missed Three Point Jumper.,43,47
14:10,2229,Donte McGill Defensive Rebound.,43,47
13:57,-1,Foul on Deonte Dixon.,43,47
13:56,2229,Elmo Stephen missed Three Point Jumper.,43,47
13:56,-1,Romello Bates Defensive Rebound.,43,47
13:38,-1,TeJai Allen missed Layup.,43,47
13:38,-1,Ave Maria Offensive Rebound.,43,47
13:33,-1,TeJai Allen made Layup.,45,47
13:17,2229,Elmo Stephen made Layup. Assisted by Eric Lockett.,45,49
12:58,-1,TeJai Allen missed Three Point Jumper.,45,49
12:58,2229,Elmo Stephen Defensive Rebound.,45,49
12:50,2229,Elmo Stephen made Three Point Jumper. Assisted by Eric Nottage.,45,52
12:41,-1,Ave Maria  Timeout,45,52
12:36,-1,Romello Bates made Layup.,47,52
12:24,2229,Anthony Boswell made Jumper.,47,54
12:09,-1,Exor Torres missed Layup.,47,54
12:09,2229,Eric Lockett Defensive Rebound.,47,54
11:58,2229,Eric Nottage made Layup.,47,56
11:48,-1,Deonte Dixon missed Three Point Jumper.,47,56
11:48,2229,Anthony Boswell Defensive Rebound.,47,56
11:35,2229,Eric Lockett missed Three Point Jumper.,47,56
11:35,2229,Donte McGill Offensive Rebound.,47,56
11:31,2229,Donte McGill made Layup.,47,58
11:05,-1,Deonte Dixon made Three Point Jumper. Assisted by Romello Bates.,50,58
10:47,2229,Donte McGill missed Layup.,50,58
10:47,2229,Eric Lockett Offensive Rebound.,50,58
10:44,2229,Eric Lockett made Layup.,50,60
10:33,-1,Malik Mayeaux Turnover.,50,60
10:31,2229,Eric Lockett Steal.,50,60
10:17,2229,Official TV Timeout,50,60
10:05,2229,Anthony Boswell made Three Point Jumper. Assisted by Donte McGill.,50,63
9:42,-1,Malik Mayeaux Turnover.,50,63
9:41,2229,Donte McGill Steal.,50,63
9:35,2229,Elmo Stephen made Three Point Jumper. Assisted by Eric Nottage.,50,66
9:17,-1,Romello Bates made Layup.,52,66
9:02,2229,Anthony Boswell made Three Point Jumper. Assisted by Eric Nottage.,52,69
8:59,2229,Florida International  Timeout,52,69
8:59,2229,Foul on Eric Nottage.,52,69
8:51,-1,Deonte Dixon made Three Point Jumper. Assisted by Romello Bates.,55,69
8:36,2229,Eric Nottage missed Layup.,55,69
8:36,-1,Malik Mayeaux Defensive Rebound.,55,69
8:31,-1,Exor Torres made Jumper.,57,69
8:01,2229,Eric Nottage Turnover.,57,69
7:59,-1,Exor Torres Steal.,57,69
7:57,-1,Exor Torres Turnover.,57,69
7:56,2229,Eric Nottage Steal.,57,69
7:54,2229,Official TV Timeout,57,69
7:45,-1,Romello Bates made Three Point Jumper. Assisted by Deonte Dixon.,60,69
7:19,2229,Eric Nottage made Layup.,60,71
7:01,-1,Deonte Dixon missed Three Point Jumper.,60,71
7:01,-1,Exor Torres Offensive Rebound.,60,71
6:54,-1,Exor Torres made Layup.,62,71
6:37,2229,Foul on Eric Lockett.,62,71
6:37,2229,Eric Lockett Turnover.,62,71
6:29,-1,Romello Bates Turnover.,62,71
6:28,2229,Donte McGill Steal.,62,71
6:18,-1,Foul on TeJai Allen.,62,71
6:18,2229,Eric Nottage missed Free Throw.,62,71
6:18,2229,Florida International Deadball Team Rebound.,62,71
6:18,2229,Eric Nottage missed Free Throw.,62,71
6:18,-1,TeJai Allen Defensive Rebound.,62,71
6:11,-1,Malik Mayeaux Turnover.,62,71
6:10,2229,Elmo Stephen Steal.,62,71
5:43,2229,Elmo Stephen made Jumper.,62,73
5:13,-1,TeJai Allen missed Layup.,62,73
5:13,2229,Elmo Stephen Defensive Rebound.,62,73
5:05,-1,Foul on Malik Mayeaux.,62,73
5:05,-1,Ave Maria  Timeout,62,73
5:04,2229,Elmo Stephen made Jumper.,62,75
4:54,-1,Deonte Dixon made Dunk. Assisted by Romello Bates.,64,75
4:41,2229,Foul on Eric Lockett.,64,75
4:41,2229,Eric Lockett Turnover.,64,75
4:10,-1,Deonte Dixon missed Layup.,64,75
4:10,-1,TeJai Allen Offensive Rebound.,64,75
4:07,-1,TeJai Allen missed Jumper.,64,75
4:07,2229,Eric Nottage Defensive Rebound.,64,75
4:05,-1,Foul on Romello Bates.,64,75
4:05,2229,Eric Nottage made Free Throw.,64,76
4:05,2229,Eric Nottage made Free Throw.,64,77
4:05,-1,Romello Bates made Layup.,66,77
3:48,2229,Elmo Stephen missed Three Point Jumper.,66,77
3:48,-1,Romello Bates Defensive Rebound.,66,77
3:40,-1,Deonte Dixon missed Three Point Jumper.,66,77
3:40,-1,Romello Bates Offensive Rebound.,66,77
3:29,-1,Romello Bates missed Three Point Jumper.,66,77
3:29,2229,Eric Lockett Defensive Rebound.,66,77
3:00,2229,Eric Lockett made Jumper.,66,79
2:41,2229,Foul on Eric Nottage.,66,79
2:41,2229,Official TV Timeout,66,79
2:41,-1,Exor Torres made Free Throw.,67,79
2:41,-1,Exor Torres missed Free Throw.,67,79
2:41,2229,Eric Nottage Defensive Rebound.,67,79
2:19,2229,Donte McGill made Three Point Jumper. Assisted by Elmo Stephen.,67,82
2:01,-1,Foul on Travis Scott.,67,82
2:01,-1,Travis Scott Turnover.,67,82
1:43,2229,Donte McGill missed Three Point Jumper.,67,82
1:43,2229,Anthony Boswell Offensive Rebound.,67,82
1:38,2229,Anthony Boswell made Layup.,67,84
1:20,-1,Exor Torres made Three Point Jumper. Assisted by Michael O'Donnell.,70,84
1:07,2229,Florida International  Timeout,70,84
0:54,2229,Michael Douglas made Three Point Jumper. Assisted by Eric Nottage.,70,87
0:40,-1,Eric Richardson Turnover.,70,87
0:39,2229,Anthony Boswell Steal.,70,87
0:37,2229,Anthony Boswell Turnover.,70,87
0:36,-1,Exor Torres Steal.,70,87
0:35,-1,Exor Torres made Layup.,72,87
0:09,-1,Foul on Travis Scott.,72,87
0:09,2229,Eric Nottage made Free Throw.,72,88
0:09,2229,Eric Nottage made Free Throw.,72,89
0:05,-1,Ryan Maniaci missed Jumper.,72,89
0:05,2229,Anthony Boswell Defensive Rebound.,72,89
0:00,2229,End of Game,72,89
