Longwood,2598,St. Francis (PA),2344
9:41,2344,Khris Lane made Layup. Assisted by Isaiah Walton.,17,14
9:25,2598,Jamaal King made Jumper.,17,16
9:08,2344,Isaiah Walton missed Layup.,17,16
9:08,2598,Josh Nebo Block.,17,16
9:06,2598,Keith Braxton Defensive Rebound.,17,16
9:02,2598,Jamaal King made Three Point Jumper. Assisted by Keith Braxton.,17,19
8:39,2344,Khris Lane Turnover.,17,19
8:39,2598,Jamaal King Steal.,17,19
8:16,2598,Josh Nebo Turnover.,17,19
8:15,2344,Darrion Allen Steal.,17,19
7:55,2344,Khris Lane missed Jumper.,17,19
7:55,2598,Josh Nebo Defensive Rebound.,17,19
7:42,2598,Jamaal King missed Jumper.,17,19
7:42,2344,Khris Lane Defensive Rebound.,17,19
7:25,2344,Isaiah Walton made Three Point Jumper. Assisted by JaShaun Smith.,20,19
7:17,2598,Georgios Angelou missed Three Point Jumper.,20,19
7:17,2344,JaShaun Smith Defensive Rebound.,20,19
7:15,2598,Foul on Josh Nebo.,20,19
7:05,2344,Chris Shields Turnover.,20,19
7:04,2598,Andre Wolford Steal.,20,19
6:56,2598,Georgios Angelou made Three Point Jumper. Assisted by Jamaal King.,20,22
6:31,2344,Isaiah Walton made Jumper.,22,22
6:14,2344,Foul on Kendrick Thompson.,22,22
6:14,2598,Georgios Angelou missed Free Throw.,22,22
6:14,2344,Khris Lane Defensive Rebound.,22,22
6:01,2598,Foul on Ifeanyi Umezurike.,22,22
6:01,2344,Khris Lane made Free Throw.,23,22
6:01,2344,Khris Lane missed Free Throw.,23,22
6:01,2598,Ifeanyi Umezurike Defensive Rebound.,23,22
5:47,2598,Ifeanyi Umezurike made Layup. Assisted by Jamaal King.,23,24
5:36,2344,Foul on Darrion Allen.,23,24
5:36,2344,Darrion Allen Turnover.,23,24
5:20,2344,Foul on Bryan Gee.,23,24
5:20,2598,Jamaal King made Free Throw.,23,25
5:20,2598,Jamaal King missed Free Throw.,23,25
5:20,2598,Ifeanyi Umezurike Offensive Rebound.,23,25
5:20,2598,Ifeanyi Umezurike made Layup.,23,27
5:05,2344,Khris Lane missed Jumper.,23,27
5:05,2598,Ifeanyi Umezurike Defensive Rebound.,23,27
4:52,2598,Randall Gaskins Jr. made Jumper.,23,29
4:32,2344,Khris Lane made Layup.,25,29
4:26,2598,Andre Wolford made Layup. Assisted by Jamaal King.,25,31
3:55,2344,Darrion Allen Turnover.,25,31
3:45,2598,Foul on Ifeanyi Umezurike.,25,31
3:45,2598,Ifeanyi Umezurike Turnover.,25,31
3:22,2344,Khris Lane missed Jumper.,25,31
3:22,2344,Darrion Allen Offensive Rebound.,25,31
3:18,2344,Darrion Allen Turnover.,25,31
3:17,2598,Keith Braxton Steal.,25,31
3:10,2598,Randall Gaskins Jr. made Jumper. Assisted by Keith Braxton.,25,33
2:57,2344,Isaiah Walton Turnover.,25,33
2:57,2598,Randall Gaskins Jr. Steal.,25,33
2:57,2344,Foul on Chris Shields.,25,33
2:57,2598,Randall Gaskins Jr. missed Free Throw.,25,33
2:57,2598,St. Francis (PA) Deadball Team Rebound.,25,33
2:57,2598,Randall Gaskins Jr. made Free Throw.,25,34
2:43,2344,Isaac Belton missed Three Point Jumper.,25,34
2:43,2598,Jamaal King Defensive Rebound.,25,34
2:34,2598,Randall Gaskins Jr. made Jumper. Assisted by Jamaal King.,25,36
2:10,2344,Khris Lane missed Jumper.,25,36
2:10,2598,Deivydas Kuzavas Block.,25,36
2:07,2598,Keith Braxton Defensive Rebound.,25,36
2:02,2598,Jamaal King missed Three Point Jumper.,25,36
2:02,2598,Randall Gaskins Jr. Offensive Rebound.,25,36
1:57,2598,Georgios Angelou missed Three Point Jumper.,25,36
1:57,2344,Khris Lane Defensive Rebound.,25,36
1:43,2344,Chris Shields Turnover.,25,36
1:42,2598,Randall Gaskins Jr. Steal.,25,36
1:39,2598,Keith Braxton made Layup. Assisted by Randall Gaskins Jr..,25,38
1:25,2344,Isaac Belton missed Three Point Jumper.,25,38
1:25,2598,Andre Wolford Defensive Rebound.,25,38
1:23,2344,Foul on Khris Lane.,25,38
1:23,2598,Andre Wolford missed Free Throw.,25,38
1:23,2598,St. Francis (PA) Deadball Team Rebound.,25,38
1:23,2598,Andre Wolford made Free Throw.,25,39
1:03,2344,Bryan Gee Turnover.,25,39
0:54,2598,St. Francis (PA)  Timeout,25,39
0:50,2344,Foul on Isaac Belton.,25,39
0:50,2598,Jamaal King missed Free Throw.,25,39
0:50,2598,St. Francis (PA) Deadball Team Rebound.,25,39
0:50,2598,Jamaal King made Free Throw.,25,40
0:33,2344,Khris Lane missed Layup.,25,40
0:33,2598,Deivydas Kuzavas Block.,25,40
0:32,2598,Jamaal King Defensive Rebound.,25,40
0:08,2598,Jamaal King made Layup.,25,42
0:06,2344,Longwood  Timeout,25,42
0:00,2598,End of 1st half,25,42
19:47,2344,Darrion Allen made Three Point Jumper. Assisted by Khris Lane.,28,42
19:27,2598,Josh Nebo missed Jumper.,28,42
19:27,2598,Keith Braxton Offensive Rebound.,28,42
19:23,2598,Keith Braxton made Layup.,28,44
19:02,2344,Isaiah Walton missed Layup.,28,44
19:02,2598,Josh Nebo Block.,28,44
19:00,2344,Kendrick Thompson Offensive Rebound.,28,44
18:55,2344,Darrion Allen made Three Point Jumper. Assisted by JaShaun Smith.,31,44
18:31,2598,Josh Nebo made Jumper.,31,46
18:13,2344,Darrion Allen made Jumper.,33,46
17:51,2598,Josh Nebo made Jumper. Assisted by Jamaal King.,33,48
17:40,2344,Kendrick Thompson missed Jumper.,33,48
17:40,2598,Josh Nebo Defensive Rebound.,33,48
17:28,2344,Foul on Isaiah Walton.,33,48
17:25,2344,Foul on JaShaun Smith.,33,48
17:25,2598,Keith Braxton missed Free Throw.,33,48
17:25,2598,St. Francis (PA) Deadball Team Rebound.,33,48
17:25,2598,Keith Braxton missed Free Throw.,33,48
17:25,2344,JaShaun Smith Defensive Rebound.,33,48
17:16,2344,JaShaun Smith made Layup.,35,48
16:59,2598,Josh Nebo made Dunk. Assisted by Keith Braxton.,35,50
16:42,2344,JaShaun Smith missed Jumper.,35,50
16:42,2598,Keith Braxton Defensive Rebound.,35,50
16:35,2598,Josh Nebo made Jumper. Assisted by Georgios Angelou.,35,52
16:17,2344,Isaiah Walton missed Jumper.,35,52
16:17,2598,Keith Braxton Defensive Rebound.,35,52
15:57,2598,Jamaal King made Layup.,35,54
15:49,2344,Longwood  Timeout,35,54
15:27,2344,Khris Lane missed Jumper.,35,54
15:27,2598,Josh Nebo Defensive Rebound.,35,54
15:20,2598,Georgios Angelou missed Jumper.,35,54
15:20,2344,Isaac Belton Block.,35,54
15:20,2598,St. Francis (PA) Offensive Rebound.,35,54
15:16,2598,Josh Nebo made Jumper. Assisted by Randall Gaskins Jr..,35,56
14:43,2344,JaShaun Smith made Jumper. Assisted by Kendrick Thompson.,37,56
14:28,2598,Georgios Angelou missed Three Point Jumper.,37,56
14:28,2598,Keith Braxton Offensive Rebound.,37,56
14:25,2598,Keith Braxton made Layup.,37,58
14:07,2344,Kendrick Thompson missed Three Point Jumper.,37,58
14:07,2598,St. Francis (PA) Defensive Rebound.,37,58
13:41,2598,Isaiah Blackmon missed Three Point Jumper.,37,58
13:41,2344,Isaac Belton Defensive Rebound.,37,58
13:34,2598,Foul on Jamaal King.,37,58
13:31,2344,Darrion Allen missed Three Point Jumper.,37,58
13:31,2598,Ifeanyi Umezurike Defensive Rebound.,37,58
13:27,2598,Scott Meredith missed Three Point Jumper.,37,58
13:27,2598,Keith Braxton Offensive Rebound.,37,58
13:20,2598,Jamaal King missed Three Point Jumper.,37,58
13:20,2598,Ifeanyi Umezurike Offensive Rebound.,37,58
13:15,2598,Ifeanyi Umezurike Turnover.,37,58
13:14,2344,Kendrick Thompson Steal.,37,58
13:12,2598,Foul on Keith Braxton.,37,58
13:06,2344,Darrion Allen missed Jumper.,37,58
13:06,2598,Ifeanyi Umezurike Defensive Rebound.,37,58
12:43,2598,Scott Meredith made Three Point Jumper. Assisted by Andre Wolford.,37,61
12:20,2344,Darrion Allen made Three Point Jumper. Assisted by Bryan Gee.,40,61
11:56,2598,Ifeanyi Umezurike made Layup. Assisted by Keith Braxton.,40,63
11:37,2344,Isaac Belton missed Layup.,40,63
11:37,2598,Keith Braxton Defensive Rebound.,40,63
11:29,2598,Andre Wolford made Layup.,40,65
11:18,2344,Chris Shields made Three Point Jumper. Assisted by Isaac Belton.,43,65
10:53,2598,Ifeanyi Umezurike Turnover.,43,65
10:31,2344,Bryan Gee Turnover.,43,65
10:21,2598,Isaiah Blackmon Turnover.,43,65
10:13,2344,Darrion Allen made Three Point Jumper. Assisted by Bryan Gee.,46,65
9:59,2598,Isaiah Blackmon missed Layup.,46,65
9:59,2598,Ifeanyi Umezurike Offensive Rebound.,46,65
9:53,2598,Ifeanyi Umezurike made Layup.,46,67
9:41,2344,Isaac Belton Turnover.,46,67
9:41,2598,Scott Meredith Steal.,46,67
9:38,2344,Foul on Chris Shields.,46,67
9:38,2598,Andre Wolford made Free Throw.,46,68
9:38,2598,Andre Wolford made Free Throw.,46,69
9:34,2344,Darrion Allen made Three Point Jumper. Assisted by Kendrick Thompson.,49,69
9:06,2598,Jamaal King missed Layup.,49,69
9:06,2598,Daniel Wallace Offensive Rebound.,49,69
9:01,2344,Foul on Chris Shields.,49,69
9:01,2598,Daniel Wallace missed Free Throw.,49,69
9:01,2598,St. Francis (PA) Deadball Team Rebound.,49,69
9:01,2598,Daniel Wallace missed Free Throw.,49,69
9:01,2344,Darrion Allen Defensive Rebound.,49,69
8:34,2598,Foul on Ifeanyi Umezurike.,49,69
8:33,2344,Khris Lane missed Layup.,49,69
8:33,2598,Josh Nebo Block.,49,69
8:30,2598,Georgios Angelou Defensive Rebound.,49,69
8:25,2598,Georgios Angelou Turnover.,49,69
8:24,2344,Khris Lane Steal.,49,69
8:21,2344,Isaiah Walton made Layup. Assisted by Kendrick Thompson.,51,69
8:05,2598,Keith Braxton made Layup.,51,71
7:37,2344,Khris Lane made Three Point Jumper. Assisted by Kendrick Thompson.,54,71
7:29,2344,Foul on JaShaun Smith.,54,71
7:24,2344,Foul on Kendrick Thompson.,54,71
7:06,2598,Georgios Angelou missed Three Point Jumper.,54,71
7:06,2344,Kendrick Thompson Defensive Rebound.,54,71
6:58,2344,JaShaun Smith made Layup. Assisted by Isaiah Walton.,56,71
6:40,2598,Georgios Angelou missed Three Point Jumper.,56,71
6:40,2344,Longwood Defensive Rebound.,56,71
6:26,2344,Darrion Allen Turnover.,56,71
6:19,2344,Foul on Isaiah Walton.,56,71
6:19,2598,Georgios Angelou missed Free Throw.,56,71
6:19,2344,JaShaun Smith Defensive Rebound.,56,71
6:10,2344,Khris Lane made Three Point Jumper. Assisted by JaShaun Smith.,59,71
5:45,2598,Keith Braxton made Layup. Assisted by Jamaal King.,59,73
5:45,2598,St. Francis (PA)  Timeout,59,73
5:31,2344,Khris Lane made Three Point Jumper.,62,73
5:08,2598,Randall Gaskins Jr. made Three Point Jumper. Assisted by Jamaal King.,62,76
4:53,2344,Isaiah Walton missed Layup.,62,76
4:53,2598,Josh Nebo Defensive Rebound.,62,76
4:49,2598,Josh Nebo Turnover.,62,76
4:45,2344,Darrion Allen missed Layup.,62,76
4:45,2344,Kendrick Thompson Offensive Rebound.,62,76
4:39,2344,JaShaun Smith missed Layup.,62,76
4:39,2344,Longwood Offensive Rebound.,62,76
4:25,2344,Kendrick Thompson made Three Point Jumper.,65,76
4:23,2344,Longwood  Timeout,65,76
4:07,2598,Jamaal King missed Jumper.,65,76
4:07,2598,Keith Braxton Offensive Rebound.,65,76
3:48,2598,Georgios Angelou missed Three Point Jumper.,65,76
3:48,2598,Josh Nebo Offensive Rebound.,65,76
3:45,2598,Georgios Angelou made Three Point Jumper. Assisted by Josh Nebo.,65,79
3:12,2344,Darrion Allen missed Three Point Jumper.,65,79
3:12,2598,Keith Braxton Defensive Rebound.,65,79
3:04,2598,Georgios Angelou Turnover.,65,79
2:41,2344,JaShaun Smith made Jumper.,67,79
2:20,2598,Josh Nebo made Layup. Assisted by Keith Braxton.,67,81
2:20,2344,Foul on JaShaun Smith.,67,81
2:20,2598,Josh Nebo made Free Throw.,67,82
2:14,2344,Kendrick Thompson Turnover.,67,82
2:12,2598,Jamaal King Steal.,67,82
2:10,2598,Keith Braxton made Dunk. Assisted by Jamaal King.,67,84
2:10,2344,Foul on Darrion Allen.,67,84
2:10,2598,Technical Foul on Keith Braxton.,67,84
2:10,2344,Darrion Allen made Free Throw.,68,84
2:10,2344,Darrion Allen made Free Throw.,69,84
2:10,2598,Keith Braxton made Free Throw.,69,85
1:56,2344,Bryan Gee made Three Point Jumper. Assisted by Darrion Allen.,72,85
1:41,2598,Keith Braxton missed Layup.,72,85
1:41,2344,Obi Romeo Defensive Rebound.,72,85
1:25,2344,Obi Romeo missed Layup.,72,85
1:25,2598,Randall Gaskins Jr. Block.,72,85
1:21,2598,Keith Braxton Defensive Rebound.,72,85
1:01,2598,Keith Braxton made Jumper.,72,87
0:49,2344,Chris Shields Turnover.,72,87
0:30,2598,Josh Nebo Turnover.,72,87
0:29,2344,Bryan Gee Steal.,72,87
0:25,2344,Chris Shields missed Dunk.,72,87
0:25,2598,Josh Nebo Defensive Rebound.,72,87
0:00,2598,End of Game,72,87
