Madonna,Error,Eastern Michigan,2199
18:33,2199,Quaran Jones made Dunk. Assisted by James Thompson IV.,32,55
18:14,2199,Foul on Quaran Jones.,32,55
18:09,-1,Austin Johnson Turnover.,32,55
17:59,2199,James Thompson IV made Layup. Assisted by Baylee Steele.,32,57
17:38,2199,Foul on Ray Lee.,32,57
17:35,-1,Chris Dierker missed Layup.,32,57
17:35,2199,Baylee Steele Defensive Rebound.,32,57
17:18,2199,Baylee Steele made Dunk. Assisted by James Thompson IV.,32,59
16:49,-1,Austin Johnson made Jumper.,34,59
16:34,2199,Baylee Steele made Jumper.,34,61
16:11,-1,Nick Owens missed Three Point Jumper.,34,61
16:11,2199,Ty Toney Defensive Rebound.,34,61
16:05,2199,James Thompson IV made Layup. Assisted by Ty Toney.,34,63
16:05,-1,Foul on Khalil Malone.,34,63
16:05,2199,James Thompson IV made Free Throw.,34,64
15:45,-1,Chris Dierker made Layup. Assisted by Andrew Myers.,36,64
15:45,2199,Foul on Nick Madray.,36,64
15:44,2199,Official TV Timeout,36,64
15:44,-1,Chris Dierker missed Free Throw.,36,64
15:44,2199,James Thompson IV Defensive Rebound.,36,64
15:21,2199,Nick Madray Turnover.,36,64
15:20,-1,Chris Dierker Steal.,36,64
15:07,-1,Andrew Myers Turnover.,36,64
15:06,2199,Nick Madray Steal.,36,64
14:55,2199,Ray Lee made Three Point Jumper. Assisted by Ty Toney.,36,67
14:35,-1,Andrew Myers Turnover.,36,67
14:34,2199,Ty Toney Steal.,36,67
14:31,2199,Ty Toney made Layup.,36,69
14:16,-1,Zel Williams missed Three Point Jumper.,36,69
14:16,2199,James Thompson IV Block.,36,69
14:14,-1,Clarke Lamb Offensive Rebound.,36,69
14:12,2199,Foul on Nick Madray.,36,69
14:12,-1,Clarke Lamb made Free Throw.,37,69
14:12,-1,Clarke Lamb made Free Throw.,38,69
13:56,2199,Willie Mangum IV missed Jumper.,38,69
13:56,2199,James Thompson IV Offensive Rebound.,38,69
13:53,2199,James Thompson IV made Two Point Tip Shot.,38,71
13:28,-1,Zel Williams Turnover.,38,71
13:27,2199,Jalen Brown Steal.,38,71
13:24,2199,Willie Mangum IV made Layup. Assisted by Tim Bond.,38,73
13:24,-1,Foul on Nick Owens.,38,73
13:24,2199,Willie Mangum IV made Free Throw.,38,74
13:08,-1,Jaryd Deakin made Layup. Assisted by Andrew Myers.,40,74
12:45,2199,James Thompson IV missed Layup.,40,74
12:45,-1,Jaryd Deakin Defensive Rebound.,40,74
12:25,-1,Andrew Myers missed Jumper.,40,74
12:25,-1,Madonna Offensive Rebound.,40,74
12:22,-1,Jaryd Deakin Turnover.,40,74
12:22,-1,Foul on Jaryd Deakin.,40,74
12:10,2199,Nick Madray Turnover.,40,74
11:57,-1,Clarke Lamb missed Jumper.,40,74
11:57,2199,James Thompson IV Defensive Rebound.,40,74
11:47,2199,Willie Mangum IV Turnover.,40,74
11:46,-1,Andrew Myers Steal.,40,74
11:33,-1,Andrew Myers made Jumper.,42,74
11:13,2199,James Thompson IV missed Jumper.,42,74
11:13,-1,Clarke Lamb Defensive Rebound.,42,74
10:48,-1,Khalil Malone made Three Point Jumper. Assisted by Zel Williams.,45,74
10:35,2199,Willie Mangum IV made Three Point Jumper.,45,77
10:22,-1,Andrew Myers missed Layup.,45,77
10:22,2199,James Thompson IV Defensive Rebound.,45,77
10:12,2199,Willie Mangum IV missed Three Point Jumper.,45,77
10:12,-1,Andrew Myers Defensive Rebound.,45,77
10:04,-1,Zel Williams missed Three Point Jumper.,45,77
10:04,-1,Zel Williams Offensive Rebound.,45,77
10:00,2199,Foul on James Thompson IV.,45,77
10:00,2199,Official TV Timeout,45,77
9:59,-1,Zel Williams missed Three Point Jumper.,45,77
9:59,-1,Andrew Myers Offensive Rebound.,45,77
9:55,-1,Jaryd Deakin made Layup. Assisted by Andrew Myers.,47,77
9:27,2199,Willie Mangum IV made Three Point Jumper.,47,80
8:58,-1,Andrew Myers made Three Point Jumper.,50,80
8:37,-1,Foul on Khalil Malone.,50,80
8:35,2199,Lamar Wofford-Humphrey missed Layup.,50,80
8:35,-1,Jaryd Deakin Defensive Rebound.,50,80
8:15,2199,Foul on Baylee Steele.,50,80
8:15,-1,Andrew Myers made Free Throw.,51,80
8:15,-1,Andrew Myers missed Free Throw.,51,80
8:15,2199,Lamar Wofford-Humphrey Defensive Rebound.,51,80
7:59,-1,Foul on Andrew Myers.,51,80
7:59,2199,Official TV Timeout,51,80
7:50,2199,Blake Brown Turnover.,51,80
7:32,-1,Caleb Drumm missed Layup.,51,80
7:32,2199,Jalen Brown Defensive Rebound.,51,80
7:24,2199,Jordan Nobles missed Three Point Jumper.,51,80
7:24,-1,Jaryd Deakin Defensive Rebound.,51,80
7:21,-1,Jaryd Deakin Turnover.,51,80
7:15,2199,Blake Brown missed Layup.,51,80
7:15,-1,Caleb Drumm Defensive Rebound.,51,80
7:06,-1,Nick Owens made Three Point Jumper. Assisted by Caleb Drumm.,54,80
6:54,2199,Willie Mangum IV missed Jumper.,54,80
6:54,-1,Clarke Lamb Defensive Rebound.,54,80
6:42,2199,Foul on Blake Brown.,54,80
6:42,-1,Andrew Myers made Free Throw.,55,80
6:42,-1,Andrew Myers missed Free Throw.,55,80
6:42,2199,James Thompson IV Defensive Rebound.,55,80
6:30,-1,Foul on Caleb Drumm.,55,80
6:30,2199,Jordan Nobles made Free Throw.,55,81
6:30,2199,Jordan Nobles made Free Throw.,55,82
6:19,-1,Clarke Lamb missed Layup.,55,82
6:19,2199,Ty Toney Defensive Rebound.,55,82
6:06,2199,James Thompson IV made Layup. Assisted by Ty Toney.,55,84
6:06,-1,Foul on Clarke Lamb.,55,84
6:05,2199,James Thompson IV made Free Throw.,55,85
5:48,-1,Clarke Lamb made Layup.,57,85
5:33,2199,Ray Lee made Jumper.,57,87
5:12,-1,Andrew Myers Turnover.,57,87
5:10,2199,Ty Toney Steal.,57,87
5:07,2199,Ty Toney made Layup.,57,89
4:45,-1,Andrew Myers Turnover.,57,89
4:45,2199,Jordan Nobles Steal.,57,89
4:33,-1,Foul on Jaryd Deakin.,57,89
4:33,2199,Ray Lee made Free Throw.,57,90
4:33,2199,Ray Lee made Free Throw.,57,91
4:20,-1,Andrew Myers Turnover.,57,91
4:10,-1,Foul on Cheikh Ka.,57,91
4:10,2199,Blake Brown missed Free Throw.,57,91
4:10,2199,Eastern Michigan Deadball Team Rebound.,57,91
4:10,2199,Blake Brown missed Free Throw.,57,91
4:10,-1,Madonna Defensive Rebound.,57,91
3:57,-1,Cheikh Ka missed Layup.,57,91
3:57,2199,Lamar Wofford-Humphrey Defensive Rebound.,57,91
3:39,2199,Official TV Timeout,57,91
3:36,2199,Quaran Jones Turnover.,57,91
3:36,-1,Cheikh Ka Steal.,57,91
3:28,-1,Cheikh Ka Turnover.,57,91
3:27,2199,Quaran Jones Steal.,57,91
3:13,2199,Jalen Brown missed Jumper.,57,91
3:13,-1,Madonna Defensive Rebound.,57,91
2:44,-1,Khalil Malone missed Three Point Jumper.,57,91
2:44,2199,Lamar Wofford-Humphrey Defensive Rebound.,57,91
2:37,2199,Lamar Wofford-Humphrey Turnover.,57,91
2:16,-1,Cheikh Ka missed Jumper.,57,91
2:16,2199,Lamar Wofford-Humphrey Defensive Rebound.,57,91
2:06,2199,Foul on Jordan Nobles.,57,91
2:06,2199,Jordan Nobles Turnover.,57,91
1:48,-1,Caleb Drumm Turnover.,57,91
1:47,2199,Quaran Jones Steal.,57,91
1:41,2199,Jalen Brown missed Layup.,57,91
1:41,2199,Lamar Wofford-Humphrey Offensive Rebound.,57,91
1:37,2199,Lamar Wofford-Humphrey made Dunk.,57,93
1:22,-1,Khalil Malone Turnover.,57,93
1:20,2199,Lamar Wofford-Humphrey Steal.,57,93
1:17,2199,Jalen Brown Turnover.,57,93
0:54,-1,Cheikh Ka missed Jumper.,57,93
0:54,2199,Lamar Wofford-Humphrey Defensive Rebound.,57,93
0:43,2199,Jordan Nobles made Jumper.,57,95
0:19,-1,Caleb Drumm made Three Point Jumper. Assisted by Khalil Malone.,60,95
0:04,2199,Jordan Nobles missed Layup.,60,95
0:04,2199,Quaran Jones Offensive Rebound.,60,95
0:02,2199,Quaran Jones made Two Point Tip Shot.,60,97
0:00,2199,End of Game,60,97
