UNC Greensboro,258,Virginia,2430
13:07,258,De'Andre Hunter missed Jumper.,6,8
13:07,2430,James Dickey Block.,6,8
13:05,2430,Kyrin Galloway Defensive Rebound.,6,8
12:55,2430,Marvin Smith missed Three Point Jumper.,6,8
12:55,258,Mamadi Diakite Defensive Rebound.,6,8
12:43,258,Ty Jerome Turnover.,6,8
12:42,2430,Isaiah Miller Steal.,6,8
12:27,258,Foul on Ty Jerome.,6,8
12:10,2430,Marvin Smith missed Jumper.,6,8
12:10,258,Nigel Johnson Defensive Rebound.,6,8
11:43,258,Mamadi Diakite missed Jumper.,6,8
11:43,2430,James Dickey Defensive Rebound.,6,8
11:18,2430,Isaiah Miller missed Jumper.,6,8
11:18,258,Nigel Johnson Block.,6,8
11:17,258,Isaiah Wilkins Defensive Rebound.,6,8
11:01,2430,Foul on Isaiah Miller.,6,8
11:01,258,Official TV Timeout,6,8
10:44,258,Nigel Johnson missed Three Point Jumper.,6,8
10:44,2430,Kylia Sykes Defensive Rebound.,6,8
10:13,2430,Demetrius Troy missed Jumper.,6,8
10:13,2430,James Dickey Offensive Rebound.,6,8
9:57,2430,Francis Alonso Turnover.,6,8
9:56,258,De'Andre Hunter Steal.,6,8
9:53,258,De'Andre Hunter Turnover.,6,8
9:52,2430,Jordy Kuiper Steal.,6,8
9:49,2430,Francis Alonso missed Layup.,6,8
9:49,2430,Kylia Sykes Offensive Rebound.,6,8
9:44,2430,James Dickey made Layup. Assisted by Kylia Sykes.,8,8
9:26,258,Mamadi Diakite Turnover.,8,8
9:15,2430,Demetrius Troy Turnover.,8,8
9:14,258,Kyle Guy Steal.,8,8
9:10,258,Kyle Guy made Layup.,8,10
8:50,2430,Kylia Sykes Turnover.,8,10
8:50,258,Isaiah Wilkins Steal.,8,10
8:43,2430,Foul on Jordy Kuiper.,8,10
8:43,258,Kyle Guy made Free Throw.,8,11
8:43,258,Kyle Guy missed Free Throw.,8,11
8:43,258,Mamadi Diakite Offensive Rebound.,8,11
8:26,258,Kyle Guy made Free Throw.,8,12
8:26,258,Kyle Guy made Free Throw.,8,13
8:26,258,Kyle Guy made Free Throw.,8,14
8:26,2430,Foul on Demetrius Troy.,8,14
8:13,258,Foul on Devon Hall.,8,14
8:00,2430,Francis Alonso Turnover.,8,14
7:58,258,Ty Jerome Steal.,8,14
7:47,258,Kyle Guy missed Jumper.,8,14
7:47,2430,Marvin Smith Defensive Rebound.,8,14
7:44,258,Foul on Mamadi Diakite.,8,14
7:44,258,Official TV Timeout,8,14
7:34,2430,Kyrin Galloway made Dunk. Assisted by Malik Masey.,10,14
7:06,258,Kyle Guy missed Layup.,10,14
7:06,258,Devon Hall Offensive Rebound.,10,14
7:03,258,Devon Hall made Layup.,10,16
6:59,2430,Malik Masey Turnover.,10,16
6:43,258,Devon Hall Turnover.,10,16
6:41,2430,Jordy Kuiper Steal.,10,16
6:26,2430,Malik Masey Turnover.,10,16
6:09,258,Jack Salt missed Layup.,10,16
6:09,258,Isaiah Wilkins Offensive Rebound.,10,16
6:04,258,Ty Jerome missed Three Point Jumper.,10,16
6:04,2430,Francis Alonso Defensive Rebound.,10,16
5:47,258,Foul on Isaiah Wilkins.,10,16
5:47,2430,Kyrin Galloway made Free Throw.,11,16
5:47,2430,Kyrin Galloway made Free Throw.,12,16
5:23,258,Kyle Guy made Three Point Jumper. Assisted by Isaiah Wilkins.,12,19
4:55,2430,Francis Alonso Turnover.,12,19
4:54,258,Ty Jerome Steal.,12,19
4:31,258,Ty Jerome missed Three Point Jumper.,12,19
4:31,2430,Marvin Smith Defensive Rebound.,12,19
4:21,258,Foul on Ty Jerome.,12,19
4:21,2430,Marvin Smith made Free Throw.,13,19
4:21,2430,Marvin Smith made Free Throw.,14,19
4:07,2430,Foul on Isaiah Miller.,14,19
4:07,258,Kyle Guy missed Free Throw.,14,19
4:07,258,Mamadi Diakite Offensive Rebound.,14,19
3:52,258,Kyle Guy made Three Point Jumper. Assisted by Isaiah Wilkins.,14,22
3:36,2430,James Dickey made Layup.,16,22
3:21,2430,Foul on James Dickey.,16,22
3:21,258,Isaiah Wilkins made Free Throw.,16,23
3:21,258,Isaiah Wilkins made Free Throw.,16,24
3:02,258,Foul on Mamadi Diakite.,16,24
3:02,2430,Francis Alonso made Free Throw.,17,24
3:02,2430,Francis Alonso made Free Throw.,18,24
2:40,258,Nigel Johnson missed Three Point Jumper.,18,24
2:40,2430,Kylia Sykes Defensive Rebound.,18,24
2:22,2430,Francis Alonso missed Three Point Jumper.,18,24
2:22,2430,Marvin Smith Offensive Rebound.,18,24
2:18,258,Foul on De'Andre Hunter.,18,24
2:18,2430,Marvin Smith made Free Throw.,19,24
2:18,2430,Marvin Smith made Free Throw.,20,24
1:54,2430,Foul on Kyrin Galloway.,20,24
1:54,258,Isaiah Wilkins missed Free Throw.,20,24
1:54,258,Virginia Deadball Team Rebound.,20,24
1:54,258,Isaiah Wilkins made Free Throw.,20,25
1:39,2430,Marvin Smith missed Three Point Jumper.,20,25
1:39,258,Nigel Johnson Defensive Rebound.,20,25
1:13,258,Isaiah Wilkins made Jumper. Assisted by Kyle Guy.,20,27
0:54,2430,Francis Alonso missed Layup.,20,27
0:54,258,Isaiah Wilkins Defensive Rebound.,20,27
0:28,2430,Foul on Jordy Kuiper.,20,27
0:28,258,Devon Hall made Free Throw.,20,28
0:28,258,Devon Hall made Free Throw.,20,29
0:24,2430,UNC Greensboro  Timeout,20,29
0:06,2430,Garrett Collins missed Three Point Jumper.,20,29
0:06,258,Nigel Johnson Defensive Rebound.,20,29
0:00,258,End of 1st half,20,29
19:47,258,Devon Hall made Layup. Assisted by Ty Jerome.,20,31
19:28,2430,Marvin Smith missed Jumper.,20,31
19:28,258,Ty Jerome Defensive Rebound.,20,31
19:02,258,Devon Hall missed Jumper.,20,31
19:02,2430,Jordy Kuiper Defensive Rebound.,20,31
18:46,2430,Jordy Kuiper Turnover.,20,31
18:45,258,Kyle Guy Steal.,20,31
18:25,258,Jack Salt Turnover.,20,31
18:12,2430,Demetrius Troy missed Three Point Jumper.,20,31
18:12,2430,Jordy Kuiper Offensive Rebound.,20,31
18:03,2430,James Dickey missed Layup.,20,31
18:03,258,Isaiah Wilkins Block.,20,31
18:01,258,Devon Hall Defensive Rebound.,20,31
17:42,258,Isaiah Wilkins missed Layup.,20,31
17:42,2430,James Dickey Block.,20,31
17:40,258,Jack Salt Offensive Rebound.,20,31
17:38,2430,Foul on Marvin Smith.,20,31
17:38,258,Jack Salt made Free Throw.,20,32
17:38,258,Jack Salt made Free Throw.,20,33
17:18,258,Foul on Jack Salt.,20,33
17:14,2430,Jordy Kuiper Turnover.,20,33
17:14,2430,Foul on Jordy Kuiper.,20,33
16:58,258,Devon Hall made Three Point Jumper.,20,36
16:26,258,Foul on Kyle Guy.,20,36
16:26,2430,Malik Masey made Free Throw.,21,36
16:26,2430,Malik Masey missed Free Throw.,21,36
16:26,2430,James Dickey Offensive Rebound.,21,36
16:10,2430,James Dickey Turnover.,21,36
15:51,258,Official TV Timeout,21,36
15:46,258,Ty Jerome missed Layup.,21,36
15:46,2430,James Dickey Defensive Rebound.,21,36
15:28,2430,Marvin Smith missed Jumper.,21,36
15:28,258,Isaiah Wilkins Defensive Rebound.,21,36
15:21,2430,Foul on Marvin Smith.,21,36
15:12,258,Nigel Johnson made Jumper.,21,38
14:52,2430,Isaiah Miller missed Layup.,21,38
14:52,258,Isaiah Wilkins Block.,21,38
14:50,258,Nigel Johnson Defensive Rebound.,21,38
14:50,2430,Foul on Kylia Sykes.,21,38
14:24,258,Mamadi Diakite made Jumper. Assisted by Devon Hall.,21,40
14:13,2430,Kyrin Galloway made Three Point Jumper. Assisted by Kylia Sykes.,24,40
13:51,258,Nigel Johnson Turnover.,24,40
13:40,2430,Isaiah Miller made Dunk. Assisted by Malik Masey.,26,40
13:11,258,Nigel Johnson missed Three Point Jumper.,26,40
13:11,258,Mamadi Diakite Offensive Rebound.,26,40
12:50,258,Jack Salt made Layup.,26,42
12:14,2430,Demetrius Troy made Jumper.,28,42
11:49,258,Kyle Guy missed Three Point Jumper.,28,42
11:49,2430,UNC Greensboro Defensive Rebound.,28,42
11:47,258,Official TV Timeout,28,42
11:29,2430,Demetrius Troy Turnover.,28,42
11:13,2430,Foul on Justin Jordan.,28,42
11:08,258,Devon Hall Turnover.,28,42
10:45,2430,Francis Alonso missed Jumper.,28,42
10:45,258,Isaiah Wilkins Defensive Rebound.,28,42
10:27,258,Ty Jerome made Jumper.,28,44
10:12,2430,Demetrius Troy missed Three Point Jumper.,28,44
10:12,2430,UNC Greensboro Offensive Rebound.,28,44
10:00,258,Foul on Jack Salt.,28,44
9:47,2430,James Dickey missed Layup.,28,44
9:47,2430,Kylia Sykes Offensive Rebound.,28,44
9:34,2430,Kylia Sykes made Two Point Tip Shot.,30,44
9:26,258,De'Andre Hunter missed Three Point Jumper.,30,44
9:26,2430,Kyrin Galloway Defensive Rebound.,30,44
9:13,258,Foul on Jack Salt.,30,44
9:01,2430,Demetrius Troy missed Three Point Jumper.,30,44
9:01,258,Ty Jerome Defensive Rebound.,30,44
8:55,258,Ty Jerome Turnover.,30,44
8:55,258,Foul on Ty Jerome.,30,44
8:51,258,Foul on Devon Hall.,30,44
8:49,2430,Francis Alonso Turnover.,30,44
8:49,2430,Foul on Francis Alonso.,30,44
8:36,258,Devon Hall Turnover.,30,44
8:22,2430,Demetrius Troy Turnover.,30,44
8:21,258,Kyle Guy Steal.,30,44
8:13,258,Ty Jerome missed Three Point Jumper.,30,44
8:13,2430,UNC Greensboro Defensive Rebound.,30,44
8:10,258,Foul on Isaiah Wilkins.,30,44
8:10,2430,Jordy Kuiper made Free Throw.,31,44
8:10,2430,Jordy Kuiper made Free Throw.,32,44
7:44,258,Mamadi Diakite Turnover.,32,44
7:37,258,Foul on Devon Hall.,32,44
7:37,2430,Francis Alonso made Free Throw.,33,44
7:37,2430,Francis Alonso missed Free Throw.,33,44
7:37,258,Jack Salt Defensive Rebound.,33,44
7:11,258,Devon Hall Turnover.,33,44
7:10,2430,Demetrius Troy Steal.,33,44
6:56,2430,Francis Alonso missed Three Point Jumper.,33,44
6:56,258,Isaiah Wilkins Defensive Rebound.,33,44
6:35,258,Isaiah Wilkins missed Layup.,33,44
6:35,2430,UNC Greensboro Defensive Rebound.,33,44
6:23,2430,Marvin Smith made Three Point Jumper. Assisted by Francis Alonso.,36,44
6:05,2430,Foul on Marvin Smith.,36,44
6:05,258,Devon Hall made Free Throw.,36,45
6:05,258,Devon Hall made Free Throw.,36,46
5:54,2430,James Dickey made Layup. Assisted by Demetrius Troy.,38,46
5:27,258,Ty Jerome missed Three Point Jumper.,38,46
5:27,2430,James Dickey Defensive Rebound.,38,46
5:21,2430,Demetrius Troy Turnover.,38,46
5:19,258,Official TV Timeout,38,46
4:59,258,Nigel Johnson made Layup.,38,48
4:29,2430,Francis Alonso missed Three Point Jumper.,38,48
4:29,2430,James Dickey Offensive Rebound.,38,48
4:20,2430,Francis Alonso Turnover.,38,48
4:07,258,Ty Jerome made Three Point Jumper. Assisted by Kyle Guy.,38,51
3:50,2430,Jordy Kuiper Turnover.,38,51
3:49,258,Isaiah Wilkins Steal.,38,51
3:27,2430,Foul on Marvin Smith.,38,51
3:27,258,Official TV Timeout,38,51
3:27,258,Kyle Guy made Free Throw.,38,52
3:27,258,Kyle Guy made Free Throw.,38,53
3:15,2430,Jordy Kuiper missed Three Point Jumper.,38,53
3:15,258,Nigel Johnson Defensive Rebound.,38,53
2:56,258,Nigel Johnson made Jumper. Assisted by Kyle Guy.,38,55
2:40,258,Foul on Nigel Johnson.,38,55
2:40,2430,Marvin Smith made Free Throw.,39,55
2:40,2430,Marvin Smith made Free Throw.,40,55
2:16,258,Ty Jerome made Jumper.,40,57
2:07,2430,UNC Greensboro  Timeout,40,57
1:55,2430,Marvin Smith missed Three Point Jumper.,40,57
1:55,2430,Marvin Smith Offensive Rebound.,40,57
1:48,2430,UNC Greensboro  Timeout,40,57
1:46,2430,Jordy Kuiper missed Layup.,40,57
1:46,258,Isaiah Wilkins Defensive Rebound.,40,57
1:36,258,Ty Jerome Turnover.,40,57
1:35,2430,Francis Alonso Steal.,40,57
1:30,2430,Demetrius Troy missed Three Point Jumper.,40,57
1:30,2430,James Dickey Offensive Rebound.,40,57
1:25,2430,Francis Alonso missed Three Point Jumper.,40,57
1:25,2430,Marvin Smith Offensive Rebound.,40,57
1:20,2430,Marvin Smith missed Jumper.,40,57
1:20,258,Isaiah Wilkins Block.,40,57
1:20,2430,UNC Greensboro Offensive Rebound.,40,57
1:19,2430,Marvin Smith missed Three Point Jumper.,40,57
1:19,2430,Francis Alonso Offensive Rebound.,40,57
1:13,2430,Jordy Kuiper made Three Point Jumper. Assisted by Francis Alonso.,43,57
1:10,2430,UNC Greensboro  Timeout,43,57
0:59,2430,Foul on James Dickey.,43,57
0:59,258,Jack Salt made Free Throw.,43,58
0:59,258,Jack Salt made Free Throw.,43,59
0:47,2430,Demetrius Troy missed Jumper.,43,59
0:47,2430,UNC Greensboro Offensive Rebound.,43,59
0:45,258,Foul on Devon Hall.,43,59
0:45,2430,Demetrius Troy missed Free Throw.,43,59
0:45,2430,UNC Greensboro Deadball Team Rebound.,43,59
0:45,2430,Demetrius Troy missed Free Throw.,43,59
0:45,258,Devon Hall Defensive Rebound.,43,59
0:37,258,Nigel Johnson Turnover.,43,59
0:32,2430,Marvin Smith made Three Point Jumper.,46,59
0:28,2430,Foul on James Dickey.,46,59
0:28,258,Nigel Johnson made Free Throw.,46,60
0:28,258,Nigel Johnson missed Free Throw.,46,60
0:28,2430,Marvin Smith Defensive Rebound.,46,60
0:11,2430,Demetrius Troy made Layup. Assisted by Francis Alonso.,48,60
0:00,258,End of Game,48,60
