Piedmont International,Error,Coastal Carolina,324
12:29,-1,Foul on Antoine Robinson.,12,24
12:18,324,Artur Labinowicz Turnover.,12,24
12:03,-1,Marcus Ingram made Layup. Assisted by Tamir Glenn.,14,24
11:44,324,Ajay Sanders Turnover.,14,24
11:44,-1,Piedmont International University  Timeout,14,24
11:31,324,Foul on Artur Labinowicz.,14,24
11:31,-1,Tamir Glenn made Free Throw.,15,24
11:31,-1,Tamir Glenn missed Free Throw.,15,24
11:31,324,Demario Beck Defensive Rebound.,15,24
11:13,-1,Foul on Nash Carter.,15,24
11:08,324,Josh Coleman made Two Point Tip Shot. Assisted by Demario Beck.,15,26
10:58,-1,Troy Mix missed Three Point Jumper.,15,26
10:58,324,Matt Lindsey Defensive Rebound.,15,26
10:51,324,Matt Lindsey missed Three Point Jumper.,15,26
10:51,324,Coastal Carolina Offensive Rebound.,15,26
10:38,324,Artur Labinowicz made Layup.,15,28
10:38,324,Artur Labinowicz missed Free Throw.,15,28
10:38,-1,Troy Mix Defensive Rebound.,15,28
10:37,324,Foul on Demario Beck.,15,28
10:24,-1,Nash Carter missed Three Point Jumper.,15,28
10:24,-1,Piedmont International University Offensive Rebound.,15,28
10:21,-1,Marcus Ingram Turnover.,15,28
10:21,-1,Foul on Marcus Ingram.,15,28
10:09,324,Ajay Sanders made Three Point Jumper. Assisted by Demario Beck.,15,31
9:53,-1,Antoine Robinson made Three Point Jumper. Assisted by Tamir Glenn.,18,31
9:32,324,Artur Labinowicz missed Three Point Jumper.,18,31
9:32,-1,Nash Carter Defensive Rebound.,18,31
9:24,-1,Troy Mix made Three Point Jumper.,21,31
9:03,-1,Foul on Marcus Ingram.,21,31
9:03,324,Artur Labinowicz made Free Throw.,21,32
9:03,324,Artur Labinowicz made Free Throw.,21,33
8:41,-1,Troy Mix missed Three Point Jumper.,21,33
8:41,324,Artur Labinowicz Defensive Rebound.,21,33
8:33,-1,Foul on Troy Mix.,21,33
8:33,324,Ajay Sanders made Free Throw.,21,34
8:33,324,Ajay Sanders made Free Throw.,21,35
8:10,-1,Troy Mix made Jumper.,23,35
7:39,324,Matt Lindsey made Three Point Jumper.,23,38
7:13,324,Foul on Matt Lindsey.,23,38
7:13,-1,Piedmont International University  Timeout,23,38
7:04,-1,Nash Carter missed Three Point Jumper.,23,38
7:04,-1,Colton Bishop Offensive Rebound.,23,38
6:39,324,Foul on Trevion Brown.,23,38
6:26,-1,Nash Carter missed Jumper.,23,38
6:26,324,Matt Lindsey Defensive Rebound.,23,38
6:11,324,Ajay Sanders missed Three Point Jumper.,23,38
6:11,324,Amidou Bamba Offensive Rebound.,23,38
6:08,-1,Foul on Nash Carter.,23,38
6:08,324,Amidou Bamba made Free Throw.,23,39
6:08,324,Amidou Bamba made Free Throw.,23,40
5:53,-1,Tamir Glenn missed Jumper.,23,40
5:53,324,Amidou Bamba Block.,23,40
5:51,324,Artur Labinowicz Defensive Rebound.,23,40
5:47,324,Jaylen Shaw made Layup.,23,42
5:47,-1,Foul on Nash Carter.,23,42
5:47,324,Jaylen Shaw made Free Throw.,23,43
5:17,-1,Robert Neal missed Jumper.,23,43
5:17,324,Artur Labinowicz Defensive Rebound.,23,43
5:03,324,Artur Labinowicz made Three Point Jumper. Assisted by Matt Lindsey.,23,46
4:40,-1,Antoine Robinson made Jumper.,25,46
4:34,-1,Foul on Troy Mix.,25,46
4:34,324,Amidou Bamba made Free Throw.,25,47
4:34,324,Amidou Bamba missed Free Throw.,25,47
4:34,-1,Antoine Robinson Defensive Rebound.,25,47
4:25,-1,Robert Neal missed Jumper.,25,47
4:25,324,Amidou Bamba Defensive Rebound.,25,47
4:17,324,Artur Labinowicz missed Three Point Jumper.,25,47
4:17,-1,Troy Mix Defensive Rebound.,25,47
3:55,-1,Troy Mix missed Jumper.,25,47
3:55,324,Amidou Bamba Block.,25,47
3:52,324,Ajay Sanders Defensive Rebound.,25,47
3:45,324,Jaylen Shaw made Three Point Jumper. Assisted by Artur Labinowicz.,25,50
3:38,-1,Piedmont International University  Timeout,25,50
3:20,-1,Colton Bishop missed Three Point Jumper.,25,50
3:20,324,Artur Labinowicz Defensive Rebound.,25,50
3:13,324,Ajay Sanders made Three Point Jumper.,25,53
2:43,-1,Colton Bishop missed Jumper.,25,53
2:43,324,Demario Beck Defensive Rebound.,25,53
2:34,-1,Foul on Antoine Robinson.,25,53
2:34,324,Jaylen Shaw made Free Throw.,25,54
2:34,324,Jaylen Shaw made Free Throw.,25,55
2:29,324,Ajay Sanders Turnover.,25,55
2:02,-1,Deondre Moore Turnover.,25,55
2:00,324,Josh Coleman Steal.,25,55
1:57,324,Demario Beck made Dunk. Assisted by Jaylen Shaw.,25,57
1:36,-1,Tamir Glenn made Three Point Jumper.,28,57
1:03,-1,Foul on Troy Mix.,28,57
1:03,324,Josh Coleman missed Free Throw.,28,57
1:03,324,Coastal Carolina Deadball Team Rebound.,28,57
1:03,324,Josh Coleman missed Free Throw.,28,57
1:03,-1,Michael Cheecks Defensive Rebound.,28,57
0:56,-1,Tamir Glenn missed Three Point Jumper.,28,57
0:56,324,Ajay Sanders Defensive Rebound.,28,57
0:46,324,Josh Coleman made Layup. Assisted by Jaylen Shaw.,28,59
0:31,-1,Robert Neal missed Jumper.,28,59
0:31,-1,Robert Neal Offensive Rebound.,28,59
0:28,-1,Robert Neal missed Layup.,28,59
0:28,324,Demario Beck Defensive Rebound.,28,59
0:24,324,Demario Beck Turnover.,28,59
0:24,-1,Robert Neal Steal.,28,59
0:24,324,Foul on Demario Beck.,28,59
0:24,-1,Robert Neal missed Free Throw.,28,59
0:24,324,Demario Beck Defensive Rebound.,28,59
0:03,324,Jaylen Shaw made Dunk.,28,61
0:00,324,End of 1st half,28,61
19:50,-1,Colton Bishop Turnover.,28,61
19:47,324,Ajay Sanders Steal.,28,61
19:34,324,Matt Lindsey missed Jumper.,28,61
19:34,-1,Tamir Glenn Defensive Rebound.,28,61
19:11,-1,Robert Neal missed Jumper.,28,61
19:11,324,Jaylen Shaw Defensive Rebound.,28,61
19:03,324,Matt Lindsey missed Three Point Jumper.,28,61
19:03,-1,Nash Carter Defensive Rebound.,28,61
18:31,-1,Tamir Glenn Turnover.,28,61
18:29,324,Jaylen Shaw Steal.,28,61
18:26,324,Zac Cuthbertson made Layup. Assisted by Jaylen Shaw.,28,63
17:58,-1,Tamir Glenn missed Three Point Jumper.,28,63
17:58,324,Zac Cuthbertson Defensive Rebound.,28,63
17:48,324,Zac Cuthbertson missed Three Point Jumper.,28,63
17:48,324,Ajay Sanders Offensive Rebound.,28,63
17:43,324,Ajay Sanders missed Layup.,28,63
17:43,-1,Robert Neal Defensive Rebound.,28,63
17:37,-1,Troy Mix made Jumper.,30,63
17:11,324,Josh Coleman made Layup. Assisted by Matt Lindsey.,30,65
16:53,-1,Robert Neal missed Jumper.,30,65
16:53,324,Josh Coleman Defensive Rebound.,30,65
16:29,324,Zac Cuthbertson missed Layup.,30,65
16:29,324,Zac Cuthbertson Offensive Rebound.,30,65
16:28,-1,Foul on Marcus Ingram.,30,65
16:28,324,Zac Cuthbertson made Free Throw.,30,66
16:28,324,Zac Cuthbertson made Free Throw.,30,67
16:14,-1,Colton Bishop made Three Point Jumper.,33,67
15:47,324,Artur Labinowicz missed Three Point Jumper.,33,67
15:47,324,Josh Coleman Offensive Rebound.,33,67
15:43,324,Josh Coleman missed Layup.,33,67
15:43,-1,Marcus Ingram Defensive Rebound.,33,67
15:34,-1,Colton Bishop missed Layup.,33,67
15:34,324,Artur Labinowicz Defensive Rebound.,33,67
15:20,324,Ajay Sanders missed Jumper.,33,67
15:20,324,Josh Coleman Offensive Rebound.,33,67
15:17,324,Josh Coleman missed Layup.,33,67
15:17,324,Coastal Carolina Offensive Rebound.,33,67
15:16,324,Coastal Carolina  Timeout,33,67
15:12,324,Zac Cuthbertson made Layup.,33,69
14:53,-1,Nash Carter missed Three Point Jumper.,33,69
14:53,324,Coastal Carolina Defensive Rebound.,33,69
14:38,324,Matt Lindsey made Three Point Jumper. Assisted by Artur Labinowicz.,33,72
14:03,-1,Tamir Glenn missed Three Point Jumper.,33,72
14:03,324,Matt Lindsey Defensive Rebound.,33,72
13:49,324,Josh Coleman missed Jumper.,33,72
13:49,-1,Troy Mix Defensive Rebound.,33,72
13:42,-1,Colton Bishop missed Three Point Jumper.,33,72
13:42,324,Trevion Brown Defensive Rebound.,33,72
13:31,324,Zac Cuthbertson made Layup.,33,74
13:09,-1,Colton Bishop missed Jumper.,33,74
13:09,324,Artur Labinowicz Defensive Rebound.,33,74
13:04,324,Artur Labinowicz Turnover.,33,74
13:02,-1,Tamir Glenn Steal.,33,74
12:57,-1,Nash Carter missed Jumper.,33,74
12:57,324,Matt Lindsey Defensive Rebound.,33,74
12:45,324,Trevion Brown made Layup.,33,76
12:32,-1,Marcus Ingram missed Three Point Jumper.,33,76
12:32,324,Zac Cuthbertson Defensive Rebound.,33,76
12:17,324,Josh Coleman missed Layup.,33,76
12:17,324,Josh Coleman Offensive Rebound.,33,76
12:12,324,Josh Coleman made Layup.,33,78
11:57,-1,Colton Bishop made Jumper.,35,78
11:42,324,Josh Coleman made Layup. Assisted by Trevion Brown.,35,80
11:34,-1,Piedmont International University  Timeout,35,80
11:27,-1,Troy Mix missed Three Point Jumper.,35,80
11:27,324,Jaylen Shaw Defensive Rebound.,35,80
11:15,324,Demario Beck made Jumper.,35,82
11:15,-1,Foul on Michael Cheecks.,35,82
11:15,324,Coastal Carolina  Timeout,35,82
11:15,324,Demario Beck missed Free Throw.,35,82
11:15,324,Ajay Sanders Offensive Rebound.,35,82
11:02,324,Demario Beck missed Layup.,35,82
11:02,-1,Michael Cheecks Defensive Rebound.,35,82
10:50,-1,Chap Parker-Turner Turnover.,35,82
10:48,324,Matt Lindsey Steal.,35,82
10:45,324,Zac Cuthbertson made Layup. Assisted by Matt Lindsey.,35,84
10:20,-1,Michael Cheecks missed Jumper.,35,84
10:20,324,Demario Beck Defensive Rebound.,35,84
10:02,324,Zac Cuthbertson missed Three Point Jumper.,35,84
10:02,-1,Deondre Moore Defensive Rebound.,35,84
9:51,-1,Chap Parker-Turner missed Three Point Jumper.,35,84
9:51,324,Ajay Sanders Defensive Rebound.,35,84
9:42,324,Ajay Sanders missed Jumper.,35,84
9:42,-1,Troy Mix Defensive Rebound.,35,84
9:28,-1,Michael Cheecks missed Layup.,35,84
9:28,324,Demario Beck Defensive Rebound.,35,84
9:15,324,Zac Cuthbertson made Jumper.,35,86
8:52,-1,Deondre Moore Turnover.,35,86
8:35,324,Demario Beck made Layup. Assisted by Jaylen Shaw.,35,88
8:35,-1,Foul on Michael Cheecks.,35,88
8:35,324,Demario Beck made Free Throw.,35,89
8:23,-1,Tamir Glenn missed Three Point Jumper.,35,89
8:23,324,Demario Beck Defensive Rebound.,35,89
8:09,324,Demario Beck missed Three Point Jumper.,35,89
8:09,-1,Nash Carter Defensive Rebound.,35,89
8:01,-1,Marcus Ingram missed Jumper.,35,89
8:01,324,Artur Labinowicz Defensive Rebound.,35,89
7:52,324,Jaylen Shaw made Layup.,35,91
7:29,-1,Nash Carter missed Jumper.,35,91
7:29,324,Ajay Sanders Block.,35,91
7:26,324,Ajay Sanders Defensive Rebound.,35,91
7:15,324,Josh Coleman missed Jumper.,35,91
7:15,-1,Colton Bishop Defensive Rebound.,35,91
7:03,-1,Marcus Ingram made Layup. Assisted by Nash Carter.,37,91
6:42,324,Ajay Sanders missed Three Point Jumper.,37,91
6:42,-1,Tamir Glenn Defensive Rebound.,37,91
6:35,-1,Tamir Glenn missed Layup.,37,91
6:35,-1,Robert Neal Offensive Rebound.,37,91
6:34,324,Foul on Demario Beck.,37,91
6:34,-1,Piedmont International University  Timeout,37,91
6:29,-1,Nash Carter Turnover.,37,91
6:19,324,Tyrell Gumbs-Frater Turnover.,37,91
6:04,-1,Nash Carter made Jumper.,39,91
5:51,324,Amidou Bamba made Layup.,39,93
5:37,-1,Marcus Ingram missed Layup.,39,93
5:37,324,Amidou Bamba Defensive Rebound.,39,93
5:35,-1,Foul on Marcus Ingram.,39,93
5:34,324,Christian Adams Turnover.,39,93
5:30,324,Foul on Josh Peterson.,39,93
5:19,324,Foul on Christian Adams.,39,93
5:19,-1,Nash Carter made Free Throw.,40,93
5:19,-1,Nash Carter made Free Throw.,41,93
5:07,324,Tyrell Gumbs-Frater missed Three Point Jumper.,41,93
5:07,-1,Colton Bishop Defensive Rebound.,41,93
4:54,-1,Nash Carter missed Layup.,41,93
4:54,324,Amidou Bamba Defensive Rebound.,41,93
4:47,324,Christian Adams made Three Point Jumper. Assisted by Josh Peterson.,41,96
4:33,-1,Troy Mix made Jumper.,43,96
4:23,324,Amidou Bamba made Dunk. Assisted by Josh Peterson.,43,98
4:07,-1,Tamir Glenn Turnover.,43,98
3:56,324,Josh Peterson missed Layup.,43,98
3:56,-1,Robert Neal Defensive Rebound.,43,98
3:34,324,Foul on Christian Adams.,43,98
3:34,-1,Piedmont International University  Timeout,43,98
