South Alabama,2641,Texas Tech,6
2:24,2641,Zhaire Smith made Layup. Assisted by Zach Smith.,27,31
2:24,6,Foul on Herb McGee.,27,31
2:24,2641,Zhaire Smith made Free Throw.,27,32
2:24,2641,Zhaire Smith missed Free Throw.,27,32
2:24,2641,Texas Tech Deadball Team Rebound.,27,32
2:13,2641,Keenan Evans made Layup. Assisted by Justin Gray.,27,34
1:56,6,Rodrick Sikes missed Three Point Jumper.,27,34
1:56,2641,Zhaire Smith Defensive Rebound.,27,34
1:29,2641,Niem Stevenson Turnover.,27,34
1:29,6,John Pettway Turnover.,27,34
1:28,2641,Zach Smith Steal.,27,34
1:25,2641,Niem Stevenson made Layup. Assisted by Zhaire Smith.,27,36
0:48,6,Rodrick Sikes missed Jumper.,27,36
0:48,2641,Zhaire Smith Block.,27,36
0:48,6,South Alabama Offensive Rebound.,27,36
0:42,6,Josh Ajayi Turnover.,27,36
0:42,6,Foul on Josh Ajayi.,27,36
0:32,2641,Texas Tech  Timeout,27,36
0:13,2641,Davide Moretti Turnover.,27,36
0:12,6,Trhae Mitchell Steal.,27,36
0:03,2641,Foul on Davide Moretti.,27,36
0:03,6,John Pettway made Free Throw.,28,36
0:03,6,John Pettway missed Free Throw.,28,36
0:03,2641,Zach Smith Defensive Rebound.,28,36
0:00,2641,End of 1st half,28,36
19:44,6,Trhae Mitchell missed Jumper.,28,36
19:44,2641,Zach Smith Block.,28,36
19:42,6,South Alabama Offensive Rebound.,28,36
19:38,6,Foul on Rozelle Nix.,28,36
19:26,2641,Zach Smith missed Jumper.,28,36
19:26,6,Josh Ajayi Block.,28,36
19:25,6,Rozelle Nix Defensive Rebound.,28,36
19:14,6,Josh Ajayi made Layup.,30,36
19:00,2641,Tommy Hamilton IV made Jumper.,30,38
18:42,6,Rozelle Nix missed Jumper.,30,38
18:42,2641,Niem Stevenson Defensive Rebound.,30,38
18:24,2641,Keenan Evans missed Three Point Jumper.,30,38
18:24,6,Herb McGee Defensive Rebound.,30,38
18:13,6,Jordan Andrews missed Three Point Jumper.,30,38
18:13,6,Rozelle Nix Offensive Rebound.,30,38
18:07,6,Rozelle Nix made Layup.,32,38
17:40,2641,Justin Gray missed Three Point Jumper.,32,38
17:40,6,Josh Ajayi Defensive Rebound.,32,38
17:20,6,Josh Ajayi missed Three Point Jumper.,32,38
17:20,6,Herb McGee Offensive Rebound.,32,38
17:14,6,Josh Ajayi Turnover.,32,38
17:14,6,Foul on Josh Ajayi.,32,38
16:59,2641,Jarrett Culver missed Layup.,32,38
16:59,6,Trhae Mitchell Defensive Rebound.,32,38
16:53,6,Rozelle Nix Turnover.,32,38
16:31,2641,Norense Odiase missed Jumper.,32,38
16:31,2641,Brandone Francis Offensive Rebound.,32,38
16:26,2641,Norense Odiase Turnover.,32,38
16:26,2641,Foul on Norense Odiase.,32,38
16:10,6,Rozelle Nix missed Jumper.,32,38
16:10,2641,Zhaire Smith Defensive Rebound.,32,38
15:59,2641,Davide Moretti made Three Point Jumper. Assisted by Zhaire Smith.,32,41
15:37,6,Jordan Andrews missed Three Point Jumper.,32,41
15:37,6,Josh Ajayi Offensive Rebound.,32,41
15:34,6,Trhae Mitchell made Layup. Assisted by Josh Ajayi.,34,41
15:26,2641,Davide Moretti made Three Point Jumper.,34,44
15:04,6,Rozelle Nix made Layup.,36,44
14:55,2641,Malik Ondigo Turnover.,36,44
14:55,2641,Foul on Malik Ondigo.,36,44
14:55,2641,Official TV Timeout,36,44
14:39,2641,Foul on Zhaire Smith.,36,44
14:39,6,Rodrick Sikes made Free Throw.,37,44
14:39,6,Rodrick Sikes missed Free Throw.,37,44
14:39,6,South Alabama Deadball Team Rebound.,37,44
14:39,6,Rodrick Sikes missed Free Throw.,37,44
14:39,2641,Brandone Francis Defensive Rebound.,37,44
14:24,2641,Tommy Hamilton IV made Jumper.,37,46
14:03,6,Herb McGee missed Layup.,37,46
14:03,2641,Zhaire Smith Block.,37,46
14:03,6,South Alabama Offensive Rebound.,37,46
13:50,6,Josh Ajayi missed Jumper.,37,46
13:50,6,Nick Davis Offensive Rebound.,37,46
13:46,6,Nick Davis missed Jumper.,37,46
13:46,2641,Davide Moretti Defensive Rebound.,37,46
13:31,2641,Davide Moretti missed Jumper.,37,46
13:31,2641,Texas Tech Offensive Rebound.,37,46
13:19,6,Foul on Jordan Andrews.,37,46
13:19,2641,Keenan Evans missed Free Throw.,37,46
13:19,2641,Texas Tech Deadball Team Rebound.,37,46
13:19,2641,Keenan Evans missed Free Throw.,37,46
13:19,2641,Zach Smith Offensive Rebound.,37,46
12:56,2641,Tommy Hamilton IV Turnover.,37,46
12:55,6,Nick Davis Steal.,37,46
12:53,6,Nick Davis Turnover.,37,46
12:52,2641,Davide Moretti Steal.,37,46
12:46,2641,Davide Moretti Turnover.,37,46
12:26,6,Nick Davis missed Three Point Jumper.,37,46
12:26,2641,Tommy Hamilton IV Defensive Rebound.,37,46
12:17,2641,Justin Gray missed Layup.,37,46
12:17,6,Rodrick Sikes Defensive Rebound.,37,46
12:06,6,John Pettway Turnover.,37,46
12:05,2641,Keenan Evans Steal.,37,46
12:03,2641,Keenan Evans made Dunk.,37,48
11:44,6,Trhae Mitchell missed Jumper.,37,48
11:44,2641,Zach Smith Defensive Rebound.,37,48
11:29,2641,Josh Webster missed Three Point Jumper.,37,48
11:29,2641,Tommy Hamilton IV Offensive Rebound.,37,48
11:22,2641,Tommy Hamilton IV made Layup.,37,50
11:22,6,South Alabama  Timeout,37,50
11:11,6,Kevin Morris Turnover.,37,50
11:11,6,Foul on Kevin Morris.,37,50
11:11,2641,Official TV Timeout,37,50
10:49,6,Foul on Joe Thompson.,37,50
10:49,2641,Zach Smith missed Free Throw.,37,50
10:49,2641,Texas Tech Deadball Team Rebound.,37,50
10:49,2641,Zach Smith made Free Throw.,37,51
10:33,6,John Pettway missed Jumper.,37,51
10:33,2641,Keenan Evans Defensive Rebound.,37,51
10:24,2641,Zach Smith Turnover.,37,51
10:23,6,Rodrick Sikes Steal.,37,51
10:21,2641,Foul on Josh Webster.,37,51
10:21,6,Rodrick Sikes missed Free Throw.,37,51
10:21,6,South Alabama Deadball Team Rebound.,37,51
10:21,6,Rodrick Sikes missed Free Throw.,37,51
10:21,2641,Tommy Hamilton IV Defensive Rebound.,37,51
10:04,6,Foul on Trhae Mitchell.,37,51
10:04,2641,Keenan Evans missed Free Throw.,37,51
10:04,2641,Texas Tech Deadball Team Rebound.,37,51
10:04,2641,Keenan Evans made Free Throw.,37,52
9:46,2641,Foul on Tommy Hamilton IV.,37,52
9:44,6,Jordan Andrews missed Jumper.,37,52
9:44,6,Rozelle Nix Offensive Rebound.,37,52
9:40,6,Rozelle Nix Turnover.,37,52
9:39,2641,Davide Moretti Steal.,37,52
9:39,6,Foul on Joe Thompson.,37,52
9:39,2641,Davide Moretti made Free Throw.,37,53
9:39,2641,Davide Moretti made Free Throw.,37,54
9:19,6,Herb McGee made Three Point Jumper.,40,54
9:09,2641,Jarrett Culver made Layup.,40,56
8:45,6,Rozelle Nix missed Jumper.,40,56
8:45,2641,Justin Gray Defensive Rebound.,40,56
8:37,2641,Justin Gray missed Jumper.,40,56
8:37,2641,Justin Gray Offensive Rebound.,40,56
8:33,6,Foul on Trhae Mitchell.,40,56
8:33,2641,Justin Gray made Free Throw.,40,57
8:33,2641,Justin Gray made Free Throw.,40,58
8:21,6,Herb McGee Turnover.,40,58
7:57,2641,Keenan Evans made Layup.,40,60
7:57,6,Foul on Trhae Mitchell.,40,60
7:57,2641,Official TV Timeout,40,60
7:57,2641,Keenan Evans made Free Throw.,40,61
7:43,6,Jordan Andrews missed Three Point Jumper.,40,61
7:43,2641,Texas Tech Defensive Rebound.,40,61
7:27,2641,Keenan Evans missed Three Point Jumper.,40,61
7:27,2641,Brandone Francis Offensive Rebound.,40,61
7:23,2641,Brandone Francis missed Jumper.,40,61
7:23,6,Trhae Mitchell Defensive Rebound.,40,61
7:18,6,South Alabama  Timeout,40,61
7:01,6,Dederick Lee made Three Point Jumper.,43,61
6:37,6,Foul on Jordan Andrews.,43,61
6:37,2641,Zhaire Smith made Free Throw.,43,62
6:37,2641,Zhaire Smith made Free Throw.,43,63
6:15,2641,Foul on Jarrett Culver.,43,63
6:15,6,Josh Ajayi missed Free Throw.,43,63
6:15,6,South Alabama Deadball Team Rebound.,43,63
6:15,6,Josh Ajayi missed Free Throw.,43,63
6:15,2641,Brandone Francis Defensive Rebound.,43,63
6:03,6,Foul on Dederick Lee.,43,63
6:03,2641,Davide Moretti made Free Throw.,43,64
6:03,2641,Davide Moretti made Free Throw.,43,65
5:47,6,Josh Ajayi missed Jumper.,43,65
5:47,2641,Brandone Francis Defensive Rebound.,43,65
5:28,2641,Norense Odiase made Layup.,43,67
5:06,2641,Foul on Norense Odiase.,43,67
5:06,6,Jordan Andrews made Free Throw.,44,67
5:06,6,Jordan Andrews made Free Throw.,45,67
4:50,2641,Jarrett Culver missed Three Point Jumper.,45,67
4:50,2641,Brandone Francis Offensive Rebound.,45,67
4:45,2641,Davide Moretti missed Three Point Jumper.,45,67
4:45,6,Rodrick Sikes Defensive Rebound.,45,67
4:18,6,A.J. Caldwell missed Three Point Jumper.,45,67
4:18,6,Josh Ajayi Offensive Rebound.,45,67
4:13,6,Rodrick Sikes missed Three Point Jumper.,45,67
4:13,2641,Jarrett Culver Defensive Rebound.,45,67
3:57,2641,Jarrett Culver missed Three Point Jumper.,45,67
3:57,6,Kevin Morris Defensive Rebound.,45,67
3:46,6,Dederick Lee made Three Point Jumper.,48,67
3:25,2641,Davide Moretti missed Three Point Jumper.,48,67
3:25,2641,Texas Tech Offensive Rebound.,48,67
3:23,2641,Official TV Timeout,48,67
3:04,2641,Josh Webster missed Jumper.,48,67
3:04,2641,Josh Webster Offensive Rebound.,48,67
2:58,2641,Brandone Francis made Three Point Jumper.,48,70
2:38,6,Rodrick Sikes Turnover.,48,70
2:38,6,Foul on Rodrick Sikes.,48,70
2:17,2641,Zhaire Smith Turnover.,48,70
2:17,6,Rodrick Sikes Steal.,48,70
2:17,2641,Foul on Zhaire Smith.,48,70
2:17,6,Rodrick Sikes made Free Throw.,49,70
2:17,6,Rodrick Sikes missed Free Throw.,49,70
2:17,2641,Zhaire Smith Defensive Rebound.,49,70
1:51,2641,Andrew Sorrells Turnover.,49,70
1:36,2641,Foul on Zhaire Smith.,49,70
1:36,6,Joe Thompson made Free Throw.,50,70
1:36,6,Joe Thompson missed Free Throw.,50,70
1:36,2641,Josh Webster Defensive Rebound.,50,70
1:11,2641,Andrew Sorrells made Three Point Jumper.,50,73
1:09,2641,Texas Tech  Timeout,50,73
1:03,6,A.J. Caldwell missed Three Point Jumper.,50,73
1:03,2641,Malik Ondigo Defensive Rebound.,50,73
0:41,2641,Malik Ondigo Turnover.,50,73
0:40,6,Dederick Lee Steal.,50,73
0:32,6,Kevin Morris missed Jumper.,50,73
0:32,6,Kevin Morris Offensive Rebound.,50,73
0:25,6,A.J. Caldwell Turnover.,50,73
0:23,2641,Malik Ondigo Steal.,50,73
0:20,2641,Josh Webster made Jumper. Assisted by Zhaire Smith.,50,75
0:06,6,Joe Thompson missed Jumper.,50,75
0:06,6,South Alabama Offensive Rebound.,50,75
0:02,6,Dederick Lee Turnover.,50,75
0:02,6,Foul on Dederick Lee.,50,75
0:00,2641,End of Game,50,75
