UC Santa Cruz,Error,Fresno State,278
2:26,278,Sam Bittner Defensive Rebound.,21,46
2:14,278,Ray Bowles missed Layup.,21,46
2:14,-1,Patrick Ramos Defensive Rebound.,21,46
2:07,-1,Patrick Ramos made Layup.,23,46
1:48,278,Jaron Hopkins missed Three Point Jumper.,23,46
1:48,278,Nate Grimes Offensive Rebound.,23,46
1:39,278,Ray Bowles missed Three Point Jumper.,23,46
1:39,-1,Kyle Creighton Defensive Rebound.,23,46
1:36,278,Foul on Nate Grimes.,23,46
1:36,-1,Kyle Creighton made Free Throw.,24,46
1:36,-1,Kyle Creighton made Free Throw.,25,46
1:07,278,Bryson Williams made Jumper. Assisted by Deshon Taylor.,25,48
0:54,-1,Corey Cilia missed Three Point Jumper.,25,48
0:54,278,Bryson Williams Defensive Rebound.,25,48
0:47,278,Jaron Hopkins made Dunk.,25,50
0:32,-1,UC Santa Cruz  Turnover.,25,50
0:32,278,Fresno State  Timeout,25,50
0:04,278,Jaron Hopkins made Jumper.,25,52
0:00,278,End of 1st half,25,52
19:50,278,Bryson Williams made Layup. Assisted by Deshon Taylor.,25,54
19:32,-1,Kyle Creighton made Three Point Jumper. Assisted by Adam Marlow.,28,54
19:11,-1,Foul on Kyle Creighton.,28,54
19:08,-1,Foul on Haakon Ullrich.,28,54
18:54,278,Terrell Carter II missed Jumper.,28,54
18:54,-1,Tre Weston Defensive Rebound.,28,54
18:52,278,Foul on Bryson Williams.,28,54
18:45,-1,Ben Dorfman Turnover.,28,54
18:44,278,Jaron Hopkins Steal.,28,54
18:43,278,Jaron Hopkins made Dunk.,28,56
18:26,-1,Adam Marlow Turnover.,28,56
18:25,278,Deshon Taylor Steal.,28,56
18:23,278,Deshon Taylor made Dunk.,28,58
18:04,278,Foul on Bryson Williams.,28,58
18:04,-1,Tre Weston missed Free Throw.,28,58
18:04,-1,UC Santa Cruz Deadball Team Rebound.,28,58
18:04,-1,Tre Weston missed Free Throw.,28,58
18:04,-1,Tre Weston Offensive Rebound.,28,58
17:59,-1,Tre Weston missed Jumper.,28,58
17:59,278,Terrell Carter II Block.,28,58
17:58,-1,UC Santa Cruz Offensive Rebound.,28,58
17:57,-1,Tre Weston Turnover.,28,58
17:56,278,Terrell Carter II Steal.,28,58
17:53,278,Terrell Carter II missed Layup.,28,58
17:53,278,Deshon Taylor Offensive Rebound.,28,58
17:51,278,Deshon Taylor made Dunk.,28,60
17:35,-1,Will Crain made Three Point Jumper. Assisted by Adam Marlow.,31,60
17:12,278,Ray Bowles made Jumper.,31,62
17:06,278,Foul on Sam Bittner.,31,62
16:51,-1,Tre Weston made Layup. Assisted by Tyler Klingenbeck.,33,62
16:37,278,Sam Bittner made Three Point Jumper. Assisted by Ray Bowles.,33,65
16:22,-1,Tyler Klingenbeck made Layup.,35,65
15:57,278,Deshon Taylor missed Three Point Jumper.,35,65
15:57,-1,Andrew Jones Defensive Rebound.,35,65
15:49,-1,Patrick Ramos Turnover.,35,65
15:46,278,Jaron Hopkins Steal.,35,65
15:45,278,Jaron Hopkins made Dunk.,35,67
15:26,-1,Foul on Patrick Ramos.,35,67
15:26,-1,Patrick Ramos Turnover.,35,67
15:26,278,Official TV Timeout,35,67
15:13,-1,Foul on Russell Taylor.,35,67
15:13,278,Ray Bowles made Free Throw.,35,68
15:13,278,Ray Bowles made Free Throw.,35,69
14:57,278,Foul on Jahmel Taylor.,35,69
14:50,-1,Corey Cilia Turnover.,35,69
14:24,278,Ray Bowles made Three Point Jumper. Assisted by Sam Bittner.,35,72
13:56,-1,Foul on Russell Taylor.,35,72
13:56,-1,Russell Taylor Turnover.,35,72
13:31,278,Foul on Jaron Hopkins.,35,72
13:31,278,Jaron Hopkins Turnover.,35,72
13:12,-1,Matthew Nerland missed Three Point Jumper.,35,72
13:12,278,Terrell Carter II Defensive Rebound.,35,72
13:06,278,Ray Bowles made Dunk.,35,74
12:53,-1,Corey Cilia Turnover.,35,74
12:30,278,Ray Bowles missed Three Point Jumper.,35,74
12:30,-1,Kyle Creighton Defensive Rebound.,35,74
12:23,-1,UC Santa Cruz  Timeout,35,74
12:11,278,Foul on Sam Bittner.,35,74
12:11,-1,Kyle Creighton made Free Throw.,36,74
12:11,-1,Kyle Creighton made Free Throw.,37,74
12:00,278,Sam Bittner made Three Point Jumper. Assisted by Jaron Hopkins.,37,77
11:50,-1,Kyle Creighton Turnover.,37,77
11:48,278,Ray Bowles Steal.,37,77
11:47,278,Jahmel Taylor missed Three Point Jumper.,37,77
11:47,278,Sam Bittner Offensive Rebound.,37,77
11:45,-1,Foul on Kyle Creighton.,37,77
11:45,278,Official TV Timeout,37,77
11:35,278,Jahmel Taylor made Jumper.,37,79
11:04,-1,Will Crain made Layup. Assisted by Tyler Klingenbeck.,39,79
10:50,-1,Foul on Will Crain.,39,79
10:50,278,Jaron Hopkins made Free Throw.,39,80
10:50,278,Jaron Hopkins made Free Throw.,39,81
10:43,-1,Vinay Narayanam missed Three Point Jumper.,39,81
10:43,-1,Will Crain Offensive Rebound.,39,81
10:40,-1,Will Crain missed Layup.,39,81
10:40,278,Nate Grimes Defensive Rebound.,39,81
10:22,278,Johnny McWilliams missed Three Point Jumper.,39,81
10:22,278,Jaron Hopkins Offensive Rebound.,39,81
10:17,278,Jaron Hopkins missed Jumper.,39,81
10:17,278,Jaron Hopkins Offensive Rebound.,39,81
10:13,278,Jaron Hopkins missed Jumper.,39,81
10:13,-1,Ben Dorfman Defensive Rebound.,39,81
10:09,-1,Corey Cilia made Layup.,41,81
10:09,278,Foul on Johnny McWilliams.,41,81
10:09,-1,Corey Cilia missed Free Throw.,41,81
10:09,278,Nate Grimes Defensive Rebound.,41,81
9:50,278,Ray Bowles Turnover.,41,81
9:49,-1,Ben Dorfman Steal.,41,81
9:44,-1,Vinay Narayanam made Three Point Jumper. Assisted by Corey Cilia.,44,81
9:35,278,Nate Grimes made Layup. Assisted by Deshon Taylor.,44,83
9:09,278,Foul on Nate Grimes.,44,83
9:09,-1,Will Crain made Free Throw.,45,83
9:09,-1,Will Crain made Free Throw.,46,83
8:44,278,Terrell Carter II made Layup. Assisted by Jahmel Taylor.,46,85
8:29,-1,Corey Cilia missed Jumper.,46,85
8:29,278,Terrell Carter II Defensive Rebound.,46,85
8:13,278,Jahmel Taylor missed Three Point Jumper.,46,85
8:13,-1,Tre Weston Defensive Rebound.,46,85
7:54,-1,Tyler Klingenbeck Turnover.,46,85
7:52,278,Jahmel Taylor Steal.,46,85
7:51,278,Jahmel Taylor made Layup.,46,87
7:40,278,Official TV Timeout,46,87
7:37,-1,Tyler Klingenbeck made Jumper. Assisted by Adam Marlow.,48,87
7:23,278,Deshon Taylor missed Layup.,48,87
7:23,278,Fresno State Offensive Rebound.,48,87
7:15,278,Jahmel Taylor missed Three Point Jumper.,48,87
7:15,-1,Will Crain Defensive Rebound.,48,87
6:55,-1,Vinay Narayanam missed Three Point Jumper.,48,87
6:55,278,Ray Bowles Defensive Rebound.,48,87
6:38,278,Jahmel Taylor made Three Point Jumper. Assisted by Johnny McWilliams.,48,90
6:22,-1,Adam Marlow missed Three Point Jumper.,48,90
6:22,-1,Will Crain Offensive Rebound.,48,90
6:20,278,Foul on Terrell Carter II.,48,90
6:20,-1,Will Crain missed Free Throw.,48,90
6:20,-1,UC Santa Cruz Deadball Team Rebound.,48,90
6:20,-1,Will Crain missed Free Throw.,48,90
6:20,278,Johnny McWilliams Defensive Rebound.,48,90
5:58,278,Nate Grimes missed Jumper.,48,90
5:58,-1,Will Crain Defensive Rebound.,48,90
5:49,-1,Tyler Klingenbeck made Jumper. Assisted by Will Crain.,50,90
5:26,278,Jahmel Taylor made Three Point Jumper. Assisted by Jaron Hopkins.,50,93
5:12,278,Foul on Ray Bowles.,50,93
5:12,-1,Tre Weston missed Free Throw.,50,93
5:12,-1,UC Santa Cruz Deadball Team Rebound.,50,93
5:12,-1,Tre Weston missed Free Throw.,50,93
5:12,278,Ray Bowles Defensive Rebound.,50,93
4:54,278,Johnny McWilliams made Jumper.,50,95
4:31,-1,Haakon Ullrich made Jumper.,52,95
4:19,278,Jaron Hopkins missed Layup.,52,95
4:19,-1,Tyler Klingenbeck Defensive Rebound.,52,95
4:12,-1,Corey Cilia made Three Point Jumper. Assisted by Adam Marlow.,55,95
4:11,-1,UC Santa Cruz  Timeout,55,95
3:45,278,Jahmel Taylor missed Three Point Jumper.,55,95
3:45,278,Nate Grimes Offensive Rebound.,55,95
3:21,278,Jahmel Taylor missed Three Point Jumper.,55,95
3:21,278,Nate Grimes Offensive Rebound.,55,95
3:07,278,Johnny McWilliams missed Three Point Jumper.,55,95
3:07,278,Nate Grimes Offensive Rebound.,55,95
2:48,278,Lazaro Rojas Turnover.,55,95
2:46,-1,Adam Marlow Steal.,55,95
2:29,-1,Adam Marlow missed Jumper.,55,95
2:25,278,Lazaro Rojas Defensive Rebound.,55,95
2:12,278,Johnny McWilliams missed Jumper.,55,95
2:12,-1,Will Crain Defensive Rebound.,55,95
2:02,-1,Adam Marlow made Layup. Assisted by Will Crain.,57,95
2:02,278,Foul on Johnny McWilliams.,57,95
2:02,-1,Adam Marlow made Free Throw.,58,95
1:52,-1,Foul on Matthew Nerland.,58,95
1:52,278,Gilles Dekoninck missed Free Throw.,58,95
1:52,278,Fresno State Deadball Team Rebound.,58,95
1:52,278,Gilles Dekoninck made Free Throw.,58,96
1:26,-1,Will Crain made Three Point Jumper.,61,96
1:05,278,Johnny McWilliams missed Jumper.,61,96
1:05,-1,Matthew Nerland Defensive Rebound.,61,96
0:57,-1,Corey Cilia missed Jumper.,61,96
0:57,-1,Will Crain Offensive Rebound.,61,96
0:54,-1,Will Crain made Layup.,63,96
0:42,278,Gilles Dekoninck missed Jumper.,63,96
0:42,-1,Matthew Nerland Defensive Rebound.,63,96
0:16,278,Foul on Gilles Dekoninck.,63,96
0:16,-1,Matthew Nerland made Free Throw.,64,96
0:16,-1,Matthew Nerland made Free Throw.,65,96
0:00,278,End of Game,65,96
