Iona,399,Albany,314
13:49,314,Zach Lewis missed Jumper.,38,41
13:49,399,Greig Stire Defensive Rebound.,38,41
13:33,399,David Nichols missed Three Point Jumper.,38,41
13:33,314,Iona Defensive Rebound.,38,41
13:08,314,Rickey McGill missed Jumper.,38,41
13:08,399,Albany Defensive Rebound.,38,41
13:08,314,Foul on Jan Svandrlik.,38,41
13:00,399,Ahmad Clark missed Layup.,38,41
13:00,399,Alex Foster Offensive Rebound.,38,41
13:00,399,Alex Foster missed Two Point Tip Shot.,38,41
13:00,314,Iona Defensive Rebound.,38,41
12:48,314,Zach Lewis missed Three Point Jumper.,38,41
12:48,399,Alex Foster Defensive Rebound.,38,41
12:28,399,David Nichols made Layup.,38,43
12:19,314,Zach Lewis made Three Point Jumper. Assisted by Rickey McGill.,41,43
11:57,314,Foul on TK Edogi.,41,43
11:57,399,Official TV Timeout,41,43
11:44,314,Foul on TK Edogi.,41,43
11:31,399,Travis Charles Turnover.,41,43
11:19,399,Foul on Ahmad Clark.,41,43
11:10,314,Rickey McGill made Three Point Jumper. Assisted by Deyshonee Much.,44,43
10:42,399,Travis Charles missed Jumper.,44,43
10:42,399,Greig Stire Offensive Rebound.,44,43
10:41,314,Foul on E.J. Crawford.,44,43
10:31,399,Greig Stire made Layup.,44,45
10:10,314,E.J. Crawford missed Jumper.,44,45
10:10,314,TK Edogi Offensive Rebound.,44,45
10:08,399,Foul on David Nichols.,44,45
10:07,314,E.J. Crawford made Layup. Assisted by Rickey McGill.,46,45
9:46,399,David Nichols made Layup. Assisted by Greig Stire.,46,47
9:23,314,E.J. Crawford missed Three Point Jumper.,46,47
9:23,399,Greig Stire Defensive Rebound.,46,47
8:57,399,Joe Cremo missed Jumper.,46,47
8:57,314,Iona Defensive Rebound.,46,47
8:38,314,Deyshonee Much made Three Point Jumper.,49,47
8:15,399,Costa Anderson missed Three Point Jumper.,49,47
8:15,399,Greig Stire Offensive Rebound.,49,47
8:14,399,Greig Stire made Layup.,49,49
8:14,314,Foul on Zach Lewis.,49,49
8:14,399,Greig Stire made Free Throw.,49,50
8:04,314,Rickey McGill missed Three Point Jumper.,49,50
8:04,314,Deyshonee Much Offensive Rebound.,49,50
7:45,399,Foul on Joe Cremo.,49,50
7:45,399,Official TV Timeout,49,50
7:27,314,Foul on Deyshonee Much.,49,50
7:27,314,Deyshonee Much Turnover.,49,50
7:02,399,Joe Cremo made Jumper.,49,52
6:47,314,Roland Griffin made Jumper. Assisted by Schadrac Casimir.,51,52
6:20,399,Foul on David Nichols.,51,52
6:20,399,David Nichols Turnover.,51,52
6:09,314,Deyshonee Much missed Three Point Jumper.,51,52
6:09,399,Travis Charles Defensive Rebound.,51,52
5:52,399,Devonte Campbell missed Three Point Jumper.,51,52
5:52,314,TK Edogi Defensive Rebound.,51,52
5:38,314,Schadrac Casimir missed Three Point Jumper.,51,52
5:38,399,Devonte Campbell Defensive Rebound.,51,52
5:13,399,Travis Charles Turnover.,51,52
5:12,314,Deyshonee Much Steal.,51,52
5:08,314,TK Edogi made Dunk. Assisted by Rickey McGill.,53,52
4:51,314,Foul on Schadrac Casimir.,53,52
4:51,399,Devonte Campbell made Free Throw.,53,53
4:51,399,Devonte Campbell made Free Throw.,53,54
4:44,314,Rickey McGill made Layup.,55,54
4:16,399,Devonte Campbell missed Jumper.,55,54
4:16,399,David Nichols Offensive Rebound.,55,54
4:08,399,David Nichols made Three Point Jumper.,55,57
3:55,399,Foul on Greig Stire.,55,57
3:55,399,Official TV Timeout,55,57
3:41,314,Roland Griffin missed Jumper.,55,57
3:41,399,David Nichols Defensive Rebound.,55,57
3:12,399,Alex Foster missed Layup.,55,57
3:12,314,Roland Griffin Block.,55,57
3:11,399,Devonte Campbell Offensive Rebound.,55,57
3:09,399,Albany  Turnover.,55,57
2:57,314,Deyshonee Much missed Three Point Jumper.,55,57
2:57,399,David Nichols Defensive Rebound.,55,57
2:47,314,Foul on Zach Lewis.,55,57
2:47,399,Joe Cremo made Free Throw.,55,58
2:47,399,Joe Cremo made Free Throw.,55,59
2:25,314,Deyshonee Much made Layup.,57,59
2:25,399,Foul on Devonte Campbell.,57,59
2:25,314,Deyshonee Much made Free Throw.,58,59
1:58,399,Travis Charles missed Jumper.,58,59
1:58,399,Travis Charles Offensive Rebound.,58,59
1:53,399,Devonte Campbell made Layup.,58,61
1:50,314,Foul on E.J. Crawford.,58,61
1:50,399,Devonte Campbell made Free Throw.,58,62
1:43,314,Rickey McGill made Layup.,60,62
1:17,399,Travis Charles made Jumper.,60,64
0:59,314,Deyshonee Much missed Three Point Jumper.,60,64
0:59,314,TK Edogi Offensive Rebound.,60,64
0:54,314,Iona  Timeout,60,64
0:37,314,E.J. Crawford missed Jumper.,60,64
0:37,314,E.J. Crawford Offensive Rebound.,60,64
0:28,399,Foul on Devonte Campbell.,60,64
0:28,314,E.J. Crawford made Free Throw.,61,64
0:28,314,E.J. Crawford made Free Throw.,62,64
0:26,314,Foul on TK Edogi.,62,64
0:26,399,Joe Cremo missed Free Throw.,62,64
0:26,399,Albany Deadball Team Rebound.,62,64
0:26,399,Joe Cremo made Free Throw.,62,65
0:17,314,Deyshonee Much made Layup.,64,65
0:17,314,Iona  Timeout,64,65
0:14,399,Albany  Timeout,64,65
0:11,314,Foul on TK Edogi.,64,65
0:11,399,David Nichols made Free Throw.,64,66
0:11,399,David Nichols made Free Throw.,64,67
0:09,314,Iona  Timeout,64,67
0:07,399,Foul on Joe Cremo.,64,67
0:07,314,Deyshonee Much made Free Throw.,65,67
0:07,314,Deyshonee Much made Free Throw.,66,67
0:05,314,Foul on Schadrac Casimir.,66,67
0:05,399,David Nichols made Free Throw.,66,68
0:05,399,David Nichols made Free Throw.,66,69
0:02,399,Foul on Greig Stire.,66,69
0:02,314,Rickey McGill made Free Throw.,67,69
0:02,314,Rickey McGill missed Free Throw.,67,69
0:02,399,Greig Stire Defensive Rebound.,67,69
0:00,399,End of Game,67,69
