Florida A&amp;M,2253,Grand Canyon,50
8:16,2253,Joshua Braun missed Layup.,14,18
8:16,2253,Kerwin Smith Offensive Rebound.,14,18
8:13,2253,Kerwin Smith made Dunk.,14,20
7:46,50,Nasir Core Turnover.,14,20
7:46,2253,Official TV Timeout,14,20
7:37,50,Foul on Elijah Mayes.,14,20
7:31,2253,Matt Jackson made Three Point Jumper. Assisted by Casey Benson.,14,23
7:07,50,Marcus Barham Turnover.,14,23
7:05,2253,Oscar Frayer Steal.,14,23
6:48,2253,Keonta Vernon missed Jumper.,14,23
6:48,50,Javonni Harrell Defensive Rebound.,14,23
6:33,50,Elijah Mayes missed Jumper.,14,23
6:33,2253,Keonta Vernon Defensive Rebound.,14,23
6:30,50,Foul on Javonni Harrell.,14,23
6:30,2253,Keonta Vernon made Free Throw.,14,24
6:30,2253,Keonta Vernon made Free Throw.,14,25
6:07,50,Marcus Barham missed Layup.,14,25
6:07,50,Craig Bowman Offensive Rebound.,14,25
5:51,50,Marcus Barham missed Jumper.,14,25
5:51,2253,Fiifi Aidoo Defensive Rebound.,14,25
5:33,2253,Oscar Frayer made Layup. Assisted by Damari Milstead.,14,27
5:14,50,Desmond Williams missed Jumper.,14,27
5:14,2253,Keonta Vernon Defensive Rebound.,14,27
5:01,2253,Fiifi Aidoo made Layup.,14,29
4:50,50,Florida A&M  Timeout,14,29
4:32,50,Kamron Reaves Turnover.,14,29
4:20,2253,Damari Milstead missed Layup.,14,29
4:20,50,Isaiah Martin Block.,14,29
4:20,2253,Grand Canyon Offensive Rebound.,14,29
4:10,2253,Fiifi Aidoo missed Jumper.,14,29
4:10,50,Kamron Reaves Defensive Rebound.,14,29
4:10,50,Kamron Reaves Turnover.,14,29
3:48,2253,Fiifi Aidoo missed Three Point Jumper.,14,29
3:48,50,Desmond Williams Defensive Rebound.,14,29
3:34,50,Brendon Myles missed Jumper.,14,29
3:34,2253,Keonta Vernon Defensive Rebound.,14,29
3:27,2253,Official TV Timeout,14,29
3:24,2253,Damari Milstead Turnover.,14,29
3:22,50,Brendon Myles Steal.,14,29
3:21,2253,Foul on Oscar Frayer.,14,29
3:21,50,Brendon Myles missed Free Throw.,14,29
3:21,2253,Gerard Martin Defensive Rebound.,14,29
2:59,2253,Keonta Vernon made Layup. Assisted by Casey Benson.,14,31
2:39,50,Kamron Reaves made Three Point Jumper. Assisted by Craig Bowman.,17,31
2:11,50,Foul on Isaiah Martin.,17,31
2:11,2253,Keonta Vernon missed Free Throw.,17,31
2:11,50,Florida A&M Defensive Rebound.,17,31
1:55,50,Craig Bowman missed Three Point Jumper.,17,31
1:55,2253,Matt Jackson Defensive Rebound.,17,31
1:48,2253,Joshua Braun Turnover.,17,31
1:35,50,Kamron Reaves Turnover.,17,31
1:34,2253,Keonta Vernon Steal.,17,31
1:31,50,Foul on Kamron Reaves.,17,31
1:31,2253,Casey Benson missed Free Throw.,17,31
1:31,2253,Grand Canyon Deadball Team Rebound.,17,31
1:31,2253,Casey Benson made Free Throw.,17,32
1:18,50,Desmond Williams missed Layup.,17,32
1:18,2253,Keonta Vernon Block.,17,32
1:18,2253,Grand Canyon Defensive Rebound.,17,32
1:04,2253,Joshua Braun missed Layup.,17,32
1:04,2253,Matt Jackson Offensive Rebound.,17,32
0:59,2253,Gerard Martin made Three Point Jumper. Assisted by Joshua Braun.,17,35
0:22,50,Kamron Reaves Turnover.,17,35
0:22,2253,Grand Canyon  Timeout,17,35
0:07,2253,Casey Benson Turnover.,17,35
0:06,50,Marcus Barham Steal.,17,35
0:02,50,Marcus Barham Turnover.,17,35
0:02,2253,Keonta Vernon Steal.,17,35
0:00,2253,End of 1st half,17,35
19:43,50,Marcus Barham Turnover.,17,35
19:34,2253,Keonta Vernon Turnover.,17,35
19:33,50,Marcus Barham Steal.,17,35
19:30,50,Brendon Myles Turnover.,17,35
19:14,2253,Keonta Vernon made Layup. Assisted by Joshua Braun.,17,37
18:52,50,Isaiah Martin made Dunk. Assisted by Marcus Barham.,19,37
18:21,2253,Roberts Blumbergs missed Three Point Jumper.,19,37
18:21,50,Marcus Barham Defensive Rebound.,19,37
18:11,50,Desmond Williams missed Jumper.,19,37
18:11,2253,Casey Benson Defensive Rebound.,19,37
18:04,2253,Roberts Blumbergs Turnover.,19,37
17:48,50,Desmond Williams missed Jumper.,19,37
17:48,2253,Keonta Vernon Defensive Rebound.,19,37
17:30,50,Foul on Brendon Myles.,19,37
17:22,2253,Joshua Braun missed Three Point Jumper.,19,37
17:22,2253,Keonta Vernon Offensive Rebound.,19,37
17:18,2253,Keonta Vernon missed Layup.,19,37
17:18,50,Isaiah Martin Block.,19,37
17:18,2253,Roberts Blumbergs Offensive Rebound.,19,37
17:11,2253,Roberts Blumbergs made Dunk.,19,39
16:59,50,Brendon Myles made Jumper.,21,39
16:53,2253,Casey Benson Turnover.,21,39
16:34,50,Desmond Williams missed Jumper.,21,39
16:34,2253,Roberts Blumbergs Defensive Rebound.,21,39
16:26,2253,Foul on Roberts Blumbergs.,21,39
16:26,2253,Roberts Blumbergs Turnover.,21,39
16:11,50,Brendon Myles Turnover.,21,39
15:47,2253,Joshua Braun missed Three Point Jumper.,21,39
15:47,50,Marcus Barham Defensive Rebound.,21,39
15:41,50,Marcus Barham Turnover.,21,39
15:39,2253,Roberts Blumbergs Steal.,21,39
15:35,50,Foul on Marcus Barham.,21,39
15:35,2253,Official TV Timeout,21,39
15:28,2253,Roberts Blumbergs missed Layup.,21,39
15:28,50,Desmond Williams Defensive Rebound.,21,39
15:22,50,Elijah Mayes missed Jumper.,21,39
15:22,2253,Oscar Frayer Defensive Rebound.,21,39
15:12,2253,Oscar Frayer missed Layup.,21,39
15:12,2253,Oscar Frayer Offensive Rebound.,21,39
15:09,2253,Oscar Frayer made Layup.,21,41
14:48,50,Foul on Desmond Williams.,21,41
14:48,50,Desmond Williams Turnover.,21,41
14:33,50,Foul on Nasir Core.,21,41
14:24,2253,Joshua Braun missed Jumper.,21,41
14:24,50,Isaiah Martin Defensive Rebound.,21,41
14:16,50,Elijah Mayes missed Jumper.,21,41
14:16,2253,Alessandro Lever Defensive Rebound.,21,41
14:14,50,Foul on Isaiah Martin.,21,41
13:53,2253,Alessandro Lever made Layup.,21,43
13:33,50,Nasir Core missed Three Point Jumper.,21,43
13:33,2253,Oscar Frayer Defensive Rebound.,21,43
13:21,2253,Casey Benson missed Layup.,21,43
13:21,50,Isaiah Martin Block.,21,43
13:21,2253,Grand Canyon Offensive Rebound.,21,43
13:14,2253,Casey Benson missed Three Point Jumper.,21,43
13:14,50,Justin Ravenel Defensive Rebound.,21,43
12:43,50,Marcus Barham missed Three Point Jumper.,21,43
12:43,2253,Oscar Frayer Defensive Rebound.,21,43
12:35,2253,Oscar Frayer missed Three Point Jumper.,21,43
12:35,2253,Keonta Vernon Offensive Rebound.,21,43
12:27,2253,Joshua Braun missed Layup.,21,43
12:27,2253,Joshua Braun Offensive Rebound.,21,43
12:21,2253,Alessandro Lever made Layup. Assisted by Joshua Braun.,21,45
11:59,2253,Foul on Keonta Vernon.,21,45
11:59,2253,Official TV Timeout,21,45
11:59,50,Nick Severado missed Free Throw.,21,45
11:59,50,Florida A&M Deadball Team Rebound.,21,45
11:59,50,Nick Severado made Free Throw.,22,45
11:38,2253,Oscar Frayer made Jumper.,22,47
11:31,50,Marcus Barham made Layup. Assisted by Kamron Reaves.,24,47
11:07,50,Foul on Nick Severado.,24,47
11:07,2253,Alessandro Lever missed Free Throw.,24,47
11:07,2253,Grand Canyon Deadball Team Rebound.,24,47
11:07,2253,Alessandro Lever missed Free Throw.,24,47
11:07,50,Marcus Barham Defensive Rebound.,24,47
10:45,50,Kamron Reaves Turnover.,24,47
10:43,2253,Oscar Frayer Steal.,24,47
10:41,2253,Oscar Frayer made Dunk.,24,49
10:29,50,Florida A&M  Timeout,24,49
10:17,50,Desmond Williams made Layup.,26,49
9:53,2253,Alessandro Lever made Layup.,26,51
9:30,50,Desmond Williams made Jumper. Assisted by Kamron Reaves.,28,51
9:02,2253,Roberts Blumbergs Turnover.,28,51
8:36,50,Marcus Barham made Three Point Jumper. Assisted by Kamron Reaves.,31,51
8:25,2253,Alessandro Lever missed Three Point Jumper.,31,51
8:25,2253,Joshua Braun Offensive Rebound.,31,51
8:20,2253,Casey Benson missed Layup.,31,51
8:20,50,Isaiah Martin Block.,31,51
8:20,50,Desmond Williams Defensive Rebound.,31,51
8:15,2253,Foul on Alessandro Lever.,31,51
8:15,50,Desmond Williams missed Free Throw.,31,51
8:15,50,Florida A&M Deadball Team Rebound.,31,51
8:15,50,Desmond Williams made Free Throw.,32,51
8:08,50,Foul on Justin Ravenel.,32,51
8:06,2253,Damari Milstead missed Free Throw.,32,51
8:06,50,Desmond Williams Defensive Rebound.,32,51
7:36,50,Kamron Reaves Turnover.,32,51
7:35,2253,Fiifi Aidoo Steal.,32,51
7:26,2253,Fiifi Aidoo made Three Point Jumper.,32,54
7:04,50,Isaiah Martin missed Layup.,32,54
7:04,2253,Fiifi Aidoo Defensive Rebound.,32,54
6:53,50,Foul on Kamron Reaves.,32,54
6:53,2253,Official TV Timeout,32,54
6:53,2253,Damari Milstead made Free Throw.,32,55
6:53,2253,Damari Milstead missed Free Throw.,32,55
6:53,50,Isaiah Martin Defensive Rebound.,32,55
6:41,50,Marcus Barham Turnover.,32,55
6:27,2253,Kerwin Smith made Dunk. Assisted by Gerard Martin.,32,57
6:12,50,Justin Ravenel missed Three Point Jumper.,32,57
6:12,50,Desmond Williams Offensive Rebound.,32,57
6:08,50,Desmond Williams made Layup.,34,57
6:01,2253,Matt Jackson Turnover.,34,57
5:59,50,Desmond Williams Steal.,34,57
5:55,50,Desmond Williams missed Layup.,34,57
5:55,50,Kamron Reaves Offensive Rebound.,34,57
5:53,50,Kamron Reaves made Layup.,36,57
5:36,2253,Damari Milstead made Layup.,36,59
5:36,50,Foul on Isaiah Martin.,36,59
5:36,2253,Damari Milstead missed Free Throw.,36,59
5:36,50,Isaiah Martin Defensive Rebound.,36,59
5:16,2253,Foul on Matt Jackson.,36,59
5:16,50,Desmond Williams made Free Throw.,37,59
5:16,50,Desmond Williams made Free Throw.,38,59
5:00,2253,Fiifi Aidoo missed Three Point Jumper.,38,59
5:00,2253,Matt Jackson Offensive Rebound.,38,59
4:54,2253,Matt Jackson missed Three Point Jumper.,38,59
4:54,2253,Fiifi Aidoo Offensive Rebound.,38,59
4:37,2253,Fiifi Aidoo made Three Point Jumper. Assisted by Damari Milstead.,38,62
4:08,50,Isaiah Martin missed Layup.,38,62
4:08,2253,Matt Jackson Defensive Rebound.,38,62
3:54,2253,Gerard Martin missed Layup.,38,62
3:54,50,Isaiah Martin Defensive Rebound.,38,62
3:49,50,Desmond Williams made Layup. Assisted by Kamron Reaves.,40,62
3:30,2253,Fiifi Aidoo made Three Point Jumper.,40,65
3:00,50,Justin Ravenel made Three Point Jumper. Assisted by Desmond Williams.,43,65
2:42,2253,Fiifi Aidoo missed Three Point Jumper.,43,65
2:42,50,Desmond Williams Defensive Rebound.,43,65
2:34,50,Desmond Williams missed Three Point Jumper.,43,65
2:34,50,Marcus Barham Offensive Rebound.,43,65
2:25,50,Marcus Barham missed Three Point Jumper.,43,65
2:25,2253,Kerwin Smith Defensive Rebound.,43,65
2:01,2253,Fiifi Aidoo missed Jumper.,43,65
2:01,2253,Fiifi Aidoo Offensive Rebound.,43,65
1:39,2253,Matt Jackson missed Three Point Jumper.,43,65
1:39,2253,Kerwin Smith Offensive Rebound.,43,65
1:33,2253,Kerwin Smith missed Dunk.,43,65
1:33,50,Isaiah Martin Defensive Rebound.,43,65
1:29,2253,Foul on Gerard Martin.,43,65
1:29,2253,Official TV Timeout,43,65
1:19,50,Craig Bowman made Layup.,45,65
1:19,2253,Foul on Damari Milstead.,45,65
1:19,50,Craig Bowman missed Free Throw.,45,65
1:19,50,Florida A&M Offensive Rebound.,45,65
1:15,50,Florida A&M  Timeout,45,65
1:05,50,Desmond Williams missed Jumper.,45,65
1:05,50,Florida A&M Offensive Rebound.,45,65
1:02,2253,Foul on Kerwin Smith.,45,65
1:02,50,Javonni Harrell made Free Throw.,46,65
1:02,50,Javonni Harrell made Free Throw.,47,65
0:47,50,Foul on Kamron Reaves.,47,65
0:47,2253,Damari Milstead made Free Throw.,47,66
0:47,2253,Damari Milstead made Free Throw.,47,67
0:34,50,Marcus Barham made Layup.,49,67
0:24,2253,Matt Jackson Turnover.,49,67
0:23,50,Javonni Harrell Steal.,49,67
0:20,50,Desmond Williams made Layup.,51,67
0:00,2253,End of 2nd half,51,67
0:00,2253,End of Game,51,67
