Cornell,183,Syracuse,172
1:12,172,Kyle Brown missed Free Throw.,43,71
1:12,183,Patrick Herlihy Defensive Rebound.,43,71
0:59,183,Patrick Herlihy made Jumper.,43,73
0:45,172,Steven Julian made Dunk.,45,73
0:44,183,Foul on Braedon Bayer.,45,73
0:44,172,Steven Julian missed Free Throw.,45,73
0:44,183,Braedon Bayer Defensive Rebound.,45,73
0:38,183,Braedon Bayer made Jumper. Assisted by Shaun Belbey.,45,75
0:18,172,Kyle Brown missed Three Point Jumper.,45,75
0:18,172,Steven Julian Offensive Rebound.,45,75
0:12,183,Shaun Belbey Steal.,45,75
0:09,172,Bryan Knapp Turnover.,45,75
0:07,183,Shaun Belbey made Layup.,45,77
0:00,183,End of Game,45,78
