Northern Iowa,153,North Carolina,2460
7:59,153,Official TV Timeout,46,72
7:59,153,Brandon Robinson made Free Throw.,46,73
7:59,153,Brandon Robinson made Free Throw.,46,74
7:39,2460,Juwan McCloud made Jumper.,48,74
7:22,153,Luke Maye made Layup. Assisted by Garrison Brooks.,48,76
6:58,2460,Juwan McCloud missed Jumper.,48,76
6:58,153,Brandon Robinson Defensive Rebound.,48,76
6:45,153,Luke Maye made Layup. Assisted by Garrison Brooks.,48,78
6:29,153,Foul on Theo Pinson.,48,78
6:29,2460,Isaiah Brown missed Free Throw.,48,78
6:29,153,Sterling Manley Defensive Rebound.,48,78
6:19,153,Theo Pinson missed Three Point Jumper.,48,78
6:19,153,North Carolina Deadball Team Rebound.,48,78
6:15,2460,Foul on Austin Phyfe.,48,78
6:15,153,Sterling Manley missed Free Throw.,48,78
6:15,2460,Tywhon Pickford Defensive Rebound.,48,78
6:02,153,Foul on Kenny Williams.,48,78
6:02,2460,Isaiah Brown made Free Throw.,49,78
6:02,2460,Isaiah Brown made Free Throw.,50,78
5:53,153,Garrison Brooks made Layup. Assisted by Sterling Manley.,50,80
5:32,2460,Isaiah Brown made Jumper.,52,80
5:11,153,Sterling Manley missed Jumper.,52,80
5:11,153,Garrison Brooks Offensive Rebound.,52,80
5:10,2460,Foul on Ted Friedman.,52,80
5:10,153,Garrison Brooks made Free Throw.,52,81
5:10,153,Garrison Brooks made Free Throw.,52,82
5:00,2460,Tywhon Pickford made Three Point Jumper. Assisted by Spencer Haldeman.,55,82
4:47,153,Andrew Platek made Jumper. Assisted by Walker Miller.,55,84
4:40,2460,Tywhon Pickford missed Jumper.,55,84
4:40,153,Sterling Manley Defensive Rebound.,55,84
4:19,153,Brandon Robinson missed Jumper.,55,84
4:19,153,Sterling Manley Offensive Rebound.,55,84
4:15,153,Sterling Manley made Layup.,55,86
3:59,2460,Isaiah Brown missed Jumper.,55,86
3:59,2460,Northern Iowa Offensive Rebound.,55,86
3:53,153,Official TV Timeout,55,86
3:36,2460,Spencer Haldeman made Three Point Jumper.,58,86
3:25,153,Walker Miller missed Jumper.,58,86
3:25,2460,Spencer Haldeman Defensive Rebound.,58,86
2:55,2460,Spencer Haldeman missed Three Point Jumper.,58,86
2:55,2460,Spencer Haldeman Offensive Rebound.,58,86
2:46,2460,Adam McDermott made Three Point Jumper. Assisted by Spencer Haldeman.,61,86
2:22,153,Shea Rush missed Jumper.,61,86
2:22,2460,Tywhon Pickford Defensive Rebound.,61,86
2:16,2460,Tywhon Pickford Turnover.,61,86
2:05,153,Brandon Huffman missed Jumper.,61,86
2:05,2460,Tanner Lohaus Defensive Rebound.,61,86
2:00,153,Foul on Walker Miller.,61,86
2:00,2460,Tanner Lohaus made Free Throw.,62,86
2:00,2460,Tanner Lohaus missed Free Throw.,62,86
2:00,153,Aaron Rohlman Defensive Rebound.,62,86
1:37,153,Seventh Woods Turnover.,62,86
1:32,2460,Adam McDermott made Three Point Jumper. Assisted by Tanner Lohaus.,65,86
1:32,153,Foul on Walker Miller.,65,86
1:32,2460,Adam McDermott made Free Throw.,66,86
1:13,153,Shea Rush missed Three Point Jumper.,66,86
1:13,2460,Luke McDonnell Defensive Rebound.,66,86
0:59,2460,Luke McDonnell missed Three Point Jumper.,66,86
0:59,2460,Tanner Lohaus Offensive Rebound.,66,86
0:54,2460,Tanner Lohaus missed Layup.,66,86
0:54,153,Shea Rush Block.,66,86
0:54,2460,Northern Iowa Offensive Rebound.,66,86
0:42,153,Foul on Seventh Woods.,66,86
0:42,2460,Spencer Haldeman made Free Throw.,67,86
0:42,2460,Spencer Haldeman made Free Throw.,68,86
0:42,2460,Spencer Haldeman made Free Throw.,69,86
0:29,153,Walker Miller missed Jumper.,69,86
0:29,2460,Luke McDonnell Block.,69,86
0:29,2460,Luke McDonnell Defensive Rebound.,69,86
0:23,2460,Spencer Haldeman missed Three Point Jumper.,69,86
0:23,153,Aaron Rohlman Defensive Rebound.,69,86
0:00,153,End of Game,69,86
