Detroit Mercy,259,Virginia Tech,2174
11:21,259,Devin Wilson Turnover.,19,23
11:20,2174,Kameron Chatman Steal.,19,23
11:12,2174,missed Three Point Jumper.,19,23
11:12,259,Chris Clarke Defensive Rebound.,19,23
11:00,259,Ahmed Hill missed Three Point Jumper.,19,23
11:00,2174,Defensive Rebound.,19,23
10:50,2174,missed Three Point Jumper.,19,23
10:50,259,Chris Clarke Defensive Rebound.,19,23
10:41,259,Chris Clarke Turnover.,19,23
10:40,2174,Corey Allen Steal.,19,23
10:38,259,Foul on Devin Wilson.,19,23
10:38,2174,Corey Allen made Free Throw.,20,23
10:38,2174,Corey Allen made Free Throw.,21,23
10:26,259,Nick Fullard Turnover.,21,23
10:26,259,Foul on Nick Fullard.,21,23
10:15,2174,Jack Ballantyne made Three Point Jumper. Assisted by Josh McFolley.,24,23
9:56,259,Justin Robinson missed Three Point Jumper.,24,23
9:56,2174,Detroit Mercy Deadball Team Rebound.,24,23
9:54,259,Foul on Nick Fullard.,24,23
9:44,2174,Josh McFolley missed Jumper.,24,23
9:44,259,Tyrie Jackson Defensive Rebound.,24,23
9:34,259,Tyrie Jackson missed Three Point Jumper.,24,23
9:34,259,P.J. Horne Offensive Rebound.,24,23
9:30,259,Ahmed Hill made Layup.,24,25
9:11,2174,DeShawndre Black missed Three Point Jumper.,24,25
9:11,259,Ahmed Hill Defensive Rebound.,24,25
9:03,259,Ahmed Hill made Layup.,24,27
8:32,2174,DeShawndre Black Turnover.,24,27
8:29,259,Devin Wilson Steal.,24,27
8:28,259,Devin Wilson made Layup.,24,29
8:06,2174,Josh McFolley Turnover.,24,29
8:06,259,Justin Robinson Steal.,24,29
8:06,2174,Foul on Josh McFolley.,24,29
8:06,259,Devin Wilson made Free Throw.,24,30
8:06,259,Devin Wilson made Free Throw.,24,31
7:39,2174,Kameron Chatman made Jumper.,26,31
7:24,259,Justin Robinson Turnover.,26,31
7:23,2174,Corey Allen Steal.,26,31
7:19,2174,Kameron Chatman made Three Point Jumper.,29,31
6:53,259,Tyrie Jackson made Layup.,29,33
6:30,2174,Corey Allen missed Layup.,29,33
6:30,259,Ahmed Hill Defensive Rebound.,29,33
6:24,259,P.J. Horne made Layup. Assisted by Devin Wilson.,29,35
5:52,2174,Kameron Chatman made Layup.,31,35
5:52,259,Foul on Devin Wilson.,31,35
5:52,259,Official TV Timeout,31,35
5:52,2174,Kameron Chatman made Free Throw.,32,35
5:34,259,Wabissa Bede made Layup.,32,37
5:34,2174,Foul on Tariiq Jones.,32,37
5:34,259,Wabissa Bede missed Free Throw.,32,37
5:34,259,Ahmed Hill Offensive Rebound.,32,37
5:30,259,Ahmed Hill missed Layup.,32,37
5:30,2174,Kameron Chatman Defensive Rebound.,32,37
5:27,2174,missed Jumper.,32,37
5:27,259,Wabissa Bede Block.,32,37
5:27,2174,Offensive Rebound.,32,37
5:22,2174,Corey Allen missed Jumper.,32,37
5:22,259,Wabissa Bede Defensive Rebound.,32,37
5:15,259,Chris Clarke made Layup.,32,39
4:54,2174,Josh McFolley missed Three Point Jumper.,32,39
4:54,259,Ahmed Hill Defensive Rebound.,32,39
4:42,2174,Foul on Josh McFolley.,32,39
4:42,259,Tyrie Jackson missed Free Throw.,32,39
4:42,2174,Corey Allen Defensive Rebound.,32,39
4:36,2174,Roschon Prince missed Layup.,32,39
4:36,259,Wabissa Bede Defensive Rebound.,32,39
4:29,259,Wabissa Bede missed Layup.,32,39
4:29,2174,Roschon Prince Block.,32,39
4:29,259,Virginia Tech Offensive Rebound.,32,39
4:28,259,Ahmed Hill made Layup. Assisted by Chris Clarke.,32,41
4:13,2174,Corey Allen Turnover.,32,41
4:00,259,Chris Clarke Turnover.,32,41
4:00,2174,Corey Allen Steal.,32,41
3:56,2174,Kameron Chatman made Jumper. Assisted by Corey Allen.,34,41
3:39,259,Wabissa Bede made Layup.,34,43
3:39,2174,Foul on  .,34,43
3:39,259,Wabissa Bede missed Free Throw.,34,43
3:39,2174,Kameron Chatman Defensive Rebound.,34,43
3:19,259,Foul on  .,34,43
3:19,2174,Roschon Prince made Free Throw.,35,43
3:19,2174,Roschon Prince made Free Throw.,36,43
3:02,259,Chris Clarke made Layup.,36,45
2:44,2174,Roschon Prince made Dunk.,38,45
2:22,259,P.J. Horne missed Jumper.,38,45
2:22,2174,Roschon Prince Defensive Rebound.,38,45
1:59,2174,Corey Allen missed Jumper.,38,45
1:59,259,Chris Clarke Defensive Rebound.,38,45
1:52,2174,Foul on  .,38,45
1:52,259,Chris Clarke missed Free Throw.,38,45
1:52,259,Virginia Tech Deadball Team Rebound.,38,45
1:52,259,Chris Clarke made Free Throw.,38,46
1:41,259,Foul on Wabissa Bede.,38,46
1:41,2174,made Free Throw.,39,46
1:41,2174,made Free Throw.,40,46
1:27,259,Tyrie Jackson missed Layup.,40,46
1:27,2174,Gerald Blackshear Jr Block.,40,46
1:26,259,P.J. Horne Offensive Rebound.,40,46
1:23,259,P.J. Horne missed Jumper.,40,46
1:23,2174,Kameron Chatman Block.,40,46
1:20,259,P.J. Horne Offensive Rebound.,40,46
1:19,259,Tyrie Jackson missed Three Point Jumper.,40,46
1:19,2174,Detroit Mercy Defensive Rebound.,40,46
1:04,2174,missed Three Point Jumper.,40,46
1:04,259,Ahmed Hill Defensive Rebound.,40,46
0:57,2174,Foul on Roschon Prince.,40,46
0:57,259,Ahmed Hill made Free Throw.,40,47
0:57,259,Ahmed Hill made Free Throw.,40,48
0:43,2174,Gerald Blackshear Jr Turnover.,40,48
0:42,259,Wabissa Bede Steal.,40,48
0:40,259,Justin Robinson Turnover.,40,48
0:39,2174,Kameron Chatman Steal.,40,48
0:35,2174,Kameron Chatman missed Layup.,40,48
0:35,259,Justin Robinson Defensive Rebound.,40,48
0:28,2174,Foul on Roschon Prince.,40,48
0:28,259,Justin Robinson made Free Throw.,40,49
0:28,259,Justin Robinson missed Free Throw.,40,49
0:28,2174,Gerald Blackshear Jr Defensive Rebound.,40,49
0:24,2174,Gerald Blackshear Jr Turnover.,40,49
0:23,259,Ahmed Hill Steal.,40,49
0:19,259,Virginia Tech  Timeout,40,49
0:12,259,made Layup.,40,51
0:12,2174,Foul on Gerald Blackshear Jr.,40,51
0:12,259,made Free Throw.,40,52
0:04,2174,DeShawndre Black missed Layup.,40,52
0:04,2174,Roschon Prince Offensive Rebound.,40,52
0:01,2174,Roschon Prince missed Two Point Tip Shot.,40,52
0:01,2174,Roschon Prince Offensive Rebound.,40,52
0:00,2174,Roschon Prince made Layup.,42,52
0:00,259,End of 1st half,40,52
19:50,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Ahmed Hill.,42,55
19:29,259,Foul on  .,42,55
19:16,2174,missed Three Point Jumper.,42,55
19:16,259,Defensive Rebound.,42,55
19:11,259,Nickeil Alexander-Walker made Layup.,42,57
18:53,2174,Gerald Blackshear Jr Turnover.,42,57
18:52,259,Steal.,42,57
18:49,2174,Foul on Corey Allen.,42,57
18:49,259,made Free Throw.,42,58
18:49,259,missed Free Throw.,42,58
18:49,259,Ahmed Hill Offensive Rebound.,42,58
18:29,259,Justin Robinson Turnover.,42,58
18:29,2174,Gerald Blackshear Jr Steal.,42,58
18:25,2174,missed Three Point Jumper.,42,58
18:25,259,Ahmed Hill Defensive Rebound.,42,58
18:18,259,Ahmed Hill made Dunk.,42,60
18:18,2174,Detroit Mercy  Timeout,42,60
18:18,259,Official TV Timeout,42,60
18:06,2174,Corey Allen made Layup.,44,60
17:50,259,P.J. Horne missed Layup.,44,60
17:50,2174,Corey Allen Defensive Rebound.,44,60
17:45,259,Foul on P.J. Horne.,44,60
17:45,2174,Josh McFolley made Free Throw.,45,60
17:45,2174,Josh McFolley made Free Throw.,46,60
17:32,259,Justin Robinson missed Layup.,46,60
17:32,259,Justin Robinson Offensive Rebound.,46,60
17:24,259,P.J. Horne made Layup. Assisted by Nickeil Alexander-Walker.,46,62
17:14,2174,Josh McFolley missed Three Point Jumper.,46,62
17:14,259,Nickeil Alexander-Walker Defensive Rebound.,46,62
17:08,259,Nickeil Alexander-Walker Turnover.,46,62
17:07,2174,Corey Allen Steal.,46,62
17:01,259,Foul on Justin Robinson.,46,62
17:01,2174,made Free Throw.,47,62
17:01,2174,made Free Throw.,48,62
16:49,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Nickeil Alexander-Walker.,48,65
16:29,2174,Kameron Chatman Turnover.,48,65
16:25,259,Ahmed Hill made Dunk. Assisted by Justin Robinson.,48,67
16:05,2174,Kameron Chatman missed Jumper.,48,67
16:05,259,Ahmed Hill Defensive Rebound.,48,67
16:01,259,Ahmed Hill Turnover.,48,67
16:00,2174,Josh McFolley Steal.,48,67
15:56,2174,Corey Allen missed Layup.,48,67
15:56,259,Devin Wilson Defensive Rebound.,48,67
15:30,259,Official TV Timeout,48,67
15:28,259,Ahmed Hill made Layup. Assisted by Justin Robinson.,48,69
15:11,2174,Kameron Chatman made Three Point Jumper. Assisted by Corey Allen.,51,69
14:47,259,Nickeil Alexander-Walker Turnover.,51,69
14:46,2174,Roschon Prince Steal.,51,69
14:43,2174,made Layup.,53,69
14:17,259,P.J. Horne made Dunk. Assisted by Chris Clarke.,53,71
14:01,2174,Corey Allen missed Jumper.,53,71
14:01,259,P.J. Horne Defensive Rebound.,53,71
13:55,259,Nickeil Alexander-Walker made Dunk. Assisted by Justin Robinson.,53,73
13:36,2174,missed Layup.,53,73
13:36,2174,Roschon Prince Offensive Rebound.,53,73
13:35,2174,Roschon Prince made Layup.,55,73
13:35,259,Foul on P.J. Horne.,55,73
13:35,2174,Roschon Prince made Free Throw.,56,73
13:20,2174,Foul on Kameron Chatman.,56,73
13:19,259,Nickeil Alexander-Walker missed Three Point Jumper.,56,73
13:19,2174,Defensive Rebound.,56,73
12:56,2174,Corey Allen missed Layup.,56,73
12:56,259,Chris Clarke Defensive Rebound.,56,73
12:50,259,Ahmed Hill missed Three Point Jumper.,56,73
12:50,2174,DeShawndre Black Defensive Rebound.,56,73
12:37,2174,DeShawndre Black made Layup.,58,73
12:09,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,58,76
11:48,2174,Turnover.,58,76
11:47,259,Justin Robinson Steal.,58,76
11:42,259,P.J. Horne made Layup. Assisted by Chris Clarke.,58,78
11:40,259,Official TV Timeout,58,78
11:28,2174,Turnover.,58,78
11:27,259,Chris Clarke Steal.,58,78
11:24,259,Chris Clarke made Dunk.,58,80
11:22,259,Technical Foul on Chris Clarke.,58,80
11:22,2174,made Free Throw.,59,80
11:13,2174,Jack Ballantyne missed Three Point Jumper.,59,80
11:13,2174,Kameron Chatman Offensive Rebound.,59,80
11:04,2174,DeShawndre Black missed Jumper.,59,80
11:04,2174,Tariiq Jones Offensive Rebound.,59,80
10:51,2174,Tariiq Jones made Three Point Jumper. Assisted by Kameron Chatman.,62,80
10:30,259,Ahmed Hill missed Three Point Jumper.,62,80
10:30,259,Tyrie Jackson Offensive Rebound.,62,80
10:26,259,Tyrie Jackson made Layup.,62,82
10:05,2174,Tariiq Jones missed Layup.,62,82
10:05,2174,Kameron Chatman Offensive Rebound.,62,82
10:00,2174,Kameron Chatman Turnover.,62,82
9:59,259,Chris Clarke Steal.,62,82
9:58,2174,Foul on DeShawndre Black.,62,82
9:58,259,made Free Throw.,62,83
9:58,259,made Free Throw.,62,84
9:40,2174,Jaleel Hogan missed Jumper.,62,84
9:40,2174,Jack Ballantyne Offensive Rebound.,62,84
9:37,259,Foul on Justin Robinson.,62,84
9:37,2174,DeShawndre Black made Free Throw.,63,84
9:37,2174,DeShawndre Black missed Free Throw.,63,84
9:37,2174,Detroit Mercy Deadball Team Rebound.,63,84
9:37,2174,DeShawndre Black made Free Throw.,64,84
9:13,259,Ahmed Hill missed Layup.,64,84
9:13,259,Offensive Rebound.,64,84
9:11,259,made Two Point Tip Shot.,64,86
9:04,2174,Tariiq Jones made Three Point Jumper. Assisted by Corey Allen.,67,86
8:48,2174,Foul on Jaleel Hogan.,67,86
8:48,259,made Free Throw.,67,87
8:48,259,made Free Throw.,67,88
8:33,2174,Jack Ballantyne missed Three Point Jumper.,67,88
8:33,259,Nickeil Alexander-Walker Defensive Rebound.,67,88
8:20,259,missed Jumper.,67,88
8:20,259,Virginia Tech Deadball Team Rebound.,67,88
8:19,2174,Foul on DeShawndre Black.,67,88
8:18,259,Justin Robinson missed Three Point Jumper.,67,88
8:18,2174,Jack Ballantyne Defensive Rebound.,67,88
8:11,2174,Tariiq Jones missed Three Point Jumper.,67,88
8:11,259,Virginia Tech Defensive Rebound.,67,88
7:47,2174,Foul on Jaleel Hogan.,67,88
7:47,259,Official TV Timeout,67,88
7:47,259,made Free Throw.,67,89
7:47,259,made Free Throw.,67,90
7:24,2174,missed Layup.,67,90
7:24,259,Tyrie Jackson Defensive Rebound.,67,90
7:19,259,made Dunk. Assisted by Wabissa Bede.,67,92
6:57,2174,Kameron Chatman made Jumper. Assisted by Tariiq Jones.,69,92
6:42,259,made Layup. Assisted by Nickeil Alexander-Walker.,69,94
6:28,259,Foul on Nickeil Alexander-Walker.,69,94
6:28,2174,Tariiq Jones made Free Throw.,70,94
6:28,2174,Tariiq Jones missed Free Throw.,70,94
6:28,2174,Detroit Mercy Deadball Team Rebound.,70,94
6:28,2174,Tariiq Jones made Free Throw.,71,94
6:10,259,Nickeil Alexander-Walker missed Three Point Jumper.,71,94
6:10,259,Tyrie Jackson Offensive Rebound.,71,94
6:09,259,Tyrie Jackson missed Layup.,71,94
6:09,2174,Isaiah Jones Block.,71,94
6:08,259,Tyrie Jackson Offensive Rebound.,71,94
5:55,259,missed Layup.,71,94
5:55,2174,Defensive Rebound.,71,94
5:49,2174,Corey Allen made Three Point Jumper.,74,94
5:26,2174,Foul on Isaiah Jones.,74,94
5:26,259,missed Free Throw.,74,94
5:26,2174,Isaiah Jones Defensive Rebound.,74,94
5:18,2174,made Three Point Jumper.,77,94
5:04,259,made Layup. Assisted by Tyrie Jackson.,77,96
4:46,2174,Josh McFolley missed Layup.,77,96
4:46,259,Tyrie Jackson Block.,77,96
4:46,2174,Detroit Mercy Offensive Rebound.,77,96
4:42,2174,Corey Allen missed Jumper.,77,96
4:42,2174,Isaiah Jones Offensive Rebound.,77,96
4:38,2174,missed Three Point Jumper.,77,96
4:38,259,Nickeil Alexander-Walker Defensive Rebound.,77,96
4:28,259,Wabissa Bede missed Three Point Jumper.,77,96
4:28,259,Tyrie Jackson Offensive Rebound.,77,96
4:22,259,Tyrie Jackson missed Layup.,77,96
4:22,259,Virginia Tech Offensive Rebound.,77,96
4:19,259,Tyrie Jackson missed Three Point Jumper.,77,96
4:19,259,P.J. Horne Offensive Rebound.,77,96
3:54,259,Tyrie Jackson made Three Point Jumper. Assisted by Devin Wilson.,77,99
3:34,2174,Corey Allen missed Three Point Jumper.,77,99
3:34,2174,Detroit Mercy Offensive Rebound.,77,99
3:32,259,Official TV Timeout,77,99
3:32,2174,Detroit Mercy  Turnover.,77,99
3:10,259,Nickeil Alexander-Walker missed Three Point Jumper.,77,99
3:10,259,Tyrie Jackson Offensive Rebound.,77,99
3:07,2174,Foul on Josh McFolley.,77,99
3:07,259,Tyrie Jackson made Free Throw.,77,100
3:07,259,Tyrie Jackson made Free Throw.,77,101
2:48,2174,Corey Allen Turnover.,77,101
2:45,259,Nickeil Alexander-Walker made Layup.,77,103
2:18,2174,made Jumper.,79,103
2:11,259,Virginia Tech  Timeout,79,103
1:52,259,Devin Wilson made Layup.,79,105
1:40,2174,Corey Allen missed Jumper.,79,105
1:40,259,Tyrie Jackson Defensive Rebound.,79,105
1:34,259,Virginia Tech  Timeout,79,105
1:27,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Wabissa Bede.,79,108
1:02,2174,Malik Eichler missed Three Point Jumper.,79,108
1:02,259,Devin Wilson Defensive Rebound.,79,108
0:55,259,Virginia Tech  Timeout,79,108
0:38,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Devin Wilson.,79,111
0:23,259,Foul on P.J. Horne.,79,111
0:23,2174,Cole Long missed Free Throw.,79,111
0:23,259,Devin Wilson Defensive Rebound.,79,111
0:00,259,End of Game,79,111
