Brescia,Error,Murray State,93
0:55,93,Foul on Anthony Smith.,27,58
0:40,-1,Brandon Stacker missed Three Point Jumper.,27,58
0:40,93,Terrell Miller Jr. Defensive Rebound.,27,58
0:33,93,Terrell Miller Jr. Turnover.,27,58
0:32,-1,Noah Cunningham Steal.,27,58
0:30,-1,Noah Cunningham made Three Point Jumper.,30,58
0:09,-1,Foul on Brandon Stacker.,30,58
0:09,93,Jonathan Stark made Free Throw.,30,59
0:09,93,Jonathan Stark made Free Throw.,30,60
0:06,-1,Jordan Cooper-Livers Turnover.,30,60
0:00,93,End of 1st half,30,60
19:52,-1,Kayode Daboiku missed Jumper.,30,60
19:52,93,Terrell Miller Jr. Defensive Rebound.,30,60
19:45,93,Ja Morant made Layup. Assisted by Jonathan Stark.,30,62
19:35,-1,Mason Roland missed Jumper.,30,62
19:34,-1,Kayode Daboiku Defensive Rebound.,30,62
19:10,93,Byron Hawkins made Three Point Jumper. Assisted by Terrell Miller Jr..,30,65
19:03,-1,Kayode Daboiku Turnover.,30,65
19:01,93,Jonathan Stark Steal.,30,65
18:59,93,Byron Hawkins missed Layup.,30,65
18:59,-1,Dillon Geralds Block.,30,65
18:58,-1,Mason Roland Defensive Rebound.,30,65
18:46,-1,Dillon Geralds missed Three Point Jumper.,30,65
18:46,93,Murray State Defensive Rebound.,30,65
18:38,-1,Foul on Dillon Geralds.,30,65
18:38,93,Jalen Dupree made Free Throw.,30,66
18:38,93,Jalen Dupree missed Free Throw.,30,66
18:38,-1,Kayode Daboiku Defensive Rebound.,30,66
18:38,-1,Dillon Geralds missed Three Point Jumper.,30,66
18:38,-1,Tavon Johnson Offensive Rebound.,30,66
18:38,-1,Mason Roland made Layup. Assisted by Tavon Johnson.,32,66
18:36,93,Jalen Dupree made Layup. Assisted by Ja Morant.,32,68
18:22,-1,Zach Mcdaniel missed Jumper.,32,68
18:22,93,Jonathan Stark Defensive Rebound.,32,68
18:16,93,Jalen Dupree made Dunk. Assisted by Byron Hawkins.,32,70
17:54,-1,Dillon Geralds missed Three Point Jumper.,32,70
17:54,93,Jalen Dupree Defensive Rebound.,32,70
17:45,-1,Foul on Zach Mcdaniel.,32,70
17:43,93,Byron Hawkins made Three Point Jumper.,32,73
17:28,-1,Mason Roland Turnover.,32,73
17:28,-1,Foul on Mason Roland.,32,73
17:21,-1,Foul on Mason Roland.,32,73
16:50,93,Ja Morant made Layup.,32,75
16:33,-1,Dillon Geralds missed Three Point Jumper.,32,75
16:33,93,Terrell Miller Jr. Defensive Rebound.,32,75
16:22,93,Terrell Miller Jr. missed Jumper.,32,75
16:22,93,Jonathan Stark Offensive Rebound.,32,75
16:17,93,Jonathan Stark made Three Point Jumper.,32,78
16:13,-1,Brescia  Timeout,32,78
15:50,-1,Kayode Daboiku missed Jumper.,32,78
15:50,93,Terrell Miller Jr. Defensive Rebound.,32,78
15:36,93,Ja Morant made Three Point Jumper.,32,81
15:20,-1,Mason Roland missed Three Point Jumper.,32,81
15:20,93,Terrell Miller Jr. Defensive Rebound.,32,81
15:20,93,Shaq Buchanan made Dunk. Assisted by Ja Morant.,32,83
15:20,-1,Jordan Cooper-Livers missed Three Point Jumper.,32,83
15:20,93,Brion Sanchious Defensive Rebound.,32,83
15:20,93,Jonathan Stark made Dunk. Assisted by Ja Morant.,32,85
14:26,93,Foul on Brion Sanchious.,32,85
14:26,93,Official TV Timeout,32,85
14:26,-1,Jordan Cooper-Livers missed Free Throw.,32,85
14:26,-1,Brescia Deadball Team Rebound.,32,85
14:26,-1,Jordan Cooper-Livers missed Free Throw.,32,85
14:26,93,Jachai Taylor Defensive Rebound.,32,85
14:23,93,Ja Morant Turnover.,32,85
14:09,-1,Darion Morrow Turnover.,32,85
14:08,93,Shaq Buchanan Steal.,32,85
14:06,93,Shaq Buchanan made Dunk.,32,87
13:51,93,Foul on Jachai Taylor.,32,87
13:39,-1,Kayode Daboiku missed Jumper.,32,87
13:39,93,Anthony Smith Defensive Rebound.,32,87
13:38,-1,Foul on Kayode Daboiku.,32,87
13:21,-1,Foul on Brandon Stacker.,32,87
13:14,93,Shaq Buchanan Turnover.,32,87
13:14,93,Foul on Shaq Buchanan.,32,87
13:01,-1,Brandon Stacker made Layup.,34,87
12:51,93,Shaq Buchanan Turnover.,34,87
12:50,-1,Noah Cunningham Steal.,34,87
12:47,93,Foul on Shaq Buchanan.,34,87
12:47,-1,Brandon Stacker made Free Throw.,35,87
12:47,-1,Brandon Stacker made Free Throw.,36,87
12:31,-1,Foul on Brandon Stacker.,36,87
12:31,93,Anthony Smith missed Free Throw.,36,87
12:31,93,Brion Whitley Offensive Rebound.,36,87
12:28,-1,Foul on Darion Morrow.,36,87
12:28,93,Anthony Smith made Free Throw.,36,88
12:28,93,Anthony Smith made Free Throw.,36,89
12:16,-1,Noah Cunningham Turnover.,36,89
12:15,93,Anthony Smith Steal.,36,89
12:11,93,Anthony Smith made Dunk. Assisted by Brion Whitley.,36,91
11:50,93,Foul on Brion Whitley.,36,91
11:45,93,Official TV Timeout,36,91
11:44,-1,Kayode Daboiku made Jumper. Assisted by Mason Roland.,38,91
11:10,-1,Foul on Noah Cunningham.,38,91
11:10,93,Jachai Taylor missed Free Throw.,38,91
11:10,93,Murray State Deadball Team Rebound.,38,91
11:10,93,Jachai Taylor missed Free Throw.,38,91
11:10,-1,Kayode Daboiku Defensive Rebound.,38,91
11:01,-1,Jordan Cooper-Livers made Jumper.,40,91
10:46,93,Brion Whitley missed Three Point Jumper.,40,91
10:46,93,Anthony Smith Offensive Rebound.,40,91
10:43,93,Anthony Smith Turnover.,40,91
10:43,-1,Kayode Daboiku made Jumper.,42,91
10:43,93,Jalen Dupree made Jumper. Assisted by Byron Hawkins.,42,93
9:39,-1,Mason Roland Turnover.,42,93
9:15,93,Anthony Smith Turnover.,42,93
9:11,93,Foul on Anthony Smith.,42,93
9:01,-1,Tavon Johnson missed Three Point Jumper.,42,93
9:01,93,Anthony Smith Defensive Rebound.,42,93
8:46,93,Byron Hawkins made Layup.,42,95
8:42,-1,Darion Morrow missed Three Point Jumper.,42,95
8:42,-1,Zach Mcdaniel Offensive Rebound.,42,95
8:34,93,Foul on Jalen Dupree.,42,95
8:34,-1,Zach Mcdaniel made Free Throw.,43,95
8:34,-1,Zach Mcdaniel made Free Throw.,44,95
8:23,93,Jachai Taylor Turnover.,44,95
8:18,-1,Dillon Geralds made Jumper.,46,95
8:07,93,Devin Gilmore missed Jumper.,46,95
8:07,-1,Zach Mcdaniel Defensive Rebound.,46,95
7:55,93,Murray State  Timeout,46,95
7:46,93,Brion Whitley made Three Point Jumper. Assisted by Byron Hawkins.,46,98
7:18,-1,Darion Morrow missed Jumper.,46,98
7:18,93,Devin Gilmore Block.,46,98
7:18,93,Jalen Dupree Defensive Rebound.,46,98
7:18,-1,Foul on Darion Morrow.,46,98
7:15,93,Jalen Dupree made Free Throw.,46,99
7:15,93,Jalen Dupree made Free Throw.,46,100
7:03,-1,Zach Mcdaniel missed Jumper.,46,100
7:03,-1,Dillon Geralds Offensive Rebound.,46,100
6:57,-1,Dillon Geralds Turnover.,46,100
6:56,93,Brion Whitley Steal.,46,100
6:53,93,Brion Whitley made Layup.,46,102
6:47,-1,Dillon Geralds made Layup. Assisted by Tavon Johnson.,48,102
6:34,-1,Foul on Zach Mcdaniel.,48,102
6:34,93,Zach Hopewell made Free Throw.,48,103
6:34,93,Zach Hopewell made Free Throw.,48,104
6:27,93,Foul on Zach Hopewell.,48,104
6:27,-1,Tavon Johnson made Free Throw.,49,104
6:27,-1,Tavon Johnson made Free Throw.,50,104
6:17,93,Jachai Taylor made Three Point Jumper. Assisted by Jalen Dupree.,50,107
6:06,-1,Jordan Cooper-Livers made Three Point Jumper. Assisted by Terrell Davis.,53,107
5:44,93,Zach Hopewell missed Layup.,53,107
5:44,93,Jalen Dupree Offensive Rebound.,53,107
5:38,93,Brion Whitley missed Three Point Jumper.,53,107
5:38,-1,Terrell Davis Defensive Rebound.,53,107
5:30,-1,Jordan Cooper-Livers missed Three Point Jumper.,53,107
5:30,93,Jachai Taylor Defensive Rebound.,53,107
5:07,-1,Foul on Tavon Johnson.,53,107
5:07,93,Brion Whitley missed Free Throw.,53,107
5:07,93,Murray State Deadball Team Rebound.,53,107
5:07,93,Brion Whitley made Free Throw.,53,108
4:55,-1,Jordan Cooper-Livers made Three Point Jumper. Assisted by Zach Mcdaniel.,56,108
4:35,93,Brion Whitley Turnover.,56,108
4:15,-1,Jordan Cooper-Livers missed Jumper.,56,108
4:15,93,Devin Gilmore Defensive Rebound.,56,108
4:06,93,Brion Whitley missed Three Point Jumper.,56,108
4:06,93,Zach Hopewell Offensive Rebound.,56,108
4:01,93,Zach Hopewell missed Three Point Jumper.,56,108
4:01,-1,Zach Mcdaniel Defensive Rebound.,56,108
3:55,-1,Noah Cunningham missed Layup.,56,108
3:55,-1,Jordan Cooper-Livers Offensive Rebound.,56,108
3:53,-1,Jordan Cooper-Livers missed Layup.,56,108
3:53,93,Brion Whitley Defensive Rebound.,56,108
3:28,-1,Foul on Zach Mcdaniel.,56,108
3:28,93,Official TV Timeout,56,108
3:28,93,Devin Gilmore missed Free Throw.,56,108
3:28,93,Murray State Deadball Team Rebound.,56,108
3:28,93,Devin Gilmore missed Free Throw.,56,108
3:28,93,Anthony Smith Offensive Rebound.,56,108
3:28,93,Anthony Smith missed Layup.,56,108
3:28,93,Anthony Smith Offensive Rebound.,56,108
3:28,-1,Foul on Jeremy Stewart.,56,108
3:26,93,Anthony Smith made Free Throw.,56,109
3:26,93,Anthony Smith made Free Throw.,56,110
3:10,-1,Noah Cunningham missed Three Point Jumper.,56,110
3:10,93,Anthony Smith Defensive Rebound.,56,110
2:54,93,Devin Gilmore made Layup. Assisted by Zach Hopewell.,56,112
2:44,93,Foul on Anthony Smith.,56,112
2:44,-1,Jordan Cooper-Livers made Free Throw.,57,112
2:44,-1,Jordan Cooper-Livers made Free Throw.,58,112
2:20,93,Jachai Taylor made Three Point Jumper. Assisted by Zach Hopewell.,58,115
2:03,93,Foul on Brion Sanchious.,58,115
2:03,-1,Jeremy Stewart missed Free Throw.,58,115
2:03,-1,Brescia Deadball Team Rebound.,58,115
2:03,-1,Jeremy Stewart made Free Throw.,59,115
1:36,93,Brion Whitley missed Three Point Jumper.,59,115
1:36,93,Brion Sanchious Offensive Rebound.,59,115
1:35,-1,Foul on Jordan Cooper-Livers.,59,115
1:35,93,Brion Sanchious made Free Throw.,59,116
1:35,93,Brion Sanchious missed Free Throw.,59,116
1:35,-1,Terrell Davis Defensive Rebound.,59,116
1:22,-1,Terrell Davis made Layup. Assisted by Jordan Cooper-Livers.,61,116
1:01,93,Devin Gilmore missed Dunk.,61,116
1:01,-1,Brescia Defensive Rebound.,61,116
0:54,-1,Jordan Cooper-Livers missed Three Point Jumper.,61,116
0:54,93,Devin Gilmore Defensive Rebound.,61,116
0:28,93,Zach Hopewell missed Three Point Jumper.,61,116
0:28,93,Devin Gilmore Offensive Rebound.,61,116
0:25,93,Devin Gilmore made Layup.,61,118
0:00,93,End of Game,61,118
