Oglethorpe,2643,The Citadel,2476
10:04,2643,Tariq Simmons made Free Throw.,24,33
9:55,-1,Chris Lawrence missed Three Point Jumper.,24,33
9:55,-1,Will Perry Offensive Rebound.,24,33
9:36,-1,Will Perry made Layup. Assisted by Tom Inungu.,26,33
9:22,2643,Preston Parks missed Three Point Jumper.,26,33
9:22,-1,Chris Lawrence Defensive Rebound.,26,33
9:06,-1,Will Perry made Layup. Assisted by Tom Inungu.,28,33
9:06,2643,Foul on Hayden Brown.,28,33
9:06,-1,Will Perry missed Free Throw.,28,33
9:06,2643,Jr Derek Webster Defensive Rebound.,28,33
8:58,2643,Tariq Simmons made Layup.,28,35
8:49,-1,Chris Lawrence missed Layup.,28,35
8:49,2643,Quayson Williams Defensive Rebound.,28,35
8:40,2643,Matt Frierson made Three Point Jumper. Assisted by Hayden Brown.,28,38
8:17,-1,Chris Lawrence missed Three Point Jumper.,28,38
8:17,2643,Quayson Williams Defensive Rebound.,28,38
8:09,2643,Tariq Simmons missed Jumper.,28,38
8:09,-1,Oglethorpe Defensive Rebound.,28,38
7:49,-1,Connor Smith missed Three Point Jumper.,28,38
7:49,-1,Connor Smith Offensive Rebound.,28,38
7:43,-1,Connor Smith missed Jumper.,28,38
7:43,2643,Frankie Johnson Defensive Rebound.,28,38
7:38,2643,Official TV Timeout,28,38
7:31,2643,Quayson Williams missed Three Point Jumper.,28,38
7:31,2643,Jr Derek Webster Offensive Rebound.,28,38
7:28,-1,Foul on Will Koch.,28,38
7:21,2643,Jr Derek Webster made Layup. Assisted by Tariq Simmons.,28,40
7:00,-1,Stefan Britvar Turnover.,28,40
6:59,2643,Hayden Brown Steal.,28,40
6:55,-1,Foul on Devin Huffman.,28,40
6:55,2643,Tariq Simmons made Free Throw.,28,41
6:55,2643,Tariq Simmons made Free Throw.,28,42
6:50,-1,Connor Smith Turnover.,28,42
6:49,2643,Preston Parks Steal.,28,42
6:47,2643,Tariq Simmons made Layup.,28,44
6:46,-1,Oglethorpe  Timeout,28,44
6:30,2643,Foul on Tariq Simmons.,28,44
6:25,-1,Lane Foster missed Layup.,28,44
6:24,2643,Frankie Johnson Block.,28,44
6:23,2643,Kaelon Harris Defensive Rebound.,28,44
6:20,2643,Preston Parks made Three Point Jumper.,28,47
6:17,-1,Tom Inungu missed Three Point Jumper.,28,47
6:16,-1,Oglethorpe Offensive Rebound.,28,47
6:15,2643,Foul on Preston Parks.,28,47
6:09,-1,Tom Inungu made Jumper.,30,47
5:55,2643,Tariq Simmons made Three Point Jumper. Assisted by Jr Derek Webster.,30,50
5:39,-1,Will Perry missed Three Point Jumper.,30,50
5:39,2643,Frankie Johnson Defensive Rebound.,30,50
5:31,2643,Matt Frierson made Three Point Jumper. Assisted by Frankie Johnson.,30,53
5:08,-1,Lane Foster Turnover.,30,53
4:53,2643,Alex Reed missed Layup.,30,53
4:53,2643,Alex Reed Offensive Rebound.,30,53
4:43,2643,Leandro Allende missed Layup.,30,53
4:43,-1,Tom Inungu Block.,30,53
4:41,-1,Will Perry Defensive Rebound.,30,53
4:17,-1,Tom Inungu made Layup.,32,53
4:09,2643,Zane Najdawi missed Three Point Jumper.,32,53
4:09,2643,Kaiden Rice Offensive Rebound.,32,53
4:04,2643,Kaiden Rice made Layup.,32,55
3:44,-1,Will Perry made Layup. Assisted by Lane Foster.,34,55
3:30,2643,Zane Najdawi made Layup.,34,57
3:18,-1,Lane Foster Turnover.,34,57
3:17,2643,Zane Najdawi Steal.,34,57
3:15,2643,Kaiden Rice made Layup. Assisted by Zane Najdawi.,34,59
3:02,-1,Connor Smith Turnover.,34,59
3:01,2643,Matt Frierson Steal.,34,59
2:55,2643,Zane Najdawi made Three Point Jumper. Assisted by Kaiden Rice.,34,62
2:42,-1,Will Perry Turnover.,34,62
2:37,2643,Official TV Timeout,34,62
2:31,2643,Rob Johnson missed Layup.,34,62
2:31,-1,Will Koch Block.,34,62
2:28,2643,Rob Johnson Offensive Rebound.,34,62
2:26,2643,Rob Johnson made Layup.,34,64
2:18,2643,Foul on Hayden Brown.,34,64
2:06,-1,Justin Hughes Turnover.,34,64
1:53,2643,Tariq Simmons made Three Point Jumper. Assisted by Quayson Williams.,34,67
1:21,-1,Justin Hughes Turnover.,34,67
1:21,2643,Tariq Simmons Steal.,34,67
1:17,2643,Quayson Williams missed Three Point Jumper.,34,67
1:17,-1,Will Koch Defensive Rebound.,34,67
0:59,-1,Justin Hughes Turnover.,34,67
0:48,2643,Kaiden Rice made Three Point Jumper. Assisted by Alex Reed.,34,70
0:26,-1,Stefan Britvar missed Layup.,34,70
0:26,2643,Leandro Allende Block.,34,70
0:23,-1,Stefan Britvar Offensive Rebound.,34,70
0:21,-1,Connor Smith made Three Point Jumper. Assisted by Devin Huffman.,37,70
0:03,2643,Zane Najdawi missed Jumper.,37,70
0:03,-1,Will Koch Defensive Rebound.,37,70
0:00,2643,End of 1st half,37,70
19:53,2643,Frankie Johnson missed Three Point Jumper.,37,70
19:53,-1,Oglethorpe Defensive Rebound.,37,70
19:39,-1,Connor Smith missed Three Point Jumper.,37,70
19:39,-1,Tom Inungu Offensive Rebound.,37,70
19:32,-1,Will Perry missed Three Point Jumper.,37,70
19:32,2643,Leandro Allende Defensive Rebound.,37,70
19:24,2643,Kaelon Harris missed Layup.,37,70
19:24,-1,Connor Smith Defensive Rebound.,37,70
19:07,-1,Lane Foster Turnover.,37,70
19:06,2643,Kaelon Harris Steal.,37,70
19:05,2643,Kaelon Harris missed Layup.,37,70
19:05,2643,Preston Parks Offensive Rebound.,37,70
19:01,2643,Preston Parks made Two Point Tip Shot.,37,72
18:49,-1,Will Perry missed Layup.,37,72
18:49,-1,Tom Inungu Offensive Rebound.,37,72
18:43,-1,Will Perry made Layup. Assisted by Tom Inungu.,39,72
18:20,2643,Frankie Johnson missed Layup.,39,72
18:20,-1,Tom Inungu Block.,39,72
18:18,-1,Tom Inungu Defensive Rebound.,39,72
18:06,-1,Chris Lawrence missed Three Point Jumper.,39,72
18:06,2643,Preston Parks Defensive Rebound.,39,72
17:57,2643,Zane Najdawi missed Three Point Jumper.,39,72
17:57,2643,Kaelon Harris Offensive Rebound.,39,72
17:53,-1,Foul on Connor Smith.,39,72
17:37,2643,Zane Najdawi Turnover.,39,72
17:13,-1,Chris Lawrence missed Layup.,39,72
17:13,2643,Kaelon Harris Defensive Rebound.,39,72
17:02,2643,Hayden Brown Turnover.,39,72
17:01,-1,Will Perry Steal.,39,72
16:57,2643,Foul on Hayden Brown.,39,72
16:57,-1,Will Perry made Free Throw.,40,72
16:57,-1,Will Perry made Free Throw.,41,72
16:42,-1,Foul on Will Koch.,41,72
16:27,2643,Matt Frierson Turnover.,41,72
16:26,-1,Will Perry Steal.,41,72
16:23,-1,Will Perry made Layup.,43,72
16:12,2643,Tariq Simmons missed Layup.,43,72
16:12,-1,Tom Inungu Block.,43,72
16:08,-1,Will Perry Defensive Rebound.,43,72
16:03,-1,Will Perry missed Layup.,43,72
16:03,2643,Matt Frierson Defensive Rebound.,43,72
15:56,2643,Preston Parks missed Layup.,43,72
15:56,-1,Justin Hughes Defensive Rebound.,43,72
15:49,2643,Official TV Timeout,43,72
15:47,-1,Stefan Britvar Turnover.,43,72
15:47,2643,Rob Johnson Steal.,43,72
15:36,2643,Matt Frierson missed Three Point Jumper.,43,72
15:36,-1,Will Koch Defensive Rebound.,43,72
15:24,-1,Stefan Britvar missed Layup.,43,72
15:24,2643,Quayson Williams Block.,43,72
15:23,2643,Rob Johnson Defensive Rebound.,43,72
15:16,2643,Tariq Simmons Turnover.,43,72
15:15,-1,Justin Hughes Steal.,43,72
15:08,-1,Justin Hughes missed Three Point Jumper.,43,72
15:08,2643,Rob Johnson Defensive Rebound.,43,72
14:51,2643,Quayson Williams missed Three Point Jumper.,43,72
14:51,-1,Will Koch Defensive Rebound.,43,72
14:48,2643,Foul on Rob Johnson.,43,72
14:46,-1,Will Koch Turnover.,43,72
14:32,2643,Kaiden Rice missed Three Point Jumper.,43,72
14:32,-1,Will Koch Defensive Rebound.,43,72
14:23,-1,Will Perry made Layup. Assisted by Devin Huffman.,45,72
14:17,2643,Frankie Johnson Turnover.,45,72
13:54,-1,Will Perry Turnover.,45,72
13:43,2643,Kaelon Harris missed Three Point Jumper.,45,72
13:43,2643,Preston Parks Offensive Rebound.,45,72
13:37,2643,Zane Najdawi missed Layup.,45,72
13:37,-1,Tom Inungu Defensive Rebound.,45,72
13:23,-1,Connor Smith missed Three Point Jumper.,45,72
13:23,-1,Oglethorpe Offensive Rebound.,45,72
13:09,-1,Connor Smith made Jumper.,47,72
12:47,2643,Frankie Johnson missed Jumper.,47,72
12:47,2643,Frankie Johnson Offensive Rebound.,47,72
12:43,-1,Foul on Lane Foster.,47,72
12:39,2643,Tariq Simmons Turnover.,47,72
12:38,-1,Will Perry Steal.,47,72
12:36,-1,Will Perry Turnover.,47,72
12:35,2643,Tariq Simmons Steal.,47,72
12:33,2643,Preston Parks made Layup. Assisted by Tariq Simmons.,47,74
12:10,-1,Chris Lawrence made Layup.,49,74
11:59,2643,Preston Parks made Three Point Jumper. Assisted by Matt Frierson.,49,77
11:48,-1,Lane Foster made Layup.,51,77
11:39,2643,Jr Derek Webster Turnover.,51,77
11:38,-1,Chris Lawrence Steal.,51,77
11:35,-1,Will Perry made Dunk. Assisted by Chris Lawrence.,53,77
11:17,2643,Tariq Simmons missed Jumper.,53,77
11:17,-1,Tom Inungu Defensive Rebound.,53,77
11:02,-1,Lane Foster Turnover.,53,77
11:02,2643,Official TV Timeout,53,77
10:47,2643,Tariq Simmons missed Three Point Jumper.,53,77
10:47,-1,Connor Smith Block.,53,77
10:43,-1,Will Koch Defensive Rebound.,53,77
10:30,-1,Connor Smith missed Three Point Jumper.,53,77
10:30,2643,Quayson Williams Defensive Rebound.,53,77
10:22,2643,Matt Frierson made Three Point Jumper. Assisted by Jr Derek Webster.,53,80
10:16,2643,Foul on Preston Parks.,53,80
9:59,-1,Connor Smith made Three Point Jumper. Assisted by Tom Inungu.,56,80
9:49,2643,Kaelon Harris Turnover.,56,80
9:47,-1,Devin Huffman Steal.,56,80
9:42,-1,Devin Huffman missed Three Point Jumper.,56,80
9:42,2643,Kaelon Harris Defensive Rebound.,56,80
9:29,2643,Quayson Williams missed Three Point Jumper.,56,80
9:29,-1,Tom Inungu Defensive Rebound.,56,80
9:10,-1,Chris Lawrence missed Three Point Jumper.,56,80
9:10,2643,Preston Parks Defensive Rebound.,56,80
9:04,2643,Matt Frierson made Three Point Jumper. Assisted by Preston Parks.,56,83
8:54,-1,Devin Huffman missed Layup.,56,83
8:54,2643,Zane Najdawi Block.,56,83
8:52,2643,Zane Najdawi Defensive Rebound.,56,83
8:47,2643,Preston Parks made Three Point Jumper. Assisted by Matt Frierson.,56,86
8:26,-1,Connor Smith missed Three Point Jumper.,56,86
8:26,2643,Preston Parks Defensive Rebound.,56,86
8:19,2643,Preston Parks Turnover.,56,86
8:19,-1,Devin Huffman Steal.,56,86
8:00,-1,Justin Hughes missed Three Point Jumper.,56,86
8:00,2643,Kaelon Harris Defensive Rebound.,56,86
7:53,2643,Kaiden Rice missed Three Point Jumper.,56,86
7:53,-1,Will Perry Defensive Rebound.,56,86
7:40,-1,Justin Hughes Turnover.,56,86
7:40,2643,Tariq Simmons Steal.,56,86
7:37,2643,Kaiden Rice made Layup. Assisted by Tariq Simmons.,56,88
7:29,-1,Will Koch Turnover.,56,88
7:28,2643,Hayden Brown Steal.,56,88
7:22,2643,Leandro Allende made Layup.,56,90
7:08,-1,Will Perry missed Three Point Jumper.,56,90
7:08,2643,Tariq Simmons Defensive Rebound.,56,90
6:58,2643,Hayden Brown made Three Point Jumper. Assisted by Leandro Allende.,56,93
6:55,-1,Oglethorpe  Timeout,56,93
6:46,2643,Foul on Hayden Brown.,56,93
6:46,2643,Official TV Timeout,56,93
6:46,-1,Stefan Britvar missed Free Throw.,56,93
6:46,-1,Oglethorpe Deadball Team Rebound.,56,93
6:46,-1,Stefan Britvar missed Free Throw.,56,93
6:46,2643,Kaelon Harris Defensive Rebound.,56,93
6:40,2643,Tariq Simmons missed Jumper.,56,93
6:40,-1,Stefan Britvar Defensive Rebound.,56,93
6:19,-1,Will Perry made Three Point Jumper. Assisted by Lane Foster.,59,93
6:09,2643,Leandro Allende missed Three Point Jumper.,59,93
6:09,-1,Lane Foster Defensive Rebound.,59,93
6:00,-1,Justin Hughes missed Three Point Jumper.,59,93
6:00,-1,Oglethorpe Offensive Rebound.,59,93
5:57,2643,Foul on Hayden Brown.,59,93
5:56,-1,Connor Smith missed Three Point Jumper.,59,93
5:56,2643,Alex Reed Defensive Rebound.,59,93
5:47,2643,Kaiden Rice missed Three Point Jumper.,59,93
5:47,2643,Alex Reed Offensive Rebound.,59,93
5:43,2643,Alex Reed missed Layup.,59,93
5:43,2643,Rob Johnson Offensive Rebound.,59,93
5:39,2643,Rob Johnson made Layup.,59,95
5:23,-1,Will Perry missed Jumper.,59,95
5:23,2643,Alex Reed Defensive Rebound.,59,95
5:15,2643,Kaiden Rice made Three Point Jumper. Assisted by Kaelon Harris.,59,98
4:48,-1,Devin Huffman made Three Point Jumper. Assisted by Will Perry.,62,98
4:40,2643,Alex Reed made Three Point Jumper. Assisted by Tariq Simmons.,62,101
4:27,-1,Devin Huffman Turnover.,62,101
4:26,2643,Alex Reed Steal.,62,101
4:24,2643,Kaiden Rice missed Layup.,62,101
4:24,-1,Will Perry Defensive Rebound.,62,101
4:22,2643,Foul on Tariq Simmons.,62,101
4:16,-1,Devin Huffman Turnover.,62,101
4:15,2643,Kaelon Harris Steal.,62,101
4:11,2643,Tariq Simmons Turnover.,62,101
4:10,-1,Will Koch Steal.,62,101
4:03,-1,Devin Huffman made Three Point Jumper. Assisted by Chris Lawrence.,65,101
3:54,2643,Alex Reed made Three Point Jumper. Assisted by Tariq Simmons.,65,104
3:38,-1,Devin Huffman made Three Point Jumper. Assisted by Will Koch.,68,104
3:26,2643,Kaiden Rice missed Three Point Jumper.,68,104
3:26,-1,Will Koch Defensive Rebound.,68,104
3:24,2643,Foul on Rob Johnson.,68,104
3:24,2643,Official TV Timeout,68,104
3:24,-1,Will Koch made Free Throw.,69,104
3:24,-1,Will Koch made Free Throw.,70,104
3:18,2643,Quayson Williams missed Three Point Jumper.,70,104
3:18,-1,Cameron Crowe Defensive Rebound.,70,104
3:16,2643,Foul on Rob Johnson.,70,104
3:16,-1,Cameron Crowe made Free Throw.,71,104
3:16,-1,Cameron Crowe missed Free Throw.,71,104
3:16,2643,Jr Derek Webster Defensive Rebound.,71,104
3:04,2643,Alex Reed missed Three Point Jumper.,71,104
3:04,-1,Cameron Crowe Defensive Rebound.,71,104
2:43,-1,Justin Hughes missed Three Point Jumper.,71,104
2:43,2643,Rob Johnson Defensive Rebound.,71,104
2:33,2643,Quayson Williams made Three Point Jumper. Assisted by Jr Derek Webster.,71,107
2:18,2643,Foul on Alex Reed.,71,107
2:18,-1,Devin Huffman missed Free Throw.,71,107
2:18,2643,Rob Johnson Defensive Rebound.,71,107
2:12,2643,Jr Derek Webster made Layup.,71,109
1:48,-1,Devin Huffman missed Three Point Jumper.,71,109
1:48,2643,Rob Johnson Defensive Rebound.,71,109
1:39,2643,Jr Derek Webster missed Layup.,71,109
1:39,-1,Stefan Britvar Block.,71,109
1:37,-1,Devin Huffman Defensive Rebound.,71,109
1:32,-1,Stefan Britvar missed Three Point Jumper.,71,109
1:32,2643,Quayson Williams Defensive Rebound.,71,109
1:23,2643,Kaiden Rice missed Three Point Jumper.,71,109
1:23,2643,Alex Reed Offensive Rebound.,71,109
1:11,2643,Rob Johnson Turnover.,71,109
0:52,2643,Foul on Rob Johnson.,71,109
0:52,-1,Devin Huffman made Free Throw.,72,109
0:52,-1,Devin Huffman made Free Throw.,73,109
0:27,2643,Quayson Williams missed Three Point Jumper.,73,109
0:27,-1,Will Springer Defensive Rebound.,73,109
0:15,-1,Devin Huffman Turnover.,73,109
0:00,2643,End of Game,73,109
