Wright State,2350,Loyola-Chicago,2750
17:39,2750,Foul on Grant Benzinger.,45,50
17:39,2350,Marques Townes made Free Throw.,45,51
17:22,2350,Foul on Ben Richardson.,45,51
17:22,2750,Loudon Love made Free Throw.,46,51
17:22,2750,Loudon Love missed Free Throw.,46,51
17:22,2750,Alan Vest Offensive Rebound.,46,51
17:11,2750,Everett Winchester missed Jumper.,46,51
17:11,2350,Cameron Krutwig Defensive Rebound.,46,51
17:00,2750,Foul on Loudon Love.,46,51
17:00,2350,Cameron Krutwig made Free Throw.,46,52
17:00,2350,Cameron Krutwig made Free Throw.,46,53
16:40,2750,Parker Ernsthausen made Jumper. Assisted by Everett Winchester.,48,53
16:40,2350,Foul on Cameron Krutwig.,48,53
16:40,2750,Parker Ernsthausen missed Free Throw.,48,53
16:40,2350,Cameron Krutwig Defensive Rebound.,48,53
16:33,2350,Clayton Custer missed Three Point Jumper.,48,53
16:33,2750,Justin Mitchell Defensive Rebound.,48,53
16:23,2750,Parker Ernsthausen missed Jumper.,48,53
16:23,2350,Ben Richardson Defensive Rebound.,48,53
16:14,2750,Foul on Tye Wilburn.,48,53
16:14,2350,Clayton Custer made Free Throw.,48,54
16:14,2350,Clayton Custer missed Free Throw.,48,54
16:14,2350,Cameron Krutwig Offensive Rebound.,48,54
16:10,2350,Ben Richardson missed Three Point Jumper.,48,54
16:10,2350,Cameron Krutwig Offensive Rebound.,48,54
16:09,2750,Foul on Parker Ernsthausen.,48,54
16:09,2350,Cameron Krutwig made Free Throw.,48,55
16:09,2350,Cameron Krutwig made Free Throw.,48,56
16:01,2750,Mark Hughes missed Three Point Jumper.,48,56
16:01,2350,Aundre Jackson Defensive Rebound.,48,56
15:48,2350,Cameron Satterwhite Turnover.,48,56
15:46,2750,Justin Mitchell Steal.,48,56
15:44,2750,Justin Mitchell Turnover.,48,56
15:44,2350,Official TV Timeout,48,56
15:35,2350,Donte Ingram missed Three Point Jumper.,48,56
15:35,2750,Justin Mitchell Defensive Rebound.,48,56
15:31,2350,Foul on Cameron Satterwhite.,48,56
15:12,2750,Everett Winchester missed Layup.,48,56
15:12,2350,Ben Richardson Defensive Rebound.,48,56
15:06,2350,Marques Townes made Jumper. Assisted by Ben Richardson.,48,58
14:47,2350,Foul on Aundre Jackson.,48,58
14:47,2750,Everett Winchester missed Free Throw.,48,58
14:47,2750,Wright State Deadball Team Rebound.,48,58
14:47,2750,Everett Winchester made Free Throw.,49,58
14:32,2350,Marques Townes Turnover.,49,58
14:23,2750,Justin Mitchell made Layup.,51,58
14:06,2350,Cameron Satterwhite missed Jumper.,51,58
14:06,2750,Mark Hughes Defensive Rebound.,51,58
13:53,2750,Justin Mitchell made Layup.,53,58
13:52,2350,Loyola-Chicago  Timeout,53,58
13:37,2350,Clayton Custer made Three Point Jumper. Assisted by Ben Richardson.,53,61
13:14,2750,Mark Hughes missed Three Point Jumper.,53,61
13:14,2350,Marques Townes Defensive Rebound.,53,61
13:00,2750,Foul on Mark Hughes.,53,61
13:00,2350,Ben Richardson missed Free Throw.,53,61
13:00,2750,Grant Benzinger Defensive Rebound.,53,61
12:52,2350,Foul on Marques Townes.,53,61
12:52,2750,Justin Mitchell made Free Throw.,54,61
12:52,2750,Justin Mitchell made Free Throw.,55,61
12:32,2350,Clayton Custer missed Layup.,55,61
12:32,2350,Cameron Krutwig Offensive Rebound.,55,61
12:28,2350,Cameron Krutwig made Layup.,55,63
12:22,2750,Foul on Justin Mitchell.,55,63
12:22,2750,Justin Mitchell Turnover.,55,63
12:01,2350,Cameron Krutwig made Layup. Assisted by Marques Townes.,55,65
11:46,2750,Mark Hughes missed Three Point Jumper.,55,65
11:46,2350,Clayton Custer Defensive Rebound.,55,65
11:39,2350,Ben Richardson missed Three Point Jumper.,55,65
11:39,2750,Mark Hughes Defensive Rebound.,55,65
11:14,2750,Mark Hughes missed Three Point Jumper.,55,65
11:14,2750,Loudon Love Offensive Rebound.,55,65
11:05,2750,Loudon Love Turnover.,55,65
11:04,2350,Clayton Custer Steal.,55,65
11:01,2350,Official TV Timeout,55,65
10:58,2350,Aundre Jackson Turnover.,55,65
10:36,2750,Parker Ernsthausen Turnover.,55,65
10:35,2350,Ben Richardson Steal.,55,65
10:32,2750,Foul on Mark Hughes.,55,65
10:32,2350,Ben Richardson made Free Throw.,55,66
10:32,2350,Ben Richardson made Free Throw.,55,67
10:15,2750,Loudon Love made Layup. Assisted by Justin Mitchell.,57,67
10:07,2350,Clayton Custer missed Jumper.,57,67
10:07,2750,Justin Mitchell Block.,57,67
10:07,2350,Loyola-Chicago Offensive Rebound.,57,67
9:46,2350,Aundre Jackson missed Layup.,57,67
9:46,2750,Loudon Love Block.,57,67
9:45,2750,Justin Mitchell Defensive Rebound.,57,67
9:30,2350,Foul on Bruno Skokna.,57,67
9:30,2750,Tye Wilburn made Free Throw.,58,67
9:30,2750,Tye Wilburn made Free Throw.,59,67
9:02,2350,Donte Ingram missed Jumper.,59,67
9:02,2750,Alan Vest Defensive Rebound.,59,67
8:43,2750,Loudon Love Turnover.,59,67
8:41,2350,Donte Ingram Steal.,59,67
8:38,2350,Donte Ingram made Layup.,59,69
8:24,2750,Alan Vest Turnover.,59,69
8:22,2350,Aundre Jackson Steal.,59,69
8:06,2350,Ben Richardson Turnover.,59,69
7:57,2750,Grant Benzinger missed Layup.,59,69
7:57,2350,Donte Ingram Defensive Rebound.,59,69
7:49,2750,Foul on Everett Winchester.,59,69
7:49,2350,Official TV Timeout,59,69
7:49,2350,Donte Ingram made Free Throw.,59,70
7:49,2350,Donte Ingram missed Free Throw.,59,70
7:49,2750,Justin Mitchell Defensive Rebound.,59,70
7:36,2750,Grant Benzinger made Jumper. Assisted by Loudon Love.,61,70
7:06,2350,Clayton Custer Turnover.,61,70
6:52,2750,Grant Benzinger made Three Point Jumper. Assisted by Tye Wilburn.,64,70
6:17,2350,Ben Richardson Turnover.,64,70
6:15,2750,Tye Wilburn Steal.,64,70
6:12,2750,Tye Wilburn made Layup.,66,70
5:45,2350,Clayton Custer missed Three Point Jumper.,66,70
5:45,2750,Tye Wilburn Defensive Rebound.,66,70
5:34,2750,Grant Benzinger missed Three Point Jumper.,66,70
5:34,2350,Cameron Krutwig Defensive Rebound.,66,70
5:26,2350,Donte Ingram missed Jumper.,66,70
5:26,2750,Mark Hughes Defensive Rebound.,66,70
5:15,2750,Justin Mitchell missed Jumper.,66,70
5:15,2350,Cameron Satterwhite Defensive Rebound.,66,70
5:13,2750,Foul on Grant Benzinger.,66,70
5:13,2350,Clayton Custer missed Free Throw.,66,70
5:13,2350,Loyola-Chicago Deadball Team Rebound.,66,70
5:13,2350,Clayton Custer made Free Throw.,66,71
4:56,2750,Mark Hughes Turnover.,66,71
4:54,2350,Ben Richardson Steal.,66,71
4:50,2350,Cameron Satterwhite made Three Point Jumper. Assisted by Ben Richardson.,66,74
4:41,2750,Wright State  Timeout,66,74
4:34,2350,Foul on Donte Ingram.,66,74
4:34,2750,Everett Winchester missed Free Throw.,66,74
4:34,2750,Wright State Deadball Team Rebound.,66,74
4:34,2750,Everett Winchester made Free Throw.,67,74
4:19,2350,Cameron Satterwhite missed Three Point Jumper.,67,74
4:19,2750,Mark Hughes Defensive Rebound.,67,74
3:58,2350,Foul on Ben Richardson.,67,74
3:58,2350,Official TV Timeout,67,74
3:58,2750,Mark Hughes made Free Throw.,68,74
3:58,2750,Mark Hughes made Free Throw.,69,74
3:44,2350,Donte Ingram made Three Point Jumper. Assisted by Marques Townes.,69,77
3:25,2750,Grant Benzinger Turnover.,69,77
3:14,2350,Aundre Jackson missed Three Point Jumper.,69,77
3:14,2350,Loyola-Chicago Offensive Rebound.,69,77
2:49,2350,Donte Ingram missed Three Point Jumper.,69,77
2:49,2350,Aundre Jackson Offensive Rebound.,69,77
2:46,2350,Foul on Aundre Jackson.,69,77
2:46,2350,Aundre Jackson Turnover.,69,77
2:46,2750,Loudon Love missed Free Throw.,69,77
2:46,2750,Wright State Deadball Team Rebound.,69,77
2:46,2750,Loudon Love made Free Throw.,70,77
2:23,2350,Cameron Krutwig missed Layup.,70,77
2:23,2350,Loyola-Chicago Offensive Rebound.,70,77
2:13,2350,Donte Ingram made Jumper.,70,79
1:50,2750,Loudon Love Turnover.,70,79
1:48,2350,Ben Richardson Steal.,70,79
1:45,2350,Marques Townes missed Three Point Jumper.,70,79
1:45,2750,Mark Hughes Defensive Rebound.,70,79
1:33,2750,Justin Mitchell missed Three Point Jumper.,70,79
1:33,2750,Everett Winchester Offensive Rebound.,70,79
1:27,2350,Foul on Ben Richardson.,70,79
