Bowling Green,2182,Drexel,189
5:38,2182,Kurk Lee made Free Throw.,67,63
5:22,189,Dylan Frye made Three Point Jumper. Assisted by Demajeo Wiggins.,70,63
4:57,2182,Troy Harper missed Three Point Jumper.,70,63
4:57,189,Matt Fox Defensive Rebound.,70,63
4:38,189,Dylan Frye missed Jumper.,70,63
4:38,2182,Sammy Mojica Defensive Rebound.,70,63
4:30,2182,Sammy Mojica missed Layup.,70,63
4:30,189,Demajeo Wiggins Defensive Rebound.,70,63
4:13,189,Dylan Frye missed Jumper.,70,63
4:13,2182,Tadas Kararinas Defensive Rebound.,70,63
4:04,2182,Kurk Lee missed Layup.,70,63
4:04,189,Justin Turner Block.,70,63
4:04,189,Bowling Green Defensive Rebound.,70,63
3:47,189,Dylan Frye Turnover.,70,63
3:47,2182,Official TV Timeout,70,63
3:18,2182,Kurk Lee missed Three Point Jumper.,70,63
3:18,189,Dylan Frye Defensive Rebound.,70,63
3:14,189,Dylan Frye Turnover.,70,63
3:07,2182,Sammy Mojica made Three Point Jumper. Assisted by Kurk Lee.,70,66
2:43,189,Demajeo Wiggins missed Layup.,70,66
2:43,2182,Austin Williams Block.,70,66
2:41,2182,Austin Williams Defensive Rebound.,70,66
2:35,2182,Kurk Lee missed Layup.,70,66
2:35,189,Demajeo Wiggins Defensive Rebound.,70,66
2:15,2182,Foul on Jarvis Doles.,70,66
2:15,189,Justin Turner missed Free Throw.,70,66
2:15,189,Bowling Green Deadball Team Rebound.,70,66
2:15,189,Justin Turner made Free Throw.,71,66
2:00,2182,Tadas Kararinas Turnover.,71,66
1:59,189,Justin Turner Steal.,71,66
1:56,189,Justin Turner made Layup.,73,66
1:46,2182,Sam Green made Jumper.,73,68
1:17,189,Justin Turner missed Layup.,73,68
1:17,2182,Austin Williams Block.,73,68
1:17,189,Bowling Green Offensive Rebound.,73,68
1:11,189,Justin Turner missed Jumper.,73,68
1:11,2182,Austin Williams Defensive Rebound.,73,68
0:59,2182,Sam Green missed Three Point Jumper.,73,68
0:59,2182,Austin Williams Offensive Rebound.,73,68
0:53,189,Foul on Dylan Frye.,73,68
0:53,2182,Troy Harper missed Free Throw.,73,68
0:53,2182,Drexel Deadball Team Rebound.,73,68
0:53,2182,Troy Harper made Free Throw.,73,69
0:51,189,Bowling Green  Timeout,73,69
0:45,2182,Foul on Kurk Lee.,73,69
0:45,189,Rodrick Caldwell made Free Throw.,74,69
0:45,189,Rodrick Caldwell missed Free Throw.,74,69
0:45,2182,Austin Williams Defensive Rebound.,74,69
0:34,2182,Kurk Lee Turnover.,74,69
0:30,189,Rodrick Caldwell Steal.,74,69
0:30,2182,Foul on Sam Green.,74,69
0:30,189,Rodrick Caldwell made Free Throw.,75,69
0:30,189,Rodrick Caldwell made Free Throw.,76,69
0:21,2182,Sammy Mojica missed Three Point Jumper.,76,69
0:21,189,Dylan Frye Defensive Rebound.,76,69
0:16,2182,Foul on Austin Williams.,76,69
0:16,189,Dylan Frye missed Free Throw.,76,69
0:16,189,Bowling Green Deadball Team Rebound.,76,69
0:16,189,Dylan Frye made Free Throw.,77,69
0:13,2182,Kurk Lee missed Three Point Jumper.,77,69
0:13,189,Justin Turner Defensive Rebound.,77,69
0:08,2182,Foul on Tadas Kararinas.,77,69
0:08,189,Justin Turner missed Free Throw.,77,69
0:08,189,Bowling Green Deadball Team Rebound.,77,69
0:08,189,Justin Turner made Free Throw.,78,69
0:05,2182,Troy Harper missed Three Point Jumper.,78,69
0:05,189,Dylan Frye Defensive Rebound.,78,69
0:00,2182,End of Game,78,69
