Southern,356,Illinois,2582
5:13,356,Mark Alstork made Free Throw.,23,42
4:51,2582,Jared Sam missed Jumper.,23,42
4:51,356,Mark Alstork Defensive Rebound.,23,42
4:49,2582,Foul on DeRias Johnson.,23,42
4:49,356,Mark Alstork made Free Throw.,23,43
4:49,356,Mark Alstork missed Free Throw.,23,43
4:49,2582,Aaron Ray Defensive Rebound.,23,43
4:33,2582,Jamar Sandifer missed Jumper.,23,43
4:33,356,Matic Vesel Defensive Rebound.,23,43
4:26,2582,Foul on Aaron Ray.,23,43
4:26,356,Mark Smith made Free Throw.,23,44
4:26,356,Mark Smith made Free Throw.,23,45
4:21,356,Foul on Matic Vesel.,23,45
4:21,2582,Patrick Smith made Free Throw.,24,45
4:21,2582,Patrick Smith missed Free Throw.,24,45
4:21,356,Michael Finke Defensive Rebound.,24,45
4:08,356,Mark Smith missed Three Point Jumper.,24,45
4:08,2582,Jared Sam Defensive Rebound.,24,45
4:01,356,Foul on Mark Smith.,24,45
4:01,2582,Aaron Ray made Free Throw.,25,45
4:01,2582,Aaron Ray made Free Throw.,26,45
3:49,356,Trent Frazier missed Three Point Jumper.,26,45
3:49,2582,Jared Sam Defensive Rebound.,26,45
3:41,356,Official TV Timeout,26,45
3:33,2582,Jared Sam missed Jumper.,26,45
3:33,356,Michael Finke Defensive Rebound.,26,45
3:15,356,Mark Alstork made Layup.,26,47
2:53,2582,Jared Sam missed Jumper.,26,47
2:53,356,Illinois Defensive Rebound.,26,47
2:30,356,Da'Monte Williams missed Three Point Jumper.,26,47
2:30,2582,Jamar Sandifer Defensive Rebound.,26,47
2:00,2582,Jamar Sandifer made Jumper.,28,47
1:37,356,Michael Finke made Jumper. Assisted by Trent Frazier.,28,49
1:17,2582,Jared Sam missed Jumper.,28,49
1:17,356,Mark Alstork Defensive Rebound.,28,49
1:09,2582,Foul on Aaron Ray.,28,49
1:09,356,Mark Alstork made Free Throw.,28,50
1:09,356,Mark Alstork made Free Throw.,28,51
0:56,2582,Eddie Reese made Three Point Jumper.,31,51
0:42,356,Trent Frazier missed Three Point Jumper.,31,51
0:42,2582,Eddie Reese Defensive Rebound.,31,51
0:32,2582,Jamar Sandifer missed Jumper.,31,51
0:32,356,Trent Frazier Defensive Rebound.,31,51
0:29,356,Illinois  Timeout,31,51
0:00,356,Mark Alstork made Jumper.,31,53
0:00,356,End of 1st half,31,53
19:45,356,Foul on Michael Finke.,31,53
19:43,2582,Eddie Reese Turnover.,31,53
19:09,356,Mark Smith missed Jumper.,31,53
19:09,356,Mark Alstork Offensive Rebound.,31,53
19:04,356,Te'Jon Lucas made Jumper.,31,55
18:53,2582,Jared Sam made Jumper. Assisted by Jamar Sandifer.,33,55
18:34,356,Leron Black made Jumper. Assisted by Mark Alstork.,33,57
18:07,2582,Jared Sam Turnover.,33,57
18:06,356,Te'Jon Lucas Steal.,33,57
18:02,356,Te'Jon Lucas missed Layup.,33,57
18:02,356,Leron Black Offensive Rebound.,33,57
18:01,2582,Foul on Patrick Smith.,33,57
18:01,356,Leron Black made Free Throw.,33,58
18:01,356,Leron Black made Free Throw.,33,59
17:49,2582,Eddie Reese Turnover.,33,59
17:47,356,Te'Jon Lucas Steal.,33,59
17:35,356,Mark Alstork missed Three Point Jumper.,33,59
17:35,2582,LaQuentin Collins Defensive Rebound.,33,59
17:32,356,Foul on Mark Smith.,33,59
17:11,2582,Chris Thomas missed Layup.,33,59
17:11,356,Illinois Defensive Rebound.,33,59
16:57,356,Michael Finke missed Three Point Jumper.,33,59
16:57,356,Mark Alstork Offensive Rebound.,33,59
16:44,356,Mark Alstork made Jumper.,33,61
16:22,2582,Patrick Smith made Jumper.,35,61
16:13,356,Aaron Jordan made Jumper. Assisted by Michael Finke.,35,63
15:57,2582,Eddie Reese Turnover.,35,63
15:57,356,Aaron Jordan Steal.,35,63
15:57,356,Official TV Timeout,35,63
15:32,2582,Foul on Eddie Reese.,35,63
15:15,356,Te'Jon Lucas made Jumper.,35,65
15:01,356,Foul on Leron Black.,35,65
14:49,2582,Eddie Reese missed Three Point Jumper.,35,65
14:49,2582,Jared Sam Offensive Rebound.,35,65
14:35,356,Foul on Greg Eboigbodin.,35,65
14:35,2582,Jared Sam made Free Throw.,36,65
14:35,2582,Jared Sam made Free Throw.,37,65
14:17,356,Kipper Nichols made Layup. Assisted by Te'Jon Lucas.,37,67
14:02,356,Foul on Da'Monte Williams.,37,67
13:52,2582,Chris Thomas Turnover.,37,67
13:36,356,Aaron Jordan made Jumper. Assisted by Te'Jon Lucas.,37,69
13:25,2582,Emanual Shepherd made Jumper. Assisted by Eddie Reese.,39,69
13:16,356,Te'Jon Lucas missed Jumper.,39,69
13:16,2582,Emanual Shepherd Block.,39,69
13:16,356,Illinois Offensive Rebound.,39,69
13:10,2582,Foul on Emanual Shepherd.,39,69
13:10,356,Kipper Nichols made Free Throw.,39,70
13:10,356,Kipper Nichols missed Free Throw.,39,70
13:10,356,Mark Smith Offensive Rebound.,39,70
12:44,356,Trent Frazier Turnover.,39,70
12:43,2582,Torrey Mayo Steal.,39,70
12:40,2582,Torrey Mayo missed Jumper.,39,70
12:40,356,Greg Eboigbodin Block.,39,70
12:36,356,Mark Alstork Defensive Rebound.,39,70
12:34,2582,Foul on Emanual Shepherd.,39,70
12:34,356,Kipper Nichols made Free Throw.,39,71
12:34,356,Kipper Nichols made Free Throw.,39,72
12:22,356,Foul on Mark Smith.,39,72
12:17,2582,Mubashar Ali made Jumper. Assisted by Emanual Shepherd.,41,72
12:02,356,Kipper Nichols missed Three Point Jumper.,41,72
12:02,2582,Aaron Ray Defensive Rebound.,41,72
11:52,2582,Torrey Mayo Turnover.,41,72
11:52,356,Official TV Timeout,41,72
11:25,356,Leron Black made Jumper.,41,74
11:05,2582,Torrey Mayo missed Layup.,41,74
11:04,356,Te'Jon Lucas Block.,41,74
11:03,2582,Southern Offensive Rebound.,41,74
11:01,356,Foul on Trent Frazier.,41,74
11:01,2582,Mubashar Ali made Free Throw.,42,74
11:01,2582,Mubashar Ali made Free Throw.,43,74
11:01,356,Te'Jon Lucas missed Jumper.,43,74
11:01,2582,Chris Thomas Defensive Rebound.,43,74
11:01,2582,Jared Sam missed Jumper.,43,74
11:01,356,Te'Jon Lucas Defensive Rebound.,43,74
11:01,356,Trent Frazier missed Three Point Jumper.,43,74
11:01,356,Illinois Deadball Team Rebound.,43,74
10:35,2582,Foul on Mubashar Ali.,43,74
10:29,356,Mark Alstork made Jumper. Assisted by Leron Black.,43,76
10:29,2582,Chris Thomas missed Three Point Jumper.,43,76
10:29,2582,DeRias Johnson Offensive Rebound.,43,76
10:29,2582,DeRias Johnson missed Three Point Jumper.,43,76
10:29,356,Leron Black Defensive Rebound.,43,76
10:29,356,Te'Jon Lucas made Layup. Assisted by Leron Black.,43,78
9:14,2582,Jared Sam Turnover.,43,78
9:13,356,Leron Black Steal.,43,78
9:12,356,Te'Jon Lucas made Layup. Assisted by Leron Black.,43,80
9:01,2582,Jared Sam made Jumper.,45,80
8:47,2582,Foul on Mubashar Ali.,45,80
8:33,356,Aaron Jordan missed Jumper.,45,80
8:33,356,Mark Alstork Offensive Rebound.,45,80
8:28,356,Michael Finke made Layup. Assisted by Mark Alstork.,45,82
8:12,2582,Patrick Smith missed Jumper.,45,82
8:12,356,Mark Smith Defensive Rebound.,45,82
8:01,356,Mark Smith made Jumper.,45,84
7:50,2582,Eddie Reese Turnover.,45,84
7:43,356,Aaron Jordan made Three Point Jumper. Assisted by Mark Alstork.,45,87
7:41,2582,Foul on Jamar Sandifer.,45,87
7:41,2582,Southern  Timeout,45,87
7:41,356,Aaron Jordan made Free Throw.,45,88
7:30,2582,Jared Sam missed Jumper.,45,88
7:30,356,Greg Eboigbodin Defensive Rebound.,45,88
7:17,356,Mark Smith missed Jumper.,45,88
7:17,356,Greg Eboigbodin Offensive Rebound.,45,88
7:00,356,Foul on Aaron Jordan.,45,88
7:00,356,Aaron Jordan Turnover.,45,88
6:45,2582,Brendon Ganaway missed Jumper.,45,88
6:45,356,Greg Eboigbodin Defensive Rebound.,45,88
6:32,356,Mark Smith Turnover.,45,88
6:27,2582,Eddie Reese made Layup.,47,88
6:03,356,Greg Eboigbodin missed Jumper.,47,88
6:03,2582,Patrick Smith Block.,47,88
6:03,356,Illinois Offensive Rebound.,47,88
6:00,2582,Foul on Jamar Sandifer.,47,88
6:00,356,Aaron Jordan made Free Throw.,47,89
6:00,356,Aaron Jordan made Free Throw.,47,90
5:44,2582,Jared Sam made Jumper. Assisted by Emanual Shepherd.,49,90
5:44,356,Foul on Aaron Jordan.,49,90
5:44,2582,Jared Sam made Free Throw.,50,90
5:32,2582,Foul on Brendon Ganaway.,50,90
5:32,356,Da'Monte Williams made Free Throw.,50,91
5:32,356,Da'Monte Williams made Free Throw.,50,92
5:19,2582,Jared Sam missed Jumper.,50,92
5:19,356,Kipper Nichols Block.,50,92
5:18,2582,Jared Sam Offensive Rebound.,50,92
5:17,356,Foul on Matic Vesel.,50,92
5:17,2582,Jared Sam missed Free Throw.,50,92
5:17,2582,Southern Deadball Team Rebound.,50,92
5:17,2582,Jared Sam made Free Throw.,51,92
5:02,356,Foul on Matic Vesel.,51,92
5:02,356,Matic Vesel Turnover.,51,92
4:47,356,Foul on Greg Eboigbodin.,51,92
4:47,2582,Chris Thomas made Free Throw.,52,92
4:47,2582,Chris Thomas missed Free Throw.,52,92
4:47,356,Matic Vesel Defensive Rebound.,52,92
4:30,356,Aaron Jordan made Three Point Jumper. Assisted by Trent Frazier.,52,95
4:16,2582,Jared Sam missed Jumper.,52,95
4:16,356,Da'Monte Williams Defensive Rebound.,52,95
3:53,356,Trent Frazier made Jumper.,52,97
3:43,2582,Jared Sam Turnover.,52,97
3:22,356,Matic Vesel Turnover.,52,97
3:20,2582,Chris Thomas Steal.,52,97
3:14,2582,LaQuentin Collins missed Three Point Jumper.,52,97
3:14,2582,Jared Sam Offensive Rebound.,52,97
3:02,2582,Chris Thomas missed Jumper.,52,97
3:02,356,Aaron Jordan Defensive Rebound.,52,97
2:48,2582,Foul on Emanual Shepherd.,52,97
2:48,356,Official TV Timeout,52,97
2:48,356,Trent Frazier made Free Throw.,52,98
2:48,356,Trent Frazier made Free Throw.,52,99
2:36,2582,Emanual Shepherd Turnover.,52,99
2:34,356,Samson Oladimeji Steal.,52,99
2:33,2582,Foul on Torrey Mayo.,52,99
2:33,356,Trent Frazier missed Free Throw.,52,99
2:33,356,Illinois Deadball Team Rebound.,52,99
2:33,356,Trent Frazier made Free Throw.,52,100
2:19,2582,Patrick Smith made Jumper.,54,100
1:55,356,Da'Monte Williams missed Jumper.,54,100
1:55,2582,Jared Sam Defensive Rebound.,54,100
1:54,2582,Jared Sam Turnover.,54,100
1:29,356,Drew Cayce missed Three Point Jumper.,54,100
1:29,2582,Chris Thomas Block.,54,100
1:28,2582,LaQuentin Collins Defensive Rebound.,54,100
1:20,356,Foul on Samson Oladimeji.,54,100
1:20,2582,Patrick Smith missed Free Throw.,54,100
1:20,2582,Southern Deadball Team Rebound.,54,100
1:20,2582,Patrick Smith made Free Throw.,55,100
1:05,2582,Foul on DeRias Johnson.,55,100
1:05,356,Drew Cayce made Free Throw.,55,101
1:05,356,Drew Cayce made Free Throw.,55,102
0:44,2582,Mubashar Ali Turnover.,55,102
0:43,356,Cameron Liss Steal.,55,102
0:12,356,Trent Frazier missed Three Point Jumper.,55,102
0:12,2582,DeRias Johnson Defensive Rebound.,55,102
0:06,2582,DeRias Johnson missed Three Point Jumper.,55,102
0:06,356,Trent Frazier Defensive Rebound.,55,102
0:00,356,End of Game,55,102
