South Carolina Upstate,135,Minnesota,2908
18:59,135,Dupree McBrayer Steal.,34,45
18:56,135,Dupree McBrayer made Layup.,34,47
18:30,2908,Mike Cunningham missed Jumper.,34,47
18:27,2908,Carson Smith Offensive Rebound.,34,47
18:26,2908,Carson Smith missed Jumper.,34,47
18:24,135,Dupree McBrayer Defensive Rebound.,34,47
18:11,135,Jordan Murphy made Layup. Assisted by Amir Coffey.,34,49
17:52,2908,Carson Smith missed Three Point Jumper.,34,49
17:50,135,Jordan Murphy Defensive Rebound.,34,49
17:45,135,Foul on Amir Coffey.,34,49
17:45,135,Amir Coffey Turnover.,34,49
17:20,2908,Ramel Thompkins missed Three Point Jumper.,34,49
17:17,135,Reggie Lynch Defensive Rebound.,34,49
17:12,135,Amir Coffey Turnover.,34,49
16:53,2908,Mike Cunningham missed Jumper.,34,49
16:50,135,Amir Coffey Defensive Rebound.,34,49
16:45,135,Dupree McBrayer Turnover.,34,49
16:45,2908,Mike Cunningham Steal.,34,49
16:41,2908,Mike Cunningham missed Jumper.,34,49
16:40,2908,Malik Moore Offensive Rebound.,34,49
16:40,135,Foul on Dupree McBrayer.,34,49
16:40,2908,Malik Moore made Free Throw.,35,49
16:40,2908,Malik Moore made Free Throw.,36,49
16:18,135,Reggie Lynch made Dunk. Assisted by Isaiah Washington.,36,51
15:44,2908,Ramel Thompkins made Jumper.,38,51
15:17,135,Nate Mason made Three Point Jumper. Assisted by Isaiah Washington.,38,54
14:48,2908,Yeskin Walker-Williams missed Jumper.,38,54
14:48,135,Reggie Lynch Block.,38,54
14:46,2908,Jure Span Offensive Rebound.,38,54
14:45,2908,Ramel Thompkins missed Three Point Jumper.,38,54
14:44,135,Minnesota Defensive Rebound.,38,54
14:44,2908,Foul on Yeskin Walker-Williams.,38,54
14:44,135,Official TV Timeout,38,54
14:36,135,Isaiah Washington missed Three Point Jumper.,38,54
14:35,135,Davonte Fitzgerald Offensive Rebound.,38,54
14:35,2908,Foul on Pat Welch.,38,54
14:28,135,Nate Mason missed Three Point Jumper.,38,54
14:24,135,Jordan Murphy Offensive Rebound.,38,54
14:24,2908,Foul on Ramel Thompkins.,38,54
14:24,135,Jordan Murphy made Free Throw.,38,55
14:24,135,Jordan Murphy missed Free Throw.,38,55
14:24,135,Amir Coffey Offensive Rebound.,38,55
14:24,2908,Foul on Jure Span.,38,55
14:20,135,Jordan Murphy missed Jumper.,38,55
14:17,135,Amir Coffey Offensive Rebound.,38,55
14:14,2908,Foul on Yeskin Walker-Williams.,38,55
14:14,135,Amir Coffey made Free Throw.,38,56
14:14,135,Amir Coffey made Free Throw.,38,57
14:05,135,Foul on Amir Coffey.,38,57
13:56,2908,Jure Span Turnover.,38,57
13:41,135,Jordan Murphy missed Jumper.,38,57
13:41,2908,Malik Moore Block.,38,57
13:38,135,Isaiah Washington Offensive Rebound.,38,57
13:32,135,Jamir Harris missed Three Point Jumper.,38,57
13:29,2908,Malik Moore Defensive Rebound.,38,57
13:27,135,Foul on Michael Hurt.,38,57
13:27,2908,Malik Moore made Free Throw.,39,57
13:27,2908,Malik Moore made Free Throw.,40,57
13:16,135,Isaiah Washington missed Three Point Jumper.,40,57
13:13,2908,Jure Span Defensive Rebound.,40,57
13:08,2908,Malik Moore missed Three Point Jumper.,40,57
13:05,135,Isaiah Washington Defensive Rebound.,40,57
13:00,135,Isaiah Washington missed Jumper.,40,57
13:00,2908,Malik Moore Block.,40,57
12:57,2908,Ramel Thompkins Defensive Rebound.,40,57
12:53,2908,Malik Moore Turnover.,40,57
12:41,135,Jamir Harris missed Three Point Jumper.,40,57
12:38,2908,Deion Holmes Defensive Rebound.,40,57
12:34,2908,Jure Span made Three Point Jumper. Assisted by Malik Moore.,43,57
12:23,135,Davonte Fitzgerald missed Three Point Jumper.,43,57
12:18,2908,Malik Moore Defensive Rebound.,43,57
12:16,2908,Deion Holmes missed Jumper.,43,57
12:14,2908,Mike Cunningham Offensive Rebound.,43,57
12:14,2908,Mike Cunningham made Two Point Tip Shot.,45,57
12:08,135,Minnesota  Timeout,45,57
12:08,135,Official TV Timeout,45,57
11:58,135,Michael Hurt made Three Point Jumper. Assisted by Jamir Harris.,45,60
11:36,2908,Mike Cunningham missed Jumper.,45,60
11:33,135,Jordan Murphy Defensive Rebound.,45,60
11:19,135,Jordan Murphy missed Jumper.,45,60
11:18,135,Reggie Lynch Offensive Rebound.,45,60
11:18,135,Official TV Timeout,45,60
11:18,2908,Foul on Deion Holmes.,45,60
11:10,135,Jordan Murphy Turnover.,45,60
11:10,2908,Deion Holmes Steal.,45,60
11:09,2908,Deion Holmes Turnover.,45,60
10:49,135,Jamir Harris Turnover.,45,60
10:49,2908,Ramel Thompkins Steal.,45,60
10:33,2908,Ramel Thompkins made Three Point Jumper. Assisted by Jure Span.,48,60
10:17,135,Jamir Harris made Three Point Jumper. Assisted by Michael Hurt.,48,63
10:07,2908,Ramel Thompkins made Three Point Jumper. Assisted by Mike Cunningham.,51,63
9:53,2908,Foul on Thomas Booker.,51,63
9:53,135,Nate Mason made Free Throw.,51,64
9:53,135,Nate Mason missed Free Throw.,51,64
9:53,2908,Malik Moore Defensive Rebound.,51,64
9:43,2908,Mike Cunningham missed Jumper.,51,64
9:43,135,Michael Hurt Block.,51,64
9:40,135,Michael Hurt Defensive Rebound.,51,64
9:23,135,Jordan Murphy made Layup. Assisted by Dupree McBrayer.,51,66
9:23,2908,Foul on Thomas Booker.,51,66
9:23,135,Jordan Murphy made Free Throw.,51,67
9:07,2908,Jure Span made Free Throw.,52,67
9:07,2908,Jure Span made Free Throw.,53,67
9:07,135,Foul on Nate Mason.,51,67
9:07,2908,Jure Span made Free Throw.,52,67
9:07,2908,Jure Span made Free Throw.,53,67
8:53,135,Jordan Murphy made Dunk. Assisted by Nate Mason.,53,69
8:40,2908,Malik Moore made Free Throw.,54,69
8:40,2908,Malik Moore made Free Throw.,55,69
8:40,135,Foul on Amir Coffey.,53,69
8:40,2908,Malik Moore made Free Throw.,54,69
8:40,2908,Malik Moore made Free Throw.,55,69
8:23,135,Dupree McBrayer missed Three Point Jumper.,55,69
8:21,2908,Jure Span Defensive Rebound.,55,69
8:17,2908,Mike Cunningham made Three Point Jumper. Assisted by Jure Span.,58,69
8:00,135,Official TV Timeout,58,69
8:00,2908,Foul on Ramel Thompkins.,58,69
8:00,135,Minnesota Deadball Team Rebound.,58,69
8:00,135,Jordan Murphy missed Free Throw.,58,69
8:00,135,Jordan Murphy made Free Throw.,58,70
7:39,2908,Mike Cunningham missed Three Point Jumper.,58,70
7:36,2908,Ramel Thompkins Offensive Rebound.,58,70
7:33,2908,Ramel Thompkins made Three Point Jumper. Assisted by Malik Moore.,61,70
7:13,135,Isaiah Washington missed Three Point Jumper.,61,70
7:11,135,Jordan Murphy Offensive Rebound.,61,70
7:10,135,Jordan Murphy missed Jumper.,61,70
7:08,135,Jordan Murphy Offensive Rebound.,61,70
7:08,135,Jordan Murphy made Two Point Tip Shot.,61,72
6:51,2908,Ramel Thompkins Turnover.,61,72
6:33,135,Dupree McBrayer made Three Point Jumper. Assisted by Isaiah Washington.,61,75
6:16,2908,Jure Span missed Jumper.,61,75
6:15,135,Dupree McBrayer Defensive Rebound.,61,75
6:02,2908,Foul on Malik Moore.,61,75
6:02,135,Minnesota Deadball Team Rebound.,61,75
6:02,135,Jordan Murphy missed Free Throw.,61,75
6:02,135,Jordan Murphy made Free Throw.,61,76
5:51,2908,Jure Span made Three Point Jumper. Assisted by Carson Smith.,64,76
5:29,135,Nate Mason made Three Point Jumper.,64,79
5:27,135,Minnesota  Timeout,64,79
5:13,2908,Malik Moore missed Jumper.,64,79
5:11,135,Nate Mason Defensive Rebound.,64,79
5:07,135,Nate Mason missed Three Point Jumper.,64,79
5:04,135,Jordan Murphy Offensive Rebound.,64,79
5:03,135,Jordan Murphy made Dunk.,64,81
4:48,2908,Mike Cunningham made Three Point Jumper. Assisted by Malik Moore.,67,81
4:33,135,Jordan Murphy missed Free Throw.,67,81
4:33,135,Jordan Murphy missed Free Throw.,67,81
4:33,2908,Foul on Carson Smith.,67,81
4:33,135,Minnesota Deadball Team Rebound.,67,81
4:33,135,Jordan Murphy missed Free Throw.,67,81
4:33,135,Jordan Murphy missed Free Throw.,67,81
4:33,2908,Ramel Thompkins Defensive Rebound.,67,81
4:25,2908,Jure Span missed Three Point Jumper.,67,81
4:23,135,Nate Mason Defensive Rebound.,67,81
4:08,135,Jordan Murphy made Dunk. Assisted by Dupree McBrayer.,67,83
4:01,2908,Deion Holmes made Layup.,69,83
3:42,135,Dupree McBrayer missed Three Point Jumper.,69,83
3:40,135,Amir Coffey Offensive Rebound.,69,83
3:38,135,Amir Coffey made Layup.,69,85
3:28,2908,Mike Cunningham missed Three Point Jumper.,69,85
3:25,135,Amir Coffey Defensive Rebound.,69,85
3:17,135,Nate Mason missed Three Point Jumper.,69,85
3:14,2908,Carson Smith Defensive Rebound.,69,85
3:05,2908,Carson Smith missed Jumper.,69,85
3:04,2908,Deion Holmes Offensive Rebound.,69,85
3:03,2908,Deion Holmes made Layup.,71,85
2:45,135,Official TV Timeout,71,85
2:45,2908,Foul on Ramel Thompkins.,71,85
2:45,135,Minnesota Deadball Team Rebound.,71,85
2:45,135,Amir Coffey missed Free Throw.,71,85
2:45,135,Amir Coffey made Free Throw.,71,86
2:28,2908,Malik Moore made Jumper.,73,86
2:17,135,Jordan Murphy made Dunk. Assisted by Amir Coffey.,73,88
2:04,135,Foul on Jamir Harris.,73,88
2:04,2908,Malik Moore missed Free Throw.,73,88
2:04,135,Jordan Murphy Defensive Rebound.,73,88
1:41,135,Jordan Murphy made Layup. Assisted by Nate Mason.,73,90
1:18,2908,Malik Moore made Layup.,75,90
1:18,135,Foul on Jordan Murphy.,75,90
1:18,2908,Malik Moore made Free Throw.,76,90
1:07,135,Jordan Murphy made Free Throw.,76,91
1:07,135,Jordan Murphy made Free Throw.,76,92
1:07,2908,Foul on Carson Smith.,76,90
1:07,135,Jordan Murphy made Free Throw.,76,91
1:07,135,Jordan Murphy made Free Throw.,76,92
0:54,2908,Jure Span missed Jumper.,76,92
0:50,135,Jordan Murphy Defensive Rebound.,76,92
0:40,135,Amir Coffey missed Jumper.,76,92
0:38,2908,South Carolina Upstate Defensive Rebound.,76,92
0:34,2908,Mike Cunningham missed Free Throw.,76,92
0:34,2908,Mike Cunningham missed Free Throw.,76,92
0:34,135,Foul on Nate Mason.,76,92
0:34,2908,South Carolina Upstate Deadball Team Rebound.,76,92
0:34,2908,Mike Cunningham missed Free Throw.,76,92
0:34,2908,Mike Cunningham missed Free Throw.,76,92
0:34,2908,Ramel Thompkins Offensive Rebound.,76,92
0:31,135,Foul on Amir Coffey.,76,92
0:31,2908,South Carolina Upstate Deadball Team Rebound.,76,92
0:31,2908,Malik Moore missed Free Throw.,76,92
0:31,2908,Malik Moore made Free Throw.,77,92
0:01,135,Minnesota  Turnover.,77,92
0:00,135,End of Game,77,92
