Florida Memorial,Error,Florida Intl,2229
8:22,2229,Elhadji Dieng Offensive Rebound.,20,17
8:19,2229,Elhadji Dieng Turnover.,20,17
8:01,-1,Travis Mitchell Turnover.,20,17
8:00,2229,Eric Lockett Steal.,20,17
7:34,2229,Eric Lockett missed Jumper.,20,17
7:34,-1,Kameron Jimenez-Fox Defensive Rebound.,20,17
7:07,-1,Kameron Jimenez-Fox Turnover.,20,17
7:06,2229,Eric Lockett Steal.,20,17
7:04,2229,Ronald Whitaker made Dunk. Assisted by Eric Lockett.,20,19
7:00,-1,Florida Memorial  Timeout,20,19
6:52,-1,Tyrese Mapp made Three Point Jumper. Assisted by Kase Carrera.,23,19
6:32,2229,Ronald Whitaker missed Jumper.,23,19
6:32,-1,Travis Mitchell Defensive Rebound.,23,19
6:23,2229,Foul on Ronald Whitaker.,23,19
6:23,-1,Tyrese Mapp missed Free Throw.,23,19
6:23,-1,Florida Memorial Deadball Team Rebound.,23,19
6:23,-1,Tyrese Mapp made Free Throw.,24,19
6:03,-1,Foul on Jonas Perkis.,24,19
6:03,2229,Brian Beard Jr. missed Free Throw.,24,19
6:03,2229,Florida International Deadball Team Rebound.,24,19
6:03,2229,Brian Beard Jr. missed Free Throw.,24,19
6:03,-1,Tyrese Mapp Defensive Rebound.,24,19
5:57,-1,Tyrese Mapp missed Three Point Jumper.,24,19
5:57,-1,Travis Mitchell Offensive Rebound.,24,19
5:37,-1,Kase Carrera Turnover.,24,19
5:36,2229,Brian Beard Jr. Steal.,24,19
5:30,2229,Trejon Jacob made Three Point Jumper. Assisted by Brian Beard Jr..,24,22
5:16,-1,Jonas Perkis made Layup. Assisted by Kase Carrera.,26,22
4:52,2229,Eric Lockett Turnover.,26,22
4:51,-1,Travis Mitchell Steal.,26,22
4:51,-1,Tyrese Mapp Turnover.,26,22
4:43,2229,Michael Douglas missed Three Point Jumper.,26,22
4:43,2229,Trejon Jacob Offensive Rebound.,26,22
4:38,2229,Trejon Jacob made Layup.,26,24
4:11,-1,Foul on Tyrese Mapp.,26,24
4:11,-1,Tyrese Mapp Turnover.,26,24
3:55,2229,Trejon Jacob missed Jumper.,26,24
3:55,-1,Eric Manigault Defensive Rebound.,26,24
3:33,-1,Omar Outar missed Three Point Jumper.,26,24
3:33,-1,Tyrese Mapp Offensive Rebound.,26,24
3:29,-1,Tyrese Mapp missed Layup.,26,24
3:29,2229,Michael Douglas Defensive Rebound.,26,24
3:24,-1,Foul on Omar Outar.,26,24
3:24,2229,Official TV Timeout,26,24
3:24,2229,Josh Stamps made Free Throw.,26,25
3:24,2229,Josh Stamps made Free Throw.,26,26
3:08,-1,Evens Jacques missed Three Point Jumper.,26,26
3:08,2229,Elhadji Dieng Defensive Rebound.,26,26
3:00,2229,Trejon Jacob missed Three Point Jumper.,26,26
3:00,2229,Josh Stamps Offensive Rebound.,26,26
2:47,2229,Elhadji Dieng missed Layup.,26,26
2:47,-1,Florida Memorial Defensive Rebound.,26,26
2:37,-1,Foul on Omar Outar.,26,26
2:37,-1,Omar Outar Turnover.,26,26
2:17,2229,Josh Stamps made Three Point Jumper. Assisted by Brian Beard Jr..,26,29
1:52,-1,Evens Jacques made Layup. Assisted by Travis Mitchell.,28,29
1:38,2229,Michael Douglas made Three Point Jumper. Assisted by Brian Beard Jr..,28,32
1:22,-1,Travis Mitchell missed Three Point Jumper.,28,32
1:22,-1,Florida Memorial Offensive Rebound.,28,32
1:03,-1,Kameron Jimenez-Fox made Three Point Jumper. Assisted by Travis Mitchell.,31,32
0:38,2229,Josh Stamps made Three Point Jumper. Assisted by Cordell Veira.,31,35
0:21,-1,Evens Jacques Turnover.,31,35
0:01,2229,Trejon Jacob missed Jumper.,31,35
0:01,2229,Josh Stamps Offensive Rebound.,31,35
0:00,2229,End of 1st half,31,35
19:46,-1,Davon Williams missed Layup.,31,35
19:46,2229,Willy Nunez Jr. Defensive Rebound.,31,35
19:39,-1,Foul on Eugene Harvey.,31,35
19:39,2229,Josh Stamps missed Free Throw.,31,35
19:39,2229,Josh Stamps made Free Throw.,31,36
19:21,2229,Ronald Whitaker missed Jumper.,31,36
19:21,-1,Kase Carrera Defensive Rebound.,31,36
19:12,-1,Roody Romain missed Layup.,31,36
19:12,-1,Florida Memorial Offensive Rebound.,31,36
19:07,-1,Florida Memorial  Timeout,31,36
18:58,-1,Kase Carrera missed Jumper.,31,36
18:44,2229,Eric Lockett made Three Point Jumper. Assisted by Brian Beard Jr..,31,39
18:32,-1,Roody Romain Turnover.,31,39
18:30,2229,Eric Lockett Steal.,31,39
18:26,2229,Josh Stamps missed Three Point Jumper.,31,39
18:26,-1,Travis Mitchell Defensive Rebound.,31,39
17:56,-1,Travis Mitchell missed Three Point Jumper.,31,39
17:56,2229,Hassan Hussein Defensive Rebound.,31,39
17:39,2229,Hassan Hussein made Layup.,31,41
17:24,-1,Evens Jacques missed Three Point Jumper.,31,41
17:16,2229,Florida International Offensive Rebound.,31,41
17:11,-1,Davon Williams Offensive Rebound.,31,41
17:07,-1,Davon Williams Turnover.,31,41
16:53,2229,Brian Beard Jr. made Jumper.,31,43
16:34,-1,Florida Memorial  Turnover.,31,43
16:19,2229,Josh Stamps made Three Point Jumper. Assisted by Eric Lockett.,31,46
16:00,-1,Travis Mitchell Turnover.,31,46
15:58,2229,Elhadji Dieng Steal.,31,46
15:55,-1,Foul on Tyrese Mapp.,31,46
15:55,2229,Official TV Timeout,31,46
15:55,2229,Brian Beard Jr. made Free Throw.,31,47
15:55,2229,Brian Beard Jr. missed Free Throw.,31,47
15:55,-1,Davon Williams Defensive Rebound.,31,47
15:38,-1,Eugene Harvey missed Layup.,31,47
15:38,2229,Eric Lockett Defensive Rebound.,31,47
15:27,2229,Hassan Hussein missed Jumper.,31,47
15:27,-1,Florida Memorial Defensive Rebound.,31,47
15:25,2229,Foul on Elhadji Dieng.,31,47
15:19,-1,Eric Manigault missed Three Point Jumper.,31,47
15:19,-1,Kase Carrera Offensive Rebound.,31,47
14:57,-1,Davon Williams missed Three Point Jumper.,31,47
14:57,2229,Brian Beard Jr. Defensive Rebound.,31,47
14:37,2229,Brian Beard Jr. missed Three Point Jumper.,31,47
14:37,-1,Davon Williams Defensive Rebound.,31,47
14:21,-1,Eugene Harvey missed Jumper.,31,47
14:21,2229,Hassan Hussein Defensive Rebound.,31,47
14:06,2229,Josh Stamps Turnover.,31,47
13:53,2229,Foul on Brian Beard Jr..,31,47
13:53,-1,Kase Carrera made Free Throw.,32,47
13:53,-1,Kase Carrera missed Free Throw.,32,47
13:53,2229,Hassan Hussein Defensive Rebound.,32,47
13:35,-1,Foul on Evens Jacques.,32,47
13:30,2229,Josh Stamps Turnover.,32,47
13:20,2229,Foul on Eric Lockett.,32,47
13:16,-1,Travis Mitchell made Free Throw.,33,47
13:16,-1,Travis Mitchell missed Free Throw.,33,47
13:16,2229,Florida International Defensive Rebound.,33,47
13:05,2229,Hassan Hussein made Dunk. Assisted by Trejon Jacob.,33,49
12:36,-1,Omar Outar missed Three Point Jumper.,33,49
12:36,2229,Josh Stamps Defensive Rebound.,33,49
12:30,-1,Foul on Roody Romain.,33,49
12:30,2229,Trejon Jacob missed Free Throw.,33,49
12:30,2229,Florida International Deadball Team Rebound.,33,49
12:30,2229,Trejon Jacob missed Free Throw.,33,49
12:30,-1,Roody Romain Defensive Rebound.,33,49
12:18,-1,Travis Mitchell missed Three Point Jumper.,33,49
12:18,2229,Trejon Jacob Defensive Rebound.,33,49
11:59,2229,Josh Stamps made Three Point Jumper. Assisted by Cordell Veira.,33,52
11:52,-1,Kase Carrera Turnover.,33,52
11:52,2229,Official TV Timeout,33,52
11:32,2229,Hassan Hussein missed Jumper.,33,52
11:32,-1,Travis Mitchell Defensive Rebound.,33,52
11:21,2229,Foul on Michael Douglas.,33,52
11:21,-1,Davon Williams missed Free Throw.,33,52
11:21,-1,Florida Memorial Deadball Team Rebound.,33,52
11:21,-1,Davon Williams made Free Throw.,34,52
10:51,2229,Hassan Hussein missed Jumper.,34,52
10:51,2229,Eric Lockett Offensive Rebound.,34,52
10:40,2229,Isaiah Banks missed Three Point Jumper.,34,52
10:40,-1,Davon Williams Defensive Rebound.,34,52
10:25,-1,Davon Williams missed Jumper.,34,52
10:25,-1,Tyrese Mapp Offensive Rebound.,34,52
10:22,-1,Tyrese Mapp made Layup.,36,52
10:07,2229,Isaiah Banks made Layup.,36,54
9:40,-1,Kase Carrera Turnover.,36,54
9:27,2229,Trejon Jacob made Three Point Jumper. Assisted by Isaiah Banks.,36,57
9:12,-1,Kase Carrera Turnover.,36,57
9:12,2229,Eric Lockett Steal.,36,57
8:47,2229,Trejon Jacob made Three Point Jumper. Assisted by Isaiah Banks.,36,60
8:40,2229,Foul on Isaiah Banks.,36,60
8:24,-1,Tyrese Mapp Turnover.,36,60
8:23,2229,Eric Lockett Steal.,36,60
8:21,2229,Eric Lockett made Dunk.,36,62
8:04,-1,Roody Romain missed Jumper.,36,62
8:04,-1,Roody Romain Offensive Rebound.,36,62
7:51,-1,Kameron Jimenez-Fox missed Three Point Jumper.,36,62
7:51,-1,Roody Romain Offensive Rebound.,36,62
7:47,-1,Roody Romain made Jumper.,38,62
7:35,2229,Isaiah Banks missed Layup.,38,62
7:35,-1,Roody Romain Defensive Rebound.,38,62
7:11,-1,Roody Romain Turnover.,38,62
7:11,2229,Official TV Timeout,38,62
