Mercer,2116,UCF,2382
14:38,2382,Ria'n Holland made Three Point Jumper.,11,10
14:20,2382,Foul on Ethan Stair.,11,10
14:14,2382,Foul on Demetre Rivers.,11,10
14:14,2116,B.J. Taylor missed Free Throw.,11,10
14:14,2116,UCF Deadball Team Rebound.,11,10
14:14,2116,B.J. Taylor made Free Throw.,11,11
14:09,2382,Ria'n Holland missed Three Point Jumper.,11,11
14:09,2116,A.J. Davis Defensive Rebound.,11,11
13:55,2116,Rokas Ulvydas made Layup. Assisted by A.J. Davis.,11,13
13:28,2382,Marcus Cohen made Layup.,13,13
13:28,2116,Foul on Terrell Allen.,13,13
13:28,2382,Marcus Cohen missed Free Throw.,13,13
13:28,2382,Mercer Deadball Team Rebound.,13,13
13:27,2116,Foul on A.J. Davis.,13,13
13:21,2382,Ria'n Holland made Three Point Jumper. Assisted by Marcus Cohen.,16,13
13:06,2116,Chance McSpadden made Layup. Assisted by B.J. Taylor.,16,15
12:50,2382,Cory Kilby missed Three Point Jumper.,16,15
12:50,2116,UCF Deadball Team Rebound.,16,15
12:47,2382,Foul on Desmond Ringer.,16,15
12:39,2116,Chance McSpadden Turnover.,16,15
12:39,2382,Jaylen Stowe Steal.,16,15
12:26,2382,Ria'n Holland made Three Point Jumper. Assisted by Stephon Jelks.,19,15
12:04,2116,Chance McSpadden made Three Point Jumper. Assisted by B.J. Taylor.,19,18
11:47,2382,Ria'n Holland missed Layup.,19,18
11:44,2382,Jaylen Stowe Offensive Rebound.,19,18
11:41,2382,Ria'n Holland made Three Point Jumper. Assisted by Jordan Strawberry.,22,18
11:37,2116,UCF  Timeout,22,18
11:15,2116,A.J. Davis missed Three Point Jumper.,22,18
11:15,2382,Mercer Deadball Team Rebound.,22,18
11:14,2116,Foul on Rokas Ulvydas.,22,18
11:01,2382,Ria'n Holland missed Jumper.,22,18
11:01,2116,UCF Deadball Team Rebound.,22,18
10:59,2382,Foul on Stephon Jelks.,22,18
10:59,2116,B.J. Taylor made Free Throw.,22,19
10:59,2116,B.J. Taylor missed Free Throw.,22,19
10:59,2382,Jaylen Stowe Defensive Rebound.,22,19
10:39,2382,Ethan Stair made Jumper. Assisted by Jaylen Stowe.,24,19
10:24,2116,Dayon Griffin made Three Point Jumper. Assisted by A.J. Davis.,24,22
9:51,2382,Jaylen Stowe missed Three Point Jumper.,24,22
9:51,2116,A.J. Davis Defensive Rebound.,24,22
9:39,2116,B.J. Taylor missed Layup.,24,22
9:39,2116,Chad Brown Offensive Rebound.,24,22
9:33,2382,Foul on Stephon Jelks.,24,22
9:33,2116,Ceasar DeJesus missed Free Throw.,24,22
9:33,2116,UCF Deadball Team Rebound.,24,22
9:33,2116,Ceasar DeJesus made Free Throw.,24,23
9:15,2382,Marcus Cohen made Layup.,26,23
8:57,2116,A.J. Davis made Jumper. Assisted by Ceasar DeJesus.,26,25
8:38,2382,Ria'n Holland missed Three Point Jumper.,26,25
8:38,2116,A.J. Davis Defensive Rebound.,26,25
8:19,2116,Dayon Griffin made Layup.,26,27
8:19,2382,Foul on Jordan Strawberry.,26,27
8:19,2116,Dayon Griffin made Free Throw.,26,28
8:00,2382,Ethan Stair made Three Point Jumper. Assisted by Jordan Strawberry.,29,28
7:50,2116,Dayon Griffin Turnover.,29,28
7:50,2382,Official TV Timeout,29,28
7:43,2382,Marcus Cohen Turnover.,29,28
7:28,2116,Myles Douglas made Layup. Assisted by B.J. Taylor.,29,30
7:11,2382,Cory Kilby made Layup. Assisted by Marcus Cohen.,31,30
6:51,2116,A.J. Davis missed Jumper.,31,30
6:51,2382,Marcus Cohen Defensive Rebound.,31,30
6:42,2116,Foul on Chance McSpadden.,31,30
6:30,2382,Cory Kilby missed Three Point Jumper.,31,30
6:30,2116,A.J. Davis Defensive Rebound.,31,30
6:20,2116,B.J. Taylor missed Jumper.,31,30
6:20,2116,Chance McSpadden Offensive Rebound.,31,30
6:16,2116,Chance McSpadden made Layup.,31,32
5:51,2382,Jordan Strawberry missed Three Point Jumper.,31,32
5:51,2116,Myles Douglas Defensive Rebound.,31,32
5:43,2116,Chance McSpadden missed Three Point Jumper.,31,32
5:43,2382,Ria'n Holland Defensive Rebound.,31,32
5:31,2382,Ria'n Holland made Layup.,33,32
5:31,2116,Foul on Myles Douglas.,33,32
5:31,2382,Ria'n Holland made Free Throw.,34,32
5:18,2116,A.J. Davis made Layup.,34,34
5:03,2382,Jordan Strawberry missed Jumper.,34,34
5:03,2116,Dayon Griffin Defensive Rebound.,34,34
4:55,2116,B.J. Taylor made Three Point Jumper. Assisted by Dayon Griffin.,34,37
4:35,2116,Foul on Dayon Griffin.,34,37
4:35,2382,Mason Green made Free Throw.,35,37
4:35,2382,Mason Green missed Free Throw.,35,37
4:35,2116,A.J. Davis Defensive Rebound.,35,37
4:35,2116,Myles Douglas missed Three Point Jumper.,35,37
4:35,2116,Ceasar DeJesus Offensive Rebound.,35,37
4:33,2382,Foul on Mason Green.,35,37
4:26,2116,Ceasar DeJesus missed Free Throw.,35,37
4:26,2116,UCF Deadball Team Rebound.,35,37
4:24,2116,Ceasar DeJesus made Free Throw.,35,38
4:14,2116,Foul on Terrell Allen.,35,38
4:14,2382,Mason Green made Free Throw.,36,38
4:14,2382,Mason Green missed Free Throw.,36,38
4:14,2116,Myles Douglas Defensive Rebound.,36,38
4:00,2116,B.J. Taylor made Three Point Jumper.,36,41
3:40,2382,Ria'n Holland made Three Point Jumper.,39,41
3:30,2116,Chance McSpadden missed Layup.,39,41
3:29,2116,A.J. Davis Offensive Rebound.,39,41
3:19,2116,A.J. Davis missed Three Point Jumper.,39,41
3:19,2382,Mercer Defensive Rebound.,39,41
3:09,2382,Marcus Cohen made Layup.,41,41
2:54,2116,Ceasar DeJesus made Layup.,41,43
2:54,2382,Foul on Ria'n Holland.,41,43
2:54,2116,Ceasar DeJesus made Free Throw.,41,44
2:35,2382,Cory Kilby missed Three Point Jumper.,41,44
2:35,2116,Chad Brown Defensive Rebound.,41,44
2:17,2116,A.J. Davis missed Three Point Jumper.,41,44
2:17,2382,Jordan Strawberry Defensive Rebound.,41,44
2:08,2116,Foul on Chance McSpadden.,41,44
2:07,2382,Marcus Cohen made Free Throw.,42,44
2:07,2382,Marcus Cohen missed Free Throw.,42,44
2:07,2116,A.J. Davis Defensive Rebound.,42,44
1:44,2116,A.J. Davis missed Layup.,42,44
1:44,2382,Jordan Strawberry Defensive Rebound.,42,44
1:23,2382,Jordan Strawberry missed Jumper.,42,44
1:23,2382,Ethan Stair Offensive Rebound.,42,44
1:19,2382,Ethan Stair made Layup.,44,44
1:05,2116,B.J. Taylor Turnover.,44,44
1:05,2116,Foul on B.J. Taylor.,44,44
0:48,2382,Jordan Strawberry made Three Point Jumper. Assisted by Marcus Cohen.,47,44
0:26,2116,B.J. Taylor Turnover.,47,44
0:26,2382,Jordan Strawberry Steal.,47,44
0:05,2382,Ethan Stair Turnover.,47,44
0:04,2116,B.J. Taylor Steal.,47,44
0:04,2382,Foul on Ethan Stair.,47,44
0:04,2116,B.J. Taylor made Free Throw.,47,45
0:04,2116,B.J. Taylor made Free Throw.,47,46
0:00,2116,End of 1st half,47,46
19:45,2116,Rokas Ulvydas missed Layup.,47,46
19:45,2382,Desmond Ringer Block.,47,46
19:44,2382,Mercer Defensive Rebound.,47,46
19:23,2382,Jordan Strawberry Turnover.,47,46
19:21,2116,Ceasar DeJesus Steal.,47,46
19:19,2116,Ceasar DeJesus made Layup.,47,48
19:03,2382,Demetre Rivers Turnover.,47,48
18:48,2116,A.J. Davis missed Three Point Jumper.,47,48
18:48,2382,Jordan Strawberry Defensive Rebound.,47,48
18:38,2116,Foul on Rokas Ulvydas.,47,48
18:38,2382,Jordan Strawberry missed Free Throw.,47,48
18:38,2382,Mercer Deadball Team Rebound.,47,48
18:38,2382,Jordan Strawberry missed Free Throw.,47,48
18:38,2116,Rokas Ulvydas Defensive Rebound.,47,48
18:34,2116,B.J. Taylor missed Three Point Jumper.,47,48
18:34,2116,UCF Offensive Rebound.,47,48
18:17,2116,Ceasar DeJesus missed Jumper.,47,48
18:17,2116,Rokas Ulvydas Offensive Rebound.,47,48
18:13,2116,Rokas Ulvydas made Layup.,47,50
18:13,2382,Foul on Desmond Ringer.,47,50
18:13,2116,Rokas Ulvydas missed Free Throw.,47,50
18:13,2382,Ethan Stair Defensive Rebound.,47,50
17:47,2382,Ethan Stair made Three Point Jumper.,50,50
17:28,2382,Foul on Ethan Stair.,50,50
17:28,2116,Rokas Ulvydas missed Free Throw.,50,50
17:28,2116,UCF Deadball Team Rebound.,50,50
17:28,2116,Rokas Ulvydas missed Free Throw.,50,50
17:28,2116,A.J. Davis Offensive Rebound.,50,50
17:15,2116,Dayon Griffin missed Layup.,50,50
17:15,2116,Rokas Ulvydas Offensive Rebound.,50,50
17:13,2116,Rokas Ulvydas made Two Point Tip Shot.,50,52
16:57,2382,Jaylen Stowe missed Layup.,50,52
16:57,2116,Rokas Ulvydas Defensive Rebound.,50,52
16:50,2116,A.J. Davis missed Layup.,50,52
16:50,2382,Jordan Strawberry Defensive Rebound.,50,52
16:42,2382,Ria'n Holland missed Three Point Jumper.,50,52
16:42,2382,Jaylen Stowe Offensive Rebound.,50,52
16:27,2382,Jordan Strawberry Turnover.,50,52
16:27,2116,Ceasar DeJesus Steal.,50,52
16:24,2116,Ceasar DeJesus made Dunk.,50,54
16:04,2382,Jordan Strawberry missed Three Point Jumper.,50,54
16:04,2116,Dayon Griffin Defensive Rebound.,50,54
15:55,2116,Ceasar DeJesus Turnover.,50,54
15:55,2116,Official TV Timeout,50,54
15:44,2116,Foul on B.J. Taylor.,50,54
15:36,2382,Demetre Rivers missed Layup.,50,54
15:36,2116,A.J. Davis Block.,50,54
15:36,2382,Demetre Rivers Offensive Rebound.,50,54
15:36,2382,Demetre Rivers missed Layup.,50,54
15:36,2116,Chad Brown Block.,50,54
15:36,2382,Demetre Rivers Offensive Rebound.,50,54
15:21,2382,Jaylen Stowe Turnover.,50,54
14:55,2382,Foul on Marcus Cohen.,50,54
14:41,2382,Foul on Demetre Rivers.,50,54
14:41,2116,A.J. Davis made Free Throw.,50,55
14:41,2116,A.J. Davis made Free Throw.,50,56
14:26,2382,Desmond Ringer missed Layup.,50,56
14:26,2116,Chad Brown Block.,50,56
14:25,2116,Terrell Allen Defensive Rebound.,50,56
14:23,2116,B.J. Taylor missed Three Point Jumper.,50,56
14:23,2382,Cory Kilby Defensive Rebound.,50,56
14:12,2116,Foul on A.J. Davis.,50,56
13:57,2382,Marcus Cohen missed Layup.,50,56
13:57,2116,Chad Brown Block.,50,56
13:56,2116,B.J. Taylor Defensive Rebound.,50,56
13:51,2116,B.J. Taylor made Layup.,50,58
13:51,2382,Foul on Desmond Ringer.,50,58
13:51,2116,Official TV Timeout,50,58
13:51,2116,B.J. Taylor missed Free Throw.,50,58
13:51,2382,Mercer Defensive Rebound.,50,58
13:27,2382,Jordan Strawberry missed Three Point Jumper.,50,58
13:27,2116,Myles Douglas Defensive Rebound.,50,58
13:17,2116,Chance McSpadden made Jumper. Assisted by Terrell Allen.,50,60
13:02,2382,Ria'n Holland missed Three Point Jumper.,50,60
13:02,2116,Terrell Allen Defensive Rebound.,50,60
13:00,2116,Myles Douglas made Layup.,50,62
13:00,2382,Foul on Ria'n Holland.,50,62
13:00,2382,Mercer  Timeout,50,62
13:00,2116,Myles Douglas missed Free Throw.,50,62
13:00,2382,Jaylen Stowe Defensive Rebound.,50,62
12:39,2382,Jaylen Stowe Turnover.,50,62
12:39,2382,Foul on Jaylen Stowe.,50,62
12:25,2116,Ceasar DeJesus missed Jumper.,50,62
12:25,2382,Stephon Jelks Defensive Rebound.,50,62
12:05,2116,Foul on Myles Douglas.,50,62
12:05,2382,Jordan Strawberry made Free Throw.,51,62
12:05,2382,Jordan Strawberry missed Free Throw.,51,62
12:05,2116,A.J. Davis Defensive Rebound.,51,62
11:49,2116,Myles Douglas missed Layup.,51,62
11:49,2382,Demetre Rivers Defensive Rebound.,51,62
11:35,2382,Demetre Rivers missed Three Point Jumper.,51,62
11:35,2116,A.J. Davis Defensive Rebound.,51,62
11:09,2116,Dayon Griffin missed Three Point Jumper.,51,62
11:09,2116,Ceasar DeJesus Offensive Rebound.,51,62
10:51,2116,Dayon Griffin missed Jumper.,51,62
10:51,2116,A.J. Davis Offensive Rebound.,51,62
10:48,2116,A.J. Davis made Layup.,51,64
10:29,2382,Jordan Strawberry missed Three Point Jumper.,51,64
10:29,2116,A.J. Davis Defensive Rebound.,51,64
10:22,2382,Foul on Jordan Strawberry.,51,64
10:22,2116,Terrell Allen made Free Throw.,51,65
10:22,2116,Terrell Allen made Free Throw.,51,66
10:12,2382,Marcus Cohen Turnover.,51,66
10:11,2116,Terrell Allen Steal.,51,66
9:54,2116,Rokas Ulvydas Turnover.,51,66
9:54,2116,Foul on Rokas Ulvydas.,51,66
9:39,2382,Ria'n Holland Turnover.,51,66
9:39,2116,Ceasar DeJesus Steal.,51,66
9:10,2116,Ceasar DeJesus missed Three Point Jumper.,51,66
9:10,2382,Ria'n Holland Defensive Rebound.,51,66
8:52,2382,Ethan Stair Turnover.,51,66
8:52,2382,Foul on Ethan Stair.,51,66
8:40,2116,Rokas Ulvydas Turnover.,51,66
8:40,2116,Foul on Rokas Ulvydas.,51,66
8:25,2382,Stephon Jelks made Layup. Assisted by Marcus Cohen.,53,66
8:03,2116,Chad Brown Turnover.,53,66
8:02,2116,Foul on Chad Brown.,53,66
8:02,2382,Ria'n Holland made Free Throw.,54,66
8:02,2382,Ria'n Holland made Free Throw.,55,66
7:44,2116,Chad Brown made Layup.,55,68
7:23,2382,Marcus Cohen Turnover.,55,68
7:23,2116,Terrell Allen Steal.,55,68
7:23,2116,Official TV Timeout,55,68
7:01,2116,Chance McSpadden made Jumper.,55,70
6:31,2382,Desmond Ringer Turnover.,55,70
6:19,2116,Dayon Griffin Turnover.,55,70
6:19,2382,Ria'n Holland Steal.,55,70
6:12,2382,Demetre Rivers made Three Point Jumper. Assisted by Jordan Strawberry.,58,70
5:53,2116,Chad Brown made Layup. Assisted by Myles Douglas.,58,72
5:40,2382,Desmond Ringer missed Jumper.,58,72
5:40,2116,UCF Defensive Rebound.,58,72
5:21,2116,Chance McSpadden missed Three Point Jumper.,58,72
5:21,2116,Chad Brown Offensive Rebound.,58,72
5:02,2116,A.J. Davis missed Layup.,58,72
5:02,2116,Chad Brown Offensive Rebound.,58,72
4:51,2116,Chad Brown made Dunk.,58,74
4:50,2116,Foul on Ceasar DeJesus.,58,74
4:50,2382,Jordan Strawberry made Free Throw.,59,74
4:50,2382,Jordan Strawberry made Free Throw.,60,74
4:39,2116,Chance McSpadden missed Jumper.,60,74
4:39,2382,Jordan Strawberry Defensive Rebound.,60,74
4:28,2382,Jordan Strawberry made Layup.,62,74
4:06,2116,Ceasar DeJesus Turnover.,62,74
3:58,2382,Jordan Strawberry missed Three Point Jumper.,62,74
3:58,2116,Terrell Allen Defensive Rebound.,62,74
3:31,2116,Ceasar DeJesus made Layup.,62,76
3:12,2382,Ria'n Holland Turnover.,62,76
3:11,2116,Terrell Allen Steal.,62,76
3:08,2382,Foul on Cory Kilby.,62,76
3:08,2116,Official TV Timeout,62,76
3:08,2116,Dayon Griffin made Free Throw.,62,77
3:08,2116,Dayon Griffin made Free Throw.,62,78
2:55,2382,Ethan Stair made Layup.,64,78
2:44,2382,Foul on Ethan Stair.,64,78
2:44,2116,Dayon Griffin made Free Throw.,64,79
2:44,2116,Dayon Griffin made Free Throw.,64,80
2:35,2382,Jordan Strawberry missed Layup.,64,80
2:35,2382,Jordan Strawberry Offensive Rebound.,64,80
2:30,2116,Foul on Chad Brown.,64,80
2:30,2382,Jordan Strawberry made Free Throw.,65,80
2:30,2382,Jordan Strawberry made Free Throw.,66,80
2:05,2116,Ceasar DeJesus Turnover.,66,80
2:04,2382,Stephon Jelks Steal.,66,80
1:57,2382,Demetre Rivers made Three Point Jumper. Assisted by Ria'n Holland.,69,80
1:57,2382,Foul on Demetre Rivers.,69,80
1:57,2116,Ceasar DeJesus missed Free Throw.,69,80
1:57,2116,UCF Deadball Team Rebound.,69,80
1:57,2116,Ceasar DeJesus made Free Throw.,69,81
1:48,2116,Foul on Myles Douglas.,69,81
1:48,2382,Ria'n Holland made Free Throw.,70,81
1:48,2382,Ria'n Holland made Free Throw.,71,81
1:46,2382,Foul on Jordan Strawberry.,71,81
1:46,2116,Terrell Allen made Free Throw.,71,82
1:46,2116,Terrell Allen made Free Throw.,71,83
1:31,2382,Ria'n Holland made Three Point Jumper. Assisted by Stephon Jelks.,74,83
1:31,2116,Foul on Dayon Griffin.,74,83
1:31,2382,Ria'n Holland made Free Throw.,75,83
1:27,2382,Foul on Stephon Jelks.,75,83
1:27,2116,Dayon Griffin missed Free Throw.,75,83
1:27,2116,UCF Deadball Team Rebound.,75,83
1:27,2116,Dayon Griffin made Free Throw.,75,84
1:17,2382,Marcus Cohen missed Layup.,75,84
1:17,2116,A.J. Davis Block.,75,84
1:17,2382,Mercer Offensive Rebound.,75,84
1:12,2116,Foul on Dayon Griffin.,75,84
1:12,2382,Jordan Strawberry made Free Throw.,76,84
1:12,2382,Jordan Strawberry made Free Throw.,77,84
0:58,2382,Foul on Jordan Strawberry.,77,84
0:58,2116,Terrell Allen made Free Throw.,77,85
0:58,2116,Terrell Allen made Free Throw.,77,86
0:49,2382,Marcus Cohen missed Layup.,77,86
0:49,2116,Dayon Griffin Defensive Rebound.,77,86
0:47,2382,Foul on Marcus Cohen.,77,86
0:47,2116,Dayon Griffin missed Free Throw.,77,86
0:47,2116,UCF Deadball Team Rebound.,77,86
0:47,2116,Dayon Griffin missed Free Throw.,77,86
0:47,2382,Jaylen Stowe Defensive Rebound.,77,86
0:37,2382,Jordan Strawberry missed Layup.,77,86
0:37,2116,A.J. Davis Block.,77,86
0:35,2116,Chance McSpadden Defensive Rebound.,77,86
0:29,2116,Dayon Griffin made Dunk.,77,88
0:17,2116,Foul on Terrell Allen.,77,88
0:17,2382,Ria'n Holland made Free Throw.,78,88
0:17,2382,Ria'n Holland made Free Throw.,79,88
0:15,2116,UCF  Timeout,79,88
0:00,2116,End of Game,79,88
