Tenn-Martin,276,Marshall,2630
3:24,276,C.J. Burks made Three Point Jumper. Assisted by Jon Elmore.,83,90
3:03,2630,Matthew Butler missed Jumper.,83,90
3:03,276,C.J. Burks Defensive Rebound.,83,90
2:45,276,C.J. Burks missed Three Point Jumper.,83,90
2:45,276,Milan Mijovic Offensive Rebound.,83,90
2:41,2630,Foul on Terrence Parker.,83,90
2:41,276,Ajdin Penava made Free Throw.,83,91
2:41,276,Ajdin Penava made Free Throw.,83,92
2:25,276,Foul on Milan Mijovic.,83,92
2:25,2630,Dominique Williams made Free Throw.,84,92
2:25,2630,Dominique Williams made Free Throw.,85,92
2:15,276,C.J. Burks made Three Point Jumper. Assisted by Milan Mijovic.,85,95
2:06,2630,Matthew Butler Turnover.,85,95
2:04,276,Jon Elmore Steal.,85,95
1:57,276,Jon Elmore made Layup.,85,97
1:26,276,Foul on Milan Mijovic.,85,97
1:26,2630,Jerome Davis made Free Throw.,86,97
1:26,2630,Jerome Davis missed Free Throw.,86,97
1:26,276,Ajdin Penava Defensive Rebound.,86,97
1:01,276,Jarrod West made Three Point Jumper.,86,100
0:50,2630,Dominique Williams made Layup. Assisted by Jerome Davis.,88,100
0:49,2630,Foul on DelFincko Bogan.,88,100
0:49,276,Jarrod West made Free Throw.,88,101
0:49,276,Jarrod West missed Free Throw.,88,101
0:49,2630,Jerome Davis Defensive Rebound.,88,101
0:40,2630,Dominique Williams made Three Point Jumper. Assisted by Matthew Butler.,91,101
0:37,2630,UT Martin  Timeout,91,101
0:37,276,Official TV Timeout,91,101
0:08,2630,Foul on Dominique Williams.,91,101
0:08,276,Milan Mijovic missed Free Throw.,91,101
0:08,276,Marshall Deadball Team Rebound.,91,101
0:08,276,Milan Mijovic made Free Throw.,91,102
0:01,2630,Matthew Butler Turnover.,91,102
0:00,276,Jarrod West Steal.,91,102
0:00,276,End of Game,91,102
