Grambling,2670,VCU,2755
2:54,2670,De'Riante Jenkins made Three Point Jumper. Assisted by Jonathan Williams.,26,44
2:46,2755,Grambling  Timeout,26,44
2:33,2755,Diontae Jones Turnover.,26,44
2:33,2755,Foul on Diontae Jones.,26,44
2:04,2670,Malik Crowfield missed Three Point Jumper.,26,44
2:04,2670,Tyler Maye Offensive Rebound.,26,44
1:48,2670,Sean Mobley made Three Point Jumper. Assisted by De'Riante Jenkins.,26,47
1:29,2755,Nigel Ribeiro missed Layup.,26,47
1:29,2755,Diontae Jones Offensive Rebound.,26,47
1:24,2755,Foul on Anthony Gaston.,26,47
1:24,2755,Anthony Gaston Turnover.,26,47
1:14,2670,De'Riante Jenkins missed Three Point Jumper.,26,47
1:14,2670,Marcus Santos-Silva Offensive Rebound.,26,47
1:10,2670,Marcus Santos-Silva missed Layup.,26,47
1:10,2755,Bobby Jackson Defensive Rebound.,26,47
0:52,2755,Diontae Jones made Jumper.,28,47
0:52,2670,Foul on Sean Mobley.,28,47
0:52,2755,Diontae Jones made Free Throw.,29,47
0:46,2670,VCU  Timeout,29,47
0:32,2670,Lewis Djonkam made Layup. Assisted by Jonathan Williams.,29,49
0:06,2670,Foul on Lewis Djonkam.,29,49
0:06,2755,Ivy Smith Jr. missed Free Throw.,29,49
0:06,2755,Grambling Deadball Team Rebound.,29,49
0:06,2755,Ivy Smith Jr. made Free Throw.,30,49
0:01,2755,Foul on Diontae Jones.,30,49
0:01,2670,Lewis Djonkam missed Free Throw.,30,49
0:01,2670,VCU Deadball Team Rebound.,30,49
0:01,2670,Lewis Djonkam made Free Throw.,30,50
0:00,2670,End of 1st half,30,50
19:49,2755,Axel Mpoyo missed Layup.,30,50
19:49,2670,Malik Crowfield Defensive Rebound.,30,50
19:42,2670,Malik Crowfield missed Three Point Jumper.,30,50
19:42,2755,Axel Mpoyo Defensive Rebound.,30,50
19:34,2755,Ivy Smith Jr. Turnover.,30,50
19:20,2670,Malik Crowfield missed Three Point Jumper.,30,50
19:20,2755,Axel Mpoyo Defensive Rebound.,30,50
18:58,2670,Foul on Khris Lane.,30,50
18:58,2755,Anthony Gaston missed Free Throw.,30,50
18:58,2755,Grambling Deadball Team Rebound.,30,50
18:58,2755,Anthony Gaston made Free Throw.,31,50
18:37,2670,Justin Tillman made Jumper. Assisted by De'Riante Jenkins.,31,52
18:07,2755,Anthony Gaston missed Three Point Jumper.,31,52
18:07,2670,Justin Tillman Defensive Rebound.,31,52
17:57,2670,Jonathan Williams made Jumper.,31,54
17:37,2670,Foul on De'Riante Jenkins.,31,54
17:37,2755,Ivy Smith Jr. made Free Throw.,32,54
17:37,2755,Ivy Smith Jr. missed Free Throw.,32,54
17:37,2670,Justin Tillman Defensive Rebound.,32,54
17:36,2755,Foul on Axel Mpoyo.,32,54
17:21,2670,Justin Tillman missed Jumper.,32,54
17:21,2755,Shirmane Thomas Defensive Rebound.,32,54
17:10,2755,Axel Mpoyo Turnover.,32,54
17:08,2670,Issac Vann Steal.,32,54
17:05,2670,De'Riante Jenkins missed Three Point Jumper.,32,54
17:05,2670,De'Riante Jenkins Offensive Rebound.,32,54
16:59,2755,Foul on Devante Jackson.,32,54
16:54,2670,Mike'l Simms Turnover.,32,54
16:49,2755,Diontae Jones Steal.,32,54
16:45,2755,Ivy Smith Jr. missed Layup.,32,54
16:45,2670,Marcus Santos-Silva Defensive Rebound.,32,54
16:37,2670,Malik Crowfield made Three Point Jumper. Assisted by Jonathan Williams.,32,57
16:28,2670,Foul on Malik Crowfield.,32,57
16:28,2755,Shirmane Thomas missed Free Throw.,32,57
16:28,2755,Grambling Deadball Team Rebound.,32,57
16:28,2755,Shirmane Thomas missed Free Throw.,32,57
16:28,2670,Issac Vann Defensive Rebound.,32,57
16:09,2670,Mike'l Simms made Jumper.,32,59
15:59,2755,Diontae Jones made Jumper.,34,59
15:59,2670,Foul on Marcus Santos-Silva.,34,59
15:59,2755,Grambling  Timeout,34,59
15:59,2755,Diontae Jones made Free Throw.,35,59
15:48,2670,Foul on Tyler Maye.,35,59
15:48,2670,Tyler Maye Turnover.,35,59
15:41,2755,Ivy Smith Jr. missed Layup.,35,59
15:41,2670,Tyler Maye Defensive Rebound.,35,59
15:37,2670,Issac Vann made Dunk. Assisted by Tyler Maye.,35,61
15:00,2755,Grambling  Turnover.,35,61
14:36,2670,De'Riante Jenkins made Three Point Jumper.,35,64
14:02,2755,Shirmane Thomas missed Three Point Jumper.,35,64
14:02,2670,Issac Vann Defensive Rebound.,35,64
13:54,2670,Khris Lane made Dunk. Assisted by Issac Vann.,35,66
13:46,2755,Nigel Ribeiro missed Layup.,35,66
13:46,2670,Khris Lane Defensive Rebound.,35,66
13:37,2670,Tyler Maye missed Layup.,35,66
13:37,2755,Axel Mpoyo Block.,35,66
13:36,2670,VCU Offensive Rebound.,35,66
13:36,2670,Issac Vann missed Three Point Jumper.,35,66
13:36,2670,De'Riante Jenkins Offensive Rebound.,35,66
13:31,2670,Issac Vann missed Three Point Jumper.,35,66
13:31,2755,Drake Wilks Defensive Rebound.,35,66
13:28,2670,Foul on Sean Mobley.,35,66
13:11,2755,Nigel Ribeiro missed Jumper.,35,66
13:11,2670,Lewis Djonkam Block.,35,66
13:08,2670,Lewis Djonkam Defensive Rebound.,35,66
13:02,2670,De'Riante Jenkins missed Three Point Jumper.,35,66
13:02,2755,Grambling Defensive Rebound.,35,66
12:38,2755,Anthony Gaston missed Jumper.,35,66
12:38,2670,Justin Tillman Defensive Rebound.,35,66
12:35,2755,Foul on Diontae Jones.,35,66
12:23,2670,Jonathan Williams missed Layup.,35,66
12:23,2755,Diontae Jones Defensive Rebound.,35,66
12:01,2755,Anthony Gaston Turnover.,35,66
11:59,2670,Lewis Djonkam Steal.,35,66
11:57,2670,Jonathan Williams made Layup.,35,68
11:47,2755,Grambling  Timeout,35,68
11:47,2670,Official TV Timeout,35,68
11:41,2755,Shirmane Thomas made Layup.,37,68
11:26,2670,Official TV Timeout,37,68
11:25,2755,Foul on Shirmane Thomas.,37,68
11:25,2670,Official TV Timeout,37,68
11:24,2670,Official TV Timeout,37,68
11:24,2670,Justin Tillman made Free Throw.,37,70
11:24,2670,Justin Tillman made Free Throw.,37,69
11:03,2755,Ivy Smith Jr. missed Three Point Jumper.,37,70
11:03,2755,Diontae Jones Offensive Rebound.,37,70
10:58,2755,Diontae Jones missed Layup.,37,70
10:58,2670,Justin Tillman Block.,37,70
10:56,2670,Justin Tillman Defensive Rebound.,37,70
10:50,2670,Malik Crowfield made Three Point Jumper. Assisted by Jonathan Williams.,37,73
10:50,2755,Foul on Ivy Smith Jr..,37,73
10:50,2670,Malik Crowfield made Free Throw.,37,74
10:28,2670,Foul on Lewis Djonkam.,37,74
10:28,2755,Anthony Gaston made Free Throw.,38,74
10:28,2755,Anthony Gaston made Free Throw.,39,74
10:14,2670,Issac Vann missed Jumper.,39,74
10:14,2670,Marcus Santos-Silva Offensive Rebound.,39,74
10:13,2755,Foul on Axel Mpoyo.,39,74
10:12,2670,Jonathan Williams Turnover.,39,74
10:03,2755,Diontae Jones Steal.,39,74
10:01,2755,Shirmane Thomas made Layup.,41,74
9:55,2670,Sean Mobley made Three Point Jumper. Assisted by Marcus Santos-Silva.,41,77
9:44,2755,Kareem Wright missed Layup.,41,77
9:44,2755,Grambling Offensive Rebound.,41,77
9:28,2670,Foul on Jonathan Williams.,41,77
9:28,2755,Devante Jackson missed Free Throw.,41,77
9:28,2755,Grambling Deadball Team Rebound.,41,77
9:28,2755,Devante Jackson made Free Throw.,42,77
9:26,2670,Issac Vann made Three Point Jumper.,42,80
8:58,2670,Foul on Sean Mobley.,42,80
8:58,2755,Bobby Jackson missed Free Throw.,42,80
8:58,2755,Grambling Deadball Team Rebound.,42,80
8:58,2755,Bobby Jackson made Free Throw.,43,80
8:49,2670,Issac Vann missed Three Point Jumper.,43,80
8:49,2670,Marcus Santos-Silva Offensive Rebound.,43,80
8:46,2670,Marcus Santos-Silva made Layup.,43,82
8:28,2755,Diontae Jones made Three Point Jumper. Assisted by Kareem Wright.,46,82
8:09,2670,Marcus Santos-Silva missed Layup.,46,82
8:09,2670,Marcus Santos-Silva Offensive Rebound.,46,82
8:05,2670,Marcus Santos-Silva missed Jumper.,46,82
8:05,2755,Shirmane Thomas Defensive Rebound.,46,82
7:57,2755,Kareem Wright Turnover.,46,82
7:57,2670,Official TV Timeout,46,82
7:35,2755,Foul on Ivy Smith Jr..,46,82
7:35,2670,Jonathan Williams made Free Throw.,46,83
7:35,2670,Jonathan Williams made Free Throw.,46,84
7:10,2755,Bobby Jackson missed Three Point Jumper.,46,84
7:10,2670,Issac Vann Defensive Rebound.,46,84
6:59,2755,Foul on Shirmane Thomas.,46,84
6:59,2670,De'Riante Jenkins made Free Throw.,46,85
6:59,2670,De'Riante Jenkins missed Free Throw.,46,85
6:59,2670,VCU Offensive Rebound.,46,85
6:51,2670,Jonathan Williams missed Layup.,46,85
6:51,2755,Bobby Jackson Defensive Rebound.,46,85
6:45,2755,Ivy Smith Jr. missed Layup.,46,85
6:45,2670,Khris Lane Defensive Rebound.,46,85
6:35,2670,Khris Lane missed Layup.,46,85
6:35,2755,Diontae Jones Defensive Rebound.,46,85
6:21,2755,Shirmane Thomas missed Jumper.,46,85
6:21,2755,Shirmane Thomas Offensive Rebound.,46,85
6:18,2755,Shirmane Thomas made Layup.,48,85
5:50,2670,Justin Tillman missed Jumper.,48,85
5:50,2755,Bobby Jackson Defensive Rebound.,48,85
5:25,2755,Diontae Jones made Three Point Jumper. Assisted by Ivy Smith Jr..,51,85
4:58,2670,Mike'l Simms missed Three Point Jumper.,51,85
4:58,2755,Shirmane Thomas Defensive Rebound.,51,85
4:50,2755,Shirmane Thomas made Layup.,53,85
4:37,2670,Issac Vann missed Layup.,53,85
4:37,2755,Diontae Jones Block.,53,85
4:35,2755,Diontae Jones Defensive Rebound.,53,85
4:20,2755,Bobby Jackson missed Layup.,53,85
4:20,2670,Justin Tillman Defensive Rebound.,53,85
4:12,2670,VCU  Timeout,53,85
4:12,2670,Official TV Timeout,53,85
3:56,2670,Mike'l Simms Turnover.,53,85
3:40,2755,Bobby Jackson made Layup. Assisted by Ivy Smith Jr..,55,85
3:07,2670,Mike'l Simms missed Jumper.,55,85
3:07,2755,Shirmane Thomas Defensive Rebound.,55,85
2:56,2755,Bobby Jackson Turnover.,55,85
2:42,2670,Marcus Santos-Silva Turnover.,55,85
2:40,2755,Axel Mpoyo Steal.,55,85
2:34,2670,Foul on Marcus Santos-Silva.,55,85
2:34,2755,Ivy Smith Jr. made Free Throw.,56,85
2:34,2755,Ivy Smith Jr. made Free Throw.,57,85
2:08,2670,Tyler Maye made Jumper.,57,87
1:45,2670,Foul on Tyler Maye.,57,87
1:45,2755,Anthony Gaston made Free Throw.,58,87
1:45,2755,Anthony Gaston made Free Throw.,59,87
1:36,2670,Sean Mobley made Three Point Jumper. Assisted by Tyler Maye.,59,90
1:19,2670,Foul on Lewis Djonkam.,59,90
1:19,2755,Anthony Gaston made Free Throw.,60,90
1:19,2755,Anthony Gaston made Free Throw.,61,90
1:07,2755,Foul on Axel Mpoyo.,61,90
1:07,2670,Lewis Djonkam made Free Throw.,61,91
1:07,2670,Lewis Djonkam missed Free Throw.,61,91
1:07,2670,Lewis Djonkam Offensive Rebound.,61,91
1:00,2670,Xavier Jackson made Three Point Jumper. Assisted by Dylan Sheehy-Guiseppi.,61,94
0:40,2755,Bobby Jackson missed Three Point Jumper.,61,94
0:40,2755,Drake Wilks Offensive Rebound.,61,94
0:36,2755,Drake Wilks made Jumper.,63,94
0:33,2670,Tyler Maye Turnover.,63,94
0:29,2755,Anthony Gaston missed Layup.,63,94
0:29,2670,Tyler Maye Defensive Rebound.,63,94
0:18,2670,Lewis Djonkam missed Layup.,63,94
0:18,2755,Anthony Gaston Defensive Rebound.,63,94
0:16,2670,Foul on Lewis Djonkam.,63,94
0:16,2755,Anthony Gaston made Free Throw.,64,94
0:16,2755,Anthony Gaston made Free Throw.,65,94
0:00,2670,End of Game,65,94
